"NetC","Comune di Barletta","","","","","","",""
"Stat","Via Casardi - C. Sportivo","","","","","","",""
,NO2,NOX,O3
05/01/2012 3.00,"11,03647699","15,52608434","43,2435003"
05/01/2012 4.00,"10,71768158","15,42816126","39,5122119"
05/01/2012 5.00,"12,04675294","17,12460621","38,3842788"
05/01/2012 6.00,"13,39142047","18,42482166","39,1957251"
05/01/2012 7.00,"19,99978768","25,87658736","30,81395205"
05/01/2012 8.00,"25,80370192","33,54688128","27,0483297"
05/01/2012 9.00,"25,8329364","37,1978644","29,36681895"
05/01/2012 10.00,"23,84288856","38,20174088","34,8455877"
05/01/2012 11.00,"19,80954368","32,43472824","42,0670887"
05/01/2012 12.00,"18,94147274","31,55538032","45,6461985"
05/01/2012 13.00,"15,10682098","24,9265528","55,50538875"
05/01/2012 14.00,"14,89254888","22,98044272","64,23666585"
05/01/2012 15.00,"13,19403706","19,97470224","67,2076797"
05/01/2012 16.00,"13,3901184","19,38781384","68,23528425"
05/01/2012 17.00,"15,90738494","21,53885208","63,23262225"
05/01/2012 18.00,"31,40895936","38,24906288","47,8798404"
05/01/2012 19.00,"39,17500624","47,05034304","42,9290484"
05/01/2012 20.00,"43,78426464","53,81469312","38,580906"
05/01/2012 21.00,"37,63620952","47,023728","46,20242445"
05/01/2012 22.00,"20,11016744","26,70989432","63,4063668"
05/01/2012 23.00,"19,3109132","24,93108424","63,46494"
06/01/2012 0.00,"30,2356988","35,67650512","51,1417851"
06/01/2012 1.00,"26,79970096","32,28815432","50,6441523"
06/01/2012 2.00,"17,61758673","22,10302592","49,6602981"
06/01/2012 3.00,,,"54,89328285"
06/01/2012 4.00,"6,90055905","11,37900797","57,48383025"
06/01/2012 5.00,"8,25041384","12,98920068",
06/01/2012 6.00,"6,37269409","11,26487304","68,4474126"
06/01/2012 7.00,"5,23709993","9,77140793","75,2318889"
06/01/2012 8.00,"7,79916463","12,81410928","73,28510805"
06/01/2012 9.00,"7,65826935","13,73820374","71,80429935"
06/01/2012 10.00,"7,7582593","14,42560024","70,09386615"
06/01/2012 11.00,"8,39520386","14,9411481","69,6373104"
06/01/2012 12.00,"10,66573254","18,03183874","67,84202985"
06/01/2012 13.00,"11,89158266","19,56419584","63,97875225"
06/01/2012 14.00,"11,04037174","18,87098112","64,2548403"
06/01/2012 15.00,"6,70772238","12,60983502","68,97534945"
06/01/2012 16.00,"6,33698366","11,68833515","70,44606345"
06/01/2012 17.00,"6,53631158","12,0741844","73,40428935"
06/01/2012 18.00,"7,45764128","13,2524869","71,2204626"
06/01/2012 19.00,"7,6491797","14,05336826","69,9362811"
06/01/2012 20.00,"8,06082374","14,76735303","69,76927965"
06/01/2012 21.00,"8,70945636","15,46253138","69,9362811"
06/01/2012 22.00,"7,57321403","13,93599249","70,75042065"
06/01/2012 23.00,"5,89417402","11,98663966","70,66355835"
07/01/2012 0.00,"4,69170575","10,36671869","70,9349382"
07/01/2012 1.00,"3,76777764","8,71177944","69,54571995"
07/01/2012 2.00,"2,99902936","7,62361626","67,9692909"
07/01/2012 3.00,"2,73542192","7,49716232","68,42855985"
07/01/2012 4.00,"2,39389857","7,01014724","68,4743451"
07/01/2012 5.00,"2,72957694","7,62685902","67,84605975"
07/01/2012 6.00,"3,23341953","8,06783122","68,39624085"
07/01/2012 7.00,"3,53273739","8,34797746","70,11676875"
07/01/2012 8.00,"6,34217666","11,72270526","68,1693096"
07/01/2012 9.00,"8,82308078","15,16098603","66,4481034"
07/01/2012 10.00,"8,22833789","14,92947534","69,651435"
07/01/2012 11.00,"8,06082374","15,35682837","67,4070201"
07/01/2012 12.00,"7,30506177","14,91715441","67,1598795"
07/01/2012 13.00,"8,48870066","16,48843792","66,79086435"
07/01/2012 14.00,"9,92750743","17,67646677","66,41105625"
07/01/2012 15.00,"6,91873834","13,11954746","68,40094905"
07/01/2012 16.00,"7,63359882","13,67465268","68,5672722"
07/01/2012 17.00,"9,85673666","16,23682637","67,94237835"
07/01/2012 18.00,"15,56131868","25,8033004","63,59627085"
07/01/2012 19.00,"19,51867112","27,15215904","59,5855029"
07/01/2012 20.00,"32,89450688","42,07514696","45,535077"
07/01/2012 21.00,"51,32565152","66,58016112","26,67727965"
07/01/2012 22.00,"47,216362","60,40918112","33,48733185"
07/01/2012 23.00,"30,46880984","37,81978064","42,09807105"
08/01/2012 0.00,"19,9056408","25,97190056","44,15866665"
08/01/2012 1.00,"17,92405356","23,77742168","43,39773375"
08/01/2012 2.00,"13,43427413","18,50782922","46,3593312"
08/01/2012 3.00,,,"50,03876955"
08/01/2012 4.00,"9,62753949","14,40031022","51,05829435"
08/01/2012 5.00,"10,84947766","15,68236931",
08/01/2012 6.00,"13,6154151","19,0810908","49,34650455"
08/01/2012 7.00,"18,55709955","24,05691784","45,2562957"
08/01/2012 8.00,"19,29012976","24,7469204","46,6199181"
08/01/2012 9.00,"20,5633688","27,93617464","47,58288465"
08/01/2012 10.00,"16,42485627","25,83832824","53,85692025"
08/01/2012 11.00,"16,04892457","26,71117536","53,0373942"
08/01/2012 12.00,"27,47301176","37,0603916","44,0448519"
08/01/2012 13.00,"32,82179352","48,71370656","41,8414941"
08/01/2012 14.00,"32,59650256","49,73702808","47,74583625"
08/01/2012 15.00,"17,09881142","25,43625376","58,1875266"
08/01/2012 16.00,"17,16049445","23,69702208","59,54510415"
08/01/2012 17.00,"16,04048309","21,9422076","62,44543515"
08/01/2012 18.00,"27,06720888","33,27906744","52,8441186"
08/01/2012 19.00,"35,6585132","43,14644056","44,36068035"
08/01/2012 20.00,"50,60106088","62,78719288","31,1614212"
08/01/2012 21.00,"53,0806572","66,29483336","31,00654935"
08/01/2012 22.00,"43,32651272","53,76607096","33,7661331"
08/01/2012 23.00,"32,73607856","40,445492","39,82333215"
09/01/2012 0.00,"28,88001432","35,84059296","40,5829284"
