TARANTO - Carcere,,,
,SO2,NO2,PM10
10/01/2011 7.00,"1,19352","30,906215",
10/01/2011 8.00,"1,737014","41,035459","30,76923"
10/01/2011 9.00,"2,861016","50,87138",
10/01/2011 10.00,"2,042164","51,545624","31,746031"
10/01/2011 11.00,"1,067126","25,05282",
10/01/2011 12.00,"0,783642","12,885922","28,571421"
10/01/2011 13.00,"0,769197","12,975474",
10/01/2011 14.00,"0,655442","10,122105","25,64102"
10/01/2011 15.00,"0,765586","9,41736",
10/01/2011 16.00,"0,650026","9,776872","20,02442"
10/01/2011 17.00,"0,650026","6,494552",
10/01/2011 18.00,"0,650026","7,685999","19,53602"
10/01/2011 19.00,"0,650026","5,035095",
10/01/2011 20.00,"0,650026","6,354383","16,11721"
10/01/2011 21.00,"0,650026","6,827455",
10/01/2011 22.00,"0,650026","6,432903","20,757021"
10/01/2011 23.00,"0,650026","5,821606",
11/01/2011 0.00,"0,650026","11,746389","15,38461"
11/01/2011 1.00,"0,650026","6,27067",
11/01/2011 2.00,"0,650026","3,876096","12,94261"
11/01/2011 3.00,"0,650026","6,438094",
11/01/2011 4.00,"0,650026","5,5497","11,96581"
11/01/2011 5.00,"0,650026","11,770396",
11/01/2011 6.00,"0,650026","16,387575","10,98901"
11/01/2011 7.00,"1,467975","30,860137",
11/01/2011 8.00,"3,563405","52,650113","19,0476"
11/01/2011 9.00,"2,371692","44,265858",
11/01/2011 10.00,"0,754752","16,743845","29,30402"
11/01/2011 11.00,"0,904619","11,721081",
11/01/2011 12.00,"0,870312","6,450424","23,44322"
11/01/2011 13.00,"0,771003","7,569839",
11/01/2011 14.00,"1,678147","7,843238","22,954821"
11/01/2011 15.00,"0,66086","9,721063",
11/01/2011 16.00,"0,650026","12,764571","21,73382"
11/01/2011 17.00,"0,650026","8,981924",
11/01/2011 18.00,"0,758364","24,538205","26,12941"
11/01/2011 19.00,"0,650026","19,845755",
11/01/2011 20.00,"1,258522","35,928982","21,97802"
11/01/2011 21.00,"3,90828","56,172551",
11/01/2011 22.00,"3,390968","45,317132","33,455421"
11/01/2011 23.00,"1,276578","33,687566",
12/01/2011 0.00,"1,079765","28,28192","26,617821"
12/01/2011 1.00,,"28,397425",
12/01/2011 2.00,"0,669888",,"24,17581"
12/01/2011 3.00,"0,650026","16,696474",
12/01/2011 4.00,"0,650026","9,333","18,07081"
12/01/2011 5.00,"0,650026","11,361568",
12/01/2011 6.00,"0,702389","25,222836","15,87301"
12/01/2011 7.00,"1,726179","29,515544",
12/01/2011 8.00,"5,883637","47,254218","14,16361"
12/01/2011 9.00,"5,628141","51,113436",
12/01/2011 10.00,"2,693996","51,301617","27,10622"
12/01/2011 11.00,"3,6898","50,848033",
12/01/2011 12.00,"2,535101","30,13658","27,83882"
12/01/2011 13.00,"1,872435","18,482995",
