"NetC","ARPA Puglia","","","","","","","","","","","","","","",""
"Stat","Caldarola","","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10,BENZENE,CH4
03/01/2011 4.00,"1,46472103","16,48945702","24,72680616","0,81832979","23,9014965","24,70000076","1,490922","1126,657"
03/01/2011 5.00,"1,70492829","15,60950299","24,26119592","0,78866772","24,36248115","24,70000076","1,39329","1112,39408"
03/01/2011 6.00,"1,8494145","19,53425392","31,04826056","0,79261707","22,24877865","24,70000076","1,4049855","1128,26077"
03/01/2011 7.00,"1,78258946","26,20661768","40,15949504","0,85470575","19,30431825","24,70000076","1,379052","1141,29526"
03/01/2011 8.00,"1,84218973","34,37542736","57,61029992","0,90640728","15,10987863","24,70000076","1,49499","1141,0434"
03/01/2011 9.00,"1,64894041","40,17691336","73,90677304","1,02845152","16,00056434","24,70000076","2,3152005","1115,18022"
03/01/2011 10.00,"1,98848111","37,7511972","68,19360232","0,96363674","21,02161425","24,70000076","2,7474255","1110,53061"
03/01/2011 11.00,"1,82232264","39,27618928","84,07507584","0,99088959","22,12848015","24,70000076","2,4962265","1088,61291"
03/01/2011 12.00,"2,19256657","35,25798744","71,70843192","0,96359713","25,15525425","24,70000076","2,246553","1074,35979"
03/01/2011 13.00,"2,09865171","47,09068624","97,65958728","1,04302567","19,06243647","24,70000076","2,297403","1049,96857"
03/01/2011 14.00,"2,28828865","43,20615232","87,05162008","1,17446912","27,77045985","24,70000076","2,3467275","1027,90093"
03/01/2011 15.00,"1,97945117","32,73751256","61,47009256","1,0607593","33,9088953","24,70000076","2,1240045","1024,15145"
03/01/2011 16.00,"2,04988757","30,97111136","52,93731456","0,95937168","40,43863005","24,70000076","1,8036495","1018,86533"
03/01/2011 17.00,"1,76091719","31,76021288","53,46906088","0,92722117","41,6126277","24,70000076","1,319049","1013,1093"
03/01/2011 18.00,"1,85302587","36,35079104","63,27157896","0,92165247","42,3167829","24,70000076","1,171584","1010,48682"
03/01/2011 19.00,"1,97042021","38,9361592","65,93298736","0,90897378","39,9409374","24,70000076","1,1537865","1009,60237"
03/01/2011 20.00,"2,35511368","42,3430564","75,5967516","0,94132233","37,62715635","24,70000076","1,1771775","1009,21478"
03/01/2011 21.00,"1,79523179","39,30473544","68,20138416","0,93784597","39,50022195","24,70000076","1,194975","1010,68821"
03/01/2011 22.00,"1,9920935","24,42075232","40,741852","0,84814913","49,67731545","24,70000076","0,961065","1011,37568"
03/01/2011 23.00,"2,06072371","26,89837928","43,61593216","0,82381927","39,13002975","24,70000076","0,7562412","1054,27861"
04/01/2011 0.00,"2,57545385","21,76660952","34,11432464","0,82610966","40,9502877","24,70000076","0,86968755","1065,5099"
04/01/2011 1.00,"3,14617086","20,78800968","32,90163864","0,80557187","42,42062265","34,5","0,76554675","1050,08715"
04/01/2011 2.00,"2,833721",,,"0,77725189","48,05881185","34,5","0,73890135","1038,50747"
04/01/2011 3.00,"2,2792587","20,84640216","28,40243496",,"50,8930884","34,5","0,62367525","1048,94839"
04/01/2011 4.00,"1,80426275","13,49786916","20,8138408","0,75126423","49,5076008","34,5","0,5997249","1062,33862"
04/01/2011 5.00,"1,77175333","12,58675718","19,8229468","0,75845228",,"34,5","0,6304383","1070,80974"
04/01/2011 6.00,"1,74646868","16,2376753","24,90190712","0,76860293","47,15982495","34,5","0,31521915","1071,15176"
04/01/2011 7.00,"1,73201914","35,10223592","47,6352812","0,85640432","28,27355895","34,5",,"1047,43478"
04/01/2011 8.00,"1,95416652","56,62873648","86,67549144","0,98358271","14,10664101","34,5",,"1048,87244"
04/01/2011 9.00,"2,22507599","63,4490508","111,37639","1,15539225","10,57902017","34,5",,"1068,80074"
04/01/2011 10.00,"2,10226307","65,5645832","114,71221816","1,22146988","10,48281528","34,5",,"1068,27644"
