MANDURIA,,,,
,NO2,CO,O3,PM10
09/01/2011 14.00,"12,0767","0,326649","60,55671",
09/01/2011 15.00,"6,314148","0,271307","66,048325",
09/01/2011 16.00,"12,986498","0,459816","57,47948",
09/01/2011 17.00,"21,373348","0,707906","45,182762",
09/01/2011 18.00,"26,503818","0,928108","41,454206",
09/01/2011 19.00,"23,453834","0,891659","39,599731",
09/01/2011 20.00,"22,275373","0,781234","44,586276",
09/01/2011 21.00,"30,784214","1,020936","35,234752",
09/01/2011 22.00,"27,126805","0,888806","29,97739",
09/01/2011 23.00,"13,543296","0,518574","40,171837",
10/01/2011 0.00,"12,007908","0,393492","42,758893",
10/01/2011 1.00,"8,799572","0,306977","48,947184",
10/01/2011 2.00,,"0,273771","48,878817",
10/01/2011 3.00,"3,361489",,"46,381155",
10/01/2011 4.00,"3,388745","0,265441",,
10/01/2011 5.00,"3,980574","0,247212","51,690629",
10/01/2011 6.00,"14,346678","0,314487","40,967386",
10/01/2011 7.00,"27,865296","0,492654","30,464189",
10/01/2011 8.00,"38,49747","0,679055","25,083633",
10/01/2011 9.00,"53,129681","1,14266","15,071303",
10/01/2011 10.00,"40,378093","0,758528","27,115481",
10/01/2011 11.00,"29,919835","0,569929","38,368179",
10/01/2011 12.00,"26,939906","0,575275","42,545629",
10/01/2011 13.00,"23,854877","0,479165","52,04608",
10/01/2011 14.00,"27,342269","0,484768","57,254683",
10/01/2011 15.00,"21,902876","0,384048","57,652786",
10/01/2011 16.00,"22,078093","0,463349","56,025844",
10/01/2011 17.00,"27,995082","0,576653","47,704799",
10/01/2011 18.00,"27,899042","0,615055","46,817843",
10/01/2011 19.00,"28,468819","0,604494","45,387228",
10/01/2011 20.00,"26,934726","0,703922","43,438651",
10/01/2011 21.00,"36,317044","0,834123","27,430293",
10/01/2011 22.00,"37,583763","1,028366","20,969146",
10/01/2011 23.00,"20,263663","0,664445","29,544075",
11/01/2011 0.00,"16,92944","0,562517","34,156875",
11/01/2011 1.00,"5,292722","0,283284","45,432593",
11/01/2011 2.00,,"0,254107","48,620184",
11/01/2011 3.00,"2,912425",,"47,088683",
11/01/2011 4.00,"2,137597","0,165553",,
11/01/2011 5.00,"2,789128","0,176204","52,276962",
11/01/2011 6.00,"19,776963","0,184578","40,178622",
11/01/2011 7.00,"19,333092","0,312083","38,233439",
11/01/2011 8.00,"38,718112","0,582508","19,56425",
11/01/2011 9.00,"30,126198","0,607674","31,794614",
11/01/2011 10.00,"15,452459","0,387795","42,128553",
11/01/2011 11.00,"20,612794","0,440102","38,978189",
11/01/2011 12.00,"14,124739","0,353825","49,886948",
11/01/2011 13.00,"25,473327","0,439329","40,764274",
11/01/2011 14.00,"26,17157","0,547293","45,873349",
11/01/2011 15.00,"15,295414","0,341801","55,746884",
11/01/2011 16.00,"23,320146","0,495287","44,379093",
11/01/2011 17.00,"34,259921","0,739172","35,120996",
11/01/2011 18.00,"30,987974","1,071052","32,558339",
11/01/2011 19.00,"36,929649","1,203924","26,229204",
11/01/2011 20.00,"46,13803","1,649137","20,472192",
11/01/2011 21.00,"56,192663","2,236025","16,681346",
11/01/2011 22.00,"39,927721","1,625173","10,915519",
11/01/2011 23.00,"22,377895","1,101801","14,348884",
12/01/2011 0.00,"23,834112","1,391767","5,637182",
12/01/2011 1.00,"18,165015","1,117519","4,15578",
12/01/2011 2.00,,"0,810033","4,465195",
12/01/2011 3.00,"19,538155",,"5,771918",
12/01/2011 4.00,"15,336948","0,538364",,
12/01/2011 5.00,"11,547164","0,358737","24,639467",
12/01/2011 6.00,"22,213079","0,511237","16,006992",
12/01/2011 7.00,"37,416347","0,634936","9,925666",
12/01/2011 8.00,"52,145877","1,200039","7,664293",
12/01/2011 9.00,"56,842878","1,539161","10,734068",
12/01/2011 10.00,"37,659037","0,843878","21,360486",
12/01/2011 11.00,"32,692082","0,732325","31,538017",
12/01/2011 12.00,"39,696693","0,749407","35,158245",
