"NetC","Comune Bari","","","","","","","",""
"Stat","Piazza Kennedy","","","","","","","",""
,NO2,NOx,O3,PM10,
06/01/2011 14.00,"39,45853672","55,75854704","28,7542941","46,79999161",
06/01/2011 15.00,"31,47987544","41,9976536","34,95026535","46,79999161",
06/01/2011 16.00,"20,93791048","25,2553212","44,0555052","46,79999161",
06/01/2011 17.00,"20,48040712","23,58061952","42,4307772","46,79999161",
06/01/2011 18.00,"30,96721088","33,85752392","30,75474045","46,79999161",
06/01/2011 19.00,"54,20399544","65,92359944","9,57574065","46,79999161",
06/01/2011 20.00,"67,5720876","138,86546256","1,00276281","46,79999161",
06/01/2011 21.00,"48,4755096","82,17793208","15,77255579","46,79999161",
06/01/2011 22.00,"34,80080912","39,91112624","23,73285915","46,79999161",
06/01/2011 23.00,"19,7909208","23,53683472","35,00273385","46,79999161",
07/01/2011 0.00,"12,60314302","14,85198198","43,2837594","46,79999161",
07/01/2011 1.00,"11,7197799","14,20835689","44,47690905",,
07/01/2011 2.00,"6,50964109","7,64566545","47,9920791",,
07/01/2011 3.00,"7,38894886","8,30063826","44,71048365",,
07/01/2011 4.00,"6,00346968","6,58863154","46,3639596",,
07/01/2011 5.00,"5,98562498","6,53999409","45,2977518",,
07/01/2011 6.00,"6,14785818","6,52053949","45,1606554",22,
07/01/2011 7.00,"8,91098498","9,58009321","41,19872505",22,
07/01/2011 8.00,"14,4404431","15,9073945","32,893959",22,
07/01/2011 9.00,"27,69008112","34,99397848","19,65751305",22,
07/01/2011 10.00,"25,13815384","35,19665048","22,3450773",22,
07/01/2011 11.00,"19,22146984","26,66740968","29,7375897",22,
07/01/2011 12.00,"15,24837208","21,14715976","34,8910338",22,
07/01/2011 13.00,"13,10849992","16,80717023","40,37786235",22,
07/01/2011 14.00,"13,12796982","16,75691331","42,55432755",22,
07/01/2011 15.00,"15,22241286","19,380032","43,63916865",22,
07/01/2011 16.00,"13,01602986","15,36104433","45,541461",22,
07/01/2011 17.00,"18,50116399","21,87670248","41,0785263",22,
07/01/2011 18.00,"28,463944","30,88256664","31,97328645",22,
07/01/2011 19.00,"31,36955304","33,58190912","28,56135765",22,
07/01/2011 20.00,"24,35618408","26,33829712","34,63545435",22,
07/01/2011 21.00,"22,10923992","24,03942304","35,1398103",22,
07/01/2011 22.00,"24,73093608","26,59607296","29,3754174",22,
07/01/2011 23.00,"15,67666773","17,14600531","35,7237069",22,
08/01/2011 0.00,"13,0679464","14,20511605","38,7226707",22,
08/01/2011 1.00,"13,53274786","14,34616046","36,79500195",,
