
Stat, San Pietro In Lama,,,,,
Parm,NO2,NOX,CO,O3,PM10,BENZENE



10/07/2011 17.00,"1,5","3,2","0,2","125,4",,"0,2"
10/07/2011 18.00,"4,3","6,3","0,3","122,5",20,"0,2"
10/07/2011 19.00,"8,7",11,"0,2","113,1",,"0,3"
10/07/2011 20.00,"16,7",20,"0,3","102,3","25,4","0,5"
10/07/2011 21.00,38,"47,2","0,5",70,,"0,9"
10/07/2011 22.00,"33,3","38,2","0,4","72,3","34,2","1,3"
10/07/2011 23.00,"23,4","25,8","0,3","89,5",,"1,1"
11/07/2011 0.00,"26,3","30,1","0,3","80,3","39,6","0,8"
11/07/2011 1.00,"16,7","18,6","0,3","98,4",,"0,8"
11/07/2011 2.00,,,"0,3",,40,"0,6"
11/07/2011 3.00,"26,1","27,6",,"43,1",,"0,9"
11/07/2011 4.00,"16,4","17,8","0,3","46,2","24,9",1
11/07/2011 5.00,"15,8","17,6","0,3","37,1",,"1,2"
11/07/2011 6.00,"25,4","29,6","0,4","25,5","31,3","1,6"
11/07/2011 7.00,"30,7","41,3","0,5","26,3",,"1,9"
11/07/2011 8.00,"46,1","63,8","0,5","50,3","40,5","2,1"
11/07/2011 9.00,23,"30,9","0,3","103,3",,"1,7"
11/07/2011 10.00,"17,5","23,4","0,3","122,2","47,4",1
11/07/2011 11.00,"23,6","30,8","0,3","124,5",,"0,7"
11/07/2011 12.00,"15,6","20,8","0,3","129,1","40,5","0,7"
11/07/2011 13.00,"10,6","14,7","0,3","137,2",,"0,8"
11/07/2011 14.00,"10,3","14,5","0,3","132,4",20,"0,9"
11/07/2011 15.00,"10,8","15,8","0,3","128,8",,"0,9"
11/07/2011 16.00,7,"10,1","0,3","126,2","23,4","0,8"
11/07/2011 17.00,"7,8","11,1","0,3","120,9",,"0,6"
11/07/2011 18.00,"12,3","16,9","0,3","114,3","27,8","0,5"
11/07/2011 19.00,"15,4","19,8","0,3","103,7",,"0,7"
11/07/2011 20.00,26,"32,9","0,3","95,7","32,7","0,6"
11/07/2011 21.00,"30,6","34,1","0,3","99,1",,1
11/07/2011 22.00,"21,3","23,5","0,3","112,2","44,4",1
11/07/2011 23.00,"18,5","19,8","0,3","102,9",,"0,8"
12/07/2011 0.00,"16,2","18,6","0,3",97,"40,5","0,9"
12/07/2011 1.00,"17,3","18,9","0,3","73,1",,1
12/07/2011 2.00,"12,5","13,8","0,3","61,9","36,1","1,1"
12/07/2011 3.00,"7,8","8,9","0,3",84,,1
12/07/2011 4.00,"5,5","6,9","0,2","103,3","30,3","0,5"
12/07/2011 5.00,"5,6","6,9","0,2","106,1",,"0,4"
12/07/2011 6.00,"16,1","18,4","0,3","88,8","22,5","0,4"
12/07/2011 7.00,"23,1","27,9","0,4","75,3",,"0,7"
12/07/2011 8.00,"25,2","40,9","0,3","86,5","34,2","1,1"
12/07/2011 9.00,"16,7","23,7","0,3","104,3",,1
12/07/2011 10.00,"12,3","17,9","0,3","114,5","42,5","0,8"
12/07/2011 11.00,"10,7","15,3","0,3",120,,"0,8"
12/07/2011 12.00,"9,9","13,9","0,3",120,"37,1","0,7"
12/07/2011 13.00,"9,9","14,7","0,3","122,8",,"0,7"
12/07/2011 14.00,"9,6","14,5","0,3","126,2","27,4","0,8"
12/07/2011 15.00,"7,4","10,6","0,3","128,8",,"0,6"
12/07/2011 16.00,"8,6","15,1",,"126,5","38,6","0,6"
12/07/2011 17.00,"9,1","12,7",,"120,7",,"0,5"
12/07/2011 18.00,"17,7","23,2","0,2","114,4","34,7","0,6"
12/07/2011 19.00,"32,6","38,6","0,3","96,5",,"1,1"
12/07/2011 20.00,"32,7","38,5","0,3","86,5","49,8","1,1"
12/07/2011 21.00,"21,2","25,6","0,3","95,8",,"1,1"
12/07/2011 22.00,"19,2","22,8","0,3","100,6","48,4","0,7"
12/07/2011 23.00,"10,2","12,3","0,3","105,7",,"1,2"
13/07/2011 0.00,"8,3","10,2","0,3","90,8","51,3",1
13/07/2011 1.00,"7,6","8,9","0,2","79,7",,"0,5"
13/07/2011 2.00,,,"0,2",,43,"0,6"
13/07/2011 3.00,"6,6",8,,"83,1",,"0,5"
13/07/2011 4.00,"4,4","5,4","0,2","85,8","38,6","0,4"
13/07/2011 5.00,"5,5","6,9","0,3","84,2",,"0,5"
13/07/2011 6.00,"14,8","16,6","0,3","67,9","28,8","0,5"
13/07/2011 7.00,"24,2","30,8","0,4",64,,"0,6"
13/07/2011 8.00,"20,2","27,1","0,5","83,9","36,1",1
13/07/2011 9.00,"18,5",26,"0,3","102,8",,"1,4"
13/07/2011 10.00,"13,4","18,9","0,3","108,5","35,7",1
13/07/2011 11.00,"8,5","12,3","0,3",112,,"0,7"
13/07/2011 12.00,"6,8","10,5","0,3","114,2","41,5","0,7"
13/07/2011 13.00,"8,2","12,2","0,3","114,8",,"0,6"
13/07/2011 14.00,"8,3","13,7","0,3","112,4","39,1","0,7"
13/07/2011 15.00,"4,5","7,4","0,2","116,7",,"0,6"
13/07/2011 16.00,"5,9","9,2","0,2","117,8","31,3","0,5"
13/07/2011 17.00,"8,9","12,6","0,3","120,8",,"0,5"
13/07/2011 18.00,"9,4","13,3","0,3","115,4","48,8","0,7"
13/07/2011 19.00,"10,4","14,2","0,3","113,7",,"0,5"
13/07/2011 20.00,"14,4","18,5","0,3","89,1","58,1","0,7"
13/07/2011 21.00,"22,1","26,6","0,4","63,7",,"0,9"
13/07/2011 22.00,"30,1","32,2","0,4","72,6",64,"1,1"
13/07/2011 23.00,"17,2","18,8","0,3","86,7",,"1,1"
14/07/2011 0.00,11,"12,9","0,4","82,4","67,9",1
14/07/2011 1.00,"13,2","15,7","0,3","64,6",,"0,7"
14/07/2011 2.00,"7,9","10,1","0,3","61,5","60,1","0,7"
14/07/2011 3.00,"6,2","7,7","0,3","56,3",,"0,6"
14/07/2011 4.00,4,"5,2","0,3","59,6","49,8","0,7"
14/07/2011 5.00,"5,1","6,4","0,3","67,3",,"0,7"
14/07/2011 6.00,"13,1","16,2","0,4","61,7",42,1
14/07/2011 7.00,"16,6",21,"0,4","59,7",,"1,2"
14/07/2011 8.00,"20,4","26,9","0,3","80,9","47,4","1,2"
14/07/2011 9.00,"14,8","20,8","0,3","121,4",,"0,9"
14/07/2011 10.00,"9,6",13,"0,3",139,"59,1","0,8"
14/07/2011 11.00,"7,4","10,3","0,2","139,3",,"0,7"
14/07/2011 12.00,"4,2","7,1","0,2","125,7","49,3","0,6"
14/07/2011 13.00,"4,7","8,2","0,2","119,7",,"0,5"
14/07/2011 14.00,"2,9","4,8","0,2","121,5","39,1","0,4"
14/07/2011 15.00,"2,3","4,2","0,2","118,6",,"0,3"
14/07/2011 16.00,"3,6","6,3","0,2",119,"30,3","0,3"
14/07/2011 17.00,5,"8,1","0,2","116,4",,"0,3"
14/07/2011 18.00,"6,6","9,9","0,2","111,3","31,7","0,4"
14/07/2011 19.00,12,"15,2","0,2","116,9",,"0,4"
14/07/2011 20.00,"27,6",33,"0,3","91,4","49,3","0,6"
14/07/2011 21.00,"40,7","45,4","0,3","72,1",,"0,9"
14/07/2011 22.00,"29,3","32,1","0,3","76,6","66,4","0,9"
14/07/2011 23.00,"20,4","22,2","0,4","81,2",,"1,2"
15/07/2011 0.00,"21,6","23,8","0,3","75,6","64,5","1,4"
15/07/2011 1.00,"21,4","24,2","0,3","72,5",,"1,1"
15/07/2011 2.00,,,"0,3",,"52,7","0,8"
15/07/2011 3.00,"8,5","10,3",,"71,5",,"0,8"
15/07/2011 4.00,"6,9","8,1","0,3","75,7","51,8",1
15/07/2011 5.00,"12,4","13,8","0,3","58,9",,1
15/07/2011 6.00,16,"19,3","0,4","54,5","53,2","1,1"
15/07/2011 7.00,"12,9","15,4","0,4","57,8",,"1,4"
15/07/2011 8.00,,,,,,
15/07/2011 9.00,,,,,,
15/07/2011 10.00,"13,9",20,"0,4","102,5","57,1",
15/07/2011 11.00,"11,6",16,"0,3","110,4",,
15/07/2011 12.00,"10,6","15,3","0,3","110,1","59,6",
15/07/2011 13.00,"12,2","18,9","0,2","107,2",,
15/07/2011 14.00,"6,4","10,9","0,2","115,9","43,5",
15/07/2011 15.00,"5,3","8,3","0,2","119,5",,
15/07/2011 16.00,"12,1","18,6","0,4",117,"46,9",
15/07/2011 17.00,"7,5","10,7","0,4","118,7",,"0,5"
15/07/2011 18.00,11,"15,4","0,4","109,9","41,5","0,5"
15/07/2011 19.00,"16,3","20,1","0,5","109,2",,"0,5"
15/07/2011 20.00,"19,6","24,2","0,5","97,7","55,7","0,6"
15/07/2011 21.00,40,"47,9","0,6","59,1",,"0,8"
15/07/2011 22.00,65,"70,6","0,7","32,5",62,"1,3"
15/07/2011 23.00,"29,8","31,2","0,6",58,,"1,3"
16/07/2011 0.00,"16,7","18,2","0,6","64,2","75,2","1,2"
16/07/2011 1.00,"12,1","13,2","0,6",63,,"1,3"
16/07/2011 2.00,"13,3","14,4","0,6","55,3","69,8",1
16/07/2011 3.00,"9,9","11,6","0,5","69,4",,"1,1"
16/07/2011 4.00,"7,3","8,5","0,4","85,9","48,8","0,9"
16/07/2011 5.00,"9,3","10,4","0,4",84,,"0,6"
16/07/2011 6.00,"19,6","21,7","0,4","75,9","37,1","0,6"
16/07/2011 7.00,12,"14,6","0,4","79,1",,"0,6"
16/07/2011 8.00,"10,8","14,7","0,4","93,8","22,5","0,6"
16/07/2011 9.00,"13,6","17,8","0,5","107,9",,"0,8"
16/07/2011 10.00,"8,8",12,"0,4","114,3","20,5","0,8"
16/07/2011 11.00,"10,8","14,5","0,4",122,,"0,5"
16/07/2011 12.00,10,13,"0,4","130,2","28,8","0,7"
16/07/2011 13.00,8,"11,2","0,4","133,1",,"0,5"
16/07/2011 14.00,"7,1",10,"0,4","135,4","30,3","0,5"
16/07/2011 15.00,5,"8,7","0,4","135,2",,"0,5"
16/07/2011 16.00,"5,2","7,1","0,4","135,7","26,9","0,4"
16/07/2011 17.00,"5,5","7,6","0,5","132,1",,"0,5"
16/07/2011 18.00,"5,7",8,"0,4","124,2","39,1","0,4"
16/07/2011 19.00,"7,2","9,5","0,4","117,4",,"0,4"
16/07/2011 20.00,"12,9","17,9","0,5","105,2","37,6","0,5"
16/07/2011 21.00,"11,5","14,7","0,5",99,,"0,7"
16/07/2011 22.00,14,"17,3","0,5","87,6","45,9","0,6"
16/07/2011 23.00,"15,2","17,7","0,5","74,4",,"0,9"
17/07/2011 0.00,"18,2","20,7","0,5","61,7","43,5","0,7"
17/07/2011 1.00,"20,9","25,6","0,6","57,9",,1
17/07/2011 2.00,,,"0,5",,"31,3","1,2"
17/07/2011 3.00,"9,4","11,1",,"79,1",,"1,5"
17/07/2011 4.00,"8,1","9,7","0,3","73,2","29,3","1,1"
17/07/2011 5.00,"9,6","10,7","0,3",71,,1
17/07/2011 6.00,"13,5","16,7","0,3","60,3","26,9","0,8"
17/07/2011 7.00,"9,6","12,2","0,3","80,5",,1
17/07/2011 8.00,"7,5","10,1","0,2","87,3","24,4","0,6"
17/07/2011 9.00,"20,7","28,2","0,2","73,8",,"0,5"
17/07/2011 10.00,"10,7","14,4","0,2","105,6",20,"0,6"
17/07/2011 11.00,"7,5","10,6","0,2","113,5",,"0,5"
17/07/2011 12.00,"5,8","9,6","0,2","117,2","19,5","0,4"
17/07/2011 13.00,"4,6",7,"0,2","116,2",,"0,4"
17/07/2011 14.00,"3,6","5,6","0,2","121,1",,"0,4"
17/07/2011 15.00,"2,7","3,9","0,2","123,4",,"0,3"
17/07/2011 16.00,"2,3",4,"0,2","122,5","17,6","0,3"
17/07/2011 17.00,"2,5","4,2","0,2","125,5",,"0,3"
17/07/2011 18.00,"3,8","5,6","0,2","126,4","23,9","0,3"
17/07/2011 19.00,"7,7","10,2","0,2","122,4",,"0,3"
17/07/2011 20.00,"12,2","15,3","0,2","111,9",41,"0,4"
17/07/2011 21.00,22,"26,8","0,3","101,8",,"0,7"
17/07/2011 22.00,"17,9","20,8","0,3","93,4",42,"0,7"
17/07/2011 23.00,"14,3","17,1","0,3","80,8",,"0,7"
18/07/2011 0.00,"33,3","37,2","0,3","57,6","41,5","0,6"
18/07/2011 1.00,"22,2","24,5","0,4",65,,"0,8"
18/07/2011 2.00,"23,4","26,8","0,3","51,8","32,7",1
18/07/2011 3.00,"21,7","23,3","0,3","49,7",,"0,9"
18/07/2011 4.00,"19,4","20,8","0,3","46,9","28,8",1
18/07/2011 5.00,"21,3","25,6","0,4","39,1",,"0,9"
18/07/2011 6.00,"32,5","38,1","0,4","31,7",23,"1,1"
18/07/2011 7.00,"44,8","63,8","0,4","35,2",,"1,2"
18/07/2011 8.00,"27,8","39,2","0,4","70,8","30,3","1,2"
18/07/2011 9.00,"13,5","20,9","0,3","107,7",,"1,2"
18/07/2011 10.00,"8,6","13,3","0,3","124,1","26,4","0,6"
18/07/2011 11.00,"7,7","11,7","0,2",135,,"0,5"
18/07/2011 12.00,"7,6","10,6","0,2","138,7","25,4","0,4"
18/07/2011 13.00,"8,6","12,4","0,2","132,3",,"0,4"
18/07/2011 14.00,"6,8","11,1","0,2","135,6","23,4","0,4"
18/07/2011 15.00,5,"7,6","0,2","133,7",,"0,4"
18/07/2011 16.00,"8,5",11,"0,2","129,1","25,9","0,3"
18/07/2011 17.00,"6,4","9,2","0,2","126,4",,"0,4"
18/07/2011 18.00,"8,3",12,"0,2","117,2","36,1","0,5"
18/07/2011 19.00,"9,7","12,3","0,2","105,1",,"0,4"
18/07/2011 20.00,"11,7","14,4","0,3","88,3",43,"0,4"
18/07/2011 21.00,"15,3","18,4","0,3","75,2",,"0,6"
18/07/2011 22.00,"17,5","20,3","0,3","61,5","50,3","0,8"
18/07/2011 23.00,"11,5","13,7","0,2","59,4",,"0,6"
19/07/2011 0.00,"14,1","16,2","0,3","53,8","39,6","0,5"
19/07/2011 1.00,"13,7","15,8","0,3","54,5",,"0,6"
19/07/2011 2.00,,,"0,2",,"31,3","0,6"
19/07/2011 3.00,"4,8","6,6",,"72,2",,"0,6"
19/07/2011 4.00,"3,8","5,3","0,2",68,"23,4","0,5"
19/07/2011 5.00,"4,8","6,5","0,3",60,,"0,7"
19/07/2011 6.00,"13,4","19,6","0,3",43,"28,3","0,7"
19/07/2011 7.00,"17,2",24,"0,3","44,5",,1
19/07/2011 8.00,"17,7","28,4","0,3","52,1","29,3",1
19/07/2011 9.00,"11,1",18,"0,3","76,3",,"1,1"
19/07/2011 10.00,"8,2","12,6","0,2","96,4","28,3","0,6"
19/07/2011 11.00,"7,2","10,8","0,2","113,3",,"0,5"
19/07/2011 12.00,7,"10,4","0,2","112,6","29,8","0,6"
19/07/2011 13.00,"8,9","13,1","0,2","106,2",,"0,4"
19/07/2011 14.00,"5,8","9,2","0,2","110,6","33,7","0,5"
19/07/2011 15.00,"3,6","5,7","0,2","107,3",,"0,4"
19/07/2011 16.00,"4,7","7,1","0,2","102,5","51,3","0,3"
19/07/2011 17.00,7,"9,6","0,2","100,2",,"0,4"
19/07/2011 18.00,"6,7","10,1","0,2","98,1","57,6","0,5"
19/07/2011 19.00,"7,9","11,8","0,2","95,9",,"0,4"
19/07/2011 20.00,"6,9",10,"0,2","84,1","61,5","0,3"
19/07/2011 21.00,"8,2","11,3","0,2","74,1",,"0,4"
19/07/2011 22.00,"7,8","10,3","0,2","64,1","69,4","0,4"
19/07/2011 23.00,"4,1","6,2","0,2","63,7",,"0,4"
20/07/2011 0.00,"4,3","6,3","0,2","63,8","61,1","0,3"
20/07/2011 1.00,3,"4,7","0,2","58,1",,"0,4"
20/07/2011 2.00,"4,2","5,6","0,2","57,5","60,6","0,3"
20/07/2011 3.00,"2,9",4,"0,2","61,2",,"0,3"
20/07/2011 4.00,"2,5","4,1","0,2","52,6","59,6","0,4"
20/07/2011 5.00,"3,2","4,7","0,2","42,4",,"0,3"
20/07/2011 6.00,"9,3","11,4","0,2","46,9","60,6","0,5"
20/07/2011 7.00,"12,1","16,4","0,2","48,6",,"0,4"
20/07/2011 8.00,11,"16,4","0,2","64,2",40,"0,8"
20/07/2011 9.00,"7,7","12,5","0,2","75,4",,"0,7"
20/07/2011 10.00,"5,4","9,3","0,2","80,7","39,1","0,4"
20/07/2011 11.00,"3,6","5,8","0,2","89,3",,"0,3"
20/07/2011 12.00,4,"6,9","0,2","88,7","60,1","0,3"
20/07/2011 13.00,"3,3","6,1","0,2","87,5",,"0,2"
20/07/2011 14.00,"3,7","6,1","0,2","88,5","75,7","0,2"
20/07/2011 15.00,"1,6","3,6","0,1","89,3",,"0,2"
20/07/2011 16.00,"1,5","3,3","0,1","92,6","107,9","0,1"
20/07/2011 17.00,"2,6","4,3","0,2","96,6",,"0,2"
20/07/2011 18.00,"6,2","8,5","0,3","101,6","89,4","0,7"
20/07/2011 19.00,"6,6","8,7","0,2","84,6",,"1,1"
20/07/2011 20.00,"12,2",16,"0,2","99,9","81,6","0,8"
20/07/2011 21.00,"17,8","22,6","0,2","85,3",,"0,6"
20/07/2011 22.00,"7,6","9,5","0,2","75,8","70,3","0,6"
20/07/2011 23.00,"3,9","5,3","0,1","68,2",,"0,4"
21/07/2011 0.00,"7,4","8,8","0,2",61,"50,3","0,4"
21/07/2011 1.00,"7,3","8,9","0,2","58,2",,"0,4"
21/07/2011 2.00,,,"0,2",,42,"0,4"
21/07/2011 3.00,"4,8","5,8",,"56,6",,"0,5"
21/07/2011 4.00,4,"5,1","0,2","54,9","33,7","0,5"
21/07/2011 5.00,"4,6","6,4","0,2","49,3",,"0,4"
21/07/2011 6.00,"8,6","10,6","0,2","43,5","33,2","0,5"
21/07/2011 7.00,"11,5","14,9","0,3","44,2",,"0,7"
21/07/2011 8.00,"11,4","15,8","0,3","60,1","28,3","0,8"
21/07/2011 9.00,"13,8","20,2","0,3","74,5",,"0,6"
21/07/2011 10.00,"7,6","10,8","0,2","89,6","22,5","0,7"
21/07/2011 11.00,"6,9","9,9","0,2","98,3",,"0,4"
21/07/2011 12.00,"5,6","7,9","0,2","102,5","30,3","0,4"
21/07/2011 13.00,"6,2","8,6","0,2","107,8",,"0,4"
21/07/2011 14.00,"4,9","7,3","0,2","108,3","25,9","0,5"
21/07/2011 15.00,"3,4","5,4","0,2","106,1",,"0,3"
21/07/2011 16.00,"3,6","5,9","0,2","106,1","24,9","0,2"
21/07/2011 17.00,"6,4","9,5","0,2","110,2",,"0,3"
21/07/2011 18.00,"6,2",9,"0,2","101,5","27,8","0,3"
21/07/2011 19.00,"9,7","13,9","0,2","95,3",,"0,5"
21/07/2011 20.00,"15,1","19,7","0,3","83,4","36,6","0,4"
21/07/2011 21.00,17,"20,6","0,4","87,4",,"0,7"
21/07/2011 22.00,"9,7",12,"0,3","82,7","55,7","1,3"
21/07/2011 23.00,"5,2","7,1","0,3","80,7",,"0,9"
22/07/2011 0.00,"4,1","5,7","0,2","78,1","48,4","0,6"
22/07/2011 1.00,"4,3","5,4","0,2","74,3",,"0,4"
22/07/2011 2.00,"2,9",4,"0,2","75,9","41,5","0,3"
22/07/2011 3.00,"2,3","3,2","0,2","73,5",,"0,2"
22/07/2011 4.00,"3,3","4,3","0,2","65,6","31,3","0,3"
22/07/2011 5.00,"3,9","5,1","0,2","61,3",,"0,5"
22/07/2011 6.00,"6,9",10,"0,2","60,3","26,4","0,4"
22/07/2011 7.00,"13,7","17,3","0,3","54,2",,"0,6"
22/07/2011 8.00,"20,9","29,6","0,5","49,2",21,"0,9"
22/07/2011 9.00,"12,7",18,"0,3","66,9",,1
22/07/2011 10.00,"9,9","14,9","0,3","81,2",22,"0,7"
22/07/2011 11.00,8,"11,7","0,2","93,3",,"0,6"
22/07/2011 12.00,"9,7","13,4","0,2","101,5","15,6","0,5"
22/07/2011 13.00,10,"14,8","0,3","102,7",,"0,5"
22/07/2011 14.00,"8,1","12,4","0,2","101,1","15,6","0,5"
22/07/2011 15.00,"6,3","10,2","0,2","108,6",,"0,4"
22/07/2011 16.00,"4,9","7,6","0,2","113,4","18,6","0,6"
22/07/2011 17.00,"4,3","6,6","0,2","121,6",,"0,4"
22/07/2011 18.00,"6,1","9,7","0,2","115,6","15,6","0,4"
22/07/2011 19.00,8,"11,8","0,3","104,4",,"0,4"
22/07/2011 20.00,"11,5","15,5","0,3",91,"37,1","0,5"
22/07/2011 21.00,"20,2",25,"0,3","63,1",,"1,9"
22/07/2011 22.00,16,"19,6","0,3","60,6","44,4","0,7"
22/07/2011 23.00,"8,1","10,8","0,3","63,3",,"0,5"
23/07/2011 0.00,"8,1","10,4","0,3","58,7","31,3","0,6"
23/07/2011 1.00,"9,4","11,4","0,3","52,9",,"0,7"
23/07/2011 2.00,,,"0,2",,"24,9","0,7"
23/07/2011 3.00,"9,7",13,,"45,6",,"0,6"
23/07/2011 4.00,"6,6","7,9","0,2",47,"22,5","0,7"
23/07/2011 5.00,"6,4","8,1","0,2","45,8",,"0,7"
23/07/2011 6.00,"8,1",10,"0,2","45,3","22,5","0,5"
23/07/2011 7.00,"9,6","13,1","0,3","47,4",,"0,6"
23/07/2011 8.00,"8,4","12,2","0,3",59,"35,7","0,9"
23/07/2011 9.00,"7,7","11,1","0,3","64,2",,"0,6"
23/07/2011 10.00,"5,2",10,"0,2",73,"24,9","0,6"
23/07/2011 11.00,5,"9,1","0,2","84,2",,"0,4"
23/07/2011 12.00,"4,3","6,7","0,2",94,"17,6","0,3"
23/07/2011 13.00,"4,7","7,1","0,2",101,,"0,4"
23/07/2011 14.00,"5,4","8,2","0,2",96,"18,6","0,4"
23/07/2011 15.00,"3,1","5,2","0,2","97,6",,"0,4"
23/07/2011 16.00,"3,3","5,5","0,2","102,7","17,6","0,4"
23/07/2011 17.00,"1,6","3,4","0,2","101,4",,"0,3"
23/07/2011 18.00,"3,8","5,8","0,2","106,3","14,2","0,3"
23/07/2011 19.00,"8,3","10,9","0,2","92,8",,"0,6"
23/07/2011 20.00,"9,1",11,"0,2","61,5","25,9","0,7"
23/07/2011 21.00,"14,9","20,6","0,3","51,1",,"0,5"
23/07/2011 22.00,"19,7","23,4","0,3","44,7","38,1","0,5"
23/07/2011 23.00,"12,5","14,5","0,3",42,,"0,8"
24/07/2011 0.00,"8,3","9,9","0,2","42,5",43,"0,8"
24/07/2011 1.00,"5,3","6,9","0,2","46,3",,"0,7"
24/07/2011 2.00,"6,6","8,2","0,2","40,1","36,1","0,4"
24/07/2011 3.00,"9,8","11,4","0,2","44,9",,"0,6"
24/07/2011 4.00,"8,9","10,4","0,2","41,8",19,"0,6"
24/07/2011 5.00,"8,7","9,7","0,2","27,7",,"0,6"
24/07/2011 6.00,9,"11,6","0,2","30,7","24,4","0,8"
24/07/2011 7.00,"7,8",11,"0,2","25,6",,"0,8"
24/07/2011 8.00,"9,1","13,6","0,2","54,4","15,6","0,8"
24/07/2011 9.00,"3,8","6,4","0,2",95,,"0,6"
24/07/2011 10.00,"2,6","5,2","0,2","100,8","11,2","0,5"
24/07/2011 11.00,"2,5","4,3","0,2","103,9",,"0,5"
24/07/2011 12.00,"1,5","3,2","0,2","102,7","18,6","0,4"
24/07/2011 13.00,"1,1","2,9","0,2","101,4",,"0,2"
24/07/2011 14.00,,,"0,1","102,4",20,"0,2"
24/07/2011 15.00,,,"0,1","103,2",,"0,2"
24/07/2011 16.00,,,"0,2","103,2","28,3","0,2"
24/07/2011 17.00,,,"0,1","104,2",,"0,2"
24/07/2011 18.00,"1,9","3,6","0,1","99,7","23,4","0,2"
24/07/2011 19.00,"3,1","5,3","0,1","95,4",,"0,2"
24/07/2011 20.00,"5,8","7,4","0,2","91,3","30,3","0,2"
24/07/2011 21.00,"12,4",16,"0,2","77,8",,"0,3"
24/07/2011 22.00,"4,6","6,3","0,1","84,7","40,5","0,3"
24/07/2011 23.00,"2,4","4,1","0,1","85,8",,"0,3"
25/07/2011 0.00,"2,4","3,5","0,1",86,"31,7","0,2"
25/07/2011 1.00,"6,7","8,1","0,2","74,6",,"0,2"
25/07/2011 2.00,,,"0,2",,"25,9","0,3"
25/07/2011 3.00,"6,8","8,2",,71,,"0,4"
25/07/2011 4.00,"7,6","8,5","0,2","62,3","26,9","0,4"
25/07/2011 5.00,"15,3","18,5","0,2",49,,"0,4"
25/07/2011 6.00,"20,4","23,9","0,2","47,4","23,9","0,6"
25/07/2011 7.00,"21,1","26,5","0,2","57,5",,"0,6"
25/07/2011 8.00,"11,5","15,4","0,2","79,4","17,6","0,6"
25/07/2011 9.00,"9,7","13,5","0,2","89,1",,"0,5"
25/07/2011 10.00,"7,3","10,3","0,2","96,7","15,1","0,5"
25/07/2011 11.00,"7,8","11,5","0,2","101,9",,"0,4"
25/07/2011 12.00,"5,6","7,8","0,2","104,7","19,5","0,4"
25/07/2011 13.00,"3,4","5,8","0,2",99,,"0,2"
25/07/2011 14.00,"4,3",7,"0,2","100,8","19,5","0,2"
25/07/2011 15.00,3,"5,3","0,2","101,9",,"0,2"
25/07/2011 16.00,"3,8","6,4","0,2","101,9","17,1","0,3"
25/07/2011 17.00,"6,3","9,5","0,2","97,8",,"0,3"
25/07/2011 18.00,"8,6","16,6","0,2","96,2","30,8","0,3"
25/07/2011 19.00,"8,8","13,4","0,2","94,1",,"0,3"
25/07/2011 20.00,"7,9","11,4","0,2","88,7","39,6","0,3"
25/07/2011 21.00,"9,6","13,4","0,2","82,2",,"0,4"
25/07/2011 22.00,7,"8,9","0,2","83,5","37,6","0,4"
25/07/2011 23.00,"10,2","12,3","0,3","75,4",,"0,3"
26/07/2011 0.00,"13,5","15,7","0,3",60,"30,3","0,8"
26/07/2011 1.00,"13,1","15,6","0,2","63,1",,"0,8"
26/07/2011 2.00,"9,3","10,8","0,2","67,4","14,7","0,6"
26/07/2011 3.00,"9,2","10,9","0,2","72,2",,"0,7"
26/07/2011 4.00,"5,2","6,4","0,2","84,8","17,1","0,5"
26/07/2011 5.00,"4,4","6,1","0,2","85,4",,"0,3"
26/07/2011 6.00,"10,5","12,8","0,2","74,7","14,7","0,4"
26/07/2011 7.00,"19,9","24,3","0,3","47,1",,"0,6"
26/07/2011 8.00,"16,4","21,6","0,3","70,1","22,5","0,9"
26/07/2011 9.00,"12,1","17,3","0,3","91,8",,"1,2"
26/07/2011 10.00,"8,8","14,8","0,2","100,7","17,6","0,5"
26/07/2011 11.00,"10,7","15,2","0,2","100,8",,"0,4"
26/07/2011 12.00,"17,4","22,6","0,3","83,7","20,5","0,6"
26/07/2011 13.00,"11,2","16,6","0,2","93,9",,"0,8"
26/07/2011 14.00,"8,8","14,2","0,2","98,1","8,8","0,5"
26/07/2011 15.00,"4,8","7,6","0,2","103,5",,"0,5"
26/07/2011 16.00,"5,9","10,8","0,2","105,2","9,3","0,3"
26/07/2011 17.00,"8,3","12,5","0,2","105,6",,"0,3"
26/07/2011 18.00,"6,7",11,"0,2","105,6","10,7","0,5"
26/07/2011 19.00,"8,6","12,9","0,2","102,3",,"0,5"
26/07/2011 20.00,"8,6","13,5","0,3","94,8","22,5","0,4"
26/07/2011 21.00,"17,7","22,5","0,3","74,1",,"0,6"
26/07/2011 22.00,"21,5","27,9","0,3","60,5","22,5","0,6"
26/07/2011 23.00,"25,7","31,3","0,3","50,4",,"0,7"
27/07/2011 0.00,"25,4","33,4","0,4","38,6",,"1,1"
27/07/2011 1.00,"22,6","25,1","0,3","42,4",,1
27/07/2011 2.00,,,"0,3",,"31,3",1
27/07/2011 3.00,"24,4",32,,"16,9",,1
27/07/2011 4.00,"21,8","24,7","0,3","16,4","20,5","1,2"
27/07/2011 5.00,"17,2","20,1","0,3","23,6",,"1,4"
27/07/2011 6.00,"19,7","26,7","0,3","32,3","29,3","1,2"
27/07/2011 7.00,"31,2",46,"0,4","42,6",,"1,3"
27/07/2011 8.00,"17,6",25,"0,2","77,6","25,4","1,3"
