
Stat, San Pietro In Lama,,,,,
Parm,NO2,NOX,CO,O3,PM10,BENZENE



06/01/2011 9.00,44,"75,1","0,5","14,1",,"1,1"
06/01/2011 10.00,"26,9","39,5","0,4","31,3","11,2","2,1"
06/01/2011 11.00,"16,6","24,4","0,4","48,5",,2
06/01/2011 12.00,17,"25,1","0,4","63,8","10,3","1,9"
06/01/2011 13.00,"12,5","18,9","0,3","70,7",,"1,7"
06/01/2011 14.00,"17,5","26,6","0,3","72,9","17,6","1,5"
06/01/2011 15.00,16,"22,5","0,4","75,7",,2
06/01/2011 16.00,"15,9","20,6","0,3","76,4","30,3","1,8"
06/01/2011 17.00,26,"33,4","0,4","60,9",,"1,9"
06/01/2011 18.00,"50,3","64,3","0,8","36,6","26,4","2,3"
06/01/2011 19.00,"62,4","86,6","0,8","16,5",,"4,2"
06/01/2011 20.00,"61,5",94,"0,7","10,2","44,9","4,5"
06/01/2011 21.00,"51,9","64,7","0,7",19,,"3,8"
06/01/2011 22.00,69,"98,8","0,8","8,7","47,9","4,4"
06/01/2011 23.00,"53,8",81,"0,8","15,7",,"4,7"
07/01/2011 0.00,"52,2","65,6","0,8","19,5","50,8","4,5"
07/01/2011 1.00,"55,4","67,8","0,6","17,7",,"3,5"
07/01/2011 2.00,"31,7","35,7","0,4","29,8","37,6",3
07/01/2011 3.00,"14,2","16,8","0,3","43,2",,"1,7"
07/01/2011 4.00,12,"14,1","0,3",42,"26,9","1,4"
07/01/2011 5.00,"16,1","17,4","0,3","35,8",,"1,5"
07/01/2011 6.00,"16,5","18,1","0,3","39,2","27,4","1,6"
07/01/2011 7.00,"21,5","24,4","0,3","39,3",,"1,4"
07/01/2011 8.00,"52,3","66,7","0,4","18,1",19,"1,5"
07/01/2011 9.00,"68,8","123,5","0,6","11,9",,"1,9"
07/01/2011 10.00,"51,7","88,3","0,4","30,8","24,9","3,2"
07/01/2011 11.00,"18,5",31,"0,3","61,8",,"2,1"
07/01/2011 12.00,"11,3","18,3","0,2",74,"20,5","1,3"
07/01/2011 13.00,"10,8","16,8","0,2","77,6",,"1,2"
07/01/2011 14.00,"12,3","19,7","0,2","79,3","13,7","1,2"
07/01/2011 15.00,"6,9","10,9","0,2","83,4",,1
07/01/2011 16.00,"9,6","14,7","0,2","80,2","6,3","0,8"
07/01/2011 17.00,"20,5","28,4","0,2","62,4",,"0,9"
07/01/2011 18.00,"39,2","52,7","0,4","42,9","23,4","1,2"
07/01/2011 19.00,"73,5","97,8","0,5","17,7",,"2,6"
07/01/2011 20.00,76,"99,8","0,7","14,4","53,7",4
