BARI - JAPIGIA,,,,,,,
,Japigia,,,,,,
,SO2,NO2,NOX,CO,PM10,BENZENE,CH4



03/01/2011 16.00,"8,95771769","18,54918578","23,22881152","0,36501664","8,86650467","1,47661078","575,01696"
03/01/2011 17.00,"7,269456","20,92557808","25,4712816","0,28596207","8,86365509","1,33954257","604,1308"
03/01/2011 18.00,"6,61581891","15,26945762","19,08238905","0,25968899","8,86148453","0,78721292","601,57741"
03/01/2011 19.00,"6,75124161","14,68152526","18,16931918","0,26308147","8,86460495","0,68501967","601,10211"
03/01/2011 20.00,"6,70790623","17,77824826","22,21197168","0,26400881","8,86474037","0,65906583","601,67394"
03/01/2011 21.00,"6,76929743","15,31747941","19,70881952","0,23446091","8,85904217","0,71746096","601,50489"
03/01/2011 22.00,"5,64800306","11,6743527","15,80882326","0,23199577","8,85958481","0,66360776","601,44511"
03/01/2011 23.00,"5,47646771","16,44663586","20,53629488","0,24130645","8,86379147","0,79402478","618,90136"
04/01/2011 0.00,"4,2973935","19,64587648","23,46356688","0,24730154","8,86433315","0,70805371","638,51851"
04/01/2011 1.00,"4,19266691","16,12735098","19,54410072","0,25383137",,"0,63051661","630,86422"
04/01/2011 2.00,,"12,23892997","15,803636","0,22026073",,"0,70286192","618,1007"
04/01/2011 3.00,"5,736478",,,"0,23325863",,"0,66474273","630,97055"
04/01/2011 4.00,"4,52490251","21,38503168","25,0640256","0,22227268",,"0,73741348",
04/01/2011 5.00,"5,59383358","12,50369417","15,87886173","0,20392859",,"0,73660293",
04/01/2011 6.00,"5,76536792","14,58158694","18,15894276",,"11,94151974","0,62662353",
04/01/2011 7.00,"4,29919868","25,79779384","30,34919512","0,27392995","11,93881035","0,64543905","620,84274"
04/01/2011 8.00,"4,34433924","47,8356588","56,97478936","0,3725705","11,9484396","0,9774865","630,17626"
04/01/2011 9.00,"5,42049305","65,1272132","87,21763904","0,53016587","11,94301987","1,60021696","642,94321"
04/01/2011 10.00,"6,67179357","66,96628952","91,18377712","0,55225777","11,94328976","2,11037162","642,08865"
04/01/2011 11.00,"6,95708241","61,82541864","87,29805776","0,5513712","11,94519043","2,38402292","634,00463"
04/01/2011 12.00,"6,93360904","34,42863832","46,86097856","0,38738347","11,94816971","1,98920013","525,90426"
04/01/2011 13.00,"6,71874033","19,22797064","26,4167656","0,31951174","11,94532013","1,22307471","600,50774"
04/01/2011 14.00,"5,95676528","20,68288792","28,00686128","0,29882134","11,94274044","0,89362265","604,51937"
04/01/2011 15.00,"6,151773","18,01056582","23,1393108","0,26313972","11,94396973","1,08227513","604,4297"
04/01/2011 16.00,"5,52341446","18,3869545","23,42465768","0,26955071","11,94451046","0,73936002","605,09414"
04/01/2011 17.00,"4,41656455","27,3785972","32,24926424","0,33755992","11,94314957","0,90205866","607,33148"
04/01/2011 18.00,"4,62421154","61,7903908","70,97173832","0,52669534","11,94112015","1,04334437","619,37715"
04/01/2011 19.00,"6,29983396","98,22423912","192,0131736","0,91571563","11,94151974","1,83201668","635,55009"
04/01/2011 20.00,"6,76387987","129,90007544","353,848104","1,16222847","11,94029999","2,52222712","667,576"
04/01/2011 21.00,"5,39160313","98,12949952","233,8727808","1,1230169","11,94382954","3,89469812","667,6054"
04/01/2011 22.00,"6,08496423","95,50520304","227,7406144","1,00648661","11,94328976","3,83305775","655,95859"
04/01/2011 23.00,"6,04704641","73,2038836","143,7021916","0,74007091","11,94192982","3,21697847","656,72005"
05/01/2011 0.00,"5,75272966","66,07206624","105,91353832","0,6806629","11,94437027","2,14427433","668,83187"
05/01/2011 1.00,"5,49632972","53,29581456","70,75124648","0,67945946",,"2,49432674","669,51052"
05/01/2011 2.00,"5,29048892","32,84913512","37,53961528","0,41010563",,"2,22002659","636,66778"
05/01/2011 3.00,"4,47795575","34,95946688","39,32815744","0,38128819",,"1,48926429","647,46346"
05/01/2011 4.00,"5,7057829","19,74711688","22,92141928","0,33856648",,"1,36452314","681,87518"
05/01/2011 5.00,"5,36090803","13,31356574","15,73619402","0,3178353",,"1,2088001","669,26062"
05/01/2011 6.00,"3,35124484","38,43127648","45,59902032","0,3295121","20,92769051","1,52170557","655,06826"
05/01/2011 7.00,"5,85384386","51,188064","77,88461256","0,36410794","20,93460083","1,17927761","652,21303"
