"NetC","Provincia di TARANTO","","","","",""
"41277.3333333","745.133941","353.485944","203.284417","1.830454","10.923053","48.339844"
"41277.375","322.745654","166.122865","68.081177","1.621659","2.482235",""
"41277.4166667","336.191388","164.141776","84.575838","2.111622","3.35792","100.585938"
"41277.4583333","127.067196","38.977616","67.350472","1.129724","24.615275",""
"41277.5","98.603791","26.891586","57.411371","0.885729","41.963173","88.867188"
"41277.5416667","96.527333","29.078203","51.97848","0.964614","40.93387",""
"41277.5833333","58.920259","14.351315","36.941337","0.819393","54.179451","56.640625"
"41277.625","46.866179","9.992461","31.566846","0.790112","58.325759",""
"41277.6666667","64.975833","14.686286","42.487143","0.860079","48.798794","37.109375"
"41277.7083333","78.647241","19.506994","48.771439","0.908064","38.154554",""
"41277.75","90.475654","23.056335","55.162162","0.965482","29.234613","37.597656"
"41277.7916667","77.699154","18.674642","49.099802","0.946422","37.232175",""
"41277.8333333","103.73073","30.054355","57.689116","1.073609","25.803608","41.992188"
"41277.875","93.301759","26.550695","52.628713","0.989475","28.888807",""
"41277.9166667","48.281175","10.02122","32.938696","0.845281","36.252274","46.386719"
"41277.9583333","20.043446","2.482678","16.248061","0.743901","51.487433",""
"41278.0","13.768682","1.285748","11.805446","0.729064","55.187777","46.386719"
"41278.0416667","10.763593","0.955852","9.304446","0.709569","58.266886",""
"41278.0833333","","","","0.667464","53.403925","35.15625"
"41278.125","15.36915","0.290985","14.933317","0.682419","51.813615",""
"41278.1666667","9.512013","0.203013","9.207105","0.663083","","33.691406"
"41278.2083333","7.64826","0.274067","7.233041","0.656887","49.494473",""
"41278.25","10.388766","0.927092","8.973489","0.692285","45.759612","27.34375"
"41278.2916667","24.06666","4.520419","17.147485","0.722789","46.123017",""
"41278.3333333","28.69686","5.309631","20.569976","0.747058","46.573715","19.042969"
"41278.375","38.175151","8.539226","25.09955","0.808896","43.096693",""
"41278.4166667","37.827562","9.333514","23.533017","0.829693","45.009798","20.019531"
"41278.4583333","40.959754","11.197003","23.808166","0.795439","51.696542",""
"41278.5","51.758367","14.083168","30.185909","0.832771","47.469701","21.972656"
"41278.5416667","42.516124","10.923782","25.784825","0.779062","55.245977",""
"41278.5833333","43.043991","11.373793","25.622591","0.810553","56.916815","26.367188"
"41278.625","33.027457","7.027627","22.267592","0.729379","61.017104",""
"41278.6666667","42.638038","10.87472","25.982103","0.755346","60.86755","25.878906"
"41278.7083333","50.658531","12.235752","31.919868","0.847135","51.910388",""
"41278.75","72.308927","19.528989","42.39499","0.960944","41.708049","25.878906"
"41278.7916667","102.222349","31.705528","53.646246","1.060388","29.711706",""
"41278.8333333","61.952586","14.458743","39.810931","0.977163","36.117606","27.34375"
"41278.875","62.332596","14.385996","40.302822","0.957866","35.999178",""
"41278.9166667","32.937967","5.450894","24.597272","0.825272","49.040388","34.179688"
"41278.9583333","23.127651","3.351404","18.001485","0.782062","50.445272",""
"41279.0","21.813815","2.892087","17.391487","0.797689","52.237248","38.574219"
"41279.0416667","12.270676","1.230766","10.390764","0.775432","57.640914",""
"41279.0833333","7.816865","0.658946","6.811233","0.714937","59.919452","29.785156"
"41279.125","9.082713","0.974462","7.59385","0.696902","55.461851",""
"41279.1666667","6.392787","0.532063","5.58085","0.693469","58.245908","24.902344"
"41279.2083333","3.532959","0.130267","3.335531","0.687115","60.881758",""
"41279.25","13.999545","1.950615","11.016338","0.748006","49.322582","18.554688"
"41279.2916667","97.437813","35.756477","42.642885","0.8321","34.213294",""
"41279.3333333","66.726751","16.501559","41.454034","0.91643","31.768956","15.136719"
"41279.375","199.003889","82.248103","72.945609","1.535908","8.436757",""
"41279.4166667","112.141615","36.060152","56.890926","1.244993","22.697431","10.742188"
"41279.4583333","78.385251","20.282673","47.319121","1.033081","33.696953",""
"41279.5","49.626137","12.165542","30.994484","0.861381","49.868703","15.625"
"41279.5416667","51.51972","12.975903","31.646015","0.882493","47.346539",""
"41279.5833333","42.469434","10.862879","25.831548","0.786995","56.543262","19.53125"
"41279.625","21.275571","4.275958","14.729551","0.725276","64.292464",""
"41279.6666667","30.026259","6.348381","20.306506","0.754044","56.150764","22.949219"
"41279.7083333","36.380138","8.867431","22.799721","0.78364","49.79629",""
"41279.75","37.39048","7.810919","25.431804","0.856172","44.521204","21.484375"
"41279.7916667","87.202088","26.669119","46.343122","0.992119","26.04452",""
"41279.8333333","55.76472","13.82771","34.586996","0.880993","35.630363","24.902344"
"41279.875","63.741111","17.467562","36.984162","0.908499","31.620077",""
"41279.9166667","50.274627","12.022588","31.862762","0.861854","34.678205","34.179688"
"41279.9583333","25.883722","4.698056","18.693252","0.745244","40.556934",""
"41280.0","18.738688","2.224682","15.338252","0.706413","40.36407","28.320313"
"41280.0416667","17.414479","2.168007","14.100082","0.704834","38.579541",""
"41280.0833333","","","","0.679894","56.909368","32.714844"
"41280.125","15.677828","1.675702","13.117593","0.692285","66.757782",""
"41280.1666667","8.571704","0.786675","7.370616","0.695877","","28.320313"
"41280.2083333","5.420057","0.927092","4.00134","0.708228","73.754468",""
"41280.25","3.962257","0.494844","3.205744","0.713634","74.320204","15.136719"
"41280.2916667","6.226776","1.049746","4.620425","0.72571","72.05385",""
"41280.3333333","6.964754","1.229073","5.083764","0.719356","72.028812","15.136719"
"41280.375","10.458804","2.37102","6.828105","0.757201","73.244211",""
"41280.4166667","18.051292","4.709898","10.837232","0.777761","71.134851","16.113281"
"41280.4583333","25.351962","7.564766","13.762636","0.795913","70.171871",""
"41280.5","28.608665","8.415727","15.715934","0.799899","68.076719","13.183594"
"41280.5416667","28.980897","8.874199","15.384975","0.771683","65.756903",""
"41280.5833333","29.673481","8.921568","16.005358","0.750255","64.77091","15.136719"
"41280.625","8.976361","2.358333","5.364105","0.686997","69.353031",""
"41280.6666667","9.285043","2.028436","6.179169","0.71474","67.482551","13.183594"
"41280.7083333","14.36529","3.048576","9.697701","0.729379","62.781332",""
"41280.75","28.223464","6.789934","17.824975","0.770933","54.823022","10.742188"
"41280.7916667","34.892507","6.77386","24.523293","0.845912","46.487772",""
"41280.8333333","35.007937","7.449725","23.601804","0.796347","45.262898","11.230469"
"41280.875","34.780968","6.55393","24.749125","0.825707","40.150901",""
"41280.9166667","38.275016","7.350756","27.022994","0.831744","33.073009","19.042969"
"41280.9583333","24.436298","3.781959","18.650422","0.780049","38.716915",""
"41281.0","20.94614","3.067185","16.25455","0.780917","37.425717","18.066406"
"41281.0416667","15.273172","2.094416","12.070212","0.761739","41.848128",""
"41281.0833333","10.392659","0.730846","9.278487","0.757438","44.085391","20.019531"
"41281.125","5.490094","0.305365","5.025361","0.755464","50.64626",""
"41281.1666667","2.909114","0.153105","2.676212","0.706728","51.830537","15.625"
"41281.2083333","2.483707","0.200475","2.17783","0.740705","61.109816",""
"41281.25","4.627606","0.479618","3.894914","0.743191","63.527764","8.300781"
"41281.2916667","26.371384","6.746792","16.037807","0.753807","51.415702",""
"41281.3333333","37.044189","10.223387","21.383742","0.811659","42.63381","6.347656"
"41281.375","83.313758","29.317588","38.388462","0.98107","29.380111",""
"41281.4166667","51.802461","17.063228","25.657633","0.874758","37.431132","16.601563"
"41281.4583333","46.639206","16.008406","22.10925","0.811224","41.731736",""
"41281.5","59.767182","19.753147","29.500632","0.836085","38.519986","16.113281"
"41281.5416667","55.452148","18.122277","27.68491","0.825115","41.808204",""
"41281.5833333","62.402637","20.939081","30.318292","0.868918","42.659529","19.53125"
"41281.625","29.140423","8.374279","16.311657","0.756805","51.412319",""
"41281.6666667","40.578443","11.892322","22.359741","0.835888","46.876214","21.484375"
"41281.7083333","46.570467","15.423053","22.938593","0.889873","40.933196",""
"41281.75","62.722991","20.30382","31.613569","0.955538","38.466524","15.625"
"41281.7916667","67.768219","23.247506","32.145696","0.9656","42.898413",""
"41281.8333333","58.164121","19.446935","28.366292","0.923375","48.575477","19.042969"
"41281.875","64.315673","20.204005","33.360506","0.949144","54.333746",""
"41281.9166667","38.948148","10.237768","23.266955","0.867971","61.809555","18.554688"
"41281.9583333","16.832137","3.435146","11.573126","0.783798","67.948828",""
"41282.0","13.409422","2.712759","9.256424","0.808896","68.605926","21.972656"
"41282.0416667","11.160466","2.426849","7.444594","0.778076","69.263031",""
"41282.0833333","","","","0.705387","70.793109","26.367188"
"41282.125","7.792224","0.236002","7.435509","0.710162","71.54631",""
"41282.1666667","5.606821","0.437323","4.939702","0.7029","","21.972656"
"41282.2083333","4.654842","0.636107","3.682064","0.683564","70.69295",""
"41282.25","13.69735","2.604486","9.710679","0.685419","64.632181","16.601563"
"41282.2916667","51.209745","13.863237","29.974356","0.860907","50.653703",""
"41282.3333333","119.701674","39.793051","58.728712","1.120411","32.59795","14.648438"
"41282.375","161.492794","60.830256","68.270667","1.232246","27.469032",""
"41282.4166667","","","","0.987304","41.192385","25.878906"
"41282.4583333","79.217914","23.129927","43.783715","0.919824","51.735792",""
"41282.5","72.710992","21.993057","39.016632","0.867773","54.760765","28.320313"
"41282.5416667","83.010267","27.093753","41.496866","0.913313","53.05947",""
"41282.5833333","116.422922","40.903701","53.743584","1.051115","48.367042","24.902344"
"41282.625","65.837022","19.148339","36.502654","0.938727","55.466588",""
"41282.6666667","88.307106","25.389291","49.412588","1.000051","46.925616","21.484375"
"41282.7083333","136.528629","42.888995","70.817095","1.200163","27.177362",""
"41282.75","141.874751","45.185578","72.643205","1.295228","22.274476","16.601563"
"41282.7916667","192.844563","68.312122","88.164455","1.559782","12.86932",""
"41282.8333333","165.327939","56.226092","79.172796","1.501142","11.89551","25.878906"
"41282.875","155.015696","50.636474","77.429754","1.444198","10.730186",""
"41282.9166667","231.002843","93.432419","87.80624","1.699597","4.946875","42.480469"
"41282.9583333","129.757128","43.459969","63.164843","1.607018","4.248494",""
"41283.0","110.884845","36.736016","54.596287","1.545063","3.867496","61.523438"
"41283.0416667","127.020502","46.01032","56.513247","1.463376","5.151247",""
"41283.0833333","41.370897","4.941671","33.817354","1.072346","8.592404","82.519531"
"41283.125","29.829118","3.139086","25.033358","0.941607","7.653785",""
"41283.1666667","22.49732","1.926931","19.556336","0.821958","8.741285","67.382813"
"41283.2083333","89.668934","42.190298","24.997017","0.806371","7.988764",""
"41283.25","440.390308","236.562381","77.729554","0.863038","0.473709","51.269531"
"41283.2916667","413.887945","219.560057","77.296075","1.110821","0.794478",""
"41283.3333333","659.924025","339.424733","139.590043","1.663134","4.709345","37.597656"
"41283.375","606.435465","326.650138","105.664962","2.052113","2.899776",""
"41283.4166667","499.822855","253.96735","110.498235","1.996905","3.343709","61.035156"
"41283.4583333","117.634297","40.528127","55.532055","1.031265","24.709339",""
"41283.5","89.867367","28.804982","45.733117","0.964338","36.091213","82.519531"
"41283.5416667","90.275916","30.183777","44.026416","0.930084","41.795347",""
"41283.5833333","111.107922","38.973387","51.386647","1.035133","44.221414","52.246094"
"41283.625","85.915487","27.026081","44.507928","0.942634","43.592056",""
"41283.6666667","115.011817","37.160651","58.074584","1.05443","30.395877","30.761719"
"41283.7083333","185.471259","68.725761","80.151391","1.364287","16.294238",""
"41283.75","202.036216","77.339424","83.511578","1.721223","5.572171","28.808594"
"41283.7916667","293.322485","137.067495","83.218261","1.912022","4.296541",""
"41283.8333333","276.690076","127.851557","80.714662","2.169039","7.681531","43.945313"
"41283.875","165.404464","66.038378","64.19405","1.791781","4.827095",""
"41283.9166667","163.766386","67.877335","59.733266","1.799989","4.560464","89.84375"
"41283.9583333","105.117197","34.462274","52.31333","1.516611","4.511063",""
"41284.0","59.608953","12.117328","41.058183","1.381295","11.906338","121.09375"
"41284.0416667","45.984235","7.272935","34.856951","1.13438","11.11186",""
"41284.0833333","","","","1.115991","11.551733","114.257813"
"41284.125","24.471317","0.580279","23.597911","0.907827","44.272845",""
"41284.1666667","9.916668","0.246153","9.545848","0.748006","","81.542969"
"41284.2083333","20.323591","3.68722","14.680231","0.757674","60.304511",""
"41284.25","49.081411","11.454153","31.540888","0.782851","44.322921","53.710938"
"41284.2916667","145.974497","50.44615","68.674308","0.902777","19.43019",""
"41284.3333333","91.964576","25.634597","52.696202","0.872627","34.854156","35.15625"
"41284.375","80.191937","22.170692","46.230204","0.893267","40.874996",""
"41284.4166667","58.123915","13.925834","36.797272","0.915918","46.354454","33.691406"
"41284.4583333","41.316424","9.340282","27.013912","0.816671","47.836488",""
"41284.5","41.766474","9.913793","26.584315","0.757358","54.785122","27.34375"
"41284.5416667","55.520888","15.14391","32.323505","0.723381","55.917287",""
"41284.5833333","53.53133","14.137305","31.877036","0.766908","56.419423","28.320313"
"41284.625","38.215357","9.050142","24.355868","0.763988","59.286715",""
"41284.6666667","31.119607","5.780789","22.271485","0.729813","58.874585","19.53125"
"41284.7083333","50.951647","12.641778","31.590208","0.842439","47.498803",""
"41284.75","52.011276","13.719438","30.99708","0.81888","51.220805","18.554688"
"41284.7916667","51.583274","13.166227","31.417591","0.794768","51.927306",""
"41284.8333333","40.95327","9.563596","26.307869","0.797334","54.019071","25.390625"
"41284.875","44.931091","10.175172","29.350081","0.827956","49.720499",""
"41284.9166667","18.509125","3.207603","13.600402","0.748164","62.958637","24.414063"
"41284.9583333","11.334261","0.762144","10.172722","0.792874","57.918371",""
"41285.0","20.009723","1.531901","17.673124","0.842123","41.666089","25.878906"
"41285.0416667","16.891797","1.544589","14.533573","0.816986","42.29883",""
"41285.0833333","7.25787","0.451704","6.569828","0.7499","53.614385","25.390625"
"41285.125","6.774099","0.296061","6.32453","0.739679","49.512745",""
"41285.1666667","9.715636","1.02014","8.157126","0.733878","41.456303","16.113281"
"41285.2083333","8.116467","0.61496","7.178531","0.699822","48.699316",""
"41285.25","255.798407","124.484918","64.974075","0.770183","16.741553","9.765625"
"41285.2916667","155.014397","65.198414","55.085585","0.871877","16.674558",""
"41285.3333333","288.858303","130.033094","89.544095","1.205057","4.079989","12.695313"
"41285.375","349.50353","173.238448","83.939878","1.906853","3.503417",""
"41285.4166667","137.497466","47.09136","65.338775","1.29069","10.322796","20.507813"
"41285.4583333","92.657164","28.665411","48.738993","1.013429","30.571828",""
"41285.5","51.950319","15.857839","27.655057","0.790783","49.432886","39.550781"
"41285.5416667","72.603337","23.306716","36.893315","0.807515","44.377061",""
"41285.5833333","69.606035","21.65893","36.422186","0.966903","43.462129","23.4375"
"41285.625","46.576951","12.552115","27.350058","0.828351","53.108196",""
"41285.6666667","51.973662","11.98114","33.626569","1.085487","45.515995","20.996094"
"41285.7083333","50.658531","11.893168","32.445504","0.938293","46.667109",""
"41285.75","68.971811","18.00047","41.400823","0.969507","38.645857","19.042969"
"41285.7916667","56.32112","13.161998","36.165203","0.898239","42.377335",""
"41285.8333333","42.613397","10.23946","26.932144","0.8512","47.993489","27.34375"
"41285.875","32.827723","8.55276","19.727656","0.810119","54.042754",""
"41285.9166667","34.909367","7.089377","24.056059","0.84966","52.191228","21.972656"
"41285.9583333","15.223889","2.240754","11.796359","0.775037","68.136278",""
"41286.0","6.893419","0.868725","5.565276","0.77192","69.315816","21.972656"
"41286.0416667","5.765052","0.651333","4.769681","0.767145","66.479648",""
"41286.0833333","","","","0.738653","70.849281","17.578125"
"41286.125","14.63117","0.579432","13.752253","0.723894","68.580888",""
"41286.1666667","8.451085","0.214855","8.127274","0.707754","","16.113281"
"41286.2083333","6.929736","0.24277","6.562041","0.689246","61.863014",""
"41286.25","12.798545","1.828807","10.001403","0.697178","54.403453","9.277344"
"41286.2916667","27.842153","6.281555","18.223423","0.727644","49.408529",""
"41286.3333333","38.396934","10.005995","23.070975","0.770223","47.554975","9.765625"
"41286.375","88.598927","29.813279","42.916738","0.964614","39.670423",""
"41286.4166667","66.399913","20.085581","35.627887","0.915405","46.77403","10.742188"
"41286.4583333","63.043338","19.983229","32.426037","0.922784","47.462262",""
"41286.5","70.672148","23.683983","34.38193","1.013862","43.443179","19.53125"
"41286.5416667","80.185453","26.730866","39.226888","1.026333","40.655062",""
"41286.5833333","83.182763","28.586743","39.378739","1.033555","44.155094","17.578125"
"41286.625","35.179139","8.529076","22.117039","0.93119","56.715153",""
"41286.6666667","44.495307","9.995845","29.189143","0.936556","53.24963","21.972656"
"41286.7083333","92.99697","26.627669","52.205605","1.100127","33.793048",""
"41286.75","249.539215","100.74512","95.135323","1.778363","6.68268","18.554688"
"41286.7916667","189.941933","70.212834","82.343499","1.613649","9.956687",""
"41286.8333333","177.567498","66.790372","75.211689","1.955904","8.600526","33.691406"
"41286.875","157.420298","60.107864","65.303736","1.483502","5.153278",""
"41286.9166667","119.919566","39.37603","59.586608","1.546366","3.380929","67.382813"
"41286.9583333","91.146186","25.039096","52.79095","1.497156","5.930161",""
"41287.0","51.396508","9.248081","37.242439","1.04488","30.79244","79.101563"
"41287.0416667","21.664664","3.080719","16.952806","0.829732","50.905449",""
"41287.0833333","14.347133","1.86518","11.495253","0.771999","53.00804","73.730469"
"41287.125","11.166952","1.011681","9.622424","0.752465","53.126464",""
"41287.1666667","11.141013","0.635261","10.17402","0.804121","49.274534","47.851563"
"41287.2083333","7.742938","0.269838","7.334275","0.822668","50.734913",""
"41287.25","6.710546","0.291831","6.267425","0.777761","54.584815","31.738281"
"41287.2916667","8.744203","0.883952","7.393977","0.729103","55.538319",""
"41287.3333333","12.716836","1.015064","11.16819","0.789599","46.867416","19.53125"
"41287.375","19.610256","3.367475","14.456998","0.809133","50.141426",""
"41287.4166667","26.12885","4.297105","19.553741","0.895555","52.306273","20.507813"
"41287.4583333","18.793161","3.910534","12.806104","0.907275","66.010677",""
"41287.5","34.923633","7.53516","23.386357","1.323285","61.065152","17.578125"
"41287.5416667","26.220935","6.259562","16.634828","0.773814","67.257879",""
"41287.5833333","21.021363","5.221659","13.024147","0.737588","73.532497","12.695313"
"41287.625","6.868778","1.273906","4.918935","0.702822","78.42862",""
"41287.6666667","10.151419","1.943002","7.177233","0.689325","77.134714","12.207031"
"41287.7083333","16.846403","3.448681","11.566636","0.70215","71.050262",""
"41287.75","21.379329","4.061103","15.16304","0.723421","66.882302","13.183594"
"41287.7916667","21.690602","3.6297","16.136444","0.738377","63.522349",""
"41287.8333333","25.062737","4.242968","18.569954","0.767855","56.671161","22.460938"
"41287.875","23.660708","4.37831","16.959295","0.750295","59.933668",""
"41287.9166667","17.466357","3.192377","12.580274","0.731313","68.523361","32.226563"
"41287.9583333","11.876395","1.734068","9.223978","0.6853","72.957279",""
"41288.0","11.11637","1.565737","8.721701","0.660321","71.817671","29.785156"
"41288.0416667","6.229369","0.658946","5.222638","0.631198","77.291045",""
"41288.0833333","","","","0.631395","78.471923","30.761719"
"41288.125","15.129208","0.185249","14.855444","0.618767","80.265927",""
"41288.1666667","8.740312","0.274067","8.325849","0.61782","","29.296875"
"41288.2083333","10.444537","1.262063","8.515339","0.617228","84.772942",""
"41288.25","12.319962","1.974299","9.299254","0.606534","80.694982","29.296875"
"41288.2916667","21.300214","4.416375","14.538763","0.625042","80.047351",""
"41288.3333333","24.65419","5.527024","16.190955","0.634986","78.779167","21.484375"
"41288.375","31.142954","7.939493","18.982679","0.67875","77.284272",""
"41288.4166667","30.512624","7.764394","18.620572","0.641655","75.499743","16.601563"
"41288.4583333","18.340518","3.677915","12.710062","0.644023","80.060882",""
"41288.5","34.168797","8.787071","20.710145","0.652033","75.731857","21.972656"
"41288.5416667","26.6658","6.275635","17.055337","0.679184","78.092282",""
"41288.5833333","33.591643","8.810757","20.096252","0.670896","78.02191","12.207031"
"41288.625","17.629776","3.781959","11.839189","0.611585","81.676234",""
"41288.6666667","17.164163","3.558646","11.715892","0.633526","80.171186","22.460938"
"41288.7083333","17.711487","3.532423","12.303827","0.612295","79.386866",""
"41288.75","19.065526","3.826792","13.207146","0.643667","78.798786","25.878906"
"41288.7916667","29.0652","6.704499","18.79838","0.685774","74.375028",""
"41288.8333333","25.469987","5.608229","16.88272","0.658032","72.144535","24.902344"
"41288.875","30.928953","6.569157","20.871082","0.71249","63.879665",""
"41288.9166667","24.729415","2.75167","20.524549","0.902382","54.442022","28.808594"
"41288.9583333","10.895884","0.649641","9.906657","0.67287","67.547528",""
"41289.0","5.914204","0.783291","4.716468","0.655664","70.049383","27.832031"
"41289.0416667","3.8157","0.356118","3.271935","0.620148","72.749525",""
"41289.0833333","3.894814","0.124345","3.706723","0.639998","74.184184","20.507813"
"41289.125","7.400537","0.280835","6.974766","0.702624","63.114961",""
"41289.1666667","6.785772","0.246153","6.412786","0.699902","53.788307","21.972656"
"41289.2083333","10.975","1.047208","9.375828","0.709254","40.379637",""
"41289.25","55.663556","17.117363","29.438334","0.766829","30.150224","23.4375"
"41289.2916667","57.204362","13.174686","37.029587","0.905578","33.636725",""
"41289.3333333","64.06536","14.348777","42.093888","0.784114","37.185482","12.207031"
"41289.375","82.88316","24.057865","46.027739","0.829259","37.821606",""
"41289.4166667","63.135428","16.934653","37.195716","0.887268","40.288952","15.136719"
"41289.4583333","194.984564","79.121707","73.720433","1.757054","7.921768",""
"41289.5","55.347094","13.86916","34.105484","0.979333","44.021777","23.4375"
"41289.5416667","77.693969","21.25629","45.133505","0.787349","40.851313",""
"41289.5833333","147.080806","50.038433","70.40697","1.068518","23.35927","35.15625"
"41289.625","77.168691","22.655385","42.461184","0.867063","41.841366",""
"41289.6666667","67.989998","19.851271","37.578588","0.766158","48.60593","23.925781"
"41289.7083333","67.386911","16.646206","41.892717","0.814065","45.771797",""
"41289.75","78.568126","17.870205","51.203651","0.962838","36.187986","13.671875"
"41289.7916667","44.562751","11.769668","26.534995","0.744691","62.624335",""
"41289.8333333","143.425932","40.301431","81.68937","1.208924","18.446906","12.207031"
"41289.875","70.379028","18.242394","42.437819","0.914852","43.58529",""
"41289.9166667","28.560678","4.637997","21.464208","0.827759","53.016834","8.300781"
"41289.9583333","14.651921","1.37795","12.547828","0.767658","57.205779",""
"41290.0","7.849291","0.664867","6.834594","0.68388","65.019942","14.160156"
"41290.0416667","4.270937","0.631032","3.30568","0.648442","67.492033",""
"41290.0833333","","","","0.665806","64.487365","17.578125"
"41290.125","42.749581","1.317046","40.758375","1.287375","34.3527",""
"41290.1666667","20.601144","0.28591","20.17672","0.858421","","10.742188"
"41290.2083333","12.62475","0.504148","11.859955","0.828588","59.147313",""
"41290.25","26.52313","5.525332","18.063784","0.748755","58.737889","13.671875"
"41290.2916667","40.333317","9.884187","25.19559","0.696587","61.432616",""
"41290.3333333","69.755183","18.886115","40.825864","0.779181","47.79115","10.742188"
"41290.375","82.525199","26.492328","41.934251","0.919469","46.786888",""
"41290.4166667","37.622638","10.527907","21.495359","","51.130121","11.230469"
"41290.4583333","44.922014","13.063029","24.91006","","52.283941",""
"41290.5","62.759306","20.132106","31.913377","0.786165","49.847047","9.765625"
"41290.5416667","66.883683","22.109787","33.015273","0.790506","54.741812",""
"41290.5833333","58.225079","19.143263","28.89323","0.87168","60.452041","7.324219"
"41290.625","27.751365","7.321996","16.536189","0.758345","65.210786",""
"41290.6666667","25.508897","6.070929","16.21172","0.812447","64.393293","8.300781"
"41290.7083333","20.042147","4.956896","12.450486","0.808028","71.16192",""
"41290.75","63.914906","17.267932","37.464379","0.922192","50.058862","5.371094"
"41290.7916667","41.763877","11.76713","23.738081","0.865919","58.693901",""
"41290.8333333","34.302385","9.201556","20.207869","0.8409","61.168694","9.765625"
"41290.875","29.673481","6.762865","19.317527","0.818643","59.857873",""
"41290.9166667","25.152227","4.871462","17.69519","0.735694","63.27399","13.183594"
