NetC,Provincia di TARANTO,,,,,,
Stat,Massafra (TA) Via Frappietro,,,,,,
Parm,CO,SO2,NOX,NO,NO2,O3,BENZENE
PtId,1,2,3,4,5,6,7
Unit,mg/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K
Arch,2,2,2,2,2,2,2
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver
06/06/2013 15.00,,"2,064735","8,065539","2,811728","11,118219","128,895627","0,606386"
06/06/2013 16.00,,"1,961814","9,953973","3,454601","13,745105","127,047446","0,668321"
06/06/2013 17.00,,"1,958203","13,718292","4,838049","18,824984","122,019923","0,748309"
06/06/2013 18.00,,"2,219116","13,132904","3,623778","19,568","117,36988","1,174381"
06/06/2013 19.00,,"2,597395","10,241912","2,238217","16,162393","125,375778","1,475769"
06/06/2013 20.00,,"2,586561","15,552805","1,86941","26,889946","114,105181","0,866331"
06/06/2013 21.00,,"2,596493","8,33449","0,496113","15,185752","105,800236","0,72746"
06/06/2013 22.00,,"2,591075","6,705848","0,687283","11,776234","89,982678","0,514246"
06/06/2013 23.00,,"1,866116","5,930532","0,751571","10,194138","87,306707","0,584368"
07/06/2013 0.00,,"1,565479","8,416566","0,959659","14,631563","80,010334","0,601657"
07/06/2013 1.00,,"1,754167","9,89903","1,600418","16,484922","66,542669","0,826058"
07/06/2013 2.00,,,"6,300554","1,062434","10,425149","74,220006","0,727562"
07/06/2013 3.00,,"1,379499",,,,"93,738151","0,596369"
07/06/2013 4.00,,"1,340678","3,16096","0,469467","5,327765",,"0,374154"
07/06/2013 5.00,,"1,454433","4,3548","0,490615","7,579573","96,172525","0,444073"
07/06/2013 6.00,,"1,541103","5,908825","0,71858","10,203219","94,375051","0,558994"
07/06/2013 7.00,,"2,138765","8,087582","1,678663","12,8989","104,489244","0,522382"
07/06/2013 8.00,,"2,580242","5,671753","1,501025","8,549084","118,417334","0,498025"
07/06/2013 9.00,,"2,524267","4,846241","1,509062","6,958542","126,633543","0,464464"
07/06/2013 10.00,,"2,191128","4,373453","1,1208","6,648351","134,457037","0,40324"
07/06/2013 11.00,,"2,170364","4,158428","1,068778","6,316743","140,662127","0,419462"
07/06/2013 12.00,,"1,367763","3,917623","1,148291","5,734","136,786678","0,414682"
07/06/2013 13.00,,"1,396653","2,985615","0,693628","4,64833","140,146817","0,384324"
07/06/2013 14.00,,"1,300051","1,968478","0,366269","3,204445","143,798447","0,302202"
07/06/2013 15.00,,"1,300051","2,160441","0,459317","3,428977","143,69618","0,293354"
07/06/2013 16.00,,"1,300051","2,383948","0,561669","3,699584","144,208994","0,313083"
07/06/2013 17.00,,"1,308177","3,062265","0,668674","4,833276","142,567721","0,412648"
07/06/2013 18.00,,"1,412001","3,860307","0,801477","6,156456","140,820072","0,401766"
07/06/2013 19.00,,"1,320816","3,653759","0,482155","6,251202","135,800974","0,401918"
07/06/2013 20.00,,"1,31901","8,269033","1,912127","12,887865","125,600533","0,58208"
07/06/2013 21.00,,"1,563673","7,551712","1,441391","12,237629","122,791031","0,580046"
07/06/2013 22.00,,"1,439988","4,256104","0,395452","7,536744","124,790445","0,512619"
07/06/2013 23.00,,"1,386722","3,936276","0,354003","6,988392","119,283883","0,456175"
08/06/2013 0.00,,"1,377693","2,349014","0,189056","4,204457","121,195474","0,374866"
08/06/2013 1.00,,"1,358734","3,09652","0,247845","5,544509","110,879349","0,350763"
08/06/2013 2.00,,"1,385819","2,121098","0,251228","3,672979","109,011708","0,354018"
08/06/2013 3.00,,"1,370472","1,74565","0,283372","2,905288","107,976164","0,327728"
08/06/2013 4.00,,"1,36686","2,656971","0,134072","4,878053","107,36711","0,314456"
08/06/2013 5.00,,"1,347901","2,482304","0,096853","4,600956","110,455271","0,325237"
08/06/2013 6.00,,"1,368665","6,453514","1,550934","9,968307","101,315839","0,369324"
08/06/2013 7.00,,"1,393042","8,304982","2,19127","12,528361","92,258256","0,513941"
08/06/2013 8.00,,"2,493571","7,083671","2,181543","10,206464","103,437619","0,630642"
08/06/2013 9.00,,"2,497182","3,38311","0,588315","5,570467","137,081441","0,406546"
08/06/2013 10.00,,"2,146891","3,00766","0,591275","4,847553","141,60564","0,483685"
08/06/2013 11.00,,"2,361761","3,190807","0,749878","4,954627","146,458361","0,41219"
08/06/2013 12.00,,"1,660275","3,372257","0,733384","5,327117","145,44386","0,435123"
08/06/2013 13.00,,"1,869727","3,119244","0,702086","4,89103","155,691598","0,455718"
08/06/2013 14.00,,"1,602494","2,229969","0,4885","3,517233","161,116144","0,389409"
08/06/2013 15.00,,"1,716248","1,844007","0,395452","2,921509","158,044055","0,333118"
08/06/2013 16.00,,"1,916674","2,093288","0,321437","3,512042","158,985924","0,356204"
08/06/2013 17.00,,"1,997927","2,831978","0,45551","4,719712","162,645088","0,356764"
08/06/2013 18.00,,"1,964523","3,205389","0,408139","5,506871","162,037754","0,437971"
08/06/2013 19.00,,"2,10175","6,814041","1,114455","11,32782","149,005033","0,4457"
08/06/2013 20.00,,"2,661495","23,440946","4,557638","37,858268","119,632771","1,155465"
08/06/2013 21.00,,"3,106582","14,058133","1,138141","25,152111","119,951232","1,310252"
08/06/2013 22.00,,"2,55406","4,521666","0,360771","8,098073","128,298415","0,630031"
08/06/2013 23.00,,"2,594686","3,001895","0,248268","5,362808","132,87409","0,444175"
09/06/2013 0.00,,"2,583853","4,096022","0,236848","7,473797","126,734068","0,488058"
09/06/2013 1.00,,"1,339775","3,268812","0,204704","5,94036","128,068659","0,431716"
09/06/2013 2.00,,,"3,203695","0,200052","5,822904","131,249713","0,405834"
09/06/2013 3.00,,"1,331651",,,,"130,839288","0,383562"
09/06/2013 4.00,,"1,348803","5,322421","0,452127","9,490041",,"0,448548"
09/06/2013 5.00,,"1,535686","8,82627","0,924554","15,469334","97,867816","0,754563"
09/06/2013 6.00,,"2,583853","9,856976","1,092886","17,183177","91,480306","0,992694"
09/06/2013 7.00,,"3,437011","20,169094","5,37984","30,336441","88,729182","1,100241"
09/06/2013 8.00,,"6,426229","16,520424","4,29372","25,021656","95,390367","1,995761"
09/06/2013 9.00,,"4,738869","10,347051","2,675117","15,693216","130,946518","1,010949"
09/06/2013 10.00,,"5,85565","17,91471","5,330355","26,098895","124,440736","1,294336"
09/06/2013 11.00,,"9,125641","16,324729","4,492927","24,341576","135,914124","1,08224"
09/06/2013 12.00,,"5,109022","11,71556","3,334908","17,299329","155,920547","0,975456"
09/06/2013 13.00,,"3,654589","7,400446","1,792011","11,41024","167,034873","0,779683"
09/06/2013 14.00,,"2,984702","4,599671","1,00576","7,257702","171,171296","0,533162"
09/06/2013 15.00,,"2,707539","4,745173","1,095846","7,39787","171,152681","0,490092"
09/06/2013 16.00,,"2,023205","4,560671","1,016756","7,166201","165,919002","0,496042"
09/06/2013 17.00,,"1,950077","5,783676","1,28321","9,097435","162,310523","0,503313"
09/06/2013 18.00,,"1,959106","8,391808","1,724763","13,410259","158,970657","0,765801"
09/06/2013 19.00,,"3,098457","13,994364","1,548819","24,399968","140,757591","1,025085"
09/06/2013 20.00,,"3,236587","23,340567","4,20448","38,208049","109,565823","1,2144"
09/06/2013 21.00,,"2,624479","13,896016","2,217915","23,185178","115,215101","1,359932"
09/06/2013 22.00,,"2,423152","8,279547","1,194392","14,009227","128,038249","0,927809"
09/06/2013 23.00,,"2,532393","8,150666","0,817127","14,341479","125,836978","0,580605"
10/06/2013 0.00,,"2,593783","4,321223","0,590428","7,362179","130,758999","0,548621"
10/06/2013 1.00,,"2,54774","2,360207","0,337509","3,998095","149,028732","0,39541"
10/06/2013 2.00,,"2,140571","1,548259","0,192862","2,666479","149,590465","0,33922"
10/06/2013 3.00,,"1,386722","1,720213","0,261803","2,889713","146,356093","0,324169"
10/06/2013 4.00,,"1,407486","3,37463","0,573089","5,577606","130,30034","0,392816"
10/06/2013 5.00,,"1,429154","2,561327","0,404334","4,280383","121,018953","0,372273"
10/06/2013 6.00,,"1,472489","5,611722","1,246414","8,824881","106,362783","0,586046"
10/06/2013 7.00,,"2,237172","14,996919","5,894563","19,650427","98,507258","0,692424"
10/06/2013 8.00,,"2,303981","11,138992","2,996131","16,715945","102,069246","0,727867"
10/06/2013 9.00,,"2,833932","9,97161","3,066762","14,406377","112,172525","0,643964"
10/06/2013 10.00,,"3,436109","9,18476","2,008558","14,492032","121,795167","0,536162"
10/06/2013 11.00,,"2,550449","16,248079","5,053328","23,33508","109,192514",
10/06/2013 12.00,,"2,74004","14,646227","5,392951","19,749048","124,960239",
10/06/2013 13.00,,"6,150869","10,066909","3,260894","14,258417","136,273986",
10/06/2013 14.00,,"4,109608","7,93598","2,183234","11,834641","155,830091",
10/06/2013 15.00,,"6,9309","13,345559","3,765042","19,758129","144,966571",
10/06/2013 16.00,,"4,490596","12,795442","3,406386","19,255866","142,098058",
10/06/2013 17.00,,"4,095163","13,909575","4,642227","19,491444","131,167795",
10/06/2013 18.00,,"3,717787","18,921326","7,039892","25,401951","113,877975",
10/06/2013 19.00,,"3,277213","20,50077","5,633605","30,581751","106,802827",
10/06/2013 20.00,,"2,992828","18,441756","3,895309","29,309181","100,574198",
10/06/2013 21.00,,"2,662397","7,390612","0,760029","12,974822","105,837382",
10/06/2013 22.00,,"2,581144","5,470293","0,757069","9,305094","94,496687",
10/06/2013 23.00,,"2,594686","4,261192","0,28464","7,716499","105,672657",
11/06/2013 0.00,,"2,598297","6,041776","0,515991","10,768439","99,205824",
11/06/2013 1.00,,"2,591978","3,331559","0,450435","5,683382","108,308971",
11/06/2013 2.00,,,"1,921675","0,313824","3,195361","108,255759",
11/06/2013 3.00,,"1,314497",,,,"100,255752",
11/06/2013 4.00,,"1,310885","3,593049","0,513876","6,086372",,
11/06/2013 5.00,,"1,308177","3,594405","0,437746","6,205774","100,994006",
11/06/2013 6.00,,"1,309982","5,402461","0,856884","9,022156","100,9146",
11/06/2013 7.00,,"1,339775","6,079424","1,553894","9,247986","105,335664",
11/06/2013 8.00,,"2,013275","13,3113","4,630384","18,36489","125,399476",
11/06/2013 9.00,,"2,052999","10,405391","3,822985","14,043618","134,741724",
11/06/2013 10.00,,,,,,,
11/06/2013 11.00,,"1,975221","4,17715","0,998579","6,460277","151,468174","0,636083"
11/06/2013 12.00,,"1,950077","4,515901","1,246838","6,727521","148,593665","0,309422"
11/06/2013 13.00,,"1,950077","4,187595","1,210041","6,155808","146,794509","0,341254"
11/06/2013 14.00,,"1,792085","2,580661","0,52741","4,128532","146,422866","0,249216"
11/06/2013 15.00,,"1,305469","2,668163","0,476234","4,374478","145,740342","0,246012"
11/06/2013 16.00,,"1,828198","2,320185","0,548135","3,598349","148,501595","0,311202"
11/06/2013 17.00,,"1,961814","3,422451","0,608193","5,615243","144,847515","0,316796"
11/06/2013 18.00,,"1,970842","4,698707","0,719849","7,885872","140,654517","0,359764"
11/06/2013 19.00,,"1,838129","5,976319","0,53037","10,621131","133,826918","0,446005"
11/06/2013 20.00,,"2,179392","8,424706","0,568436","15,247394","120,632021","0,562859"
11/06/2013 21.00,,"2,498085","7,133867","0,661484","12,634779","121,680297","0,472854"
11/06/2013 22.00,,"2,511628","8,113698","0,518529","14,728894","110,677493","0,440768"
11/06/2013 23.00,,"1,396653","5,244754","0,465238","9,321317","99,802169","0,432886"
12/06/2013 0.00,,"1,361443","4,199127","0,252074","7,647713","105,329773","0,382595"
12/06/2013 1.00,,"1,532075","1,693082","0,271107","2,823521","140,225356","0,307032"
12/06/2013 2.00,,"1,382208","1,122615","0,2212","1,808584","145,341622","0,254097"
12/06/2013 3.00,,"1,384013","1,184681","0,140417","2,051287","141,771986","0,229537"
12/06/2013 4.00,,"1,340678","1,789741","0,267301","3,014308","134,223933","0,244944"
12/06/2013 5.00,,"1,372277","2,581338","0,232196","4,582787","128,682782","0,268285"
12/06/2013 6.00,,"1,349706","2,5888","0,435632","4,284926","121,483532","0,277234"
12/06/2013 7.00,,"1,325331","3,042256","0,599311","4,901414","114,78097",
12/06/2013 8.00,,"1,850768","4,748563","1,394445","6,946212","113,414218",
12/06/2013 9.00,,"2,245298","7,19763","2,695418","9,636051","116,988116",
12/06/2013 10.00,,"2,041261","4,594586","1,441814","6,578915","128,910802",
12/06/2013 11.00,,"2,059318","6,16489","2,257672","8,331691","132,020943",
12/06/2013 12.00,,"2,075569","4,43891","1,397406","6,349189","134,004253",
12/06/2013 13.00,,"2,210088","5,070425","1,722648","7,058477","136,402402",
12/06/2013 14.00,,"2,219116","2,051572","0,561669","3,063626","142,631922",
12/06/2013 15.00,,"2,198351","1,972209","0,467776","3,055839","143,208815",
12/06/2013 16.00,,"2,384331","2,556919","0,636107","3,916329","141,207803",
12/06/2013 17.00,,"2,395165","3,028688","0,726194","4,680775","140,621549",
12/06/2013 18.00,,"2,089111","3,088381","0,562091","5,046776","137,929565",
12/06/2013 19.00,,"1,978968","3,462135","0,523604","5,820956","137,044287",
12/06/2013 20.00,,"2,097236","3,940687","0,402219","6,922851","135,835586",
12/06/2013 21.00,,"2,220018","3,119244","0,515991","5,176562","136,83065",
12/06/2013 22.00,,"1,320816","2,348336","0,196668","4,191477","134,234907",
12/06/2013 23.00,,"1,376791","2,236413","0,42675","3,624309","128,001917",
13/06/2013 0.00,,"1,541103","2,090575","0,398413","3,388745","126,463726",
13/06/2013 1.00,,"1,454433","2,120081","0,208934","3,735925","126,721465",
13/06/2013 2.00,,,"1,674428","0,223314","2,861159","120,141292",
13/06/2013 3.00,,"1,497767",,,,"114,606884",
13/06/2013 4.00,,"1,378596","1,73717","0,312978","2,843637",,
13/06/2013 5.00,,"1,391236","1,936936","0,411946","3,07401","111,816119",
13/06/2013 6.00,,"1,561868","3,592371","0,642028","5,888445","108,57502",
13/06/2013 7.00,,"2,017789","6,808953","2,44715","9,273295","111,342186",
13/06/2013 8.00,,"2,485446","16,108343","6,994214","20,089746","106,587448",
13/06/2013 9.00,,"2,197449","11,940082","4,882882","15,353822","120,802637",
13/06/2013 10.00,,"2,051192","8,415888","3,082835","11,372595","132,194945",
13/06/2013 11.00,,"2,545032","7,455052","2,590105","10,290179","136,572097",
13/06/2013 12.00,,"2,147794","4,41924","1,533593","6,102593","140,62747",
13/06/2013 13.00,,"2,15953","4,554904","1,603379","6,255094","140,991502",
13/06/2013 14.00,,"1,953688","5,958342","2,114718","8,155829","139,061403",
13/06/2013 15.00,,"1,978065","2,85843","0,817549","4,214842","143,97834",
13/06/2013 16.00,,"1,997024","2,570485","0,560399","4,058445","145,653356",
13/06/2013 17.00,,"2,128835","2,816035","0,63949","4,406925","149,537253",
13/06/2013 18.00,,"2,138765","4,139094","0,71858","6,817073","149,770357",
13/06/2013 19.00,,"2,03133","3,469934","0,641605","5,654828","146,963412",
13/06/2013 20.00,,"2,405095","3,439411","0,407294","5,955935","146,195637",
13/06/2013 21.00,,"2,511628","2,523002","0,358656","4,277138","148,490606",
13/06/2013 22.00,,"2,487251","2,161459","0,245307","3,759286","151,026411",
13/06/2013 23.00,,"2,535101","2,325952","0,242346","4,078564","149,383525",
14/06/2013 0.00,,"2,545934","1,377324","0,110811","2,465308","152,920178",
14/06/2013 1.00,,"2,548643","1,431929","0,205973","2,423777","150,170736",
14/06/2013 2.00,,"2,552254","1,329842","0,240655","2,175235","145,437132",
14/06/2013 3.00,,"2,553157","1,437356","0,117578","2,569787","142,407174",
14/06/2013 4.00,,"2,490863","1,344086","0,179329","2,296585","140,375736",
14/06/2013 5.00,,"2,530587","1,422432","0,15099","2,489967","143,769756",
14/06/2013 6.00,,"2,533295","2,243875","0,322706","3,798222","142,372577",
14/06/2013 7.00,,"2,493571","3,128403","0,599311","5,066243","142,711282",
14/06/2013 8.00,,"2,442111","3,440766","0,720695","5,47767","143,407322",
14/06/2013 9.00,,"2,203768","3,094147","0,661484","4,905308","144,404944",
14/06/2013 10.00,,"2,092722","4,026156","0,989264","6,185658","143,833013",
14/06/2013 11.00,,"1,976259","4,134686","0,988841","6,393967","146,400857",
14/06/2013 12.00,,"1,95098","3,530644","0,987573","5,240807","149,100482",
14/06/2013 13.00,,"1,950077","2,998163","0,783715","4,534117","146,037632",
14/06/2013 14.00,,"1,949175","2,034615","0,375997","3,316064","147,237125",
14/06/2013 15.00,,"1,942855","2,240483","0,45974","3,581478","145,849322",
14/06/2013 16.00,,"1,949175","2,692243","0,569704","4,277138","148,687485",
14/06/2013 17.00,,"1,952786","3,804344","0,789213","6,0682","146,173689",
14/06/2013 18.00,,"2,028622","4,750259","0,953314","7,626296","146,557965",
14/06/2013 19.00,,"3,076789","11,654171","2,134595","19,023558","124,859729",
14/06/2013 20.00,,"3,249226","7,793194","0,691513","13,850241","124,410317",
14/06/2013 21.00,,"3,383746","11,533432","0,935128","20,632908","106,165105",
14/06/2013 22.00,,"2,856503","4,624432","0,460163","8,1422","109,869939",
14/06/2013 23.00,,"2,569408","4,857434","0,490615","8,541296","115,312277",
15/06/2013 0.00,,"2,905255","4,571183","0,35062","8,208391","112,052564",
15/06/2013 1.00,,"2,357246","2,122117","0,203436","3,748254","122,304496",
15/06/2013 2.00,,,"1,257939","0,255458","2,014948","128,442889",
15/06/2013 3.00,,"1,532978",,,,"126,011879",
15/06/2013 4.00,,"1,429154","6,06043","0,709276","10,507572",,
15/06/2013 5.00,,"2,052095","7,510334","1,169862","12,57508","112,3812",
15/06/2013 6.00,,"2,712955","13,443916","2,560499","21,794505","95,377696",
15/06/2013 7.00,,"2,622674","17,543329","4,867232","26,098895","107,101053",
15/06/2013 8.00,,"2,991022","17,127858","4,48616","25,888651","128,050136",
15/06/2013 9.00,,"3,236587","14,064572","3,383546","21,71923","156,499053",
15/06/2013 10.00,,"2,806848","9,681629","2,110488","15,286333","174,326215",
15/06/2013 11.00,,"1,950077","6,074336","1,161826","9,839817","184,271581",
15/06/2013 12.00,,"1,656663","14,190739","3,37255","21,977502","180,9545",
15/06/2013 13.00,,"1,310885","12,07676","2,855291","18,726347","174,3955",
15/06/2013 14.00,,"1,54652","8,039083","1,932851","12,416094","180,635202",
15/06/2013 15.00,,"1,300051","7,286488","1,671895","11,376491","181,938576",
15/06/2013 16.00,,"1,327136","6,493875","1,458732","10,186996",,
15/06/2013 17.00,,"1,606105","9,654158","1,699387","15,864531",,
15/06/2013 18.00,,"2,694899","13,614512","2,110065","22,812033",,
15/06/2013 19.00,,"2,5026","11,777627","1,409247","20,372685",,
15/06/2013 20.00,,"1,961814","10,466098","0,502457","19,254566","160,998732",
15/06/2013 21.00,,"2,062929","21,975093","3,159388","37,198954","118,457836",
15/06/2013 22.00,,"2,019594","6,21712","0,466506","11,179869","132,852994",
15/06/2013 23.00,,"2,038553","4,367689","0,315093","7,873541","143,103199",
16/06/2013 0.00,,"2,047582","6,854401","0,579432","12,225951","133,196692",
16/06/2013 1.00,,"1,664788","4,218457","0,292677","7,622402","130,253035",
16/06/2013 2.00,,"1,32172","3,460098","0,182712","6,340104","130,897583",
16/06/2013 3.00,,"1,300051","2,079382","0,208511","3,658702","137,897435",
16/06/2013 4.00,,"1,300954","4,734659","0,411946","8,427085","131,161098",
16/06/2013 5.00,,"1,300051","2,184183","0,389108","3,582128","147,474491",
16/06/2013 6.00,,"1,54652","9,13694","1,540782","15,118264","126,200211",
16/06/2013 7.00,,"2,129737","12,312815","2,791848","19,27533","120,063568",
16/06/2013 8.00,,"3,191447","18,226733","4,944208","27,288388","110,778817",
16/06/2013 9.00,,"3,088525","12,568208","3,149236","19,215638","137,16934",
16/06/2013 10.00,,"2,198351","5,473345","1,133488","8,733381","156,539677",
16/06/2013 11.00,,"1,590758","2,443639","0,399258","4,062988","161,956673",
16/06/2013 12.00,,"1,326233","4,492836","0,967272","7,112339","162,513323",
16/06/2013 13.00,,"1,220604","1,924726","0,385302","3,091532","160,681183",
16/06/2013 14.00,,"1,198034","1,344427","0,220776","2,233638","160,951411",
16/06/2013 15.00,,"0,912744","2,074635","0,242346","3,597701","160,520636",
16/06/2013 16.00,,"1,29283","3,965107","0,677555","6,547116","176,089055",
16/06/2013 17.00,,"1,386722","5,496409","0,923285","9,10003","178,302212",
16/06/2013 18.00,,"1,90584","8,167624","1,259102","13,695793","171,104568",
16/06/2013 19.00,,"2,022302","6,065518","0,475812","10,875517","177,815669",
16/06/2013 20.00,,"1,955495","7,437752","0,560822","13,370669","168,059542",
16/06/2013 21.00,,"1,965426","9,452697","0,844618","16,790565","142,615027",
16/06/2013 22.00,,"1,958203","6,563741","0,542213","11,726921","127,188571",
16/06/2013 23.00,,"1,913062","4,503012","0,508378","7,835904","130,055334",
17/06/2013 0.00,,"1,561868","2,8062","0,30452","4,902064","138,337494",
17/06/2013 1.00,,"1,983481","1,547921","0,164101","2,709958","141,913112",
17/06/2013 2.00,,,"1,279308","0,322282","1,953297","139,112072",
17/06/2013 3.00,,"1,807433",,,,"132,959432",
17/06/2013 4.00,,"2,122514","4,107892","0,355273","7,314807",,
17/06/2013 5.00,,"2,052095","4,943579","0,509646","8,676923","126,558353",
17/06/2013 6.00,,"2,162239","13,318089","4,822824","18,082602","117,063306",
17/06/2013 7.00,,"3,400899","50,079503","19,822498","65,406249","42,091529",
17/06/2013 8.00,,"3,446942","20,748028","5,978304","30,52594","95,240839",
17/06/2013 9.00,,"3,0804","7,146756","1,676125","11,102645","138,420279",
17/06/2013 10.00,,"2,557672","13,047095","3,583176","19,466129","141,174835",
17/06/2013 11.00,,"3,281728","15,349991","3,964671","23,287051","157,944345",
17/06/2013 12.00,,"5,072008","16,461403","4,158802","25,115764","168,172677",
17/06/2013 13.00,,"4,682894","12,584147","2,996553","19,480392","174,488406",
17/06/2013 14.00,,"3,230267","8,121838","1,805968","12,769106","171,989831",
17/06/2013 15.00,,"1,514019","7,622935","1,859682","11,732109","163,068222",
17/06/2013 16.00,,"1,309982","9,446932","2,142632","14,787952","158,485834",
17/06/2013 17.00,,"1,712637","11,363176","2,644665","17,68415","161,291044",
17/06/2013 18.00,,"2,551352","14,471902","3,148391","22,859412","154,548726",
17/06/2013 19.00,,"2,808653","8,939212","1,010412","15,553699","152,610164",
17/06/2013 20.00,,"3,241102","18,408858","3,337446","30,102183","131,217673",
17/06/2013 21.00,,"2,949492","7,235614","0,503726","13,071516","114,782607",
17/06/2013 22.00,,"2,329259","5,528969","0,480887","9,841115","118,103964",
17/06/2013 23.00,,"2,060221","3,999361","0,318054","7,164254","129,782549",
18/06/2013 0.00,,"1,978065","2,511812","0,220354","4,467925","138,867157",
18/06/2013 1.00,,"1,991607","3,190807","0,239385","5,737893","126,881084",
18/06/2013 2.00,,"1,8932","1,771426","0,115886","3,211584","135,119272",
18/06/2013 3.00,,"2,010566","2,488409","0,23854","4,395244","139,698326",
18/06/2013 4.00,,"2,044873","5,65242","0,547712","9,974797","132,465264",
18/06/2013 5.00,,"2,108973","8,046545","0,902561","14,01117","121,380451",
18/06/2013 6.00,,"2,725594","28,506294","7,578722","42,91478","92,622326",
18/06/2013 7.00,,"3,25013","8,114715","1,37372","13,418691","130,139869",
18/06/2013 8.00,,"3,488473","31,171735","11,179661","42,489725","96,284884",
18/06/2013 9.00,,"5,869191","30,51919","11,290894","41,070505","105,187034",
18/06/2013 10.00,,"18,13675","33,40216","10,476895","47,933915","107,497147","1,493363"
18/06/2013 11.00,,"13,122391","20,498073","5,760066","30,38252","139,146745","1,723612"
18/06/2013 12.00,,"12,454314","18,361719","4,986925","27,481137","151,679285","1,244096"
18/06/2013 13.00,,"3,505625","11,019605","2,766049","16,840539","172,442615","0,755936"
18/06/2013 14.00,,"1,971745","16,532632","5,319359","23,471367","157,799977","0,635116"
18/06/2013 15.00,,"2,665106","18,899287","6,353032","26,413629","152,116893","0,661203"
18/06/2013 16.00,,"2,367177","10,350111","2,409931","16,105938","160,007122","0,75258"
18/06/2013 17.00,,"2,848377","14,480042","3,281195","22,671215","144,52572","1,111734"
18/06/2013 18.00,,"3,906475","18,805338","3,86105","30,057404","129,312886","0,977184"
18/06/2013 19.00,,"4,793941","19,115672","3,076067","31,8556","117,482201","1,492447"
18/06/2013 20.00,,"5,198401","35,46515","6,530669","57,83771","67,144919","1,696915"
18/06/2013 21.00,,"5,117148","23,585094","5,056711","37,368318","61,660362","1,606046"
18/06/2013 22.00,,"4,811094","14,130029","1,808928","24,260469","75,035125","1,134514"
18/06/2013 23.00,,"4,213432","16,261979","1,689236","28,52333","68,439815","1,293319"
19/06/2013 0.00,,"4,755119","10,363331","0,832353","18,551778","82,64575","0,693085"
19/06/2013 1.00,,"3,25013","7,972946","1,042556","13,655551","82,724289","0,749326"
19/06/2013 2.00,,,"3,780265","0,380227","6,649647","101,543045","0,65749"
19/06/2013 3.00,,"1,970842",,,,"108,352821","0,452107"
19/06/2013 4.00,,"1,992509","4,209641","0,507955","7,275223",,"0,468227"
19/06/2013 5.00,,"1,98619","3,38311","0,410254","5,843669","117,238107","0,538705"
19/06/2013 6.00,,"1,970842","3,465186","0,486385","5,883905","118,891967","0,408478"
19/06/2013 7.00,,"2,58295","35,246055","18,28299","39,38651","76,79629","0,506212"
19/06/2013 8.00,,"3,825222","39,284752","16,211411","50,292519","56,676713","2,450055"
19/06/2013 9.00,,"3,697925","18,260991","5,878913","25,919798","118,696937","1,474141"
19/06/2013 10.00,,"2,144183","19,193325","5,357423","28,503847","136,31875","0,866891"
19/06/2013 11.00,,"1,951883","15,749513","4,449786","23,307184","153,239461","1,081325"
19/06/2013 12.00,,"3,436109","15,614195","4,145691","23,514826","164,417166","0,86084"
19/06/2013 13.00,,"4,038286","21,385299","5,911479","31,847821","157,407132","0,980541"
19/06/2013 14.00,,"2,770735","16,597752","4,684521","24,570002","161,744619","0,628303"
19/06/2013 15.00,,"3,674451","12,361993","2,843448","19,290264","172,271961","0,636744"
19/06/2013 16.00,,"10,180118","18,360698","3,551033","29,682327","173,756933","0,808159"
19/06/2013 17.00,,"11,18405","19,905219","3,103136","33,324803",,"0,946064"
19/06/2013 18.00,,"3,159847","18,117524","2,995285","30,069735","165,669034","0,967269"
19/06/2013 19.00,,"2,542323","13,001987","1,624525","22,385045","129,531637","1,068562"
19/06/2013 20.00,,"1,946467","14,319627","1,490029","25,112513","95,5458","0,776479"
19/06/2013 21.00,,"1,55916","12,947729","1,542474","22,40709","91,317277","0,679051"
19/06/2013 22.00,,"1,848963","13,509706","1,825425","23,048241","85,904543","1,513143"
19/06/2013 23.00,,"1,745138","7,833892","0,620459","14,03713","118,253423","0,652151"
20/06/2013 0.00,,"1,969939","3,851827","0,425059","6,717787","146,83422","0,494618"
20/06/2013 1.00,,"1,865214","2,706826","0,28168","4,746968","152,911746","0,348119"
20/06/2013 2.00,,"1,388527","1,657809","0,308326","2,698926","152,574669","0,379138"
20/06/2013 3.00,,"1,69097","3,017157","0,287601","5,331658","152,638048","0,271793"
20/06/2013 4.00,,"1,376791","2,78212","0,305788","4,854042","136,404016","0,334644"
20/06/2013 5.00,,"1,299149","2,849951","0,329895","4,946839","131,06982","0,368561"
20/06/2013 6.00,,"1,490546","3,169779","0,323974","5,56787","137,263982","0,347611"
20/06/2013 7.00,,"1,419223","4,552529","0,657254","7,702222","136,401489","0,339017"
20/06/2013 8.00,,"1,402973","4,170298","0,646258","6,987744","148,297182","0,398003"
20/06/2013 9.00,,"1,124003","3,60899","0,572666","6,02667","162,626458","0,384579"
20/06/2013 10.00,,"0,694264","6,044828","1,117417","9,851498","162,299549","0,408122"
20/06/2013 11.00,,"0,984066","14,458003","3,473212","22,334415","163,699254","0,936911"
20/06/2013 12.00,,"1,189908","15,068827","4,193061","22,398658","163,021844","0,950081"
20/06/2013 13.00,,"1,79028","12,605177","3,204643","19,201355","173,109842","1,074104"
20/06/2013 14.00,,"2,357246","9,310589","1,813581","15,031945",,"0,722375"
