,Regione Puglia,,,,,,
,Liceo Scientifico Via dei Mandorli,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE


06/01/2007 12.00,"6,37722766","8,42189347",,"1,89753336",,,
06/01/2007 13.00,"6,50184677","8,5451907",,"1,87225636",,,
06/01/2007 14.00,"6,58311931","7,52765872",,"1,90938258",,,
06/01/2007 15.00,"6,51990767","7,05263762",,"1,93616127",,,
06/01/2007 16.00,"6,2074568","8,52961555",,"1,95385529",,,
06/01/2007 17.00,"6,48739724","11,8339894",,"1,93659465",,,
06/01/2007 18.00,"6,62827106","14,88269443",,"1,97577593",,,
06/01/2007 19.00,"7,64869937","88,91981616",,"2,20564557",,,
06/01/2007 20.00,"7,09604326","57,0505428",,"2,07771692",,,
06/01/2007 21.00,"6,85764219","51,5125304",,"2,10461328",,,
06/01/2007 22.00,"6,62827106","53,60211696",,"2,26643061",,,
06/01/2007 23.00,"7,15383734","44,3366032",,"2,17590429",,,
07/01/2007 0.00,"7,0147697","34,13011776",,"1,98110813",,,
07/01/2007 1.00,"7,26039453","28,61156952",,"1,89784908",,,
07/01/2007 2.00,"6,86486594","25,16962536",,"1,87821999",,,
07/01/2007 3.00,"6,87028451","23,99634568",,"1,77386978",,,
07/01/2007 4.00,"7,32902576","22,81658432",,"1,78074211",,,
07/01/2007 5.00,"6,79442954","21,16828736",,"1,79089159",,,
07/01/2007 6.00,"7,12674649","21,07872928",,"1,78769367",,,
07/01/2007 7.00,"6,45850121","26,02362016",,"1,72781616",,,
07/01/2007 8.00,"6,75469636","24,43891632",,"1,84867559",,,
07/01/2007 9.00,"6,93349615","32,28974128",,"2,1772487",,,
07/01/2007 10.00,"7,26942549","29,86012464",,"2,30486047",,,
07/01/2007 11.00,"7,3741775","41,99782568",,"2,37386109",,,
07/01/2007 12.00,"7,02921822","18,18707784",,"2,05773135",,,
07/01/2007 13.00,"7,02560584","27,73941072",,"1,99793306",,,
07/01/2007 14.00,"7,09243088","28,7348744",,"2,1197408",,,
07/01/2007 15.00,"7,21704999","28,19886432",,"2,11962314",,,
07/01/2007 16.00,"7,3741775","24,16247936",,"2,07044965",,,
07/01/2007 17.00,"6,43863412","34,50651408",,"2,04734304",,,
07/01/2007 18.00,"7,45725725","84,64202208",,"2,23649361",,,
07/01/2007 19.00,"7,87084573","64,88710424",,"2,1794587",,,
07/01/2007 20.00,"8,52283731","77,74771336",,"2,29518514",,,
07/01/2007 21.00,"6,72399313","69,44911712",,"2,19233545",,,
07/01/2007 22.00,"6,74927779","86,39414064",,"2,32788786",,,
07/01/2007 23.00,"7,48254191","75,4141556",,"2,22432751",,,
08/01/2007 0.00,"7,29471014","64,06035544",,"2,13313015",,,
08/01/2007 1.00,,"49,42686344",,"1,98426761",,,
08/01/2007 2.00,"7,00935113",,,"1,9446914",,,
08/01/2007 3.00,"6,88473303","31,60578064",,,,,
08/01/2007 4.00,"7,17370443","26,07293064",,"1,86506714",,,
08/01/2007 5.00,"6,8738969","22,69327944",,"1,85148091",,,
08/01/2007 6.00,"6,34110585","31,98993968",,"1,83903871",,,
08/01/2007 7.00,"7,39585079","49,65527096",,"1,85969533",,,
08/01/2007 8.00,"7,54033598","82,89508504",,"1,95192022",,,
08/01/2007 9.00,"7,66676027","96,00358496",,"2,09920185",,,
08/01/2007 10.00,"7,59451767","91,51684752",,"2,18459402",,,
08/01/2007 11.00,"6,9262724","70,44848128",,"2,04939694",,,
08/01/2007 12.00,"7,06172765","60,0940644",,"2,06424836",,,
08/01/2007 13.00,"6,41515464","42,09906608",,"1,96957463",,,
08/01/2007 14.00,"5,71758417","28,23595712",,"1,9970931",,,
08/01/2007 15.00,"6,23093628","45,6954616",,"1,99299579",,,
08/01/2007 16.00,"6,12257188","57,96034888",,"2,06448602",,,
08/01/2007 17.00,"6,08464388","83,58034584",,"2,09647808",,,
08/01/2007 18.00,"6,45488883","87,60116712",,"2,18625298",,,
08/01/2007 19.00,"6,78178721","80,64716576",,"2,15702546",,,
08/01/2007 20.00,"6,9262724","59,07653624",,"2,08585212",,,
08/01/2007 21.00,"6,4765611","42,14189488",,"2,01171851",,,
08/01/2007 22.00,"6,33026972","37,7174504",,"2,04710771",,,
08/01/2007 23.00,"6,79804192","36,2664336",,"2,08206121",,,
09/01/2007 0.00,"6,24899718","34,75310472",,"2,11113029",,,
09/01/2007 1.00,"6,09367484","27,22154552",,"1,95796308",,,
