"NetC","Comune Bari","","","","","","","","","","",""
"Stat","Corso Cavour","","","","","","","","","","",""
,CO,PM10,BENZENE
09/01/2011 23.00,"1,59823438",,"5,38188467"
10/01/2011 0.00,"1,25124845","36,14162064","5,23106459"
10/01/2011 1.00,"0,81430122",,"3,66451644"
10/01/2011 2.00,"0,60643143","38,82783127","2,59773022"
10/01/2011 3.00,,,"1,85246753"
10/01/2011 4.00,"0,35857069","29,7924099","1,42655709"
10/01/2011 5.00,"0,38068472",,"1,36606288"
10/01/2011 6.00,"0,42231833","20,51280975","1,75683292"
10/01/2011 7.00,"0,49072363",,"1,7286071"
10/01/2011 8.00,"0,70600864","27,10622025","2,00730782"
10/01/2011 9.00,"1,15597708",,"3,92473318"
10/01/2011 10.00,"1,11193891","20,75702095","4,58409597"
10/01/2011 11.00,"0,99126239",,"4,92358278"
10/01/2011 12.00,"0,78059194","32,96702957","4,19472939"
10/01/2011 13.00,"0,80339449",,"3,6427506"
10/01/2011 14.00,"0,83540636","20,75702095","3,51518626"
10/01/2011 15.00,"0,6179894",,"3,0051272"
10/01/2011 16.00,"0,56939492","25,39682007","2,15684038"
10/01/2011 17.00,"0,63410368",,"2,39870942"
10/01/2011 18.00,"0,78731982","26,86202049","2,89283616"
10/01/2011 19.00,"0,90885611",,"3,55016801"
10/01/2011 20.00,"0,98072263","28,32722092","3,83229906"
10/01/2011 21.00,"1,04416038",,"4,20795446"
10/01/2011 22.00,"1,08366203","28,81562042","5,26267193"
10/01/2011 23.00,"0,62043357",,"3,46559225"
11/01/2011 0.00,"0,43012033","29,05982971","1,74618798"
11/01/2011 1.00,"0,3950783",,"1,32719619"
11/01/2011 2.00,"0,36859901","35,40903091","1,27814933"
11/01/2011 3.00,"0,31937893",,"1,18106956"
11/01/2011 4.00,"0,30621792","22,95482063","1,16635255"
11/01/2011 5.00,"0,33909073",,"1,57261863"
11/01/2011 6.00,"0,39359176","28,81562042","1,63113681"
11/01/2011 7.00,"0,55697602",,"2,09767234"
11/01/2011 8.00,"0,4986235","29,05982971","1,65771"
11/01/2011 9.00,"0,91243499",,"2,3756459"
11/01/2011 10.00,"0,96093278","17,58241081","4,16412176"
11/01/2011 11.00,"0,96787501",,"4,21565518"
11/01/2011 12.00,"0,97155059","31,99023056","4,63093493"
11/01/2011 13.00,"0,9584688",,"4,35537267"
11/01/2011 14.00,"1,17611993","29,7924099","4,94342343"
11/01/2011 15.00,"0,99450924",,"5,38613472"
11/01/2011 16.00,"0,75831947","33,45542145","4,00714374"
11/01/2011 17.00,"0,70227365",,"2,93194388"
11/01/2011 18.00,"0,97960773","31,50181961","3,37983983"
11/01/2011 19.00,"1,29615104",,"5,47625821"
11/01/2011 20.00,"1,11158708","26,86202049","5,12194253"
11/01/2011 21.00,"0,96011029",,"4,24100594"
11/01/2011 22.00,"0,82101395","22,71062088","3,76071854"
11/01/2011 23.00,"0,63535489",,"2,88438998"
12/01/2011 0.00,"0,5117647","22,71062088","1,95385532"
12/01/2011 1.00,"0,52869914",,"1,96883776"
12/01/2011 2.00,"0,44105269","12,94260979","1,655018"
12/01/2011 3.00,,,"1,0164854"
12/01/2011 4.00,"0,28228999","14,65200996","0,87039843"
12/01/2011 5.00,"0,25892824",,"0,66407964"
12/01/2011 6.00,"0,24977251","9,52380943","0,52887763"
12/01/2011 7.00,"0,3858981",,"0,67338824"
12/01/2011 8.00,"0,61462022","8,30280876","1,40844635"
12/01/2011 9.00,"1,31475493",,"3,8764867"
12/01/2011 10.00,"1,46355805","16,36141014","7,72756263"
12/01/2011 11.00,"0,87981033",,"6,28362908"
12/01/2011 12.00,"0,59282656","44,68864059","3,97084497"
12/01/2011 13.00,"0,42899727",,"2,15738651"
12/01/2011 14.00,"0,48203506","35,16482162","1,9518386"
12/01/2011 15.00,"0,37165714",,"1,52493658"
12/01/2011 16.00,"0,38460728","29,05982971","1,26042607"
12/01/2011 17.00,"0,43451471",,"1,40361153"
12/01/2011 18.00,"0,67953402","22,46640968","1,84518785"
12/01/2011 19.00,"0,44445449",,"2,79328"
12/01/2011 20.00,"0,57447548","1,22100103","2,94688157"
12/01/2011 21.00,"0,71672431",,"3,03429679"
12/01/2011 22.00,"0,68342628","1,22100103","2,86910548"
12/01/2011 23.00,"0,46556313",,"1,75992359"
13/01/2011 0.00,"0,43596281","3,66300392","1,69911817"
13/01/2011 1.00,"0,38233786",,"1,42703304"
13/01/2011 2.00,"0,32796964","6,10500622","1,08745878"
13/01/2011 3.00,"0,33761467",,"0,9876982"
13/01/2011 4.00,"0,32867446","16,84980965","0,99664576"
13/01/2011 5.00,"0,32951559",,"1,09571478"
13/01/2011 6.00,"0,34927516","16,36141014","1,0261052"
13/01/2011 7.00,"0,44948147",,"1,30243529"
13/01/2011 8.00,"0,76066578","14,16361046","2,24896736"
13/01/2011 9.00,"1,26103212",,"4,82135394"
13/01/2011 10.00,"1,23413227","16,84980965","6,70059908"
13/01/2011 11.00,"0,99871839",,"5,75748311"
13/01/2011 12.00,"0,71783922","25,64101982","4,38023324"
13/01/2011 13.00,"0,57005431",,"3,05055964"
13/01/2011 14.00,"0,59278812","37,6068306","2,5950128"
13/01/2011 15.00,"0,5231584",,"2,38002103"
13/01/2011 16.00,"0,56308877","29,54821968","2,03093171"
13/01/2011 17.00,"0,61268399",,"2,44788035"
13/01/2011 18.00,"3,70579044","28,08300972",
13/01/2011 19.00,,,"3,2318287"
13/01/2011 20.00,"1,87829222","1,22100103","7,11373296"
13/01/2011 21.00,"2,31004006",,"9,20905806"
13/01/2011 22.00,"2,07166125","44,20024109","11,0782827"
13/01/2011 23.00,"1,45134885",,"7,24807662"
14/01/2011 0.00,"0,99724583","56,65444183","4,75803043"
14/01/2011 1.00,"0,88962196",,"3,20569892"
14/01/2011 2.00,"0,73446959","37,85102081","2,41640319"
14/01/2011 3.00,"0,58399004",,
14/01/2011 4.00,"0,5313099","27,8388195","2,87144662"
14/01/2011 5.00,"0,52410438",,"1,22066035"
14/01/2011 6.00,"0,5109026","15,87300968","1,17488213"
14/01/2011 7.00,"0,61010934",,"1,30869289"
14/01/2011 8.00,"0,98567272","22,71062088","2,13998564"
14/01/2011 9.00,"1,70737507",,"5,18680984"
14/01/2011 10.00,"1,70124018","25,39682007","8,72471486"
14/01/2011 11.00,"1,16524349",,"7,98829092"
14/01/2011 12.00,"0,86166895","81,31867981","4,98702019"
14/01/2011 13.00,"0,79676797",,"3,26555039"
14/01/2011 14.00,"0,86111325","54,94504166","2,83450307"
14/01/2011 15.00,"0,73339779",,"2,60126226"
14/01/2011 16.00,"0,67292381","45,66543961","2,01884162"
14/01/2011 17.00,"0,84622338",,"2,10653956"
14/01/2011 18.00,"1,25029548","27,59461975","4,67223224"
14/01/2011 19.00,"1,88480457",,"6,68838796"
14/01/2011 20.00,"2,53523456","28,08300972","9,2802745"
14/01/2011 21.00,"2,2816292",,"10,03706183"
14/01/2011 22.00,"1,87174026","46,39804077","8,59382696"
14/01/2011 23.00,"1,33951584",,"5,89937292"
15/01/2011 0.00,"1,06971116","56,41025162","4,23825902"
15/01/2011 1.00,"0,98551195",,"3,38082327"
15/01/2011 2.00,"1,07445504","45,1770401","3,16296763"
15/01/2011 3.00,"1,31888718",,"4,20031475"
15/01/2011 4.00,"0,87564429","41,26984024","3,44237414"
15/01/2011 5.00,"0,73633592",,"2,58580386"
15/01/2011 6.00,"0,69934834","43,71184158","2,01978234"
15/01/2011 7.00,"0,95372842",,"2,84316995"
15/01/2011 8.00,"1,04525198","35,40903091","3,69538646"
15/01/2011 9.00,"1,52506422",,"4,86956991"
15/01/2011 10.00,"1,71762008","29,05982971","6,73352954"
15/01/2011 11.00,"1,30598364",,"8,10435808"
15/01/2011 12.00,"0,83943376","41,75823975","5,93868404"
15/01/2011 13.00,"0,71157851",,"2,68463694"
15/01/2011 14.00,"0,84217384","50,06105042","2,68931005"
15/01/2011 15.00,"0,67580252",,"2,24227041"
15/01/2011 16.00,"0,61898314","41,75823975","1,5422927"
15/01/2011 17.00,"0,62636808",,"1,58987407"
15/01/2011 18.00,"0,63931239","31,01342964","1,50068317"
15/01/2011 19.00,"0,67373814",,"1,40555299"
15/01/2011 20.00,"0,84479276","27,59461975","1,5245369"
15/01/2011 21.00,"1,16375462",,"3,53433637"
15/01/2011 22.00,"0,69855381","19,53602028","2,07955245"
15/01/2011 23.00,"0,73000182",,"1,68371062"
16/01/2011 0.00,"0,64894228","22,46640968","1,38392852"
16/01/2011 1.00,"0,72126665",,"1,42180058"
16/01/2011 2.00,"0,75789541","24,66422081","1,80003508"
16/01/2011 3.00,,,"1,58019629"
16/01/2011 4.00,"0,31353412","25,39682007","1,20444836"
16/01/2011 5.00,"0,24614586",,"1,06617195"
16/01/2011 6.00,"0,24458593","21,24542046","0,84898041"
16/01/2011 7.00,"0,29239869",,"0,82027762"
16/01/2011 8.00,"0,35821304","22,71062088","0,95059397"
16/01/2011 9.00,"0,46885891",,"1,59866501"
16/01/2011 10.00,"0,55289502","24,17580986","3,08867477"
16/01/2011 11.00,"0,42363361",,"3,07018469"
16/01/2011 12.00,"0,39698307","30,52503014","2,14139418"
16/01/2011 13.00,"0,42560829",,"2,0389233"
16/01/2011 14.00,"0,36484538","27,8388195","1,92599765"
16/01/2011 15.00,"0,26039847",,"1,23458512"
16/01/2011 16.00,"0,32581905","26,12940979","1,06330299"
16/01/2011 17.00,"0,31742872",,"1,0971396"
16/01/2011 18.00,"0,31387547","16,60560989","0,97053327"
16/01/2011 19.00,"0,31892924",,"1,16010512"
16/01/2011 20.00,"0,35051472","16,60560989","1,29240462"
16/01/2011 21.00,"0,60141727",,"1,54669631"
16/01/2011 22.00,"0,88428044","11,72161007","3,14163707"
16/01/2011 23.00,"0,63495646",,"2,52140742"
17/01/2011 0.00,"0,69230242","23,19902039","2,44696505"
17/01/2011 1.00,"0,71372211",,"2,86695148"
17/01/2011 2.00,"0,51509194","25,39682007","2,1274084"
17/01/2011 3.00,"0,34990193",,"1,57564827"
17/01/2011 4.00,"0,31823956","24,90842056","1,28785558"
17/01/2011 5.00,"0,29851844",,"1,04757305"
17/01/2011 6.00,"0,32323275","19,29179955","0,94428552"
17/01/2011 7.00,"0,4495537",,"1,32394382"
17/01/2011 8.00,"0,54365657","11,72161007","1,73768688"
17/01/2011 9.00,"0,99926943",,"2,79179009"
17/01/2011 10.00,"1,38101197","11,72161007","5,81591383"
17/01/2011 11.00,"1,13476825",,"5,98166754"
17/01/2011 12.00,"0,77424619","39,07204056","4,91327345"
17/01/2011 13.00,"0,48512581",,"2,757027"
17/01/2011 14.00,"0,60757663","33,69963074","2,64929314"
17/01/2011 15.00,"0,52486396",,"2,85189377"
17/01/2011 16.00,"0,52332383","29,05982971","2,12093214"
17/01/2011 17.00,"0,91876677",,"2,65635722"
17/01/2011 18.00,"1,00730327","19,29179955","3,78362646"
