,,lecce,,
,,GUAGNANO,,
Parm,SO2,NO2,NOX,PM10



04/06/2009 19.00,"1,4","9,3","11,9","14,6"
04/06/2009 20.00,"1,5","12,1","14,7","14,6"
04/06/2009 21.00,"1,3","11,2","14,0","14,6"
04/06/2009 22.00,"1,1","16,1","18,9","14,6"
04/06/2009 23.00,"0,8","11,7","14,4","14,6"
05/06/2009 0.00,"1,1","11,1","14,0","14,6"
05/06/2009 1.00,,"10,4","13,4","17,8"
05/06/2009 2.00,"0,3",,,"17,8"
05/06/2009 3.00,"0,3",,,"17,8"
05/06/2009 4.00,"0,3",,,"17,8"
05/06/2009 5.00,"2,1",,,"17,8"
05/06/2009 6.00,"0,8",,,"17,8"
05/06/2009 7.00,"0,6",,,"17,8"
05/06/2009 8.00,"0,5",,,"17,8"
05/06/2009 9.00,"0,5",,,"17,8"
05/06/2009 10.00,"0,5",,,"17,8"
05/06/2009 11.00,"0,5",,,"17,8"
05/06/2009 12.00,"0,7",,,"17,8"
05/06/2009 13.00,"0,6",,,"17,8"
05/06/2009 14.00,"0,5",,,"17,8"
05/06/2009 15.00,"0,6",,,"17,8"
05/06/2009 16.00,"0,5",,,"17,8"
05/06/2009 17.00,"0,7",,,"17,8"
05/06/2009 18.00,"0,7",,,"17,8"
05/06/2009 19.00,"0,6",,,"17,8"
05/06/2009 20.00,"0,4",,,"17,8"
05/06/2009 21.00,"0,4",,,"17,8"
05/06/2009 22.00,"0,4",,,"17,8"
05/06/2009 23.00,"0,4",,,"17,8"
06/06/2009 0.00,"0,3",,,"17,8"
06/06/2009 1.00,"0,3",,,"14,7"
06/06/2009 2.00,"0,3",,,"14,7"
06/06/2009 3.00,"0,3",,,"14,7"
06/06/2009 4.00,"0,3",,,"14,7"
06/06/2009 5.00,"0,6",,,"14,7"
06/06/2009 6.00,"0,3",,,"14,7"
06/06/2009 7.00,"0,4",,,"14,7"
06/06/2009 8.00,"0,4",,,"14,7"
06/06/2009 9.00,"0,6",,,"14,7"
06/06/2009 10.00,"0,6",,,"14,7"
06/06/2009 11.00,"0,5",,,"14,7"
06/06/2009 12.00,"1,0",,,"14,7"
06/06/2009 13.00,"0,9",,,"14,7"
06/06/2009 14.00,"0,5",,,"14,7"
06/06/2009 15.00,"0,5",,,"14,7"
06/06/2009 16.00,"0,5",,,"14,7"
06/06/2009 17.00,"0,7",,,"14,7"
06/06/2009 18.00,"0,6",,,"14,7"
06/06/2009 19.00,"0,8",,,"14,7"
06/06/2009 20.00,"0,7",,,"14,7"
06/06/2009 21.00,"0,4",,,"14,7"
06/06/2009 22.00,"0,5",,,"14,7"
06/06/2009 23.00,"0,6",,,"14,7"
07/06/2009 0.00,"0,4",,,"14,7"
07/06/2009 1.00,,,,"13,7"
07/06/2009 2.00,"0,7",,,"13,7"
07/06/2009 3.00,"0,7",,,"13,7"
07/06/2009 4.00,"0,7",,,"13,7"
07/06/2009 5.00,"1,0",,,"13,7"
07/06/2009 6.00,"0,7",,,"13,7"
07/06/2009 7.00,"0,7",,,"13,7"
07/06/2009 8.00,"0,8",,,"13,7"
07/06/2009 9.00,"0,8",,,"13,7"
07/06/2009 10.00,"1,3",,,"13,7"
07/06/2009 11.00,"0,9",,,"13,7"
07/06/2009 12.00,"1,1",,,"13,7"
07/06/2009 13.00,"1,1",,,"13,7"
07/06/2009 14.00,"1,0",,,"13,7"
07/06/2009 15.00,"1,0",,,"13,7"
07/06/2009 16.00,"0,9",,,"13,7"
07/06/2009 17.00,"1,0",,,"13,7"
07/06/2009 18.00,"0,9",,,"13,7"
07/06/2009 19.00,"0,9",,,"13,7"
07/06/2009 20.00,"0,9",,,"13,7"
07/06/2009 21.00,"0,7",,,"13,7"
07/06/2009 22.00,"0,8",,,"13,7"
07/06/2009 23.00,"0,7",,,"13,7"
08/06/2009 0.00,"0,7",,,"13,7"
08/06/2009 1.00,"0,6",,,"22,7"
08/06/2009 2.00,"0,7",,,"22,7"
08/06/2009 3.00,"0,8",,,"22,7"
08/06/2009 4.00,"0,7",,,"22,7"
08/06/2009 5.00,"1,4",,,"22,7"
08/06/2009 6.00,"0,9",,,"22,7"
08/06/2009 7.00,"0,6",,,"22,7"
08/06/2009 8.00,"0,7",,,"22,7"
08/06/2009 9.00,"0,7",,,"22,7"
08/06/2009 10.00,"0,8",,,"22,7"
08/06/2009 11.00,"1,0",,,"22,7"
08/06/2009 12.00,"1,4",,,"22,7"
08/06/2009 13.00,"1,8",,,"22,7"
08/06/2009 14.00,"1,7",,,"22,7"
08/06/2009 15.00,"1,7",,,"22,7"
08/06/2009 16.00,"1,7",,,"22,7"
08/06/2009 17.00,"3,4",,,"22,7"
08/06/2009 18.00,"1,6","10,4","13,7","22,7"
08/06/2009 19.00,"1,5","16,6","21,7","22,7"
08/06/2009 20.00,"0,8","15,0","18,3","22,7"
08/06/2009 21.00,"0,8","13,2","16,4","22,7"
08/06/2009 22.00,"0,8","11,5","15,5","22,7"
08/06/2009 23.00,"0,7","9,3","12,8","22,7"
09/06/2009 0.00,"0,5","5,5","8,3","22,7"
09/06/2009 1.00,,"3,9","6,7","13,3"
09/06/2009 2.00,"1,4",,,"13,3"
09/06/2009 3.00,"1,4","3,1","5,3","13,3"
09/06/2009 4.00,"1,9","2,7","5,2","13,3"
09/06/2009 5.00,"5,4","4,9","8,0","13,3"
09/06/2009 6.00,"4,7","12,9","26,0","13,3"
09/06/2009 7.00,"6,8","14,8","22,4","13,3"
09/06/2009 8.00,"3,1","24,0","39,5","13,3"
09/06/2009 9.00,"2,7","18,8","24,9","13,3"
09/06/2009 10.00,"3,3","9,5","12,7","13,3"
09/06/2009 11.00,"4,0","7,0","9,6","13,3"
09/06/2009 12.00,"4,2","5,9","7,9","13,3"
09/06/2009 13.00,"4,0","4,4","6,4","13,3"
09/06/2009 14.00,"4,9","8,0","10,9","13,3"
09/06/2009 15.00,"10,2","23,9","30,6","13,3"
09/06/2009 16.00,"3,5","3,3","5,2","13,3"
09/06/2009 17.00,"2,6","1,5","3,5","13,3"
09/06/2009 18.00,"2,2","4,8","7,5","13,3"
09/06/2009 19.00,"2,8","11,7","19,5","13,3"
09/06/2009 20.00,"2,2","8,7","11,7","13,3"
09/06/2009 21.00,"2,1","12,2","16,2","13,3"
09/06/2009 22.00,"1,8","9,8","12,9","13,3"
09/06/2009 23.00,"1,9","13,0","18,5","13,3"
10/06/2009 0.00,"1,6","9,4","13,2","13,3"
10/06/2009 1.00,"1,7","8,6","12,6","50,2"
10/06/2009 2.00,"1,6","6,5","9,7","50,2"
10/06/2009 3.00,"1,8","9,6","12,6","50,2"
10/06/2009 4.00,"1,6","7,2","10,2","50,2"
10/06/2009 5.00,"2,3","9,8","22,1","50,2"
10/06/2009 6.00,"3,0","20,6","49,6","50,2"
10/06/2009 7.00,"2,8","30,1","53,1","50,2"
10/06/2009 8.00,"4,2","13,2","19,1","50,2"
10/06/2009 9.00,"6,1","11,8","15,6","50,2"
10/06/2009 10.00,"9,2","10,0","13,3","50,2"
10/06/2009 11.00,"12,8","8,9","12,2","50,2"
10/06/2009 12.00,"13,6","11,1","15,2","50,2"
10/06/2009 13.00,"11,2","9,0","12,2","50,2"
10/06/2009 14.00,"9,4","9,7","12,9","50,2"
10/06/2009 15.00,"7,5","7,2","10,1","50,2"
10/06/2009 16.00,"5,3","3,6","6,0","50,2"
10/06/2009 17.00,"5,3","5,3","7,9","50,2"
10/06/2009 18.00,"4,0","5,1","7,4","50,2"
10/06/2009 19.00,"2,6","6,7","9,0","50,2"
10/06/2009 20.00,"2,3","7,3","9,9","50,2"
10/06/2009 21.00,"1,9","4,6","7,0","50,2"
10/06/2009 22.00,"2,0","5,0","7,8","50,2"
10/06/2009 23.00,"2,0","4,7","7,5","50,2"
11/06/2009 0.00,"1,9","2,9","5,3","50,2"
11/06/2009 1.00,,"5,6","8,1","21,3"
11/06/2009 2.00,"0,5",,,"21,3"
11/06/2009 3.00,"0,6","3,2","5,6","21,3"
11/06/2009 4.00,"0,7","2,8","5,2","21,3"
11/06/2009 5.00,"1,1","3,4","5,7","21,3"
11/06/2009 6.00,"0,6","6,5","9,1","21,3"
11/06/2009 7.00,"0,8","8,8","12,5","21,3"
11/06/2009 8.00,"0,8","4,7","7,4","21,3"
11/06/2009 9.00,"1,1","2,7","5,2","21,3"
11/06/2009 10.00,"1,5","2,0","4,1","21,3"
11/06/2009 11.00,"1,6","1,9","3,9","21,3"
11/06/2009 12.00,"1,9","2,2","4,3","21,3"
11/06/2009 13.00,"2,1","1,9","3,8","21,3"
11/06/2009 14.00,"2,0","2,6","4,8","21,3"
11/06/2009 15.00,"2,1","4,7","7,3","21,3"
11/06/2009 16.00,"2,9","11,7","15,9","21,3"
11/06/2009 17.00,"2,1","9,3","12,2","21,3"
11/06/2009 18.00,"2,6","11,9","15,3","21,3"
11/06/2009 19.00,"1,9","7,6","10,4","21,3"
11/06/2009 20.00,"1,0","10,9","14,5","21,3"
11/06/2009 21.00,"0,9","11,6","14,4","21,3"
11/06/2009 22.00,"0,7","11,7","15,2","21,3"
11/06/2009 23.00,"0,8","11,5","14,5","21,3"
12/06/2009 0.00,"1,1","9,5","12,0","21,3"
12/06/2009 1.00,"0,6","6,2","8,8","16,3"
12/06/2009 2.00,"0,8","5,4","7,4","16,3"
12/06/2009 3.00,"0,8","5,6","7,7","16,3"
12/06/2009 4.00,"0,7","5,2","7,4","16,3"
12/06/2009 5.00,"1,9","6,7","9,6","16,3"
12/06/2009 6.00,"0,9","10,1","12,9","16,3"
12/06/2009 7.00,"1,4","9,2","12,0","16,3"
12/06/2009 8.00,"1,3","6,0","8,8","16,3"
12/06/2009 9.00,"1,4","3,9","6,3","16,3"
12/06/2009 10.00,"1,5","2,7","4,8","16,3"
12/06/2009 11.00,"1,8","1,9","3,9","16,3"
12/06/2009 12.00,"1,7","1,7","3,7","16,3"
12/06/2009 13.00,"2,0","2,3","4,3","16,3"
12/06/2009 14.00,"3,2","4,5","6,9","16,3"
12/06/2009 15.00,"2,4","2,3","4,4","16,3"
12/06/2009 16.00,"2,1","2,3","4,3","16,3"
12/06/2009 17.00,"2,0","5,0","7,8","16,3"
12/06/2009 18.00,"1,8","3,0","5,5","16,3"
12/06/2009 19.00,"1,4","2,3","4,4","16,3"
12/06/2009 20.00,"1,1","4,0","6,0","16,3"
12/06/2009 21.00,"1,0","3,5","5,6","16,3"
12/06/2009 22.00,"1,2","3,2","5,4","16,3"
12/06/2009 23.00,"1,1","1,7","3,4","16,3"
13/06/2009 0.00,"1,0","4,6","6,8","16,3"
13/06/2009 1.00,,"2,7","4,7","12,7"
13/06/2009 2.00,"0,9",,,"12,7"
13/06/2009 3.00,"0,9","4,7","6,6","12,7"
13/06/2009 4.00,"1,0","6,1","8,3","12,7"
13/06/2009 5.00,"0,7","6,0","8,1","12,7"
13/06/2009 6.00,"1,0","5,9","8,9","12,7"
13/06/2009 7.00,"1,0","5,4","8,5","12,7"
13/06/2009 8.00,"0,9","5,3","7,9","12,7"
13/06/2009 9.00,"1,2","3,9","6,1","12,7"
13/06/2009 10.00,"2,5","3,7","5,8","12,7"
13/06/2009 11.00,"2,3","4,4","6,9","12,7"
13/06/2009 12.00,"2,7","3,8","6,0","12,7"
13/06/2009 13.00,"3,0","3,3","5,4","12,7"
13/06/2009 14.00,"2,9","2,6","4,5","12,7"
13/06/2009 15.00,"2,6","1,7","3,8","12,7"
13/06/2009 16.00,"2,2","1,9","3,9","12,7"
13/06/2009 17.00,"2,5","7,8","11,2","12,7"
13/06/2009 18.00,"2,4","5,1","7,5","12,7"
13/06/2009 19.00,"2,2","7,4","10,4","12,7"
13/06/2009 20.00,"1,1","11,0","13,3","12,7"
13/06/2009 21.00,"0,9","7,2","9,4","12,7"
13/06/2009 22.00,"0,9","7,5","10,0","12,7"
13/06/2009 23.00,"1,1","7,4","9,5","12,7"
14/06/2009 0.00,"0,9","8,1","10,5","12,7"
14/06/2009 1.00,"0,8","12,2","15,2","33,7"
14/06/2009 2.00,"1,0","10,0","12,5","33,7"
14/06/2009 3.00,"0,8","8,6","11,2","33,7"
14/06/2009 4.00,"1,0","4,6","6,7","33,7"
14/06/2009 5.00,"1,2","8,3","11,7","33,7"
14/06/2009 6.00,"1,8","22,3","27,8","33,7"
14/06/2009 7.00,"2,6","17,5","23,5","33,7"
14/06/2009 8.00,"3,3","9,6","13,4","33,7"
14/06/2009 9.00,"6,4","12,5","16,6","33,7"
14/06/2009 10.00,"7,4","10,5","14,1","33,7"
14/06/2009 11.00,"7,2","6,9","9,9","33,7"
14/06/2009 12.00,"7,7","4,9","8,1","33,7"
14/06/2009 13.00,"7,3","3,8","6,5","33,7"
14/06/2009 14.00,"6,4","2,6","5,4","33,7"
14/06/2009 15.00,"5,6","1,7","4,6","33,7"
14/06/2009 16.00,"4,8","1,3","4,1","33,7"
14/06/2009 17.00,"5,5","1,6","4,4","33,7"
14/06/2009 18.00,"5,8","2,8","5,6","33,7"
14/06/2009 19.00,"4,5","4,7","7,4","33,7"
14/06/2009 20.00,"2,0","11,3","14,1","33,7"
14/06/2009 21.00,"1,1","14,7","17,8","33,7"
14/06/2009 22.00,"1,2","17,5","21,7","33,7"
14/06/2009 23.00,"1,0","17,7","22,7","33,7"
15/06/2009 0.00,"1,0","16,7","21,4","33,7"
15/06/2009 1.00,,"14,4","17,9",
15/06/2009 2.00,"0,9",,,
15/06/2009 3.00,"0,9","8,2","11,1",
15/06/2009 4.00,"1,1","8,4","11,4",
15/06/2009 5.00,"1,8","21,3","41,0",
15/06/2009 6.00,"2,0","20,4","28,1",
15/06/2009 7.00,"3,8","21,0","30,6",
15/06/2009 8.00,"6,2","14,7","19,8",
15/06/2009 9.00,"8,4","17,6","21,6",
15/06/2009 10.00,"10,1","13,6","17,7",
15/06/2009 11.00,"15,3","29,2","36,8",
15/06/2009 12.00,"13,3","16,9","21,5",
15/06/2009 13.00,"12,4","10,0","13,4",
15/06/2009 14.00,"8,8","6,3","9,5",
15/06/2009 15.00,"6,4","5,7","8,5",
15/06/2009 16.00,"6,6","8,3","11,2",
15/06/2009 17.00,"9,4","12,7","16,3",
15/06/2009 18.00,"4,0","5,5","8,2",
15/06/2009 19.00,"3,2","9,6","12,6",
15/06/2009 20.00,"1,2","13,5","16,2",
15/06/2009 21.00,"1,1","14,7","17,5",
15/06/2009 22.00,"0,8","15,3","19,9",
15/06/2009 23.00,"0,8","10,0","14,3",
16/06/2009 0.00,"0,9","6,5","13,3",
16/06/2009 1.00,"0,8","4,1","8,9",
16/06/2009 2.00,"0,7","4,0","8,1",
16/06/2009 3.00,"0,6","4,1","8,7",
16/06/2009 4.00,"0,9","3,9","8,5",
16/06/2009 5.00,"1,3","5,7","24,0",
16/06/2009 6.00,"1,2","9,7","30,8",
16/06/2009 7.00,"1,8","24,9","37,5",
16/06/2009 8.00,"3,0","14,9","19,3",
16/06/2009 9.00,"4,6","10,1","13,4",
16/06/2009 10.00,"6,0","10,9","14,4",
16/06/2009 11.00,"7,8","12,1","15,7",
16/06/2009 12.00,"7,1","8,8","12,0",
16/06/2009 13.00,"6,5","7,1","9,9",
16/06/2009 14.00,"6,0","5,6","8,6",
16/06/2009 15.00,"3,8","3,9","6,6",
16/06/2009 16.00,"2,8","3,9","6,3",
16/06/2009 17.00,"2,4","3,6","6,0",
16/06/2009 18.00,"2,2","3,2","5,4",
16/06/2009 19.00,"1,3","6,8","9,8",
16/06/2009 20.00,"0,6","10,0","12,8",
16/06/2009 21.00,"0,7","13,4","16,9",
16/06/2009 22.00,"0,7","12,5","16,4",
16/06/2009 23.00,"0,7","10,1","16,4",
17/06/2009 0.00,"0,7","8,8","15,6",
17/06/2009 1.00,,"5,6","9,9",
17/06/2009 2.00,"0,9",,,
17/06/2009 3.00,"0,8","6,1","10,6",
17/06/2009 4.00,"1,5","5,1","10,2",
17/06/2009 5.00,"1,2","5,9","10,6",
17/06/2009 6.00,"1,5","17,3","28,0",
17/06/2009 7.00,"2,0","17,6","25,7",
17/06/2009 8.00,"6,0","19,8","24,1",
17/06/2009 9.00,"7,4","15,9","19,6",
17/06/2009 10.00,"7,4","16,2","19,5",
17/06/2009 11.00,"16,3","23,3","27,3",
17/06/2009 12.00,"15,6","18,6","22,7",
17/06/2009 13.00,"7,6","7,2","10,3",
17/06/2009 14.00,"6,3","5,5","8,0",
17/06/2009 15.00,"4,6","4,0","6,5",
17/06/2009 16.00,"3,5","3,7","6,3",
17/06/2009 17.00,"4,1","8,3","12,8",
17/06/2009 18.00,"3,6","9,9","14,5",
17/06/2009 19.00,"3,6","13,4","17,3",
17/06/2009 20.00,"2,1","19,4","22,5",
17/06/2009 21.00,"1,4","10,1","12,4",
17/06/2009 22.00,"1,2","5,7","8,1",
17/06/2009 23.00,"1,2","4,6","6,7",
18/06/2009 0.00,"1,0","3,3","5,5",
18/06/2009 1.00,"1,0","2,0","4,1",
18/06/2009 2.00,"1,0","1,8","3,8",
18/06/2009 3.00,"0,7","2,1","4,2",
18/06/2009 4.00,"0,7","2,8","4,9",
18/06/2009 5.00,"0,8","2,7","4,9",
18/06/2009 6.00,"0,8","6,9","10,7",
18/06/2009 7.00,"0,7","2,3","4,4",
18/06/2009 8.00,"0,9","3,1","5,5",
18/06/2009 9.00,"0,7","2,4","4,6",
18/06/2009 10.00,"0,8","2,3","4,4",
18/06/2009 11.00,"1,5","1,9","4,1",
18/06/2009 12.00,"1,7","2,0","4,2",
18/06/2009 13.00,"2,3","1,6","3,7",
18/06/2009 14.00,"1,8","1,2","3,1",
18/06/2009 15.00,"1,7","2,0","4,1",
18/06/2009 16.00,"1,4","2,6","4,9",
18/06/2009 17.00,"1,2","3,4","5,4",
18/06/2009 18.00,"0,8","3,6","5,9",
18/06/2009 19.00,"0,6","3,5","5,9",
18/06/2009 20.00,"0,8","3,4","5,8",
18/06/2009 21.00,"0,5","3,0","5,0",
18/06/2009 22.00,"0,6","4,8","7,0",
18/06/2009 23.00,"0,6","5,0","8,0",
19/06/2009 0.00,"0,5","4,3","6,5",
19/06/2009 1.00,,"4,1","6,6","20,8"
19/06/2009 2.00,"0,9",,,"20,8"
19/06/2009 3.00,"0,7","4,5","7,3","20,8"
19/06/2009 4.00,"0,7","3,6","6,5","20,8"
19/06/2009 5.00,"1,2","3,7","6,5","20,8"
19/06/2009 6.00,"1,0","8,6","12,5","20,8"
19/06/2009 7.00,"1,1","9,5","14,1","20,8"
19/06/2009 8.00,"1,8","11,9","17,5","20,8"
19/06/2009 9.00,"3,2","8,1","11,2","20,8"
19/06/2009 10.00,"3,9","6,6","8,8","20,8"
19/06/2009 11.00,"4,2","6,7","9,1","20,8"
19/06/2009 12.00,"4,0","8,1","10,5","20,8"
19/06/2009 13.00,"3,4","9,8","12,3","20,8"
19/06/2009 14.00,"3,0","8,5","11,2","20,8"
19/06/2009 15.00,"2,4","7,6","10,3","20,8"
19/06/2009 16.00,"1,8","8,0","10,3","20,8"
19/06/2009 17.00,"1,7","8,2","10,5","20,8"
19/06/2009 18.00,"2,2","8,2","10,6","20,8"
19/06/2009 19.00,"1,5","8,4","10,7","20,8"
19/06/2009 20.00,"1,1","7,9","10,3","20,8"
19/06/2009 21.00,"1,2","7,3","9,7","20,8"
19/06/2009 22.00,"1,0","9,1","12,0","20,8"
19/06/2009 23.00,"1,1","13,0","16,0","20,8"
20/06/2009 0.00,"1,1","11,4","14,6","20,8"
20/06/2009 1.00,"1,2","9,0","12,3","27,1"
20/06/2009 2.00,"1,1","8,8","11,8","27,1"
20/06/2009 3.00,"1,0","9,5","12,9","27,1"
20/06/2009 4.00,"1,4","7,9","10,9","27,1"
20/06/2009 5.00,"1,4","10,2","13,5","27,1"
20/06/2009 6.00,"1,3","12,2","16,2","27,1"
20/06/2009 7.00,"1,0","13,8","17,7","27,1"
20/06/2009 8.00,"1,2","10,1","13,1","27,1"
20/06/2009 9.00,"1,0","9,5","12,4","27,1"
20/06/2009 10.00,"1,5","9,3","12,1","27,1"
20/06/2009 11.00,"1,8","9,6","12,5","27,1"
20/06/2009 12.00,"2,2","10,3","13,1","27,1"
20/06/2009 13.00,"2,2","9,2","12,0","27,1"
20/06/2009 14.00,"2,1","8,9","11,8","27,1"
20/06/2009 15.00,"1,8","9,4","12,0","27,1"
20/06/2009 16.00,"1,7","9,1","11,8","27,1"
20/06/2009 17.00,"1,7","8,2","11,0","27,1"
20/06/2009 18.00,"1,5","8,5","11,2","27,1"
20/06/2009 19.00,"1,3","12,3","15,5","27,1"
20/06/2009 20.00,"1,2","12,7","15,9","27,1"
20/06/2009 21.00,"1,0","11,6","14,6","27,1"
20/06/2009 22.00,"1,2","6,7","9,7","27,1"
20/06/2009 23.00,"1,1","7,5","11,0","27,1"
21/06/2009 0.00,"1,0","9,6","13,0","27,1"
21/06/2009 1.00,,"10,9","14,8","18,6"
21/06/2009 2.00,"0,5",,,"18,6"
21/06/2009 3.00,"0,7",,,"18,6"
21/06/2009 4.00,"0,6",,,"18,6"
21/06/2009 5.00,"0,4",,,"18,6"
21/06/2009 6.00,"0,4",,,"18,6"
21/06/2009 7.00,"0,6",,,"18,6"
21/06/2009 8.00,"0,4",,,"18,6"
21/06/2009 9.00,"0,8",,,"18,6"
21/06/2009 10.00,"0,5",,,"18,6"
21/06/2009 11.00,"0,5",,,"18,6"
21/06/2009 12.00,"0,5",,,"18,6"
21/06/2009 13.00,"0,4",,,"18,6"
21/06/2009 14.00,"0,5",,,"18,6"
21/06/2009 15.00,"0,5",,,"18,6"
21/06/2009 16.00,"0,5",,,"18,6"
21/06/2009 17.00,"0,6",,,"18,6"
21/06/2009 18.00,"0,5",,,"18,6"
21/06/2009 19.00,"0,5",,,"18,6"
21/06/2009 20.00,"0,5",,,"18,6"
21/06/2009 21.00,"0,6",,,"18,6"
21/06/2009 22.00,"0,5",,,"18,6"
21/06/2009 23.00,"0,6",,,"18,6"
22/06/2009 0.00,"0,7",,,"18,6"
22/06/2009 1.00,"0,5",,,"14,0"
22/06/2009 2.00,"0,5",,,"14,0"
22/06/2009 3.00,"0,4",,,"14,0"
22/06/2009 4.00,"0,6",,,"14,0"
22/06/2009 5.00,"0,5",,,"14,0"
22/06/2009 6.00,"0,6",,,"14,0"
22/06/2009 7.00,"0,6",,,"14,0"
22/06/2009 8.00,"0,9",,,"14,0"
22/06/2009 9.00,"0,8",,,"14,0"
22/06/2009 10.00,"0,7",,,"14,0"
22/06/2009 11.00,"0,9",,,"14,0"
22/06/2009 12.00,"1,3",,,"14,0"
22/06/2009 13.00,"0,9",,,"14,0"
22/06/2009 14.00,"0,7",,,"14,0"
22/06/2009 15.00,"1,0",,,"14,0"
22/06/2009 16.00,"0,9",,,"14,0"
22/06/2009 17.00,"0,8",,,"14,0"
22/06/2009 18.00,"0,8",,,"14,0"
22/06/2009 19.00,"0,8",,,"14,0"
22/06/2009 20.00,"0,8",,,"14,0"
22/06/2009 21.00,"0,6",,,"14,0"
22/06/2009 22.00,"0,7",,,"14,0"
22/06/2009 23.00,"0,7",,,"14,0"
23/06/2009 0.00,"0,8",,,"14,0"
23/06/2009 1.00,,,,"7,1"
23/06/2009 2.00,"0,4",,,"7,1"
23/06/2009 3.00,"0,4",,,"7,1"
23/06/2009 4.00,"0,4",,,"7,1"
23/06/2009 5.00,"0,4",,,"7,1"
23/06/2009 6.00,"0,4",,,"7,1"
23/06/2009 7.00,"0,5",,,"7,1"
23/06/2009 8.00,"0,5",,,"7,1"
23/06/2009 9.00,"0,5",,,"7,1"
23/06/2009 10.00,"0,5",,,"7,1"
23/06/2009 11.00,"0,7",,,"7,1"
23/06/2009 12.00,"0,7",,,"7,1"
23/06/2009 13.00,"0,5",,,"7,1"
23/06/2009 14.00,"0,8",,,"7,1"
23/06/2009 15.00,"0,6",,,"7,1"
23/06/2009 16.00,"0,6",,,"7,1"
23/06/2009 17.00,"0,6",,,"7,1"
23/06/2009 18.00,"0,5",,,"7,1"
23/06/2009 19.00,"0,7",,,"7,1"
23/06/2009 20.00,"0,6",,,"7,1"
23/06/2009 21.00,"0,4",,,"7,1"
23/06/2009 22.00,"0,6",,,"7,1"
23/06/2009 23.00,"0,4",,,"7,1"
24/06/2009 0.00,"0,5",,,"7,1"
24/06/2009 1.00,"0,6",,,"4,4"
24/06/2009 2.00,"0,5",,,"4,4"
24/06/2009 3.00,"0,4",,,"4,4"
24/06/2009 4.00,"0,5",,,"4,4"
24/06/2009 5.00,"0,5",,,"4,4"
24/06/2009 6.00,"0,4",,,"4,4"
24/06/2009 7.00,"0,5",,,"4,4"
24/06/2009 8.00,"0,6",,,"4,4"
24/06/2009 9.00,"0,3",,,"4,4"
24/06/2009 10.00,"0,6",,,"4,4"
24/06/2009 11.00,"0,7",,,"4,4"
24/06/2009 12.00,"0,6",,,"4,4"
24/06/2009 13.00,"0,7",,,"4,4"
24/06/2009 14.00,"0,5",,,"4,4"
24/06/2009 15.00,"0,6",,,"4,4"
24/06/2009 16.00,"0,6",,,"4,4"
24/06/2009 17.00,"0,7",,,"4,4"
24/06/2009 18.00,"0,5",,,"4,4"
24/06/2009 19.00,"0,6",,,"4,4"
24/06/2009 20.00,"0,5",,,"4,4"
24/06/2009 21.00,"0,5",,,"4,4"
24/06/2009 22.00,"0,6",,,"4,4"
24/06/2009 23.00,"0,6",,,"4,4"
25/06/2009 0.00,"0,4",,,"4,4"
25/06/2009 1.00,,,,"7,5"
25/06/2009 2.00,"0,7",,,"7,5"
25/06/2009 3.00,"0,9",,,"7,5"
25/06/2009 4.00,"0,6",,,"7,5"
25/06/2009 5.00,"0,9",,,"7,5"
25/06/2009 6.00,"1,1",,,"7,5"
25/06/2009 7.00,"0,9",,,"7,5"
25/06/2009 8.00,"1,0",,,"7,5"
25/06/2009 9.00,"1,0",,,"7,5"
25/06/2009 10.00,"1,5",,,"7,5"
25/06/2009 11.00,"1,3",,,"7,5"
25/06/2009 12.00,"1,2",,,"7,5"
25/06/2009 13.00,"0,8",,,"7,5"
25/06/2009 14.00,"1,0",,,"7,5"
25/06/2009 15.00,"1,0",,,"7,5"
25/06/2009 16.00,"0,9",,,"7,5"
25/06/2009 17.00,"0,9",,,"7,5"
25/06/2009 18.00,"0,9",,,"7,5"
25/06/2009 19.00,"1,1",,,"7,5"
25/06/2009 20.00,"0,9",,,"7,5"
25/06/2009 21.00,"0,6",,,"7,5"
25/06/2009 22.00,"1,0",,,"7,5"
25/06/2009 23.00,"0,7",,,"7,5"
26/06/2009 0.00,"0,7",,,"7,5"
26/06/2009 1.00,"0,7",,,"7,1"
26/06/2009 2.00,"0,7",,,"7,1"
26/06/2009 3.00,"0,6",,,"7,1"
26/06/2009 4.00,"0,5",,,"7,1"
26/06/2009 5.00,"0,4",,,"7,1"
26/06/2009 6.00,"0,6",,,"7,1"
26/06/2009 7.00,"0,5",,,"7,1"
26/06/2009 8.00,"0,5",,,"7,1"
26/06/2009 9.00,"0,5",,,"7,1"
26/06/2009 10.00,"0,4",,,"7,1"
26/06/2009 11.00,"0,5","6,2","8,7","7,1"
26/06/2009 12.00,"0,6","3,6","6,0","7,1"
26/06/2009 13.00,"0,7","3,3","5,5","7,1"
26/06/2009 14.00,"0,5","3,9","5,8","7,1"
26/06/2009 15.00,"0,6","4,7","7,1","7,1"
26/06/2009 16.00,"0,5","7,4","10,9","7,1"
26/06/2009 17.00,"0,4","4,2","6,2","7,1"
26/06/2009 18.00,"0,5","2,7","4,7","7,1"
26/06/2009 19.00,"0,7","6,8","9,4","7,1"
26/06/2009 20.00,"0,6","11,2","15,1","7,1"
26/06/2009 21.00,"0,6","10,3","15,7","7,1"
26/06/2009 22.00,"0,4","5,3","8,0","7,1"
26/06/2009 23.00,"0,6","10,5","13,8","7,1"
27/06/2009 0.00,"0,6","11,0","14,4","7,1"
