,,lecce,,
,,GUAGNANO,,
Parm,SO2,NO2,NOX,PM10



10/01/2009 19.00,"0,9","11,9","28,6","25,9"
10/01/2009 20.00,"0,8","10,9","25,8","25,9"
10/01/2009 21.00,"0,6","9,4","22,1","25,9"
10/01/2009 22.00,"0,6","10,5","21,8","25,9"
10/01/2009 23.00,"0,4","9,5","19,3","25,9"
11/01/2009 0.00,"0,5","9,0","17,9","25,9"
11/01/2009 1.00,"0,5","8,1","16,8","17,6"
11/01/2009 2.00,"0,4","8,2","15,8","17,6"
11/01/2009 3.00,"0,4","8,9","15,9","17,6"
11/01/2009 4.00,"0,3","8,5","14,8","17,6"
11/01/2009 5.00,"0,4","8,6","14,3","17,6"
11/01/2009 6.00,"0,5","8,7","14,3","17,6"
11/01/2009 7.00,"0,4","7,1","12,0","17,6"
11/01/2009 8.00,"0,3","6,0","10,6","17,6"
11/01/2009 9.00,"0,4","6,4","11,2","17,6"
11/01/2009 10.00,"0,4","8,9","14,0","17,6"
11/01/2009 11.00,"0,5","8,4","14,6","17,6"
11/01/2009 12.00,"0,7","5,3","13,4","17,6"
11/01/2009 13.00,"0,7","5,4","17,0","17,6"
11/01/2009 14.00,"0,7","8,6","21,2","17,6"
11/01/2009 15.00,"0,7","8,6","22,0","17,6"
11/01/2009 16.00,"0,6","7,5","21,6","17,6"
11/01/2009 17.00,"0,6","8,5","23,5","17,6"
11/01/2009 18.00,"0,7","9,7","24,8","17,6"
11/01/2009 19.00,"0,7","8,1","22,2","17,6"
11/01/2009 20.00,"0,6","7,2","18,5","17,6"
11/01/2009 21.00,"0,6","7,4","17,7","17,6"
11/01/2009 22.00,"0,7","7,7","16,8","17,6"
11/01/2009 23.00,"0,6","6,9","14,6","17,6"
12/01/2009 0.00,"0,6","7,6","15,3","17,6"
12/01/2009 1.00,,"7,6","15,0","27,9"
12/01/2009 2.00,"0,7",,,"27,9"
12/01/2009 3.00,"0,7","5,1","10,1","27,9"
12/01/2009 4.00,"0,6","4,4","8,3","27,9"
12/01/2009 5.00,"0,7","3,7","6,4","27,9"
12/01/2009 6.00,"0,4","3,0","4,5","27,9"
12/01/2009 7.00,"0,6","3,3","4,1","27,9"
12/01/2009 8.00,"0,6","5,9","7,1","27,9"
12/01/2009 9.00,"0,8","10,0","17,6","27,9"
12/01/2009 10.00,"0,9","9,0","17,9","27,9"
12/01/2009 11.00,"0,9","9,9","19,1","27,9"
12/01/2009 12.00,"1,1","13,3","22,3","27,9"
12/01/2009 13.00,"1,3","8,0","14,7","27,9"
12/01/2009 14.00,"1,3","8,3","19,6","27,9"
12/01/2009 15.00,"1,1","10,0","21,8","27,9"
12/01/2009 16.00,"1,6","14,8","35,7","27,9"
12/01/2009 17.00,"1,6","11,4","27,5","27,9"
