"NetC","Provincia Bari","","","","","","","","","",""
"Stat","Casamassima","","","","","","","","","",""
"","NO2","NOX","PM10"
"2012-01-06 00:00:01","0.36729711","1.45520599","15.38461018"
"2012-01-06 01:00:01","2.57822302","4.30400951",""
"2012-01-06 02:00:01","","","8.79120922"
"2012-01-06 03:00:01","9.77297768","11.22596384",""
"2012-01-06 04:00:01","5.12594581","6.93038434","8.54700947"
"2012-01-06 05:00:01","2.16679694","3.39093965",""
"2012-01-06 06:00:01","1.86114845","3.46875805","14.89620972"
"2012-01-06 07:00:01","2.27841568","4.42722262",""
"2012-01-06 08:00:01","5.68338176","11.80960184","7.81440783"
"2012-01-06 09:00:01","2.72553114","5.4479419",""
"2012-01-06 10:00:01","3.86116928","7.21701608","4.63980484"
"2012-01-06 11:00:01","4.61588157","8.4705424",""
"2012-01-06 12:00:01","4.53476497","8.89335634","2.19780207"
"2012-01-06 13:00:01","5.86054194","11.50546191",""
"2012-01-06 14:00:01","6.55490386","10.96008494","7.08180714"
"2012-01-06 15:00:01","3.4834881","6.18462403",""
"2012-01-06 16:00:01","2.44324538","5.35780258","10.25640965"
"2012-01-06 17:00:01","3.02339398","6.78512205",""
"2012-01-06 18:00:01","5.57371135","9.47439976","15.87300968"
"2012-01-06 19:00:01","5.00654141","8.84277247",""
"2012-01-06 20:00:01","5.14216913","9.1728525","11.23320961"
"2012-01-06 21:00:01","4.45819128","8.10868493",""
"2012-01-06 22:00:01","3.99355234","7.72478018","12.21000957"
"2012-01-06 23:00:01","1.71968148","4.01413693",""
"2012-01-07 00:00:01","0.96302086","3.11403616","10.98900986"
"2012-01-07 01:00:01","0.42116006","2.56411819",""
"2012-01-07 02:00:01","0.07332902","1.34236931","14.16361046"
"2012-01-07 03:00:01","0.09344709","1.32485922",""
"2012-01-07 04:00:01","","","11.23320961"
"2012-01-07 05:00:01","","",""
"2012-01-07 06:00:01","0.05126646","1.28789643","16.11721039"
"2012-01-07 07:00:01","1.98834042","4.30919868",""
"2012-01-07 08:00:01","3.56136194","6.78966305","8.54700947"
"2012-01-07 09:00:01","4.65871228","9.19944078",""
"2012-01-07 10:00:01","5.27585043","10.57358562","7.32600689"
"2012-01-07 11:00:01","4.14799987","10.26296018",""
"2012-01-07 12:00:01","3.5360528","10.43286433","16.60560989"
"2012-01-07 13:00:01","4.04611513","10.99510131",""
"2012-01-07 14:00:01","4.50296841","9.62160655","14.40781021"
"2012-01-07 15:00:01","3.44909504","8.6780575",""
"2012-01-07 16:00:01","4.75735045","9.73055231","9.03540897"
"2012-01-07 17:00:01","7.66717927","13.86855051",""
"2012-01-07 18:00:01","10.73729297","19.407278","8.30280876"
"2012-01-07 19:00:01","11.17078543","18.25556759",""
"2012-01-07 20:00:01","12.25256253","18.28280403","16.11721039"
"2012-01-07 21:00:01","22.00929968","33.20708064",""
"2012-01-07 22:00:01","12.16819744","21.31512896","13.91940975"
"2012-01-07 23:00:01","7.22200831","13.70383362",""
"2012-01-08 00:00:01","3.26674378","6.66644994","14.65200996"
"2012-01-08 01:00:01","2.62754114","6.94983894",""
"2012-01-08 02:00:01","","","12.21000957"
"2012-01-08 03:00:01","7.09352","9.60733921",""
"2012-01-08 04:00:01","2.91631815","4.63863054","11.47741032"
"2012-01-08 05:00:01","1.48411734","3.82802094",""
"2012-01-08 06:00:01","1.5413913","3.8406975","7.08180714"
"2012-01-08 07:00:01","6.36541319","11.40299974",""
"2012-01-08 08:00:01","10.82554324","16.48973617","4.63980484"
"2012-01-08 09:00:01","12.63348646","19.11156999",""
"2012-01-08 10:00:01","13.81324782","28.9523644","11.23320961"
"2012-01-08 11:00:01","8.82812655","17.21604187",""
"2012-01-08 12:00:01","7.57308402","15.98975199","10.7448101"
"2012-01-08 13:00:01","13.34211764","22.45515896",""
"2012-01-08 14:00:01","8.46731877","17.67127951","9.52380943"
"2012-01-08 15:00:01","5.63016889","11.84137928",""
"2012-01-08 16:00:01","6.56204136","11.61311134","5.61660624"
"2012-01-08 17:00:01","10.98388934","15.90869084",""
"2012-01-08 18:00:01","15.86907611","24.97389392","10.98900986"
"2012-01-08 19:00:01","15.56407387","23.27938392",""
"2012-01-08 20:00:01","18.07675353","30.59626376","5.37240601"
"2012-01-08 21:00:01","14.65103078","25.85907344",""
"2012-01-08 22:00:01","10.39206034","18.31976682","13.43101025"
"2012-01-08 23:00:01","5.98384109","10.9069084",""
"2012-01-09 00:00:01","3.76512761","7.45954946","11.23320961"
"2012-01-09 01:00:01","2.2349368","4.43046537",""
"2012-01-09 02:00:01","0.58858626","2.35076576","7.08180714"
"2012-01-09 03:00:01","2.00845658","5.4395119",""
"2012-01-09 04:00:01","0.00843574","1.3099437","4.63980484"
"2012-01-09 05:00:01","0.09928825","1.81446697",""
"2012-01-09 06:00:01","1.92020248","4.40063434","11.96580982"
"2012-01-09 07:00:01","8.22007231","14.7076929",""
"2012-01-09 08:00:01","18.01511256","42.85593128","6.59340715"
"2012-01-09 09:00:01","25.55185328","69.48865728",""
"2012-01-09 10:00:01","18.82563613","37.3716652","7.08180714"
"2012-01-09 11:00:01","19.26754904","39.82940736",""
"2012-01-09 12:00:01","17.78213727","41.26065408","22.22220993"
"2012-01-09 13:00:01","12.08448243","23.65681272",""
"2012-01-09 14:00:01","17.74970019","29.47244752","13.91940975"
"2012-01-09 15:00:01","20.35062056","31.72269944",""
"2012-01-09 16:00:01","20.70298304","36.04548288","14.65200996"
"2012-01-09 17:00:01","20.6251264","26.64698952",""
"2012-01-09 18:00:01","34.2242264","50.7687624","18.80340958"
"2012-01-09 19:00:01","43.64094112","60.9662232",""
"2012-01-09 20:00:01","31.4967584","51.05669048","27.59461975"
"2012-01-09 21:00:01","26.82180368","48.29218704",""
"2012-01-09 22:00:01","22.86394456","29.16960584","32.23442078"
"2012-01-09 23:00:01","7.87094494","11.26292854",""
"2012-01-10 00:00:01","2.88127693","5.42783914","26.12940979"
"2012-01-10 01:00:01","2.30372291","4.4687264",""
"2012-01-10 02:00:01","","","20.51280975"
"2012-01-10 03:00:01","9.48679717","11.40299974",""
"2012-01-10 04:00:01","4.20964849","5.66907618","10.25640965"
"2012-01-10 05:00:01","2.42961664","4.16393639",""
"2012-01-10 06:00:01","2.54707462","4.69699434","7.81440783"
"2012-01-10 07:00:01","6.91311706","15.51765434",""
"2012-01-10 08:00:01","20.81265536","39.05319272","9.27960968"
"2012-01-10 09:00:01","29.16188136","80.33331096",""
"2012-01-10 10:00:01","16.24286255","33.99562768","7.57020807"
"2012-01-10 11:00:01","17.84574186","35.63956528",""
"2012-01-10 12:00:01","18.86131787","32.2803916","12.45421028"
"2012-01-10 13:00:01","21.17801944","37.00524952",""
"2012-01-10 14:00:01","22.22669408","36.1985576","19.29179955"
"2012-01-10 15:00:01","14.7529117","24.05886808",""
"2012-01-10 16:00:01","15.08970094","28.0360384","22.46640968"
"2012-01-10 17:00:01","19.38435312","31.88741824",""
"2012-01-10 18:00:01","32.44289248","54.15256264","17.82661057"
"2012-01-10 19:00:01","28.08659168","50.05799552",""
"2012-01-10 20:00:01","24.25331848","45.5192708","20.75702095"
"2012-01-10 21:00:01","22.94962128","40.91305248",""
"2012-01-10 22:00:01","17.95929937","27.3505864","16.36141014"
"2012-01-10 23:00:01","9.89238208","12.99568618",""
"2012-01-11 00:00:01","7.83525554","10.4030333","13.91940975"
"2012-01-11 01:00:01","5.00135033","7.7007865",""
"2012-01-11 02:00:01","2.18302218","3.99338408","19.29179955"
"2012-01-11 03:00:01","2.20832941","4.66651515",""
"2012-01-11 04:00:01","2.12202173","4.20284559","19.78022003"
"2012-01-11 05:00:01","1.1531597","3.02389683",""
"2012-01-11 06:00:01","3.24857404","5.6035787","12.21000957"
"2012-01-11 07:00:01","8.02020139","14.22456874",""
"2012-01-11 08:00:01","22.87629608","40.6432884","6.83760691"
"2012-01-11 09:00:01","26.2059676","55.67975352",""
"2012-01-11 10:00:01","19.00927799","32.19542232","14.89620972"
"2012-01-11 11:00:01","19.79967776","33.75699096",""
"2012-01-11 12:00:01","12.32393749","21.77683872","8.30280876"
"2012-01-11 13:00:01","","22.66328016",""
"2012-01-11 14:00:01","17.96189204","30.42701352","5.61660624"
"2012-01-11 15:00:01","14.26296361","22.79886008",""
"2012-01-11 16:00:01","18.97618701","28.63459","23.44322014"
"2012-01-11 17:00:01","33.68756624","45.59902032",""
"2012-01-11 18:00:01","21.65238664","30.64685528","16.84980965"
"2012-01-11 19:00:01","30.00094344","48.65210192",""
"2012-01-11 20:00:01","26.40714824","45.88501728","20.51280975"
