"NetC","","","","","","",""
"Stat","GROTTAGLIE","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10
02/08/2012 8.00,"9,114807","21,825016","30,852432","0,211216","75,169493",
02/08/2012 9.00,"8,627288","6,503637","13,496318","0,140363","100,417768",
02/08/2012 10.00,"7,840034","3,040914","9,597612","0,176323","116,619791",
02/08/2012 11.00,"8,298663","3,205744","9,897213","0,159528","125,703349",
02/08/2012 12.00,"8,596592","2,850127","9,056773","0,11286","128,020684",
02/08/2012 13.00,"8,654372","1,619744","8,317498","0,096855","124,184473",
02/08/2012 14.00,"7,859895","1,219999","7,954346","0,072118","119,270748",
02/08/2012 15.00,"8,318526","0,892936","7,238415","0,081127","116,078971",
02/08/2012 16.00,"8,706735","1,846872","7,785739","0,158383","118,433612",
02/08/2012 17.00,"9,320648","2,208979","8,906325","0,184661","117,048732",
02/08/2012 18.00,"8,647149","1,270616","7,160596","0,133526","114,902682",
02/08/2012 19.00,"9,389262","2,369915","7,971206","0,143366","107,394651",
02/08/2012 20.00,"7,903231","7,38619","12,984013","0,140284","110,091194",
02/08/2012 21.00,"8,522562","5,761255","11,558638","0,163875","113,739528",
02/08/2012 22.00,"8,829518","7,029275","12,802436","0,133171","96,574647",
02/08/2012 23.00,"9,465099","6,620446","12,535259","0,187466","99,693905",
03/08/2012 0.00,"9,903867","7,299233","12,901005","0,281832","105,015148",
03/08/2012 1.00,,"10,69836","17,098016","0,210584","71,009326","17,6"
03/08/2012 2.00,"9,865948",,,"0,185767","96,131209",
03/08/2012 3.00,"9,273702","4,770978","10,968515",,"93,183252",
03/08/2012 4.00,"9,046193","11,18636","17,881389","0,202482",,
03/08/2012 5.00,"9,001052","15,439487","22,000581","0,210416","76,295074",
03/08/2012 6.00,"10,124153","49,500846","66,859037","0,296028","26,454595",
03/08/2012 7.00,"10,407637","50,418437","76,194661","0,307334","28,884878",
03/08/2012 8.00,"9,880393","24,906165","36,120741","0,287657","70,303134",
03/08/2012 9.00,"8,526173","12,048146","19,461104","0,331096","102,851701",
03/08/2012 10.00,"8,768126","13,605593","21,611488","0,428451","111,325641",
03/08/2012 11.00,"7,728085","4,255723","10,963327","0,210337","130,294968",
03/08/2012 12.00,"7,401267","2,471149","8,666385","0,218192","126,756747",
03/08/2012 13.00,"7,1232","2,253106","8,713075","0,257983","130,334952",
03/08/2012 14.00,"6,99139","2,263489","8,990627","0,246557","135,018328",
03/08/2012 15.00,"6,857773","2,009106","8,192989","0,231601","133,431226",
03/08/2012 16.00,"7,75517","2,013","8,283778","0,218271","128,148735",
03/08/2012 17.00,"7,720862","2,577574","8,56133","0,258458","132,177137",
03/08/2012 18.00,"8,473809","4,380319","10,100839","0,263577","125,340626",
03/08/2012 19.00,"7,988095","6,485467","12,313477","0,262743","119,204591",
03/08/2012 20.00,"8,029624","11,497849","17,938456","0,331216","98,885346",
03/08/2012 21.00,"8,085599","9,177254","15,104566","0,228626","98,12971",
03/08/2012 22.00,"8,417835","10,340146","16,428777","0,299955","93,394621",
03/08/2012 23.00,"7,968234","9,544551","15,443077","0,299995","95,782846",
04/08/2012 0.00,"8,695902","12,305124","18,190069","0,36577","77,523662",
04/08/2012 1.00,"8,667012","25,130698","31,528157","0,409964","41,452034","20,4"
04/08/2012 2.00,"8,809655","25,808186","32,722668","0,43817","42,676485",
04/08/2012 3.00,"8,609232","14,695805","20,822927","0,372712","69,167621",
04/08/2012 4.00,"8,943272","11,304466","17,360006","0,289998","71,714422",
04/08/2012 5.00,"8,058514","15,237018","21,717839","0,261633","73,821355",
04/08/2012 6.00,"7,98629","9,932615","16,29908","0,207759","78,719152",
04/08/2012 7.00,"9,093139","11,19155","17,919002","0,199388","61,479648",
04/08/2012 8.00,"9,324259","12,922913","20,471447","0,207322","84,055441",
04/08/2012 9.00,"8,99383","5,871573","12,441877","0,225413","106,771191",
04/08/2012 10.00,"9,205088","4,355659","11,00872","0,276192","128,695445",
04/08/2012 11.00,"7,4121","3,598999","9,723419","0,288807","137,30039",
04/08/2012 12.00,,"3,139553","9,567781","0,177173","124,674624",
04/08/2012 13.00,,"1,336809","7,566551","0,216725","131,322224",
04/08/2012 14.00,,"2,110341","7,915437","0,278968","133,984862",
04/08/2012 15.00,,"1,199234","6,955674","0,282539","134,963869",
04/08/2012 16.00,,"1,151212","6,892123","0,248105","127,666812",
04/08/2012 17.00,,"1,517212","7,368114","0,23656","123,011",
04/08/2012 18.00,,"1,325127","7,754611","0,244931","123,391577",
04/08/2012 19.00,,"4,757999","10,35764","0,225849","115,052765",
04/08/2012 20.00,,"10,985189","16,913846","0,212916","92,902363",
04/08/2012 21.00,,"9,175955","15,247234","0,162653","85,906583",
04/08/2012 22.00,,"6,555552","12,227876","0,146189","79,940844",
04/08/2012 23.00,,"4,671042","10,895884","0,103026","68,468529",
05/08/2012 0.00,,"20,445378","26,88369","0,198515","50,685735",
05/08/2012 1.00,,"7,060425","12,71943","0,117467","71,793014","19,5"
05/08/2012 2.00,,,,"0,123259","66,209222",
05/08/2012 3.00,,"8,103914","14,232998",,"53,202891",
05/08/2012 4.00,"0,005417","11,744445","17,669982","0,204445",,
05/08/2012 5.00,,"14,244146","20,688041","0,21652","60,747915",
05/08/2012 6.00,,"16,415486","23,41947","0,219925","56,534328",
05/08/2012 7.00,,"11,701615","19,243212","0,20983","63,704145",
05/08/2012 8.00,,"5,872872","12,880255","0,067304","71,237255",
05/08/2012 9.00,,"2,389382","9,356376","0,027317","76,728277",
05/08/2012 10.00,,"1,608063","8,517231","0,057287","90,919813",
05/08/2012 11.00,,"2,978617","9,75714","0,133459","107,660678",
05/08/2012 12.00,,"0,981191","7,305859","0,205911","112,157989",
05/08/2012 13.00,,"0,694361","6,841541","0,244669","115,620069",
05/08/2012 14.00,,"0,430893","6,522486","0,230931","116,273316",
05/08/2012 15.00,,"0,563277","6,316267","0,224162","117,189515",
05/08/2012 16.00,,"0,678787","6,462824","0,229228","119,372087",
05/08/2012 17.00,,"1,104489","7,108718","0,243402","117,929269",
05/08/2012 18.00,,"1,570425","7,17616","0,190945","111,507512",
05/08/2012 19.00,,"3,80017","10,029504","0,171467","107,322977",
05/08/2012 20.00,,"5,640552","11,79728","0,110656","95,096038",
05/08/2012 21.00,,"6,524403","12,375731","0,030445","78,037541",
05/08/2012 22.00,,"8,668488","14,782916","0,018924","66,78008",
05/08/2012 23.00,,"4,173957","10,235724","0,029297","72,031674",
06/08/2012 0.00,,"2,529552","8,169643","0,031949","75,664666",
06/08/2012 1.00,,"1,587297","7,189129","0,02799","75,986445","19,700001"
06/08/2012 2.00,,"9,371934","15,165524","0,064058","47,202016",
06/08/2012 3.00,,"11,105891","17,174538","0,083615","37,809502",
06/08/2012 4.00,,"16,501147","23,296258","0,2649","35,078869",
06/08/2012 5.00,,"37,119139","52,270669","0,19918","5,198074",
06/08/2012 6.00,,"23,3604","34,534543","0,125898","12,414712",
06/08/2012 7.00,,"16,303869","24,510225","0,104796","26,265554",
06/08/2012 8.00,,"16,216911","26,632076","0,083378","33,593144",
06/08/2012 9.00,,"11,042296","19,322328","0,121503","55,522627",
06/08/2012 10.00,,"11,247359","18,710155","0,201476","89,413327",
06/08/2012 11.00,,"3,981872","10,471773","0,300135","118,197068",
06/08/2012 12.00,,"5,255084","12,112445","0,354494","131,140931",
06/08/2012 13.00,,"5,588637","12,377028","0,260228","135,753105",
06/08/2012 14.00,,"3,476999","10,129372","0,196408","130,911875",
06/08/2012 15.00,,"2,707361","8,789598","0,140942","121,457771",
06/08/2012 16.00,,"2,186915","8,40699","0,158718","120,309054",
06/08/2012 17.00,,"3,826127","9,906292","0,283032","111,877724",
06/08/2012 18.00,,"8,094828","14,580589","0,464832","106,771457",
06/08/2012 19.00,,"10,290828","16,563663","0,293128","91,921141",
06/08/2012 20.00,,"19,247442","25,332508","0,238256","84,477988",
06/08/2012 21.00,,"23,401932","29,21565","0,227052","77,793265",
06/08/2012 22.00,,"21,665381","28,292204","0,261732","71,156981",
06/08/2012 23.00,,"26,515528","33,447676","0,333549","58,420028",
07/08/2012 0.00,,"25,583655","32,276508","0,651858","55,693547",
07/08/2012 1.00,,"49,729266","59,898177","0,728267","13,18191","32,900002"
07/08/2012 2.00,,,,"0,90298","32,638875",
07/08/2012 3.00,,"33,713528","40,494139",,"33,801435",
07/08/2012 4.00,,"12,939786","19,707529","0,331501",,
07/08/2012 5.00,,"20,694571","27,105471","0,254444","62,141616",
07/08/2012 6.00,,"13,212338","19,98119","0,220658","74,701831",
07/08/2012 7.00,,"8,305085","14,94893","0,204377","84,31563",
07/08/2012 8.00,,"41,108801","58,0448","0,237531","45,823669",
07/08/2012 9.00,,"17,379806","27,541255","0,239389","90,725758",
07/08/2012 10.00,,"2,610021","9,05418","0,24255","118,90702",
07/08/2012 11.00,,"2,391978","9,378425","0,264956","124,21181",
07/08/2012 12.00,,"3,429863","9,956419","0,250673","126,026917",
07/08/2012 13.00,,"1,42117","7,448525","0,27681","110,721001",
07/08/2012 14.00,"2,98109","1,478276","7,493919","0,257922","110,245995",
07/08/2012 15.00,"2,464681","1,491255","7,324015","0,27772","112,09678",
07/08/2012 16.00,"2,358149","1,600277","7,467979","0,281553","108,384123",
07/08/2012 17.00,"1,588953","1,480872","8,133328","0,280287","106,359983",
07/08/2012 18.00,"0,368348","3,229106","9,659867","0,254642","102,07315",
07/08/2012 19.00,"0,648221","4,477659","10,789533","0,236662","97,284979",
07/08/2012 20.00,"0,953371","10,45436","17,27181","0,250493","80,23684",
07/08/2012 21.00,"1,10685","5,887149","12,236957","0,242511","87,185764",
07/08/2012 22.00,"1,253106","6,751531","13,125382","0,244881","80,288842",
07/08/2012 23.00,"1,30908","7,065615","13,19931","0,265153","83,512642",
08/08/2012 0.00,"1,319913","3,784595","10,553483","0,307278","89,745929",
08/08/2012 1.00,"1,45353","15,21755","21,975937","0,311743","57,700153","38,599998"
08/08/2012 2.00,"1,314497","13,003381","19,857978","0,273056","63,431406",
08/08/2012 3.00,"1,843545","5,017573","11,784311","0,217497","79,985121",
08/08/2012 4.00,"0,991289","13,36938","19,69845","0,20422","64,710103",
08/08/2012 5.00,"1,58173","39,89529","47,178747","0,287005","32,214284",
08/08/2012 6.00,"2,444819","42,260013","52,601398","0,302022","23,291837",
08/08/2012 7.00,"2,27148","39,971866","53,959332","0,323637","28,381661",
08/08/2012 8.00,"2,354538","32,11325","47,609345","0,287756","51,810799",
08/08/2012 9.00,"2,006052","9,37453","16,657042","0,229154","90,946274",
08/08/2012 10.00,"1,82549","8,10002","14,97487","0,300955","114,525195",
08/08/2012 11.00,"1,975357","2,770957","9,338217","0,257487","128,703893",
08/08/2012 12.00,"1,390333","2,220659","8,810349","0,257645","126,698474",
08/08/2012 13.00,"1,200742","2,190808","8,733829","0,290878","126,493909",
08/08/2012 14.00,"2,2462","2,911128","8,923185","0,276218","127,621439",
08/08/2012 15.00,"1,910354","2,45817","8,545766","0,273887","121,12463",
08/08/2012 16.00,"1,778543","2,617808","8,438116","0,285385","120,092792",
08/08/2012 17.00,"1,495059","2,541234","9,034726","0,270843","118,244785",
08/08/2012 18.00,"0,899203","2,277766","9,120325","0,256499","113,362992",
08/08/2012 19.00,"1,10685","2,088277","8,47962","0,26792","109,029714",
08/08/2012 20.00,"0,960594","3,18368","9,486073","0,308186","110,400637",
08/08/2012 21.00,"1,056292","3,164212","9,084009","0,315615","117,685183",
08/08/2012 22.00,"0,984066","2,376404","8,980253","0,297122","120,025532",
08/08/2012 23.00,"0,886563","2,17783","8,694918","0,284635","122,942827",
09/08/2012 0.00,"1,359637","1,948106","8,517231","0,273017","122,506649",
09/08/2012 1.00,,"3,726191","10,471773","0,274835","111,908858","32,900002"
09/08/2012 2.00,"2,081888",,,"0,28586","100,847157",
09/08/2012 3.00,"1,518533","4,315424","10,719496",,"102,00312",
09/08/2012 4.00,"1,451725","4,002637","10,16439","0,142472",,
09/08/2012 5.00,"1,058098","7,61202","14,192793","0,1466","99,134272",
09/08/2012 6.00,"1,186297","3,65351","9,914073","0,150179","107,069561",
09/08/2012 7.00,"1,307274","15,501784","22,699649","0,174363","84,40104",
09/08/2012 8.00,"1,867019","4,890381","11,738917","0,133584","104,867964",
09/08/2012 9.00,"1,529367","3,82483","10,414706","0,103776","112,727394",
09/08/2012 10.00,"1,276578","3,30568","9,345999","0,088008","114,309617",
09/08/2012 11.00,"1,350609","3,512042","9,820691","0,087772","121,742101",
09/08/2012 12.00,"0,67711","3,905298","9,920559","0,079592","126,59846",
09/08/2012 13.00,"0,839617","3,090234","9,623551","0,109046","125,45351",
09/08/2012 14.00,"0,460435","2,111638","8,995816","0,119034","125,547314",
09/08/2012 15.00,"1,773126","2,642468","9,006191","0,135865","124,389267",
09/08/2012 16.00,"1,074349","2,194702","8,365488","0,187065","129,911209",
09/08/2012 17.00,"1,2513","2,351745","9,164422","0,202638","132,688048",
09/08/2012 18.00,"2,152307","2,363425","9,050289","0,20134","132,058325",
09/08/2012 19.00,"2,305786","3,550978","9,584641","0,208143","129,45806",
09/08/2012 20.00,"1,720763","3,528914","9,164422","0,167166","122,905665",
09/08/2012 21.00,"1,457141","3,395234","9,665055","0,154111","111,163777",
09/08/2012 22.00,"0,944343","2,830659","8,462758","0,162251","112,628071",
09/08/2012 23.00,"1,067126","3,065574","8,863525","0,158673","115,906331",
10/08/2012 0.00,"1,417417","3,155127","9,138482","0,087797","112,093522",
10/08/2012 1.00,"1,379499","4,32451","10,113809","0,016306","102,201483",21
10/08/2012 2.00,"1,565479","3,181084","9,128108","0,025534","94,64002",
10/08/2012 3.00,"1,063515","3,401723","9,304495","0,08979","89,881606",
10/08/2012 4.00,"1,117683","11,623742","18,040916","0,131696","75,289759",
10/08/2012 5.00,"0,467657","17,996294","24,733306","0,191587","67,402064",
10/08/2012 6.00,"0,814338","13,590019","20,572611","0,214867","68,15525",
10/08/2012 7.00,"1,291024","15,840529","24,067959","0,229102","62,972644",
10/08/2012 8.00,"1,514921","3,523723","9,863493","0,132207","103,824406",
10/08/2012 9.00,"3,076789","2,542532","9,465321","0,102636","106,918512",
10/08/2012 10.00,"3,549864","2,78134","9,737686","0,10936","114,208225",
10/08/2012 11.00,"3,333188","2,816383","8,724748","0,132247","117,994132",
10/08/2012 12.00,"3,459582","2,129808","8,187801","0,131146","119,436348",
10/08/2012 13.00,"3,23749","1,835191","8,148892","0,168622","123,823691",
10/08/2012 14.00,"4,122247","1,737851","8,665088","0,162291","127,613045",
10/08/2012 15.00,"3,387356","1,519808","7,832429","0,154348","129,78223",
10/08/2012 16.00,"4,192667","1,696319","7,49781","0,170234","125,100368",
10/08/2012 17.00,"4,781301","1,470489","8,08923","0,192413","129,656005",
10/08/2012 18.00,"4,124053","1,98834","8,204661","0,146718","119,827428",
10/08/2012 19.00,"3,723203","1,531489","7,87523","0,142943","116,324998",
10/08/2012 20.00,"2,990119","2,482829","8,265619","0,135118","115,046243",
10/08/2012 21.00,"3,132764","2,205085","8,541875","0,059537","112,833603",
10/08/2012 22.00,"3,029843","1,512021","7,781847","0,034946","108,779395",
10/08/2012 23.00,"3,403608","0,99417","7,491325","0,055722","107,389598",
11/08/2012 0.00,"3,141791","0,992872","6,911578","0,099648","107,930342",
11/08/2012 1.00,,"1,62883","8,445899","0,083026","97,364431","24,299999"
11/08/2012 2.00,"3,284436",,,"0,112546","94,338605",
11/08/2012 3.00,"2,329259","2,55551","8,53539",,"84,74107",
11/08/2012 4.00,"2,71747","3,745659","10,264258","0,133785",,
11/08/2012 5.00,"2,3744","4,765787","11,024284","0,136619","82,813307",
11/08/2012 6.00,"2,01508","6,276509","12,570277","0,122878","81,652862",
11/08/2012 7.00,"3,67084","2,378999","8,692325","0,100003","92,150691",
11/08/2012 8.00,"3,925434","2,825468","9,71045","0,097169","96,909722",
11/08/2012 9.00,"3,52639","2,965637","9,624849","0,100476","102,924341",
11/08/2012 10.00,"3,2086","2,587957","9,103466","0,149651","116,029931",
11/08/2012 11.00,"3,008175","2,259595","9,052884","0,167565","121,552238",
11/08/2012 12.00,"3,845987","2,475043","8,749391","0,176659","126,298156",
11/08/2012 13.00,"4,434621","1,769","8,292856","0,218157","129,228594",
11/08/2012 14.00,"4,226973","1,410787","8,13203","0,198393","129,352018",
11/08/2012 15.00,"3,723203","0,863085","7,77666","0,185361","129,672641",
11/08/2012 16.00,"4,57546","2,289446","8,687135","0,168747","128,495644",
11/08/2012 17.00,"4,472539","1,072043","7,806489","0,164534","130,859288",
11/08/2012 18.00,"4,570043","2,109042","8,724748","0,166659","127,380702",
11/08/2012 19.00,"3,780984","2,735915","8,833694","0,246348","134,383384",
11/08/2012 20.00,"4,140303","2,863106","9,340812","0,215519","129,668501",
11/08/2012 21.00,"4,167388","3,017552","9,107356","0,167447","122,087297",
11/08/2012 22.00,"4,207111","3,174596","9,47829","0,086523","118,177076",
11/08/2012 23.00,"3,618478","2,868297","8,871307","0,090161","115,541751",
12/08/2012 0.00,"3,42347","4,371233","10,849192","0,08447","101,830084",
12/08/2012 1.00,"3,56792","2,672318","9,29023","0,086134","100,328331","19,799999"
12/08/2012 2.00,"3,728621","2,558106","8,776626","0,10646","96,823535",
12/08/2012 3.00,"3,782789","2,935786","9,81291","0,117917","89,536067",
12/08/2012 4.00,"3,858626","6,234978","12,194156","0,147565","83,077393",
12/08/2012 5.00,"4,11683","8,00268","14,51185","0,125044","85,279698",
12/08/2012 6.00,"4,210723","2,696979","9,144968","0,111815","91,509446",
12/08/2012 7.00,"4,624211","1,528894","8,15408","0,139414","96,439465",
12/08/2012 8.00,"4,125858","1,635319","7,975097","0,104374","101,842496",
12/08/2012 9.00,"3,748483","1,525","8,024383","0,102721","107,12348",
12/08/2012 10.00,"3,311521","1,588595","8,272105","0,179849","113,036061",
12/08/2012 11.00,"4,189055","0,883851","7,561362","0,210361","116,274009",
12/08/2012 12.00,"4,384063","1,399106","7,824648","0,236938","118,245333",
12/08/2012 13.00,"4,152943","0,934468","7,753314","0,233709","119,338206",
12/08/2012 14.00,"3,457776","0,430893","6,937518","0,221189","118,266018",
12/08/2012 15.00,"3,66723","0,417915","6,727406","0,2293","119,936027",
12/08/2012 16.00,"3,896544","0,608702","6,872668","0,205007","120,666214",
12/08/2012 17.00,"4,947419","0,523042","6,940111","0,182172","119,836735",
12/08/2012 18.00,"3,818902","1,212213","7,231932","0,167565","118,701793",
12/08/2012 19.00,"3,833346","2,088277","8,525015","0,190401","112,864372",
12/08/2012 20.00,"2,118001","2,27517","9,089199","0,198156","107,97296",
12/08/2012 21.00,"2,298563","5,090254","12,020361","0,185598","99,423685",
12/08/2012 22.00,"4,022938","3,369275","10,233131","0,184573","107,536493",
12/08/2012 23.00,"4,178221","4,947488","11,217533","0,198786","105,763067",
13/08/2012 0.00,"4,091552","4,17785","10,762296","0,154454","107,841948",
13/08/2012 1.00,,"3,03702","9,763626","0,128351","102,644403","12,7"
13/08/2012 2.00,"4,212529",,,"0,137131","97,522695",
13/08/2012 3.00,"3,421664","2,87868","9,33303",,"97,137948",
13/08/2012 4.00,"3,504723","3,195361","9,925746","0,164059",,
13/08/2012 5.00,"3,132764","4,307638","11,128042","0,158713","97,86968",
13/08/2012 6.00,"3,244713","10,704849","17,396321","0,176126","78,624632",
13/08/2012 7.00,"3,602226","11,205829","18,173208","0,189136","85,67634",
13/08/2012 8.00,"2,90706","5,435488","12,410749","0,142952","100,941822",
13/08/2012 9.00,"3,548058","5,889743","12,881553","0,124047","101,720213",
13/08/2012 10.00,"3,548058","6,994233","13,884114","0,132182","95,370291",
13/08/2012 11.00,"2,94859","4,786552","11,650722","0,152464","100,115828",
13/08/2012 12.00,"3,558892","3,160318","10,06193","0,183083","117,351425",
13/08/2012 13.00,"3,753899","2,767064","9,460134","0,217592","122,386794",
13/08/2012 14.00,"2,90706","2,277766","9,265586","0,219793","122,961609",
13/08/2012 15.00,"3,530002","2,693084","9,497745","0,212208","130,12649",
13/08/2012 16.00,"4,019326","3,186276","9,496449","0,205132","132,638307",
13/08/2012 17.00,"4,118636","3,204446","10,003564","0,173178","127,018466",
13/08/2012 18.00,"4,595321","3,471808","10,414706","0,136506","123,579217",
13/08/2012 19.00,"7,1232","5,482212","11,305728","0,106988","108,054953",
13/08/2012 20.00,"11,02516","8,284318","14,667485","0,11705","96,921541",
13/08/2012 21.00,"11,54157","7,435509","14,143509","0,119959","91,591531",
13/08/2012 22.00,"11,314062","7,84953","14,369183","0,14759","87,093724",
13/08/2012 23.00,"10,747094","8,286912","14,408092","0,230681","85,974444",
14/08/2012 0.00,"11,263503","7,040956","13,769979","0,240743","91,519765",
14/08/2012 1.00,"10,961964","5,239509","12,047598","0,214487","95,571097",16
14/08/2012 2.00,"10,985437","4,429638","10,544404","0,171959","96,856678",
14/08/2012 3.00,"12,054368","4,049362","10,836223","0,128802","94,256536",
14/08/2012 4.00,"10,492501","4,885191","11,269412","0,092603","87,819665",
14/08/2012 5.00,"9,176198","5,784616","12,776498","0,068351","80,996358",
14/08/2012 6.00,"7,711834","6,061063","13,073504","0,074482","78,16436",
14/08/2012 7.00,"2,881781","5,767743","12,360167","0,062802","74,671976",
14/08/2012 8.00,"1,269356","4,999403","11,86213","0,037599","79,278807",
14/08/2012 9.00,"1,442696","4,284276","11,277194","0,081832","89,567589",
14/08/2012 10.00,"1,365054","1,822213","8,802567","0,112255","98,806792",
14/08/2012 11.00,"1,892297","2,835851","9,81291","0,158557","102,246726",
14/08/2012 12.00,"2,338287","2,284255","9,279853","0,134856","97,788257",
14/08/2012 13.00,,,,,"94,085478",
14/08/2012 14.00,,"5,573063","11,917901","0,10746","93,420184",
14/08/2012 15.00,,"3,265446","9,469212","0,0645","75,878189",
14/08/2012 16.00,,"6,268722","13,48724","0,096698","64,481177",
14/08/2012 17.00,,"7,262892","14,232998","0,110722","75,419302",
14/08/2012 18.00,,"13,623764","20,726951","0,174946","66,349169",
14/08/2012 19.00,,"18,852889","25,834436","0,186148","52,852999",
14/08/2012 20.00,,"18,41421","24,715147","0,190001","43,561352",
14/08/2012 21.00,,"16,132551","23,191203","0,148691","25,546674",
14/08/2012 22.00,,"23,412313","30,458151","0,202106","18,065055",
14/08/2012 23.00,,"14,838571","21,599814","0,153957","26,481014",
15/08/2012 0.00,,"10,934572","17,309424","0,132969","36,217054",
15/08/2012 1.00,,"8,690551","15,350992","0,068555","35,477311","30,799999"
15/08/2012 2.00,,,,"0,0588","49,241228",
15/08/2012 3.00,,"2,857915","8,707888",,"49,508282",
15/08/2012 4.00,,"1,425064","7,027009","0,126115",,
15/08/2012 5.00,,"2,257","8,11517","0,066531","60,333499",
15/08/2012 6.00,,"2,865701","8,774034","0,096739","51,34383",
15/08/2012 7.00,,"7,470552","14,994324","0,102536","29,586002",
15/08/2012 8.00,,"2,417936","9,246132","0,05797","56,757695",
15/08/2012 9.00,,"2,037659","9,020458","0,051843","67,118466",
15/08/2012 10.00,,"1,693723","8,585972","0,051544","76,971472",
15/08/2012 11.00,,"1,133042","8,010116","0,056987","85,708638",
15/08/2012 12.00,,"1,034404","7,905061","0,083997","100,172358",
15/08/2012 13.00,,"1,689829","8,234493","0,081575","108,789151",
15/08/2012 14.00,,"2,656744","9,226677","0,071294","111,283016",
15/08/2012 15.00,,"2,259595","9,252617","0,075145","107,038953",
15/08/2012 16.00,,"1,961085","8,764953","0,083799","112,886564",
15/08/2012 17.00,,"2,190808","8,79219","0,067364","111,021525",
15/08/2012 18.00,,"2,804702","9,117732","0,05847","106,889524",
15/08/2012 19.00,,"6,580212","12,850423","0,068317","92,052259",
15/08/2012 20.00,,"6,279105","12,6468","0,106465","88,621725",
15/08/2012 21.00,,"5,918297","12,544339","0,128457","92,656176",
15/08/2012 22.00,,"3,595106","9,680618","0,159896","105,416036",
15/08/2012 23.00,,"3,465319","9,644304","0,224601","106,074611",
16/08/2012 0.00,,"5,650935","11,952917","0,172202","81,084097",
16/08/2012 1.00,,"7,382296","13,46519","0,193162","84,305714","23,5"
16/08/2012 2.00,,"7,98451","14,729739","0,165136","66,520766",
16/08/2012 3.00,,"8,267446","14,830906","0,110713","67,456052",
16/08/2012 4.00,,"10,896934","17,959207","0,086585","57,392745",
16/08/2012 5.00,,"41,770715","50,648156","0,101551","19,719158",
16/08/2012 6.00,,"34,649292","42,97655","0,106902","28,533114",
16/08/2012 7.00,,"19,080019","27,272782","0,126948","59,499903",
16/08/2012 8.00,,"20,188401","29,434839","0,27172","63,619449",
16/08/2012 9.00,,"8,584126","16,060436","0,135562","100,581892",
16/08/2012 10.00,,"4,759297","11,75448","0,125003","120,496816",
16/08/2012 11.00,,"6,865743","13,849095","0,124209","126,098157",
16/08/2012 12.00,,"5,365403","12,295318","0,118017","139,354705",
16/08/2012 13.00,,"3,972787","10,116403","0,133657","144,932537",
16/08/2012 14.00,,"4,347871","11,037255","0,161643","153,333495",
16/08/2012 15.00,,"3,977978","10,908855","0,130283","155,096151",
16/08/2012 16.00,,"4,604851","11,531401","0,125281","148,259983",
16/08/2012 17.00,,"6,419276","13,405531","0,175933","147,647763",
16/08/2012 18.00,,"4,786552","11,545667","0,121509","135,726332",
16/08/2012 19.00,,"6,647701","12,641612","0,099037","125,174629",
16/08/2012 20.00,,"17,137103","23,805969","0,135562","92,770324",
16/08/2012 21.00,,"17,250018","23,546574","0,135166","82,576961",
16/08/2012 22.00,,"13,628955","20,330077","0,128218","75,049714",
16/08/2012 23.00,,"10,803486","17,571412","0,097017","73,2331",
17/08/2012 0.00,,"9,52119","16,326317","0,159181","74,775073",
17/08/2012 1.00,,"12,350551","18,890436","0,216225","56,250619","39,400002"
17/08/2012 2.00,,,,"0,197171","45,698916",
17/08/2012 3.00,,"8,453041","15,367852",,"63,547505",
17/08/2012 4.00,,"10,560786","17,065592","0,201748",,
17/08/2012 5.00,,"23,655017","31,14814","0,200007","46,838364",
17/08/2012 6.00,,"3,123979","9,809019","0,176253","79,796225",
17/08/2012 7.00,,"2,969531","9,949091","0,132031","79,356745",
17/08/2012 8.00,,"2,472447","9,220193","0,116552","91,452969",
17/08/2012 9.00,,"1,443234","8,198175","0,21216","110,381299",
17/08/2012 10.00,,"1,92734","8,810349","0,233301","115,52271",
17/08/2012 11.00,,"2,160957","9,052884","0,192049","120,771564",
17/08/2012 12.00,,"1,667766","8,489995","0,184804","121,778775",
17/08/2012 13.00,,"1,441936","8,137217","0,166474","121,549324",
17/08/2012 14.00,,"1,070745","7,57952","0,168889","122,598825",
17/08/2012 15.00,,"1,00585","7,582114","0,166592","125,033321",
17/08/2012 16.00,,"1,204425","7,801302","0,163583","126,830772",
17/08/2012 17.00,,"1,144724","7,552283","0,170829","130,233659",
17/08/2012 18.00,,"1,666468","7,975097","0,196364","124,144641",
17/08/2012 19.00,,"2,955255","8,981549","0,193791","123,38421",
17/08/2012 20.00,,"3,67817","9,567781","0,170116","116,342068",
17/08/2012 21.00,,"2,040255","8,929671","0,184923","120,674517",
17/08/2012 22.00,,"2,009106","7,880419","0,139395","112,679236",
17/08/2012 23.00,,"1,832595","8,508153","0,134406","116,683802",
18/08/2012 0.00,,"1,573021","7,528937","0,154874","123,291318",
18/08/2012 1.00,,"0,968213","7,231932","0,207092","127,709741","28,799999"
18/08/2012 2.00,,"0,416617","7,30067","0,236824","131,805129",
18/08/2012 3.00,,"0,851404","7,106124","0,231915","129,47045",
18/08/2012 4.00,,"0,963021","6,98291","0,243238","131,615891",
18/08/2012 5.00,,"1,412085","7,650854","0,235717","126,870277",
18/08/2012 6.00,,"1,476979","7,532829","0,188723","120,971898",
18/08/2012 7.00,,"1,992234","8,404397","0,168335","114,234755",
18/08/2012 8.00,,"1,766404","8,744203","0,128389","113,161699",
18/08/2012 9.00,,"1,854659","8,816834","0,146046","119,001152",
