"NetC","","","","","","",""
"Stat","GROTTAGLIE","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10
06/01/2012 3.00,,"7,732722","15,66486",,"60,856777","4,7"
06/01/2012 4.00,,"5,53802","13,471676","0,115205",,"4,7"
06/01/2012 5.00,,"4,87351","12,807623","0,087067","57,051833","4,7"
06/01/2012 6.00,,"3,626255","11,561231","0,094005","53,135988","4,7"
06/01/2012 7.00,,"3,683361","11,936058","0,099362","55,523422","4,7"
06/01/2012 8.00,,"3,243383","12,201936","0,149622","63,466417","4,7"
06/01/2012 9.00,,"3,461425","12,244736","0,200768","61,953809","4,7"
06/01/2012 10.00,,"6,938424","22,825455","0,165001","42,628882","4,7"
06/01/2012 11.00,,"7,635383","27,914779","0,161532","33,001609","4,7"
06/01/2012 12.00,,"8,887829","33,563095","0,162727","27,353385","4,7"
06/01/2012 13.00,,"6,953999","25,665826","0,172285","39,302715","4,7"
06/01/2012 14.00,,"4,31283","16,125286","0,188974","53,766606","4,7"
06/01/2012 15.00,,"2,465958","11,112479","0,232181","57,562494","4,7"
06/01/2012 16.00,,"3,330339","13,720693","0,260932","54,381425","4,7"
06/01/2012 17.00,,"3,247276","13,66622","0,256809","55,330208","4,7"
06/01/2012 18.00,,"2,462063","11,081351","0,260317","62,543468","4,7"
06/01/2012 19.00,,"3,235595","13,830938","0,266792","56,206452","4,7"
06/01/2012 20.00,,"3,277128","14,507957","0,241931","54,406562","4,7"
06/01/2012 21.00,,"3,087637","13,925615","0,248368","51,703836","4,7"
06/01/2012 22.00,,"3,656105","15,292629","0,26845","50,440443","4,7"
06/01/2012 23.00,,"4,179148","17,798383","0,248368","47,258636","4,7"
07/01/2012 0.00,,"3,438063","16,015042","0,248484","50,553917","4,7"
07/01/2012 1.00,,"2,834553","14,515739","0,256577","52,110338","9,6"
07/01/2012 2.00,,"3,164213","15,3899","0,25045","48,61827","9,6"
07/01/2012 3.00,,"3,107105","16,121395","0,251914","45,3984","9,6"
07/01/2012 4.00,,"2,861809","15,887938","0,252261","44,380672","9,6"
07/01/2012 5.00,,"2,26219","14,271907","0,263516","47,818155","9,6"
07/01/2012 6.00,,"3,297894","16,922925","0,251799","42,57717","9,6"
07/01/2012 7.00,,"3,801467","18,540252","0,271302","40,495706","9,6"
07/01/2012 8.00,,"4,719062","23,175638","0,247135","33,906602","9,6"
07/01/2012 9.00,,"4,068829","20,436412","0,252993","39,884479","9,6"
07/01/2012 10.00,,"5,27585","23,460966","0,24648","37,128607","9,6"
07/01/2012 11.00,,"5,427701","25,214481","0,245285","36,571242","9,6"
07/01/2012 12.00,,"6,478978","27,210512","0,225897","36,360809","9,6"
07/01/2012 13.00,,"6,472489","29,206564","0,20285","36,008873","9,6"
07/01/2012 14.00,,"4,966957","23,35332","0,210057","44,145079","9,6"
07/01/2012 15.00,,"3,457531","17,562333","0,232642","54,34047","9,6"
07/01/2012 16.00,,"2,068809","12,510617","0,259816","61,124246","9,6"
07/01/2012 17.00,,"1,748233","10,163092","0,279588","64,844007","9,6"
07/01/2012 18.00,,"1,726171","9,901104","0,286564","64,476984","9,6"
07/01/2012 19.00,,"2,154468","10,108619","0,266945","62,050764","9,6"
07/01/2012 20.00,,"2,414041","10,454911","0,272688","60,956887","9,6"
07/01/2012 21.00,,"2,384191","10,344669","0,270068","58,69228","9,6"
07/01/2012 22.00,,"3,606787","11,646833","0,314315","55,499005","9,6"
07/01/2012 23.00,,"6,674956","14,638952","0,31416","46,772398","9,6"
08/01/2012 0.00,,"8,621764","16,794525","0,32819","40,165315","9,6"
08/01/2012 1.00,,"10,473821","18,978629","0,301017","35,079482","11,8"
08/01/2012 2.00,,,,"0,266869","43,572634","11,8"
08/01/2012 3.00,,"7,353745","15,291331",,"48,734616","11,8"
08/01/2012 4.00,,"5,471828","13,444438","0,161622",,"11,8"
08/01/2012 5.00,,"5,691169","13,624718","0,157349","40,247251","11,8"
08/01/2012 6.00,,"10,918992","19,577829","0,150347","31,79619","11,8"
08/01/2012 7.00,,"13,715911","22,729473","0,16455","30,561246","11,8"
08/01/2012 8.00,,"4,98902","13,129273","0,153591","46,731138","11,8"
08/01/2012 9.00,,"8,407616","17,571412","0,202216","44,327205","11,8"
08/01/2012 10.00,,"5,279743","14,085143","0,254284","51,050635","11,8"
08/01/2012 11.00,,"4,099978","12,680521","0,216183","59,66161","11,8"
08/01/2012 12.00,,"2,774851","11,089133","0,153314","65,616249","11,8"
08/01/2012 13.00,,"3,819639","12,688303","0,126212","64,251467","11,8"
08/01/2012 14.00,,"3,789786","12,28624","0,087675","62,221178","11,8"
08/01/2012 15.00,,"3,262851","11,205861","0,124155","65,654255","11,8"
08/01/2012 16.00,,"3,36668","11,309619","0,141524","66,223667","11,8"
08/01/2012 17.00,,"3,875446","11,81025","0,159249","65,351593","11,8"
08/01/2012 18.00,,"4,491936","12,43669","0,158181","63,147039","11,8"
08/01/2012 19.00,,"4,332297","12,266785","0,157626","59,928405","11,8"
08/01/2012 20.00,,"4,677532","12,611781","0,134798","60,226738","11,8"
08/01/2012 21.00,,"5,972807","13,906163","0,172266","52,717318","11,8"
08/01/2012 22.00,,"5,953341","13,886706","0,132146","48,77865","11,8"
08/01/2012 23.00,,"5,907913","13,841314","0,144847","47,06963","11,8"
09/01/2012 0.00,,"7,005914","14,938553","0,147182","42,840529","11,8"
09/01/2012 1.00,,"11,12795","19,057744","0,167558","34,67346","16,1"
09/01/2012 2.00,,"3,435468","11,370575","0,137804","50,121183","16,1"
09/01/2012 3.00,,"1,440638","9,377127","0,138319","56,727706","16,1"
09/01/2012 4.00,,"1,919552","9,85571","0,144292","50,241662","16,1"
09/01/2012 5.00,,"2,044148","9,980219","0,152482","45,240155","16,1"
09/01/2012 6.00,,"3,923468","12,434095","0,135035","43,544065","16,1"
09/01/2012 7.00,,"5,61719","13,916537","0,149277","43,63873","16,1"
09/01/2012 8.00,,"8,342721","16,894392","0,182671","36,8436","16,1"
09/01/2012 9.00,,"6,847574","15,872375","0,169535","42,854875","16,1"
09/01/2012 10.00,,"4,132425","12,636423","0,174719","48,856092","16,1"
09/01/2012 11.00,,"7,562702","17,881389","0,266745","49,967709","16,1"
09/01/2012 12.00,,"3,957213","12,912678","0,14635","57,204611","16,1"
09/01/2012 13.00,,"1,458808","9,825881","0,16455","62,8989","16,1"
09/01/2012 14.00,,"1,614552","9,779189","0,178517","64,196247","16,1"
