,Provincia di TARANTO,,,
,MARTINA FRANCA,,,
Parm,NOX,NO2,CO,O3
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K
,,,,,,
,,,,,,
,,,,,
,,,,,,
06/01/2009 22.00,"116,346404","44,114656","1,574239","3,798292"
06/01/2009 23.00,"95,649251","39,195711","1,476574","4,14901"
07/01/2009 0.00,"64,446638","35,097034","1,305282","3,153734"
07/01/2009 1.00,"76,116815","36,792061","1,12806","1,834827"
07/01/2009 2.00,"32,932766","24,132614","0,804545","6,230285"
07/01/2009 3.00,"17,148598","15,127998","0,598561","11,600702"
07/01/2009 4.00,"13,478159","11,076034","0,401391","19,246034"
07/01/2009 5.00,"38,014306","20,459643","0,348433","26,982097"
07/01/2009 6.00,"50,997036","22,961935","0,35989","25,575161"
07/01/2009 7.00,"121,897436","50,915507","0,529339","16,134284"
07/01/2009 8.00,"80,518775","40,763554","0,647193","20,876378"
07/01/2009 9.00,"75,740723","38,907591","0,712329","23,626586"
07/01/2009 10.00,"59,676386","32,184619","0,614185","32,756043"
07/01/2009 11.00,"32,585163","20,410332","0,477503","44,003318"
07/01/2009 12.00,"42,076445","23,102103","0,49537","44,442057"
07/01/2009 13.00,"47,632681","26,671252","0,452187","45,292445"
07/01/2009 14.00,"46,021838","26,115778","0,402433","46,314782"
07/01/2009 15.00,"47,923207","27,88866","0,457314","44,228111"
07/01/2009 16.00,"61,37281","36,137929","0,629406","32,665313"
07/01/2009 17.00,"92,316045","53,81236","0,959253","18,952194"
07/01/2009 18.00,"100,320976","54,733846","1,17461","15,329939"
07/01/2009 19.00,"108,541196","57,373725","1,306243","12,841073"
07/01/2009 20.00,"91,709041","51,094622","1,057797","12,241195"
07/01/2009 21.00,"40,182858","27,880879","0,614826","30,355202"
07/01/2009 22.00,"31,848489","23,686161","0,525253","32,284805"
07/01/2009 23.00,"20,466258","16,280509","0,381121","41,950479"
08/01/2009 0.00,"10,362827","9,004636","0,276407","51,865312"
08/01/2009 1.00,"6,733892","5,998766","0,223129","58,579027"
08/01/2009 2.00,,,"0,285776","62,931138"
08/01/2009 3.00,"10,248695","10,946253",,"62,642722"
08/01/2009 4.00,"6,422618","6,356977","0,210151",
08/01/2009 5.00,"9,737686","7,701572","0,237283","60,120003"
08/01/2009 6.00,"29,705902","22,577775","0,452511","44,060194"
08/01/2009 7.00,"70,845927","41,225606","0,910497","18,021918"
08/01/2009 8.00,"212,153601","63,790417","2,137053","2,518654"
08/01/2009 9.00,"205,095647","61,477584","2,113809","2,173355"
08/01/2009 10.00,"131,168226","55,265977","1,565147","6,086749"
