Stat,Torchiarolo_Via Fanin,,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,PM10,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,
,,,,,,
,,,,,,,
14/01/2014 4.00,"2,3","11,4","63,6","53,5","15,9",,,
14/01/2014 5.00,"2,6","11,4","61,1",,"18,8",,,
14/01/2014 6.00,"2,7","18,1","62,3","39,1","12,8",,,
14/01/2014 7.00,"2,5","20,4","106,5",,"22,4",,,
14/01/2014 8.00,"1,8","26,0","43,5","31,3","19,4",,,
14/01/2014 9.00,"2,0","38,2","55,1",,"12,2",,,
14/01/2014 10.00,"2,1","45,8","78,6","39,1","16,4",,,
14/01/2014 11.00,"1,5","26,9","40,5",,"34,3",,,
14/01/2014 12.00,"2,5","18,2","25,9","34,9","15,9",,,
14/01/2014 13.00,"2,7","15,8","21,6",,"17,1",,,
14/01/2014 14.00,"2,8","13,2","17,6","19,5","19,2",,,
14/01/2014 15.00,"2,6","11,5","14,7",,"14,2",,,
14/01/2014 16.00,"2,6","11,5","15,0","19,0","11,1",,,
14/01/2014 17.00,"2,8","12,3","15,3",,"13,4",,,
14/01/2014 18.00,"3,3","29,1","36,5","12,9","25,6",,,
14/01/2014 19.00,"3,7","56,0","87,4",,"61,6",,,
14/01/2014 20.00,"4,0","51,7","71,2","30,0","105,7",,,
14/01/2014 21.00,"3,8","38,1","49,7",,"75,1",,,
14/01/2014 22.00,"3,3","32,3","40,8","66,7","59,8",,,
14/01/2014 23.00,"3,2","23,8","31,5",,"55,5",,,
15/01/2014 0.00,"3,1","15,0","19,2","70,3","35,5",,,
15/01/2014 1.00,"2,9","11,2","13,9",,"20,7",,,
15/01/2014 2.00,"2,9","8,2","10,6","55,9","20,3",,,
15/01/2014 3.00,"2,6","5,3","7,6",,"13,4",,,
15/01/2014 4.00,"2,6","4,4","6,3","39,6","9,0",,,
15/01/2014 5.00,"2,3","4,0","5,4",,"5,6",,,
15/01/2014 6.00,"2,6","6,6","9,1","20,5","10,8",,,
15/01/2014 7.00,"2,9","6,1","8,0",,"8,6",,,
15/01/2014 8.00,"2,7","13,2","15,9","20,5","6,2",,,
15/01/2014 9.00,"3,0","27,3","31,7",,"6,1",,,
15/01/2014 10.00,"3,3","35,6","46,5","18,3","7,6",,,
15/01/2014 11.00,"3,1","32,6","43,9",,"32,6",,,
15/01/2014 12.00,"3,2","28,6","36,9","26,4","25,8",,,
15/01/2014 13.00,"2,9","19,5","25,5",,"25,1",,,
15/01/2014 14.00,"2,8","10,6","15,7","35,7","15,3",,,
15/01/2014 15.00,"2,8","6,3","8,4",,"9,1",,,
15/01/2014 16.00,"2,9","6,6","9,1","20,3","7,7",,,
15/01/2014 17.00,"2,4","9,9","13,0",,"5,3",,,
15/01/2014 18.00,"2,2","13,2","19,5","11,0","5,8",,,
15/01/2014 19.00,"2,4","18,8","25,6",,"18,0",,,
15/01/2014 20.00,"2,6","41,9","60,7","12,2","10,1",,,
15/01/2014 21.00,"2,9","46,4","78,2",,"11,0",,,
15/01/2014 22.00,"2,7","36,9","67,5","11,7","16,7",,,
15/01/2014 23.00,"2,3","20,7","30,2",,"22,6",,,
16/01/2014 0.00,"2,4","18,2","27,2","15,6","32,4",,,
16/01/2014 1.00,"2,1",,,,"23,1",,,
16/01/2014 2.00,,"13,1","19,9","30,3","4,2",,,
16/01/2014 3.00,"2,1","10,2","14,0",,"4,3",,,
16/01/2014 4.00,"2,0","9,5","12,6","22,0","7,0",,,
16/01/2014 5.00,"2,0","9,3","13,9",,"6,1",,,
16/01/2014 6.00,"2,1","9,6","14,3","18,3","8,8",,,
16/01/2014 7.00,"2,5","9,5","13,0",,"8,3",,,
16/01/2014 8.00,"2,4","11,0","15,1","17,6","6,2",,,
16/01/2014 9.00,"2,1","13,9","21,1",,"4,9",,,
16/01/2014 10.00,"2,0","12,8","17,8","16,1","4,9",,,
16/01/2014 11.00,"2,1","11,1","16,7",,"6,1",,,
16/01/2014 12.00,"1,7","13,2","20,4","15,1","4,9",,,
16/01/2014 13.00,"1,7","9,3","14,1",,"2,2",,,
16/01/2014 14.00,"2,1","7,5","10,7","10,7","6,4",,,
16/01/2014 15.00,"2,3","8,1","12,0",,"6,5",,,
16/01/2014 16.00,"2,5","7,6","10,5","12,2","7,9",,,
16/01/2014 17.00,"1,8","4,7","7,2",,"6,5",,,
16/01/2014 18.00,"2,0","8,9","16,6","10,7","4,3",,,
16/01/2014 19.00,"1,9","20,6","39,5",,"22,4",,,
16/01/2014 20.00,"2,5","51,7","160,9","14,9","28,6",,,
16/01/2014 21.00,"2,4","42,3","145,6",,"13,9",,,
16/01/2014 22.00,"2,1","38,0","126,6","22,5","33,0",,,
16/01/2014 23.00,"2,2","29,3","96,2",,"47,3",,,
17/01/2014 0.00,"2,0","26,5","89,6","36,4","42,1",,,
17/01/2014 1.00,"2,3","27,2","93,7",,"48,4",,,
17/01/2014 2.00,"0,7","33,6","110,0","44,2","70,9",,,
17/01/2014 3.00,"2,5","33,9","92,8",,"92,7",,,
17/01/2014 4.00,"2,1","27,3","55,8","60,8","85,9",,,
17/01/2014 5.00,"2,1","13,7","19,4",,"43,3",,,
17/01/2014 6.00,"1,9","10,8","15,1","70,1","15,8",,,
17/01/2014 7.00,"2,0","16,8","20,0",,"18,3",,,
