Stat,Torchiarolo_Via Fanin,,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,PM10,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,
,,,,,,
,,,,,,,
31/07/2014 20.00,"5,2","5,3","8,6","22,5","6,7",,,
31/07/2014 21.00,"4,7","8,1","12,0",,"5,0",,,
31/07/2014 22.00,"4,6","34,6","43,0","12,0","2,9",,,
31/07/2014 23.00,"4,9","46,3","59,8",,"3,0",,,
01/08/2014 0.00,"5,0","16,5","23,1","22,5","7,4",,,
01/08/2014 1.00,"4,5","5,1","9,4",,"9,4",,,
01/08/2014 2.00,"4,7","5,6","9,6","14,9","12,1",,,
01/08/2014 3.00,"5,0","6,9","11,3",,"7,1",,,
01/08/2014 4.00,"5,1","9,6","15,9","14,7","7,3",,,
01/08/2014 5.00,"5,2","11,9","18,5",,"7,1",,,
01/08/2014 6.00,"4,7","15,4","24,1","10,3","9,0",,,
01/08/2014 7.00,"4,8","14,1","19,9",,"6,6",,,
01/08/2014 8.00,"4,9","9,7","13,7","11,2","4,4",,,
01/08/2014 9.00,"5,0","7,1","10,7",,"6,0",,,
01/08/2014 10.00,"4,8","8,4","11,0","6,6","6,7",,,
01/08/2014 11.00,"5,3","14,2","18,4",,"7,9",,,
01/08/2014 12.00,"4,9","8,4","11,9","3,9","5,4",,,
01/08/2014 13.00,"4,8","6,6","9,7",,"6,9",,,
01/08/2014 14.00,"4,8","5,9","8,9","13,7","8,2",,,
01/08/2014 15.00,"5,2","2,6","4,4",,"7,4",,,
01/08/2014 16.00,"5,7","5,3","7,3","7,6","5,3",,,
01/08/2014 17.00,"6,4","4,8","6,8",,"3,5",,,
01/08/2014 18.00,"5,5","3,1","4,6","3,9","2,9",,,
01/08/2014 19.00,"5,3","1,9","3,3",,"8,7",,,
01/08/2014 20.00,"5,7","4,5","5,9","2,0","7,5",,,
01/08/2014 21.00,"5,7","4,4","6,4",,"29,6",,,
01/08/2014 22.00,"5,0","17,0","21,1","18,8","16,4",,,
01/08/2014 23.00,"4,9","37,4","45,9",,"11,6",,,
02/08/2014 0.00,"4,9","38,4","54,4","32,5","15,1",,,
02/08/2014 1.00,"4,8",,,,"19,3",,,
02/08/2014 2.00,,"30,9","52,9","32,7","13,3",,,
02/08/2014 3.00,"4,6","16,2","27,2",,"22,5",,,
02/08/2014 4.00,"5,0","12,5","24,1","23,4","17,2",,,
02/08/2014 5.00,"4,6","12,1","22,5",,"12,0",,,
02/08/2014 6.00,"4,5","11,5","23,0","16,6","13,9",,,
02/08/2014 7.00,"4,8","23,2","40,8",,"13,8",,,
02/08/2014 8.00,"3,9","14,8","26,2","12,7","13,8",,,
02/08/2014 9.00,"4,7","9,2","13,9",,"8,9",,,
02/08/2014 10.00,"9,0","24,1","32,7","22,5","11,7",,,
02/08/2014 11.00,"11,5","11,7","15,7",,"12,8",,,
02/08/2014 12.00,"7,3","4,3","6,6","11,2","11,7",,,
02/08/2014 13.00,"7,0","7,6","10,7",,"13,1",,,
02/08/2014 14.00,"8,0","5,8","8,1","5,6","10,4",,,
02/08/2014 15.00,"5,6","0,9","2,2",,"10,2",,,
02/08/2014 16.00,"5,2","1,3","2,7","2,9","9,0",,,
02/08/2014 17.00,"5,0","0,8","1,7",,"8,0",,,
02/08/2014 18.00,"5,3","0,5","1,8","1,5","10,5",,,
02/08/2014 19.00,"5,6","2,2","3,5",,"11,5",,,
02/08/2014 20.00,"5,2","4,2","5,6","0,7","11,9",,,
02/08/2014 21.00,"5,1","5,5","7,0",,"11,9",,,
02/08/2014 22.00,"4,6","15,2","17,8","10,7","12,2",,,
02/08/2014 23.00,"4,9","34,6","40,9",,"20,0",,,
03/08/2014 0.00,"4,6","48,6","74,0","34,9","20,8",,,
03/08/2014 1.00,"4,8","39,5","74,2",,"17,7",,,
03/08/2014 2.00,"4,7","24,5","53,6","30,3","20,5",,,
03/08/2014 3.00,"4,8","18,3","32,5",,"15,1",,,
03/08/2014 4.00,"4,4","24,6","47,8","28,8","19,8",,,
03/08/2014 5.00,"4,1","22,0","45,8",,"16,2",,,
03/08/2014 6.00,"4,6","21,9","46,2","15,1","9,9",,,
03/08/2014 7.00,"4,5","24,7","89,9",,"18,6",,,
03/08/2014 8.00,"4,7","27,2","71,5","17,6","20,7",,,
03/08/2014 9.00,"4,4","7,6","13,3",,"15,1",,,
03/08/2014 10.00,"5,7","3,4","6,2","23,2","14,1",,,
03/08/2014 11.00,"8,1","6,1","8,9",,"11,2",,,
03/08/2014 12.00,"9,2","5,9","8,3","12,7","9,9",,,
03/08/2014 13.00,"8,3","4,4","6,2",,"9,5",,,
03/08/2014 14.00,"7,0","2,2","3,9","7,1","8,9",,,
03/08/2014 15.00,"5,0","1,1","2,5",,"10,9",,,
03/08/2014 16.00,"5,2","1,6","3,1","4,6","8,2",,,
03/08/2014 17.00,"4,7","1,2","2,3",,"5,4",,,
03/08/2014 18.00,"4,2","1,1","2,2","3,7","5,2",,,
03/08/2014 19.00,"4,6","2,3","3,4",,"4,3",,,
03/08/2014 20.00,"4,8","4,8","6,0","3,9","8,3",,,
03/08/2014 21.00,"4,5","9,3","10,9",,"14,9",,,
03/08/2014 22.00,"4,5","18,7","20,4","10,7","9,6",,,
03/08/2014 23.00,"4,5","29,8","32,5",,"14,9",,,
04/08/2014 0.00,"4,5","22,5","25,8","22,5","15,0",,,
04/08/2014 1.00,"4,8",,,,"10,5",,,
04/08/2014 2.00,,"19,1","24,1","34,9","16,7",,,
04/08/2014 3.00,"4,8","25,0","32,8",,"11,1",,,
04/08/2014 4.00,"4,7","35,5","45,5","32,5","11,2",,,
04/08/2014 5.00,"4,8","14,4","19,9",,"18,2",,,
04/08/2014 6.00,"4,6","7,6","12,6","26,1","15,2",,,
04/08/2014 7.00,"4,7","3,8","7,5",,"10,1",,,
04/08/2014 8.00,"4,1","7,2","9,9","35,7","10,1",,,
04/08/2014 9.00,"5,3","4,8","6,8",,"7,9",,,
04/08/2014 10.00,"5,9","3,2","4,8","23,4","11,4",,,
04/08/2014 11.00,"5,9","0,8","2,0",,"21,6",,,
04/08/2014 12.00,"5,3","1,0","2,2","12,5","6,3",,,
04/08/2014 13.00,"6,2","6,8","9,9",,"17,5",,,
04/08/2014 14.00,"11,3","16,7","22,5","7,8","13,2",,,
04/08/2014 15.00,"16,2","23,3","31,0",,"12,8",,,
04/08/2014 16.00,"11,0","7,9","11,1","3,9","12,0",,,
04/08/2014 17.00,"6,4","1,1","2,2",,"8,5",,,
04/08/2014 18.00,"5,8","2,4","3,6","2,0","9,1",,,
04/08/2014 19.00,"5,3","1,2","2,5",,"8,3",,,
04/08/2014 20.00,"5,3","3,3","4,4","1,0","8,8",,,
04/08/2014 21.00,"5,4","6,9","8,4",,"14,0",,,
04/08/2014 22.00,"5,0","8,4","10,2","11,2","13,2",,,
04/08/2014 23.00,"4,5","6,3","8,2",,"10,3",,,
05/08/2014 0.00,"4,9","7,6","10,0","27,1","12,1",,,
05/08/2014 1.00,"5,0","3,3","4,9",,"15,1",,,
05/08/2014 2.00,"5,4","3,1","5,6","33,2","9,5",,,
05/08/2014 3.00,"5,4","2,6","4,6",,"13,2",,,
05/08/2014 4.00,"5,0","4,6","6,8","24,2","10,3",,,
05/08/2014 5.00,"4,9","6,3","10,3",,"11,2",,,
05/08/2014 6.00,"5,0","8,0","12,6","21,7","13,6",,,
05/08/2014 7.00,"4,9","11,4","16,7",,"12,9",,,
05/08/2014 8.00,"5,2","9,3","13,7","29,3","13,4",,,
05/08/2014 9.00,"5,5","8,1","11,8",,"17,2",,,
05/08/2014 10.00,"6,4","4,7","6,6","20,3","51,5",,,
05/08/2014 11.00,"5,9","3,1","4,5",,"26,1",,,
05/08/2014 12.00,"5,8","2,1","3,5","12,0","17,3",,,
05/08/2014 13.00,"5,5","1,7","2,9",,"8,8",,,
05/08/2014 14.00,"5,0","1,3","2,4","7,3","14,0",,,
05/08/2014 15.00,"5,3","0,9","2,1",,"13,2",,,
05/08/2014 16.00,"5,5","1,7","3,1","4,4","9,1",,,
05/08/2014 17.00,"10,5","12,4","16,0",,"11,7",,,
05/08/2014 18.00,"17,0","13,4","16,8","3,7","10,2",,,
05/08/2014 19.00,"10,4","10,9","12,6",,"13,2",,,
05/08/2014 20.00,"7,2","9,2","10,7","4,6","10,6",,,
05/08/2014 21.00,"6,6","5,1","6,7",,"11,0",,,
05/08/2014 22.00,"5,7","5,0","6,3","15,6","15,9",,,
05/08/2014 23.00,"5,7","6,9","8,7",,"13,9",,,
06/08/2014 0.00,"5,5","6,1","8,4","23,2","15,5",,,
06/08/2014 1.00,"5,3",,,,"19,3",,,
06/08/2014 2.00,,"14,6","21,2","22,7","15,9",,,
06/08/2014 3.00,"5,6","33,2","41,6",,"17,6",,,
06/08/2014 4.00,"5,1","29,7","41,9","20,5","11,4",,,
06/08/2014 5.00,"5,7","22,2","31,1",,"13,9",,,
06/08/2014 6.00,"5,4","21,3","27,9","31,5","15,2",,,
06/08/2014 7.00,"5,1","13,0","18,0",,"18,1",,,
06/08/2014 8.00,"5,3","10,2","13,8","21,2","13,2",,,
06/08/2014 9.00,"5,4","6,2","9,3",,"13,4",,,
06/08/2014 10.00,"6,0","3,2","5,3","25,9","12,6",,,
06/08/2014 11.00,"6,1","2,5","4,4",,"16,3",,,
06/08/2014 12.00,"5,9","2,6","4,1","12,9","12,2",,,
06/08/2014 13.00,"4,2","1,9","3,5",,"12,2",,,
06/08/2014 14.00,"5,2","1,4","2,5","6,6","8,2",,,
06/08/2014 15.00,"5,7","1,0","2,0",,"7,4",,,
06/08/2014 16.00,"5,7","1,4","2,6","4,2","9,6",,,
06/08/2014 17.00,"5,2","1,1","1,9",,"9,8",,,
06/08/2014 18.00,"5,3","1,6","2,5","3,2","7,5",,,
06/08/2014 19.00,"4,9","1,3","2,5",,"6,5",,,
06/08/2014 20.00,"5,0","2,0","3,1","9,0","12,7",,,
06/08/2014 21.00,"4,0","3,3","4,4",,"11,2",,,
06/08/2014 22.00,"5,2","3,2","4,4","7,6","10,2",,,
06/08/2014 23.00,"5,2","2,8","4,3",,"11,0",,,
07/08/2014 0.00,"5,3","3,4","5,3","15,4","10,2",,,
07/08/2014 1.00,"5,5","2,9","4,7",,"7,5",,,
07/08/2014 2.00,"5,1","2,0","3,3","16,4","6,8",,,
07/08/2014 3.00,"5,7","2,2","3,5",,"13,8",,,
07/08/2014 4.00,"5,1","1,6","3,2","14,7","11,2",,,
07/08/2014 5.00,"5,8","3,4","5,2",,"10,7",,,
07/08/2014 6.00,"5,4","3,6","5,4","9,5","11,3",,,
07/08/2014 7.00,"5,3","8,1","10,5",,"9,6",,,
07/08/2014 8.00,"5,5","6,5","8,7","16,6","7,5",,,
07/08/2014 9.00,"5,8","4,4","6,6",,"7,8",,,
07/08/2014 10.00,"5,8","3,8","5,7","22,2","9,1",,,
07/08/2014 11.00,"5,8","2,9","4,6",,"8,6",,,
07/08/2014 12.00,"5,6","2,4","4,1","15,6","9,1",,,
07/08/2014 13.00,"3,2","1,8","3,1",,"9,5",,,
07/08/2014 14.00,"0,9","1,3","2,4","10,7","5,8",,,
07/08/2014 15.00,"1,2","1,1","2,2",,"5,2",,,
07/08/2014 16.00,"1,4","1,0","2,1","6,1","4,6",,,
07/08/2014 17.00,"1,8","0,9","2,0",,"10,6",,,
07/08/2014 18.00,"1,9","1,3","2,5","3,9","11,6",,,
07/08/2014 19.00,"1,4","1,6","2,5",,"9,9",,,
07/08/2014 20.00,"1,2","3,1","3,9","3,7","10,1",,,
07/08/2014 21.00,"1,7","9,4","11,0",,"15,5",,,
07/08/2014 22.00,"2,1","10,1","11,5","13,7","20,8",,,
07/08/2014 23.00,"1,4","13,5","15,8",,"11,1",,,
08/08/2014 0.00,"1,1","15,4","19,8","31,0","11,6",,,
08/08/2014 1.00,"0,4",,,,"15,1",,,
08/08/2014 2.00,,"12,4","18,2","34,4","11,6",,,
08/08/2014 3.00,"1,0","9,1","14,0",,"18,2",,,
08/08/2014 4.00,"0,8","8,6","14,1","19,8","17,2",,,
08/08/2014 5.00,"0,9","14,8","21,5",,"16,3",,,
08/08/2014 6.00,"1,2","27,9","40,0","18,6","13,1",,,
08/08/2014 7.00,"1,0","48,6","75,2",,"12,3",,,
08/08/2014 8.00,"1,0","20,3","29,9","22,5","13,1",,,
08/08/2014 9.00,"0,9","7,7","11,0",,"17,5",,,
08/08/2014 10.00,"1,1","3,1","5,0","18,1","12,6",,,
08/08/2014 11.00,"1,2","2,5","3,7",,"14,2",,,
08/08/2014 12.00,"1,6","2,3","3,3","14,7","11,2",,,
08/08/2014 13.00,"1,8","1,8","3,3",,"15,9",,,
08/08/2014 14.00,"1,8","1,5","2,9","10,5","10,5",,,
08/08/2014 15.00,"2,2","1,2","2,4",,"9,0",,,
08/08/2014 16.00,"1,9","0,9","1,9","6,3","16,3",,,
08/08/2014 17.00,"2,0","1,1","2,1",,"14,5",,,
08/08/2014 18.00,"1,3","1,5","2,7","9,8","12,9",,,
08/08/2014 19.00,"2,7","5,2","6,7",,"12,0",,,
08/08/2014 20.00,"2,0","6,7","8,3","9,5","11,6",,,
08/08/2014 21.00,"2,0","4,8","6,2",,"19,9",,,
08/08/2014 22.00,"1,0","3,7","5,4","17,6","10,2",,,
08/08/2014 23.00,"1,4","23,1","26,2",,"14,9",,,
09/08/2014 0.00,"1,2","42,1","48,9","43,0","13,3",,,
09/08/2014 1.00,"1,0","29,3","36,0",,"20,0",,,
09/08/2014 2.00,"0,9","15,7","22,8","25,2","23,4",,,
09/08/2014 3.00,"1,1","10,4","16,6",,"15,5",,,
09/08/2014 4.00,"1,1","9,2","15,2","28,1","14,7",,,
09/08/2014 5.00,"0,9","10,4","16,5",,"17,0",,,
09/08/2014 6.00,"0,3","16,6","26,8","17,3","20,0",,,
09/08/2014 7.00,"1,1","29,2","40,7",,"9,9",,,
09/08/2014 8.00,"1,6","15,2","22,6","13,4","14,0",,,
09/08/2014 9.00,"1,6","7,0","9,6",,"8,1",,,
09/08/2014 10.00,"2,7","2,8","4,6","26,9","6,8",,,
09/08/2014 11.00,"2,7","2,2","3,9",,"10,2",,,
09/08/2014 12.00,"3,1","1,4","2,6","17,8","19,0",,,
09/08/2014 13.00,"2,4","1,3","2,8",,"13,3",,,
09/08/2014 14.00,"2,0","0,7","1,9","10,3","12,0",,,
09/08/2014 15.00,"2,2","0,7","2,2",,"12,7",,,
09/08/2014 16.00,"2,0","0,6","1,8","5,9","13,1",,,
09/08/2014 17.00,"1,6","0,2","1,3",,"16,0",,,
09/08/2014 18.00,"1,9","1,4","2,8","5,9","19,3",,,
09/08/2014 19.00,"1,6","1,5","3,0",,"17,2",,,
09/08/2014 20.00,"1,6","2,3","4,0","16,6",,,,
09/08/2014 21.00,"1,1","3,4","5,3",,,,,
09/08/2014 22.00,"1,1","5,5","9,0","24,2",,,,
09/08/2014 23.00,"1,0","53,6","66,1",,,,,
10/08/2014 0.00,"1,0","46,7","74,3","43,2",,,,
10/08/2014 1.00,"0,5",,,,,,,
10/08/2014 2.00,,"31,5","78,6","37,6",,,,
10/08/2014 3.00,"0,8","28,9","88,7",,,,,
10/08/2014 4.00,"0,7","21,6","86,5","27,8",,,,
10/08/2014 5.00,"0,6","13,9","70,2",,,,,
10/08/2014 6.00,"1,0","17,3","64,1","25,6",,,,
10/08/2014 7.00,"1,2","22,8","78,1",,,,,
10/08/2014 8.00,"0,7","26,3","55,4","28,8",,,,
10/08/2014 9.00,"1,0","12,9","21,5",,,,,
10/08/2014 10.00,"5,0","6,2","9,6","77,4",,,,
10/08/2014 11.00,"10,2","7,0","9,5",,,,,
10/08/2014 12.00,"5,2","2,7","4,5","38,6",,,,
10/08/2014 13.00,"6,1","5,9","8,6",,,,,
10/08/2014 14.00,"3,9","2,5","4,0","19,3",,,,
10/08/2014 15.00,"3,8","1,5","2,7",,,,,
10/08/2014 16.00,"2,3","1,2","2,5","9,8",,,,
10/08/2014 17.00,"2,0","0,8","1,9",,,,,
10/08/2014 18.00,"1,0","0,4","1,5","4,9",,,,
10/08/2014 19.00,"0,9","0,9","2,1",,,,,
10/08/2014 20.00,"1,6","4,0","5,2","2,4",,,,
10/08/2014 21.00,"1,1","5,6","7,3",,,,,
10/08/2014 22.00,"1,4","42,0","46,0","4,9",,,,
10/08/2014 23.00,"1,4","65,2","94,6",,,,,
11/08/2014 0.00,"0,8","53,6","92,5","17,6",,,,
11/08/2014 1.00,"1,3","44,7","88,8",,,,,
11/08/2014 2.00,"1,4","39,0","105,3","25,9",,,,
11/08/2014 3.00,"1,5","34,3","108,6",,,,,
11/08/2014 4.00,"1,3","23,3","81,9","27,6",,,,
11/08/2014 5.00,"0,9","25,3","93,0",,,,,
11/08/2014 6.00,"0,9","24,0","130,9","22,7",,,,
11/08/2014 7.00,"1,4","22,7","125,4",,,,,
11/08/2014 8.00,"1,3","39,3","108,7","23,2",,,,
11/08/2014 9.00,"3,4","26,7","42,2",,,,,
11/08/2014 10.00,"7,7","5,9","8,6","27,8",,,,
11/08/2014 11.00,"3,8","2,8","4,7",,,,,
11/08/2014 12.00,"2,5","2,2","3,4","14,7",,,,
11/08/2014 13.00,"2,1","1,9","3,1",,,,,
11/08/2014 14.00,"2,0","3,7","5,5","15,6",,,,
11/08/2014 15.00,"1,4","0,7","1,7",,,,,
11/08/2014 16.00,"1,1","0,5","1,5","10,7",,,,
11/08/2014 17.00,"1,3","1,1","2,2",,,,,
11/08/2014 18.00,"1,3","0,8","2,2","7,8",,,,
11/08/2014 19.00,"1,0","1,6","2,9",,,,,
11/08/2014 20.00,"1,1","3,3","4,4","10,5",,,,
11/08/2014 21.00,"1,1","8,8","10,1",,,,,
11/08/2014 22.00,"1,3","29,0","31,3","11,0",,,,
11/08/2014 23.00,"1,9","34,0","37,9",,,,,
12/08/2014 0.00,"1,5","37,5","43,1","21,0",,,,
12/08/2014 1.00,"1,1",,,,,,,
12/08/2014 2.00,,"43,1","62,5","48,1",,,,
12/08/2014 3.00,"1,3","37,8","64,6",,,,,
12/08/2014 4.00,"1,5","28,7","52,7","44,9",,,,
12/08/2014 5.00,"1,5","28,7","53,0",,,,,
12/08/2014 6.00,"1,7","33,1","74,1","34,7",,,,
12/08/2014 7.00,"1,3","35,2","123,6",,,,,
12/08/2014 8.00,"0,4","28,7","51,7","24,7",,,,
12/08/2014 9.00,"1,4","15,5","21,6",,,,,
12/08/2014 10.00,"2,0","11,0","14,2","36,6",,,,
12/08/2014 11.00,"2,1","8,4","10,4",,,,,
12/08/2014 12.00,"2,2","5,5","7,4","20,8",,,,
12/08/2014 13.00,"4,5","5,3","6,9",,,,,
12/08/2014 14.00,"3,5","3,0","4,4","25,9",,,,
12/08/2014 15.00,"2,7","2,0","3,4",,,,,
12/08/2014 16.00,"1,6","1,5","2,6","13,9",,,,
12/08/2014 17.00,"1,4","2,2","3,4",,,,,
12/08/2014 18.00,"1,2","2,9","4,0","13,2",,,,
12/08/2014 19.00,"1,7","4,2","5,5",,,,,
12/08/2014 20.00,"1,5","7,6","8,9","7,6",,,,
12/08/2014 21.00,"1,1","19,2","20,6",,,,,
12/08/2014 22.00,"1,0","25,3","27,0","8,8",,,,
12/08/2014 23.00,"1,1","40,0","42,8",,,,,
13/08/2014 0.00,"1,5","23,9","27,0","20,8",,,,
13/08/2014 1.00,"1,3","15,0","17,8",,,,,
13/08/2014 2.00,"1,0","15,5","23,4","35,4",,,,
13/08/2014 3.00,"1,2","41,0","74,8",,,,,
13/08/2014 4.00,"1,0","34,7","86,9","34,9",,,,
13/08/2014 5.00,"1,5","27,2","74,0",,,,,
13/08/2014 6.00,"1,7","18,7","37,2","32,2",,,,
13/08/2014 7.00,"1,5","27,7","89,0",,,,,
13/08/2014 8.00,"2,0","51,6","155,9","24,9",,,,
13/08/2014 9.00,"2,1","18,0","26,1",,,,,
13/08/2014 10.00,"3,1","9,7","13,0","40,5",,,,
13/08/2014 11.00,"4,4","6,8","8,8",,,,,
13/08/2014 12.00,"4,9","5,7","7,5","31,5",,,,
13/08/2014 13.00,"6,7","5,5","7,1",,,,,
13/08/2014 14.00,"6,7","3,5","4,9","25,2",,,,
13/08/2014 15.00,"5,8","2,7","3,9",,,,,
13/08/2014 16.00,"5,5","2,6","3,9","27,6",,,,
13/08/2014 17.00,"4,5","2,9","4,2",,,,,
13/08/2014 18.00,"3,5","3,5","4,6","27,4",,,,
13/08/2014 19.00,"3,6","5,5","7,5",,,,,
13/08/2014 20.00,"3,0","10,5","11,5","23,4",,,,
13/08/2014 21.00,"2,9","26,6","28,3",,,,,
13/08/2014 22.00,"2,6","27,1","29,2","25,4",,,,
13/08/2014 23.00,"3,0","21,3","23,5",,,,,
14/08/2014 0.00,"2,1","12,5","14,4","43,2",,,,
14/08/2014 1.00,"1,4",,,,,,,
14/08/2014 2.00,,"8,7","10,8","40,8",,,,
14/08/2014 3.00,"1,5","9,9","11,7",,,,,
14/08/2014 4.00,"1,2","12,0","16,1","57,4",,,,
14/08/2014 5.00,"1,5","11,4","18,1",,,,,
14/08/2014 6.00,"1,3","14,0","23,6","38,3",,,,
14/08/2014 7.00,"1,6","25,8","71,5",,,,,
14/08/2014 8.00,"1,5","30,1","73,9","26,6",,,,
14/08/2014 9.00,"1,2","8,0","14,6",,,,,
14/08/2014 10.00,"1,2","6,6","10,0","40,5",,,,
14/08/2014 11.00,"5,5","5,0","7,6",,,,,
14/08/2014 12.00,"8,9","4,0","5,8","30,0",,,,
14/08/2014 13.00,"11,1","3,2","4,8",,,,,
14/08/2014 14.00,"14,8","2,9","4,4","15,1",,,,
14/08/2014 15.00,"10,3","2,8","4,1",,,,,
14/08/2014 16.00,"9,4","2,9","4,0","7,6",,,,
14/08/2014 17.00,"8,5","4,9","6,2",,,,,
14/08/2014 18.00,"7,4","4,2","5,5","12,5",,,,
14/08/2014 19.00,"6,2","4,0","5,3",,,,,
14/08/2014 20.00,"6,3","5,5","6,5","33,0",,,,
14/08/2014 21.00,"3,5","5,8","7,1",,,,,
14/08/2014 22.00,"2,4","7,1","8,5","34,4",,,,
14/08/2014 23.00,"1,9","6,5","7,9",,,,,
15/08/2014 0.00,"1,6","7,3","8,8","48,1",,,,
15/08/2014 1.00,"1,7","10,2","11,9",,,,,
15/08/2014 2.00,"1,8","9,2","11,4","39,3",,,,
15/08/2014 3.00,"2,0","6,4","8,2",,,,,
15/08/2014 4.00,"1,4","5,0","7,5","33,5",,,,
15/08/2014 5.00,"1,7","8,5","13,4",,,,,
15/08/2014 6.00,"1,4","21,0","28,8","19,5",,,,
15/08/2014 7.00,"1,7","18,1","26,2",,,,,
15/08/2014 8.00,"1,8","7,0","10,1","17,1",,,,
15/08/2014 9.00,"2,1","3,8","6,2",,,,,
15/08/2014 10.00,"2,0","2,4","4,1","16,6",,,,
15/08/2014 11.00,"2,2","2,2","3,5",,,,,
15/08/2014 12.00,"2,0","1,9","2,9","12,2",,,,
15/08/2014 13.00,"2,0","3,4","5,0",,,,,
15/08/2014 14.00,"2,8","2,4","3,7","17,3",,,,
15/08/2014 15.00,"2,1","0,4","1,2",,,,,
15/08/2014 16.00,"2,0","0,1","1,1","16,1",,,,
15/08/2014 17.00,"2,5","0,7","1,9",,,,,
15/08/2014 18.00,"1,7","1,8","3,0","14,2",,,,
15/08/2014 19.00,"1,9","0,8","1,9",,,,,
15/08/2014 20.00,"1,4","2,1","3,3","18,1",,,,
15/08/2014 21.00,"1,6","4,2","5,6",,,,,
15/08/2014 22.00,"1,7","5,2","6,7","18,3",,,,
15/08/2014 23.00,"1,9","6,1","7,3",,,,,
16/08/2014 0.00,"1,5","9,8","11,5","37,9",,,,
16/08/2014 1.00,"2,0",,,,,,,
16/08/2014 2.00,,"11,4","16,8","31,7",,,,
16/08/2014 3.00,"1,6","9,4","19,9",,,,,
16/08/2014 4.00,"1,8","22,6","32,5","24,7",,,,
16/08/2014 5.00,"1,9","7,9","12,9",,,,,
16/08/2014 6.00,"0,8","6,5","12,3","35,4",,,,
16/08/2014 7.00,"1,3","13,8","22,7",,,,,
16/08/2014 8.00,"1,7","14,3","24,5","17,8",,,,
16/08/2014 9.00,"2,2","10,7","17,1",,,,,
16/08/2014 10.00,"2,4","3,7","5,7","9,0",,,,
16/08/2014 11.00,"3,0","4,4","6,6",,,,,
16/08/2014 12.00,"3,1","4,3","6,1","4,6",,,,
16/08/2014 13.00,"2,6","2,0","3,3",,,,,
16/08/2014 14.00,"2,0","0,7","1,8","9,0",,,,
16/08/2014 15.00,"2,3","0,5","1,9",,,,,
16/08/2014 16.00,"2,0","0,4","1,5","10,5",,,,
16/08/2014 17.00,"2,0","1,1","2,3",,,,,
16/08/2014 18.00,"2,2","0,5","2,0","17,6",,,,
16/08/2014 19.00,"2,0","0,9","2,2",,,,,
16/08/2014 20.00,"1,5","2,5","4,3","16,6",,,,
16/08/2014 21.00,"2,2","6,3","8,0",,,,,
16/08/2014 22.00,"2,0","7,4","9,3","20,3",,,,
16/08/2014 23.00,"1,9","13,0","15,5",,,,,
17/08/2014 0.00,"1,8","52,5","62,1","30,8",,,,
17/08/2014 1.00,"1,5","31,5","42,3",,,,,
17/08/2014 2.00,"1,5","16,0","21,1","35,4",,,,
17/08/2014 3.00,"1,5","12,3","18,0",,,,,
17/08/2014 4.00,"1,7","8,2","12,2","18,8",,,,
17/08/2014 5.00,"1,2","3,7","6,3",,,,,
17/08/2014 6.00,"1,1","3,4","5,4","23,4",,,,
17/08/2014 7.00,"1,8","3,7","5,6",,,,,
17/08/2014 8.00,"1,5","3,8","5,4","20,8",,,,
17/08/2014 9.00,"1,4","2,9","4,5",,,,,
17/08/2014 10.00,"1,7","1,9","3,4","20,8",,,,
17/08/2014 11.00,"2,2","1,8","3,0",,,,,
17/08/2014 12.00,"1,7","1,7","2,9","20,3",,,,
17/08/2014 13.00,"2,6","2,0","3,2",,,,,
17/08/2014 14.00,"2,1","0,8","1,9","11,7",,,,
17/08/2014 15.00,"1,6","0,5","1,5",,,,,
17/08/2014 16.00,"1,5","0,5","1,5","7,1",,,,
17/08/2014 17.00,"1,7","0,1","1,2",,,,,
17/08/2014 18.00,"1,3","0,4","1,3","5,4",,,,
17/08/2014 19.00,"1,8","1,7","2,6",,,,,
17/08/2014 20.00,"1,0","1,6","2,8","15,9",,,,
17/08/2014 21.00,"0,8","4,0","5,0",,,,,
17/08/2014 22.00,"1,4","5,4","6,6","20,5",,,,
17/08/2014 23.00,"1,6","4,4","5,8",,,,,
18/08/2014 0.00,"1,7","6,7","9,2","11,5",,,,
18/08/2014 1.00,"1,5",,,,,,,
18/08/2014 2.00,,"9,2","13,8","13,9",,,,
18/08/2014 3.00,"1,3","10,2","15,8",,,,,
18/08/2014 4.00,"1,9","7,5","12,8","14,2",,,,
18/08/2014 5.00,"1,7","7,8","12,1",,,,,
18/08/2014 6.00,"1,6","8,2","11,6","14,7",,,,
18/08/2014 7.00,"1,7","8,6","12,2",,,,,
18/08/2014 8.00,"1,9","11,3","15,1","13,2",,,,
18/08/2014 9.00,"2,2","5,2","7,7",,,,,
18/08/2014 10.00,"2,5","3,9","5,7","9,8",,,,
18/08/2014 11.00,"2,7","4,0","6,1",,,,,
18/08/2014 12.00,"3,9","4,6","6,9","15,6",,,,
18/08/2014 13.00,"3,5","5,1","7,3",,,,,
18/08/2014 14.00,"2,4","1,3","2,8","8,5",,,,
18/08/2014 15.00,"2,4","0,6","1,6",,,,,
18/08/2014 16.00,"3,1","2,4","3,9","5,1",,,,
18/08/2014 17.00,"2,7","0,2","1,3",,,,,
18/08/2014 18.00,"1,9","0,4","1,5","6,6",,,,
