,Provincia di LECCE,,
,GUAGNANO,,
Parm,SO2,NO2,PM10



16/01/2005 16.00,"3,68829797","5,22783055",
16/01/2005 17.00,"3,35349953","4,54904187",
16/01/2005 18.00,"2,81366576","3,74565962",
16/01/2005 19.00,"4,99842686","5,9377638",
16/01/2005 20.00,"4,4732206","6,33361663",
16/01/2005 21.00,"3,30955394","6,09870258",
16/01/2005 22.00,"2,22649674","5,4315943",
16/01/2005 23.00,"3,68980414","5,92348881",
17/01/2005 0.00,"2,93740212","3,80406358",
17/01/2005 1.00,"1,76689512",,
17/01/2005 2.00,"1,76275186",,
17/01/2005 3.00,"2,39480618",,
17/01/2005 4.00,"2,62890839",,
17/01/2005 5.00,"3,54660647",,
17/01/2005 6.00,"3,69394842",,
17/01/2005 7.00,"3,51126166",,
17/01/2005 8.00,"3,08876121",,
17/01/2005 9.00,"4,01744696",,
17/01/2005 10.00,"5,97024155",,
17/01/2005 11.00,"5,31872389",,
17/01/2005 12.00,"5,56720241",,
17/01/2005 13.00,"5,48056724","5,09804208",
17/01/2005 14.00,"4,39022628","4,26480778",
17/01/2005 15.00,"4,63123392","6,59578625",
17/01/2005 16.00,"4,90802573","6,27131794",
17/01/2005 17.00,"3,42086154","6,193446",
17/01/2005 18.00,"1,76595338","8,43487022",
17/01/2005 19.00,"1,5139601","7,18502067",
17/01/2005 20.00,"1,18745022","8,0104674",
17/01/2005 21.00,"1,16886759","11,28889158",
17/01/2005 22.00,"1,02322201","10,996868",
17/01/2005 23.00,"0,57743328",,
18/01/2005 0.00,"1,27088286",,
18/01/2005 1.00,,,
18/01/2005 2.00,"0,84116477",,
18/01/2005 3.00,"1,25849682",,
18/01/2005 4.00,"1,07140238",,
18/01/2005 5.00,"1,52288834",,
18/01/2005 6.00,"1,31167575",,
18/01/2005 7.00,"1,36382243",,
18/01/2005 8.00,"1,45342216",,
18/01/2005 9.00,"1,52301445",,
18/01/2005 10.00,"2,07037097",,
18/01/2005 11.00,"3,41029186",,
18/01/2005 12.00,"3,93109553",,
18/01/2005 13.00,"3,51776842","6,48806417",
18/01/2005 14.00,"3,6404888","8,04680687",
18/01/2005 15.00,"3,30624056","9,96506294",
18/01/2005 16.00,"2,64515598","7,52506222",
18/01/2005 17.00,"2,25313299","11,70680125",
18/01/2005 18.00,"1,7858876","26,30915824",
18/01/2005 19.00,"3,16901675","31,14630792",
18/01/2005 20.00,"3,4352643","26,2767116",
18/01/2005 21.00,"3,46653908","34,9127376",
18/01/2005 22.00,"3,28316686","34,8426628",
18/01/2005 23.00,"2,33605917","26,92304408",
19/01/2005 0.00,"2,28122456","19,59266552",
19/01/2005 1.00,"2,14797417",,
19/01/2005 2.00,"1,75565625",,
19/01/2005 3.00,"1,88314025",,
19/01/2005 4.00,"1,73821064",,
19/01/2005 5.00,"1,21919892",,
19/01/2005 6.00,"1,35372463",,
19/01/2005 7.00,"1,77328086",,
19/01/2005 8.00,"2,03952841","15,81067025",
19/01/2005 9.00,"1,94673428","21,10469424",
19/01/2005 10.00,"2,14302037","20,98528984",
19/01/2005 11.00,"2,12698736","19,46417912",
19/01/2005 12.00,"2,989681","14,24025096",
19/01/2005 13.00,"3,38664254","14,27788677",
19/01/2005 14.00,"3,72953121","14,68411985",
19/01/2005 15.00,"3,86137408","15,83793154",
19/01/2005 16.00,"2,61338083","12,47773494",
19/01/2005 17.00,"2,37136738","14,93850571",
19/01/2005 18.00,"2,7994064","19,91323144",
19/01/2005 19.00,"2,50862882","14,28178342",
19/01/2005 20.00,"2,45986468","18,41160974",
19/01/2005 21.00,"2,24494309","18,44795303",
19/01/2005 22.00,"3,69882798","16,16888345",
19/01/2005 23.00,"3,32858405","11,53808063",
20/01/2005 0.00,"3,24911669","7,55880711",
20/01/2005 1.00,,"6,35438286",
20/01/2005 2.00,"3,17326272",,
20/01/2005 3.00,"2,67478729","5,2693611",
20/01/2005 4.00,"2,56822908","4,29335967",
20/01/2005 5.00,"2,61879941","4,13631946",
20/01/2005 6.00,"2,86803662","4,34008322",
20/01/2005 7.00,"2,68381724","3,95072354",
20/01/2005 8.00,"2,87345519","8,1727006",
20/01/2005 9.00,"3,11005007","11,18116186",
20/01/2005 10.00,"2,86442423","15,73799322",
20/01/2005 11.00,"2,871649","6,64380804",
20/01/2005 12.00,"4,27857595","6,48027659",
20/01/2005 13.00,"4,51517083","5,596424",
20/01/2005 14.00,"4,29483066","5,62238322",
20/01/2005 15.00,"4,2532913","7,76257469",
20/01/2005 16.00,"3,91375059","10,88784576",
20/01/2005 17.00,"3,38096057","14,90734967",
20/01/2005 18.00,"2,64047168","10,47902001",
20/01/2005 19.00,"2,37497976","7,59904133",
20/01/2005 20.00,"2,34247034","6,00914832",
20/01/2005 21.00,"2,3316342","5,7898075",
20/01/2005 22.00,"2,29551341","9,5121044",
20/01/2005 23.00,"2,20340372","8,23110646",
21/01/2005 0.00,"1,88553529","7,76387102",
21/01/2005 1.00,"1,96139027","7,11493631",
21/01/2005 2.00,"1,56766787","6,42836006",
21/01/2005 3.00,"1,5803102","6,61655248",
21/01/2005 4.00,"2,41110157","7,9196149",
21/01/2005 5.00,"2,5303021","7,20708515",
21/01/2005 6.00,"2,28106388","7,57827701",
21/01/2005 7.00,"2,65311502","12,82037299",
21/01/2005 8.00,"3,09560155","8,65291278",
21/01/2005 9.00,"2,8012126","12,91122932",
21/01/2005 10.00,"2,52849591","19,0644411",
21/01/2005 11.00,"2,43819241","16,46610385",
21/01/2005 12.00,"3,4098576","6,93972254",
21/01/2005 13.00,"3,67173714","7,00201933",
21/01/2005 14.00,"3,84873175","6,87482926",
21/01/2005 15.00,"3,48029401","6,56982894",
21/01/2005 16.00,"3,93181048","6,50363741",
21/01/2005 17.00,"3,38637812","10,22203765",
21/01/2005 18.00,"3,47848781","14,13641598",
21/01/2005 19.00,"3,17687409","20,20397016",
