,Bari,,,,,,
,Caldarola,,,,,,
,SO2,NO2,,CO,O3,PM10,BENZENE
,,,,
,,,,
,,,,,
,,,,,
,,,,,
05/01/2009 15.00,"5,29539289","44,50013656",,"0,70297149","50,12251965","55,98711014","2,4169005"
05/01/2009 16.00,"5,4019511","36,81672632",,"0,48770628","54,5900229","55,98711014","1,8911115"
05/01/2009 17.00,"5,15632526","43,41639584",,"0,59896844","48,03359505","55,98711014","1,552959"
05/01/2009 18.00,"5,35318697","69,10128608",,"1,01757042","29,28406635","55,98711014","2,2053645"
05/01/2009 19.00,"5,50309073","83,53493584",,"1,44570792","15,86281956","55,98711014","3,5986545"
05/01/2009 20.00,"5,79386731","91,31438584",,"1,53940421","15,30103355","55,98711014","5,093136"
05/01/2009 21.00,"5,39111395","85,85292992",,"1,49828903","16,01567048","55,98711014","4,948722"
05/01/2009 22.00,"5,28455574","75,08967008",,"1,3542892","15,91644716","55,98711014","4,9360095"
05/01/2009 23.00,"5,23218024","71,77233096",,"1,17291967","15,78102656","55,98711014","4,12902"
06/01/2009 0.00,"4,82220313","61,13105672",,"0,80720753","18,75488927","55,98711014","3,037779"
06/01/2009 1.00,,"45,39956048",,"0,59588003","31,48830195","41,84112167","2,2165515"
06/01/2009 2.00,"4,52420078",,,"0,50785845","37,4615115","41,84112167","1,6602525"
06/01/2009 3.00,"4,61992285","32,5220684",,,"39,6496674","41,84112167","1,418715"
06/01/2009 4.00,"4,20272097","27,90942576",,"0,3813977","41,26799145","41,84112167","1,3470165"
06/01/2009 5.00,"4,25870886","20,5881292",,"0,32888999",,"41,84112167","1,1334465"
06/01/2009 6.00,"4,45015199","18,73608187",,"0,29966713","47,97167025","41,84112167","1,06556175"
06/01/2009 7.00,"4,60005575","21,39281352",,"0,31832693","46,6170453","41,84112167","0,9398097"
06/01/2009 8.00,"4,63075898","30,1430624",,"0,35121139","39,24418365","41,84112167","0,9329958"
06/01/2009 9.00,"4,59102581","33,2294128",,"0,43548749","38,3821641","41,84112167","1,2676905"
06/01/2009 10.00,"4,87096625","33,57982504",,"0,58965776","42,2439255","41,84112167","2,4535125"
06/01/2009 11.00,"4,92514896","34,41825616",,"0,66564372","47,86992525","41,84112167","3,294063"
06/01/2009 12.00,"5,12562203","38,37158384",,"0,74521672","52,5174573","41,84112167","3,5315325"
06/01/2009 13.00,"5,63854496","43,39175016",,"0,7084365","55,21735065","41,84112167","3,680523"
06/01/2009 14.00,"5,22495649","43,08284744",,"0,62936679","55,3164024","41,84112167","2,2958775"
06/01/2009 15.00,"5,31887135","37,12302872",,"0,56278704","58,4325924","41,84112167","2,182482"
