, Brindisi,,
,Via Dei Mille,,
Parm,SO2,NO2,PM10
,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
07/01/2008 17.00,"3,429802","44,435243",
07/01/2008 18.00,"3,987273","44,215896","24,42001"
07/01/2008 19.00,"4,393477","42,326193",
07/01/2008 20.00,"4,362885","41,740851","37,606831"
07/01/2008 21.00,"5,233082","42,81289",
07/01/2008 22.00,"5,907825","41,428068","55,67765"
07/01/2008 23.00,"4,803082","39,368327",
08/01/2008 0.00,"3,65075","36,15481","44,444431"
08/01/2008 1.00,,"33,444857",
08/01/2008 2.00,"3,276905",,"23,44322"
08/01/2008 3.00,"2,628578","33,013967",
08/01/2008 4.00,"2,208678","32,060013","21,48962"
08/01/2008 5.00,"2,359842","33,483784",
08/01/2008 6.00,"2,684005","33,686264","27,35042"
08/01/2008 7.00,"2,962819","36,64801",
08/01/2008 8.00,"3,261788","39,080208","29,30402"
08/01/2008 9.00,"4,266191","42,723331",
08/01/2008 10.00,"1,32683","38,762242","27,35042"
08/01/2008 11.00,"2,27978","32,685601",
08/01/2008 12.00,"3,730398","33,437075","26,86202"
08/01/2008 13.00,"2,779743","36,793359",
08/01/2008 14.00,"3,256749","40,550709","17,582411"
08/01/2008 15.00,"3,164371","37,155473",
08/01/2008 16.00,"1,950019","39,215196","15,62881"
08/01/2008 17.00,"2,148212","39,058144",
08/01/2008 18.00,"2,860363","44,08481","12,21001"
08/01/2008 19.00,"3,258429","45,651351",
08/01/2008 20.00,"3,251711","47,154276","14,16361"
08/01/2008 21.00,"3,214759","42,457279",
08/01/2008 22.00,"3,25339","39,935503","9,76801"
08/01/2008 23.00,"3,344089","43,774609",
09/01/2008 0.00,"3,251711","38,20415","17,094"
09/01/2008 1.00,"3,068634","39,97055",
09/01/2008 2.00,"3,191245","39,78235","12,21001"
09/01/2008 3.00,"2,860363","36,182074",
09/01/2008 4.00,"3,030003","37,718751","14,16361"
09/01/2008 5.00,"1,797175","38,625956",
09/01/2008 6.00,"1,580506","34,602554","10,25641"
