Stat,Galatina-VIALE STUDENTI,,,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,,
,,,,,
,,,,,,,,
04/01/2014 22.00,"4,3","12,8","14,0","0,7","44,5","32,0",,,
04/01/2014 23.00,"4,1","16,0","16,9","0,8","36,1","32,0",,,
05/01/2014 0.00,"3,9","9,6","10,7","0,7","48,8","32,0",,,
05/01/2014 1.00,"4,0","5,8","6,6","0,6","59,0","6,6",,,
05/01/2014 2.00,"4,4","4,2","5,0","0,6","67,9","6,6",,,
05/01/2014 3.00,"4,3","3,3","4,0","0,6","70,9","6,6",,,
05/01/2014 4.00,"4,7","2,9","3,6","0,6","77,1","6,6",,,
05/01/2014 5.00,"4,5","2,5","3,5","0,6","78,2","6,6",,,
05/01/2014 6.00,"4,8","2,5","3,4","0,5","78,5","6,6",,,
05/01/2014 7.00,"5,0","2,4","3,5","0,6","77,6","6,6",,,
05/01/2014 8.00,"5,3","2,7","3,8","0,6","79,0","6,6",,,
05/01/2014 9.00,"5,2","2,8","3,8","0,6","81,4","6,6",,,
05/01/2014 10.00,"5,0","2,1","3,1","0,6","81,5","6,6",,,
05/01/2014 11.00,"4,9","2,0","3,5","0,6","78,7","6,6",,,
05/01/2014 12.00,"5,1","1,7","3,1","0,5","81,1","6,6",,,
05/01/2014 13.00,"5,5","1,5","2,6","0,5","81,0","6,6",,,
05/01/2014 14.00,"5,5","1,8","3,2","0,6","83,0","6,6",,,
05/01/2014 15.00,"6,0","1,9","3,0","0,5","81,9","6,6",,,
05/01/2014 16.00,"6,0","1,6","2,9","0,6","80,3","6,6",,,
05/01/2014 17.00,"6,4","1,8","3,0","0,6","80,0","6,6",,,
05/01/2014 18.00,"6,2","2,3","3,8","0,6","81,0","6,6",,,
05/01/2014 19.00,"6,3","2,7","3,8","0,6","79,1","6,6",,,
05/01/2014 20.00,"6,2","2,6","3,9","0,6","77,4","6,6",,,
05/01/2014 21.00,"5,8","3,0","4,3","0,6","76,1","6,6",,,
05/01/2014 22.00,"5,9","8,2","9,5","0,6","71,7","6,6",,,
05/01/2014 23.00,"6,1","9,0","10,3","0,6","58,6","6,6",,,
06/01/2014 0.00,"6,1","12,0","13,7","0,7","53,3","6,6",,,
06/01/2014 1.00,"6,2","10,0","11,4","0,6","54,7","13,1",,,
06/01/2014 2.00,"6,2",,,"0,6","49,5","13,1",,,
06/01/2014 3.00,"6,4","8,5","9,9",,"55,0","13,1",,,
06/01/2014 4.00,,"7,5","8,6","0,6","53,2","13,1",,,
06/01/2014 5.00,"5,8","6,6","8,0","0,6",,"13,1",,,
06/01/2014 6.00,"6,2","7,1","8,4","0,6","41,5","13,1",,,
06/01/2014 7.00,"6,1","6,9","8,4","0,6","45,4","13,1",,,
06/01/2014 8.00,"6,2","6,5","7,6","0,6","46,1","13,1",,,
06/01/2014 9.00,"6,1","21,1","25,5","0,7","25,0","13,1",,,
06/01/2014 10.00,"6,0","26,3","34,1","0,7","26,8","13,1",,,
06/01/2014 11.00,"5,8","18,0","22,1","0,7","46,0","13,1",,,
06/01/2014 12.00,"5,2","8,8","10,4","0,6","66,2","13,1",,,
06/01/2014 13.00,"5,9","7,0","8,9","0,6","67,5","13,1",,,
06/01/2014 14.00,"5,7","6,5","8,5","0,6","71,5","13,1",,,
06/01/2014 15.00,"5,7","5,9","7,7","0,6","73,8","13,1",,,
06/01/2014 16.00,"5,4","4,6","6,1","0,6","70,8","13,1",,,
06/01/2014 17.00,"5,2","4,9","6,4","0,6","71,0","13,1",,,
06/01/2014 18.00,"5,3","11,4","13,4","0,6","54,7","13,1",,,
06/01/2014 19.00,"5,3","21,8","23,5","0,8","38,8","13,1",,,
06/01/2014 20.00,"5,3","30,7","33,2","0,8","29,8","13,1",,,
06/01/2014 21.00,"5,4","31,7","34,7","0,8","31,0","13,1",,,
06/01/2014 22.00,"5,3","43,3","51,5","1,0","17,2","13,1",,,
06/01/2014 23.00,"5,4","39,5","43,4","0,9","22,7","13,1",,,
07/01/2014 0.00,"5,1","30,8","33,7","0,8","27,3","13,1",,,
07/01/2014 1.00,"5,3","27,5","30,0","0,8","29,2","21,2",,,
07/01/2014 2.00,"4,8","20,2","22,0","0,8","35,9","21,2",,,
07/01/2014 3.00,"4,7","12,9","14,3","0,7","43,9","21,2",,,
07/01/2014 4.00,"4,6","7,1","8,6","0,7","49,4","21,2",,,
07/01/2014 5.00,"4,9","5,3","6,8","0,6","49,2","21,2",,,
07/01/2014 6.00,"4,9","5,5","6,8","0,6","47,3","21,2",,,
07/01/2014 7.00,"4,9","9,0","10,4","0,6","42,3","21,2",,,
07/01/2014 8.00,"4,7","11,5","13,4","0,7","38,7","21,2",,,
07/01/2014 9.00,"4,5","17,1","20,9","0,7","31,5","21,2",,,
07/01/2014 10.00,"4,9","24,5","38,3","0,7","25,1","21,2",,,
07/01/2014 11.00,"4,6","19,4","28,8","0,7","32,1","21,2",,,
07/01/2014 12.00,"4,6","19,2","27,8","0,7","40,9","21,2",,,
07/01/2014 13.00,"4,7","17,2","23,6","0,6","55,7","21,2",,,
07/01/2014 14.00,,,,"0,6",,"21,2",,,
07/01/2014 15.00,"2,1","18,6","24,7","0,6","63,0","21,2",,,
07/01/2014 16.00,"2,3","13,6","17,3","0,6","65,7","21,2",,,
07/01/2014 17.00,"2,2","14,8","17,9","0,6","62,8","21,2",,,
07/01/2014 18.00,"2,4","19,0","21,4","0,7","50,5","21,2",,,
07/01/2014 19.00,"2,3","35,9","40,2","0,8","28,6","21,2",,,
07/01/2014 20.00,"2,4","49,8","60,5","0,9","14,5","21,2",,,
07/01/2014 21.00,"2,6","45,8","55,2","1,0","15,9","21,2",,,
07/01/2014 22.00,"2,9","50,6","70,3","1,1","9,0","21,2",,,
07/01/2014 23.00,"2,7","43,6","66,1","1,1","8,2","21,2",,,
08/01/2014 0.00,"2,6","31,4","45,4","1,0","7,2","21,2",,,
08/01/2014 1.00,"2,0","28,1","33,6","1,0","16,5","16,9",,,
08/01/2014 2.00,"2,2",,,"1,0","16,4","16,9",,,
08/01/2014 3.00,"1,9","15,9","17,3",,"28,4","16,9",,,
08/01/2014 4.00,,"11,6","12,6","0,8","31,1","16,9",,,
08/01/2014 5.00,"1,9","9,0","9,7","0,8",,"16,9",,,
08/01/2014 6.00,"1,6","8,2","9,2","0,8","31,7","16,9",,,
08/01/2014 7.00,"1,9","9,4","10,7","0,7","30,8","16,9",,,
08/01/2014 8.00,"2,0","11,6","12,9","0,7","37,1","16,9",,,
08/01/2014 9.00,"2,1","19,4","23,2","0,7","32,8","16,9",,,
08/01/2014 10.00,"2,2","29,2","42,0","0,8","29,3","16,9",,,
08/01/2014 11.00,"1,9","22,6","30,0","0,7","37,1","16,9",,,
08/01/2014 12.00,"1,7","16,8","21,7","0,7","47,2","16,9",,,
08/01/2014 13.00,"2,0","15,9","21,6","0,7","53,6","16,9",,,
08/01/2014 14.00,"3,0","18,2","25,1","0,8","54,9","16,9",,,
08/01/2014 15.00,"2,8","16,8","21,5","0,7","59,8","16,9",,,
08/01/2014 16.00,"2,3","14,5","18,4","0,6","60,3","16,9",,,
08/01/2014 17.00,"2,1","11,5","14,0","0,6","62,7","16,9",,,
08/01/2014 18.00,"2,1","16,2","18,3","0,6","57,6","16,9",,,
08/01/2014 19.00,"2,2","24,1","26,5","0,7","45,1","16,9",,,
