,Provincia di TARANTO,,,,,
04/01/2009 16.00,"1,283032","29,329773","27,871797","22,4","12,7",
04/01/2009 17.00,"1,20628","32,057318","31,373453","22,4","12,7",
04/01/2009 18.00,"1,284241","60,078441","50,889559","22,4","12,7",
04/01/2009 19.00,"1,179084","69,460759","57,164764","22,4","12,7",
04/01/2009 20.00,"1,499994","62,285887","48,485891","22,4","12,7",
04/01/2009 21.00,"1,537161","95,676515","74,148712","22,4","12,7",
04/01/2009 22.00,"1,436537","78,110286","65,545113","22,4","12,7",
04/01/2009 23.00,"1,700335","95,113624","75,922897","22,4","12,7",
05/01/2009 0.00,"1,693989","75,954698","66,186266","22,4","12,7",
05/01/2009 1.00,"1,864718","65,335084","56,567742","37,200001","18,4",
05/01/2009 2.00,"1,700033","60,660799","49,966753","37,200001","18,4",
05/01/2009 3.00,"1,962925","52,408148","46,567637","37,200001","18,4",
05/01/2009 4.00,"2,123077","58,423511","53,795475","37,200001","18,4",
05/01/2009 5.00,"2,064757","36,955976","34,924417","37,200001","18,4",
05/01/2009 6.00,"2,043303","69,635844","51,4671","37,200001","18,4",
05/01/2009 7.00,"2,503514","149,189692","63,391955","37,200001","18,4",
05/01/2009 8.00,"3,1964","291,686683","82,651074","37,200001","18,4",
05/01/2009 9.00,"3,211207","318,949137","99,261245","37,200001","18,4",
05/01/2009 10.00,"3,273152","211,099325","96,822531","37,200001","18,4",
05/01/2009 11.00,"4,567063","163,212561","83,239012","37,200001","18,4",
05/01/2009 12.00,"7,141589","146,119758","83,806192","37,200001","18,4",
05/01/2009 13.00,"8,461487","103,195074","69,686623","37,200001","18,4",
05/01/2009 14.00,"9,678041","81,958413","61,860467","37,200001","18,4",
05/01/2009 15.00,"7,908508","56,09026","46,480681","37,200001","18,4",
05/01/2009 16.00,"5,843448","63,493388","55,792925","37,200001","18,4",
05/01/2009 17.00,"3,72581","109,85113","83,676401","37,200001","18,4",
05/01/2009 18.00,"2,961611","103,545259","80,665349","37,200001","18,4",
05/01/2009 19.00,"2,690863","113,874357","76,923579","37,200001","18,4",
05/01/2009 20.00,"2,403192","97,345693","64,088919","37,200001","18,4",
05/01/2009 21.00,"2,478434","156,217989","91,951615","37,200001","18,4",
05/01/2009 22.00,"2,021547","82,601688","63,367295","37,200001","18,4",
05/01/2009 23.00,"1,794613","53,633778","45,664315","37,200001","18,4",
06/01/2009 0.00,"1,715142","54,86719","44,822002","37,200001","18,4",
06/01/2009 1.00,,"33,626649","29,259221","36,5","22,29999",
06/01/2009 2.00,"0,49598",,,"36,5","22,29999",
06/01/2009 3.00,"0,952034","67,537344","50,924587","36,5","22,29999",
06/01/2009 4.00,"1,261183","70,656583","59,319225","36,5","22,29999",
06/01/2009 5.00,"1,25483","86,932309","69,425771","36,5","22,29999",
06/01/2009 6.00,"1,249296","42,26451","38,391048","36,5","22,29999",
06/01/2009 7.00,"1,479592","58,008474","50,83245","36,5","22,29999",
06/01/2009 8.00,"1,42914","115,172644","80,641966","36,5","22,29999",
06/01/2009 9.00,"1,581491","134,737471","81,802277","36,5","22,29999",
06/01/2009 10.00,"2,433078","106,180699","69,158398","36,5","22,29999",
06/01/2009 11.00,"3,206719","88,479594","61,608674","36,5","22,29999",
06/01/2009 12.00,"2,98713","61,662056","45,276254","36,5","22,29999",
06/01/2009 13.00,"3,57149","81,743103","59,657974","36,5","22,29999",
06/01/2009 14.00,"2,852837","58,966939","52,641681","36,5","22,29999",
06/01/2009 15.00,"2,858281","19,489628","19,346075","36,5","22,29999",
06/01/2009 16.00,"2,429721","20,397502","19,76398","36,5","22,29999",
06/01/2009 17.00,"1,76306","71,788813","56,440554","36,5","22,29999",
06/01/2009 18.00,"1,776489","145,302645","88,299425","36,5","22,29999",
06/01/2009 19.00,"1,171078","75,636941","65,769643","36,5","22,29999",
06/01/2009 20.00,"1,351921","101,042104","74,105905","36,5","22,29999",
06/01/2009 21.00,"1,253197","92,226544","69,800849","36,5","22,29999",
06/01/2009 22.00,"1,185325","112,480108","74,439454","36,5","22,29999",
06/01/2009 23.00,"0,881348","61,617966","57,033678","36,5","22,29999",
07/01/2009 0.00,"1,092953","45,392811","43,457942","36,5","22,29999",
07/01/2009 1.00,"1,151298","51,470426","49,520302","30,5","23,4",
07/01/2009 2.00,"1,085148","33,747258","32,288459","30,5","23,4",
07/01/2009 3.00,"0,992322","18,256216","18,089742","30,5","23,4",
07/01/2009 4.00,"0,896139","15,338022","15,030652","30,5","23,4",
07/01/2009 5.00,"0,82627","16,449529","15,55499","30,5","23,4",
07/01/2009 6.00,"0,79061","36,324367","33,765423","30,5","23,4",
07/01/2009 7.00,"1,003575","66,02765","58,082352","30,5","23,4",
07/01/2009 8.00,"1,113731","130,173452","80,349962","30,5","23,4",
07/01/2009 9.00,"1,471606","171,270686","89,790674","30,5","23,4",
07/01/2009 10.00,"1,536394","159,938988","84,505753","30,5","23,4",
07/01/2009 11.00,"1,710341","183,013486","88,557703","30,5","23,4",
07/01/2009 12.00,"1,307369","69,939335","56,806552","30,5","23,4",
07/01/2009 13.00,"1,414531","80,295683","62,408158","30,5","23,4",
07/01/2009 14.00,"1,494382","87,819442","67,960474","30,5","23,4",
07/01/2009 15.00,"1,300563","68,002974","56,31337","30,5","23,4",
07/01/2009 16.00,"1,261454","90,86082","66,63922","30,5","23,4",
07/01/2009 17.00,"1,311996","140,319647","79,246754","30,5","23,4",
07/01/2009 18.00,"2,058597","273,829953","110,139953","30,5","23,4",
07/01/2009 19.00,"1,380141","181,425968","95,196298","30,5","23,4",
07/01/2009 20.00,"1,604902","179,611499","88,805594","30,5","23,4",
07/01/2009 21.00,"1,773858","193,127296","89,127457","30,5","23,4",
07/01/2009 22.00,"2,203144","315,420153","102,212532","30,5","23,4",
07/01/2009 23.00,"2,262216","268,650141","98,505895","30,5","23,4",
08/01/2009 0.00,"1,446743","175,501382","83,485605","30,5","23,4",
08/01/2009 1.00,,"139,166659","76,705519","42,099991","26,200001",
08/01/2009 2.00,"0,943326",,,"42,099991","26,200001",
08/01/2009 3.00,"0,821495","108,366118","66,929961","42,099991","26,200001",
08/01/2009 4.00,"0,769533","48,892037","47,579984","42,099991","26,200001",
08/01/2009 5.00,"0,665731","39,05061","38,370283","42,099991","26,200001",
08/01/2009 6.00,"0,612676","44,809173","36,952992","42,099991","26,200001",
08/01/2009 7.00,"0,990371","158,696491","65,603529","42,099991","26,200001",
08/01/2009 8.00,"1,6714","306,922466","83,41293","42,099991","26,200001",
08/01/2009 9.00,"3,607465","634,426822","127,46657","42,099991","26,200001",
08/01/2009 10.00,"2,49848","331,23278","97,833598","42,099991","26,200001",
08/01/2009 11.00,"2,405544","348,716102","117,208177","42,099991","26,200001",
08/01/2009 12.00,"1,662172","191,289284","99,575334","42,099991","26,200001",
08/01/2009 13.00,"1,451776","198,731368","98,973108","42,099991","26,200001",
08/01/2009 14.00,"1,720205","222,35317","108,380034","42,099991","26,200001",
08/01/2009 15.00,"1,333223","142,828024","91,232609","42,099991","26,200001",
08/01/2009 16.00,"1,619802","225,236268","108,534544","42,099991","26,200001",
08/01/2009 17.00,"1,344696","225,43473","111,931016","42,099991","26,200001",
08/01/2009 18.00,"1,152084","189,084617","105,991982","42,099991","26,200001",
08/01/2009 19.00,"1,769131","315,705424","115,6468","42,099991","26,200001",
08/01/2009 20.00,"1,261836","190,02104","104,028306","42,099991","26,200001",
08/01/2009 21.00,"1,605355","270,994833","109,68832","42,099991","26,200001",
08/01/2009 22.00,"1,066007","123,577015","87,42335","42,099991","26,200001",
08/01/2009 23.00,"0,938652","170,487298","87,287082","42,099991","26,200001",
09/01/2009 0.00,"1,107164","155,743301","87,350675","42,099991","26,200001",
09/01/2009 1.00,"0,976106","112,579974","73,018261","22,29999","14,3",
09/01/2009 2.00,"0,510089","34,319233","33,446156","22,29999","14,3",
09/01/2009 3.00,"0,442768","20,761968","20,74388","22,29999","14,3",
09/01/2009 4.00,"0,478158","15,803636","15,814567","22,29999","14,3",
09/01/2009 5.00,"0,448111","13,930805","13,940435","22,29999","14,3",
09/01/2009 6.00,"0,360576","14,102005","14,111761","22,29999","14,3",
09/01/2009 7.00,"0,422675","24,134085","24,049557","22,29999","14,3",
09/01/2009 8.00,"0,569759","54,816619","42,623411","22,29999","14,3",
09/01/2009 9.00,"0,601932","91,07093","61,323155","22,29999","14,3",
09/01/2009 10.00,"0,574008","60,889034","45,213962","22,29999","14,3",
09/01/2009 11.00,"0,585603","48,980218","39,868029","22,29999","14,3",
09/01/2009 12.00,"0,564236","80,795002","54,665074","22,29999","14,3",
09/01/2009 13.00,"0,569699","50,908815","42,328793","22,29999","14,3",
09/01/2009 14.00,"0,356205","60,197769","52,7533","22,29999","14,3",
09/01/2009 15.00,"0,47397","40,268439","35,777131","22,29999","14,3",
09/01/2009 16.00,"0,247365","32,308918","31,424064","22,29999","14,3",
09/01/2009 17.00,"0,190547","37,347669","36,710302","22,29999","14,3",
09/01/2009 18.00,"0,253192","50,775223","48,433978","22,29999","14,3",
09/01/2009 19.00,"0,329679","50,266841","47,476144","22,29999","14,3",
09/01/2009 20.00,"0,327493","36,513711","36,340409","22,29999","14,3",
09/01/2009 21.00,"0,392081","51,855617","47,360641","22,29999","14,3",
09/01/2009 22.00,"0,386193","28,467289","28,318268","22,29999","14,3",
09/01/2009 23.00,"0,432328","15,143475","15,153946","22,29999","14,3",
10/01/2009 0.00,"0,349407","10,768779","10,758053","22,29999","14,3",
10/01/2009 1.00,,"10,345965","10,172713","20,5","11,2",
10/01/2009 2.00,"0,367253",,,"20,5","11,2",
10/01/2009 3.00,"0,389367","4,011542","4,014319","20,5","11,2",
10/01/2009 4.00,"0,385986","3,805323","3,807956","20,5","11,2",
10/01/2009 5.00,"0,320923","7,086669","7,091573","20,5","11,2",
10/01/2009 6.00,"0,285012","13,795919","13,805465","20,5","11,2",
10/01/2009 7.00,"0,357567","22,563454","22,274073","20,5","11,2",
10/01/2009 8.00,"0,419613","52,399067","39,825201","20,5","11,2",
10/01/2009 9.00,"0,554672","88,469215","55,58656","20,5","11,2",
10/01/2009 10.00,"0,576602","91,815405","54,380835","20,5","11,2",
10/01/2009 11.00,"0,623571","94,382131","55,907126","20,5","11,2",
10/01/2009 12.00,"0,668165","54,024169","42,628593","20,5","11,2",
10/01/2009 13.00,"0,46384","62,533625","49,002434","20,5","11,2",
10/01/2009 14.00,"0,653453","69,347932","50,741592","20,5","11,2",
10/01/2009 15.00,"0,545899","36,835367","31,620043","20,5","11,2",
10/01/2009 16.00,"0,526344","47,657326","40,458549","20,5","11,2",
10/01/2009 17.00,"0,436701","77,695245","58,862391","20,5","11,2",
10/01/2009 18.00,"0,332255","64,665829","53,349024","20,5","11,2",
10/01/2009 19.00,"0,379406","67,277965","53,721499","20,5","11,2",
10/01/2009 20.00,"0,28693","63,349418","51,576141","20,5","11,2",
10/01/2009 21.00,"0,419613","81,251566","58,105717","20,5","11,2",
10/01/2009 22.00,"0,384798","83,215154","60,256294","20,5","11,2",
10/01/2009 23.00,"0,35912","73,34518","57,791632","20,5","11,2",
11/01/2009 0.00,"0,229545","52,923032","47,02319","20,5","11,2",
11/01/2009 1.00,"0,405084","72,305032","49,938209","27,200001","14,9",
11/01/2009 2.00,"0,446936","81,804078","55,992783","27,200001","14,9",
11/01/2009 3.00,"0,361314","20,972078","20,497289","27,200001","14,9",
11/01/2009 4.00,"0,35848","13,767387","13,767818","27,200001","14,9",
11/01/2009 5.00,"0,338194","40,346277","32,988002","27,200001","14,9",
11/01/2009 6.00,"0,502585","19,16149","18,202649","27,200001","14,9",
11/01/2009 7.00,"0,33993","14,823123","14,716566","27,200001","14,9",
11/01/2009 8.00,"0,190891","17,815244","17,465456","27,200001","14,9",
11/01/2009 9.00,"0,112762","21,86957","21,386331","27,200001","14,9",
11/01/2009 10.00,"0,157537","23,503756","22,188396","27,200001","14,9",
11/01/2009 11.00,"0,149405","27,052295","25,361704","27,200001","14,9",
11/01/2009 12.00,"0,192993","38,276307","31,474694","27,200001","14,9",
11/01/2009 13.00,"0,226986","60,03047","45,278854","27,200001","14,9",
11/01/2009 14.00,"0,263264","26,545175","25,366905","27,200001","14,9",
11/01/2009 15.00,"0,200029","20,131639","19,496626","27,200001","14,9",
11/01/2009 16.00,"0,155345","26,56462","26,316938","27,200001","14,9",
11/01/2009 17.00,"0,248825","33,20255","31,553849","27,200001","14,9",
11/01/2009 18.00,"0,37831","87,019191","58,021358","27,200001","14,9",
11/01/2009 19.00,"0,430945","56,733531","52,719556","27,200001","14,9",
11/01/2009 20.00,"0,36771","82,48628","59,067454","27,200001","14,9",
11/01/2009 21.00,"0,447758","101,831954","73,976099","27,200001","14,9",
11/01/2009 22.00,"0,305938","59,173169","52,466465","27,200001","14,9",
11/01/2009 23.00,"0,552479","107,551587","74,278503","27,200001","14,9",
12/01/2009 0.00,"0,767494","170,737618","83,335055","27,200001","14,9",
12/01/2009 1.00,,"169,370618","85,995695",43,"24,6",
12/01/2009 2.00,"0,720422",,,43,"24,6",
12/01/2009 3.00,"0,759983","39,773022","38,49487",43,"24,6",
12/01/2009 4.00,"0,57548","47,244868","45,150368",43,"24,6",
12/01/2009 5.00,"0,639598","22,558272","21,390213",43,"24,6",
12/01/2009 6.00,"0,741847","38,518844","33,691446",43,"24,6",
12/01/2009 7.00,"1,110426","168,404349","70,54194",43,"24,6",
12/01/2009 8.00,"2,325595","277,056832","90,090474",43,"24,6",
12/01/2009 9.00,"1,648263","200,146433","83,316887",43,"24,6",
12/01/2009 10.00,"1,706173","214,623335","82,250052",43,"24,6",
12/01/2009 11.00,"1,478945","146,364856","73,276553",43,"24,6",
12/01/2009 12.00,"1,178713","87,604132","52,767567",43,"24,6",
12/01/2009 13.00,"0,76257","37,265969","30,903615",43,"24,6",
12/01/2009 14.00,"0,796683","46,698839","37,544833",43,"24,6",
12/01/2009 15.00,"0,734756","30,784958","29,540858",43,"24,6",
12/01/2009 16.00,"0,69903","74,231029","52,64558",43,"24,6",
12/01/2009 17.00,"0,930761","119,181575","78,752277",43,"24,6",
12/01/2009 18.00,"1,033923","148,286994","94,220321",43,"24,6",
12/01/2009 19.00,"1,179139","140,322273","84,839301",43,"24,6",
12/01/2009 20.00,"1,34651","119,778193","67,646385",43,"24,6",
12/01/2009 21.00,"1,111308","99,480538","65,084385",43,"24,6",
12/01/2009 22.00,"1,189972","66,149579","55,824069",43,"24,6",
12/01/2009 23.00,"1,120803","56,985171","52,905133",43,"24,6",
13/01/2009 0.00,"1,013869","48,656002","46,466396",43,"24,6",
13/01/2009 1.00,"1,130328","43,516087","37,267096","20,700001","13,1",
13/01/2009 2.00,"0,806177","20,620595","20,634857","20,700001","13,1",
13/01/2009 3.00,"0,899844","12,37184","12,3804","20,700001","13,1",
13/01/2009 4.00,"0,809737","7,959534","7,96504","20,700001","13,1",
13/01/2009 5.00,"0,744889","13,243408","13,252565","20,700001","13,1",
13/01/2009 6.00,"0,744433","19,611537","19,623812","20,700001","13,1",
13/01/2009 7.00,"0,611997","33,897712","32,898446","20,700001","13,1",
13/01/2009 8.00,"0,71245","64,302683","52,975229","20,700001","13,1",
13/01/2009 9.00,"0,8311","131,405563","68,45495","20,700001","13,1",
13/01/2009 10.00,"1,035231","93,047537","60,898745","20,700001","13,1",
13/01/2009 11.00,"1,210575","79,967546","56,811731","20,700001","13,1",
13/01/2009 12.00,"1,044421","74,421693","58,095335","20,700001","13,1",
13/01/2009 13.00,"1,065723","59,319721","47,713652","20,700001","13,1",
13/01/2009 14.00,"1,132001","43,484939","40,444268","20,700001","13,1",
13/01/2009 15.00,"0,893819","38,040254","32,963338","20,700001","13,1",
13/01/2009 16.00,"0,841568","34,581234","31,891299","20,700001","13,1",
13/01/2009 17.00,"1,0677","49,451048","42,692187","20,700001","13,1",
13/01/2009 18.00,"0,887641","44,370788","38,062682","20,700001","13,1",
13/01/2009 19.00,"1,007478","44,667799","38,433876","20,700001","13,1",
13/01/2009 20.00,"0,958088","31,393241","29,00873","20,700001","13,1",
13/01/2009 21.00,"0,965909","17,222527","16,947609","20,700001","13,1",
13/01/2009 22.00,"0,889162","8,964689","8,939743","20,700001","13,1",
13/01/2009 23.00,"0,887215","4,283906","4,28687","20,700001","13,1",
14/01/2009 0.00,"0,760743","3,042703","3,044808","20,700001","13,1",
14/01/2009 1.00,,"1,306053","1,306957","65,300003","12,5",
14/01/2009 2.00,"0,649646",,,"65,300003","12,5",
14/01/2009 3.00,"0,551552","0,469505","0,46983","65,300003","12,5",
14/01/2009 4.00,"0,713085","0,153042","0,153149","65,300003","12,5",
14/01/2009 5.00,"0,688909","0,268473","0,268659","65,300003","12,5",
14/01/2009 6.00,"0,666127","2,360494","2,362127","65,300003","12,5",
14/01/2009 7.00,"0,536585","13,973605","13,823631","65,300003","12,5",
14/01/2009 8.00,"0,569304","45,682039","38,39623","65,300003","12,5",
14/01/2009 9.00,"0,721446","53,373097","43,98357","65,300003","12,5",
14/01/2009 10.00,"0,576999","27,252022","22,64785","65,300003","12,5",
14/01/2009 11.00,"0,603175","21,523288","18,825635","65,300003","12,5",
14/01/2009 12.00,"0,645042","27,897914","25,521336","65,300003","12,5",
14/01/2009 13.00,"0,573121","26,196292","23,83023","65,300003","12,5",
14/01/2009 14.00,"0,444307","32,014508","27,806885","65,300003","12,5",
14/01/2009 15.00,"0,525437","14,59356","14,440116","65,300003","12,5",
14/01/2009 16.00,"0,474844","23,206766","21,225379","65,300003","12,5",
14/01/2009 17.00,"0,55246","46,414812","39,29047","65,300003","12,5",
14/01/2009 18.00,"0,368448","49,147539","42,12373","65,300003","12,5",
14/01/2009 19.00,"0,479812","70,225963","56,574244","65,300003","12,5",
14/01/2009 20.00,"0,696059","106,309112","79,444034","65,300003","12,5",
14/01/2009 21.00,"0,685092","154,190807","85,533639","65,300003","12,5",
14/01/2009 22.00,"0,613657","65,301358","50,208182","65,300003","12,5",
14/01/2009 23.00,"0,379173","38,025969","35,851108","65,300003","12,5",
15/01/2009 0.00,"0,44764","25,782555","24,468762","65,300003","12,5",
15/01/2009 1.00,"0,510108","19,371599","18,828229","33,700001",14,
15/01/2009 2.00,"0,402984","26,56852","25,226716","33,700001",14,
15/01/2009 3.00,"0,476117","19,514273","18,782801","33,700001",14,
15/01/2009 4.00,"0,358693","22,392253","20,958025","33,700001",14,
15/01/2009 5.00,"0,395654","29,657911","26,662169","33,700001",14,
15/01/2009 6.00,"0,570759","52,79854","39,008831","33,700001",14,
15/01/2009 7.00,"0,738048","128,449761","62,419857","33,700001",14,
15/01/2009 8.00,"2,117078","368,671259","93,764763","33,700001",14,
15/01/2009 9.00,"2,592771","389,533286","104,563051","33,700001",14,
15/01/2009 10.00,"2,703893","419,65417","110,790245","33,700001",14,
15/01/2009 11.00,"2,268675","281,629953","100,263196","33,700001",14,
15/01/2009 12.00,"1,293537","126,644381","74,80675","33,700001",14,
15/01/2009 13.00,"0,668611","52,589692","42,053634","33,700001",14,
15/01/2009 14.00,"0,554762","52,02812","40,764852","33,700001",14,
15/01/2009 15.00,"0,472784","28,472471","25,848404","33,700001",14,
15/01/2009 16.00,"0,498898","34,485253","32,561014","33,700001",14,
15/01/2009 17.00,"0,577908","75,773114","60,166738","33,700001",14,
15/01/2009 18.00,"0,766646","95,230352","78,160437","33,700001",14,
15/01/2009 19.00,"0,925029","133,732312","98,091868","33,700001",14,
15/01/2009 20.00,"1,40169","241,242193","107,904996","33,700001",14,
15/01/2009 21.00,"1,224465","178,82165","93,60641","33,700001",14,
15/01/2009 22.00,"1,867568","309,276318","109,287261","33,700001",14,
15/01/2009 23.00,"1,201683","174,337993","82,45251","33,700001",14,
16/01/2009 0.00,"1,216103","165,416105","76,347325","33,700001",14,
16/01/2009 1.00,,"150,150753","73,245394","26,6","14,4",
16/01/2009 2.00,"0,427071",,,"26,6","14,4",
16/01/2009 3.00,"0,345764","38,184228","33,983468","26,6","14,4",
16/01/2009 4.00,"0,274059","19,743828","17,495311","26,6","14,4",
16/01/2009 5.00,"0,440925","26,572402","21,789953","26,6","14,4",
16/01/2009 6.00,"0,329357","19,289899","16,667272","26,6","14,4",
16/01/2009 7.00,"0,382953","34,714807","28,463619","26,6","14,4",
16/01/2009 8.00,"0,487716","96,99033","59,83319","26,6","14,4",
16/01/2009 9.00,"0,734552","115,236179","67,943589","26,6","14,4",
16/01/2009 10.00,"0,481639","79,612161","55,255594","26,6","14,4",
16/01/2009 11.00,"0,332395","80,999948","56,356199","26,6","14,4",
16/01/2009 12.00,"0,285848","50,877707","37,895266","26,6","14,4",
16/01/2009 13.00,"0,244891","41,849473","31,849769","26,6","14,4",
16/01/2009 14.00,"0,276004","41,29048","34,056161","26,6","14,4",
16/01/2009 15.00,"0,194454","27,940724","25,621278","26,6","14,4",
16/01/2009 16.00,"0,180964","25,779954","23,067075","26,6","14,4",
16/01/2009 17.00,"0,2139","52,854274","48,642942","26,6","14,4",
16/01/2009 18.00,"0,235654","74,517657","65,937077","26,6","14,4",
16/01/2009 19.00,"0,410298","75,570787","67,729446","26,6","14,4",
16/01/2009 20.00,"0,419414","78,086939","67,937105","26,6","14,4",
