Stat,MONOPOLI,,,,,
,,,,,,,
Parm,NO2,NOX,CO,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,
,,,,,,,
,,,,,,,
05/01/2014 12.00,"16,2","34,7","0,8","13,4","1,0",
05/01/2014 13.00,"20,1","42,1","0,9",,"1,1",
05/01/2014 14.00,"22,4","44,8","1,0","9,0","1,0",
05/01/2014 15.00,"17,2","33,4","0,9",,"1,0",
05/01/2014 16.00,"14,8","30,2","0,9","7,8","0,9",
05/01/2014 17.00,"18,9","36,9","1,0",,"1,0",
05/01/2014 18.00,"19,7","35,9","0,9","13,4","1,2",
05/01/2014 19.00,"20,2","35,7","1,0",,"1,1",
05/01/2014 20.00,"35,3","56,9","1,1","12,7","1,2",
05/01/2014 21.00,"45,4","75,5","1,1",,"1,3",
05/01/2014 22.00,"54,5","89,3","1,2","12,7","2,5",
05/01/2014 23.00,"48,4","81,0","1,1",,"1,6",
06/01/2014 0.00,"52,2","79,0","1,1","14,9","1,9",
06/01/2014 1.00,"35,2","50,7","0,9",,"1,7",
06/01/2014 2.00,"28,5","44,8","0,9","9,8","1,1",
06/01/2014 3.00,,,"0,9",,"0,8",
06/01/2014 4.00,"53,5","71,9",,"7,1","0,9",
06/01/2014 5.00,"28,2","41,8","0,9",,"0,8","7,0"
06/01/2014 6.00,"29,9","46,0","0,8","11,7","0,7",
06/01/2014 7.00,"27,5","42,2","0,8",,"0,7",
06/01/2014 8.00,"36,2","60,4","0,9","8,3","1,0",
06/01/2014 9.00,"43,8","68,6","0,9",,"1,0",
06/01/2014 10.00,"53,4","90,1","0,9","8,3","1,7",
06/01/2014 11.00,"35,6","55,8","0,9",,"1,5",
06/01/2014 12.00,"25,2","42,4","1,0","10,3","1,1",
06/01/2014 13.00,"20,7","35,7","1,0",,"1,0",
06/01/2014 14.00,"23,6","38,5","1,1","8,3","1,1",
06/01/2014 15.00,"22,3","36,4","1,1",,"1,2",
06/01/2014 16.00,"15,5","29,2","1,1","6,1","1,4",
06/01/2014 17.00,"18,3","36,5","1,0",,"1,5",
06/01/2014 18.00,"85,3","269,5","1,4","5,4","1,8",
06/01/2014 19.00,"81,2","190,1","1,5",,"4,1",
06/01/2014 20.00,"83,5","169,0","1,5","11,7","3,7",
06/01/2014 21.00,"48,3","68,2","1,4",,"3,8",
06/01/2014 22.00,"58,8","116,3","1,5","25,9","3,8",
06/01/2014 23.00,"50,5","74,4","1,4",,"4,0",
07/01/2014 0.00,"34,2","50,7","1,2","28,6","3,1",
07/01/2014 1.00,"31,1","47,0","1,1",,"2,6",
07/01/2014 2.00,"18,3","33,1","1,0","16,6","2,0",
07/01/2014 3.00,"14,2","29,5","1,0",,"1,8",
07/01/2014 4.00,"10,2","24,6","1,0","12,9","1,5",
07/01/2014 5.00,"12,1","26,5","1,0",,"1,4","12,3"
07/01/2014 6.00,"18,3","35,6","1,0","15,1","1,3",
07/01/2014 7.00,"27,2","45,7","1,0",,"1,3",
07/01/2014 8.00,"38,4","73,0","1,0","12,5","1,3",
07/01/2014 9.00,"55,1","133,8","1,3",,"2,2",
07/01/2014 10.00,"47,1","99,2","1,2","24,4","2,5",
07/01/2014 11.00,"37,4","61,0","1,0",,"1,9",
07/01/2014 12.00,"23,3","43,0","1,0","24,2","1,6",
07/01/2014 13.00,"13,4","28,7","1,0",,"1,4",
07/01/2014 14.00,"22,6","44,8","1,0","14,7","1,4",
07/01/2014 15.00,"18,0","34,6","1,0",,"1,9",
07/01/2014 16.00,"28,9","51,4","1,0","8,5","1,4",
07/01/2014 17.00,"55,3","106,3","1,2",,"1,4",
07/01/2014 18.00,"85,0","226,1","1,7","10,0","3,4",
07/01/2014 19.00,"90,5","280,0","1,9",,"5,3",
07/01/2014 20.00,"78,3","166,1","1,5","29,3","5,5",
07/01/2014 21.00,"71,7","125,3","1,5",,"4,7",
07/01/2014 22.00,"55,3","97,7","1,4","36,4","4,5",
07/01/2014 23.00,"35,4","53,4","1,3",,"3,5",
08/01/2014 0.00,"28,7","43,9","1,2","27,4","3,4",
08/01/2014 1.00,"21,6","36,5","1,1",,"2,6",
08/01/2014 2.00,"18,0","32,4","1,0","18,8","2,0",
08/01/2014 3.00,,,"1,0",,"1,6",
08/01/2014 4.00,"30,6","44,2",,"13,4","1,4",
08/01/2014 5.00,"17,6","31,8","0,9",,"1,1","17,6"
08/01/2014 6.00,"27,6","44,0","0,9","8,8","1,1",
08/01/2014 7.00,"31,9","52,9","0,9",,"1,3",
08/01/2014 8.00,"42,3","68,1","1,0","10,3","1,2",
08/01/2014 9.00,"38,4","72,4","1,1",,"1,2",
08/01/2014 10.00,"34,6","62,5","1,0","9,8","2,0",
08/01/2014 11.00,"41,2","71,3","1,0",,"1,8",
08/01/2014 12.00,"29,1","53,5","0,9","36,4","1,6",
08/01/2014 13.00,"24,4","46,9","1,0",,"1,5",
08/01/2014 14.00,"20,2","41,3","1,0","21,2","1,5",
08/01/2014 15.00,,,,,"1,6",
08/01/2014 16.00,,,,"12,0",,
08/01/2014 17.00,"15,2","29,3","1,0",,"1,6",
08/01/2014 18.00,"13,9","26,3","1,1","7,3","1,6",
08/01/2014 19.00,"12,9","25,3","1,0",,"1,7",
08/01/2014 20.00,"11,6","24,5","1,0","6,6","1,8",
08/01/2014 21.00,"11,1","23,7","1,0",,"1,7",
08/01/2014 22.00,"10,0","23,0","1,1","7,6","1,6",
08/01/2014 23.00,"9,8","23,2","1,1",,"1,5",
09/01/2014 0.00,"9,3","22,9","1,1","21,2","1,6",
09/01/2014 1.00,"8,9","22,8","1,2",,"1,4",
09/01/2014 2.00,"8,3","21,5","1,1","21,5","1,1",
09/01/2014 3.00,"7,9","21,7","1,1",,"1,0",
