Stat,MONOPOLI,,,,,
,,,,,,,
Parm,NO2,NOX,CO,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,
,,,,,,,
,,,,,,,
26/06/2014 17.00,"0,6","7,4","1,0",,"1,3","13,4"
26/06/2014 18.00,"10,8","24,0","1,1","25,6","1,2","13,4"
26/06/2014 19.00,"24,8","42,8","1,2",,"1,4","13,4"
26/06/2014 20.00,"21,8","34,4","1,3","21,7","1,6","13,4"
26/06/2014 21.00,"16,7","27,8","1,2",,"2,1","13,4"
26/06/2014 22.00,"2,2","8,5","1,0","29,1","1,5","13,4"
26/06/2014 23.00,"0,1","6,1","1,0",,"1,2","13,4"
27/06/2014 0.00,"3,7","11,5","1,0","24,4","1,2","13,4"
27/06/2014 1.00,"1,7","8,5","1,1",,"0,9","11,1"
27/06/2014 2.00,"0,1","6,3","1,1","17,1","0,7","11,1"
27/06/2014 3.00,"1,8","8,5","1,1",,"0,8","11,1"
27/06/2014 4.00,"3,7","11,3",,"22,0","0,7","11,1"
27/06/2014 5.00,"4,4","11,9","1,1",,"0,8","11,1"
27/06/2014 6.00,"12,5","24,6","1,0","21,7","0,8","11,1"
27/06/2014 7.00,"8,6","18,0","1,0",,"1,0","11,1"
27/06/2014 8.00,"6,7","16,5","1,0","24,7","1,0","11,1"
27/06/2014 9.00,"1,4","9,0","0,9",,"0,9","11,1"
27/06/2014 10.00,"2,6","10,2","0,9","24,2","0,8","11,1"
27/06/2014 11.00,"0,4","8,8","0,8",,"0,8","11,1"
27/06/2014 12.00,"0,7","9,0","0,7","15,6","0,8","11,1"
27/06/2014 13.00,"0,8","8,5","0,7",,"1,0","11,1"
27/06/2014 14.00,"0,8","8,3","0,8","14,7","0,8","11,1"
27/06/2014 15.00,"0,6","7,9","0,7",,"0,9","11,1"
27/06/2014 16.00,"1,1","9,7","0,7","13,4","1,1","11,1"
27/06/2014 17.00,"2,3","11,2","0,8",,"1,2","11,1"
27/06/2014 18.00,"4,1","12,0","0,8","17,3","1,7","11,1"
27/06/2014 19.00,"7,4","17,1","0,9",,"1,9","11,1"
27/06/2014 20.00,"14,5","24,4","1,0","12,7","2,2","11,1"
27/06/2014 21.00,"15,6","26,6","1,0",,"2,4","11,1"
27/06/2014 22.00,"8,3","17,5","0,9","11,5","2,4","11,1"
27/06/2014 23.00,"8,2","15,7","0,9",,"2,2","11,1"
28/06/2014 0.00,"7,4","15,5","0,9","12,0","2,1","11,1"
28/06/2014 1.00,"3,6","10,5","0,9",,"1,9","9,1"
28/06/2014 2.00,"5,5","13,1","0,9","15,9","1,8","9,1"
28/06/2014 3.00,"1,1","8,2","0,9",,"1,8","9,1"
28/06/2014 4.00,"4,7","11,7","0,9","9,8","1,9","9,1"
28/06/2014 5.00,"16,2","25,2","0,9",,"1,8","9,1"
28/06/2014 6.00,"18,8","31,1","0,9","12,7","2,0","9,1"
28/06/2014 7.00,"9,7","19,4","0,9",,"1,8","9,1"
28/06/2014 8.00,"6,4","15,8","1,2","21,0","1,8","9,1"
28/06/2014 9.00,"1,2","8,4","1,1",,"0,9","9,1"
28/06/2014 10.00,"1,8","9,1","1,1","17,8","1,3","9,1"
28/06/2014 11.00,"0,1","6,1","1,1",,"1,5","9,1"
28/06/2014 12.00,"0,6","6,7","1,1","10,7","1,4","9,1"
28/06/2014 13.00,,"4,5","1,1",,"1,2","9,1"
28/06/2014 14.00,,"4,7","1,1","12,5","0,8","9,1"
28/06/2014 15.00,,"4,7","1,1",,"1,2","9,1"
28/06/2014 16.00,,"4,2","1,0","15,6","0,9","9,1"
28/06/2014 17.00,"0,6","6,8","0,9",,"0,8","9,1"
28/06/2014 18.00,"0,2","6,9","0,8","9,5","0,7","9,1"
28/06/2014 19.00,"3,3","11,6","0,8",,"0,9","9,1"
28/06/2014 20.00,"10,6","20,3","1,0","5,9","1,4","9,1"
28/06/2014 21.00,"29,9","46,6","1,2",,"2,0","9,1"
28/06/2014 22.00,"21,3","32,0","1,1","4,2","1,9","9,1"
28/06/2014 23.00,"19,9","28,7","1,0",,"2,0","9,1"
29/06/2014 0.00,"24,1","35,7","1,1","5,1","1,9","9,1"
29/06/2014 1.00,"23,6","33,0","1,1",,"1,8","14,0"
29/06/2014 2.00,"17,7","25,4","1,1","10,3","1,5","14,0"
29/06/2014 3.00,"13,6","22,2","1,1",,"1,3","14,0"
29/06/2014 4.00,"17,8","29,6",,"12,2","1,3","14,0"
29/06/2014 5.00,"13,9","23,5","1,0",,"1,4","14,0"
29/06/2014 6.00,"15,3","25,4","1,0","19,3","1,1","14,0"
29/06/2014 7.00,"9,2","17,9","1,0",,"1,6","14,0"
29/06/2014 8.00,"6,8","14,9","1,0","23,7","1,1","14,0"
29/06/2014 9.00,"4,3","11,6","1,1",,"0,9","14,0"
29/06/2014 10.00,"4,5","12,4","1,1","17,6","1,0","14,0"
29/06/2014 11.00,"3,5","11,1","0,9",,"1,1","14,0"
29/06/2014 12.00,"4,6","13,0","0,8","21,5","1,0","14,0"
29/06/2014 13.00,"1,6","9,4","0,8",,"0,8","14,0"
29/06/2014 14.00,"0,1","6,2","0,7","13,4","0,7","14,0"
29/06/2014 15.00,,"5,7","0,7",,"0,6","14,0"
29/06/2014 16.00,"0,6","7,5","0,8","14,2","0,6","14,0"
29/06/2014 17.00,"4,4","13,5","0,5",,"0,8","14,0"
29/06/2014 18.00,"6,4","16,5","0,7","9,5","0,7","14,0"
29/06/2014 19.00,"13,2","26,6","0,9",,"0,9","14,0"
29/06/2014 20.00,"22,2","37,5","1,1","6,6","1,5","14,0"
29/06/2014 21.00,"17,4","29,7","1,2",,"1,6","14,0"
29/06/2014 22.00,"6,9","14,8","1,3","5,4","2,0","14,0"
29/06/2014 23.00,"4,2","10,7","1,3",,"1,7","14,0"
30/06/2014 0.00,"2,1","10,5","1,2","12,9","1,6","14,0"
30/06/2014 1.00,"1,3","8,3","1,1",,"1,5","11,7"
30/06/2014 2.00,"0,4","6,9","1,2","11,0","1,4","11,7"
30/06/2014 3.00,"3,5","13,5","1,2",,"1,5","11,7"
30/06/2014 4.00,"4,8","12,6","1,2","13,7","1,4","11,7"
30/06/2014 5.00,"4,0","11,5","1,2",,"1,4","11,7"
30/06/2014 6.00,"0,9","7,9","1,1","22,2","1,4","11,7"
30/06/2014 7.00,"17,0","32,2","1,2",,"1,4","11,7"
30/06/2014 8.00,"23,3","39,4","1,3","27,6","1,7","11,7"
30/06/2014 9.00,"26,9","47,8","1,3",,"2,0","11,7"
30/06/2014 10.00,"9,5","19,9","1,1","23,0","1,4","11,7"
30/06/2014 11.00,"8,6","19,4","1,0",,"0,8","11,7"
30/06/2014 12.00,"8,6","19,4","0,9","20,8","0,7","11,7"
30/06/2014 13.00,"8,5","20,3","1,1",,"0,8","11,7"
30/06/2014 14.00,"0,5","7,7","1,2","24,4","0,6","11,7"
30/06/2014 15.00,"0,2","5,9","1,1",,"0,7","11,7"
30/06/2014 16.00,"1,8","10,5","1,0","23,7","0,8","11,7"
30/06/2014 17.00,"1,6","10,0","1,0",,"0,7","11,7"
30/06/2014 18.00,"0,4","6,9","1,0","25,6","0,6","11,7"
30/06/2014 19.00,"0,6","7,6","1,0",,"0,5","11,7"
30/06/2014 20.00,"2,4","10,0","1,1","15,4","0,8","11,7"
30/06/2014 21.00,"10,6","18,1","1,1",,"2,0","11,7"
30/06/2014 22.00,"12,0","20,0","1,1","12,9","1,8","11,7"
30/06/2014 23.00,"7,0","14,0","1,0",,"1,8","11,7"
01/07/2014 0.00,"5,8","13,0","1,0","15,9","1,7","11,7"
01/07/2014 1.00,"2,5","9,5","0,9",,"1,6","5,7"
01/07/2014 2.00,"2,1","8,9","1,0","20,3","1,7","5,7"
01/07/2014 3.00,"2,9","9,5","1,0",,"1,7","5,7"
01/07/2014 4.00,"4,9","12,1",,"13,4","1,6","5,7"
01/07/2014 5.00,"8,7","16,6","1,0",,"1,6","5,7"
01/07/2014 6.00,"15,6","26,5","1,1","18,6","1,8","5,7"
01/07/2014 7.00,"9,9","21,2","1,1",,"1,7","5,7"
01/07/2014 8.00,"6,5","15,4","1,0","27,1","0,9","5,7"
01/07/2014 9.00,"1,4","7,8","0,8",,"0,9","5,7"
01/07/2014 10.00,"0,4","7,5","0,8","15,1","0,8","5,7"
01/07/2014 11.00,"0,7","8,5","0,8",,"0,9","5,7"
01/07/2014 12.00,,"6,0","0,7","11,7","0,9","5,7"
01/07/2014 13.00,"0,1","7,0","0,6",,"0,6","5,7"
01/07/2014 14.00,,"5,2","0,5","7,6","0,5","5,7"
01/07/2014 15.00,,"4,8","0,4",,"0,5","5,7"
01/07/2014 16.00,"0,5","5,2","0,5","9,5","0,3","5,7"
01/07/2014 17.00,,"4,7","0,6",,,"5,7"
01/07/2014 18.00,"0,6","7,5","0,8","7,8","0,6","5,7"
01/07/2014 19.00,"2,0","10,1","0,9",,"0,7","5,7"
01/07/2014 20.00,"6,2","15,0","1,0","5,1","1,1","5,7"
01/07/2014 21.00,"5,2","13,6","1,0",,"1,3","5,7"
01/07/2014 22.00,"14,0","23,2","1,0","3,4","1,5","5,7"
01/07/2014 23.00,"14,0","23,3","1,0",,"1,3","5,7"
02/07/2014 0.00,"10,1","18,8","1,0","2,7","1,3","5,7"
02/07/2014 1.00,"11,7","21,7","1,0",,"1,3","7,5"
02/07/2014 2.00,"4,3","11,5","1,0","2,4","1,4","7,5"
02/07/2014 3.00,"8,3","16,3","1,0",,"1,4","7,5"
02/07/2014 4.00,"11,8","20,9","1,0","3,2","1,2","7,5"
02/07/2014 5.00,"22,0","34,3","1,0",,"1,4","7,5"
02/07/2014 6.00,"28,1","46,9","1,1","19,5","1,6","7,5"
02/07/2014 7.00,"15,5","27,6","1,1",,"2,0","7,5"
02/07/2014 8.00,"8,3","17,0","0,9","19,0","1,5","7,5"
02/07/2014 9.00,"2,3","9,3","0,7",,"1,0","7,5"
02/07/2014 10.00,"2,0","10,3","0,9","14,2","0,7","7,5"
02/07/2014 11.00,"4,0","13,1","1,1",,"0,9","7,5"
02/07/2014 12.00,"2,9","11,8","1,1","12,2","0,8","7,5"
02/07/2014 13.00,"2,3","10,9","1,1",,"0,9","7,5"
02/07/2014 14.00,"0,8","8,6","1,0","8,1","0,8","7,5"
02/07/2014 15.00,"1,4","9,7","0,9",,"0,7","7,5"
02/07/2014 16.00,"2,1","11,4","0,9","12,5","0,8","7,5"
02/07/2014 17.00,"4,8","15,1","0,9",,"0,8","7,5"
02/07/2014 18.00,"6,3","16,6","0,8","9,8","1,1","7,5"
02/07/2014 19.00,"7,2","18,6","0,9",,"1,2","7,5"
02/07/2014 20.00,"18,1","32,3","1,0","7,1","1,8","7,5"
02/07/2014 21.00,"18,9","29,4","1,0",,"2,2","7,5"
02/07/2014 22.00,"26,0","36,7","1,1","5,6","2,0","7,5"
02/07/2014 23.00,"22,6","32,2","1,1",,"2,9","7,5"
03/07/2014 0.00,"13,2","21,3","0,8","4,4","1,9","7,5"
03/07/2014 1.00,"6,1","13,1","0,8",,"1,7","10,3"
03/07/2014 2.00,"3,3","9,9","0,7","8,1","1,5","10,3"
03/07/2014 3.00,"3,6","9,7","0,7",,"1,4","10,3"
03/07/2014 4.00,"4,2","10,9",,"11,5","1,4","10,3"
03/07/2014 5.00,"10,8","19,7","0,8",,"1,5","10,3"
03/07/2014 6.00,"22,2","36,6","1,0","13,9","1,7","10,3"
03/07/2014 7.00,"18,2","30,0","1,1",,"1,7","10,3"
03/07/2014 8.00,"12,8","24,8","1,2","27,6","1,8","10,3"
03/07/2014 9.00,"7,2","17,2","1,1",,"1,6","10,3"
03/07/2014 10.00,"4,5","13,6","1,0","25,9","1,6","10,3"
03/07/2014 11.00,"3,6","12,3","1,1",,"1,4","10,3"
03/07/2014 12.00,"3,3","12,3","1,1","16,8","1,6","10,3"
03/07/2014 13.00,"1,0","8,8","1,0",,"1,6","10,3"
03/07/2014 14.00,"0,9","8,6","1,0","19,8","1,0","10,3"
03/07/2014 15.00,"1,1","9,4","1,1",,"0,8","10,3"
03/07/2014 16.00,"1,8","12,2","0,8","14,7","0,8","10,3"
03/07/2014 17.00,"1,8","11,9","0,7",,"0,4","10,3"
03/07/2014 18.00,"2,4","12,4","0,8","13,4","0,4","10,3"
03/07/2014 19.00,"3,9","13,0","0,9",,"1,3","10,3"
03/07/2014 20.00,"9,7","20,5","1,0","9,3","1,9","10,3"
03/07/2014 21.00,"12,4","23,0","1,1",,"1,9","10,3"
03/07/2014 22.00,"15,8","25,3","1,1","9,0","2,1","10,3"
03/07/2014 23.00,"6,2","14,9","1,1",,"1,7","10,3"
04/07/2014 0.00,"6,7","15,6","1,1","15,4","1,5","10,3"
04/07/2014 1.00,"2,1","10,3","1,1",,"1,5","10,4"
04/07/2014 2.00,"3,1","11,7","1,1","9,5","1,5","10,4"
04/07/2014 3.00,"1,2","9,2","1,1",,"1,7","10,4"
04/07/2014 4.00,"6,7","15,6","1,2","11,0","1,6","10,4"
04/07/2014 5.00,"13,7","25,3","1,2",,"1,5","10,4"
04/07/2014 6.00,"14,5","26,1","1,2","7,1","1,4","10,4"
04/07/2014 7.00,"13,2","26,8","1,2",,"1,4","10,4"
04/07/2014 8.00,"6,4","17,7","1,2","24,7","1,0","10,4"
04/07/2014 9.00,"2,9","12,4","1,1",,"0,8","10,4"
04/07/2014 10.00,"1,2","10,4","1,1","20,5","0,6","10,4"
04/07/2014 11.00,"1,1","9,8","1,1",,"0,4","10,4"
04/07/2014 12.00,"1,4","10,9","1,2","13,9","0,5","10,4"
04/07/2014 13.00,"1,5","9,8","1,1",,"0,6","10,4"
04/07/2014 14.00,"0,5","9,2","0,8","8,8","0,5","10,4"
04/07/2014 15.00,"0,3","8,4","0,7",,"0,6","10,4"
04/07/2014 16.00,"1,2","10,6","0,7","9,5","0,6","10,4"
04/07/2014 17.00,"1,9","10,2","0,6",,"0,7","10,4"
04/07/2014 18.00,"1,2","9,5","0,9","6,3","1,0","10,4"
04/07/2014 19.00,"8,5","18,2","1,0",,"1,6","10,4"
04/07/2014 20.00,"19,9","29,3","0,9","5,1","2,2","10,4"
04/07/2014 21.00,"40,5","61,7","1,0",,"2,3","10,4"
04/07/2014 22.00,"44,0","64,1","1,1","20,0","2,7","10,4"
04/07/2014 23.00,"33,2","47,5","1,0",,"2,6","10,4"
05/07/2014 0.00,"26,2","39,4","1,0","17,8","2,4","10,4"
05/07/2014 1.00,"11,2","19,7","0,9",,"2,4","11,8"
05/07/2014 2.00,"11,4","21,6","0,9","14,7","2,1","11,8"
05/07/2014 3.00,"15,2","28,5","0,8",,"2,0","11,8"
05/07/2014 4.00,"16,3","26,9",,"14,2","1,8","11,8"
05/07/2014 5.00,"39,4","62,6","1,1",,"1,9","11,8"
05/07/2014 6.00,"55,2","104,6","1,2","19,5","2,2","11,8"
05/07/2014 7.00,"45,2","72,4","1,2",,"2,8","11,8"
05/07/2014 8.00,"18,7","28,4","1,0","23,4","2,6","11,8"
05/07/2014 9.00,"15,0","26,8","0,9",,"1,9","11,8"
05/07/2014 10.00,"15,9","28,7","0,9","19,5","2,0","11,8"
05/07/2014 11.00,"7,8","17,8","0,8",,"1,7","11,8"
05/07/2014 12.00,"12,1","22,8","0,8","19,0","2,1","11,8"
05/07/2014 13.00,"9,3","19,9","0,4",,"1,7","11,8"
05/07/2014 14.00,"3,8","13,7","0,4","18,8","1,3","11,8"
05/07/2014 15.00,"2,9","12,3","0,3",,"1,4","11,8"
05/07/2014 16.00,,,"0,4","21,0","1,7","11,8"
05/07/2014 17.00,"6,8","17,9","0,5",,"1,7","11,8"
05/07/2014 18.00,"9,9","21,4","0,6","25,6","2,0","11,8"
05/07/2014 19.00,"15,9","29,3","0,8",,"2,2","11,8"
05/07/2014 20.00,"20,6","33,9","1,2","18,8","2,6","11,8"
05/07/2014 21.00,"10,5","18,9","1,0",,"2,6","11,8"
05/07/2014 22.00,"10,4","20,1","1,1","27,8","2,4","11,8"
05/07/2014 23.00,"7,9","17,2","1,1",,"2,2","11,8"
06/07/2014 0.00,"8,6","17,6","1,1","29,1","2,7","11,8"
06/07/2014 1.00,"9,0","18,5","1,0",,"2,2","11,5"
06/07/2014 2.00,"6,5","15,0","1,0","25,4","2,4","11,5"
06/07/2014 3.00,"2,7","10,5","1,0",,"2,6","11,5"
06/07/2014 4.00,,,"1,0","24,9","2,3","11,5"
06/07/2014 5.00,,,"1,0",,"2,2","11,5"
06/07/2014 6.00,,,"0,9","21,2","1,8","11,5"
06/07/2014 7.00,"3,7","12,6","0,9",,"2,3","11,5"
06/07/2014 8.00,"5,0","14,5","0,9","23,4","2,6","11,5"
06/07/2014 9.00,"1,1","9,7","1,0",,"1,5","11,5"
06/07/2014 10.00,"2,2","11,8","0,8","22,7","1,3","11,5"
06/07/2014 11.00,"1,2","9,8","0,7",,"1,4","11,5"
06/07/2014 12.00,,,"0,7","22,7","1,2","11,5"
06/07/2014 13.00,,,"0,7",,"0,7","11,5"
06/07/2014 14.00,,,"0,7","21,7","0,4","11,5"
06/07/2014 15.00,,,"0,7",,"0,9","11,5"
06/07/2014 16.00,,,"0,7","19,3","0,8","11,5"
06/07/2014 17.00,"5,1","14,5","0,8",,"0,2","11,5"
06/07/2014 18.00,,,"0,9","19,8","1,1","11,5"
06/07/2014 19.00,,,"1,0",,"1,3","11,5"
06/07/2014 20.00,"6,4","15,5","1,0","11,2","1,8","11,5"
06/07/2014 21.00,"13,3","22,7","1,0",,"2,2","11,5"
06/07/2014 22.00,"40,9","59,8","1,3","21,0","2,2","11,5"
06/07/2014 23.00,"30,0","43,6","1,3",,"2,4","11,5"
07/07/2014 0.00,"33,3","46,5","1,3","26,1","2,6","11,5"
07/07/2014 1.00,"17,4","27,8","1,2",,"2,1","12,0"
07/07/2014 2.00,"14,0","23,0","1,1","22,7","2,0","12,0"
07/07/2014 3.00,"16,2","27,2","1,0",,"1,9","12,0"
07/07/2014 4.00,"14,2","25,2",,"17,3","1,8","12,0"
07/07/2014 5.00,"23,7","36,7","1,1",,"1,8","12,0"
07/07/2014 6.00,"31,8","50,4","1,2","25,2","2,1","12,0"
07/07/2014 7.00,"24,2","38,7","1,2",,"2,4","12,0"
07/07/2014 8.00,"20,0","32,0","1,0","41,8","2,0","12,0"
07/07/2014 9.00,"4,9","14,0","0,6",,"1,5","12,0"
07/07/2014 10.00,"2,9","12,0","0,4","26,1","1,4","12,0"
07/07/2014 11.00,"4,2","13,7","0,4",,"1,5","12,0"
07/07/2014 12.00,"4,8","14,6","0,8","16,1","1,6","12,0"
07/07/2014 13.00,"3,3","12,7","0,8",,"1,5","12,0"
07/07/2014 14.00,"2,1","11,1","0,8","21,7","1,7","12,0"
07/07/2014 15.00,"1,1","9,8","0,7",,"1,5","12,0"
07/07/2014 16.00,"2,9","12,7","0,8","25,9","1,5","12,0"
07/07/2014 17.00,"4,5","15,2","0,9",,"1,6","12,0"
07/07/2014 18.00,"7,1","18,1","1,0","19,8","1,9","12,0"
07/07/2014 19.00,"19,5","34,8","1,1",,"1,9","12,0"
07/07/2014 20.00,"18,0","30,7","1,0","11,7","3,3","12,0"
07/07/2014 21.00,"17,4","29,9","0,9",,"2,8","12,0"
07/07/2014 22.00,"18,2","29,4","1,0","13,9","2,5","12,0"
07/07/2014 23.00,"9,9","20,6","0,9",,"2,6","12,0"
08/07/2014 0.00,"10,8","20,4","1,0","18,3","2,1","12,0"
08/07/2014 1.00,"9,3","18,4","1,0",,"2,0","12,7"
08/07/2014 2.00,"10,3","19,0","1,3","11,7","2,0","12,7"
08/07/2014 3.00,"17,3","30,8","1,4",,"1,7","12,7"
08/07/2014 4.00,"8,2","18,0","1,2","13,4","1,6","12,7"
08/07/2014 5.00,"5,2","13,9","1,2",,"1,9","12,7"
08/07/2014 6.00,"9,9","22,5","1,2","20,3","1,7","12,7"
08/07/2014 7.00,"11,8","23,8","1,2",,"2,0","12,7"
08/07/2014 8.00,"22,9","43,6","1,4","29,3","2,4","12,7"
08/07/2014 9.00,"18,2","35,8","1,4",,"2,3","12,7"
08/07/2014 10.00,"11,8","24,4","1,2","27,4","1,7","12,7"
08/07/2014 11.00,"14,8","28,1","1,1",,"1,5","12,7"
08/07/2014 12.00,"2,8","11,4","1,4","29,1","1,3","12,7"
08/07/2014 13.00,"3,9","12,8","1,5",,"1,0","12,7"
08/07/2014 14.00,"2,6","11,1","1,3","24,4","0,8","12,7"
08/07/2014 15.00,"2,6","11,9","0,7",,"0,8","12,7"
08/07/2014 16.00,"1,9","10,6","1,2","27,6","1,3","12,7"
08/07/2014 17.00,"3,6","12,8","1,3",,"1,5","12,7"
08/07/2014 18.00,"8,0","17,4","0,9","16,4","1,5","12,7"
08/07/2014 19.00,"6,4","17,5","0,9",,"1,5","12,7"
08/07/2014 20.00,"6,1","17,6","1,0","10,5","1,9","12,7"
08/07/2014 21.00,"1,9","11,4","0,9",,"2,0","12,7"
08/07/2014 22.00,"0,3","8,6","1,0","7,6","1,7","12,7"
08/07/2014 23.00,"2,4","10,6","1,1",,,"12,7"
09/07/2014 0.00,"0,1","8,2","1,0","7,8","0,5","12,7"
09/07/2014 1.00,"0,4","7,8","1,0",,,"6,3"
09/07/2014 2.00,,"6,8","1,0","10,5",,"6,3"
09/07/2014 3.00,,"6,9","1,0",,,"6,3"
09/07/2014 4.00,,"7,3",,"13,2",,"6,3"
09/07/2014 5.00,"1,0","9,8","1,0",,,"6,3"
09/07/2014 6.00,"3,0","13,1","1,0","15,4",,"6,3"
09/07/2014 7.00,"3,4","14,6","1,0",,"1,0","6,3"
09/07/2014 8.00,"4,4","16,4","1,0","14,2","0,9","6,3"
09/07/2014 9.00,"6,2","18,6","0,9",,"1,7","6,3"
09/07/2014 10.00,"3,2","13,7","0,9","56,7","1,1","6,3"
09/07/2014 11.00,"0,8","9,8","0,9",,"1,0","6,3"
09/07/2014 12.00,,"8,5","0,9","2,2","1,4","6,3"
09/07/2014 13.00,,"6,9","0,9",,"1,4","6,3"
09/07/2014 14.00,"0,1","7,3","0,9","6,1","1,3","6,3"
09/07/2014 15.00,"1,5","11,1","1,0",,"1,6","6,3"
09/07/2014 16.00,"0,6","9,9","1,0","2,2","1,6","6,3"
09/07/2014 17.00,"3,7","15,3","1,3",,"1,8","6,3"
09/07/2014 18.00,"9,7","23,8","1,3","2,9","2,5","6,3"
09/07/2014 19.00,"12,2","27,1","1,3",,"2,8","6,3"
09/07/2014 20.00,"19,8","33,7","1,4","2,2","2,4","6,3"
09/07/2014 21.00,"13,5","24,5","1,2",,"2,6","6,3"
09/07/2014 22.00,"0,7","9,3","1,0","5,4","2,0","6,3"
09/07/2014 23.00,"0,3","8,4","1,0",,"1,7","6,3"
10/07/2014 0.00,"0,2","8,2","1,0","2,4","1,9","6,3"
10/07/2014 1.00,"0,4","8,4","1,0",,"1,8","5,0"
10/07/2014 2.00,"2,5","10,8","1,0",,"1,7","5,0"
10/07/2014 3.00,,"6,6","1,1",,"1,9","5,0"
10/07/2014 4.00,"2,0","10,8","1,1",,"1,7","5,0"
10/07/2014 5.00,"3,7","12,5","1,1",,"1,8","5,0"
10/07/2014 6.00,"11,6","26,7","1,0",,"1,9","5,0"
10/07/2014 7.00,"10,4","24,5","0,9",,"1,7","5,0"
10/07/2014 8.00,"8,7","22,6","0,9",,"1,7","5,0"
10/07/2014 9.00,"10,7","25,7","0,6",,"1,5","5,0"
10/07/2014 10.00,"9,1","23,2","0,5",,"1,5","5,0"
10/07/2014 11.00,"7,0","20,3","0,4",,"1,5","5,0"
10/07/2014 12.00,"7,6","21,9","0,2",,"1,2","5,0"
10/07/2014 13.00,"5,1","16,2","0,4",,"1,3","5,0"
10/07/2014 14.00,"0,8","9,2","0,5",,"1,4","5,0"
10/07/2014 15.00,"2,9","12,3","0,7",,"1,8","5,0"
10/07/2014 16.00,"10,4","21,9","0,8",,"2,0","5,0"
10/07/2014 17.00,"7,6","18,1","0,7",,"2,1","5,0"
10/07/2014 18.00,"11,4","22,0","0,8",,"1,7","5,0"
10/07/2014 19.00,"10,4","20,2","0,8",,"2,0","5,0"
10/07/2014 20.00,"6,1","15,0","0,8",,"1,8","5,0"
10/07/2014 21.00,"16,4","27,2","0,9",,"2,1","5,0"
10/07/2014 22.00,"12,2","22,6","0,9",,"2,0","5,0"
10/07/2014 23.00,"5,4","14,1","0,6",,"1,7","5,0"
11/07/2014 0.00,"2,6","11,1","0,4",,"1,4","5,0"
11/07/2014 1.00,"1,1","9,4","0,4",,"1,4","4,4"
11/07/2014 2.00,"0,6","8,6","0,4",,"1,3","4,4"
11/07/2014 3.00,"1,4","9,3","0,4",,"2,0","4,4"
11/07/2014 4.00,"0,9","9,2",,,"1,9","4,4"
11/07/2014 5.00,"2,2","11,2","0,5",,"1,8","4,4"
11/07/2014 6.00,"5,0","15,5","0,4",,"1,6","4,4"
11/07/2014 7.00,"6,0","17,5","0,4",,"1,7","4,4"
11/07/2014 8.00,"6,9","19,1","0,4",,"1,7","4,4"
11/07/2014 9.00,"9,7","22,9","0,5",,"1,4","4,4"
11/07/2014 10.00,"6,9","18,4","0,4",,"1,2","4,4"
11/07/2014 11.00,"2,0","11,5","0,4",,"0,9","4,4"
11/07/2014 12.00,"1,8","11,4","0,5",,"1,3","4,4"
11/07/2014 13.00,"0,7","9,7","0,5",,"1,5","4,4"
11/07/2014 14.00,"0,6","10,0","0,7",,"1,5","4,4"
11/07/2014 15.00,"2,1","12,5","1,1",,"1,7","4,4"
11/07/2014 16.00,"0,6","9,3","1,1",,"1,3","4,4"
11/07/2014 17.00,"0,5","8,6","1,0",,"0,8","4,4"
11/07/2014 18.00,"0,9","9,8","0,9",,"1,0","4,4"
11/07/2014 19.00,"2,1","11,1","1,3",,"2,0","4,4"
11/07/2014 20.00,"4,6","13,9","1,4",,"1,8","4,4"
11/07/2014 21.00,"16,3","28,1","1,4",,"2,0","4,4"
11/07/2014 22.00,"15,2","28,8","1,4",,"2,2","4,4"
11/07/2014 23.00,"12,4","21,7","1,4",,"1,9","4,4"
12/07/2014 0.00,"8,5","17,8","1,3",,"2,0","4,4"
12/07/2014 1.00,"10,1","19,5","1,3",,"1,9","6,1"
12/07/2014 2.00,"7,4","15,9","1,2",,"1,8","6,1"
12/07/2014 3.00,"9,4","18,7","1,0",,"1,8","6,1"
12/07/2014 4.00,"5,2","13,6","1,0",,"1,7","6,1"
12/07/2014 5.00,"8,6","17,4","1,1",,"1,7","6,1"
12/07/2014 6.00,"12,6","23,7","1,2",,"1,9","6,1"
12/07/2014 7.00,"7,5","18,0","1,1",,"2,0","6,1"
12/07/2014 8.00,"5,0","15,0","1,0",,"2,1","6,1"
12/07/2014 9.00,"2,1","10,8","1,3",,"2,1","6,1"
12/07/2014 10.00,"1,2","9,7","1,2",,"1,8","6,1"
12/07/2014 11.00,"0,2","8,2","1,2",,"1,8","6,1"
12/07/2014 12.00,,"7,7","1,2",,"1,8","6,1"
12/07/2014 13.00,,"7,1","1,1",,"1,7","6,1"
12/07/2014 14.00,"0,2","8,0","0,9",,"1,3","6,1"
12/07/2014 15.00,,"7,7","0,7",,"1,6","6,1"
12/07/2014 16.00,"0,4","9,0","0,9",,"1,7","6,1"
12/07/2014 17.00,"3,1","12,8","1,2",,"1,6","6,1"
12/07/2014 18.00,"3,9","14,2","1,4",,"2,1","6,1"
12/07/2014 19.00,"13,0","26,3","1,5",,"2,5","6,1"
12/07/2014 20.00,"26,6","43,1","1,5",,"3,1","6,1"
12/07/2014 21.00,"35,9","53,1","1,6",,"3,9","6,1"
12/07/2014 22.00,"19,4","30,6","1,5",,"3,0","6,1"
