, Bari,,,
,Corso Cavour,,,
Parm,CO,,PM10,BENZENE



14/01/2009 5.00,"0,19819213",,,"0,37844604"
14/01/2009 6.00,"0,19451423",,"58,6080513","0,53743365"
14/01/2009 7.00,"0,3477758",,,"0,80013085"
14/01/2009 8.00,"0,51229827",,"70,81806183","0,98133279"
14/01/2009 9.00,"0,91933762",,,"1,92172727"
14/01/2009 10.00,"0,88426413",,"65,93405151","3,42438545"
14/01/2009 11.00,"0,59870981",,,"2,96452347"
14/01/2009 12.00,"0,47513943",,"55,18925095","2,08995737"
14/01/2009 13.00,"0,50213597",,,"1,8856736"
14/01/2009 14.00,"0,57117038",,"46,39804077","2,25149664"
14/01/2009 15.00,"0,36813651",,,"2,07970907"
14/01/2009 16.00,"0,35657155",,"38,0952301","1,17917489"
14/01/2009 17.00,"0,47756496",,,"1,67315111"
14/01/2009 18.00,"0,7011238",,"31,25761986","2,33447977"
14/01/2009 19.00,"0,72144839",,,"2,85232905"
14/01/2009 20.00,"0,66457309",,"24,90842056","2,72451859"
14/01/2009 21.00,"0,85939021",,,"3,26012368"
14/01/2009 22.00,"0,87235783",,"24,90842056","3,62267401"
14/01/2009 23.00,"1,02114464",,,"4,45699233"
15/01/2009 0.00,"1,0447289",,"29,7924099","4,7224995"
15/01/2009 1.00,"1,19290874",,,"4,97724071"
15/01/2009 2.00,"0,96946407",,"31,74603081","4,93548473"
15/01/2009 3.00,,,,"3,76306069"
15/01/2009 4.00,"0,46009229",,"22,95482063","2,48127558"
15/01/2009 5.00,"0,3038355",,,"1,71530678"
15/01/2009 6.00,"0,28384876",,"15,62880993","1,18654916"
15/01/2009 7.00,"0,4060526",,,"1,36085075"
15/01/2009 8.00,"0,64798931",,"17,09399986","2,03479326"
15/01/2009 9.00,"1,02770708",,,"3,36652934"
15/01/2009 10.00,"1,24802256",,"23,93161964","4,94128976"
15/01/2009 11.00,"1,26166355",,,"6,53505589"
15/01/2009 12.00,"1,3771034",,"24,42000961","7,2858897"
15/01/2009 13.00,"1,15237956",,,"8,20883246"
15/01/2009 14.00,"1,24851652",,"26,86202049","6,22100527"
15/01/2009 15.00,"0,90706201",,,"6,28365044"
15/01/2009 16.00,"0,75812375",,"28,81562042","4,94384752"
15/01/2009 17.00,"1,25113777",,,"5,76448923"
15/01/2009 18.00,"1,6585208",,"25,88521957","7,96573183"
15/01/2009 19.00,"1,61911584",,,"8,86944006"
15/01/2009 20.00,"1,32911122",,"26,37360954","7,82830055"
15/01/2009 21.00,"2,26600189",,,"8,91753501"
