,ARPA Puglia,,,,
,Molfetta Verdi,,,,
Parm,SO2,NO2,,,PM10



12/01/2008 23.00,"5,26370382","51,41534805",,,"21,72986984"
13/01/2008 0.00,"5,0541501","41,0513202",,,"21,72986984"
13/01/2008 1.00,"3,84122491","37,89116496",,,"17,44618988"
13/01/2008 2.00,"4,62083578","35,57117718",,,"17,44618988"
13/01/2008 3.00,"4,48054123","36,30151305",,,"17,44618988"
13/01/2008 4.00,"4,25500488","36,30151305",,,"17,44618988"
13/01/2008 5.00,"4,56578398","40,16519991",,,"17,44618988"
13/01/2008 6.00,"4,62616301","23,85115524",,,"17,44618988"
13/01/2008 7.00,"3,94422603","25,46890929",,,"17,44618988"
13/01/2008 8.00,"3,99572706","33,27671457",,,"17,44618988"
13/01/2008 9.00,"3,98507094","35,5698981",,,"17,44618988"
13/01/2008 10.00,"4,52316189","41,61441636",,,"17,44618988"
13/01/2008 11.00,"4,33314419","55,53567855",,,"17,44618988"
13/01/2008 12.00,"3,89272594","75,64956894",,,"17,44618988"
13/01/2008 13.00,"4,46811008","79,57453878",,,"17,44618988"
13/01/2008 14.00,"5,00087404","86,72606316",,,"17,44618988"
13/01/2008 15.00,"5,1393919","89,22096513",,,"17,44618988"
13/01/2008 16.00,"4,25500488","51,86991051",,,"17,44618988"
13/01/2008 17.00,"3,61568904","43,02785619",,,"17,44618988"
13/01/2008 18.00,"3,98151898","44,75412513",,,"17,44618988"
13/01/2008 19.00,"3,93889904","59,53981968",,,"17,44618988"
13/01/2008 20.00,"4,44147205","86,39664363",,,"17,44618988"
13/01/2008 21.00,"3,79327607","102,70421766",,,"17,44618988"
13/01/2008 22.00,"4,40595388","94,20572799",,,"17,44618988"
13/01/2008 23.00,"4,08629704","89,53381305",,,"17,44618988"
14/01/2008 0.00,"3,0775969","79,16466888",,,"17,44618988"
14/01/2008 1.00,,"67,24548666",,,"28,58065033"
14/01/2008 2.00,"3,62456799",,,,"28,58065033"
14/01/2008 3.00,"4,27453899","45,07716807",,,"28,58065033"
14/01/2008 4.00,"3,78617311","30,32085474",,,"28,58065033"
14/01/2008 5.00,"3,47006702","24,94540818",,,"28,58065033"
14/01/2008 6.00,"4,22836685","25,5761451",,,"28,58065033"
14/01/2008 7.00,"3,8714149","31,58108712",,,"28,58065033"
14/01/2008 8.00,"4,38641977","55,23052392",,,"28,58065033"
14/01/2008 9.00,"4,85880423","89,49167865",,,"28,58065033"
14/01/2008 10.00,"4,508955","93,52518219",,,"28,58065033"
14/01/2008 11.00,"4,38641977","90,85916565",,,"28,58065033"
14/01/2008 12.00,"3,77551794","81,39021165",,,"28,58065033"
14/01/2008 13.00,"3,42922091","79,00122879",,,"28,58065033"
14/01/2008 14.00,"3,56773996","81,39021165",,,"28,58065033"
14/01/2008 15.00,"2,69755912","83,27734371",,,"28,58065033"
14/01/2008 16.00,"2,82187104","56,30305131",,,"28,58065033"
14/01/2008 17.00,"2,8680439","70,00470675",,,"28,58065033"
