Stat,Francavilla Fontana,,,,,,  ,
,,,,,,,,,,,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,
05/01/2014 18.00,"30,5","40,6","0,4","62,6","0,7",,,
05/01/2014 19.00,"42,4","55,9","0,7","50,2","1,2",,,
05/01/2014 20.00,"47,5","62,3","0,6","46,9","1,3",,,
05/01/2014 21.00,"71,3","99,3","0,8","31,8","1,8",,,
05/01/2014 22.00,"47,7","65,0","0,7","41,3","2,0",,,
05/01/2014 23.00,"41,8","53,1","0,7","41,8","1,2",,,
06/01/2014 0.00,"44,1","47,3","0,7","37,8","1,1",,,
06/01/2014 1.00,"27,4","29,1","0,4","39,4","1,1",,,
06/01/2014 2.00,"19,7","21,1","0,3","42,3","0,7",,,
06/01/2014 3.00,"14,0","14,7","0,3","46,3","0,5",,,
06/01/2014 4.00,"13,0","13,6","0,3","45,3","0,4",,,
06/01/2014 5.00,"11,5","12,0","0,2",,"0,4",,,
06/01/2014 6.00,"16,1","17,0","0,2","43,6","0,4",,,
06/01/2014 7.00,"21,7","22,5","0,2","47,5","0,3",,,
06/01/2014 8.00,"24,0","26,9","0,3","37,9","0,3",,,
06/01/2014 9.00,"26,5","32,5","0,3","39,0","1,0",,,
06/01/2014 10.00,"20,3","28,5","0,3","49,5","0,7",,,
06/01/2014 11.00,"17,3","24,9","0,2","69,9","0,4",,,
06/01/2014 12.00,"20,1","25,2","0,2","66,9","0,3",,,
06/01/2014 13.00,"17,7","21,7","0,3","71,0","0,5",,,
06/01/2014 14.00,"16,4","20,8","0,2","74,9","0,4",,,
06/01/2014 15.00,"12,4","14,5","0,4","77,2","0,5",,,
06/01/2014 16.00,"15,7","17,9","0,4","75,5","0,6",,,
06/01/2014 17.00,"26,8","28,8","0,6","67,2","1,3",,,
06/01/2014 18.00,"34,6","37,2","0,9","56,1","2,3",,,
06/01/2014 19.00,"44,1","47,9","0,9","40,8","2,6",,,
06/01/2014 20.00,"50,3","53,8","1,0","38,5","3,0",,,
06/01/2014 21.00,"55,5","62,0","1,1","30,1","2,8",,,
06/01/2014 22.00,"57,4","62,9","0,9","32,8","2,5",,,
06/01/2014 23.00,"49,5","55,1","0,8","34,5","2,1",,,
07/01/2014 0.00,"30,3","31,6","0,7","39,5","1,5",,,
07/01/2014 1.00,"18,8","19,5","0,4","46,5","0,8",,,
07/01/2014 2.00,"12,1","12,4","0,2","55,3","0,4",,,
