MARTINA FRANCA,,,,
,NO2,CO,O3,PM10
10/01/2011 16.00,"14,232459","0,214663","69,351029",
10/01/2011 17.00,"15,974202","0,202901","65,80793",
10/01/2011 18.00,"13,586119","0,22194","69,145026",
10/01/2011 19.00,"16,381738","0,231924","68,87664",
10/01/2011 20.00,"14,167562","0,21754","70,835247",
10/01/2011 21.00,"9,596467","0,147058","72,876549",
10/01/2011 22.00,"5,586042","0,103397","73,933782",
10/01/2011 23.00,"3,358892","0,136706","73,125924",
11/01/2011 0.00,"2,133702","0,092708","77,312894",
11/01/2011 1.00,"1,157703","0,060145","78,993641",
11/01/2011 2.00,"1,595623","0,321995","64,872591",
11/01/2011 3.00,"0,864383","0,111703","61,385131",
11/01/2011 4.00,"1,051277","0,093835","60,701983",
11/01/2011 5.00,"5,544509","0,08275","57,085669",
11/01/2011 6.00,"10,601009","0,104243","53,169801",
11/01/2011 7.00,"36,25733","0,224817","36,729685",
11/01/2011 8.00,"38,256078","0,326437","29,05925",
11/01/2011 9.00,"36,716786","0,346152","30,937882",
11/01/2011 10.00,"18,523225","0,303677","44,184603",
11/01/2011 11.00,"16,729564","0,346236","44,873155",
11/01/2011 12.00,"27,413643","0,413758","36,119733",
11/01/2011 13.00,"34,692109","0,427803","33,515941",
11/01/2011 14.00,"33,661601","0,455811","37,018401",
11/01/2011 15.00,"33,326732","0,404788","36,061461",
11/01/2011 16.00,"39,398191","0,502941","27,978978",
11/01/2011 17.00,"42,868702","0,531623","18,081562",
11/01/2011 18.00,"43,224313","0,604983","26,073213",
11/01/2011 19.00,"45,238626","0,644498","23,145471",
11/01/2011 20.00,"42,946577","0,672928","24,847904",
11/01/2011 21.00,"37,199603","0,599568","28,361199",
11/01/2011 22.00,"21,882113","0,40682","39,208774",
11/01/2011 23.00,"17,318798","0,32026","47,876808",
12/01/2011 0.00,"22,196196","0,366375","27,314803",
12/01/2011 1.00,"22,396058","0,43068","30,901294",
12/01/2011 2.00,,"0,300856","58,75341",
12/01/2011 3.00,"9,824892",,"58,039897",
12/01/2011 4.00,"7,675616","0,134058",,
12/01/2011 5.00,"10,19608","0,156542","49,557555",
12/01/2011 6.00,"71,336239","0,291789","3,869779",
12/01/2011 7.00,"115,154978","0,911849","2,458766",
12/01/2011 8.00,"187,376373","2,505782","5,375673",
12/01/2011 9.00,"82,277279","1,301126","4,936512",
12/01/2011 10.00,"44,616882","0,601545","29,066592",
12/01/2011 11.00,"34,479268","0,427374","41,808516",
12/01/2011 12.00,"37,425431","0,431616","41,747508",
12/01/2011 13.00,"46,606567","0,543954","33,477974",
12/01/2011 14.00,"42,105547","0,539625","43,904026",
12/01/2011 15.00,"28,51683","0,3746","51,12716",
12/01/2011 16.00,"32,802406","0,392247","46,45902",
12/01/2011 17.00,"31,769294","0,393179","44,138519",
12/01/2011 18.00,"41,479977","0,464537","36,092621",
12/01/2011 19.00,"43,803174","0,550911","32,981899",
12/01/2011 20.00,"44,986814","0,54005","28,868128",
12/01/2011 21.00,"35,17233","0,472512","32,723007",
12/01/2011 22.00,"23,67836","0,331327","35,997739",
12/01/2011 23.00,"14,782755","0,265147","43,711546",
13/01/2011 0.00,"9,658764","0,202105","46,434621",
13/01/2011 1.00,"8,044212","0,206856","42,857607",
13/01/2011 2.00,"6,857956","0,175887","40,847504",
13/01/2011 3.00,"6,24536","0,181403","38,596128",
13/01/2011 4.00,"7,84953","0,203123","35,723947",
13/01/2011 5.00,"6,55685","0,194554","35,23192",
13/01/2011 6.00,"9,536765","0,222214","32,159139",
13/01/2011 7.00,"14,450502","0,345411","29,711217",
13/01/2011 8.00,"31,730367","0,53097","22,581605",
13/01/2011 9.00,"36,519506","0,674278","19,529168",
13/01/2011 10.00,"29,882189","0,596134","25,78721",
13/01/2011 11.00,"29,560321","0,475397","30,809123",
13/01/2011 12.00,"27,421425","0,508148","38,372468",
