 Brindisi,,,,
,Mesagne,,,,
Parm,SO2,NO2,PM10,NOX
,,,,,,
,,,,,,,
,,,,,,,
,,,,,,
,,,,,,,
06/01/2010 7.00,"0,50308346","8,6503182","39,09999084","13,50410037"
06/01/2010 8.00,"0,59965066","11,04488979","39,09999084","16,17846257"
06/01/2010 9.00,"0,60892061","10,86578319","39,09999084","16,52215986"
06/01/2010 10.00,"0,54619816","9,3070424","39,09999084","14,58966705"
06/01/2010 11.00,"0,60340542","9,43163788","39,09999084","14,58058887"
06/01/2010 12.00,"0,27038471","8,74506354","39,09999084","12,96585516"
06/01/2010 13.00,"0,32481963","9,81840298","39,09999084","12,38740442"
06/01/2010 14.00,"0,34910559","7,51208357","39,09999084","9,17739159"
06/01/2010 15.00,"0,33420451","6,76710527","39,09999084","9,15534432"
06/01/2010 16.00,"0,41948097","7,80150874","39,09999084","10,83881826"
06/01/2010 17.00,"0,54232847","16,71270022","39,09999084","20,3975028"
06/01/2010 18.00,"0,53886254","21,06056528","39,09999084","25,14702552"
06/01/2010 19.00,"0,93258493","21,90417792","39,09999084","26,13791952"
06/01/2010 20.00,"0,86056303","20,95412424","39,09999084","25,21706208"
06/01/2010 21.00,"0,58708868","20,66080432","39,09999084","25,03289824"
06/01/2010 22.00,"0,90278276","22,38697704","39,09999084","27,06785896"
06/01/2010 23.00,"0,8825109","12,24542121","39,09999084","16,60646377"
07/01/2010 0.00,"0,85140901","15,35641538","39,09999084","19,61283712"
07/01/2010 1.00,"0,7857403","13,70422367","29,39999962","18,43519808"
07/01/2010 2.00,"1,01996964","6,42836006","29,39999962","11,23958302"
07/01/2010 3.00,"1,11988786","5,91180649","29,39999962","10,61833215"
07/01/2010 4.00,"0,79850467","5,0759776","29,39999962","9,66635309"
07/01/2010 5.00,"1,15249084","5,41602106","29,39999962","9,9361229"
07/01/2010 6.00,"1,1523749","7,17204202","29,39999962","11,64294236"
07/01/2010 7.00,"1,0432742","14,1701666","29,39999962","19,33010968"
07/01/2010 8.00,"1,1233243","21,58489304","29,39999962","27,41804176"
07/01/2010 9.00,"1,22497447","22,81658432","29,39999962","28,67869984"
07/01/2010 10.00,"0,93376872","19,03070004","29,39999962","24,04848592"
07/01/2010 11.00,"1,13773417","18,32724465","29,39999962","23,28846592"
07/01/2010 12.00,"0,87506036","18,19875442","29,39999962","23,73073064"
07/01/2010 13.00,"0,8341973","14,81650482","29,39999962","19,45720032"
07/01/2010 14.00,"0,760357","11,1642961","29,39999962","14,24856434"
07/01/2010 15.00,"0,80575283","11,03320174","29,39999962","14,15129134"
07/01/2010 16.00,"0,92932138","14,54265097","29,39999962","18,18488095"
07/01/2010 17.00,"1,10334025","27,53694904","29,39999962","32,04305504"
07/01/2010 18.00,"0,88938379","31,74334904","29,39999962","36,92486904"
07/01/2010 19.00,"1,08032452","35,60061784","29,39999962","41,723664"
07/01/2010 20.00,"1,26372827","35,66421096","29,39999962","42,47980264"
07/01/2010 21.00,"1,1991864","27,53694904","29,39999962","33,5916412"
07/01/2010 22.00,"0,88791117","20,31817392","29,39999962","25,34029048"
07/01/2010 23.00,"1,19459464","12,3596307","29,39999962","16,99555577"
08/01/2010 0.00,"0,87861173","10,97090878","29,39999962","15,45086053"
08/01/2010 1.00,,"8,69574541","33,29999161","13,3692145"
08/01/2010 2.00,"0,74152623",,"33,29999161",
08/01/2010 3.00,"0,92850981","7,58865917","33,29999161","13,27712876"
08/01/2010 4.00,"0,67323569","5,09804208","33,29999161","9,96076476"
