,Provincia di TARANTO,
,TAR v.Alto Adige,
Parm,SO2,NO2



16/01/2005 14.00,"1,456918","24,298748"
16/01/2005 15.00,"1,247428","14,581586"
16/01/2005 16.00,"1,033618","14,501118"
16/01/2005 17.00,"1,19229","17,966439"
16/01/2005 18.00,"1,223921","28,568759"
16/01/2005 19.00,"1,539538","35,282651"
16/01/2005 20.00,"1,641689","49,983638"
16/01/2005 21.00,"2,113558","48,640342"
16/01/2005 22.00,"2,226254","38,792088"
16/01/2005 23.00,"1,966639","34,54804"
17/01/2005 0.00,"1,915822","30,019775"
17/01/2005 1.00,"1,875031","23,330549"
17/01/2005 2.00,"1,66848","15,567971"
17/01/2005 3.00,"1,571514","11,639311"
17/01/2005 4.00,"1,520352","8,56985"
17/01/2005 5.00,"3,018751","20,006689"
17/01/2005 6.00,"6,115281","33,542195"
17/01/2005 7.00,"7,91979","54,00704"
17/01/2005 8.00,"5,755762","48,087447"
17/01/2005 9.00,"4,912275","63,197278"
17/01/2005 10.00,"21,956581","90,12684"
17/01/2005 11.00,"32,208063","82,396699"
17/01/2005 12.00,"21,242729","66,732681"
17/01/2005 13.00,"10,787299","59,682637"
17/01/2005 14.00,"7,150626","60,412047"
17/01/2005 15.00,"5,138702","46,359974"
17/01/2005 16.00,"3,971994","41,459212"
17/01/2005 17.00,"2,963785","52,735139"
17/01/2005 18.00,"3,761122","74,160397"
17/01/2005 19.00,"7,957816","77,781478"
17/01/2005 20.00,"8,448698","70,640559"
17/01/2005 21.00,"8,588702","85,389589"
17/01/2005 22.00,"12,052527","90,452584"
17/01/2005 23.00,"8,66994","70,479623"
18/01/2005 0.00,"7,78497","60,139493"
18/01/2005 1.00,,"62,913036"
18/01/2005 2.00,"8,168176",
18/01/2005 3.00,"8,280448","54,688418"
18/01/2005 4.00,"6,290652","36,065251"
18/01/2005 5.00,"6,238835","54,696218"
18/01/2005 6.00,"6,884827","52,561221"
18/01/2005 7.00,"7,820998","68,809285"
18/01/2005 8.00,"8,061087","77,002737"
18/01/2005 9.00,"8,299447","81,634843"
18/01/2005 10.00,"9,016257","66,000671"
18/01/2005 11.00,"7,119733","47,625413"
18/01/2005 12.00,"7,074824","53,179008"
18/01/2005 13.00,"4,958941","44,658467"
18/01/2005 14.00,"2,342153","39,152904"
18/01/2005 15.00,"0,864776","29,01391"
18/01/2005 16.00,"0,639083","36,365073"
18/01/2005 17.00,"0,4416","54,816904"
18/01/2005 18.00,"0,533145","88,125493"
18/01/2005 19.00,"0,757112","100,831667"
18/01/2005 20.00,"1,296014","107,619476"
18/01/2005 21.00,"1,2085","108,515004"
18/01/2005 22.00,"1,802099","98,050338"
18/01/2005 23.00,"1,222318","81,813961"
19/01/2005 0.00,"0,884928","69,221992"
19/01/2005 1.00,"0,861322","51,7695"
19/01/2005 2.00,"0,788778","44,749328"
19/01/2005 3.00,"0,557326","31,64731"
19/01/2005 4.00,"0,542357","14,859329"
19/01/2005 5.00,"0,450236","10,113019"
