STATTE - SS7 PONTE WIND,,,,,
,SO2,NO2,PM10,CO,BENZENE
06/01/2011 17.00,"1,034625","24,429834",,"0,297102","2,771289"
06/01/2011 18.00,"0,378279","10,84307","22,954821","0,317139","0,915916"
06/01/2011 19.00,"1,84174","20,930108",,"0,53118","7,346688"
06/01/2011 20.00,"4,838179","17,015748","31,01343","0,539815","12,111513"
06/01/2011 21.00,,"18,76788",,"0,653669","5,425641"
06/01/2011 22.00,"0,483908","26,547315","36,874222","0,689727","5,940362"
06/01/2011 23.00,"3,541738","28,193013",,"0,724081","6,831417"
07/01/2011 0.00,,"15,053366","38,09523","0,662971","10,478578"
07/01/2011 1.00,"3,101165","10,030604",,"0,519195","2,289349"
07/01/2011 2.00,,"3,724245","26,617821","0,366119","6,545069"
07/01/2011 3.00,"2,845669","3,990308",,"0,304758","3,380726"
07/01/2011 4.00,"0,287997","2,852073","23,19902","0,271759","1,044183"
07/01/2011 5.00,"3,054219","3,4452",,"0,305424","3,405808"
07/01/2011 6.00,"2,680454","3,697638","12,69841","0,31023","2,580867"
07/01/2011 7.00,"2,569408","15,987833",,"0,300681","3,680825"
07/01/2011 8.00,,"21,191651","15,38461","0,282101","0,117048"
07/01/2011 9.00,,"14,852198",,"0,29471","7,483096"
07/01/2011 10.00,,"26,07683","11,72161","0,42392","3,76608"
07/01/2011 11.00,,"36,229435",,"0,413995","0,079205"
07/01/2011 12.00,"6,734087","19,91388","20,26862","0,338403","0,546513"
07/01/2011 13.00,"2,854697","20,508323",,"0,334783","1,356933"
07/01/2011 14.00,"4,542958","20,769825","25,64102","0,310377","1,157821"
07/01/2011 15.00,"6,190594","26,41688",,"0,33651","2,059325"
07/01/2011 16.00,"8,007957","42,947229","21,24542","0,348058","0,079205"
07/01/2011 17.00,"4,93478","31,529856",,"0,384117","0,079205"
07/01/2011 18.00,"11,701367","31,41758","36,630032","0,629887","0,136849"
07/01/2011 19.00,"6,095798","41,115934",,"0,449929","0,079205"
07/01/2011 20.00,"1,799308","23,284469","34,67643","0,501509","0,079205"
07/01/2011 21.00,"6,008225","19,749048",,"0,52964","2,255797"
07/01/2011 22.00,"3,626602","19,117007","34,920631","0,402926","1,14473"
07/01/2011 23.00,"3,185127","14,187032",,"0,323319","1,925228"
08/01/2011 0.00,"1,331651","4,352413","11,47741","0,27128","2,540386"
08/01/2011 1.00,,"6,515318",,"0,248851","0,249825"
08/01/2011 2.00,"0,699681",,"7,570208","0,247207","2,358213"
08/01/2011 3.00,"1,587146","20,333757",,,"2,613759"
08/01/2011 4.00,"3,55528","8,645775","18,80341","0,303263","1,605877"
08/01/2011 5.00,"4,156554","8,3862",,"0,395912","2,696924"
08/01/2011 6.00,"2,367177","13,869059","17,094","0,246362","5,526517"
08/01/2011 7.00,"3,401802","39,880341",,"0,215515","1,083126"
08/01/2011 8.00,"3,084915","37,553264","24,908421","0,215935","0,079205"
08/01/2011 9.00,"3,225753","31,421464",,"0,200521","0,079205"
08/01/2011 10.00,"4,16468","24,801679","23,44322","0,227226","0,079205"
08/01/2011 11.00,"1,333456","19,126079",,"0,23526","1,083017"
08/01/2011 12.00,"3,390066","14,669196","23,44322","0,147939","3,197784"
08/01/2011 13.00,"8,873756","24,806862",,"0,154031","0,609218"
08/01/2011 14.00,"2,50892","20,666005","20,02442","0,150197","0,096476"
08/01/2011 15.00,"0,672596","15,333052",,"0,105543","0,079205"
08/01/2011 16.00,"0,745724","24,253317","16,11721","0,124233","0,079205"
08/01/2011 17.00,"0,939829","29,426635",,"0,163776","2,633561"
08/01/2011 18.00,"2,113487","31,60446","23,68742","0,235911","2,79197"
08/01/2011 19.00,"5,393409","41,381987",,"0,217722","1,034063"
08/01/2011 20.00,"2,05661","32,911429","26,617821","0,244848","0,550914"
08/01/2011 21.00,"1,879658","13,273985",,"0,21871","0,134538"
08/01/2011 22.00,"4,291074","7,686647","28,571421","0,186454","0,079205"
08/01/2011 23.00,"3,448748","11,762614",,"0,293212","2,277139"
09/01/2011 0.00,"3,627506","13,009213","28,08301","0,212318","0,112207"
09/01/2011 1.00,"5,338338","12,443996",,"0,263563","0,079205"
09/01/2011 2.00,"5,035895","32,473387","23,93162","0,341492","0,079205"
09/01/2011 3.00,"6,694363","16,777585",,"0,358567","0,174031"
09/01/2011 4.00,"8,839449","16,736704","3,174603","0,316138","0,301969"
09/01/2011 5.00,"11,53344","17,353199",,"0,392022","0,201312"
09/01/2011 6.00,"3,483055","16,442088","36,874222","0,505929","0,115067"
09/01/2011 7.00,"3,67084","52,994693",,"1,255213","0,176671"
09/01/2011 8.00,"7,099727","59,618394","52,014641","1,368512","0,293388"
09/01/2011 9.00,"10,972788","59,334159",,"1,578831","0,447398"
09/01/2011 10.00,"20,696997","63,556143","73,748459","1,663005","0,876423"
09/01/2011 11.00,"11,508158","57,060293",,"1,136407","0,357632"
09/01/2011 12.00,"13,126002","64,61715","68,864471","1,2791","0,333321"
09/01/2011 13.00,"15,582554","60,308207",,"1,113044","0,247515"
09/01/2011 14.00,"11,913524","52,410004","77,411461","1,009251","0,538262"
09/01/2011 15.00,"13,820266","36,424764",,"0,387017","0,423635"
09/01/2011 16.00,"8,741945","29,658961","55,433441","0,269619","0,343991"
09/01/2011 17.00,"9,493086","27,581057",,"0,244596","0,118917"
09/01/2011 18.00,"6,056074","43,44431","45,421242","0,324292","0,296358"
09/01/2011 19.00,"6,711517","43,964106",,"0,277988","0,132888"
09/01/2011 20.00,"6,187885","40,457251","44,200241","0,29399","0,104727"
09/01/2011 21.00,"8,983899","32,98282",,"0,27271","0,079205"
09/01/2011 22.00,"3,906475","41,449483","39,56044","0,237194","0,254995"
09/01/2011 23.00,"0,195008","20,337637",,"0,255046","0,079205"
10/01/2011 0.00,"3,220337","22,167001","34,18803","0,262091","0,079205"
10/01/2011 1.00,,"20,706883",,"0,276221","0,116057"
10/01/2011 2.00,"5,34556",,"26,86202","0,284591","1,363093"
10/01/2011 3.00,"1,613328","55,594992",,,"0,841551"
10/01/2011 4.00,"3,892932","55,438593","49,08424","0,915761","0,588866"
10/01/2011 5.00,"2,737331","43,935559",,"0,744489","0,547503"
10/01/2011 6.00,"5,14965","40,483213","54,45665","0,666046","0,372593"
10/01/2011 7.00,"8,376306","55,023917",,"0,865905","0,49393"
10/01/2011 8.00,"7,310985","57,366595","54,700851","0,765279","0,49239"
10/01/2011 9.00,"3,686189","57,784499",,"0,527477","0,364232"
10/01/2011 10.00,"6,985972","54,617042","58,36385","0,529909","0,389314"
10/01/2011 11.00,"7,422934","45,50598",,"0,612241","0,475119"
10/01/2011 12.00,"11,215648","46,102353","51,526241","0,331339","0,411095"
10/01/2011 13.00,"5,84933","49,07966",,"0,24115","0,396245"
10/01/2011 14.00,"5,397924","36,5831","43,46764","0,217698","0,606247"
10/01/2011 15.00,"7,489742","38,642188",,"0,370591","0,297018"
10/01/2011 16.00,"10,248736","26,240364","38,09523","0,226742","1,584096"
10/01/2011 17.00,"2,231755","46,315198",,"0,215442","0,910856"
10/01/2011 18.00,"2,65698","52,904502","36,630032","0,378035","0,198122"
10/01/2011 19.00,"2,461973","33,302087",,"0,194506","0,115947"
10/01/2011 20.00,"2,638925","21,405796","30,28083","0,135326","0,199663"
10/01/2011 21.00,"2,350927","30,77708",,"0,169443","0,321329"
10/01/2011 22.00,"3,253741","23,736772","32,234421","0,226482","0,195591"
10/01/2011 23.00,"3,239295","15,549153",,"0,212084","0,247515"
11/01/2011 0.00,"3,617575","25,464245","36,874222","0,161324","0,258626"
11/01/2011 1.00,"1,050875","21,409696",,"0,180442","0,289428"
11/01/2011 2.00,"2,563088","19,048866","29,05983","0,135326","0,128598"
11/01/2011 3.00,"3,921822","16,348639",,"0,159224","2,006413"
11/01/2011 4.00,"4,361493","36,133396","33,211231","0,124265","1,596417"
11/01/2011 5.00,"3,580559","27,579126",,"0,154401","0,099006"
11/01/2011 6.00,"4,606156","33,758289","27,59462","0,178934","0,367973"
11/01/2011 7.00,"9,113002","53,212107",,"0,193103","0,16655"
11/01/2011 8.00,"9,391068","43,747363","34,432232","0,25327","1,80191"
11/01/2011 9.00,"3,004564","38,75574",,"0,33925","0,253895"
11/01/2011 10.00,"5,414173","36,779727","44,200241","0,341983","1,995081"
11/01/2011 11.00,"6,682626","40,203529",,"0,291484","0,116388"
11/01/2011 12.00,"9,781987","35,042542","38,09523","0,219195","0,248726"
11/01/2011 13.00,"6,899302","21,71663",,"0,291297","0,091636"
11/01/2011 14.00,"9,784695","25,458393","35,89743","0,236337","0,117377"
11/01/2011 15.00,"9,497599","38,153539",,"0,243249","0,194492"
11/01/2011 16.00,"8,543326","54,805241","39,56044","0,257387","0,128707"
11/01/2011 17.00,"5,061174","43,086747",,"0,290298","0,079205"
11/01/2011 18.00,"9,425375","62,155081","42,246632","0,280881","3,315272"
11/01/2011 19.00,"18,024666","43,823936",,"0,235702","4,205337"
