,Provincia di FOGGIA,,,
,MICHELANGELO,,,
Parm,SO2,NO2,CO,PM10



06/01/2005 21.00,"0,43755611","24,53625624","0,46084488",
06/01/2005 22.00,"0,29214851","14,94628946","0,27596753",
06/01/2005 23.00,"0,35465231","13,11629132","0,31883604",
07/01/2005 0.00,"0,39199655","11,53937314","0,29770294",
07/01/2005 1.00,"0,40233334","12,60233042","0,39587749",
07/01/2005 2.00,"0,32149099","8,46731877","0,29536944",
07/01/2005 3.00,"0,40497042","8,50495649","0,27021127",
07/01/2005 4.00,"0,41955115","5,28233976","0,28683465",
07/01/2005 5.00,"0,42042983","5,52374506","0,28268958",
07/01/2005 6.00,"0,42537042","7,06042519","0,29231015",
07/01/2005 7.00,"0,4877532","11,26422487","0,27705448",
07/01/2005 8.00,"0,4053345","18,66988461","0,31158974",
07/01/2005 9.00,"0,5375862","23,89900576","0,35598789",
07/01/2005 10.00,"0,47841714","34,44292096","0,6407302",
07/01/2005 11.00,"0,45152969","27,81598632","0,38356111",
07/01/2005 12.00,"0,37417362","25,82764016","0,42651",
07/01/2005 13.00,"0,35689581","22,24550816","0,44929157",
07/01/2005 14.00,"0,37520384","19,01252266","0,31577675",
07/01/2005 15.00,"0,37656764","13,61726591","0,31259746",
07/01/2005 16.00,"0,39693815","17,62510471","0,536599",
07/01/2005 17.00,"0,4025764","15,5692726","0,32696657",
07/01/2005 18.00,"0,56459467","42,70907056","0,59266929",
07/01/2005 19.00,"0,44849903","21,35906672","0,390042",
07/01/2005 20.00,"0,50436386","48,0225568","0,58441876",
07/01/2005 21.00,"0,53837438","21,01773648","0,37398015",
07/01/2005 22.00,"0,58075073","29,35526104","0,4048142",
07/01/2005 23.00,"0,67905293","23,0709568","0,46458802",
08/01/2005 0.00,"0,75104433","43,04521928","0,50218374",
08/01/2005 1.00,,"19,605648","0,3641592",
08/01/2005 2.00,"0,95217744",,"0,32994548",
08/01/2005 3.00,"0,79429022","11,92484382",,
08/01/2005 4.00,"0,99650643","8,50884932","0,27809366",
08/01/2005 5.00,"1,01897501","10,17271378","0,26700635",
08/01/2005 6.00,"0,93001192","16,27661318","0,22958422",
08/01/2005 7.00,"1,1550008","27,38119752","0,37659557",
08/01/2005 8.00,"1,05723252","33,6758648","0,31427739",
08/01/2005 9.00,"0,98253997","34,1262364","0,51836442",
08/01/2005 10.00,"1,10611666","37,03088944","0,66705803",
08/01/2005 11.00,"1,02322607","45,25549128","0,85609559",
08/01/2005 12.00,"0,85805205","30,17290872","0,54690226",
08/01/2005 13.00,"1,07878987","30,36888872","0,42414505",
08/01/2005 14.00,"0,9327446","23,37207768","0,38552064",
08/01/2005 15.00,"1,00197179","18,59461108","0,30755185",
08/01/2005 16.00,"1,1313169","18,52712322","0,30086824",
08/01/2005 17.00,"1,15348242","36,88940144","0,5592699",
08/01/2005 18.00,"1,87733115","72,05654976","1,40255748",
08/01/2005 19.00,"1,64293096","58,67549424","1,04669542",
08/01/2005 20.00,"1,48595497","51,6903464","0,64744526",
08/01/2005 21.00,"1,32381771","25,37726856","0,35274103",
08/01/2005 22.00,"1,24882108","23,35129424","0,33340902",
08/01/2005 23.00,"1,26977128","16,94241938","0,25696056",
09/01/2005 0.00,"1,30438488","23,2981024","0,46112797",
09/01/2005 1.00,"1,1844521","28,11188744","0,44375782",
09/01/2005 2.00,"1,10702687","23,3344304","0,4520433",
09/01/2005 3.00,"1,25701912","22,82954768","0,43539312",
09/01/2005 4.00,"1,05905397","15,39016791","0,4219432",
09/01/2005 5.00,"0,86139188","11,87552186","0,28966211",
09/01/2005 6.00,"0,98618287","8,20514724","0,28982171",
09/01/2005 7.00,"1,08698791","11,28369286","0,31879992",
09/01/2005 8.00,"1,12767401","14,7451203","0,38528065",
09/01/2005 9.00,"1,11249223","14,84116197","0,37647558",
09/01/2005 10.00,"1,1425517","13,50175434","0,32660426",
09/01/2005 11.00,"1,15955492","17,54203022","0,34077299",
09/01/2005 12.00,"1,35205472","24,45319896","0,37687634",
09/01/2005 13.00,"1,58949167","35,59708064","0,57167832",
09/01/2005 14.00,"1,56034344","30,07686896","0,6208285",
09/01/2005 15.00,"1,5090307","15,9287764","0,39916978",
09/01/2005 16.00,"1,50720926","19,94437792","0,40153123",
09/01/2005 17.00,"1,22422799","36,37415568","0,573879",
09/01/2005 18.00,"1,82723271","66,70411608","1,35060547",
09/01/2005 19.00,"1,94837979","65,12203168","1,28864728",
09/01/2005 20.00,"1,70912138","51,00246616","1,35937093",
09/01/2005 21.00,"1,41915638","33,67848424","0,63827904",
09/01/2005 22.00,"1,22756782","26,73096456","0,44347706",
09/01/2005 23.00,"1,30711756","44,88299544","0,45788694",
10/01/2005 0.00,"1,15287527","23,78220168","0,35530287",
10/01/2005 1.00,,"9,99491308","0,2090511",
10/01/2005 2.00,"0,99856382",,"0,20496777",
10/01/2005 3.00,"0,70747503","5,34593479",,
10/01/2005 4.00,"0,68194121","5,00459499","0,20361754",
