, Brindisi,,,,
,P.za San Giusto Casale,,,,
Parm,SO2,NOX,NO,NO2,PM10



08/01/2005 0.00,"0,156597","10,578125","0,882867","9,229168","17,094"
08/01/2005 1.00,,"6,195648","0,748537","5,05002",
08/01/2005 2.00,"0,230364",,,,"22,46641"
08/01/2005 3.00,"0,197624","9,644304","2,289541","6,133744",
08/01/2005 4.00,"1,094894","8,137217","1,072113","6,49585","18,55921"
08/01/2005 5.00,"0,298367","12,201936","1,092389","10,532227",
08/01/2005 6.00,"0,124391","14,069582","1,179409","12,267483","24,908421"
08/01/2005 7.00,"0,108646","15,946304","1,424416","13,769122",
08/01/2005 8.00,"0,122817","17,103205","1,555366","14,72565","20,51281"
08/01/2005 9.00,"0,099198","32,826421","6,181759","23,352594",
08/01/2005 10.00,"0,388682","22,246999","3,76887","16,472592","25,39682"
08/01/2005 11.00,"1,410016","22,239216","4,018101","16,081934",
08/01/2005 12.00,"1,465097","22,235316","3,752819","16,485562","21,97802"
08/01/2005 13.00,"1,522258","18,400179","3,231547","13,448545",
08/01/2005 14.00,"1,717237","17,68814","2,961195","13,151334","30,28083"
08/01/2005 15.00,"1,093557","14,200575","1,918652","11,262934",
08/01/2005 16.00,"1,39742","10,375797","1,413432","8,211636","30,28083"
08/01/2005 17.00,"0,09605","8,89984","1,417657","6,728169",
08/01/2005 18.00,"0,572433","10,552186","1,412587","8,389445","22,46641"
08/01/2005 19.00,"0,132264","12,524885","1,418501","10,354424",
08/01/2005 20.00,"0,119667","37,062321","2,560737","33,154116","29,79241"
08/01/2005 21.00,"0,09804","53,754386","4,810569","46,401504",
08/01/2005 22.00,"0,11022","36,832767","2,273488","33,36568","37,118431"
08/01/2005 23.00,"0,136988","44,946644","3,97079","38,877745",
09/01/2005 0.00,"0,094474","52,66365","4,704963","45,472236","59,096451"
09/01/2005 1.00,"0,100772","40,833934","2,894451","36,415684",
09/01/2005 2.00,"0,083452","39,479873","3,002593","34,894571","62,026852"
09/01/2005 3.00,,,,,
09/01/2005 4.00,,,,,"60,073261"
09/01/2005 5.00,0,"25,319525","1,595919","22,885378",
09/01/2005 6.00,0,"27,354486","2,178866","24,026191","64,95726"
09/01/2005 7.00,0,"43,884434","5,085145","36,102901",
09/01/2005 8.00,0,"50,661117","6,454645","40,780417","61,05006"
09/01/2005 9.00,0,"61,529763","11,513601","43,884929",
09/01/2005 10.00,0,"59,963014","11,694392","42,039372","70,818062"
09/01/2005 11.00,"0,012597","24,332532","3,560194","18,880144",
09/01/2005 12.00,"0,023619","18,253621","2,172107","14,929424","56,16605"
09/01/2005 13.00,"0,009448","18,734799","2,299679","15,214946",
09/01/2005 14.00,0,"14,877595","1,448917","12,662038","42,002441"
09/01/2005 15.00,0,"14,396419","1,515659","12,07799",
09/01/2005 16.00,0,"11,99053","1,45483","9,763891","39,56044"
09/01/2005 17.00,0,"12,828376","1,279947","10,87097",
09/01/2005 18.00,0,"20,607612","1,61366","18,142952","39,072041"
09/01/2005 19.00,0,"24,205423","1,491159","21,931442",
09/01/2005 20.00,0,"22,901973","1,60099","20,458342","39,072041"
09/01/2005 21.00,0,"17,308126","1,589161","14,878797",
09/01/2005 22.00,0,"19,406627","1,465812","17,168245","35,653221"
09/01/2005 23.00,0,"19,397545","1,279102","17,445995",
10/01/2005 0.00,0,"21,267786","1,132098","19,543355","36,141621"
10/01/2005 1.00,,"19,7166","1,387243","17,599144",
10/01/2005 2.00,"0,196625",,,,"31,746031"
10/01/2005 3.00,"0,052164","17,908625","1,338241","15,865182",
10/01/2005 4.00,"0,084994","14,849062","1,509744","12,540037","29,79241"
10/01/2005 5.00,"0,136311","10,736356","1,055215","9,122742",
10/01/2005 6.00,"0,113296","13,460004","1,130408","11,73276","26,37361"
10/01/2005 7.00,"0,041065","14,868517","1,130408","13,14225",
10/01/2005 8.00,"0,070566","35,991008","3,712267","30,313095","30,28083"
10/01/2005 9.00,"0,194871","50,847879","9,059314","36,965975",
10/01/2005 10.00,"0,349233","44,936262","9,156473","30,901015","32,234421"
10/01/2005 11.00,"0,401952","38,963709","7,489585","27,485017",
10/01/2005 12.00,"0,407764","35,735528","6,904949","25,152742","24,908421"
10/01/2005 13.00,"0,403705","34,98199","5,505035","26,549246",
10/01/2005 14.00,"0,40721","36,46314","5,506724","28,028828","32,722832"
10/01/2005 15.00,"0,465128","38,464371","5,138371","30,597316",
10/01/2005 16.00,"0,422368","29,722765","3,505278","24,358459","34,67643"
10/01/2005 17.00,"0,087301","26,349328","1,940618","23,38634",
10/01/2005 18.00,"0,101642","45,81303","2,021724","42,738914","29,79241"
10/01/2005 19.00,"0,046615","38,62131","2,100295","35,421519",
