,Regione Puglia,,
,Fraz. Villa Baldassare,,
Parm,SO2,NO2,PM10
,,,,,
,,,,
,,,,
,,,,,
,,,,
08/01/2006 19.00,"1,99540282","6,76450878","26,84452057"
08/01/2006 20.00,"1,58093565","9,39659474","26,84452057"
08/01/2006 21.00,"1,58418497","15,66531427","26,84452057"
08/01/2006 22.00,1,"15,4862115","26,84452057"
08/01/2006 23.00,1,"16,26752735","26,84452057"
09/01/2006 0.00,1,"12,68150634","26,84452057"
09/01/2006 1.00,1,"10,86188654","20,34173965"
09/01/2006 2.00,1,"8,81255331","20,34173965"
09/01/2006 3.00,1,"8,12078598","20,34173965"
09/01/2006 4.00,1,"6,27780726","20,34173965"
09/01/2006 5.00,"0,99639863","5,12529764","20,34173965"
09/01/2006 6.00,1,"4,50491482","20,34173965"
09/01/2006 7.00,1,"6,31933973","20,34173965"
09/01/2006 8.00,1,"13,09033401","20,34173965"
09/01/2006 9.00,1,"12,84114496","20,34173965"
09/01/2006 10.00,1,"16,10789065","20,34173965"
09/01/2006 11.00,2,"6,11427582","20,34173965"
09/01/2006 12.00,3,"4,54514904","20,34173965"
09/01/2006 13.00,4,"5,08246693","20,34173965"
09/01/2006 14.00,4,"4,76838269","20,34173965"
09/01/2006 15.00,5,"4,83457422","20,34173965"
09/01/2006 16.00,4,"7,11233982","20,34173965"
09/01/2006 17.00,3,"7,08378601","20,34173965"
09/01/2006 18.00,6,"8,35959478","20,34173965"
09/01/2006 19.00,2,"13,54718155","20,34173965"
09/01/2006 20.00,2,"9,7366363","20,34173965"
09/01/2006 21.00,1,"9,69640399","20,34173965"
09/01/2006 22.00,1,"14,74901695","20,34173965"
09/01/2006 23.00,2,"11,56663253","20,34173965"
10/01/2006 0.00,1,"7,05263762","20,34173965"
10/01/2006 1.00,,"4,71516982","21,96282005"
10/01/2006 2.00,1,,"21,96282005"
10/01/2006 3.00,1,"3,19017009","21,96282005"
10/01/2006 4.00,1,"4,08699942","21,96282005"
10/01/2006 5.00,1,"3,44195754","21,96282005"
10/01/2006 6.00,1,"3,91178566","21,96282005"
10/01/2006 7.00,1,"5,04742379","21,96282005"
10/01/2006 8.00,1,"11,07603436","21,96282005"
10/01/2006 9.00,0,"13,58871402","21,96282005"
10/01/2006 10.00,1,"15,35641538","21,96282005"
10/01/2006 11.00,1,"4,17525543","21,96282005"
10/01/2006 12.00,4,"3,46402011","21,96282005"
10/01/2006 13.00,8,"10,26226804","21,96282005"
10/01/2006 14.00,7,"4,55423295","21,96282005"
10/01/2006 15.00,7,"4,67363735","21,96282005"
10/01/2006 16.00,9,"12,45177572","21,96282005"
10/01/2006 17.00,6,"8,6360413","21,96282005"
10/01/2006 18.00,5,"10,57894878","21,96282005"
10/01/2006 19.00,5,"13,79897666","21,96282005"
10/01/2006 20.00,5,"11,16039945","21,96282005"
10/01/2006 21.00,4,"14,6477842","21,96282005"
10/01/2006 22.00,2,"21,26432712","21,96282005"
10/01/2006 23.00,1,"16,21690333","21,96282005"
11/01/2006 0.00,"0,99470024","13,70293307","21,96282005"
11/01/2006 1.00,"0,85485766","8,80736032","27,88101959"
11/01/2006 2.00,1,"5,09934033","27,88101959"
11/01/2006 3.00,1,"4,01691506","27,88101959"
11/01/2006 4.00,1,"3,4834881","27,88101959"
11/01/2006 5.00,1,"3,36797844","27,88101959"
11/01/2006 6.00,1,"3,72748989","27,88101959"
11/01/2006 7.00,0,"4,88519059","27,88101959"
11/01/2006 8.00,1,"16,14812104","27,88101959"
11/01/2006 9.00,1,"21,26950864","27,88101959"
11/01/2006 10.00,1,"16,82301306","27,88101959"
11/01/2006 11.00,2,"15,30061557","27,88101959"
11/01/2006 12.00,4,"9,43423246","27,88101959"
11/01/2006 13.00,6,"7,42382947","27,88101959"
11/01/2006 14.00,6,"7,63538271","27,88101959"
11/01/2006 15.00,6,"8,31157298","27,88101959"
11/01/2006 16.00,6,"11,52120532","27,88101959"
11/01/2006 17.00,6,"6,38293476","27,88101959"
11/01/2006 18.00,6,"11,6250403","27,88101959"
11/01/2006 19.00,5,"11,31485081","27,88101959"
11/01/2006 20.00,5,"15,59911701","27,88101959"
11/01/2006 21.00,5,"15,33435472","27,88101959"
11/01/2006 22.00,5,"17,71854224","27,88101959"
11/01/2006 23.00,5,"12,57377662","27,88101959"
12/01/2006 0.00,5,"11,59388235","27,88101959"
12/01/2006 1.00,,"7,56399819","33,60913086"
12/01/2006 2.00,1,,"33,60913086"
12/01/2006 3.00,1,"6,06755227","33,60913086"
12/01/2006 4.00,1,"4,64378721","33,60913086"
12/01/2006 5.00,1,"3,96370219","33,60913086"
12/01/2006 6.00,1,"3,57563694","33,60913086"
12/01/2006 7.00,1,"3,81314749","33,60913086"
12/01/2006 8.00,1,"17,67571726","33,60913086"
12/01/2006 9.00,1,"17,00730692","33,60913086"
12/01/2006 10.00,2,"9,76129536","33,60913086"
12/01/2006 11.00,2,"5,78851117","33,60913086"
12/01/2006 12.00,3,"3,59640317","33,60913086"
12/01/2006 13.00,4,"4,40887315","33,60913086"
12/01/2006 14.00,6,"12,71006015","33,60913086"
12/01/2006 15.00,"6,98266505","11,45501762","33,60913086"
12/01/2006 16.00,6,"5,66002094","33,60913086"
12/01/2006 17.00,3,"5,27714868","33,60913086"
12/01/2006 18.00,2,"7,86250919","33,60913086"
12/01/2006 19.00,2,"6,72297822","33,60913086"
12/01/2006 20.00,2,"8,42967914","33,60913086"
12/01/2006 21.00,2,"10,01697756","33,60913086"
12/01/2006 22.00,1,"13,34341971","33,60913086"
12/01/2006 23.00,1,"14,7827561","33,60913086"
13/01/2006 0.00,2,"15,83403489","33,60913086"
13/01/2006 1.00,1,"10,6101029","24,63842964"
13/01/2006 2.00,1,"7,92350964","24,63842964"
