,Regione Puglia,,,,
,ASM,,,,
Parm,SO2,NO2,NOX,CO,O3
,,,,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,
,,,,,,,
12/01/2006 20.00,3,36,49,,28
12/01/2006 21.00,4,25,39,,40
12/01/2006 22.00,4,13,25,,47
12/01/2006 23.00,1,21,33,,39
13/01/2006 0.00,5,24,36,,33
13/01/2006 1.00,4,20,32,,30
13/01/2006 2.00,3,17,29,,31
13/01/2006 3.00,3,10,22,,35
13/01/2006 4.00,3,10,23,,36
13/01/2006 5.00,2,13,25,,37
13/01/2006 6.00,3,11,23,,41
13/01/2006 7.00,3,17,30,,37
13/01/2006 8.00,5,39,56,,25
13/01/2006 9.00,4,74,114,,10
13/01/2006 10.00,2,70,100,,11
13/01/2006 11.00,3,63,93,,14
13/01/2006 12.00,7,60,83,,22
13/01/2006 13.00,10,52,71,,28
13/01/2006 14.00,8,68,92,,15
13/01/2006 15.00,7,75,109,,12
13/01/2006 16.00,5,54,71,,33
13/01/2006 17.00,5,50,67,,36
13/01/2006 18.00,6,39,53,,42
13/01/2006 19.00,5,46,61,,39
13/01/2006 20.00,7,46,60,,40
13/01/2006 21.00,4,38,51,,40
13/01/2006 22.00,4,39,51,,27
13/01/2006 23.00,3,36,48,,29
14/01/2006 0.00,5,17,29,,42
14/01/2006 1.00,,13,25,,40
14/01/2006 2.00,5,,,,45
14/01/2006 3.00,4,8,20,,
14/01/2006 4.00,3,7,19,,50
14/01/2006 5.00,4,6,18,,53
14/01/2006 6.00,2,9,21,,50
14/01/2006 7.00,2,12,24,,48
14/01/2006 8.00,3,23,37,,43
14/01/2006 9.00,3,32,45,,38
14/01/2006 10.00,4,34,49,,36
14/01/2006 11.00,6,48,66,,27
14/01/2006 12.00,4,53,70,,22
14/01/2006 13.00,4,46,62,,27
14/01/2006 14.00,5,42,56,,30
14/01/2006 15.00,6,35,48,,31
14/01/2006 16.00,7,27,39,,36
14/01/2006 17.00,3,30,42,,31
14/01/2006 18.00,4,38,50,,24
14/01/2006 19.00,5,31,44,,32
14/01/2006 20.00,4,27,39,,30
14/01/2006 21.00,4,29,41,,26
14/01/2006 22.00,4,39,52,,15
14/01/2006 23.00,5,49,63,,6
15/01/2006 0.00,3,39,52,,12
15/01/2006 1.00,4,35,47,,10
15/01/2006 2.00,5,35,47,,11
15/01/2006 3.00,4,34,46,,13
15/01/2006 4.00,3,35,50,,11
15/01/2006 5.00,4,30,45,,11
15/01/2006 6.00,3,17,29,,15
15/01/2006 7.00,4,19,32,,20
15/01/2006 8.00,3,22,35,,27
15/01/2006 9.00,1,22,34,,27
15/01/2006 10.00,3,35,51,,22
15/01/2006 11.00,3,28,41,,27
15/01/2006 12.00,4,36,55,,28
15/01/2006 13.00,6,18,30,,38
15/01/2006 14.00,7,39,53,,31
15/01/2006 15.00,8,19,31,,43
15/01/2006 16.00,6,17,29,,45
15/01/2006 17.00,5,19,31,,38
15/01/2006 18.00,5,16,28,,31
15/01/2006 19.00,4,25,37,,23
15/01/2006 20.00,4,24,36,,22
15/01/2006 21.00,4,34,47,,12
15/01/2006 22.00,5,38,50,,8
15/01/2006 23.00,5,51,81,,2
16/01/2006 0.00,5,48,72,,1
16/01/2006 1.00,,46,71,,1
16/01/2006 2.00,6,,,,1
16/01/2006 3.00,6,44,60,,
16/01/2006 4.00,5,34,46,,13
16/01/2006 5.00,5,29,42,,12
16/01/2006 6.00,5,32,51,,4
16/01/2006 7.00,4,33,50,,6
16/01/2006 8.00,1,49,85,,4
16/01/2006 9.00,3,56,92,,6
16/01/2006 10.00,4,68,120,,6
16/01/2006 11.00,5,67,100,,10
16/01/2006 12.00,8,66,96,,14
16/01/2006 13.00,7,56,78,,19
16/01/2006 14.00,6,51,71,,22
16/01/2006 15.00,6,58,79,,19
16/01/2006 16.00,5,64,85,,18
16/01/2006 17.00,7,71,96,,10
16/01/2006 18.00,5,63,89,,8
16/01/2006 19.00,5,54,79,,6
16/01/2006 20.00,5,52,74,,5
16/01/2006 21.00,6,41,56,,12
16/01/2006 22.00,4,34,48,,14
16/01/2006 23.00,5,33,47,,12
17/01/2006 0.00,4,34,46,,12
17/01/2006 1.00,6,30,45,,14
17/01/2006 2.00,5,17,29,,18
17/01/2006 3.00,2,21,33,,13
17/01/2006 4.00,2,25,38,,7
17/01/2006 5.00,1,19,32,,12
17/01/2006 6.00,3,20,32,,14
17/01/2006 7.00,3,27,40,,13
17/01/2006 8.00,3,49,89,,7
17/01/2006 9.00,5,74,163,,14
17/01/2006 10.00,6,91,183,,8
17/01/2006 11.00,5,104,170,,7
17/01/2006 12.00,8,68,92,,19
17/01/2006 13.00,11,65,85,,27
17/01/2006 14.00,12,63,80,,31
17/01/2006 15.00,11,85,110,,21
17/01/2006 16.00,11,80,99,,26
17/01/2006 17.00,11,100,138,,10
17/01/2006 18.00,10,102,149,,4
17/01/2006 19.00,6,34,47,,32
17/01/2006 20.00,7,19,31,,42
17/01/2006 21.00,5,13,25,,50
17/01/2006 22.00,5,13,25,,51
17/01/2006 23.00,6,16,28,,48
18/01/2006 0.00,7,14,26,,50
18/01/2006 1.00,,14,26,,44
18/01/2006 2.00,7,,,,45
18/01/2006 3.00,5,7,20,,
18/01/2006 4.00,4,9,21,,48
18/01/2006 5.00,4,6,19,,50
18/01/2006 6.00,6,12,24,,45
18/01/2006 7.00,7,13,25,,47
18/01/2006 8.00,6,26,39,,39
18/01/2006 9.00,7,45,62,,28
18/01/2006 10.00,7,56,76,,23
18/01/2006 11.00,7,33,47,,35
18/01/2006 12.00,11,31,45,,37
18/01/2006 13.00,13,18,29,,50
18/01/2006 14.00,12,24,36,,48
18/01/2006 15.00,12,19,31,,51
18/01/2006 16.00,12,18,30,,53
18/01/2006 17.00,8,19,31,,53
18/01/2006 18.00,7,24,38,,48
18/01/2006 19.00,7,15,27,,49
18/01/2006 20.00,10,17,28,,54
18/01/2006 21.00,10,10,21,,58
18/01/2006 22.00,11,9,21,,58
18/01/2006 23.00,9,15,26,,52
19/01/2006 0.00,9,37,48,,31
19/01/2006 1.00,10,29,41,,27
19/01/2006 2.00,11,7,18,,51
19/01/2006 3.00,7,7,18,,45
19/01/2006 4.00,8,12,23,,39
19/01/2006 5.00,10,14,25,,38
19/01/2006 6.00,8,18,29,,36
19/01/2006 7.00,9,27,39,,26
19/01/2006 8.00,8,48,65,,13
19/01/2006 9.00,8,56,80,,11
19/01/2006 10.00,9,59,83,,20
19/01/2006 11.00,9,34,50,,35
19/01/2006 12.00,10,39,56,,35
19/01/2006 13.00,9,31,45,,41
19/01/2006 14.00,9,36,50,,40
19/01/2006 15.00,10,30,44,,43
19/01/2006 16.00,10,34,47,,42
19/01/2006 17.00,9,32,44,,46
19/01/2006 18.00,9,57,72,,29
19/01/2006 19.00,6,51,65,,28
19/01/2006 20.00,7,48,62,,32
19/01/2006 21.00,8,39,51,,35
19/01/2006 22.00,4,24,36,,48
19/01/2006 23.00,6,22,34,,38
20/01/2006 0.00,7,21,33,,36
20/01/2006 1.00,,15,27,,38
20/01/2006 2.00,7,,,,40
20/01/2006 3.00,4,12,24,,
20/01/2006 4.00,6,11,24,,39
20/01/2006 5.00,5,13,25,,37
20/01/2006 6.00,5,18,30,,32
20/01/2006 7.00,6,22,34,,31
20/01/2006 8.00,7,41,60,,22
20/01/2006 9.00,5,56,80,,18
20/01/2006 10.00,7,59,83,,22
20/01/2006 11.00,7,43,59,,36
20/01/2006 12.00,9,48,64,,39
20/01/2006 13.00,10,40,55,,45
20/01/2006 14.00,11,33,46,,47
20/01/2006 15.00,9,32,45,,49
20/01/2006 16.00,11,35,48,,50
20/01/2006 17.00,12,63,77,,38
20/01/2006 18.00,12,107,152,,7
20/01/2006 19.00,7,82,127,,8
20/01/2006 20.00,7,78,101,,11
20/01/2006 21.00,6,70,88,,15
20/01/2006 22.00,5,48,60,,26
20/01/2006 23.00,5,45,57,,26
21/01/2006 0.00,7,25,37,,37
21/01/2006 1.00,6,23,35,,37
21/01/2006 2.00,6,39,58,,32
21/01/2006 3.00,7,24,36,,36
21/01/2006 4.00,6,49,104,,16
21/01/2006 5.00,6,72,119,,4
21/01/2006 6.00,7,57,84,,7
21/01/2006 7.00,3,48,84,,8
21/01/2006 8.00,5,79,181,,9
21/01/2006 9.00,4,52,88,,28
21/01/2006 10.00,6,39,58,,36
21/01/2006 11.00,8,85,112,,25
21/01/2006 12.00,11,57,73,,38
21/01/2006 13.00,11,34,47,,50
21/01/2006 14.00,10,39,52,,47
21/01/2006 15.00,11,38,50,,50
21/01/2006 16.00,11,36,48,,48
21/01/2006 17.00,10,47,60,,43
21/01/2006 18.00,10,92,137,,12
21/01/2006 19.00,8,67,84,,12
21/01/2006 20.00,7,72,95,,5
21/01/2006 21.00,7,54,68,,11
21/01/2006 22.00,7,63,78,,8
21/01/2006 23.00,8,60,74,,9
22/01/2006 0.00,6,38,51,,23
22/01/2006 1.00,,28,40,,30
22/01/2006 2.00,7,,,,27
22/01/2006 3.00,6,20,32,,
22/01/2006 4.00,6,21,33,,36
22/01/2006 5.00,6,16,28,,40
22/01/2006 6.00,6,14,27,,42
22/01/2006 7.00,5,14,26,,45
22/01/2006 8.00,6,24,36,,40
22/01/2006 9.00,6,54,74,,18
22/01/2006 10.00,6,42,66,,33
22/01/2006 11.00,7,19,32,,46
22/01/2006 12.00,10,23,35,,44
22/01/2006 13.00,10,22,34,,48
22/01/2006 14.00,11,18,29,,53
22/01/2006 15.00,10,17,28,,51
22/01/2006 16.00,9,13,24,,58
22/01/2006 17.00,8,11,23,,60
22/01/2006 18.00,8,14,26,,59
22/01/2006 19.00,7,11,23,,58
22/01/2006 20.00,8,12,24,,51
22/01/2006 21.00,9,16,28,,52
22/01/2006 22.00,8,13,25,,56
22/01/2006 23.00,7,10,22,,63
23/01/2006 0.00,8,11,23,,51
23/01/2006 1.00,6,9,21,,49
23/01/2006 2.00,8,8,20,,49
23/01/2006 3.00,9,6,18,,53
23/01/2006 4.00,8,5,16,,53
23/01/2006 5.00,7,6,18,,51
23/01/2006 6.00,8,11,23,,48
23/01/2006 7.00,8,12,24,,47
23/01/2006 8.00,6,21,34,,42
23/01/2006 9.00,9,32,47,,36
23/01/2006 10.00,8,44,60,,32
23/01/2006 11.00,9,35,51,,38
23/01/2006 12.00,9,45,63,,33
23/01/2006 13.00,7,38,54,,36
23/01/2006 14.00,8,36,52,,35
23/01/2006 15.00,6,28,43,,40
23/01/2006 16.00,7,25,38,,44
23/01/2006 17.00,7,25,39,,43
23/01/2006 18.00,7,27,41,,41
23/01/2006 19.00,6,25,39,,42
23/01/2006 20.00,7,23,35,,42
23/01/2006 21.00,5,19,31,,38
23/01/2006 22.00,5,19,31,,37
23/01/2006 23.00,7,15,28,,37
24/01/2006 0.00,6,16,28,,37
24/01/2006 1.00,,15,27,,35
24/01/2006 2.00,5,,,,46
24/01/2006 3.00,6,6,18,,
24/01/2006 4.00,6,7,19,,50
24/01/2006 5.00,6,7,19,,50
24/01/2006 6.00,6,15,27,,47
24/01/2006 7.00,7,19,32,,45
24/01/2006 8.00,6,30,44,,37
24/01/2006 9.00,5,47,65,,26
24/01/2006 10.00,6,45,62,,35
24/01/2006 11.00,8,43,61,,36
24/01/2006 12.00,8,38,55,,39
24/01/2006 13.00,9,40,58,,37
24/01/2006 14.00,7,33,48,,42
24/01/2006 15.00,8,32,47,,45
24/01/2006 16.00,9,31,46,,47
24/01/2006 17.00,7,29,43,,47
24/01/2006 18.00,7,35,50,,44
24/01/2006 19.00,7,33,47,,46
24/01/2006 20.00,7,25,38,,51
24/01/2006 21.00,2,17,30,,55
24/01/2006 22.00,5,13,25,,58
24/01/2006 23.00,8,9,21,,59
25/01/2006 0.00,7,8,20,,60
25/01/2006 1.00,7,8,20,,59
25/01/2006 2.00,6,5,17,,61
25/01/2006 3.00,6,5,17,,61
25/01/2006 4.00,6,5,17,,62
25/01/2006 5.00,5,10,22,,59
25/01/2006 6.00,5,18,31,,55
25/01/2006 7.00,8,29,43,,48
25/01/2006 8.00,7,45,60,,39
25/01/2006 9.00,6,39,54,,42
25/01/2006 10.00,6,77,104,,20
25/01/2006 11.00,5,58,79,,27
25/01/2006 12.00,5,70,96,,17
25/01/2006 13.00,8,44,61,,28
25/01/2006 14.00,8,43,60,,40
25/01/2006 15.00,9,23,37,,54
25/01/2006 16.00,11,18,30,,59
25/01/2006 17.00,8,25,38,,57
25/01/2006 18.00,7,35,49,,52
25/01/2006 19.00,7,43,57,,43
25/01/2006 20.00,7,36,51,,36
25/01/2006 21.00,7,15,27,,49
25/01/2006 22.00,5,17,29,,46
25/01/2006 23.00,5,19,31,,44
26/01/2006 0.00,6,14,27,,48
26/01/2006 1.00,,11,24,,51
26/01/2006 2.00,6,,,,53
26/01/2006 3.00,7,,,,
26/01/2006 4.00,6,,,,51
26/01/2006 5.00,5,,,,53
26/01/2006 6.00,6,,,,47
26/01/2006 7.00,5,,,,40
26/01/2006 8.00,4,,,,42
26/01/2006 9.00,6,,,,36
26/01/2006 10.00,9,,,,47
26/01/2006 11.00,10,,,,56
26/01/2006 12.00,13,,,,54
26/01/2006 13.00,36,,,,51
26/01/2006 14.00,25,,,,58
26/01/2006 15.00,24,,,,59
26/01/2006 16.00,21,,,,56
26/01/2006 17.00,17,,,,61
26/01/2006 18.00,19,,,,32
26/01/2006 19.00,10,,,,22
26/01/2006 20.00,13,,,,18
26/01/2006 21.00,8,,,,37
26/01/2006 22.00,6,,,,30
26/01/2006 23.00,7,,,,42
27/01/2006 0.00,9,,,,45
27/01/2006 1.00,15,,,,27
27/01/2006 2.00,18,,,,32
27/01/2006 3.00,13,,,,48
27/01/2006 4.00,15,,,,49
27/01/2006 5.00,11,,,,38
27/01/2006 6.00,10,,,,24
27/01/2006 7.00,8,,,,16
27/01/2006 8.00,10,,,,4
27/01/2006 9.00,9,,,,2
27/01/2006 10.00,13,,,,5
27/01/2006 11.00,20,,,,18
27/01/2006 12.00,48,,,,39
27/01/2006 13.00,25,,,,41
27/01/2006 14.00,19,,,,52
27/01/2006 15.00,22,,,,52
27/01/2006 16.00,15,,,,53
