NetC,Foggia,,,,,
,Stat,Manfredonia - Liceo Scientifico via dei mandorli,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE
,,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,
06/01/2009 4.00,"1,7288044",,"0,60552739","64,4856618",,"1,0978515"
06/01/2009 5.00,"1,83482665",,"0,57081156",,,"0,96142095"
06/01/2009 6.00,"1,7093136","16,54137546","0,58915332","63,9927771",,"0,9002484"
06/01/2009 7.00,"1,89921089","19,61473","0,6253254","59,8505187",,"0,4959909"
06/01/2009 8.00,"1,99253183","19,22277","0,62260979","54,32167545",,"0,937674"
06/01/2009 9.00,"1,66785763","17,46416594","0,63992868","51,3805467",,"0,9989991"
06/01/2009 10.00,"1,73435214","20,81397464","0,71325727","50,1577713",,"1,04644215"
06/01/2009 11.00,"1,9395207","30,780332","0,93753608","49,99527855",,"1,5107535"
06/01/2009 12.00,"2,10552561","28,33123208","0,90187543","66,17831955",,"2,371644"
06/01/2009 13.00,"1,92846794","27,00740152","0,93666932","72,9245118",,"2,5867395"
06/01/2009 14.00,"2,1073135","36,41698448","1,02208363","66,63329925",,"2,279097"
06/01/2009 15.00,"2,07901954","16,48556227","0,68326435","78,0092082",,"2,2277385"
06/01/2009 16.00,"2,05349996","24,5803852","0,8272467","72,9448209",,"0,6951195"
06/01/2009 17.00,"2,11316125","55,33607152","0,90962851","49,25728815",,"1,8575505"
06/01/2009 18.00,"2,0128464","52,84804328","1,2077089","39,07704255",,"2,599452"
06/01/2009 19.00,"2,18453837","50,93627272","1,34204622","34,7601219",,"3,8681595"
06/01/2009 20.00,"2,34744855","68,70544472","1,56183861","33,64976475",,"4,2281775"
06/01/2009 21.00,"2,10600665","55,23613128","1,03644924","37,4372124",,"3,7654425"
06/01/2009 22.00,"2,05072558","59,84747376","1,29123241","35,7012432",,"3,0393045"
06/01/2009 23.00,"2,07934091","54,21470264","1,05443801","39,7703649",,"3,664251"
07/01/2009 0.00,"1,85239024","46,2899024","0,84566768","41,613306",,"2,313675"
07/01/2009 1.00,"2,21331439","43,11919456","0,98335087","39,6823455",,"2,3294385"
07/01/2009 2.00,"1,71841676",,"0,68247681","51,2234604",,"2,0955285"
07/01/2009 3.00,"1,98196113",,"0,65984552","53,82472095",,"1,3165065"
07/01/2009 4.00,"1,68427506",,"0,60718053","55,38872115",,"0,6381675"
07/01/2009 5.00,"1,93708905",,"0,60422725","59,1436902",,"1,1446335"
07/01/2009 6.00,"1,90262699",,"0,65476728","55,94795955",,"1,02294945"
07/01/2009 7.00,"2,13267341","43,41121432","0,90144205","36,86307135",,"1,269216"
07/01/2009 8.00,"2,40614674","64,70280656","1,21160466","28,1506869",,"1,7609355"
07/01/2009 9.00,"3,39921978","72,16645152","2,24577167","29,1094041",,"3,471021"
07/01/2009 10.00,"3,27045131","79,13515616","2,65433717","32,7194763",,"7,3178235"
07/01/2009 11.00,"2,46743523","54,04338744","1,46867007","49,6405077",,"7,8090345"
07/01/2009 12.00,"2,18437769","39,67853144","1,0883663","60,39353775",,"4,3390305"
07/01/2009 13.00,"2,22241756","47,59296864","1,16393985","61,4429676",,"3,4633935"
