,Regione Puglia,,,,,
,CERRATE,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE



05/01/2006 21.00,"0,48128","14,81650482","0,79333471","41,01275115",,"2,799801"
05/01/2006 22.00,"0,39774667","17,36681837","0,74910316","31,7957913",,"2,030949"
05/01/2006 23.00,"0,69391334","17,05144162","0,63511373","27,29138055",,"2,1636675"
06/01/2006 0.00,1,"17,40445609","0,59615031","24,7438653",,"2,8206495"
06/01/2006 1.00,,"13,83531039","0,42503161","28,50904875",,"2,637081"
06/01/2006 2.00,2,,"0,32170776","31,75930275",,"3,271689"
06/01/2006 3.00,1,"6,80344474",,"35,2582335",,"3,0891375"
06/01/2006 4.00,1,"5,48350893","0,76018813","31,3754847",,"2,442834"
06/01/2006 5.00,2,"4,59706366","0,58671031","33,42700305",,"3,401865"
06/01/2006 6.00,1,"4,56591527","0,55008038","30,4510815",,"3,9149415"
06/01/2006 7.00,1,"5,12659589","0,5378106","34,14057465",,"4,88617752"
06/01/2006 8.00,2,"6,3556792","0,55657293","33,6013461",,"2,411307"
06/01/2006 9.00,1,"8,04291404","0,66158253","33,6418845",,"2,8064115"
06/01/2006 10.00,2,"7,07989318","0,71939333","40,09106115",,"3,2213475"
06/01/2006 11.00,2,"8,86316969","0,88427345","42,02094435",,"2,611656"
06/01/2006 12.00,6,"11,50952874","1,06912633","44,441418",,"2,547585"
06/01/2006 13.00,6,"13,47840118","1,27229417","46,2118209",,"2,2246875"
06/01/2006 14.00,9,"12,28046243","1,44519066","53,2934724",,"3,1582935"
06/01/2006 15.00,7,"7,90404166","1,73961994","58,96691325",,"2,160108"
06/01/2006 16.00,3,"8,13895571","1,86563217","54,35842335",,"2,517075"
06/01/2006 17.00,"0,87686554","6,51921256","1,69457056","52,74343095",,"3,1033755"
06/01/2006 18.00,"0,36229913","5,33887378","1,35475404","58,56448185",,"2,163159"
06/01/2006 19.00,"0,13567492","8,46082944","1,09765252","52,5028539",,"1,8311085"
06/01/2006 20.00,"0,12450826","6,60487016","0,96281775","50,9459958",,"1,970946"
06/01/2006 21.00,"0,29343399","10,57245945","0,91812835","39,718056",,"1,9419615"
06/01/2006 22.00,"0,29947497","11,81841616","0,9156201","41,56684245",,"2,1972285"
06/01/2006 23.00,"0,42954317","10,09355316","0,83841905","39,38558925",,"3,3179625"
07/01/2006 0.00,1,"10,9241795","0,81911849","36,4123809",,"4,0369815"
07/01/2006 1.00,2,"10,96701403","0,75006778","35,52853605",,"2,330964"
07/01/2006 2.00,1,"10,06110461","0,65791045","36,58401075",,"2,591316"
07/01/2006 3.00,2,"9,62112664","0,7028247","35,7920556",,"2,2175685"
07/01/2006 4.00,2,"9,04487087","0,74339582","40,37215665",,"1,937385"
07/01/2006 5.00,1,"8,32974272","0,76842818","44,7644085",,"2,265876"
07/01/2006 6.00,2,"5,66910486","0,74554525","53,3259111",,"3,220839"
07/01/2006 7.00,1,"6,44782804","0,64340154","50,7108252",,"3,72222"
07/01/2006 8.00,2,"9,7054879","0,63937181","45,9590943",,"2,88828"
07/01/2006 9.00,2,"8,22461522","0,69351052","51,39062145",,"1,916028"
07/01/2006 10.00,1,"11,41089248","0,83116459","47,28622815",,"2,057391"
07/01/2006 11.00,"0,84367778","8,71131865","0,86761628","53,3759058",,"3,0057435"
07/01/2006 12.00,1,"10,8372313","1,00634448","53,0718279",,"2,816073"
07/01/2006 13.00,2,"10,06499935","1,0261821","55,6112235",,"2,010609"
07/01/2006 14.00,3,"15,82495289","1,15447772","54,78954285",,"2,4972435"
07/01/2006 15.00,4,"9,54844578","1,49171726","68,97582825",,"1,9816245"
07/01/2006 16.00,3,"6,69702091","1,68570491","63,06993",,"2,7362385"
07/01/2006 17.00,2,"8,48289201","1,64155141","58,3060296",,"3,2040585"
07/01/2006 18.00,"0,73412348","8,55297828","1,50752398","61,28059455",,"1,87128"
07/01/2006 19.00,"0,27688842","7,94038304","1,32486596","66,7729293",,"2,3711355"
07/01/2006 20.00,"0,75419906","8,88523417","1,21869252","61,57792935",,"2,0233215"
07/01/2006 21.00,"0,66716522","10,14546778","1,20270523","58,75065525",,"2,3680845"
07/01/2006 22.00,1,"9,62631772","0,84177774","51,26357985",,"3,703914"
07/01/2006 23.00,1,"9,20061474","1,12196723","53,71511565",,"1,8453465"
08/01/2006 0.00,"0,95201777","9,46408261","1,08726305","45,96314415",,"2,4362235"
08/01/2006 1.00,,"12,01180349","1,06370791","46,9281057",,"2,0294235"
08/01/2006 2.00,"0,85872022",,"1,05470712","47,73087375",,"2,921841"
08/01/2006 3.00,1,"9,39140175",,"46,8821409",,"3,2518575"
08/01/2006 4.00,3,"9,86123178","0,72091482","39,31396875",,"3,38661"
08/01/2006 5.00,2,"8,61267857","0,51071037","39,06124215",,"2,0843415"
08/01/2006 6.00,1,"8,91638256","0,58368131","38,38685235",,"3,419154"
08/01/2006 7.00,1,"8,47250985","0,44363433","38,80041585",,"1,8306"
08/01/2006 8.00,1,"9,88589084","0,21572771","39,5883012",,"2,738781"
08/01/2006 9.00,"0,75009649","10,8826585","0,14524871","45,3847338",,"3,2844015"
08/01/2006 10.00,"0,15631392","7,78463726","0,27219177","49,4296362",,"2,137734"
08/01/2006 11.00,"0,40751393","10,69835509","0,4360863","45,4901496",,"2,490633"
08/01/2006 12.00,"0,6234149","9,9871255","0,60725975","48,80797425",,"1,9602675"
08/01/2006 13.00,1,"9,89108383","0,77084322","53,5232166",,"2,1118005"
08/01/2006 14.00,2,"12,04813722","0,97434892","52,96100565",,"1,646523"
08/01/2006 15.00,2,"10,49199866","1,35148738","57,3221754",,"1,8931455"
08/01/2006 16.00,1,"10,99166927","1,64301348","58,31414925",,"1,781784"
08/01/2006 17.00,"0,81574587","13,28631592","1,60099077","53,0839974",,"3,224907"
08/01/2006 18.00,"0,29186781","30,397454","1,42459229","23,5897179",,"2,092986"
08/01/2006 19.00,"0,29066369","20,19746936","1,17852682","36,401568",,"2,201805"
08/01/2006 20.00,"0,41999964","17,5355409","1,04839282","31,08762615",,"2,112309"
08/01/2006 21.00,"0,75510521","20,02745432","0,65442011","19,9948476",,"3,3525405"
08/01/2006 22.00,1,"27,30074056","0,72163013","16,4486154",,"4,677183"
08/01/2006 23.00,1,"29,94060072","0,81956585","14,9390388",,"2,905569"
09/01/2006 0.00,2,"26,49215576","0,90687212","17,99603516",,"3,1867695"
09/01/2006 1.00,2,"14,14420738","0,42103683","32,791815",,"2,861838"
09/01/2006 2.00,3,"5,94814787","0,29822253","33,95136885",,"2,2806225"
09/01/2006 3.00,3,"4,77097918","0,2475858","26,9183754",,"2,179431"
09/01/2006 4.00,1,"4,98901984","0,19236131","17,96360444",,"1,58652"
09/01/2006 5.00,"0,80214655","3,29529758","0,15616825","23,65325865",,"1,504143"
09/01/2006 6.00,1,"7,44329746","0,16368367","20,9368068",,"1,5341445"
09/01/2006 7.00,1,"8,27134068","0,227408","20,52326325",,"2,9884545"
09/01/2006 8.00,2,"11,4303509","0,53552953","20,3489202",,"2,3162175"
09/01/2006 9.00,2,"11,05266972","0,17947641","21,0624918",,"1,5829605"
09/01/2006 10.00,1,"4,35695662","0,30617365","52,3055484",,"1,553976"
09/01/2006 11.00,3,"3,8559782","0,44881392","55,83691785",,"3,2335515"
09/01/2006 12.00,7,"3,97668085","0,58229729","61,44817455",,"1,2829455"
09/01/2006 13.00,9,"4,04806346","0,63633349","67,7297712",,"1,449225"
09/01/2006 14.00,10,"3,78589193","0,77374524","71,9801187",,"1,0551375"
09/01/2006 15.00,9,"3,71321107","1,10635856","75,2371158",,"1,9267065"
09/01/2006 16.00,7,"3,63533914","1,44982386","79,1104083",,"1,73281545"
09/01/2006 17.00,3,"3,67557335","1,20625964","79,2807015",,"1,12058145"
09/01/2006 18.00,2,"3,38484993","0,78209596","79,1117649",,"0,8912988"
09/01/2006 19.00,1,"3,37316952","0,42818177","79,9942731",,"1,5138045"
09/01/2006 20.00,1,"3,1421483","0,38343529","79,5969489",,"2,50182"
09/01/2006 21.00,2,"3,01106349","0,27518349","78,1914315",,"1,0988685"
09/01/2006 22.00,2,"4,21289315","0,24096278","76,11693075",,"1,07288415"
09/01/2006 23.00,2,"2,71774357","0,1556475","76,76426835",,"1,95126705"
10/01/2006 0.00,2,"4,0493617","0,21713387","72,62204985",,"1,2687075"
10/01/2006 1.00,,"4,24793438","0,17613752","72,82342515",,"1,9551825"
10/01/2006 2.00,3,,"0,18333955","75,8817801",,"0,8692299"
10/01/2006 3.00,2,"3,86895686",,"75,67635495",,"1,3962393"
10/01/2006 4.00,3,"3,35499978","0,11884864","75,8290722",,"1,2902679"
10/01/2006 5.00,3,"3,51334015","0,02633366","72,3355479",,"1,21729815"
10/01/2006 6.00,3,"5,7015515","0,02115524","68,1149259",,"0,9073674"
10/01/2006 7.00,3,"3,98187193","0,00623508","70,22186535",,"1,633302"
10/01/2006 8.00,4,"13,03452082","0,01725365","51,863616",,"1,03291605"
10/01/2006 9.00,4,"9,36804094","0,00104268","56,56804545",,"0,9129609"
10/01/2006 10.00,4,"2,92800047","0,00203992","75,93853785",,"0,89592615"
10/01/2006 11.00,5,"3,0538942","0,21698591","78,2414262",,"2,0904435"
10/01/2006 12.00,4,"4,82678664","0,63312158","79,7010081",,"0,8547885"
10/01/2006 13.00,4,"4,48885976","0,62491532","81,56790915",,
10/01/2006 14.00,4,"2,12331806","0,52598236","84,3189543",,"1,31726925"
10/01/2006 15.00,2,"2,27387277","0,86309025","87,17729055",,"1,17499095"
10/01/2006 16.00,3,"3,3809571","1,10277619","87,1083633",,"0,6877971"
10/01/2006 17.00,2,"4,54644538","0,89789812","84,3135279",,"1,209213"
