, Brindisi,,,,,,
07/01/2009 4.00,"0,0","22,9","21,6","0,5","44,5","4,2",
07/01/2009 5.00,"0,0","11,8","13,6","0,4","54,4","2,3",
07/01/2009 6.00,"0,0","15,2","16,6","0,4","55,5","1,8",
07/01/2009 7.00,"0,0","29,5","31,1","0,5","43,3","1,7",
07/01/2009 8.00,"0,0","86,7","63,9","0,6","21,1","1,9",
07/01/2009 9.00,"0,1","151,8","83,9","0,9","20,3","2,5",
07/01/2009 10.00,"0,0","126,0","69,2","0,6","27,3","3,3",
07/01/2009 11.00,"0,0","65,6","42,8","0,5","46,1","2,3",
07/01/2009 12.00,"0,0","54,5","31,8","0,4","57,4","2,2",
07/01/2009 13.00,"0,0","47,3","23,4","0,4","66,9","2,2",
07/01/2009 14.00,"0,0","48,6","21,3","0,4","69,4","1,4",
07/01/2009 15.00,"0,0","50,8","21,5","0,4","69,0","1,6",
07/01/2009 16.00,"0,0","51,3","23,3","0,3","68,7","1,6",
07/01/2009 17.00,"0,0","39,2","17,4","0,3","72,7","1,1",
07/01/2009 18.00,"0,1","39,3","19,8","0,4","70,6","1,9",
07/01/2009 19.00,"0,0","42,9","25,8","0,4","60,3","1,3",
07/01/2009 20.00,"0,0","54,4","33,0","0,5","47,9","1,9",
07/01/2009 21.00,"0,0","69,6","50,0","0,6","34,3","2,5",
07/01/2009 22.00,"0,0","39,5","27,3","0,5","49,8","2,2",
07/01/2009 23.00,"0,0","19,8","14,5","0,4","63,4","1,6",
08/01/2009 0.00,"0,0","16,4","11,0","0,3","66,1","1,2",
08/01/2009 1.00,"0,0","26,1","16,5","0,4","60,6","1,0",
08/01/2009 2.00,"0,0",,,"0,4","56,0","1,1",
08/01/2009 3.00,"0,0","19,2","10,6",,"57,9","1,0",
08/01/2009 4.00,"0,0","23,4","13,3","0,3",,"1,0",
08/01/2009 5.00,"0,0","26,1","15,1","0,4","43,4","1,0",
08/01/2009 6.00,"0,0","30,3","20,3","0,4","42,8","1,0",
08/01/2009 7.00,"0,0","73,8","39,0","0,5","26,5","1,1",
08/01/2009 8.00,"0,0","230,3","81,4","1,2","16,1","1,6",
08/01/2009 9.00,"0,0","336,7","109,3","1,7","16,2","4,0",
08/01/2009 10.00,"0,2","302,3","96,0","1,3","16,5","5,6",
08/01/2009 11.00,"0,0","245,7","87,0","1,2","17,7","4,5",
08/01/2009 12.00,"0,1","257,1","92,3","1,5","17,4","4,7",
08/01/2009 13.00,"0,2","262,9","104,6","1,3","16,2","5,5",
08/01/2009 14.00,"0,1","150,6","71,4","0,7","28,4","5,3",
08/01/2009 15.00,"0,1","130,8","73,9","0,6","32,4","2,6",
08/01/2009 16.00,"0,0","66,7","35,6","0,4","56,5","1,9",
08/01/2009 17.00,"0,0","77,6","44,7","0,6","43,0","1,6",
08/01/2009 18.00,"0,0","111,7","66,4","0,7","27,4","2,0",
08/01/2009 19.00,"0,0","89,3","56,3","0,7","32,0","2,4",
08/01/2009 20.00,"0,1","127,9","72,9","0,8","19,1","2,8",
08/01/2009 21.00,"0,0","169,2","90,6","1,1","17,2","3,6",
08/01/2009 22.00,"0,1","179,1","90,4","1,1","16,9","4,2",
08/01/2009 23.00,"0,1","81,7","56,4","0,6","19,4","4,1",
09/01/2009 0.00,"0,0","70,8","46,4","0,5","19,6","2,3",
09/01/2009 1.00,"0,0","53,0","37,2","0,5","34,2","2,6",
09/01/2009 2.00,"0,1","43,5","28,4","0,3","49,7","1,0",
09/01/2009 3.00,"0,0","64,7","31,5","0,3","43,1","1,4",
09/01/2009 4.00,"0,0","58,3","41,5","0,3","32,9","0,8",
09/01/2009 5.00,"0,0","32,1","16,8","0,3","57,5","1,2",
09/01/2009 6.00,"0,0","34,1","17,9","0,3","55,4","1,4",
09/01/2009 7.00,"0,0","33,7","18,1","0,4","57,0","1,5",
09/01/2009 8.00,"0,0","40,5","24,5","0,6","47,9","1,5",
09/01/2009 9.00,"0,0","29,4","21,4","0,6","39,7","2,8",
09/01/2009 10.00,"0,0","48,4","31,3","0,5","34,3","2,3",
09/01/2009 11.00,"0,0","24,2","17,3","0,5","49,2","1,8",
09/01/2009 12.00,"0,1","29,6","18,5","0,6","49,3","1,8",
09/01/2009 13.00,"0,0","32,8","22,4","0,5","48,7","2,5",
09/01/2009 14.00,"0,0","33,9","21,8","0,5","54,4","2,0",
09/01/2009 15.00,"0,0","23,3","17,7","0,5","55,2","2,0",
09/01/2009 16.00,"0,0","39,1","29,5","0,5","45,8","2,1",
09/01/2009 17.00,"0,0","37,4","32,2","0,5","43,6","2,0",
09/01/2009 18.00,"0,0","29,8","26,5","0,5","48,3","1,9",
09/01/2009 19.00,"0,0","38,0","34,2","0,5","44,4","1,9",
09/01/2009 20.00,"0,0","34,5","26,5","0,5","47,6","2,0",
09/01/2009 21.00,"0,0","72,2","43,2","0,6","35,3","2,5",
09/01/2009 22.00,"0,0","13,8","15,4","0,5","59,5","2,4",
09/01/2009 23.00,"0,0","16,5","17,0","0,5","62,3","1,9",
10/01/2009 0.00,"0,0","13,9","17,4","0,5","62,9","1,8",
10/01/2009 1.00,,"21,2","19,8","0,4","48,1","1,8",
10/01/2009 2.00,,,,"0,4","52,9","2,0",
10/01/2009 3.00,,"34,8","27,5",,"37,4","1,8",
10/01/2009 4.00,,"3,4","7,0","0,4",,"1,9",
10/01/2009 5.00,,"4,1","9,4","0,4","49,3","1,5",
10/01/2009 6.00,,,,"0,3","60,0","2,0",
10/01/2009 7.00,,,,"0,3","62,7","1,1",
10/01/2009 8.00,,"7,1","12,3","0,3","48,3","1,0",
10/01/2009 9.00,,"5,9","8,8","0,5","52,1","1,1",
10/01/2009 10.00,,"4,5","6,9","0,4","56,7","1,6",
10/01/2009 11.00,,"4,0","7,2","0,4","60,0","1,3",
10/01/2009 12.00,,"14,0","12,7","0,4","53,1","1,2",
10/01/2009 13.00,,"12,4","11,7","0,3","61,5","1,1",
10/01/2009 14.00,,"5,9","5,8","0,3","65,7","1,2",
10/01/2009 15.00,,"6,7","6,1","0,3","61,7","0,4",
10/01/2009 16.00,,"7,7","7,9","0,4","56,6","1,0",
10/01/2009 17.00,,"9,4","9,5","0,4","47,1","1,2",
10/01/2009 18.00,,"29,8","25,4","0,5","34,6","1,9",
10/01/2009 19.00,,"19,6","20,6","0,6","38,3","2,0",
10/01/2009 20.00,,"17,1","17,3","0,5","40,4","2,0",
10/01/2009 21.00,,"23,8","24,2","0,6","37,7","1,9",
10/01/2009 22.00,,"18,2","18,0","0,5","34,8","2,4",
10/01/2009 23.00,,"19,8","21,0","0,5","35,2","1,9",
11/01/2009 0.00,,"15,0","17,1","0,5","33,0","2,3",
11/01/2009 1.00,"0,0","15,4","16,8","0,5","28,1","1,9",
11/01/2009 2.00,"0,0","17,6","19,9","0,5","29,5","1,8",
11/01/2009 3.00,"0,0","11,4","14,5","0,5","32,2","1,8",
11/01/2009 4.00,"0,0","11,7","13,6","0,5","33,3","1,8",
11/01/2009 5.00,"0,0","11,3","14,7","0,4","36,1","1,6",
11/01/2009 6.00,"0,0","6,1","8,9","0,4","42,2","1,6",
11/01/2009 7.00,"0,0","10,1","12,8","0,4","50,5","1,6",
11/01/2009 8.00,"0,0","2,9","7,7","0,3","67,0","1,6",
11/01/2009 9.00,"0,0","4,2","7,8","0,4","67,0","1,0",
11/01/2009 10.00,"0,0","2,3","5,7","0,3","72,6","1,4",
11/01/2009 11.00,"0,0","3,0","4,8","0,3","74,6","1,2",
11/01/2009 12.00,"0,0","9,3","9,5","0,4","73,2","1,3",
11/01/2009 13.00,"0,0","8,3","8,8","0,4","70,7","1,3",
11/01/2009 14.00,"0,0","11,7","9,4","0,4","73,3","1,6",
11/01/2009 15.00,"0,0","6,5","6,4","0,4","78,3","1,5",
11/01/2009 16.00,"0,1","7,1","6,9","0,3","75,4","1,3",
11/01/2009 17.00,"0,0","11,2","10,3","0,4","70,9","1,3",
11/01/2009 18.00,"0,0","28,9","26,5","0,6","45,7","1,6",
11/01/2009 19.00,"0,0","21,3","21,4","0,6","35,2","2,2",
11/01/2009 20.00,"0,0","39,0","35,3","0,7","37,9","2,6",
11/01/2009 21.00,"0,0","29,1","29,3","0,7","35,8","2,7",
11/01/2009 22.00,"0,0","26,1","25,2","0,7","28,5","3,3",
11/01/2009 23.00,"0,0","32,0","32,6","0,6","26,6","2,6",
12/01/2009 0.00,"0,0","17,4","20,6","0,6","32,3","2,6",
12/01/2009 1.00,"0,0","12,1","15,5","0,5","37,3","2,0",
12/01/2009 2.00,"0,0",,,"0,5","37,5","1,9",
12/01/2009 3.00,"0,0","5,3","10,7",,"42,6","1,7",
12/01/2009 4.00,"0,0","4,8","9,8","0,4",,"1,5",
12/01/2009 5.00,"0,1","6,8","10,9","0,4","39,0","1,5",
12/01/2009 6.00,"0,0","23,0","22,0","0,5","21,8","1,3",
12/01/2009 7.00,"0,1","75,1","30,1","1,1","13,3","2,0",
12/01/2009 8.00,"0,0","171,8","53,2","1,5","14,2","3,2",
12/01/2009 9.00,"0,3","461,0","123,6","2,5","15,4","5,0",
12/01/2009 10.00,"0,0","62,0","35,6","1,0","17,9","8,2",
12/01/2009 11.00,,,,"0,8","19,0",,
12/01/2009 12.00,,,,"0,5","2,6","3,0",
12/01/2009 13.00,"3,2",,,"0,6","3,5","2,2",
12/01/2009 14.00,"2,4",,,"0,6","2,8","2,0",
12/01/2009 15.00,"1,7",,,"0,5","2,1","1,9",
12/01/2009 16.00,"2,3",,,"0,5","2,8","2,4",
12/01/2009 17.00,"2,4",,,"0,5","2,3","2,4",
12/01/2009 18.00,"2,2",,,"0,6","3,0","1,8",
12/01/2009 19.00,"2,2",,,"1,2","12,2","2,2",
12/01/2009 20.00,"2,2",,,"1,8","21,0","3,9",
12/01/2009 21.00,"3,3",,,"2,7","35,1","7,6",
12/01/2009 22.00,"4,0",,,"1,8","19,8","9,8",
12/01/2009 23.00,"2,2",,,"1,3","11,1","7,5",
13/01/2009 0.00,"1,9",,,"1,2","9,1","5,1",
13/01/2009 1.00,"1,2",,,"0,9","6,0","4,5",
13/01/2009 2.00,"1,6",,,"0,9","5,3","3,4",
13/01/2009 3.00,"1,7",,,"1,0","5,9","3,1",
13/01/2009 4.00,"2,0",,,"0,6","2,6","3,6",
13/01/2009 5.00,"1,4",,,"0,5","2,2","2,3",
13/01/2009 6.00,"0,8",,,"0,5","2,6","3,1",
13/01/2009 7.00,"1,2",,,"0,4","1,8","3,4",
13/01/2009 8.00,"1,2",,,"0,5","3,0","2,3",
13/01/2009 9.00,"1,1",,,"0,6","4,0","1,7",
13/01/2009 10.00,"0,9",,,"0,5","3,3","1,6",
13/01/2009 11.00,"0,6",,,"0,5","2,1","1,8",
13/01/2009 12.00,"0,7",,,"0,4","2,7","1,5",
13/01/2009 13.00,"0,9",,,"0,4","2,4","2,1",
13/01/2009 14.00,,,,"0,4","4,3","1,4",
13/01/2009 15.00,"1,3",,,"0,3","3,3","2,2",
13/01/2009 16.00,"1,8","46,3","19,2","0,3","2,1","0,4",
13/01/2009 17.00,"1,2","47,7","19,4","0,4","1,5","1,7",
13/01/2009 18.00,"1,8","43,9","16,3","0,4","0,9","1,2",
13/01/2009 19.00,"1,3","45,9","17,6","0,4","0,9","0,4",
13/01/2009 20.00,"3,4","38,1","9,8","0,4","1,2","0,8",
13/01/2009 21.00,"4,2","39,6","10,0","0,4","0,6","1,1",
13/01/2009 22.00,"4,6","49,4","17,1","0,4","0,7","1,0",
13/01/2009 23.00,"3,5","47,1","16,7","0,4","0,5","0,8",
14/01/2009 0.00,"4,8","38,5","8,6","0,4","1,0","0,8",
14/01/2009 1.00,,"37,1","6,6","0,3","0,5","0,8",
14/01/2009 2.00,"2,2",,,"0,3","2,3","0,6",
14/01/2009 3.00,"2,7",,,,,"0,6",
14/01/2009 4.00,"2,3",,,"0,3",,"0,6",
14/01/2009 5.00,"1,9",,,"0,3",,"0,7",
14/01/2009 6.00,"2,0",,,"0,2",,"0,7",
14/01/2009 7.00,"2,3",,,"0,3",,"0,5",
14/01/2009 8.00,"0,8",,,"0,3",,"0,5",
14/01/2009 9.00,"0,9",,,"0,4",,"0,7",
14/01/2009 10.00,"0,6",,,"0,3",,"0,8",
14/01/2009 11.00,"1,4",,,"0,3",,"0,9",
14/01/2009 12.00,"1,1",,,"0,3",,"0,9",
14/01/2009 13.00,"1,4",,,"0,3",,"1,3",
14/01/2009 14.00,"1,2",,,"0,3",,"1,0",
14/01/2009 15.00,"1,4",,,"0,3",,"0,8",
14/01/2009 16.00,"1,4",,,"0,3",,"0,7",
14/01/2009 17.00,"1,4",,,"0,3",,"0,7",
14/01/2009 18.00,"1,5",,,"0,3",,"1,3",
14/01/2009 19.00,"1,4",,,"0,4",,"0,9",
14/01/2009 20.00,"1,8",,,"0,4",,"1,0",
14/01/2009 21.00,"1,6",,,"0,4",,"1,0",
14/01/2009 22.00,"1,3",,,"0,4",,"1,8",
14/01/2009 23.00,"1,4",,,"0,4",,"1,0",
15/01/2009 0.00,"1,9",,,"0,4",,"1,2",
15/01/2009 1.00,"1,1",,,"0,4",,"1,3",
15/01/2009 2.00,"0,6",,,"0,4",,"1,1",
15/01/2009 3.00,"0,5",,,"0,3",,"1,5",
15/01/2009 4.00,"0,8",,,"0,3",,"0,9",
15/01/2009 5.00,"1,1",,,"0,3",,"1,0",
15/01/2009 6.00,"1,9",,,"0,4",,"1,2",
15/01/2009 7.00,"1,2",,,"0,4",,"1,0",
15/01/2009 8.00,"0,7",,,"0,5",,"1,1",
15/01/2009 9.00,"1,2",,,"0,6",,"1,5",
15/01/2009 10.00,"1,3",,,"0,7",,"2,1",
15/01/2009 11.00,"1,1",,,"0,6",,"2,7",
15/01/2009 12.00,"0,5",,,"0,6",,"2,3",
15/01/2009 13.00,"0,9","37,9","28,2","0,6","57,1","2,0",
15/01/2009 14.00,"0,6","35,6","31,0","0,5","55,8","1,5",
15/01/2009 15.00,"0,3","44,0","37,3","0,5","57,8","1,9",
15/01/2009 16.00,"0,4","66,7","54,5","0,7","48,4","2,4",
15/01/2009 17.00,"1,0","116,1","76,5","0,7","26,2","3,1",
15/01/2009 18.00,"1,3","249,2","102,7","2,7","17,9","3,0",
15/01/2009 19.00,"1,0","409,7","137,0","2,2","17,6","13,5",
15/01/2009 20.00,"1,5","543,4","165,1","2,8","18,6","10,1",
15/01/2009 21.00,"0,6","368,7","131,0","2,1","19,3","11,5",
15/01/2009 22.00,"0,9","326,3","126,0","1,5","17,7","8,9",
15/01/2009 23.00,"0,7","209,8","88,5","1,5","17,7","6,8",
16/01/2009 0.00,"0,2","87,4","56,2","0,8","21,8","5,9",
16/01/2009 1.00,,"53,9","47,9","0,6","21,7","3,0",
16/01/2009 2.00,"0,9",,,"0,6","28,0","2,4",
16/01/2009 3.00,"0,4","39,7","37,0",,"21,3","2,2",
16/01/2009 4.00,"0,3","35,0","34,5","0,5",,"2,0",
16/01/2009 5.00,"0,6","32,1","34,2","0,4","23,7","1,6",
16/01/2009 6.00,"0,4","34,5","34,0","0,4","22,9","1,5",
16/01/2009 7.00,"0,5","30,1","30,1","0,4","28,9","1,5",
16/01/2009 8.00,"0,4","39,8","33,7","0,4","25,9","1,6",
16/01/2009 9.00,"0,6","37,2","31,2","0,5","31,3","1,5",
16/01/2009 10.00,"0,9","29,1","25,4","0,5","39,1","1,6",
16/01/2009 11.00,"0,3","29,6","23,9","0,5","43,4","1,9",
16/01/2009 12.00,"0,6","25,1","22,0","0,5","51,1","1,9",
16/01/2009 13.00,"0,6","22,9","21,2","0,6","58,1","2,1",
16/01/2009 14.00,"0,9","25,4","21,1","0,5","58,6","2,0",
16/01/2009 15.00,"0,6","15,6","15,7","0,4","65,2","1,2",
16/01/2009 16.00,"0,8","16,5","16,3","0,4","67,5","1,5",
16/01/2009 17.00,"0,3","15,0","15,7","0,4","70,5","1,6",
16/01/2009 18.00,"0,5","20,8","20,1","0,4","67,0","1,6",
16/01/2009 19.00,"0,5","16,2","18,2","0,4","69,2","1,3",
16/01/2009 20.00,"1,1","15,8","17,9","0,4","69,9","1,5",
16/01/2009 21.00,"0,3","20,5","22,0","0,5","65,4","1,3",
16/01/2009 22.00,"0,7","29,0","29,0","0,5","47,7","1,6",
16/01/2009 23.00,"0,3","23,4","25,5","0,4","46,4","1,5",
17/01/2009 0.00,"0,5","22,0","24,7","0,4","46,0","1,5",
17/01/2009 1.00,"0,4","18,8","23,5","0,4","45,3","1,5",
17/01/2009 2.00,"0,3","13,0","18,3","0,4","50,8","1,3",
17/01/2009 3.00,"0,4","11,6","16,7","0,4","52,9","0,6",
17/01/2009 4.00,"0,4","10,3","15,3","0,4","54,8","1,2",
17/01/2009 5.00,"0,4","8,8","14,9","0,4","54,8","1,1",
17/01/2009 6.00,"0,5","9,8","15,7","0,4","53,6","1,0",
