Stat,Casardi,,,,,
,,,,,,,,,,
Parm,NO2,NOX,O3,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,
09/07/2014 11.00,,,"79,8","18,7",,"7,0"
09/07/2014 12.00,,,"85,5","18,7",,"7,0"
09/07/2014 13.00,,,"87,4","18,7",,"7,0"
09/07/2014 14.00,,,"92,7","18,7","0,3","7,0"
09/07/2014 15.00,"5,7","9,4","88,7","18,7","0,3","7,0"
09/07/2014 16.00,"5,0","9,1","91,2","18,7","0,4","7,0"
09/07/2014 17.00,"5,5","9,4","90,2","18,7","0,4","7,0"
09/07/2014 18.00,"9,2","13,6","83,8","18,7","0,6","7,0"
09/07/2014 19.00,"10,4","14,5","80,8","18,7","0,6","7,0"
09/07/2014 20.00,"12,7","16,9","70,0","18,7","0,5","7,0"
09/07/2014 21.00,"12,6","17,0","67,6","18,7","0,7","7,0"
09/07/2014 22.00,"7,8","11,8","70,9","18,7","0,5","7,0"
09/07/2014 23.00,"5,4","9,3","68,7","18,7","0,4","7,0"
10/07/2014 0.00,"4,4","8,2","69,9","18,7","0,4","7,0"
10/07/2014 1.00,"3,5","7,4","69,3","14,2","0,3","6,3"
10/07/2014 2.00,"3,0","6,7","65,3","14,2","0,3","6,3"
10/07/2014 3.00,"3,0","6,8","62,0","14,2","0,3","6,3"
10/07/2014 4.00,"3,6","7,4","64,8","14,2","0,3","6,3"
10/07/2014 5.00,"5,3","8,9","61,4","14,2","0,3","6,3"
10/07/2014 6.00,"8,3","12,2","54,0","14,2","0,4","6,3"
10/07/2014 7.00,"14,1","18,2","53,8","14,2","0,5","6,3"
10/07/2014 8.00,"12,6","16,6","60,7","14,2","0,4","6,3"
10/07/2014 9.00,"13,4","17,9","63,7","14,2","0,5","6,3"
10/07/2014 10.00,"9,2","13,2","72,4","14,2","0,4","6,3"
10/07/2014 11.00,"7,4","11,2","77,5","14,2","0,4","6,3"
10/07/2014 12.00,"7,8","12,0","85,6","14,2","0,5","6,3"
10/07/2014 13.00,"9,9","14,1","83,8","14,2","0,4","6,3"
10/07/2014 14.00,"7,8","11,8","87,5","14,2","0,4","6,3"
10/07/2014 15.00,"9,3","13,7","79,3","14,2","0,5","6,3"
10/07/2014 16.00,"10,7","15,0","79,8","14,2","0,5","6,3"
10/07/2014 17.00,"12,4","16,8","79,6","14,2","0,5","6,3"
10/07/2014 18.00,"14,1","18,3","73,0","14,2","0,6","6,3"
10/07/2014 19.00,"13,7","18,0","71,1","14,2","0,6","6,3"
10/07/2014 20.00,"15,5","20,1","68,1","14,2","0,8","6,3"
10/07/2014 21.00,"15,7","19,9","65,3","14,2","0,7","6,3"
10/07/2014 22.00,"12,7","16,7","63,3","14,2","0,7","6,3"
10/07/2014 23.00,"8,4","12,3","63,5","14,2","0,5","6,3"
11/07/2014 0.00,"7,7","11,4","59,5","14,2","0,4","6,3"
11/07/2014 1.00,"8,0","11,3","56,2","14,7","0,5","6,3"
11/07/2014 2.00,"6,5","10,2","58,1","14,7","0,4","6,3"
11/07/2014 3.00,,,"56,9","14,7","0,4","6,3"
11/07/2014 4.00,"8,4","13,0","52,5","14,7","0,3","6,3"
11/07/2014 5.00,"11,9","16,0",,"14,7","0,4","6,3"
11/07/2014 6.00,"13,4","17,4","61,8","14,7","0,4","6,3"
11/07/2014 7.00,"15,0","18,9","65,9","14,7","0,4","6,3"
11/07/2014 8.00,"14,7","18,7","74,4","14,7","0,5","6,3"
11/07/2014 9.00,"15,6","19,5","75,0","14,7","0,6","6,3"
11/07/2014 10.00,"18,3","22,9","77,5","14,7","0,7","6,3"
11/07/2014 11.00,"15,7","20,2","80,5","14,7","0,7","6,3"
11/07/2014 12.00,"15,3","19,5","79,5","14,7","0,6","6,3"
11/07/2014 13.00,"14,7","19,1","84,7","14,7","0,8","6,3"
11/07/2014 14.00,"8,0","12,1","90,0","14,7","0,6","6,3"
11/07/2014 15.00,"5,4","9,5","92,0","14,7","0,5","6,3"
11/07/2014 16.00,"6,0","10,2","90,7","14,7","0,5","6,3"
11/07/2014 17.00,"7,8","11,9","89,3","14,7","0,6","6,3"
11/07/2014 18.00,"7,7","11,4","90,6","14,7","0,6","6,3"
11/07/2014 19.00,"7,1","11,0","87,1","14,7","0,5","6,3"
11/07/2014 20.00,"12,9","16,9","76,5","14,7","0,8","6,3"
11/07/2014 21.00,"18,5","23,0","65,1","14,7","0,9","6,3"
11/07/2014 22.00,"20,0","24,1","54,7","14,7","0,8","6,3"
11/07/2014 23.00,"14,5","18,5","55,2","14,7","0,7","6,3"
12/07/2014 0.00,"12,2","16,5","62,0","14,7","0,6","6,3"
12/07/2014 1.00,"9,7","13,3","70,9","13,6","0,6","7,8"
12/07/2014 2.00,"7,0","10,7","76,9","13,6","0,5","7,8"
12/07/2014 3.00,"5,4","9,1","75,7","13,6","0,5","7,8"
12/07/2014 4.00,"6,9","10,4","69,0","13,6","0,5","7,8"
12/07/2014 5.00,"9,1","12,5","63,8","13,6","0,4","7,8"
12/07/2014 6.00,"12,4","16,3","61,5","13,6","0,5","7,8"
12/07/2014 7.00,"16,0","20,6","63,6","13,6","0,6","7,8"
12/07/2014 8.00,"13,5","17,9","78,6","13,6","0,6","7,8"
12/07/2014 9.00,"10,2","14,2","87,0","13,6","0,7","7,8"
12/07/2014 10.00,"8,5","12,5","91,2","13,6","0,5","7,8"
12/07/2014 11.00,"10,5","14,7","96,2","13,6","0,7","7,8"
12/07/2014 12.00,"12,5","17,0","104,1","13,6","0,7","7,8"
12/07/2014 13.00,"11,2","15,2","107,6","13,6","0,7","7,8"
12/07/2014 14.00,"6,7","11,2","106,7","13,6","0,4","7,8"
12/07/2014 15.00,"4,6","8,6","109,3","13,6","0,3","7,8"
12/07/2014 16.00,"4,6","8,7","107,7","13,6","0,3","7,8"
12/07/2014 17.00,"6,5","10,5","95,9","13,6","0,3","7,8"
12/07/2014 18.00,"13,4","17,4","91,1","13,6","0,4","7,8"
12/07/2014 19.00,"13,4","17,1","84,6","13,6","0,7","7,8"
12/07/2014 20.00,"12,4","16,5","86,3","13,6","0,5","7,8"
12/07/2014 21.00,"12,2","16,7","71,2","13,6","0,7","7,8"
12/07/2014 22.00,"13,7","17,8","60,7","13,6","0,7","7,8"
12/07/2014 23.00,"10,2","14,3","67,6","13,6","0,6","7,8"
13/07/2014 0.00,"7,4","11,9","71,0","13,6","0,5","7,8"
13/07/2014 1.00,"7,8","11,6","67,3","10,8","0,5","6,9"
13/07/2014 2.00,"8,5","12,2","62,4","10,8","0,5","6,9"
13/07/2014 3.00,,,"59,2","10,8","0,4","6,9"
13/07/2014 4.00,"6,0","10,1","64,7","10,8","0,4","6,9"
13/07/2014 5.00,"5,1","9,0",,"10,8","0,3","6,9"
13/07/2014 6.00,"4,9","9,0","64,3","10,8","0,3","6,9"
13/07/2014 7.00,"5,5","9,4","65,5","10,8","0,6","6,9"
13/07/2014 8.00,"8,3","12,4","69,1","10,8","0,4","6,9"
13/07/2014 9.00,"8,7","13,1","78,0","10,8","0,4","6,9"
13/07/2014 10.00,"8,3","12,9","71,5","10,8","0,4","6,9"
13/07/2014 11.00,"7,1","11,4","76,6","10,8","0,5","6,9"
13/07/2014 12.00,"6,8","11,2","77,2","10,8","0,5","6,9"
13/07/2014 13.00,"7,6","11,9","79,5","10,8","0,5","6,9"
13/07/2014 14.00,"5,8","10,2","80,9","10,8","0,4","6,9"
13/07/2014 15.00,"6,0","10,0","74,6","10,8","0,3","6,9"
13/07/2014 16.00,"5,2","9,1","77,2","10,8","0,2","6,9"
13/07/2014 17.00,"7,4","11,7","73,7","10,8","0,4","6,9"
13/07/2014 18.00,"8,5","12,5","77,9","10,8","0,4","6,9"
13/07/2014 19.00,"10,2","14,3","77,5","10,8","0,5","6,9"
13/07/2014 20.00,"14,9","19,1","65,2","10,8","0,7","6,9"
13/07/2014 21.00,"16,3","20,5","63,4","10,8","0,9","6,9"
13/07/2014 22.00,"11,5","15,6","64,4","10,8","0,6","6,9"
13/07/2014 23.00,"9,4","13,6","58,0","10,8","0,5","6,9"
14/07/2014 0.00,"8,3","12,4","60,7","10,8","0,4","6,9"
14/07/2014 1.00,"8,3","12,6","59,6","11,6","0,5","7,7"
14/07/2014 2.00,"6,8","10,8","61,6","11,6","0,4","7,7"
14/07/2014 3.00,"4,9","8,7","63,5","11,6","0,3","7,7"
14/07/2014 4.00,"5,5","9,2","65,0","11,6","0,3","7,7"
14/07/2014 5.00,"5,2","9,1","65,4","11,6","0,3","7,7"
14/07/2014 6.00,"7,4","11,1","63,0","11,6","0,3","7,7"
14/07/2014 7.00,"10,1","13,8","64,9","11,6","0,4","7,7"
14/07/2014 8.00,"10,3","14,3","74,9","11,6","0,5","7,7"
14/07/2014 9.00,"9,3","13,2","78,4","11,6","0,4","7,7"
14/07/2014 10.00,"8,2","11,9","81,0","11,6","0,5","7,7"
14/07/2014 11.00,"10,9","15,2","84,0","11,6","0,7","7,7"
14/07/2014 12.00,"10,7","14,8","86,2","11,6","0,8","7,7"
14/07/2014 13.00,"8,9","13,2","90,0","11,6","0,5","7,7"
14/07/2014 14.00,"7,0","11,0","92,3","11,6","0,4","7,7"
14/07/2014 15.00,"4,7","8,9","92,8","11,6","0,2","7,7"
14/07/2014 16.00,"5,0","8,9","88,4","11,6","0,3","7,7"
14/07/2014 17.00,"5,3","9,0","81,6","11,6","0,4","7,7"
14/07/2014 18.00,"10,4","14,3","70,8","11,6","0,2","7,7"
14/07/2014 19.00,"12,9","16,7","64,5","11,6","0,5","7,7"
14/07/2014 20.00,"17,9","21,9","50,7","11,6","0,8","7,7"
14/07/2014 21.00,"24,0","28,5","34,8","11,6","0,9","7,7"
14/07/2014 22.00,"18,9","22,7","46,2","11,6","0,8","7,7"
14/07/2014 23.00,"14,4","18,3","52,1","11,6","0,6","7,7"
15/07/2014 0.00,"12,0","15,6","44,3","11,6","0,5","7,7"
15/07/2014 1.00,"8,8","12,2","50,6","11,9","0,5","7,6"
15/07/2014 2.00,"5,8","9,4","57,2","11,9","0,4","7,6"
15/07/2014 3.00,,,"54,9","11,9","0,4","7,6"
15/07/2014 4.00,"5,2","9,0","50,8","11,9","0,4","7,6"
15/07/2014 5.00,"8,2","11,9",,"11,9","0,4","7,6"
15/07/2014 6.00,"11,0","15,1","43,6","11,9","0,5","7,6"
15/07/2014 7.00,"13,0","17,1","46,9","11,9","0,5","7,6"
15/07/2014 8.00,"13,7","18,0","56,0","11,9","0,5","7,6"
15/07/2014 9.00,"13,7","17,4","68,6","11,9","0,6","7,6"
15/07/2014 10.00,"10,6","14,7","82,8","11,9","0,7","7,6"
15/07/2014 11.00,"9,6","13,3","87,2","11,9","0,5","7,6"
15/07/2014 12.00,"8,8","13,0","94,2","11,9","0,6","7,6"
15/07/2014 13.00,"6,9","11,0","99,4","11,9","0,5","7,6"
15/07/2014 14.00,"4,9","8,5","101,1","11,9","0,4","7,6"
15/07/2014 15.00,"4,5","8,5","96,0","11,9","0,3","7,6"
15/07/2014 16.00,"6,2","10,9","93,3","11,9","0,5","7,6"
15/07/2014 17.00,"5,7","9,7","91,2","11,9","0,5","7,6"
15/07/2014 18.00,"7,1","11,1","85,6","11,9","0,5","7,6"
15/07/2014 19.00,"9,0","13,2","82,3","11,9","0,5","7,6"
15/07/2014 20.00,"13,3","17,1","77,3","11,9","0,8","7,6"
15/07/2014 21.00,"16,6","20,8","68,0","11,9","1,1","7,6"
15/07/2014 22.00,"14,7","18,7","58,8","11,9","1,1","7,6"
15/07/2014 23.00,"9,8","13,9","59,6","11,9","0,7","7,6"
16/07/2014 0.00,"7,1","11,0","65,5","11,9","0,5","7,6"
16/07/2014 1.00,"5,8","10,4","64,9","16,0","0,5","12,2"
16/07/2014 2.00,"4,8","8,7","66,2","16,0","0,5","12,2"
16/07/2014 3.00,"4,5","8,3","66,3","16,0","0,4","12,2"
16/07/2014 4.00,"5,7","9,3","62,9","16,0","0,3","12,2"
16/07/2014 5.00,"8,8","12,7","55,0","16,0","0,5","12,2"
16/07/2014 6.00,"11,4","15,4","51,9","16,0","0,5","12,2"
16/07/2014 7.00,"14,1","18,3","53,0","16,0","0,5","12,2"
16/07/2014 8.00,"16,8","21,2","55,9","16,0","0,6","12,2"
16/07/2014 9.00,"14,9","19,4","72,2","16,0","0,9","12,2"
16/07/2014 10.00,"9,9","13,8","81,3","16,0","0,7","12,2"
16/07/2014 11.00,"7,8","11,7","89,5","16,0","0,6","12,2"
16/07/2014 12.00,"6,0","10,2","93,1","16,0","0,5","12,2"
16/07/2014 13.00,"6,5","10,9","93,9","16,0","0,5","12,2"
16/07/2014 14.00,"4,8","9,1","99,6","16,0","0,4","12,2"
16/07/2014 15.00,"6,7","11,2","100,4","16,0","0,5","12,2"
16/07/2014 16.00,"7,5","11,9","103,2","16,0","0,5","12,2"
16/07/2014 17.00,"5,1","9,4","104,2","16,0","0,5","12,2"
16/07/2014 18.00,"7,3","11,5","96,9","16,0","0,5","12,2"
16/07/2014 19.00,"11,9","15,7","91,7","16,0","0,7","12,2"
16/07/2014 20.00,"13,4","17,6","88,4","16,0","0,8","12,2"
16/07/2014 21.00,"15,1","19,2","83,6","16,0","1,2","12,2"
16/07/2014 22.00,"15,1","19,3","73,3","16,0","1,1","12,2"
16/07/2014 23.00,"9,7","14,0","78,1","16,0","0,7","12,2"
17/07/2014 0.00,"7,4","11,2","85,4","16,0","0,5","12,2"
17/07/2014 1.00,"6,2","10,3","88,6","19,2","0,5","13,9"
17/07/2014 2.00,"5,0","9,2","89,4","19,2","0,5","13,9"
17/07/2014 3.00,,,"92,3","19,2","0,5","13,9"
17/07/2014 4.00,"5,7","9,8","91,5","19,2","0,4","13,9"
17/07/2014 5.00,"7,6","11,7",,"19,2","0,4","13,9"
17/07/2014 6.00,"10,4","14,4","79,1","19,2","0,5","13,9"
17/07/2014 7.00,"14,0","18,3","76,5","19,2","0,5","13,9"
17/07/2014 8.00,"15,7","20,4","73,1","19,2","0,6","13,9"
17/07/2014 9.00,"13,7","18,3","82,9","19,2","0,8","13,9"
17/07/2014 10.00,"10,7","14,9","92,1","19,2","0,7","13,9"
17/07/2014 11.00,"8,1","12,1","99,4","19,2","0,6","13,9"
17/07/2014 12.00,"7,6","12,0","104,8","19,2","0,5","13,9"
17/07/2014 13.00,"5,9","10,6","105,0","19,2","0,5","13,9"
17/07/2014 14.00,"5,5","9,9","109,1","19,2","0,4","13,9"
17/07/2014 15.00,"5,6","10,1","103,6","19,2","0,4","13,9"
17/07/2014 16.00,"6,6","11,1","107,6","19,2","0,4","13,9"
17/07/2014 17.00,"6,4","10,9","110,6","19,2","0,5","13,9"
17/07/2014 18.00,"8,3","12,6","106,7","19,2","0,6","13,9"
17/07/2014 19.00,"9,5","13,6","103,0","19,2","0,5","13,9"
17/07/2014 20.00,"10,1","14,2","101,2","19,2","0,7","13,9"
17/07/2014 21.00,"11,3","15,2","99,5","19,2","0,9","13,9"
17/07/2014 22.00,"11,9","16,3","82,7","19,2","1,0","13,9"
17/07/2014 23.00,"12,2","16,3","75,7","19,2","0,7","13,9"
18/07/2014 0.00,"9,1","13,0","87,9","19,2","0,5","13,9"
18/07/2014 1.00,"6,2","10,4","94,3","20,7","0,5","14,6"
18/07/2014 2.00,"4,9","9,1","96,4","20,7","0,5","14,6"
18/07/2014 3.00,"5,1","9,4","96,6","20,7","0,5","14,6"
18/07/2014 4.00,"6,1","10,0","96,2","20,7","0,4","14,6"
18/07/2014 5.00,"9,3","13,0","91,6","20,7","0,4","14,6"
18/07/2014 6.00,"11,5","15,3","89,8","20,7","0,5","14,6"
18/07/2014 7.00,"14,4","18,7","90,3","20,7","0,5","14,6"
18/07/2014 8.00,"15,6","19,6","88,1","20,7","0,5","14,6"
18/07/2014 9.00,"14,0","17,9","99,7","20,7","1,0","14,6"
18/07/2014 10.00,,,,"20,7",,"14,6"
18/07/2014 11.00,"12,2","16,2","101,8","20,7","0,8","14,6"
18/07/2014 12.00,"5,8","9,7","107,3","20,7","0,3","14,6"
18/07/2014 13.00,,,,"20,7",,"14,6"
18/07/2014 14.00,"5,3","9,5","109,9","20,7","0,6","14,6"
18/07/2014 15.00,"6,4","10,6","113,7","20,7","0,5","14,6"
18/07/2014 16.00,,,,"20,7",,"14,6"
18/07/2014 17.00,"5,1","9,4","119,0","20,7","0,5","14,6"
18/07/2014 18.00,"7,4","11,3","123,5","20,7","0,6","14,6"
18/07/2014 19.00,,,,"20,7",,"14,6"
18/07/2014 20.00,"9,2","13,4","114,3","20,7","0,6","14,6"
18/07/2014 21.00,"12,0","16,1","109,4","20,7","1,0","14,6"
18/07/2014 22.00,"12,9","17,1","90,7","20,7","1,0","14,6"
18/07/2014 23.00,"10,6","14,7","93,9","20,7","0,8","14,6"
19/07/2014 0.00,"7,5","12,0","102,7","20,7","0,5","14,6"
19/07/2014 1.00,"6,2","10,3","100,6","21,2","0,5","15,5"
19/07/2014 2.00,"5,0","8,9","98,4","21,2","0,5","15,5"
19/07/2014 3.00,,,"98,4","21,2","0,4","15,5"
19/07/2014 4.00,"5,5","9,7","102,0","21,2","0,4","15,5"
19/07/2014 5.00,"8,2","12,0",,"21,2","0,4","15,5"
19/07/2014 6.00,"10,1","14,0","91,7","21,2","0,4","15,5"
19/07/2014 7.00,"12,1","16,3","89,4","21,2","0,5","15,5"
19/07/2014 8.00,"13,2","17,7","92,7","21,2","0,6","15,5"
19/07/2014 9.00,"11,6","15,9","98,3","21,2","0,6","15,5"
19/07/2014 10.00,"9,3","13,2","109,5","21,2","0,7","15,5"
19/07/2014 11.00,"6,4","10,2","116,2","21,2","0,6","15,5"
19/07/2014 12.00,"9,9","13,9","115,9","21,2","0,6","15,5"
19/07/2014 13.00,"8,6","12,5","116,5","21,2","0,6","15,5"
19/07/2014 14.00,"4,8","8,8","121,2","21,2","0,5","15,5"
19/07/2014 15.00,,,,"21,2",,"15,5"
19/07/2014 16.00,"3,5","7,9","117,6","21,2","0,5","15,5"
19/07/2014 17.00,"4,6","8,8","109,3","21,2","0,5","15,5"
19/07/2014 18.00,,,,"21,2",,"15,5"
19/07/2014 19.00,"5,5","9,8","107,2","21,2","0,5","15,5"
19/07/2014 20.00,"8,0","11,8","98,1","21,2","0,6","15,5"
19/07/2014 21.00,,,,"21,2",,"15,5"
19/07/2014 22.00,"17,3","21,3","85,7","21,2","1,0","15,5"
19/07/2014 23.00,"18,3","22,4","65,3","21,2","0,9","15,5"
20/07/2014 0.00,,,,"21,2",,"15,5"
20/07/2014 1.00,"14,0","17,9","77,5","20,5","0,8","15,4"
20/07/2014 2.00,"8,4","12,7","85,1","20,5","0,6","15,4"
20/07/2014 3.00,"6,9","10,9","85,9","20,5","0,6","15,4"
20/07/2014 4.00,"5,9","9,5","89,4","20,5","0,5","15,4"
20/07/2014 5.00,"6,2","9,8","88,9","20,5","0,5","15,4"
20/07/2014 6.00,"6,7","10,7","92,4","20,5","0,4","15,4"
20/07/2014 7.00,"9,4","13,4","92,0","20,5","0,5","15,4"
20/07/2014 8.00,"11,2","15,2","106,5","20,5","0,7","15,4"
20/07/2014 9.00,"7,5","11,3","120,3","20,5","0,6","15,4"
20/07/2014 10.00,"6,1","9,8","119,1","20,5","0,6","15,4"
20/07/2014 11.00,"5,9","9,9","127,7","20,5","0,5","15,4"
20/07/2014 12.00,"7,2","11,1","126,8","20,5","0,5","15,4"
20/07/2014 13.00,"8,2","12,4","123,8","20,5","0,6","15,4"
20/07/2014 14.00,"6,1","10,3","112,7","20,5","0,6","15,4"
20/07/2014 15.00,"4,0","8,1","117,7","20,5","0,4","15,4"
20/07/2014 16.00,"2,6","6,9","115,9","20,5","0,3","15,4"
20/07/2014 17.00,,,,"20,5",,"15,4"
20/07/2014 18.00,"2,8","6,9","117,4","20,5","0,3","15,4"
20/07/2014 19.00,"3,6","7,2","113,3","20,5","0,3","15,4"
20/07/2014 20.00,,,,"20,5",,"15,4"
20/07/2014 21.00,"11,8","16,0","92,8","20,5","0,6","15,4"
20/07/2014 22.00,"18,6","22,8","72,5","20,5","0,7","15,4"
20/07/2014 23.00,,,,"20,5",,"15,4"
21/07/2014 0.00,"18,7","22,8","67,0","20,5","0,9","15,4"
21/07/2014 1.00,"13,3","17,8","61,7","35,5","0,6","15,2"
21/07/2014 2.00,,,,"35,5",,"15,2"
21/07/2014 3.00,"8,3","12,4","84,0","35,5","0,5","15,2"
21/07/2014 4.00,"12,0","16,0","62,1","35,5","0,6","15,2"
21/07/2014 5.00,"19,0","23,6",,"35,5","0,9","15,2"
21/07/2014 6.00,"35,2","40,5","26,8","35,5","1,1","15,2"
21/07/2014 7.00,"31,7","36,4","56,7","35,5","1,4","15,2"
21/07/2014 8.00,"22,9","27,0","90,7","35,5","1,1","15,2"
21/07/2014 9.00,"17,7","21,7","101,3","35,5","0,7","15,2"
21/07/2014 10.00,"17,0","21,3","91,9","35,5","0,7","15,2"
21/07/2014 11.00,"15,8","19,6","72,7","35,5","0,6","15,2"
21/07/2014 12.00,"14,9","18,7","69,3","35,5","0,6","15,2"
21/07/2014 13.00,"21,3","26,0","58,1","35,5","0,7","15,2"
21/07/2014 14.00,"15,5","19,4","79,5","35,5","0,7","15,2"
21/07/2014 15.00,"12,3","16,4","78,8","35,5","0,4","15,2"
21/07/2014 16.00,"16,6","20,8","80,8","35,5","0,6","15,2"
21/07/2014 17.00,"14,4","18,6","71,8","35,5","0,6","15,2"
21/07/2014 18.00,"10,7","14,8","84,5","35,5","0,6","15,2"
21/07/2014 19.00,"10,6","14,7","86,2","35,5","0,5","15,2"
21/07/2014 20.00,"13,1","16,9","85,0","35,5","0,6","15,2"
21/07/2014 21.00,"12,5","15,8","91,3","35,5","0,5","15,2"
21/07/2014 22.00,"12,0","15,9","75,3","35,5","0,5","15,2"
21/07/2014 23.00,"9,1","13,0","73,6","35,5","0,5","15,2"
22/07/2014 0.00,"5,8","9,3","75,9","35,5","0,4","15,2"
22/07/2014 1.00,"4,1","7,8","76,0","11,7","0,2","4,9"
22/07/2014 2.00,"3,4","6,9","75,5","11,7","0,2","4,9"
22/07/2014 3.00,"2,9","6,5","72,6","11,7","0,2","4,9"
22/07/2014 4.00,"3,7","7,1","64,8","11,7","0,2","4,9"
22/07/2014 5.00,"5,2","8,5","64,6","11,7","0,3","4,9"
22/07/2014 6.00,"6,4","9,8","63,7","11,7","0,3","4,9"
22/07/2014 7.00,"10,5","14,4","59,6","11,7","0,4","4,9"
22/07/2014 8.00,"11,5","15,7","66,2","11,7","0,4","4,9"
22/07/2014 9.00,"9,5","13,6","76,7","11,7","0,5","4,9"
22/07/2014 10.00,"7,6","11,3","74,9","11,7","0,4","4,9"
22/07/2014 11.00,"14,7","18,5","77,0","11,7","0,4","4,9"
22/07/2014 12.00,"15,1","18,9","77,6","11,7","0,5","4,9"
22/07/2014 13.00,"9,9","13,8","79,3","11,7","0,7","4,9"
22/07/2014 14.00,"5,6","9,1","80,6","11,7","0,4","4,9"
22/07/2014 15.00,"7,7","11,7","83,5","11,7","0,3","4,9"
22/07/2014 16.00,"7,6","11,6","89,4","11,7","0,4","4,9"
22/07/2014 17.00,"9,2","12,9","85,0","11,7","0,5","4,9"
22/07/2014 18.00,"9,5","13,4","87,0","11,7","0,4","4,9"
22/07/2014 19.00,"9,0","12,7","84,0","11,7","0,5","4,9"
22/07/2014 20.00,"10,8","14,9","68,9","11,7","0,5","4,9"
22/07/2014 21.00,"11,5","15,1","75,8","11,7","0,5","4,9"
22/07/2014 22.00,"8,2","11,6","73,3","11,7","0,4","4,9"
22/07/2014 23.00,"8,3","11,9","63,4","11,7","0,5","4,9"
23/07/2014 0.00,"5,8","9,2","59,7","11,7","0,4","4,9"
23/07/2014 1.00,"6,1","9,3","48,0","11,2","0,4","6,1"
23/07/2014 2.00,"5,1","8,4","50,3","11,2","0,3","6,1"
23/07/2014 3.00,,,"46,2","11,2","0,3","6,1"
23/07/2014 4.00,"6,0","9,9","45,6","11,2","0,3","6,1"
23/07/2014 5.00,"6,8","10,4",,"11,2","0,3","6,1"
23/07/2014 6.00,"10,2","13,8","49,3","11,2","0,4","6,1"
23/07/2014 7.00,"19,3","23,3","44,3","11,2","0,5","6,1"
23/07/2014 8.00,"20,5","24,1","50,2","11,2","0,6","6,1"
23/07/2014 9.00,"21,5","25,4","48,4","11,2","0,8","6,1"
23/07/2014 10.00,"21,6","25,8","56,5","11,2","0,9","6,1"
23/07/2014 11.00,"15,9","20,0","85,3","11,2","0,8","6,1"
23/07/2014 12.00,"8,2","11,9","101,6","11,2","0,5","6,1"
23/07/2014 13.00,"6,3","9,9","102,0","11,2","0,4","6,1"
23/07/2014 14.00,"7,6","11,6","103,6","11,2","0,4","6,1"
23/07/2014 15.00,"6,8","10,9","105,2","11,2","0,2","6,1"
23/07/2014 16.00,"6,9","11,1","107,4","11,2","0,3","6,1"
23/07/2014 17.00,"6,8","11,0","104,9","11,2","0,5","6,1"
23/07/2014 18.00,"7,3","11,0","101,4","11,2","0,8","6,1"
23/07/2014 19.00,"8,2","12,1","97,9","11,2","0,6","6,1"
23/07/2014 20.00,"8,4","12,2","93,5","11,2","0,5","6,1"
23/07/2014 21.00,"16,7","20,5","73,0","11,2","0,7","6,1"
23/07/2014 22.00,"16,4","20,3","64,3","11,2","0,7","6,1"
23/07/2014 23.00,"13,2","17,0","63,0","11,2","0,7","6,1"
24/07/2014 0.00,"9,4","13,1","58,6","11,2","0,6","6,1"
24/07/2014 1.00,"8,0","11,6","62,4","13,8","0,7","9,3"
24/07/2014 2.00,"5,2","8,8","68,7","13,8","0,6","9,3"
24/07/2014 3.00,"4,7","8,3","65,6","13,8","0,4","9,3"
24/07/2014 4.00,"5,9","9,9","64,4","13,8","0,4","9,3"
24/07/2014 5.00,"6,7","10,3","65,1","13,8","0,3","9,3"
24/07/2014 6.00,"10,3","13,8","60,7","13,8","0,4","9,3"
24/07/2014 7.00,"15,8","19,7","58,5","13,8","0,4","9,3"
24/07/2014 8.00,"16,8","20,9","74,7","13,8","0,6","9,3"
24/07/2014 9.00,"13,8","17,8","81,5","13,8","0,5","9,3"
24/07/2014 10.00,"11,6","15,3","88,3","13,8","0,6","9,3"
24/07/2014 11.00,"7,5","11,0","94,9","13,8","0,5","9,3"
24/07/2014 12.00,"9,2","12,8","93,2","13,8","0,6","9,3"
24/07/2014 13.00,"9,1","13,3","96,9","13,8","0,6","9,3"
24/07/2014 14.00,"8,4","12,8","100,0","13,8","0,4","9,3"
24/07/2014 15.00,"9,4","14,1","93,7","13,8","0,3","9,3"
24/07/2014 16.00,"7,5","12,1","91,3","13,8","0,4","9,3"
24/07/2014 17.00,"8,8","12,9","91,0","13,8","0,5","9,3"
24/07/2014 18.00,"7,4","11,6","91,9","13,8","0,5","9,3"
24/07/2014 19.00,"8,2","11,9","96,0","13,8","0,5","9,3"
24/07/2014 20.00,"12,2","16,2","82,5","13,8","0,6","9,3"
24/07/2014 21.00,"16,0","19,7","79,7","13,8","1,0","9,3"
24/07/2014 22.00,"19,2","23,1","62,6","13,8","0,9","9,3"
24/07/2014 23.00,"15,2","18,9","69,5","13,8","0,8","9,3"
25/07/2014 0.00,"9,8","13,4","68,1","13,8","0,5","9,3"
25/07/2014 1.00,"10,0","13,5","63,1","17,5","0,5","11,0"
25/07/2014 2.00,"7,8","11,4","63,4","17,5","0,5","11,0"
25/07/2014 3.00,,,"55,7","17,5","0,4","11,0"
25/07/2014 4.00,"8,0","11,8","55,4","17,5","0,4","11,0"
25/07/2014 5.00,"9,8","13,9",,"17,5","0,5","11,0"
