Stat,Casardi,,,,,
,,,,,,,,,,
Parm,NO2,NOX,O3,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,
06/01/2014 18.00,"48,2","52,9","31,3","14,2","3,6","8,7"
06/01/2014 19.00,"47,3","51,1","15,8","14,2","5,6","8,7"
06/01/2014 20.00,"35,1","38,3","17,8","14,2","5,7","8,7"
06/01/2014 21.00,"33,5","37,0","19,9","14,2","5,5","8,7"
06/01/2014 22.00,"33,8","35,9","18,7","14,2","5,1","8,7"
06/01/2014 23.00,"31,5","33,7","16,4","14,2","5,0","8,7"
07/01/2014 0.00,"26,3","27,0","19,2","14,2","5,0","8,7"
07/01/2014 1.00,"19,4","19,3","25,6","22,7","4,7","16,2"
07/01/2014 2.00,"11,2","11,2","34,3","22,7","4,3","16,2"
07/01/2014 3.00,"6,2","6,1","42,5","22,7","3,8","16,2"
07/01/2014 4.00,"5,1","5,1","43,4","22,7","3,4","16,2"
07/01/2014 5.00,"7,5","7,5","43,8","22,7","3,2","16,2"
07/01/2014 6.00,"11,8","11,8","41,1","22,7","3,1","16,2"
07/01/2014 7.00,"25,6","26,3","28,3","22,7","3,6","16,2"
07/01/2014 8.00,"36,5","40,9","19,7","22,7","4,8","16,2"
07/01/2014 9.00,"44,7","63,6","16,6","22,7","7,5","16,2"
07/01/2014 10.00,"35,3","49,9","28,5","22,7","7,0","16,2"
07/01/2014 11.00,"24,3","29,3","45,2","22,7","5,8","16,2"
07/01/2014 12.00,"17,8","19,6","56,9","22,7","4,8","16,2"
07/01/2014 13.00,"18,2","21,1","54,4","22,7","4,4","16,2"
07/01/2014 14.00,"17,0","19,5","53,5","22,7","4,5","16,2"
07/01/2014 15.00,"16,1","17,3","54,8","22,7","3,9","16,2"
07/01/2014 16.00,"26,9","29,5","45,6","22,7","3,4","16,2"
07/01/2014 17.00,"40,1","42,5","28,1","22,7","4,9","16,2"
07/01/2014 18.00,"62,3","72,5","6,6","22,7","5,2","16,2"
07/01/2014 19.00,"72,3","112,0","3,8","22,7","6,3","16,2"
07/01/2014 20.00,"76,1","168,1","2,1","22,7","6,8","16,2"
07/01/2014 21.00,"71,0","203,3","2,3","22,7","7,3","16,2"
07/01/2014 22.00,"55,6","137,6","1,8","22,7","8,3","16,2"
07/01/2014 23.00,"40,2","49,5","8,3","22,7","6,8","16,2"
08/01/2014 0.00,"32,3","33,4","15,7","22,7","5,3","16,2"
08/01/2014 1.00,"20,1","20,0","26,3","26,9","4,6","20,7"
08/01/2014 2.00,"13,8","13,9","31,3","26,9","4,0","20,7"
08/01/2014 3.00,,,"34,0","26,9","3,8","20,7"
08/01/2014 4.00,"10,1","10,1","32,9","26,9","4,6","20,7"
08/01/2014 5.00,"11,8","12,1",,"26,9","3,6","20,7"
08/01/2014 6.00,"19,9","20,1","29,0","26,9","3,4","20,7"
08/01/2014 7.00,"27,9","28,6","20,9","26,9","4,1","20,7"
08/01/2014 8.00,"41,3","52,4","10,5","26,9","4,8","20,7"
08/01/2014 9.00,"43,5","65,5","15,2","26,9","6,3","20,7"
08/01/2014 10.00,"37,6","51,3","30,6","26,9","6,7","20,7"
08/01/2014 11.00,"33,1","42,1","40,3","26,9","6,4","20,7"
08/01/2014 12.00,"26,9","32,4","50,9","26,9","6,0","20,7"
08/01/2014 13.00,"22,0","26,5","49,6","26,9","5,3","20,7"
08/01/2014 14.00,"26,8","33,7","46,6","26,9","5,1","20,7"
08/01/2014 15.00,"21,3","23,7","55,8","26,9","5,0","20,7"
08/01/2014 16.00,"24,8","25,9","53,7","26,9","1,5","20,7"
08/01/2014 17.00,"36,0","37,1","43,5","26,9","4,2","20,7"
08/01/2014 18.00,"77,0","98,1","7,0","26,9","5,4","20,7"
08/01/2014 19.00,"81,2","138,7","3,5","26,9","7,7","20,7"
08/01/2014 20.00,"61,1","77,2","8,7","26,9","7,0","20,7"
08/01/2014 21.00,"51,1","61,2","12,1","26,9","6,1","20,7"
08/01/2014 22.00,"44,2","50,2","17,8","26,9","5,8","20,7"
08/01/2014 23.00,"29,4","29,6","36,5","26,9","5,3","20,7"
09/01/2014 0.00,"18,8","18,8","42,5","26,9","4,7","20,7"
09/01/2014 1.00,"14,3","14,3","43,4","39,0","4,3","32,8"
09/01/2014 2.00,"9,3","9,3","47,3","39,0","4,0","32,8"
09/01/2014 3.00,"7,4","7,4","48,5","39,0","3,7","32,8"
09/01/2014 4.00,"6,2","6,2","44,4","39,0","3,5","32,8"
09/01/2014 5.00,"8,7","8,7","43,0","39,0","3,5","32,8"
09/01/2014 6.00,"17,0","17,0","33,9","39,0","3,6","32,8"
09/01/2014 7.00,"37,4","43,8","13,9","39,0","4,2","32,8"
09/01/2014 8.00,"53,4","109,4","2,1","39,0","5,9","32,8"
09/01/2014 9.00,"59,0","138,4","6,5","39,0","7,5","32,8"
09/01/2014 10.00,"39,6","58,9","26,0","39,0","7,7","32,8"
09/01/2014 11.00,"22,4","26,2","44,8","39,0","6,2","32,8"
09/01/2014 12.00,"22,0","25,0","51,7","39,0","5,4","32,8"
09/01/2014 13.00,"22,3","25,7","51,0","39,0","5,2","32,8"
09/01/2014 14.00,"22,2","25,5","48,9","39,0","5,2","32,8"
09/01/2014 15.00,"29,0","33,6","44,8","39,0","4,7","32,8"
09/01/2014 16.00,"40,7","45,6","41,3","39,0","4,8","32,8"
09/01/2014 17.00,"59,7","68,6","20,6","39,0","5,1","32,8"
09/01/2014 18.00,"82,3","127,6","5,2","39,0","6,3","32,8"
09/01/2014 19.00,"79,1","139,6","2,8","39,0","7,5","32,8"
09/01/2014 20.00,"81,6","180,0","3,2","39,0","7,4","32,8"
09/01/2014 21.00,"72,7","164,7","4,3","39,0","8,4","32,8"
09/01/2014 22.00,"61,5","111,4","2,3","39,0","8,5","32,8"
09/01/2014 23.00,"61,3","113,7","1,8","39,0","7,5","32,8"
10/01/2014 0.00,"52,6","77,3","2,2","39,0","6,9","32,8"
10/01/2014 1.00,"45,5","63,9","2,8","54,7","6,9","43,7"
10/01/2014 2.00,"32,8","33,3","6,8","54,7","6,8","43,7"
10/01/2014 3.00,,,"15,3","54,7","6,9","43,7"
10/01/2014 4.00,"13,8","13,8","24,0","54,7","6,2","43,7"
10/01/2014 5.00,"23,4","28,1",,"54,7","5,5","43,7"
10/01/2014 6.00,"30,6","33,1","16,2","54,7","5,3","43,7"
10/01/2014 7.00,"44,8","64,7","3,5","54,7","5,4","43,7"
10/01/2014 8.00,"51,7","97,2","5,6","54,7","7,5","43,7"
10/01/2014 9.00,"58,6","147,7","6,4","54,7","10,6","43,7"
10/01/2014 10.00,"18,1","53,7","8,6","54,7","9,5","43,7"
10/01/2014 11.00,,,"22,1","54,7","8,9","43,7"
10/01/2014 12.00,"2,1","269,1",,"54,7","7,5","43,7"
10/01/2014 13.00,,,,"54,7",,"43,7"
10/01/2014 14.00,"31,3","40,8","48,0","54,7","8,4","43,7"
10/01/2014 15.00,"24,2","28,6","59,9","54,7","7,3","43,7"
10/01/2014 16.00,"29,7","33,8","55,9","54,7","6,5","43,7"
10/01/2014 17.00,"51,5","56,0","39,4","54,7","5,7","43,7"
10/01/2014 18.00,"69,0","73,4","22,6","54,7","6,1","43,7"
10/01/2014 19.00,"91,7","149,5","5,5","54,7","6,9","43,7"
10/01/2014 20.00,"97,9","236,9","1,3","54,7","8,7","43,7"
10/01/2014 21.00,"84,8","181,1","0,6","54,7","8,9","43,7"
10/01/2014 22.00,"63,4","107,1","1,4","54,7","7,8","43,7"
10/01/2014 23.00,"52,5","64,9","7,3","54,7","6,3","43,7"
11/01/2014 0.00,"42,7","48,7","12,3","54,7","5,8","43,7"
11/01/2014 1.00,"33,6","36,5","19,0","59,5","5,6","51,5"
11/01/2014 2.00,"21,1","22,4","27,2","59,5","5,1","51,5"
11/01/2014 3.00,"18,0","18,8","29,9","59,5","4,9","51,5"
11/01/2014 4.00,"20,5","21,8","25,3","59,5","4,7","51,5"
11/01/2014 5.00,"26,3","32,0","19,1","59,5","4,8","51,5"
11/01/2014 6.00,"28,5","32,0","15,7","59,5","4,9","51,5"
11/01/2014 7.00,"45,2","66,2","2,4","59,5","5,6","51,5"
11/01/2014 8.00,"49,5","84,8","2,2","59,5","6,3","51,5"
11/01/2014 9.00,,,,"59,5",,"51,5"
11/01/2014 10.00,"57,7","123,7","4,8","59,5","7,2","51,5"
11/01/2014 11.00,"48,4","68,8","27,8","59,5","9,5","51,5"
11/01/2014 12.00,,,,"59,5",,"51,5"
11/01/2014 13.00,"44,3","57,0","33,5","59,5","7,6","51,5"
11/01/2014 14.00,"29,4","37,1","40,3","59,5","6,2","51,5"
11/01/2014 15.00,,,,"59,5",,"51,5"
11/01/2014 16.00,"19,7","23,1","55,3","59,5","5,7","51,5"
11/01/2014 17.00,"31,2","33,5","50,4","59,5","5,2","51,5"
11/01/2014 18.00,,,,"59,5",,"51,5"
