Stat,TA V.Archimede,,,,,
,,,,,,,,,,
Parm,SO2,NOX,NO2,CO,H2S,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
14/01/2014 0.00,"2,4","29,5","26,5","1,0","1,4","39,1"
14/01/2014 1.00,"1,6","21,8","19,6","1,0","1,4",
14/01/2014 2.00,"2,2","19,8","17,3","1,0",,"34,7"
14/01/2014 3.00,,"14,1","11,6",,"1,9",
14/01/2014 4.00,"2,4","21,5","20,0","1,0","1,6","29,3"
14/01/2014 5.00,"2,3",,,"0,9","1,5",
14/01/2014 6.00,"2,8","14,6","12,5","0,9","1,7","36,6"
14/01/2014 7.00,"3,8","148,3","66,1","1,0","1,7",
14/01/2014 8.00,"4,0","179,6","76,2","1,0","1,8","24,4"
14/01/2014 9.00,"3,8","182,2","80,8","1,1","1,8",
14/01/2014 10.00,"2,8","95,0","61,9","1,1","1,7","29,3"
14/01/2014 11.00,"2,8","64,4","46,5","1,0","1,8",
14/01/2014 12.00,"2,7","29,9","25,6","0,9","1,6","32,7"
14/01/2014 13.00,"2,6","30,4","26,0","0,8","1,4",
14/01/2014 14.00,"2,8","22,2","18,7","0,8","1,6","21,0"
14/01/2014 15.00,"2,7","19,1","16,3","0,8","1,5",
14/01/2014 16.00,"2,6","17,6","15,2","0,8","1,3","13,2"
14/01/2014 17.00,"2,5",,,"0,7","1,5",
14/01/2014 18.00,"2,6","33,9","31,1","0,8","1,4","8,8"
14/01/2014 19.00,"2,5","31,4","28,9","0,7","1,4",
14/01/2014 20.00,"2,4","32,1","29,6","0,8","1,5","9,8"
14/01/2014 21.00,"2,3","30,6","28,3","0,8","1,7",
14/01/2014 22.00,"2,3","29,9","27,5","0,7","1,4","7,8"
14/01/2014 23.00,"2,5","23,9","20,7","0,7","1,2",
15/01/2014 0.00,"2,7","24,0","21,4","0,7","1,6","14,7"
15/01/2014 1.00,"2,5","31,1","29,0","0,7","1,5",
15/01/2014 2.00,"4,5","16,2","13,8","0,7","1,5","17,1"
15/01/2014 3.00,"1,6","12,8","10,6","0,7","1,3",
15/01/2014 4.00,"2,3","12,5","10,6","0,7","1,5","18,6"
15/01/2014 5.00,"2,0","10,4","8,0","0,7","1,2",
15/01/2014 6.00,"1,8","14,9","12,6","0,7","1,5","11,7"
15/01/2014 7.00,"2,5","62,9","55,9","0,8","1,6",
15/01/2014 8.00,"2,7","83,9","77,9","0,8","1,7","17,1"
15/01/2014 9.00,"2,7","129,0","98,2","0,9","2,1",
15/01/2014 10.00,"3,3","160,7","95,4","0,8","1,9","19,5"
15/01/2014 11.00,"2,9","118,6","80,9","0,9","2,0",
15/01/2014 12.00,"2,8","90,4","72,2","0,7","1,8","19,0"
15/01/2014 13.00,"2,8","66,0","55,3","0,7","1,9",
15/01/2014 14.00,"2,5","50,3","43,9","0,7","2,2","20,5"
15/01/2014 15.00,"2,5","63,9","56,0","0,7","2,0",
15/01/2014 16.00,"2,4","57,9","51,7","0,7","1,6","12,2"
15/01/2014 17.00,"2,0","73,8","68,7","0,7","1,5",
15/01/2014 18.00,"2,7","131,4","97,4","0,8","1,8","7,3"
15/01/2014 19.00,"1,9","70,1","60,8","0,7","1,3",
15/01/2014 20.00,"1,7","46,7","44,3","0,7","1,6","11,2"
15/01/2014 21.00,"1,6","40,0","36,8","0,8","1,6",
15/01/2014 22.00,"2,7","83,2","73,9","1,2","3,1","17,6"
15/01/2014 23.00,"2,5","51,6","47,1","1,0","1,7",
16/01/2014 0.00,"2,0","55,4","44,8","1,1","2,0","28,8"
16/01/2014 1.00,"2,3","64,7","52,6","1,2","1,9",
16/01/2014 2.00,"2,4","52,8","46,7","1,2",,"28,8"
16/01/2014 3.00,,"44,3","41,3",,"2,0",
16/01/2014 4.00,"2,7","56,2","51,5","1,2","2,4","21,5"
16/01/2014 5.00,"2,4",,,"0,8","1,7",
16/01/2014 6.00,"2,7","22,1","19,6","0,8","1,6","27,8"
16/01/2014 7.00,"2,7","68,5","62,5","1,0","2,1",
16/01/2014 8.00,"2,7","110,5","83,4","1,1","2,1","19,0"
16/01/2014 9.00,"2,7","138,6","87,8","1,0","2,2",
16/01/2014 10.00,"3,3","118,0","75,7","1,1","3,0","28,8"
16/01/2014 11.00,"3,0","103,2","70,0","0,8","3,5",
16/01/2014 12.00,"2,8","70,9","54,1","0,7","2,3","43,5"
16/01/2014 13.00,"2,7","48,8","40,2","0,7","1,9",
16/01/2014 14.00,"2,5","36,7","31,4","0,7","1,6","35,2"
16/01/2014 15.00,"1,8","28,5","25,0","0,6","1,6",
16/01/2014 16.00,"1,9","49,0","42,3","0,6","1,5","27,8"
16/01/2014 17.00,"2,3","40,2","37,6","0,6","1,4",
16/01/2014 18.00,"1,4","43,0","40,9","0,7","1,3","18,6"
16/01/2014 19.00,"2,4","186,4","129,6","0,8","1,7",
16/01/2014 20.00,"2,3","125,9","107,5","0,7","1,7","22,0"
16/01/2014 21.00,"1,9","93,1","85,7","0,8","1,6",
16/01/2014 22.00,"2,4","77,5","71,9","0,8","1,6","23,9"
16/01/2014 23.00,"1,9","73,4","64,3","0,9","1,8",
17/01/2014 0.00,"1,5","67,6","62,0","0,9","1,5","32,2"
17/01/2014 1.00,"3,2","40,1","37,5","0,8","1,6",
17/01/2014 2.00,"1,7","24,4","22,2","0,8","1,7","36,6"
17/01/2014 3.00,"1,7","19,1","17,0","0,7","1,7",
17/01/2014 4.00,"1,8","48,2","43,6","0,7","1,7","39,6"
17/01/2014 5.00,"1,3","35,2","33,3","0,7","1,7",
17/01/2014 6.00,"1,6","51,6","36,8","0,7","1,5","28,8"
17/01/2014 7.00,"2,9","166,9","91,2","0,7","1,8",
17/01/2014 8.00,"2,6","149,5","85,0","0,7","1,7","21,5"
17/01/2014 9.00,"2,1","126,0","84,8","0,7","1,8",
17/01/2014 10.00,"1,8","110,7","76,2","0,7","1,5","12,2"
17/01/2014 11.00,"3,0","24,5","20,7","0,6","1,5",
17/01/2014 12.00,"1,5","23,4","19,3","0,6","1,5","23,4"
