Stat,TA V.Archimede,,,,,
,,,,,,,,,,
Parm,SO2,NOX,NO2,CO,H2S,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10/07/2014 2.00,"1,5","4,3","1,7","0,2","1,8","17,6"
10/07/2014 3.00,"1,3","11,4","8,8","0,3","1,7",
10/07/2014 4.00,"1,3","23,3","20,6","0,2","1,1","23,4"
10/07/2014 5.00,"1,8","32,9","28,2","0,2","1,4",
10/07/2014 6.00,"2,3","31,5","26,7","0,3","1,2","17,1"
10/07/2014 7.00,"1,9","18,2","14,2","0,2","1,3",
10/07/2014 8.00,"1,7","10,6","7,8","0,1","1,5","17,6"
10/07/2014 9.00,"1,9","15,4","11,7","0,1","1,4",
10/07/2014 10.00,"2,7","17,6","13,9","0,1","1,2","20,5"
10/07/2014 11.00,"1,9","18,6","14,9","0,1","1,2",
10/07/2014 12.00,"0,9","12,0","8,8","0,1","1,0","19,5"
10/07/2014 13.00,"1,5","11,0","8,4","0,1","1,2",
10/07/2014 14.00,"1,5","7,2","4,6","0,1","1,3","18,6"
10/07/2014 15.00,"1,4","8,7","6,1","0,1","1,1",
10/07/2014 16.00,"1,1","10,2","7,4","0,1","1,2","24,9"
10/07/2014 17.00,"0,9","8,4","5,8","0,1","0,9",
10/07/2014 18.00,"1,2","11,1","8,5","0,1","1,1","14,7"
10/07/2014 19.00,"1,3","13,2","10,7","0,1","0,8",
10/07/2014 20.00,"1,2","22,9","19,2","0,4","3,0","15,6"
10/07/2014 21.00,"1,1","10,2","7,6","0,1","1,0",
10/07/2014 22.00,"1,3","12,5","9,9","0,1","1,2","19,5"
10/07/2014 23.00,"1,7","19,1","16,6","0,1","1,4",
11/07/2014 0.00,"1,8","17,0","14,4","0,1","0,9","18,6"
11/07/2014 1.00,"1,2","13,0","10,5","0,1","1,1",
11/07/2014 2.00,"1,0","11,0","8,5","0,1",,"10,7"
11/07/2014 3.00,,"20,6","17,2",,"5,7",
11/07/2014 4.00,"2,0","57,9","50,3","1,2","10,0","12,7"
11/07/2014 5.00,"1,3",,,"0,8","2,7",
11/07/2014 6.00,"2,3",,,"0,9","1,6","11,2"
11/07/2014 7.00,"2,1",,,"0,3","1,4",
11/07/2014 8.00,"2,4",,,"0,7","2,5","21,5"
11/07/2014 9.00,"1,6",,,"0,5","3,0",
11/07/2014 10.00,"2,3",,,"0,3","2,8","18,1"
11/07/2014 11.00,"1,6",,,"0,3","2,1",
11/07/2014 12.00,"1,6",,,"0,1","1,3","19,5"
11/07/2014 13.00,"1,5",,,"0,3","1,9",
11/07/2014 14.00,"1,4",,,"0,2","1,9","19,0"
11/07/2014 15.00,"1,2",,,"0,1","1,0",
11/07/2014 16.00,"1,0",,,,"0,9","23,9"
11/07/2014 17.00,"1,1",,,"0,1","0,9",
11/07/2014 18.00,"1,4",,,"0,1","1,0","24,4"
11/07/2014 19.00,"1,5",,,"0,1","1,0",
11/07/2014 20.00,"2,4",,,"0,1","1,1","18,6"
11/07/2014 21.00,"1,7",,,"0,1","0,9",
11/07/2014 22.00,"0,4",,,"0,1","1,0","22,5"
11/07/2014 23.00,"0,3",,,"0,2","1,2",
12/07/2014 0.00,"0,5",,,"0,2","1,2","16,6"
12/07/2014 1.00,"1,0",,,"0,2","1,1",
12/07/2014 2.00,"0,9",,,"0,1","1,0","12,7"
12/07/2014 3.00,"1,6",,,"0,2","1,0",
12/07/2014 4.00,"1,4",,,"0,2","0,9","14,7"
12/07/2014 5.00,"1,1",,,"0,2","1,1",
12/07/2014 6.00,"1,5",,,"0,2","1,3","10,7"
12/07/2014 7.00,"2,3",,,"0,3","1,2",
12/07/2014 8.00,"2,5",,,"0,3","2,7","10,3"
12/07/2014 9.00,"2,5",,,"0,3","1,3",
12/07/2014 10.00,"1,4",,,"0,2","1,0","25,4"
12/07/2014 11.00,"1,6",,,"0,2","1,0",
12/07/2014 12.00,"1,6",,,"0,2","1,0","21,5"
12/07/2014 13.00,"1,0",,,"0,2","0,9",
12/07/2014 14.00,"1,2",,,"0,1","0,9","25,4"
12/07/2014 15.00,"1,3",,,"0,1","1,0",
12/07/2014 16.00,"1,6",,,"0,1","1,1","20,0"
12/07/2014 17.00,"1,7",,,"0,1","1,1",
12/07/2014 18.00,"1,0",,,"0,1","1,2","12,7"
12/07/2014 19.00,"1,1",,,"0,2","1,1",
12/07/2014 20.00,"0,5",,,"0,1","1,1","9,3"
12/07/2014 21.00,"0,1",,,"0,1","1,2",
12/07/2014 22.00,"0,7",,,"0,1","1,0","13,2"
12/07/2014 23.00,"1,7",,,"0,1","1,0",
13/07/2014 0.00,"2,1",,,"0,1","0,7","24,9"
13/07/2014 1.00,"1,5",,,"0,2","0,9",
13/07/2014 2.00,"0,9",,,"0,2",,"17,6"
13/07/2014 3.00,,,,,"1,1",
13/07/2014 4.00,"3,1",,,,"0,7","13,2"
13/07/2014 5.00,"1,0",,,,"1,0",
13/07/2014 6.00,"1,5","15,0","11,6",,"0,6","18,1"
13/07/2014 7.00,"2,4","16,9","13,0",,"0,9",
13/07/2014 8.00,"1,8","18,4","13,8",,"1,2","21,0"
13/07/2014 9.00,"1,5","20,6","16,5",,"1,6",
13/07/2014 10.00,"2,6","8,7","6,0",,"0,6","18,1"
13/07/2014 11.00,"1,2","13,6","10,8",,"0,6",
13/07/2014 12.00,"1,1","9,9","7,3",,"0,7","13,2"
13/07/2014 13.00,"1,5","10,9","7,9",,"0,9",
13/07/2014 14.00,"1,6","9,8","7,1",,"0,5","15,6"
13/07/2014 15.00,"0,3","26,1","21,1",,"1,6",
13/07/2014 16.00,"1,0","5,8","3,1",,"0,8","14,2"
13/07/2014 17.00,"0,9","7,8","5,0",,"0,9",
13/07/2014 18.00,"1,7","13,0","9,9",,"1,2","13,7"
13/07/2014 19.00,"2,0","13,7","10,8",,"0,8",
13/07/2014 20.00,"2,1","10,7","7,9",,"0,9","9,3"
13/07/2014 21.00,"1,8","8,9","6,0",,"0,6",
13/07/2014 22.00,"1,3","6,9","4,2",,"0,8","6,8"
13/07/2014 23.00,"0,4","13,8","11,2",,"0,9",
14/07/2014 0.00,"0,4","13,0","10,4",,"0,8","8,3"
14/07/2014 1.00,"1,3","8,5","5,8",,"0,8",
14/07/2014 2.00,"0,8","9,3","6,7",,"0,9","11,2"
14/07/2014 3.00,"0,5","13,5","10,9",,"1,7",
14/07/2014 4.00,"1,3","18,2","15,4",,"1,9","12,2"
14/07/2014 5.00,"2,0","36,4","33,0",,"3,2",
14/07/2014 6.00,"2,0","34,5","30,8",,"1,9","15,6"
14/07/2014 7.00,"2,2","38,9","32,7",,"1,8",
14/07/2014 8.00,"3,0","41,3","33,8",,"2,1","12,7"
14/07/2014 9.00,"1,6","23,2","19,2",,"1,6",
14/07/2014 10.00,"2,1","26,1","21,7",,"1,3","34,2"
14/07/2014 11.00,"2,1","18,5","14,9",,"0,8",
14/07/2014 12.00,"0,8","13,2","10,1",,"0,6","22,5"
14/07/2014 13.00,"1,2","11,8","9,0",,"0,8",
14/07/2014 14.00,"1,2","14,5","11,8",,"0,9","18,6"
14/07/2014 15.00,"1,9","11,5","8,8",,"0,8",
14/07/2014 16.00,"1,2","17,0","14,2",,"0,9","16,6"
14/07/2014 17.00,"1,6","11,2","8,5",,"0,8",
14/07/2014 18.00,"1,8","9,4","6,8",,"0,9","16,6"
14/07/2014 19.00,"2,0","15,4","12,8",,"0,8",
14/07/2014 20.00,"0,6","18,4","15,5",,"0,9","14,2"
14/07/2014 21.00,"1,7","12,6","9,9",,"1,0",
14/07/2014 22.00,"2,0","11,8","9,2",,"1,0","17,1"
14/07/2014 23.00,"1,1","15,6","13,0",,"0,7",
15/07/2014 0.00,"0,8","11,5","8,9",,"1,0","12,2"
15/07/2014 1.00,"0,8","14,6","12,0",,"1,3",
15/07/2014 2.00,"0,7","16,4","13,8",,,"7,8"
15/07/2014 3.00,,"13,1","10,5",,"1,0",
15/07/2014 4.00,"1,9","8,0","5,3",,"0,7","11,2"
15/07/2014 5.00,"1,1",,,,"0,8",
15/07/2014 6.00,"0,6","16,5","13,6",,"1,1","13,7"
15/07/2014 7.00,"0,9","16,6","13,3",,"1,0",
15/07/2014 8.00,"0,7","13,0","9,8",,"0,8","17,6"
15/07/2014 9.00,"2,0","15,7","12,5",,"1,0",
15/07/2014 10.00,"1,3","11,0","8,1",,"0,7","14,7"
15/07/2014 11.00,"1,2","10,4","7,7",,"0,7",
15/07/2014 12.00,"2,1","8,2","5,6",,"0,8","25,4"
15/07/2014 13.00,"2,2","7,9","5,2",,"1,0",
15/07/2014 14.00,"2,1","7,2","4,5",,"0,7","29,3"
15/07/2014 15.00,"1,8","6,8","4,2",,"0,6",
15/07/2014 16.00,"2,1","6,9","4,3",,"0,6","20,5"
15/07/2014 17.00,"2,1","7,3","4,6",,"0,7",
15/07/2014 18.00,"1,6","7,0","4,3",,"0,6","16,1"
15/07/2014 19.00,"1,0","7,4","4,7",,"0,7",
15/07/2014 20.00,"2,0","7,5","4,8",,"1,0","9,8"
15/07/2014 21.00,"1,0","7,7","5,0",,"0,9",
15/07/2014 22.00,"1,3","6,8","4,1",,"0,9","11,2"
15/07/2014 23.00,"0,7","6,8","4,2",,"0,9",
16/07/2014 0.00,"1,8","8,2","5,6",,"0,8","17,1"
16/07/2014 1.00,"2,1","11,1","8,5",,"0,9",
16/07/2014 2.00,"1,6","37,2","33,2",,"1,3","19,5"
16/07/2014 3.00,"2,2","12,9","10,3",,"1,1",
16/07/2014 4.00,"2,0","19,9","17,0",,"1,3","16,6"
16/07/2014 5.00,"2,1","40,8","37,4",,"2,1",
16/07/2014 6.00,"1,3","48,3","41,7",,"2,5","15,1"
16/07/2014 7.00,"1,7","14,6","11,8",,"0,8",
16/07/2014 8.00,"2,5","11,4","8,5",,"1,0","22,5"
16/07/2014 9.00,"1,9","9,1","6,4",,"0,8",
16/07/2014 10.00,"2,3","8,1","5,4",,"0,8","31,7"
16/07/2014 11.00,"2,0","7,7","5,0",,"0,8",
16/07/2014 12.00,"2,1","10,2","7,2",,"0,8","24,9"
16/07/2014 13.00,"2,3","7,2","4,6",,"0,7",
16/07/2014 14.00,"2,0","6,1","3,5",,"0,8","25,4"
16/07/2014 15.00,"2,4","6,7","4,1",,"0,8",
16/07/2014 16.00,"2,0","6,4","3,7",,"0,8","19,5"
16/07/2014 17.00,"1,7","6,3","3,7",,"0,8",
16/07/2014 18.00,"1,5","5,4","2,8",,"0,7","23,0"
16/07/2014 19.00,"1,8","6,1","3,5",,"0,9",
16/07/2014 20.00,"1,4","6,9","4,3",,"1,1","29,8"
16/07/2014 21.00,"1,0","6,1","3,5",,"0,7",
16/07/2014 22.00,"1,5","5,9","3,3",,"1,0","29,3"
16/07/2014 23.00,"1,5","6,2","3,6",,"0,8",
17/07/2014 0.00,"1,8","6,2","3,6",,"0,8","15,6"
17/07/2014 1.00,"1,7","19,2","16,6",,"1,3",
17/07/2014 2.00,"1,7","19,6","17,1",,,"21,0"
17/07/2014 3.00,,"19,7","17,0",,"1,7",
17/07/2014 4.00,"3,1","17,6","15,0",,"1,4","20,5"
17/07/2014 5.00,"2,3",,,,"1,6",
17/07/2014 6.00,"2,1","58,9","52,4",,"2,6","20,5"
17/07/2014 7.00,"2,6","47,2","41,8",,"1,7",
17/07/2014 8.00,"1,7","20,1","16,9",,"1,6","32,7"
17/07/2014 9.00,"2,1","10,0","7,4",,"1,1",
17/07/2014 10.00,"1,8","9,7","7,1",,"1,2","43,0"
17/07/2014 11.00,"2,1","12,4","9,7",,"1,0",
17/07/2014 12.00,"2,1","11,5","8,6",,"1,2","43,0"
17/07/2014 13.00,"2,1","10,8","8,0",,"1,3",
17/07/2014 14.00,"2,1","7,2","4,6",,"0,9","29,3"
17/07/2014 15.00,"1,5","6,5","3,9",,"1,0",
17/07/2014 16.00,"2,1","6,1","3,5",,"1,0","28,3"
17/07/2014 17.00,"1,6","6,6","4,0",,"0,9",
17/07/2014 18.00,"1,1","6,3","3,6",,"1,1","32,7"
17/07/2014 19.00,"1,5","6,9","4,3",,"1,0",
17/07/2014 20.00,"2,0","7,9","5,3",,"1,1","28,8"
17/07/2014 21.00,"1,2","7,2","4,6",,"1,1",
17/07/2014 22.00,"1,4","7,0","4,4",,"1,0","26,9"
17/07/2014 23.00,"1,7","8,3","5,7",,"1,2",
18/07/2014 0.00,"1,5","15,9","13,3",,"1,4","22,0"
18/07/2014 1.00,"1,7","30,7","28,1",,"2,0",
18/07/2014 2.00,"1,6","33,0","30,1",,"3,5","26,9"
18/07/2014 3.00,"1,9","43,9","41,3",,"4,7",
18/07/2014 4.00,"2,4","29,1","26,5",,"3,9","39,6"
18/07/2014 5.00,"2,3","32,5","29,8",,"1,3",
18/07/2014 6.00,"1,7","21,2","18,3",,"1,0","41,0"
18/07/2014 7.00,"2,3","17,9","15,1",,"1,2",
18/07/2014 8.00,"2,2","24,4","20,9",,"1,2","38,1"
18/07/2014 9.00,"2,0","11,7","8,9",,"1,0",
18/07/2014 10.00,"1,8","14,1","11,1",,"1,4","45,9"
18/07/2014 11.00,"2,3","13,8","11,0",,"1,0",
18/07/2014 12.00,"2,1","10,3","7,6",,"1,0","33,7"
18/07/2014 13.00,"1,9","12,8","9,7",,"1,0",
18/07/2014 14.00,"2,0","8,2","5,6",,"1,0","32,7"
18/07/2014 15.00,"2,0","7,2","4,6",,"0,8",
18/07/2014 16.00,"1,3","6,6","3,9",,"0,9","34,2"
18/07/2014 17.00,"1,0","7,6","5,0",,"1,0",
18/07/2014 18.00,"1,7","7,7","5,0",,"1,1","28,8"
18/07/2014 19.00,"1,6","7,7","5,1",,"1,3",
18/07/2014 20.00,"1,8","9,3","6,7",,"1,2","40,5"
18/07/2014 21.00,"1,4","10,4","7,8",,"1,0",
18/07/2014 22.00,"1,7","12,2","9,6",,"1,1","35,7"
18/07/2014 23.00,"1,2","8,9","6,3",,"1,2",
19/07/2014 0.00,"1,7","38,2","35,5",,"4,1","21,0"
19/07/2014 1.00,"1,6","26,7","23,9",,"2,4",
19/07/2014 2.00,"1,4","50,7","48,2",,,"25,9"
19/07/2014 3.00,,"35,2","32,6",,,
19/07/2014 4.00,"3,3","46,8","43,9",,,"37,6"
19/07/2014 5.00,"2,6",,,,"4,4",
19/07/2014 6.00,"1,7","24,0","21,1",,"1,4","66,4"
19/07/2014 7.00,"2,6","34,3","29,2",,"1,4",
19/07/2014 8.00,"1,3","10,2","7,5",,"1,3","51,3"
19/07/2014 9.00,"1,2","8,0","5,4",,"1,3",
19/07/2014 10.00,"1,8","9,4","6,8",,"0,9","41,5"
19/07/2014 11.00,"2,0","7,7","5,1",,"1,2",
19/07/2014 12.00,"2,0","7,5","4,8",,"1,0","35,2"
19/07/2014 13.00,"2,1","13,1","9,8",,"1,4",
19/07/2014 14.00,"1,8","7,4","4,7",,"1,0","26,9"
19/07/2014 15.00,"2,1","5,8","3,2",,"1,3",
19/07/2014 16.00,"1,9","5,0","2,3",,"0,9","25,9"
19/07/2014 17.00,"0,8","4,5","1,8",,"1,2",
19/07/2014 18.00,"1,5","5,0","2,4",,"1,0","18,6"
19/07/2014 19.00,"2,4","6,2","3,6",,"1,3",
19/07/2014 20.00,"1,8","8,1","5,8",,"1,2","23,4"
19/07/2014 21.00,"0,7","7,5","4,9",,"0,9",
19/07/2014 22.00,"1,3","6,7","4,0",,"0,9","20,0"
19/07/2014 23.00,"1,9","14,7","12,1",,"1,4",
20/07/2014 0.00,"1,8","42,7","39,8",,"2,1","20,0"
20/07/2014 1.00,"1,4","22,6","20,0",,"1,6",
20/07/2014 2.00,"1,1","17,3","14,7",,"1,6","19,5"
20/07/2014 3.00,"1,4","13,9","11,3",,"1,6",
20/07/2014 4.00,"1,5","18,7","16,0",,"1,5","32,2"
20/07/2014 5.00,"1,3","13,0","10,4",,"1,7",
20/07/2014 6.00,"2,2","14,3","11,7",,"1,5","32,2"
20/07/2014 7.00,"1,3","14,7","12,1",,"2,0",
20/07/2014 8.00,"1,5","18,2","15,3",,"1,4","29,8"
20/07/2014 9.00,"1,9","15,4","12,6",,"1,6",
20/07/2014 10.00,"1,5","12,1","9,5",,"1,2","34,7"
20/07/2014 11.00,"2,0","15,0","12,5",,"1,1",
20/07/2014 12.00,"1,9","15,0","12,4",,"1,2","23,0"
20/07/2014 13.00,"1,2","15,9","13,5",,"1,3",
20/07/2014 14.00,"2,2","15,8","13,2",,"1,2","24,9"
20/07/2014 15.00,"3,5","12,4","9,8",,"1,1",
20/07/2014 16.00,"3,4","13,8","11,2",,"1,1","28,8"
20/07/2014 17.00,"2,0","13,3","10,7",,"1,2",
20/07/2014 18.00,"2,1","12,2","9,5",,"1,2","27,8"
20/07/2014 19.00,"2,0","11,0","8,4",,"1,2",
20/07/2014 20.00,"1,5","15,9","13,3",,"1,8","28,3"
20/07/2014 21.00,"1,4","23,5","20,9",,"1,6",
20/07/2014 22.00,"1,9","34,5","31,8",,"1,5","26,9"
20/07/2014 23.00,"1,8","27,3","24,6",,"1,3",
21/07/2014 0.00,"2,2","39,5","36,9",,"1,4","20,5"
21/07/2014 1.00,"1,9","23,7","21,1",,"1,9",
21/07/2014 2.00,"2,0","14,7","12,1",,,"24,4"
21/07/2014 3.00,,"18,7","16,1",,"2,9",
21/07/2014 4.00,"2,6","15,2","12,6",,"2,5","28,3"
21/07/2014 5.00,"2,3",,,,"1,8",
21/07/2014 6.00,"1,5","30,1","27,0",,"1,4","28,3"
21/07/2014 7.00,"1,3","37,3","32,1",,"1,3",
21/07/2014 8.00,"2,2","27,3","23,8",,"1,5","21,5"
21/07/2014 9.00,"3,2","17,6","14,5","0,3","1,3",
21/07/2014 10.00,"1,9","18,0","15,4","0,3","1,4","34,7"
21/07/2014 11.00,"2,0","25,1","21,5","0,3","1,5",
21/07/2014 12.00,"2,0","20,8","17,6","0,3","1,6","28,3"
21/07/2014 13.00,"1,5","22,3","18,8","0,5","2,7",
21/07/2014 14.00,"1,9","23,2","20,0","0,6","1,9","30,3"
21/07/2014 15.00,"2,1","19,1","16,2","0,3","1,6",
21/07/2014 16.00,"1,8","9,0","6,4","0,2","1,2","34,2"
21/07/2014 17.00,,"8,0","6,0","0,2","1,1",
21/07/2014 18.00,,"9,2","7,3","0,2","1,2","32,7"
21/07/2014 19.00,,"14,5","12,3","0,3","1,9",
21/07/2014 20.00,,"11,7","9,2","0,3","1,8","29,8"
21/07/2014 21.00,,"12,2","10,0","0,3","1,7",
21/07/2014 22.00,,"18,8","16,2","0,3","1,8","45,9"
21/07/2014 23.00,"3,2","10,0","7,5","0,2","1,5",
22/07/2014 0.00,,"11,8","9,3","0,4","2,1","42,0"
22/07/2014 1.00,,"20,2","17,6","0,5","3,0",
22/07/2014 2.00,"0,1","14,8","12,2","0,5","2,3","23,4"
22/07/2014 3.00,"0,3","14,3","11,8","0,3","1,8",
22/07/2014 4.00,"1,0","9,4","6,8","0,3","1,7","26,9"
22/07/2014 5.00,"1,2","13,8","11,1","0,3","1,5",
22/07/2014 6.00,"0,6","35,3","30,9","0,3","1,3","30,8"
22/07/2014 7.00,"0,8","44,4","36,8","0,3","1,1",
22/07/2014 8.00,"0,5","22,7","19,1","0,3","1,6","18,1"
22/07/2014 9.00,"0,7","19,3","16,2","0,3","1,5",
22/07/2014 10.00,"1,8","23,0","19,3","0,3","1,5","25,9"
22/07/2014 11.00,"0,7","19,1","16,0","0,3","1,0",
22/07/2014 12.00,"0,9","16,2","13,4","0,3","1,1","29,8"
22/07/2014 13.00,"1,1","14,3","11,2","0,2","1,3",
22/07/2014 14.00,"1,3","9,6","7,0","0,3","0,9","17,6"
22/07/2014 15.00,"0,8","10,1","7,5","0,2","1,1",
22/07/2014 16.00,"0,6","11,1","8,5","0,2","1,3","11,7"
22/07/2014 17.00,"0,7","9,8","7,3","0,2","1,0",
22/07/2014 18.00,"1,1","8,3","5,7","0,2","1,3","18,1"
22/07/2014 19.00,"0,9","9,0","6,4","0,2","1,5",
22/07/2014 20.00,"0,6","16,4","13,8","0,3","1,2","20,0"
22/07/2014 21.00,"1,1","13,7","11,1","0,3","1,1",
22/07/2014 22.00,"1,3","12,7","10,1","0,2","1,1","11,2"
22/07/2014 23.00,"1,2","7,5","4,9","0,2","1,2",
23/07/2014 0.00,"0,6","5,8","3,3","0,2","1,0","7,3"
23/07/2014 1.00,"0,8","6,3","3,7","0,2","1,2",
23/07/2014 2.00,"1,1","12,7","10,1","0,3","1,3","7,8"
23/07/2014 3.00,"0,9","15,5","12,9","0,3","1,3",
23/07/2014 4.00,"1,6","6,6","4,0","0,2","0,9","19,0"
23/07/2014 5.00,"6,6","6,7","4,1","0,2","0,9",
23/07/2014 6.00,"1,1","10,0","7,4","0,2","1,1","13,2"
23/07/2014 7.00,"0,6","13,2","10,5","0,2","1,0",
23/07/2014 8.00,"0,8","20,4","16,8","0,2","1,5","12,7"
23/07/2014 9.00,"0,6","42,9","35,5","0,3","1,6",
23/07/2014 10.00,"1,0","24,2","20,2","0,3","1,6","14,2"
23/07/2014 11.00,,"36,8","19,1",,,
23/07/2014 12.00,,"22,1","16,8","0,4",,"1,0"
23/07/2014 13.00,"2,2","22,8","19,2","0,4","1,8",
23/07/2014 14.00,"1,2","34,6","28,6","0,4","2,2","1,0"
23/07/2014 15.00,"0,9","27,8","23,7","0,4","1,2",
23/07/2014 16.00,"1,8","10,3","7,5","0,4","1,1","2,0"
23/07/2014 17.00,"3,1","8,4","5,8","0,4","1,1",
23/07/2014 18.00,"1,0","10,5","7,8","0,4","1,1","7,8"
23/07/2014 19.00,"0,6","11,4","8,8","0,4","1,1",
23/07/2014 20.00,"0,8","15,0","12,4","0,4","1,1","7,3"
23/07/2014 21.00,"0,9","16,6","14,0","0,3","0,9",
23/07/2014 22.00,"1,8","16,0","13,4","0,3","0,9","8,8"
23/07/2014 23.00,"1,0","16,8","14,2","0,4","1,0",
24/07/2014 0.00,"0,8","18,0","15,3","0,4","1,0","5,9"
24/07/2014 1.00,"1,0","11,8","9,2","0,4","1,3",
24/07/2014 2.00,"1,8","9,6","7,0","0,4","0,9","8,8"
24/07/2014 3.00,"2,1","9,8","7,1","0,4","1,0",
24/07/2014 4.00,"2,1","12,5","9,9","0,3","1,5","10,7"
24/07/2014 5.00,"1,7","19,3","16,6","0,4","1,2",
24/07/2014 6.00,"1,1","19,9","17,2","0,4","0,8","9,3"
24/07/2014 7.00,"0,9","18,4","15,3","0,4","0,7",
24/07/2014 8.00,"3,1","25,8","20,7","0,4","1,7","18,1"
24/07/2014 9.00,"2,6","27,8","22,9","0,4","1,6",
24/07/2014 10.00,"1,5","19,0","15,2","0,4","1,1","29,8"
24/07/2014 11.00,"1,5","23,7","19,5","0,4","1,0",
24/07/2014 12.00,"1,5","17,7","14,0","0,4","0,7","23,9"
24/07/2014 13.00,"1,3","14,8","11,3","0,4","0,8",
24/07/2014 14.00,"2,1","11,9","9,2","0,4","0,9","14,7"
24/07/2014 15.00,"1,6","11,3","8,5","0,4","0,6",
24/07/2014 16.00,"0,7","9,8","6,9","0,3","0,8","9,8"
24/07/2014 17.00,"1,2","10,7","8,1","0,3","0,9",
24/07/2014 18.00,"1,1","13,1","10,1","0,3","0,9","7,8"
24/07/2014 19.00,"1,3","10,9","8,3","0,4","1,0",
24/07/2014 20.00,"1,1","17,2","14,6","0,4","1,1","10,7"
24/07/2014 21.00,"1,3","26,9","23,8","0,8","2,3",
24/07/2014 22.00,"0,9","14,9","12,2","0,4","1,0","10,3"
24/07/2014 23.00,"0,7","15,4","12,8","0,4","0,9",
25/07/2014 0.00,"1,9","28,3","25,3","0,6","1,0","15,6"
25/07/2014 1.00,"0,9","25,7","23,0","0,5","1,2",
25/07/2014 2.00,"1,5","25,2","22,6","0,4","0,8","20,5"
25/07/2014 3.00,,"25,4","22,7","0,4","0,9",
25/07/2014 4.00,"1,9","27,2","23,6","0,4","1,0","21,5"
25/07/2014 5.00,"2,3","38,1","33,0","0,4","1,1",
25/07/2014 6.00,"2,6","31,2","27,0","0,4","1,2","12,7"
25/07/2014 7.00,"1,3","27,5","23,4","0,6","1,1",
25/07/2014 8.00,"1,1","37,1","31,1","0,6","1,4","18,6"
25/07/2014 9.00,"2,3","28,3","23,9","0,5","1,2",
25/07/2014 10.00,"1,3","29,3","25,1","0,4","1,1","45,4"
25/07/2014 11.00,"1,9","25,1","20,8","0,4","0,9",
25/07/2014 12.00,"1,3","12,4","9,3","0,4","0,8","33,7"
25/07/2014 13.00,"1,2","14,4","11,1","0,4","0,7",
25/07/2014 14.00,"1,6","11,4","8,8","0,3","0,9","24,9"
25/07/2014 15.00,"1,6","11,0","8,4","0,4","0,6",
25/07/2014 16.00,"1,9","10,9","8,3","0,4","0,6","16,1"
25/07/2014 17.00,"0,7","14,8","11,8","0,4","0,9",
25/07/2014 18.00,"1,4","16,4","13,6","0,4","0,9","14,2"
25/07/2014 19.00,"1,1","11,0","8,4","0,4","0,7",
25/07/2014 20.00,"7,3","14,5","11,8","0,4","0,8","19,5"
25/07/2014 21.00,"0,7","20,4","17,5","0,5","0,8",
25/07/2014 22.00,"0,2","16,8","14,0","0,4","0,8","12,7"
25/07/2014 23.00,"0,5","26,8","24,2","0,5","0,8",
26/07/2014 0.00,"0,2","14,6","11,9","0,4","0,8","18,6"
26/07/2014 1.00,"1,3","18,2","15,5","0,4","1,2",
26/07/2014 2.00,"0,9","21,4","18,8","0,4","0,8","15,1"
26/07/2014 3.00,"0,9","14,9","12,3","0,4","1,1",
26/07/2014 4.00,"1,4","14,3","11,6","0,4","0,8","20,0"
26/07/2014 5.00,"0,6","18,2","15,6","0,4","0,8",
26/07/2014 6.00,"1,2","22,0","18,3","0,4","1,4","15,6"
26/07/2014 7.00,"1,9","35,8","28,3","0,4","1,3",
26/07/2014 8.00,"1,1","17,3","13,3","0,4","1,2","23,0"
26/07/2014 9.00,"1,7","21,0","17,2","0,5","1,0",
26/07/2014 10.00,"1,9","28,6","24,6","0,5","1,1","25,9"
26/07/2014 11.00,"1,2","16,2","13,1","0,5","1,0",
26/07/2014 12.00,"1,0","12,6","9,7","0,4","0,9","26,4"
26/07/2014 13.00,"1,4","13,1","9,9","0,4","0,8",
26/07/2014 14.00,"1,3","14,7","11,6","0,4","1,0","32,2"
26/07/2014 15.00,"1,3","9,2","6,6","0,4","0,9",
26/07/2014 16.00,"1,4","17,9","15,1","0,4","0,9","22,0"
26/07/2014 17.00,"0,9","12,1","9,5","0,4","0,9",
26/07/2014 18.00,"0,8","25,1","21,8","0,8","1,8","23,0"
26/07/2014 19.00,"1,3","23,1","20,5","0,7","1,7",
26/07/2014 20.00,"1,1","28,5","25,9","0,5","1,1","20,5"
26/07/2014 21.00,"1,0","23,5","20,8","0,5","0,9",
26/07/2014 22.00,"0,8","34,4","31,8","0,5","0,9","28,8"
26/07/2014 23.00,"1,2","16,7","14,1","0,5","0,9",
27/07/2014 0.00,"1,3","14,6","12,0","0,4","1,1","17,6"
27/07/2014 1.00,"1,8","10,5","7,9","0,4","1,0",
27/07/2014 2.00,"0,7","7,2","4,6","0,4","1,2","21,5"
27/07/2014 3.00,,"6,3","3,7","0,4","1,0",
27/07/2014 4.00,"1,7","6,2","3,5","0,4","1,0","25,9"
27/07/2014 5.00,"2,5","7,6","5,0","0,4","1,1",
27/07/2014 6.00,"2,1","7,5","4,9","0,4","1,2","26,4"
27/07/2014 7.00,"1,6","7,7","5,0","0,4","1,1",
27/07/2014 8.00,"1,8","8,7","6,1","0,4","1,1","30,8"
27/07/2014 9.00,"1,7","9,7","7,1","0,4",,
27/07/2014 10.00,"1,3","9,2","6,5","0,4",,"47,4"
