Stat,Campi Salentina,,,,,,  ,
Parm,NO2,NOX,CO,O3,PM10,PM2.5,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ug/m3,,
Field,,,Aver,Aver,Aver,Aver,,
07/01/2014 6.00,,,"0,47","46,17","42,15","25,10",,
07/01/2014 7.00,,,"0,54","35,56","42,15","25,10",,
07/01/2014 8.00,,,"0,64","19,80","42,15","25,10",,
07/01/2014 9.00,,,"0,64","28,61","42,15","25,10",,
07/01/2014 10.00,,,"0,56","46,88","42,15","25,10",,
07/01/2014 11.00,,,"0,56","54,07","42,15","25,10",,
07/01/2014 12.00,,,"0,54","57,56","42,15","25,10",,
07/01/2014 13.00,,,"0,52","60,97","42,15","25,10",,
07/01/2014 14.00,,,"0,59","60,32","42,15","25,10",,
07/01/2014 15.00,,,"0,59","65,53","42,15","25,10",,
07/01/2014 16.00,,,"0,82","61,60","42,15","25,10",,
07/01/2014 17.00,,,"0,81","52,64","42,15","25,10",,
07/01/2014 18.00,,,"1,10","28,70","42,15","25,10",,
07/01/2014 19.00,,,"1,06","25,03","42,15","25,10",,
07/01/2014 20.00,,,"1,15","16,78","42,15","25,10",,
07/01/2014 21.00,,,"1,32","15,37","42,15","25,10",,
07/01/2014 22.00,,,"1,39","7,23","42,15","25,10",,
07/01/2014 23.00,,,"0,99","7,70","42,15","25,10",,
08/01/2014 0.00,,,"1,08","12,76","42,15","25,10",,
08/01/2014 1.00,,,"0,73","19,15","34,33","20,61",,
08/01/2014 2.00,,,"0,68","28,65","34,33","20,61",,
08/01/2014 3.00,,,,"22,37","34,33","20,61",,
08/01/2014 4.00,,,"0,68","24,32","34,33","20,61",,
08/01/2014 5.00,,,"0,67",,"34,33","20,61",,
08/01/2014 6.00,,,"0,56","27,33","34,33","20,61",,
08/01/2014 7.00,,,"0,56","24,98","34,33","20,61",,
08/01/2014 8.00,,,"0,52","28,65","34,33","20,61",,
08/01/2014 9.00,,,"0,84","14,48","34,33","20,61",,
08/01/2014 10.00,,,"0,73","27,22","34,33","20,61",,
08/01/2014 11.00,,,"0,61","50,42","34,33","20,61",,
08/01/2014 12.00,,,"0,53","60,67","34,33","20,61",,
08/01/2014 13.00,,,"0,50","66,36","34,33","20,61",,
08/01/2014 14.00,,,"0,57","63,07","34,33","20,61",,
08/01/2014 15.00,,,"0,53","68,14","34,33","20,61",,
08/01/2014 16.00,,,"0,54","71,71","34,33","20,61",,
08/01/2014 17.00,,,"0,61","65,98","34,33","20,61",,
08/01/2014 18.00,,,"0,73","53,07","34,33","20,61",,
08/01/2014 19.00,,,"0,86","44,32","34,33","20,61",,
08/01/2014 20.00,,,"0,92","43,98","34,33","20,61",,
08/01/2014 21.00,,,"0,67","46,57","34,33","20,61",,
08/01/2014 22.00,,,"0,57","51,39","34,33","20,61",,
08/01/2014 23.00,,,"0,58","50,39","34,33","20,61",,
09/01/2014 0.00,,,"0,74","47,00","34,33","20,61",,
09/01/2014 1.00,,,"0,71","45,35","45,86","23,49",,
09/01/2014 2.00,,,"0,72","49,90","45,86","23,49",,
09/01/2014 3.00,,,"0,72","53,60","45,86","23,49",,
09/01/2014 4.00,,,"0,68","49,20","45,86","23,49",,
09/01/2014 5.00,,,"0,68","53,00","45,86","23,49",,
09/01/2014 6.00,,,"0,68","49,84","45,86","23,49",,
09/01/2014 7.00,,,"0,71","45,76","45,86","23,49",,
09/01/2014 8.00,,,"0,73","47,80","45,86","23,49",,
09/01/2014 9.00,,,"0,80","46,13","45,86","23,49",,
