Stat,Campi Salentina,,,,,,  ,
Parm,NO2,NOX,CO,O3,PM10,PM2.5,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ug/m3,,
Field,,,Aver,Aver,Aver,Aver,,
14/06/2014 1.00,,,"0,64","54,01","25,79","15,44",,
14/06/2014 2.00,,,"0,60","51,17","25,79","15,44",,
14/06/2014 3.00,,,"0,61","37,01","25,79","15,44",,
14/06/2014 4.00,,,"0,60","31,03","25,79","15,44",,
14/06/2014 5.00,,,"0,61","45,56","25,79","15,44",,
14/06/2014 6.00,,,"0,72","24,16","25,79","15,44",,
14/06/2014 7.00,,,"0,67","65,46","25,79","15,44",,
14/06/2014 8.00,,,"0,65","91,51","25,79","15,44",,
14/06/2014 9.00,,,"0,59","104,28","25,79","15,44",,
14/06/2014 10.00,,,"0,63","110,87","25,79","15,44",,
14/06/2014 11.00,,,"0,66","119,72","25,79","15,44",,
14/06/2014 12.00,,,"0,61","118,52","25,79","15,44",,
14/06/2014 13.00,,,"0,54","117,39","25,79","15,44",,
14/06/2014 14.00,,,"0,50","114,14","25,79","15,44",,
14/06/2014 15.00,,,"0,52","112,63","25,79","15,44",,
14/06/2014 16.00,,,"0,58","109,85","25,79","15,44",,
14/06/2014 17.00,,,"0,53","109,45","25,79","15,44",,
14/06/2014 18.00,,,"0,50","116,38","25,79","15,44",,
14/06/2014 19.00,,,"0,51","119,15","25,79","15,44",,
14/06/2014 20.00,,,"0,54","110,77","25,79","15,44",,
14/06/2014 21.00,,,"0,57","99,42","25,79","15,44",,
14/06/2014 22.00,,,"0,53","100,37","25,79","15,44",,
14/06/2014 23.00,,,"0,41","91,33","25,79","15,44",,
15/06/2014 0.00,,,"0,31","85,67","25,79","15,44",,
15/06/2014 1.00,,,"0,30","85,71",,,,
15/06/2014 2.00,,,"0,28","77,41",,,,
15/06/2014 3.00,,,,"73,85",,,,
15/06/2014 4.00,,,"0,29","70,98",,,,
15/06/2014 5.00,,,"0,30",,,,,
15/06/2014 6.00,,,"0,31","49,85",,,,
15/06/2014 7.00,,,"0,33","64,09",,,,
15/06/2014 8.00,,,"0,34","90,71",,,,
15/06/2014 9.00,,,"0,35","95,43",,,,
15/06/2014 10.00,,,"0,32","100,90",,,,
15/06/2014 11.00,,,"0,31","103,55",,,,
15/06/2014 12.00,,,,,,,,
15/06/2014 13.00,,,,,,,,
15/06/2014 14.00,,,,,,,,
15/06/2014 15.00,,,,,,,,
15/06/2014 16.00,,,,,,,,
15/06/2014 17.00,,,,,,,,
15/06/2014 18.00,,,,,,,,
15/06/2014 19.00,,,,,,,,
15/06/2014 20.00,,,,,,,,
15/06/2014 21.00,,,,,,,,
15/06/2014 22.00,,,,,,,,
15/06/2014 23.00,,,,,,,,
16/06/2014 0.00,,,,,,,,
16/06/2014 1.00,,,,,"26,76","8,93",,
16/06/2014 2.00,,,,,"26,76","8,93",,
16/06/2014 3.00,,,,,"26,76","8,93",,
16/06/2014 4.00,,,,,"26,76","8,93",,
16/06/2014 5.00,,,,,"26,76","8,93",,
16/06/2014 6.00,,,,,"26,76","8,93",,
16/06/2014 7.00,,,,,"26,76","8,93",,
16/06/2014 8.00,,,,,"26,76","8,93",,
16/06/2014 9.00,,,,,"26,76","8,93",,
16/06/2014 10.00,,,,,"26,76","8,93",,
16/06/2014 11.00,,,,,"26,76","8,93",,
16/06/2014 12.00,,,,,"26,76","8,93",,
16/06/2014 13.00,,,,,"26,76","8,93",,
16/06/2014 14.00,,,,,"26,76","8,93",,
16/06/2014 15.00,,,,,"26,76","8,93",,
16/06/2014 16.00,,,,,"26,76","8,93",,
16/06/2014 17.00,,,,,"26,76","8,93",,
16/06/2014 18.00,,,,,"26,76","8,93",,
16/06/2014 19.00,,,,,"26,76","8,93",,
16/06/2014 20.00,,,,,"26,76","8,93",,
16/06/2014 21.00,,,,,"26,76","8,93",,
16/06/2014 22.00,,,,,"26,76","8,93",,
16/06/2014 23.00,,,,,"26,76","8,93",,
17/06/2014 0.00,,,,,"26,76","8,93",,
17/06/2014 1.00,,,,,"26,08","7,13",,
17/06/2014 2.00,,,,,"26,08","7,13",,
17/06/2014 3.00,,,,,"26,08","7,13",,
17/06/2014 4.00,,,,,"26,08","7,13",,
17/06/2014 5.00,,,,,"26,08","7,13",,
17/06/2014 6.00,,,,,"26,08","7,13",,
17/06/2014 7.00,,,,,"26,08","7,13",,
17/06/2014 8.00,,,,,"26,08","7,13",,
17/06/2014 9.00,,,,,"26,08","7,13",,
17/06/2014 10.00,,,,,"26,08","7,13",,
17/06/2014 11.00,,,"0,31","83,07","26,08","7,13",,
17/06/2014 12.00,,,"0,26","94,49","26,08","7,13",,
17/06/2014 13.00,,,"0,09","97,97","26,08","7,13",,
17/06/2014 14.00,,,,"100,09","26,08","7,13",,
17/06/2014 15.00,,,,"102,03","26,08","7,13",,
17/06/2014 16.00,,,,"101,36","26,08","7,13",,
17/06/2014 17.00,,,,"97,74","26,08","7,13",,
17/06/2014 18.00,,,,"95,75","26,08","7,13",,
17/06/2014 19.00,,,,"84,04","26,08","7,13",,
17/06/2014 20.00,,,,"71,31","26,08","7,13",,
17/06/2014 21.00,,,,"74,67","26,08","7,13",,
17/06/2014 22.00,,,,"71,00","26,08","7,13",,
17/06/2014 23.00,,,"0,12","59,54","26,08","7,13",,
18/06/2014 0.00,,,"0,31","57,30","26,08","7,13",,
18/06/2014 1.00,,,"0,27","68,68","18,32","7,13",,
18/06/2014 2.00,,,"0,23","78,80","18,32","7,13",,
18/06/2014 3.00,,,"0,27","77,26","18,32","7,13",,
18/06/2014 4.00,,,"0,23","75,44","18,32","7,13",,
18/06/2014 5.00,,,"0,26","57,62","18,32","7,13",,
18/06/2014 6.00,,,"0,27","51,45","18,32","7,13",,
18/06/2014 7.00,,,"0,34","51,48","18,32","7,13",,
18/06/2014 8.00,,,"0,37","67,93","18,32","7,13",,
18/06/2014 9.00,,,"0,41","75,07","18,32","7,13",,
18/06/2014 10.00,,,"0,37","83,02","18,32","7,13",,
18/06/2014 11.00,,,"0,34","89,37","18,32","7,13",,
18/06/2014 12.00,,,"0,31","89,56","18,32","7,13",,
18/06/2014 13.00,,,"0,31","94,52","18,32","7,13",,
18/06/2014 14.00,,,"0,34","98,81","18,32","7,13",,
18/06/2014 15.00,,,"0,27","97,30","18,32","7,13",,
18/06/2014 16.00,,,"0,24","101,94","18,32","7,13",,
18/06/2014 17.00,,,"0,26","107,98","18,32","7,13",,
18/06/2014 18.00,,,"0,27","100,29","18,32","7,13",,
18/06/2014 19.00,,,"0,30","90,52","18,32","7,13",,
18/06/2014 20.00,,,"0,30","71,27","18,32","7,13",,
18/06/2014 21.00,,,"0,33","55,42","18,32","7,13",,
18/06/2014 22.00,,,"0,31","47,67","18,32","7,13",,
18/06/2014 23.00,,,"0,35","51,52","18,32","7,13",,
19/06/2014 0.00,,,"0,39","41,05","18,32","7,13",,
19/06/2014 1.00,,,"0,40","46,22","11,77","3,42",,
19/06/2014 2.00,,,"0,39","39,43","11,77","3,42",,
19/06/2014 3.00,,,"0,40","42,46","11,77","3,42",,
19/06/2014 4.00,,,"0,38","43,23","11,77","3,42",,
19/06/2014 5.00,,,"0,39","28,87","11,77","3,42",,
19/06/2014 6.00,,,"0,42","25,35","11,77","3,42",,
19/06/2014 7.00,,,"0,51","41,91","11,77","3,42",,
19/06/2014 8.00,,,"0,48","65,48","11,77","3,42",,
19/06/2014 9.00,,,"0,48","80,15","11,77","3,42",,
19/06/2014 10.00,,,"0,41","97,73","11,77","3,42",,
19/06/2014 11.00,,,"0,41","102,76","11,77","3,42",,
19/06/2014 12.00,,,"0,41","100,37","11,77","3,42",,
19/06/2014 13.00,,,,,"11,77","3,42",,
19/06/2014 14.00,,,,,"11,77","3,42",,
19/06/2014 15.00,,,,,"11,77","3,42",,
19/06/2014 16.00,,,,,"11,77","3,42",,
19/06/2014 17.00,,,,,"11,77","3,42",,
19/06/2014 18.00,,,,,"11,77","3,42",,
19/06/2014 19.00,,,,,"11,77","3,42",,
19/06/2014 20.00,,,,,"11,77","3,42",,
19/06/2014 21.00,,,,,"11,77","3,42",,
19/06/2014 22.00,,,,,"11,77","3,42",,
19/06/2014 23.00,,,,,"11,77","3,42",,
20/06/2014 0.00,,,,,"11,77","3,42",,
20/06/2014 1.00,,,,,"19,34","10,06",,
20/06/2014 2.00,,,,,"19,34","10,06",,
20/06/2014 3.00,,,,,"19,34","10,06",,
20/06/2014 4.00,,,,,"19,34","10,06",,
20/06/2014 5.00,,,,,"19,34","10,06",,
20/06/2014 6.00,,,,,"19,34","10,06",,
20/06/2014 7.00,,,,,"19,34","10,06",,
20/06/2014 8.00,,,,,"19,34","10,06",,
20/06/2014 9.00,,,"0,38",,"19,34","10,06",,
20/06/2014 10.00,,,"0,37","102,27","19,34","10,06",,
20/06/2014 11.00,,,"0,36","101,46","19,34","10,06",,
20/06/2014 12.00,,,"0,37","102,02","19,34","10,06",,
20/06/2014 13.00,,,"0,36","105,60","19,34","10,06",,
20/06/2014 14.00,,,"0,32","107,55","19,34","10,06",,
20/06/2014 15.00,,,"0,32","108,13","19,34","10,06",,
20/06/2014 16.00,,,"0,35","109,76","19,34","10,06",,
20/06/2014 17.00,,,"0,39","109,26","19,34","10,06",,
20/06/2014 18.00,,,"0,34","109,60","19,34","10,06",,
20/06/2014 19.00,,,"0,32","106,87","19,34","10,06",,
20/06/2014 20.00,,,"0,39","88,70","19,34","10,06",,
20/06/2014 21.00,,,"0,40","71,66","19,34","10,06",,
20/06/2014 22.00,,,"0,41","44,70","19,34","10,06",,
20/06/2014 23.00,,,"0,37","37,46","19,34","10,06",,
21/06/2014 0.00,,,"0,37","49,33","19,34","10,06",,
21/06/2014 1.00,,,"0,36","17,60","21,88","14,31",,
21/06/2014 2.00,,,"0,33","25,80","21,88","14,31",,
21/06/2014 3.00,,,,"29,54","21,88","14,31",,
21/06/2014 4.00,,,"0,34","10,93","21,88","14,31",,
21/06/2014 5.00,,,"0,35",,"21,88","14,31",,
21/06/2014 6.00,,,"0,39","27,91","21,88","14,31",,
21/06/2014 7.00,,,"0,36","56,23","21,88","14,31",,
21/06/2014 8.00,,,"0,40","78,87","21,88","14,31",,
21/06/2014 9.00,,,"0,37","103,36","21,88","14,31",,
21/06/2014 10.00,,,"0,41","110,75","21,88","14,31",,
21/06/2014 11.00,,,"0,40","119,51","21,88","14,31",,
21/06/2014 12.00,,,"0,37","123,32","21,88","14,31",,
21/06/2014 13.00,,,"0,35","124,59","21,88","14,31",,
21/06/2014 14.00,,,"0,33","128,90","21,88","14,31",,
21/06/2014 15.00,,,"0,32","133,28","21,88","14,31",,
21/06/2014 16.00,,,"0,33","133,63","21,88","14,31",,
21/06/2014 17.00,,,"0,32","129,00","21,88","14,31",,
21/06/2014 18.00,,,"0,31","117,55","21,88","14,31",,
21/06/2014 19.00,,,"0,32","111,15","21,88","14,31",,
21/06/2014 20.00,,,"0,37","94,37","21,88","14,31",,
21/06/2014 21.00,,,"0,32","79,04","21,88","14,31",,
21/06/2014 22.00,,,"0,36","57,37","21,88","14,31",,
21/06/2014 23.00,,,"0,37","28,89","21,88","14,31",,
22/06/2014 0.00,,,"0,38","20,80","21,88","14,31",,
22/06/2014 1.00,,,"0,35","20,24","19,44","12,01",,
22/06/2014 2.00,,,"0,35","16,15","19,44","12,01",,
22/06/2014 3.00,,,"0,33","11,00","19,44","12,01",,
22/06/2014 4.00,,,"0,32","10,26","19,44","12,01",,
22/06/2014 5.00,,,"0,32","7,27","19,44","12,01",,
22/06/2014 6.00,,,"0,39","7,42","19,44","12,01",,
22/06/2014 7.00,,,"0,39","47,98","19,44","12,01",,
22/06/2014 8.00,,,"0,34","96,05","19,44","12,01",,
22/06/2014 9.00,,,"0,36","108,09","19,44","12,01",,
22/06/2014 10.00,,,"0,22","114,55","19,44","12,01",,
22/06/2014 11.00,,,"0,20","113,08","19,44","12,01",,
22/06/2014 12.00,,,"0,21","116,22","19,44","12,01",,
22/06/2014 13.00,,,"0,22","118,54","19,44","12,01",,
22/06/2014 14.00,,,"0,14","117,65","19,44","12,01",,
22/06/2014 15.00,,,"0,16","114,65","19,44","12,01",,
22/06/2014 16.00,,,"0,18","116,97","19,44","12,01",,
22/06/2014 17.00,,,"0,23","106,60","19,44","12,01",,
22/06/2014 18.00,,,"0,20","102,62","19,44","12,01",,
22/06/2014 19.00,,,"0,12","94,20","19,44","12,01",,
22/06/2014 20.00,,,"0,18","80,58","19,44","12,01",,
22/06/2014 21.00,,,"0,24","92,73","19,44","12,01",,
22/06/2014 22.00,,,"0,24","79,69","19,44","12,01",,
22/06/2014 23.00,,,"0,33","83,16","19,44","12,01",,
23/06/2014 0.00,,,"0,53","67,67","19,44","12,01",,
23/06/2014 1.00,,,"0,53","60,70","22,27","12,94",,
23/06/2014 2.00,,,"0,53","34,85","22,27","12,94",,
23/06/2014 3.00,,,,"48,97","22,27","12,94",,
23/06/2014 4.00,,,"0,53","20,07","22,27","12,94",,
23/06/2014 5.00,,,"0,59",,"22,27","12,94",,
23/06/2014 6.00,,,"0,61","14,55","22,27","12,94",,
23/06/2014 7.00,,,"0,54","57,25","22,27","12,94",,
23/06/2014 8.00,,,"0,58","68,22","22,27","12,94",,
23/06/2014 9.00,,,"0,59","82,14","22,27","12,94",,
23/06/2014 10.00,,,"0,53","98,72","22,27","12,94",,
23/06/2014 11.00,,,"0,52","113,42","22,27","12,94",,
23/06/2014 12.00,,,"0,50","110,27","22,27","12,94",,
23/06/2014 13.00,,,"0,48","101,07","22,27","12,94",,
23/06/2014 14.00,,,"0,49","105,97","22,27","12,94",,
23/06/2014 15.00,,,"0,48","105,08","22,27","12,94",,
23/06/2014 16.00,,,"0,48","102,60","22,27","12,94",,
23/06/2014 17.00,,,"0,52","97,79","22,27","12,94",,
23/06/2014 18.00,,,"0,51","95,00","22,27","12,94",,
23/06/2014 19.00,,,"0,47","93,16","22,27","12,94",,
23/06/2014 20.00,,,"0,47","89,02","22,27","12,94",,
23/06/2014 21.00,,,"0,49","81,62","22,27","12,94",,
23/06/2014 22.00,,,"0,61","66,87","22,27","12,94",,
23/06/2014 23.00,,,"0,58","60,81","22,27","12,94",,
24/06/2014 0.00,,,"0,49","63,04","22,27","12,94",,
24/06/2014 1.00,,,"0,46","57,57","24,96","13,63",,
24/06/2014 2.00,,,"0,48","51,82","24,96","13,63",,
24/06/2014 3.00,,,"0,47","57,22","24,96","13,63",,
24/06/2014 4.00,,,"0,44","49,89","24,96","13,63",,
24/06/2014 5.00,,,"0,47","45,75","24,96","13,63",,
24/06/2014 6.00,,,"0,50","49,71","24,96","13,63",,
24/06/2014 7.00,,,"0,56","60,90","24,96","13,63",,
24/06/2014 8.00,,,"0,54","80,79","24,96","13,63",,
24/06/2014 9.00,,,"0,53","87,49","24,96","13,63",,
24/06/2014 10.00,,,"0,47","100,19","24,96","13,63",,
24/06/2014 11.00,,,"0,48","102,64","24,96","13,63",,
24/06/2014 12.00,,,"0,51","104,02","24,96","13,63",,
24/06/2014 13.00,,,"0,47","110,14","24,96","13,63",,
24/06/2014 14.00,,,"0,52","100,99","24,96","13,63",,
24/06/2014 15.00,,,"0,49","109,90","24,96","13,63",,
24/06/2014 16.00,,,"0,50","114,89","24,96","13,63",,
24/06/2014 17.00,,,"0,44","106,47","24,96","13,63",,
24/06/2014 18.00,,,"0,46","108,61","24,96","13,63",,
24/06/2014 19.00,,,"0,41","108,29","24,96","13,63",,
24/06/2014 20.00,,,"0,43","98,96","24,96","13,63",,
24/06/2014 21.00,,,"0,42","94,43","24,96","13,63",,
24/06/2014 22.00,,,"0,42","88,15","24,96","13,63",,
24/06/2014 23.00,,,"0,45","76,92","24,96","13,63",,
25/06/2014 0.00,,,"0,47","71,28","24,96","13,63",,
25/06/2014 1.00,,,"0,46","66,86","34,14","9,77",,
25/06/2014 2.00,,,"0,46","65,13","34,14","9,77",,
25/06/2014 3.00,,,,"67,04","34,14","9,77",,
25/06/2014 4.00,,,"0,49","70,80","34,14","9,77",,
25/06/2014 5.00,,,"0,49",,"34,14","9,77",,
25/06/2014 6.00,,,"0,49","74,83","34,14","9,77",,
25/06/2014 7.00,,,"0,52","66,03","34,14","9,77",,
25/06/2014 8.00,,,"0,52","57,84","34,14","9,77",,
25/06/2014 9.00,,,"0,57","50,15","34,14","9,77",,
25/06/2014 10.00,,,"0,64","73,23","34,14","9,77",,
25/06/2014 11.00,,,"0,62","80,58","34,14","9,77",,
25/06/2014 12.00,,,"0,61","86,47","34,14","9,77",,
25/06/2014 13.00,,,"0,68","88,64","34,14","9,77",,
25/06/2014 14.00,,,"1,70",,"34,14","9,77",,
25/06/2014 15.00,,,"0,63","90,52","34,14","9,77",,
25/06/2014 16.00,,,"0,63","89,34","34,14","9,77",,
25/06/2014 17.00,,,"0,65","85,84","34,14","9,77",,
25/06/2014 18.00,,,"0,67","81,18","34,14","9,77",,
25/06/2014 19.00,,,"0,65","73,91","34,14","9,77",,
25/06/2014 20.00,,,"0,66","80,46","34,14","9,77",,
25/06/2014 21.00,,,"0,66","77,83","34,14","9,77",,
25/06/2014 22.00,,,"0,64","78,79","34,14","9,77",,
25/06/2014 23.00,,,"0,57","76,03","34,14","9,77",,
26/06/2014 0.00,,,"0,47","69,07","34,14","9,77",,
26/06/2014 1.00,,,"0,49","57,51","26,86","10,06",,
26/06/2014 2.00,,,"0,51","47,53","26,86","10,06",,
26/06/2014 3.00,,,"0,47","42,47","26,86","10,06",,
26/06/2014 4.00,,,"0,49","29,66","26,86","10,06",,
26/06/2014 5.00,,,"0,50","23,25","26,86","10,06",,
26/06/2014 6.00,,,"0,53","27,67","26,86","10,06",,
26/06/2014 7.00,,,"0,55","27,67","26,86","10,06",,
26/06/2014 8.00,,,"0,53","50,29","26,86","10,06",,
26/06/2014 9.00,,,"0,50","64,98","26,86","10,06",,
26/06/2014 10.00,,,"0,48","71,66","26,86","10,06",,
26/06/2014 11.00,,,"0,52","79,61","26,86","10,06",,
26/06/2014 12.00,,,"0,50","81,46","26,86","10,06",,
26/06/2014 13.00,,,"0,51","81,88","26,86","10,06",,
26/06/2014 14.00,,,"0,54","76,73","26,86","10,06",,
26/06/2014 15.00,,,"0,53","70,82","26,86","10,06",,
26/06/2014 16.00,,,"0,54","88,96","26,86","10,06",,
26/06/2014 17.00,,,"0,55","80,96","26,86","10,06",,
26/06/2014 18.00,,,"0,56","77,74","26,86","10,06",,
26/06/2014 19.00,,,"0,51","79,15","26,86","10,06",,
26/06/2014 20.00,,,"0,52","74,43","26,86","10,06",,
26/06/2014 21.00,,,"0,54","70,94","26,86","10,06",,
26/06/2014 22.00,,,"0,52","69,90","26,86","10,06",,
26/06/2014 23.00,,,"0,45","66,59","26,86","10,06",,
27/06/2014 0.00,,,"0,41","60,52","26,86","10,06",,
27/06/2014 1.00,,,"0,43","55,09","22,37","6,54",,
27/06/2014 2.00,,,"0,44","50,24","22,37","6,54",,
27/06/2014 3.00,,,,"53,24","22,37","6,54",,
27/06/2014 4.00,,,"0,42","53,46","22,37","6,54",,
27/06/2014 5.00,,,"0,43",,"22,37","6,54",,
27/06/2014 6.00,,,"0,42","56,55","22,37","6,54",,
27/06/2014 7.00,,,"0,40","76,57","22,37","6,54",,
27/06/2014 8.00,,,"0,40","88,95","22,37","6,54",,
27/06/2014 9.00,,,"0,43","86,60","22,37","6,54",,
27/06/2014 10.00,,,"0,40","86,73","22,37","6,54",,
27/06/2014 11.00,,,"0,40","87,98","22,37","6,54",,
27/06/2014 12.00,,,"0,40","89,41","22,37","6,54",,
27/06/2014 13.00,,,"0,40","90,67","22,37","6,54",,
27/06/2014 14.00,,,"0,40","88,41","22,37","6,54",,
27/06/2014 15.00,,,"0,39","86,99","22,37","6,54",,
27/06/2014 16.00,,,"0,41","88,66","22,37","6,54",,
27/06/2014 17.00,,,"0,43","91,16","22,37","6,54",,
27/06/2014 18.00,,,"0,40","83,65","22,37","6,54",,
27/06/2014 19.00,,,"0,40","80,74","22,37","6,54",,
27/06/2014 20.00,,,"0,43","80,13","22,37","6,54",,
27/06/2014 21.00,,,"0,45","75,88","22,37","6,54",,
27/06/2014 22.00,,,"0,42","76,77","22,37","6,54",,
27/06/2014 23.00,,,"0,35","75,85","22,37","6,54",,
28/06/2014 0.00,,,"0,25","76,33","22,37","6,54",,
28/06/2014 1.00,,,"0,23","77,34","16,02","6,45",,
28/06/2014 2.00,,,"0,25","76,32","16,02","6,45",,
28/06/2014 3.00,,,"0,24","69,16","16,02","6,45",,
28/06/2014 4.00,,,"0,24","66,85","16,02","6,45",,
28/06/2014 5.00,,,"0,28","56,80","16,02","6,45",,
28/06/2014 6.00,,,"0,28","52,16","16,02","6,45",,
28/06/2014 7.00,,,"0,31","72,06","16,02","6,45",,
28/06/2014 8.00,,,"0,28","92,63","16,02","6,45",,
28/06/2014 9.00,,,"0,27","99,79","16,02","6,45",,
28/06/2014 10.00,,,"0,27","102,89","16,02","6,45",,
28/06/2014 11.00,,,"0,25","101,71","16,02","6,45",,
28/06/2014 12.00,,,"0,27","107,52","16,02","6,45",,
28/06/2014 13.00,,,"0,27","103,35","16,02","6,45",,
28/06/2014 14.00,,,"0,28","105,24","16,02","6,45",,
28/06/2014 15.00,,,"0,26","101,93","16,02","6,45",,
28/06/2014 16.00,,,"0,26","92,12","16,02","6,45",,
28/06/2014 17.00,,,"0,25","99,69","16,02","6,45",,
28/06/2014 18.00,,,"0,24","98,19","16,02","6,45",,
28/06/2014 19.00,,,"0,24","99,87","16,02","6,45",,
28/06/2014 20.00,,,"0,25","87,89","16,02","6,45",,
28/06/2014 21.00,,,"0,31","59,08","16,02","6,45",,
28/06/2014 22.00,,,"0,31","51,46","16,02","6,45",,
28/06/2014 23.00,,,"0,37","52,88","16,02","6,45",,
29/06/2014 0.00,,,"0,38","39,41","16,02","6,45",,
29/06/2014 1.00,,,"0,40","17,99","19,83","12,11",,
29/06/2014 2.00,,,"0,44","15,96","19,83","12,11",,
29/06/2014 3.00,,,,"17,75","19,83","12,11",,
29/06/2014 4.00,,,"0,40","13,05","19,83","12,11",,
29/06/2014 5.00,,,"0,44",,"19,83","12,11",,
29/06/2014 6.00,,,"0,43","19,79","19,83","12,11",,
29/06/2014 7.00,,,"0,47","60,25","19,83","12,11",,
29/06/2014 8.00,,,"0,35","78,77","19,83","12,11",,
29/06/2014 9.00,,,"0,33","92,77","19,83","12,11",,
29/06/2014 10.00,,,"0,32","108,23","19,83","12,11",,
29/06/2014 11.00,,,"0,33","114,52","19,83","12,11",,
29/06/2014 12.00,,,"0,35","108,44","19,83","12,11",,
29/06/2014 13.00,,,"0,38","108,25","19,83","12,11",,
29/06/2014 14.00,,,"0,35","106,31","19,83","12,11",,
29/06/2014 15.00,,,"0,30","106,07","19,83","12,11",,
29/06/2014 16.00,,,"0,34","105,80","19,83","12,11",,
29/06/2014 17.00,,,"0,32","106,79","19,83","12,11",,
29/06/2014 18.00,,,"0,31","98,03","19,83","12,11",,
29/06/2014 19.00,,,"0,35","90,62","19,83","12,11",,
29/06/2014 20.00,,,"0,33","91,80","19,83","12,11",,
29/06/2014 21.00,,,"0,37","81,16","19,83","12,11",,
29/06/2014 22.00,,,"0,41","77,53","19,83","12,11",,
29/06/2014 23.00,,,"0,33","75,57","19,83","12,11",,
30/06/2014 0.00,,,"0,29","73,08","19,83","12,11",,
30/06/2014 1.00,,,"0,30","71,69","23,39","8,64",,
30/06/2014 2.00,,,"0,28","71,92","23,39","8,64",,
30/06/2014 3.00,,,"0,28","68,33","23,39","8,64",,
30/06/2014 4.00,,,"0,28","63,77","23,39","8,64",,
30/06/2014 5.00,,,"0,26","67,25","23,39","8,64",,
30/06/2014 6.00,,,"0,27","75,60","23,39","8,64",,
30/06/2014 7.00,,,"0,33","72,27","23,39","8,64",,
30/06/2014 8.00,,,"0,33","64,16","23,39","8,64",,
30/06/2014 9.00,,,"0,36","62,27","23,39","8,64",,
30/06/2014 10.00,,,"0,33","79,56","23,39","8,64",,
30/06/2014 11.00,,,"0,31","87,87","23,39","8,64",,
30/06/2014 12.00,,,"0,29","89,07","23,39","8,64",,
30/06/2014 13.00,,,"0,28","89,39","23,39","8,64",,
30/06/2014 14.00,,,"0,27","88,79","23,39","8,64",,
30/06/2014 15.00,,,"0,24","85,70","23,39","8,64",,
30/06/2014 16.00,,,"0,22","79,70","23,39","8,64",,
30/06/2014 17.00,,,"0,28","93,82","23,39","8,64",,
30/06/2014 18.00,,,"0,31","100,02","23,39","8,64",,
30/06/2014 19.00,,,"0,31","94,88","23,39","8,64",,
30/06/2014 20.00,,,"0,32","87,80","23,39","8,64",,
30/06/2014 21.00,,,"0,29","82,21","23,39","8,64",,
30/06/2014 22.00,,,"0,27","79,10","23,39","8,64",,
30/06/2014 23.00,,,"0,36","77,01","23,39","8,64",,
01/07/2014 0.00,,,"0,44","73,77","23,39","8,64",,
01/07/2014 1.00,,,"0,41","76,76","14,51","7,72",,
01/07/2014 2.00,,,"0,42","77,36","14,51","7,72",,
01/07/2014 3.00,,,,"74,24","14,51","7,72",,
01/07/2014 4.00,,,"0,41","68,03","14,51","7,72",,
01/07/2014 5.00,,,"0,42",,"14,51","7,72",,
01/07/2014 6.00,,,"0,44","60,03","14,51","7,72",,
01/07/2014 7.00,,,"0,46","73,25","14,51","7,72",,
01/07/2014 8.00,,,"0,40","80,00","14,51","7,72",,
01/07/2014 9.00,,,"0,41","83,01","14,51","7,72",,
01/07/2014 10.00,,,"0,43","89,63","14,51","7,72",,
01/07/2014 11.00,,,"0,44","94,84","14,51","7,72",,
01/07/2014 12.00,,,"0,44","97,05","14,51","7,72",,
01/07/2014 13.00,,,"0,41","96,75","14,51","7,72",,
01/07/2014 14.00,,,"0,41","94,19","14,51","7,72",,
01/07/2014 15.00,,,"0,39","92,83","14,51","7,72",,
01/07/2014 16.00,,,"0,39","102,36","14,51","7,72",,
01/07/2014 17.00,"4,6","19,71","0,42","85,72","14,51","7,72",,
01/07/2014 18.00,"4,4","19,21","0,39","79,98","14,51","7,72",,
01/07/2014 19.00,"2,3","9,54","0,39","86,17","14,51","7,72",,
01/07/2014 20.00,"2,1","7,88","0,41","82,84","14,51","7,72",,
01/07/2014 21.00,"2,0","8,13","0,41","76,86","14,51","7,72",,
01/07/2014 22.00,"2,3","10,05","0,39","68,45","14,51","7,72",,
01/07/2014 23.00,"3,3","13,91","0,38","49,95","14,51","7,72",,
02/07/2014 0.00,"3,4","14,51","0,39","34,26","14,51","7,72",,
02/07/2014 1.00,"1,3","6,69","0,35","51,95","17,44","9,38",,
02/07/2014 2.00,"1,3","6,34","0,33","46,46","17,44","9,38",,
02/07/2014 3.00,"1,3","5,66","0,33","41,53","17,44","9,38",,
02/07/2014 4.00,"1,7","6,69","0,37","40,36","17,44","9,38",,
02/07/2014 5.00,"3,2","15,47","0,43","17,22","17,44","9,38",,
02/07/2014 6.00,"5,6","37,83","0,41","21,85","17,44","9,38",,
02/07/2014 7.00,"4,4","21,56","0,42","48,28","17,44","9,38",,
02/07/2014 8.00,"1,4","8,43","0,38","79,92","17,44","9,38",,
02/07/2014 9.00,"2,1","11,26","0,38","81,52","17,44","9,38",,
02/07/2014 10.00,"3,5","18,03","0,36","78,11","17,44","9,38",,
02/07/2014 11.00,"3,0","14,68","0,36","88,80","17,44","9,38",,
02/07/2014 12.00,"1,5","8,49","0,37","105,11","17,44","9,38",,
02/07/2014 13.00,"1,1","6,74","0,37","103,85","17,44","9,38",,
02/07/2014 14.00,,,"0,34","107,92","17,44","9,38",,
02/07/2014 15.00,,,"0,28","106,31","17,44","9,38",,
02/07/2014 16.00,,,"0,33","102,85","17,44","9,38",,
02/07/2014 17.00,,,"0,31","100,78","17,44","9,38",,
