Stat,TA V. Machiavelli,,,,,,,,
Parm,SO2,NOX,NO2,CO,BENZENE,PM10  orario,IPA TOT ,PM10,PM2.5
Unit,ug/m3 293K,,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ng/m3,ug/m3,ug/m3
09/06/2014 22.00,,,,,,,,,
09/06/2014 23.00,,,,,,,,,
10/06/2014 0.00,,,,,,,,,
10/06/2014 1.00,,,,,,,,,
10/06/2014 2.00,,,,,,,,,
10/06/2014 3.00,,,,,,,,,
10/06/2014 4.00,,,,,,,,,
10/06/2014 5.00,,,,,,,,,
10/06/2014 6.00,,,,,,,,,
10/06/2014 7.00,,,,,,,,,
10/06/2014 8.00,,,,,,,,,
10/06/2014 9.00,,,,,,,,,
10/06/2014 10.00,,,,,,,,,
10/06/2014 11.00,,,,,,,,,
10/06/2014 12.00,,,,,,,,,
10/06/2014 13.00,,,,,,,,,
10/06/2014 14.00,,,,,,,,,
10/06/2014 15.00,,,,,,,,,
10/06/2014 16.00,,,,,,,,,
10/06/2014 17.00,,,,,,,,,
10/06/2014 18.00,,,,,,,,,
10/06/2014 19.00,,,,,,,,,
10/06/2014 20.00,,,,,,,,,
10/06/2014 21.00,,,,,,,,,
10/06/2014 22.00,,,,,,,,,
10/06/2014 23.00,,,,,,,,,
11/06/2014 0.00,,,,,,,,,
11/06/2014 1.00,,,,,,,,,
11/06/2014 2.00,,,,,,,,,
11/06/2014 3.00,,,,,,,,,
11/06/2014 4.00,,,,,,,,,
11/06/2014 5.00,,,,,,,,,
11/06/2014 6.00,,,,,,,,,
11/06/2014 7.00,,,,,,,,,
11/06/2014 8.00,,,,,,,,,
11/06/2014 9.00,,,,,,,,,
11/06/2014 10.00,,,,,,,,,
11/06/2014 11.00,,,,,,,,,
11/06/2014 12.00,,,,,,,,,
11/06/2014 13.00,,,,,,,,,
11/06/2014 14.00,,,,,,,,,
11/06/2014 15.00,,,,,,,,,
11/06/2014 16.00,,,,,,,,,
11/06/2014 17.00,,,,,,,,,
11/06/2014 18.00,,,,,,,,,
11/06/2014 19.00,,,,,,,,,
11/06/2014 20.00,,,,,,,,,
11/06/2014 21.00,,,,,,,,,
11/06/2014 22.00,,,,,,,,,
11/06/2014 23.00,,,,,,,,,
12/06/2014 0.00,,,,,,,,,
12/06/2014 1.00,,,,,,,,,
12/06/2014 2.00,,,,,,,,,
12/06/2014 3.00,,,,,,,,,
12/06/2014 4.00,,,,,,,,,
12/06/2014 5.00,,,,,,,,,
12/06/2014 6.00,,,,,,,,,
12/06/2014 7.00,,,,,,,,,
12/06/2014 8.00,,,,,,,,,
12/06/2014 9.00,,,,,,,,,
12/06/2014 10.00,,,,,,,,,
12/06/2014 11.00,,,,,,,,,
12/06/2014 12.00,,,,,,,,,
12/06/2014 13.00,,,,,,,,,
12/06/2014 14.00,,,,,,,,,
12/06/2014 15.00,,,,,,,,,
12/06/2014 16.00,,,,,,,,,
12/06/2014 17.00,,,,,,,,,
12/06/2014 18.00,,,,,,,,,
12/06/2014 19.00,,,,,,,,,
12/06/2014 20.00,,,,,,,,,
12/06/2014 21.00,,,,,,,,,
12/06/2014 22.00,,,,,,,,,
12/06/2014 23.00,,,,,,,,,
13/06/2014 0.00,,,,,,,,,
13/06/2014 1.00,,,,,,,,,
13/06/2014 2.00,,,,,,,,,
13/06/2014 3.00,,,,,,,,,
13/06/2014 4.00,,,,,,,,,
13/06/2014 5.00,,,,,,,,,
13/06/2014 6.00,,,,,,,,,
13/06/2014 7.00,,,,,,,,,
13/06/2014 8.00,,,,,,,,,
13/06/2014 9.00,,,,,,,,,
13/06/2014 10.00,,,,,,,,,
13/06/2014 11.00,,,,,,,,,
13/06/2014 12.00,,,,,,,,,
13/06/2014 13.00,,,,,,,,,
13/06/2014 14.00,,,,,,,,,
13/06/2014 15.00,,,,,,,,,
13/06/2014 16.00,,,,,,,,,
13/06/2014 17.00,,,,,,,,,
13/06/2014 18.00,,,,,,,,,
13/06/2014 19.00,,,,,,,,,
13/06/2014 20.00,,,,,,,,,
13/06/2014 21.00,,,,,,,,,
13/06/2014 22.00,,,,,,,,,
13/06/2014 23.00,,,,,,,,,
14/06/2014 0.00,,,,,,,,,
14/06/2014 1.00,,,,,,,,,
14/06/2014 2.00,,,,,,,,,
14/06/2014 3.00,,,,,,,,,
14/06/2014 4.00,,,,,,,,,
14/06/2014 5.00,,,,,,,,,
14/06/2014 6.00,,,,,,,,,
14/06/2014 7.00,,,,,,,,,
14/06/2014 8.00,,,,,,,,,
14/06/2014 9.00,,,,,,,,,
14/06/2014 10.00,,,,,,,,,
14/06/2014 11.00,,,,,,,,,
14/06/2014 12.00,,,,,,,,,
14/06/2014 13.00,,,,,,,,,
14/06/2014 14.00,,,,,,,,,
14/06/2014 15.00,,,,,,,,,
14/06/2014 16.00,,,,,,,,,
14/06/2014 17.00,,,,,,,,,
14/06/2014 18.00,,,,,,,,,
14/06/2014 19.00,,,,,,,,,
14/06/2014 20.00,,,,,,,,,
14/06/2014 21.00,,,,,,,,,
14/06/2014 22.00,,,,,,,,,
14/06/2014 23.00,,,,,,,,,
15/06/2014 0.00,,,,,,,,,
15/06/2014 1.00,,,,,,,,,
15/06/2014 2.00,,,,,,,,,
15/06/2014 3.00,,,,,,,,,
15/06/2014 4.00,,,,,,,,,
15/06/2014 5.00,,,,,,,,,
15/06/2014 6.00,,,,,,,,,
15/06/2014 7.00,,,,,,,,,
15/06/2014 8.00,,,,,,,,,
15/06/2014 9.00,,,,,,,,,
15/06/2014 10.00,,,,,,,,,
15/06/2014 11.00,,,,,,,,,
15/06/2014 12.00,,,,,,,,,
15/06/2014 13.00,,,,,,,,,
15/06/2014 14.00,,,,,,,,,
15/06/2014 15.00,,,,,,,,,
15/06/2014 16.00,,,,,,,,,
15/06/2014 17.00,,,,,,,,,
15/06/2014 18.00,,,,,,,,,
15/06/2014 19.00,,,,,,,,,
15/06/2014 20.00,,,,,,,,,
15/06/2014 21.00,,,,,,,,,
15/06/2014 22.00,,,,,,,,,
15/06/2014 23.00,,,,,,,,,
16/06/2014 0.00,,,,,,,,,
16/06/2014 1.00,,,,,,,,,
16/06/2014 2.00,,,,,,,,,
16/06/2014 3.00,,,,,,,,,
16/06/2014 4.00,,,,,,,,,
16/06/2014 5.00,,,,,,,,,
16/06/2014 6.00,,,,,,,,,
16/06/2014 7.00,,,,,,,,,
16/06/2014 8.00,,,,,,,,,
16/06/2014 9.00,,,,,,,,,
16/06/2014 10.00,,,,,,,,,
16/06/2014 11.00,,,,,,,,,
16/06/2014 12.00,,,,,,,,,
16/06/2014 13.00,,,,,,,,,
16/06/2014 14.00,,,,,,,,,
16/06/2014 15.00,,,,,,,,,
16/06/2014 16.00,,,,,,,,,
16/06/2014 17.00,,,,,,,,,
16/06/2014 18.00,,,,,,,,,
16/06/2014 19.00,,,,,,,,,
16/06/2014 20.00,,,,,,,,,
16/06/2014 21.00,,,,,,,,,
16/06/2014 22.00,,,,,,,,,
16/06/2014 23.00,,,,,,,,,
17/06/2014 0.00,,,,,,,,,
17/06/2014 1.00,,,,,,,,,
17/06/2014 2.00,,,,,,,,,
17/06/2014 3.00,,,,,,,,,
17/06/2014 4.00,,,,,,,,,
17/06/2014 5.00,,,,,,,,,
17/06/2014 6.00,,,,,,,,,
17/06/2014 7.00,,,,,,,,,
17/06/2014 8.00,,,,,,,,,
17/06/2014 9.00,,,,,,,,,
17/06/2014 10.00,,,,,,,,,
17/06/2014 11.00,,,,,,,,,
17/06/2014 12.00,,,,,,,,,
17/06/2014 13.00,,,,,,,,,
17/06/2014 14.00,,,,,,,,,
17/06/2014 15.00,,,,,,,,,
17/06/2014 16.00,,,,,,,,,
17/06/2014 17.00,,,,,,,,,
17/06/2014 18.00,,,,,,,,,
17/06/2014 19.00,,,,,,,,,
17/06/2014 20.00,,,,,,,,,
17/06/2014 21.00,,,,,,,,,
17/06/2014 22.00,,,,,,,,,
17/06/2014 23.00,,,,,,,,,
18/06/2014 0.00,,,,,,,,,
18/06/2014 1.00,,,,,,,,,
18/06/2014 2.00,,,,,,,,,
18/06/2014 3.00,,,,,,,,,
18/06/2014 4.00,,,,,,,,,
18/06/2014 5.00,,,,,,,,,
18/06/2014 6.00,,,,,,,,,
18/06/2014 7.00,,,,,,,,,
18/06/2014 8.00,,,,,,,,,
18/06/2014 9.00,,,,,,,,,
18/06/2014 10.00,,,,,,,,,
18/06/2014 11.00,,,,,,,,,
18/06/2014 12.00,,,,,,,,,
18/06/2014 13.00,,,,,,,,,
18/06/2014 14.00,,,,,,,,,
18/06/2014 15.00,,,,,,,,,
18/06/2014 16.00,,,,,,,,,
18/06/2014 17.00,,,,,,,,,
18/06/2014 18.00,,,,,,,,,
18/06/2014 19.00,,,,,,,,,
18/06/2014 20.00,,,,,,,,,
18/06/2014 21.00,,,,,,,,,
18/06/2014 22.00,,,,,,,,,
18/06/2014 23.00,,,,,,,,,
19/06/2014 0.00,,,,,,,,,
19/06/2014 1.00,,,,,,,,,
19/06/2014 2.00,,,,,,,,,
19/06/2014 3.00,,,,,,,,,
19/06/2014 4.00,,,,,,,,,
19/06/2014 5.00,,,,,,,,,
19/06/2014 6.00,,,,,,,,,
19/06/2014 7.00,,,,,,,,,
19/06/2014 8.00,,,,,,,,,
19/06/2014 9.00,,,,,,,,,
19/06/2014 10.00,,,,,,,,,
19/06/2014 11.00,,,,,,,,,
19/06/2014 12.00,,,,,,,,,
19/06/2014 13.00,,,,,,,,,
19/06/2014 14.00,,,,,,,,,
19/06/2014 15.00,,,,,,,,,
19/06/2014 16.00,,,,,,,,,
19/06/2014 17.00,,,,,,,,,
19/06/2014 18.00,,,,,,,,,
19/06/2014 19.00,,,,,,,,,
19/06/2014 20.00,,,,,,,,,
19/06/2014 21.00,,,,,,,,,
19/06/2014 22.00,,,,,,,,,
19/06/2014 23.00,,,,,,,,,
20/06/2014 0.00,,,,,,,,,
20/06/2014 1.00,,,,,,,,,
20/06/2014 2.00,,,,,,,,,
20/06/2014 3.00,,,,,,,,,
20/06/2014 4.00,,,,,,,,,
20/06/2014 5.00,,,,,,,,,
20/06/2014 6.00,,,,,,,,,
20/06/2014 7.00,,,,,,,,,
20/06/2014 8.00,,,,,,,,,
20/06/2014 9.00,,,,,,,,,
20/06/2014 10.00,,,,,,,,,
20/06/2014 11.00,,,,,,,,,
20/06/2014 12.00,,,,,,,,,
20/06/2014 13.00,,,,,,,,,
20/06/2014 14.00,,,,,,,,,
20/06/2014 15.00,,,,,,,,,
20/06/2014 16.00,,,,,,,,,
20/06/2014 17.00,,,,,,,,,
20/06/2014 18.00,,,,,,,,,
20/06/2014 19.00,,,,,,,,,
20/06/2014 20.00,,,,,,,,,
20/06/2014 21.00,,,,,,,,,
20/06/2014 22.00,,,,,,,,,
20/06/2014 23.00,,,,,,,,,
21/06/2014 0.00,,,,,,,,,
21/06/2014 1.00,,,,,,,,,
21/06/2014 2.00,,,,,,,,,
21/06/2014 3.00,,,,,,,,,
21/06/2014 4.00,,,,,,,,,
21/06/2014 5.00,,,,,,,,,
21/06/2014 6.00,,,,,,,,,
21/06/2014 7.00,,,,,,,,,
21/06/2014 8.00,,,,,,,,,
21/06/2014 9.00,,,,,,,,,
21/06/2014 10.00,,,,,,,,,
21/06/2014 11.00,,,,,,,,,
21/06/2014 12.00,,,,,,,,,
21/06/2014 13.00,,,,,,,,,
21/06/2014 14.00,,,,,,,,,
21/06/2014 15.00,,,,,,,,,
21/06/2014 16.00,,,,,,,,,
21/06/2014 17.00,,,,,,,,,
21/06/2014 18.00,,,,,,,,,
21/06/2014 19.00,,,,,,,,,
21/06/2014 20.00,,,,,,,,,
21/06/2014 21.00,,,,,,,,,
21/06/2014 22.00,,,,,,,,,
21/06/2014 23.00,,,,,,,,,
22/06/2014 0.00,,,,,,,,,
22/06/2014 1.00,,,,,,,,,
22/06/2014 2.00,,,,,,,,,
22/06/2014 3.00,,,,,,,,,
22/06/2014 4.00,,,,,,,,,
22/06/2014 5.00,,,,,,,,,
22/06/2014 6.00,,,,,,,,,
22/06/2014 7.00,,,,,,,,,
22/06/2014 8.00,,,,,,,,,
22/06/2014 9.00,,,,,,,,,
22/06/2014 10.00,,,,,,,,,
22/06/2014 11.00,,,,,,,,,
22/06/2014 12.00,,,,,,,,,
22/06/2014 13.00,,,,,,,,,
22/06/2014 14.00,,,,,,,,,
22/06/2014 15.00,,,,,,,,,
22/06/2014 16.00,,,,,,,,,
22/06/2014 17.00,,,,,,,,,
22/06/2014 18.00,,,,,,,,,
22/06/2014 19.00,,,,,,,,,
22/06/2014 20.00,,,,,,,,,
22/06/2014 21.00,,,,,,,,,
22/06/2014 22.00,,,,,,,,,
22/06/2014 23.00,,,,,,,,,
23/06/2014 0.00,,,,,,,,,
23/06/2014 1.00,,,,,,,,,
23/06/2014 2.00,,,,,,,,,
23/06/2014 3.00,,,,,,,,,
23/06/2014 4.00,,,,,,,,,
23/06/2014 5.00,,,,,,,,,
23/06/2014 6.00,,,,,,,,,
23/06/2014 7.00,,,,,,,,,
23/06/2014 8.00,,,,,,,,,
23/06/2014 9.00,,,,,,,,,
23/06/2014 10.00,,,,,,,,,
23/06/2014 11.00,,,,,,,,,
23/06/2014 12.00,,,,,,,,,
23/06/2014 13.00,,,,,,,,,
23/06/2014 14.00,,,,,,,,,
23/06/2014 15.00,,,,,,,,,
23/06/2014 16.00,,,,,,,,,
23/06/2014 17.00,,,,,,,,,
23/06/2014 18.00,,,,,,,,,
23/06/2014 19.00,,,,,,,,,
23/06/2014 20.00,,,,,,,,,
23/06/2014 21.00,,,,,,,,,
23/06/2014 22.00,,,,,,,,,
23/06/2014 23.00,,,,,,,,,
24/06/2014 0.00,,,,,,,,,
24/06/2014 1.00,,,,,,,,,
24/06/2014 2.00,,,,,,,,,
24/06/2014 3.00,,,,,,,,,
24/06/2014 4.00,,,,,,,,,
24/06/2014 5.00,,,,,,,,,
24/06/2014 6.00,,,,,,,,,
24/06/2014 7.00,,,,,,,,,
24/06/2014 8.00,,,,,,,,,
24/06/2014 9.00,,,,,,,,,
24/06/2014 10.00,,,,,,,,,
24/06/2014 11.00,,,,,,,,,
24/06/2014 12.00,,,,,,,,,
24/06/2014 13.00,,,,,,,,,
24/06/2014 14.00,,,,,,,,,
24/06/2014 15.00,,,,,,,,,
24/06/2014 16.00,,,,,,,,,
24/06/2014 17.00,,,,,,,,,
24/06/2014 18.00,,,,,,,,,
24/06/2014 19.00,,,,,,,,,
24/06/2014 20.00,,,,,,,,,
24/06/2014 21.00,,,,,,,,,
24/06/2014 22.00,,,,,,,,,
24/06/2014 23.00,,,,,,,,,
25/06/2014 0.00,,,,,,,,,
25/06/2014 1.00,,,,,,,,,
25/06/2014 2.00,,,,,,,,,
25/06/2014 3.00,,,,,,,,,
25/06/2014 4.00,,,,,,,,,
25/06/2014 5.00,,,,,,,,,
25/06/2014 6.00,,,,,,,,,
25/06/2014 7.00,,,,,,,,,
25/06/2014 8.00,,,,,,,,,
25/06/2014 9.00,,,,,,,,,
25/06/2014 10.00,,,,,,,,,
25/06/2014 11.00,,,,,,,,,
25/06/2014 12.00,,,,,,,,,
25/06/2014 13.00,,,,,,,,,
25/06/2014 14.00,,,,,,,,,
25/06/2014 15.00,,,,,,,,,
25/06/2014 16.00,,,,,,,,,
25/06/2014 17.00,,,,,,,,,
25/06/2014 18.00,,,,,,,,,
25/06/2014 19.00,,,,,,,,,
25/06/2014 20.00,,,,,,,,,
25/06/2014 21.00,,,,,,,,,
25/06/2014 22.00,,,,,,,,,
25/06/2014 23.00,,,,,,,,,
26/06/2014 0.00,,,,,,,,,
26/06/2014 1.00,,,,,,,,,
26/06/2014 2.00,,,,,,,,,
26/06/2014 3.00,,,,,,,,,
26/06/2014 4.00,,,,,,,,,
26/06/2014 5.00,,,,,,,,,
26/06/2014 6.00,,,,,,,,,
26/06/2014 7.00,,,,,,,,,
26/06/2014 8.00,,,,,,,,,
26/06/2014 9.00,,,,,,,,,
26/06/2014 10.00,,,,,,,,,
26/06/2014 11.00,,,,,,,,,
26/06/2014 12.00,,,,,,,,,
26/06/2014 13.00,,,,,,,,,
26/06/2014 14.00,,,,,,,,,
26/06/2014 15.00,,,,,,,,,
26/06/2014 16.00,,,,,,,,,
26/06/2014 17.00,,,,,,,,,
26/06/2014 18.00,,,,,,,,,
26/06/2014 19.00,,,,,,,,,
26/06/2014 20.00,,,,,,,,,
26/06/2014 21.00,,,,,,,,,
26/06/2014 22.00,,,,,,,,,
26/06/2014 23.00,,,,,,,,,
27/06/2014 0.00,,,,,,,,,
27/06/2014 1.00,,,,,,,,,
27/06/2014 2.00,,,,,,,,,
27/06/2014 3.00,,,,,,,,,
27/06/2014 4.00,,,,,,,,,
27/06/2014 5.00,,,,,,,,,
27/06/2014 6.00,,,,,,,,,
27/06/2014 7.00,,,,,,,,,
27/06/2014 8.00,,,,,,,,,
27/06/2014 9.00,,,,,,,,,
27/06/2014 10.00,,,,,,,,,
27/06/2014 11.00,,,,,,,,,
27/06/2014 12.00,,,,,,,,,
27/06/2014 13.00,,,,,,,,,
27/06/2014 14.00,,,,,,,,,
27/06/2014 15.00,,,,,,,,,
27/06/2014 16.00,,,,,,,,,
27/06/2014 17.00,,,,,,,,,
27/06/2014 18.00,,,,,,,,,
27/06/2014 19.00,,,,,,,,,
27/06/2014 20.00,,,,,,,,,
27/06/2014 21.00,,,,,,,,,
27/06/2014 22.00,,,,,,,,,
27/06/2014 23.00,,,,,,,,,
28/06/2014 0.00,,,,,,,,,
28/06/2014 1.00,,,,,,,,,
28/06/2014 2.00,,,,,,,,,
28/06/2014 3.00,,,,,,,,,
28/06/2014 4.00,,,,,,,,,
28/06/2014 5.00,,,,,,,,,
28/06/2014 6.00,,,,,,,,,
28/06/2014 7.00,,,,,,,,,
28/06/2014 8.00,,,,,,,,,
28/06/2014 9.00,,,,,,,,,
28/06/2014 10.00,,,,,,,,,
28/06/2014 11.00,,,,,,,,,
28/06/2014 12.00,,,,,,,,,
28/06/2014 13.00,,,,,,,,,
28/06/2014 14.00,,,,,,,,,
28/06/2014 15.00,,,,,,,,,
28/06/2014 16.00,,,,,,,,,
28/06/2014 17.00,,,,,,,,,
28/06/2014 18.00,,,,,,,,,
28/06/2014 19.00,,,,,,,,,
28/06/2014 20.00,,,,,,,,,
28/06/2014 21.00,,,,,,,,,
28/06/2014 22.00,,,,,,,,,
28/06/2014 23.00,,,,,,,,,
29/06/2014 0.00,,,,,,,,,
29/06/2014 1.00,,,,,,,,,
29/06/2014 2.00,,,,,,,,,
29/06/2014 3.00,,,,,,,,,
29/06/2014 4.00,,,,,,,,,
29/06/2014 5.00,,,,,,,,,
29/06/2014 6.00,,,,,,,,,
29/06/2014 7.00,,,,,,,,,
29/06/2014 8.00,,,,,,,,,
29/06/2014 9.00,,,,,,,,,
29/06/2014 10.00,,,,,,,,,
29/06/2014 11.00,,,,,,,,,
29/06/2014 12.00,,,,,,,,,
29/06/2014 13.00,,,,,,,,,
29/06/2014 14.00,,,,,,,,,
29/06/2014 15.00,,,,,,,,,
29/06/2014 16.00,,,,,,,,,
29/06/2014 17.00,,,,,,,,,
29/06/2014 18.00,,,,,,,,,
29/06/2014 19.00,,,,,,,,,
29/06/2014 20.00,,,,,,,,,
29/06/2014 21.00,,,,,,,,,
29/06/2014 22.00,,,,,,,,,
29/06/2014 23.00,,,,,,,,,
30/06/2014 0.00,,,,,,,,,
30/06/2014 1.00,,,,,,,,,
30/06/2014 2.00,,,,,,,,,
30/06/2014 3.00,,,,,,,,,
30/06/2014 4.00,,,,,,,,,
30/06/2014 5.00,,,,,,,,,
30/06/2014 6.00,,,,,,,,,
30/06/2014 7.00,,,,,,,,,
30/06/2014 8.00,,,,,,,,,
30/06/2014 9.00,,,,,,,,,
30/06/2014 10.00,,,,,,,,,
30/06/2014 11.00,,,,,,,,,
30/06/2014 12.00,,,,,,,,,
30/06/2014 13.00,,,,,,,,,
30/06/2014 14.00,,,,,,,,,
30/06/2014 15.00,,,,,,,,,
30/06/2014 16.00,,,,,,,,,
30/06/2014 17.00,,,,,,,,,
30/06/2014 18.00,,,,,,,,,
30/06/2014 19.00,,,,,,,,,
30/06/2014 20.00,,,,,,,,,
30/06/2014 21.00,,,,,,,,,
30/06/2014 22.00,,,,,,,,,
30/06/2014 23.00,,,,,,,,,
01/07/2014 0.00,,,,,,,,,
01/07/2014 1.00,,,,,,,,,
01/07/2014 2.00,,,,,,,,,
01/07/2014 3.00,,,,,,,,,
01/07/2014 4.00,,,,,,,,,
01/07/2014 5.00,,,,,,,,,
01/07/2014 6.00,,,,,,,,,
01/07/2014 7.00,,,,,,,,,
01/07/2014 8.00,,,,,,,,,
01/07/2014 9.00,,,,,,,,,
01/07/2014 10.00,,,,,,,,,
01/07/2014 11.00,,,,,,,,,
01/07/2014 12.00,,,,,,,,,
01/07/2014 13.00,,,,,,,,,
01/07/2014 14.00,,,,,,,,,
01/07/2014 15.00,,,,,,,,,
01/07/2014 16.00,,,,,,,,,
01/07/2014 17.00,,,,,,,,,
01/07/2014 18.00,,,,,,,,,
01/07/2014 19.00,,,,,,,,,
01/07/2014 20.00,,,,,,,,,
01/07/2014 21.00,,,,,,,,,
01/07/2014 22.00,,,,,,,,,
01/07/2014 23.00,,,,,,,,,
02/07/2014 0.00,,,,,,,,,
02/07/2014 1.00,,,,,,,,,
02/07/2014 2.00,,,,,,,,,
02/07/2014 3.00,,,,,,,,,
02/07/2014 4.00,,,,,,,,,
02/07/2014 5.00,,,,,,,,,
02/07/2014 6.00,,,,,,,,,
02/07/2014 7.00,,,,,,,,,
02/07/2014 8.00,,,,,,,,,
02/07/2014 9.00,,,,,,,,,
02/07/2014 10.00,,,,,,,,,
02/07/2014 11.00,,,,,,,,,
02/07/2014 12.00,,,,,,,,,
02/07/2014 13.00,,,,,,,,,
02/07/2014 14.00,,,,,,,,,
02/07/2014 15.00,,,,,,,,,
02/07/2014 16.00,,,,,,,,,
02/07/2014 17.00,,,,,,,,,
02/07/2014 18.00,,,,,,,,,
02/07/2014 19.00,,,,,,,,,
02/07/2014 20.00,,,,,,,,,
02/07/2014 21.00,,,,,,,,,
02/07/2014 22.00,,,,,,,,,
02/07/2014 23.00,,,,,,,,,
03/07/2014 0.00,,,,,,,,,
03/07/2014 1.00,,,,,,,,,
03/07/2014 2.00,,,,,,,,,
03/07/2014 3.00,,,,,,,,,
03/07/2014 4.00,,,,,,,,,
03/07/2014 5.00,,,,,,,,,
03/07/2014 6.00,,,,,,,,,
03/07/2014 7.00,,,,,,,,,
03/07/2014 8.00,,,,,,,,,
03/07/2014 9.00,,,,,,,,,
03/07/2014 10.00,,,,,,,,,
03/07/2014 11.00,,,,,,,,,
03/07/2014 12.00,,,,,,,,,
03/07/2014 13.00,,,,,,,,,
03/07/2014 14.00,,,,,,,,,
03/07/2014 15.00,,,,,,,,,
03/07/2014 16.00,,,,,,,,,
03/07/2014 17.00,,,,,,,,,
03/07/2014 18.00,,,,,,,,,
03/07/2014 19.00,,,,,,,,,
03/07/2014 20.00,,,,,,,,,
03/07/2014 21.00,,,,,,,,,
03/07/2014 22.00,,,,,,,,,
03/07/2014 23.00,,,,,,,,,
04/07/2014 0.00,,,,,,,,,
04/07/2014 1.00,,,,,,,,,
04/07/2014 2.00,,,,,,,,,
04/07/2014 3.00,,,,,,,,,
04/07/2014 4.00,,,,,,,,,
04/07/2014 5.00,,,,,,,,,
04/07/2014 6.00,,,,,,,,,
04/07/2014 7.00,,,,,,,,,
04/07/2014 8.00,,,,,,,,,
04/07/2014 9.00,,,,,,,,,
04/07/2014 10.00,,,,,,,,,
04/07/2014 11.00,,,,,,,,,
04/07/2014 12.00,,,,,,,,,
04/07/2014 13.00,,,,,,,,,
04/07/2014 14.00,,,,,,,,,
04/07/2014 15.00,,,,,,,,,
04/07/2014 16.00,,,,,,,,,
04/07/2014 17.00,,,,,"2,5",,"1,8",,
04/07/2014 18.00,,"37,8","34,3",,"0,8",,"2,2",,
04/07/2014 19.00,,"21,2","19,0","0,6","1,1",,"2,5",,
04/07/2014 20.00,"0,1","31,0","26,3","0,5","1,0",,"2,1",,
04/07/2014 21.00,,"40,3","34,0","0,5","1,5",,"1,9",,
04/07/2014 22.00,,"66,4","54,7","0,5","1,2",,"2,2",,
04/07/2014 23.00,,"84,4","72,7","0,4","1,7",,"2,6",,
05/07/2014 0.00,"0,1","51,2","43,2","0,4","1,3",,"1,3",,
05/07/2014 1.00,"0,2","44,0","35,6","0,4","0,9",,"1,4",,
05/07/2014 2.00,"0,1","35,9","27,6","0,3","0,8",,"1,3",,
05/07/2014 3.00,"0,4","32,4","24,0","0,3","0,9",,"1,1",,
05/07/2014 4.00,"0,6","25,7","18,0","0,3","1,8",,"1,2",,
05/07/2014 5.00,"0,6","33,5","25,8","0,3","0,6",,"1,5",,
05/07/2014 6.00,"0,8","62,4","45,3","0,4","0,8",,"6,0",,
05/07/2014 7.00,"0,5","80,8","62,6","0,4","1,5",,"4,1",,
05/07/2014 8.00,"0,5","55,7","43,1","0,4","1,3",,"3,3",,
05/07/2014 9.00,"0,5","41,4","30,4","0,3","1,1",,"2,4",,
05/07/2014 10.00,"0,3","45,2","34,5","0,2","0,9",,"1,7",,
05/07/2014 11.00,"0,2","25,9","17,4","0,1","0,7",,"1,4",,
05/07/2014 12.00,"0,3","39,8","27,9","0,2","1,5",,"2,2",,
05/07/2014 13.00,"0,6","32,4","22,7","0,2","0,7",,"1,7",,
05/07/2014 14.00,"0,4","23,1","14,8","0,2","0,7",,"1,5",,
05/07/2014 15.00,"0,3","22,9","14,6","0,2","0,5",,"2,9",,
05/07/2014 16.00,"0,4","14,6","7,2","0,2","0,5",,"1,5",,
05/07/2014 17.00,"0,3","15,2","8,1","0,2","0,5",,"1,4",,
05/07/2014 18.00,"0,2","20,3","12,5","0,2","0,6",,"1,6",,
05/07/2014 19.00,"0,4","20,7","13,3","0,2","0,7",,"1,9",,
05/07/2014 20.00,"0,1","24,9","17,5","0,2","0,7",,"2,3",,
05/07/2014 21.00,"0,2","20,3","14,1","0,2","1,0",,"2,0",,
05/07/2014 22.00,"0,2","18,1","11,5","0,2","0,9",,"1,8",,
05/07/2014 23.00,"0,6","18,5","12,1","0,2","0,7",,"2,1",,
06/07/2014 0.00,"0,4","33,5","25,9","0,2","0,7",,"2,3",,
06/07/2014 1.00,"0,2","34,7","27,3","0,1","2,1",,"1,8",,
06/07/2014 2.00,"0,5","32,7","25,4","0,2","0,6",,"1,7",,
06/07/2014 3.00,"0,2","21,2","14,8","0,2","2,3",,"1,0",,
06/07/2014 4.00,"0,5","31,1","20,8","0,2","0,7",,"1,3",,
06/07/2014 5.00,"0,8","41,3","33,5","0,4","2,1",,"1,5",,
06/07/2014 6.00,"0,9","53,0","42,5","0,6","1,0",,"1,9",,
06/07/2014 7.00,"0,5","46,1","34,8","0,5","1,2",,"1,8",,
06/07/2014 8.00,"0,9","28,3","19,7","0,3","2,2",,"1,8",,
06/07/2014 9.00,"0,9","39,0","28,0","0,3","0,8",,"2,3",,
06/07/2014 10.00,"0,6","36,8","27,5","0,2","1,0",,"2,6",,
06/07/2014 11.00,"0,5","30,3","21,5","0,2","1,0",,"1,8",,
06/07/2014 12.00,"0,9","23,7","15,7","0,2","0,8",,"1,5",,
06/07/2014 13.00,"1,7","22,5","14,8","0,2","0,7",,"1,5",,
06/07/2014 14.00,"1,5","25,3","17,3","0,2","0,6",,"1,7",,
06/07/2014 15.00,"1,8","23,3","15,4","0,2","0,6",,"1,3",,
06/07/2014 16.00,"1,6","17,6","10,3","0,2","0,5",,"1,3",,
06/07/2014 17.00,"1,4","19,3","12,3","0,3","0,6",,"1,7",,
