Stat,TA V. Machiavelli,,,,,,,,
Parm,SO2,NOX,NO2,CO,BENZENE,PM10  orario,IPA TOT ,PM10,PM2.5
Unit,ug/m3 293K,,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ng/m3,ug/m3,ug/m3
05/01/2014 22.00,"3,3","66,3","56,6","0,5","0,9",,"17,9","18,6","8,9"
05/01/2014 23.00,"3,2","47,3","41,9","0,3","1,1",,"6,1","18,6","8,9"
06/01/2014 0.00,"3,2","25,0","20,3","0,3","0,7",,"3,2","18,6","8,9"
06/01/2014 1.00,,"26,0","21,2","0,3","0,6",,"4,4","12,0","9,0"
06/01/2014 2.00,"3,2",,,"0,2","0,7",,"2,1","12,0","9,0"
06/01/2014 3.00,"3,2","13,9","10,1",,"1,1",,"1,7","12,0","9,0"
06/01/2014 4.00,"2,9","11,8","7,8",,"2,6",,"1,4","12,0","9,0"
06/01/2014 5.00,"3,0","10,5","6,6",,"1,8",,"1,2","12,0","9,0"
06/01/2014 6.00,"2,9","13,3","9,3",,"0,4",,"1,6","12,0","9,0"
06/01/2014 7.00,"3,0","16,6","12,4",,"0,5",,"2,7","12,0","9,0"
06/01/2014 8.00,"3,1","27,0","22,0",,"2,6",,"4,4","12,0","9,0"
06/01/2014 9.00,"3,4","35,9","29,2",,"1,0",,"6,1","12,0","9,0"
06/01/2014 10.00,"3,3","25,4","20,1",,"0,8",,"4,8","12,0","9,0"
06/01/2014 11.00,"3,1","27,4","21,5",,"0,9",,"6,5","12,0","9,0"
06/01/2014 12.00,"3,6","23,6","17,9",,"1,0",,"5,1","12,0","9,0"
06/01/2014 13.00,"3,4","19,8","14,5",,"2,3",,"3,1","12,0","9,0"
06/01/2014 14.00,"3,2","22,1","16,4",,"2,5",,"3,3","12,0","9,0"
06/01/2014 15.00,"3,6","15,5","11,1",,"0,6",,"2,1","12,0","9,0"
06/01/2014 16.00,"3,2","12,7","8,6",,"1,6",,"2,2","12,0","9,0"
06/01/2014 17.00,"3,2","18,0","13,7",,"1,7",,"3,2","12,0","9,0"
06/01/2014 18.00,"3,3","20,2","15,9",,"0,7",,"3,4","12,0","9,0"
06/01/2014 19.00,"3,4","27,9","23,1",,"2,0",,"5,0","12,0","9,0"
06/01/2014 20.00,"3,5","29,7","25,0",,"2,2",,"5,8","12,0","9,0"
06/01/2014 21.00,"3,4","23,2","18,6",,"2,1",,"4,1","12,0","9,0"
06/01/2014 22.00,"3,6","26,5","22,2",,"0,7",,"4,8","12,0","9,0"
06/01/2014 23.00,"4,2","45,6","36,3",,"1,0",,"6,8","12,0","9,0"
07/01/2014 0.00,"3,7","48,7","40,1",,"1,2",,"8,0","12,0","9,0"
