,Regione Puglia,,,,,
,Bari Via Caldarola,,,,,
,SO2,NO2,CO,O3,PM10,BENZENE
,,,,,
,,,
,,,,
,,,,,
,,,,
05/01/2008 22.00,"0,48213601","8,29428455","0,43059105","57,68022978","26,08979988","1,37800002"
05/01/2008 23.00,"0,447025","7,15279782","0,34834765","64,60691382","26,08979988","1,25950003"
06/01/2008 0.00,"0,41448301","5,6972123","0,32325235","67,22800848","26,08979988","1,17949998"
06/01/2008 1.00,,"5,43163203","0,3026823","66,09460032","30,34608078","1,06200004"
06/01/2008 2.00,"0,63182402",,"0,3055044","64,79830692","30,34608078","0,99245"
06/01/2008 3.00,"0,489198","6,88338595",,"60,19137396","30,34608078","0,96085"
06/01/2008 4.00,"0,551898","8,37472363","0,36807015","49,33780578","30,34608078","1,07200003"
06/01/2008 5.00,"0,50607902","6,28966147","0,3374261",,"30,34608078","1,16100001"
06/01/2008 6.00,"0,65628302","4,96686515","0,2899656","55,17120456","30,34608078","1,1085"
06/01/2008 7.00,"0,551898","5,15072913","0,34115555","52,70999328","30,34608078","0,95784998"
06/01/2008 8.00,"0,62837899","5,44184586","0,33187275","53,26837848","30,34608078","1,12450004"
06/01/2008 9.00,"0,709337","6,80422406","0,3430197","52,85502432","30,34608078","1,10099995"
06/01/2008 10.00,"0,58772701","6,69186065","0,4302886","58,13388342","30,34608078","1,78900003"
06/01/2008 11.00,"0,64250302","7,82951766","0,481206","55,16037432","30,34608078","1,87300003"
06/01/2008 12.00,"0,60943103","7,89974292","0,41141365","60,11530722","30,34608078","1,83000004"
06/01/2008 13.00,"0,69073403","9,08463937","0,43459995","57,57143688","30,34608078","1,57099998"
06/01/2008 14.00,"0,83301502","11,12501273","0,53821955","49,47220278","30,34608078","1,64849997"
06/01/2008 15.00,"0,65180498","13,63269798","0,6822329","42,43282146","30,34608078","2,09500003"
06/01/2008 16.00,"0,64422601","11,0279663","0,5022165","35,07630246","30,34608078","1,95350003"
06/01/2008 17.00,"0,560166","11,50167358","0,54455145","34,68054744","30,34608078","1,66999996"
06/01/2008 18.00,"0,72277302","13,14367936","0,6042054","39,28177098","30,34608078","3,03349996"
06/01/2008 19.00,"0,478863","9,95160731","0,4303277","52,22751786","30,34608078","1,63199997"
06/01/2008 20.00,"0,466461","11,16459086","0,47374825","44,84117646","30,34608078","1,65799999"
06/01/2008 21.00,"0,626656","13,75783339","0,55192985","37,8627741","30,34608078","1,69799995"
06/01/2008 22.00,"0,75963497","18,76427665","0,77556115","26,6870259","30,34608078","1,88250005"
06/01/2008 23.00,"0,62424397","20,83784967","0,7053801","27,8634411","30,34608078","2,61199999"
07/01/2008 0.00,"0,84955102","23,9622471","0,91009735","19,37524442","30,34608078","2,70449996"
07/01/2008 1.00,"1,144104","24,93389646","0,9744134","18,33302806","35,38515091","3,37700009"
07/01/2008 2.00,"1,34116101","22,98418353","1,1053754","18,47668963","35,38515091","3,38700008"
07/01/2008 3.00,"0,814412","17,11333424","0,7234006","18,95375385","35,38515091","3,31800008"
07/01/2008 4.00,"0,77996099","12,50015352","0,5200829","23,66474148","35,38515091","2,25300002"
07/01/2008 5.00,"0,65903902","9,75497698","0,44170695","25,77222378","35,38515091","1,60899997"
07/01/2008 6.00,"0,64904898","9,34256021","0,3316393","22,31080452","35,38515091","1,28999996"
07/01/2008 7.00,"0,85437399","13,26370221","0,5275004","17,46835112","35,38515091","1,48749995"
07/01/2008 8.00,"1,47241795","16,87201887","0,906407","19,03236334","35,38515091","2,28449988"
07/01/2008 9.00,"3,25144506","26,41247532","2,0117824","20,40389748","35,38515091","3,80649996"
07/01/2008 10.00,"3,93494511","32,3293113","2,81317025","22,2538869","35,38515091","9,31200027"
07/01/2008 11.00,"2,26236892","27,11728602","1,4793485","27,46362474","35,38515091","7,03000021"
07/01/2008 12.00,"1,61056399","24,45636699","0,92384445","33,40116648","35,38515091","4,7505002"
07/01/2008 13.00,"1,75628996","25,07690889","1,1080549","30,3002451","35,38515091","3,99650002"
07/01/2008 14.00,"1,309466","19,54823607","0,6682512","40,98535596","35,38515091","3,43400002"
