,Comune Bari,,
,Corso Cavour,,
Parm,CO,PM10,BENZENE



20/01/2010 20.00,"0,84031101","22,46640968","2,5727527"
20/01/2010 21.00,"1,26172995",,"6,0936606"
20/01/2010 22.00,"1,32513391","31,25761986","6,89844524"
20/01/2010 23.00,"0,94971965",,"5,6232442"
21/01/2010 0.00,"0,69085665","29,30401993","3,30812811"
21/01/2010 1.00,"0,68734418",,"2,63799427"
21/01/2010 2.00,"0,66438203","19,04759979","2,32069942"
21/01/2010 3.00,"0,61928488",,"2,46245498"
21/01/2010 4.00,"0,53556215","25,88521957","2,01099648"
21/01/2010 5.00,"0,49859204",,"2,03065814"
21/01/2010 6.00,"0,46734325","19,04759979","1,90468133"
21/01/2010 7.00,"0,66552606",,"2,3463624"
21/01/2010 8.00,"0,92415373","25,39682007","3,43224788"
21/01/2010 9.00,"1,41303899",,"4,92588527"
21/01/2010 10.00,"1,74158064","47,37483978","7,76708528"
21/01/2010 11.00,"1,39437685",,"7,21138631"
21/01/2010 12.00,"1,13791958","56,16604996","5,85463306"
21/01/2010 13.00,"0,94111846",,"5,14117298"
21/01/2010 14.00,"1,15997536","50,30524063","6,38066309"
21/01/2010 15.00,"0,7258917",,"5,09181492"
21/01/2010 16.00,"0,62745153","38,0952301","3,2700974"
21/01/2010 17.00,"0,56538965",,"2,73590798"
21/01/2010 18.00,"0,49539645","22,46640968","2,43172429"
21/01/2010 19.00,"0,60243781",,"2,34891812"
21/01/2010 20.00,"0,66493424","16,11721039","2,65167597"
21/01/2010 21.00,"0,8395223",,"3,02369864"
21/01/2010 22.00,"0,64978341","22,46640968","2,3757242"
21/01/2010 23.00,"0,43199249",,"1,60764207"
22/01/2010 0.00,"0,34929496","13,18680954","1,09342247"
22/01/2010 1.00,"0,3647615",,"1,14230457"
22/01/2010 2.00,"0,34586287","15,14041042","1,12770655"
22/01/2010 3.00,,,"0,97624067"
22/01/2010 4.00,"0,23605114","21,0012207","0,85759745"
22/01/2010 5.00,"0,25735083",,
22/01/2010 6.00,"0,30920032","15,62880993","0,98723648"
22/01/2010 7.00,"0,41214788",,"1,10884934"
22/01/2010 8.00,"0,46119554","16,11721039","1,4077192"
22/01/2010 9.00,"0,59440863",,"1,94968256"
22/01/2010 10.00,"0,5143475","16,60560989","2,39710663"
22/01/2010 11.00,"0,4991559",,"2,31475099"
22/01/2010 12.00,"0,4651414","17,09399986","1,87553411"
22/01/2010 13.00,"0,45819683",,"1,89254852"
22/01/2010 14.00,"0,51947583","17,58241081","1,89323195"
22/01/2010 15.00,"0,49134225",,"2,23799393"
22/01/2010 16.00,"0,39711472","16,11721039","1,68595412"
22/01/2010 17.00,"0,46403698",,"2,06729353"
22/01/2010 18.00,"0,499905","19,04759979","2,05463188"
22/01/2010 19.00,"0,83337227",,"3,15648222"
22/01/2010 20.00,"0,90388506","20,02441978","3,88204867"
