TARANTO - SAN VITO,,,
,SO2,NO2,PM10
06/01/2011 12.00,"1,040723","13,597807","35,799992"
06/01/2011 13.00,"0,877584","11,5238","35,799992"
06/01/2011 14.00,"0,722206","11,207119","35,799992"
06/01/2011 15.00,"0,578513","14,450502","35,799992"
06/01/2011 16.00,"0,651547","12,541329","35,799992"
06/01/2011 17.00,"0,680394","23,33833","35,799992"
06/01/2011 18.00,"1,014795","66,354999","35,799992"
06/01/2011 19.00,"1,125349","70,183725","35,799992"
06/01/2011 20.00,"1,059711","53,055704","35,799992"
06/01/2011 21.00,"0,761736","41,912166","35,799992"
06/01/2011 22.00,"0,722845","41,332028","35,799992"
06/01/2011 23.00,"0,806377","44,984236","35,799992"
07/01/2011 0.00,"0,903329","46,530008","35,799992"
07/01/2011 1.00,"0,850836","26,929525","29,9"
07/01/2011 2.00,"0,798891","19,909349","29,9"
07/01/2011 3.00,"1,117407","17,054035","29,9"
07/01/2011 4.00,"0,86033","14,127332","29,9"
07/01/2011 5.00,"0,881327","7,560105","29,9"
07/01/2011 6.00,"1,046382","25,477207","29,9"
07/01/2011 7.00,"1,023285","16,159798","29,9"
07/01/2011 8.00,"0,843807","34,362445","29,9"
07/01/2011 9.00,"1,090202","44,888196","29,9"
07/01/2011 10.00,"1,159675","40,121103","29,9"
07/01/2011 11.00,"1,11339","27,775737","29,9"
07/01/2011 12.00,"0,996445","19,884684","29,9"
07/01/2011 13.00,"0,864164","16,306454","29,9"
07/01/2011 14.00,"0,952899","12,440101","29,9"
07/01/2011 15.00,"0,866356","9,565317","29,9"
07/01/2011 16.00,"0,894564","11,06565","29,9"
07/01/2011 17.00,"0,734257","29,30075","29,9"
07/01/2011 18.00,"0,920582","54,373053","29,9"
07/01/2011 19.00,"1,057429","65,671025","29,9"
07/01/2011 20.00,"0,820892","49,997919","29,9"
07/01/2011 21.00,"0,919305","54,770195","29,9"
07/01/2011 22.00,"0,733161","44,504015","29,9"
07/01/2011 23.00,"0,730605","42,946577","29,9"
08/01/2011 0.00,"0,89703","28,942536","29,9"
08/01/2011 1.00,,"24,588185","20,200001"
08/01/2011 2.00,"1,344395",,"20,200001"
08/01/2011 3.00,"1,229825","13,561464","20,200001"
08/01/2011 4.00,"1,421594","10,011786","20,200001"
08/01/2011 5.00,"1,067859","7,278468","20,200001"
08/01/2011 6.00,"1,271204","8,414105","20,200001"
08/01/2011 7.00,"1,080984","10,45825","20,200001"
08/01/2011 8.00,"1,18006","22,547928","20,200001"
08/01/2011 9.00,"1,095203","19,741915","20,200001"
08/01/2011 10.00,"1,333001","15,047528","20,200001"
08/01/2011 11.00,"1,026297","12,550423","20,200001"
08/01/2011 12.00,"0,891402","7,784637","20,200001"
08/01/2011 13.00,"1,021101","9,066935","20,200001"
08/01/2011 14.00,"1,120632","9,695105","20,200001"
08/01/2011 15.00,"1,048628","7,648361","20,200001"
08/01/2011 16.00,"1,146426","9,194125","20,200001"
08/01/2011 17.00,"0,966414","14,482951","20,200001"
08/01/2011 18.00,"0,882469","14,954081","20,200001"
08/01/2011 19.00,"0,967326","18,928166","20,200001"
08/01/2011 20.00,"0,906988","34,314434","20,200001"
08/01/2011 21.00,"1,021011","43,058199","20,200001"
08/01/2011 22.00,"1,192091","37,878381","20,200001"
08/01/2011 23.00,"0,996128","42,394983","20,200001"
09/01/2011 0.00,"0,925035","17,304526","20,200001"
09/01/2011 1.00,"0,846467","28,014566","20,79999"
09/01/2011 2.00,"1,09894","25,78741","20,79999"
09/01/2011 3.00,"0,929592","17,658841","20,79999"
09/01/2011 4.00,"1,196009","19,060543","20,79999"
09/01/2011 5.00,"1,054643","24,775065","20,79999"
09/01/2011 6.00,"1,026114","21,893796","20,79999"
09/01/2011 7.00,"1,10532","20,981388","20,79999"
09/01/2011 8.00,"0,96049","28,267639","20,79999"
09/01/2011 9.00,"1,104409","20,980088","20,79999"
09/01/2011 10.00,"1,015086","15,544605","20,79999"
09/01/2011 11.00,"1,235476","18,065075","20,79999"
09/01/2011 12.00,"1,085542","13,965102","20,79999"
09/01/2011 13.00,"1,166479","11,936522","20,79999"
09/01/2011 14.00,"1,083718","9,1487","20,79999"
09/01/2011 15.00,"1,040425","7,52636","20,79999"
09/01/2011 16.00,"1,287246","7,182424","20,79999"
09/01/2011 17.00,"1,090189","8,042914","20,79999"
09/01/2011 18.00,"0,994578","7,268084","20,79999"
09/01/2011 19.00,"0,83635","12,263587","20,79999"
09/01/2011 20.00,"0,9995","12,606227","20,79999"
09/01/2011 21.00,"0,883837","10,353122","20,79999"
09/01/2011 22.00,"1,312858","14,42195","20,79999"
09/01/2011 23.00,"0,984826","6,778788","20,79999"
10/01/2011 0.00,"1,0695","7,15517","20,79999"
10/01/2011 1.00,,"6,39202","31,29999"
10/01/2011 2.00,"0,974387",,"31,29999"
10/01/2011 3.00,"0,980309","30,933465","31,29999"
10/01/2011 4.00,"1,221696","25,614796","31,29999"
10/01/2011 5.00,"1,085408","25,754964","31,29999"
10/01/2011 6.00,"0,919878","26,115778","31,29999"
10/01/2011 7.00,"0,906334","33,485086","31,29999"
10/01/2011 8.00,"1,150363","40,515663","31,29999"
10/01/2011 9.00,"1,147023","38,771323","31,29999"
10/01/2011 10.00,"1,141861","38,619454","31,29999"
10/01/2011 11.00,"1,300164","63,150548","31,29999"
10/01/2011 12.00,"1,164697","23,547274","31,29999"
10/01/2011 13.00,"1,156801","12,639976","31,29999"
10/01/2011 14.00,"1,052308","12,57508","31,29999"
10/01/2011 15.00,"0,887112","10,215548","31,29999"
10/01/2011 16.00,"0,968587","11,092911","31,29999"
10/01/2011 17.00,"1,022731","19,723752","31,29999"
10/01/2011 18.00,"0,732361","17,091672","31,29999"
10/01/2011 19.00,"0,682165","14,769775","31,29999"
10/01/2011 20.00,"0,929991","17,791229","31,29999"
10/01/2011 21.00,"0,875572","18,64782","31,29999"
10/01/2011 22.00,"1,007577","13,09423","31,29999"
10/01/2011 23.00,"0,915414","11,665268","31,29999"
11/01/2011 0.00,"0,832147","9,565317","31,29999"
11/01/2011 1.00,"1,008823","6,329722","33,099991"
11/01/2011 2.00,"0,751068","6,389426","33,099991"
11/01/2011 3.00,"0,634914","6,75283","33,099991"
11/01/2011 4.00,"1,026982","12,476442","33,099991"
11/01/2011 5.00,"0,873386","10,429696","33,099991"
11/01/2011 6.00,"0,978699","13,885925","33,099991"
11/01/2011 7.00,"1,023885","21,337002","33,099991"
11/01/2011 8.00,"0,916568","28,056094","33,099991"
11/01/2011 9.00,"1,229349","38,978986","33,099991"
11/01/2011 10.00,"1,11538","14,952776","33,099991"
11/01/2011 11.00,"0,751219","9,674339","33,099991"
11/01/2011 12.00,"0,811285","9,867721","33,099991"
11/01/2011 13.00,"0,767131","8,347914","33,099991"
11/01/2011 14.00,"0,71894","8,032532","33,099991"
11/01/2011 15.00,"0,900565","7,169445","33,099991"
11/01/2011 16.00,"0,88778","11,966376","33,099991"
11/01/2011 17.00,"0,710862","26,542766","33,099991"
11/01/2011 18.00,"1,113772","35,06849","33,099991"
11/01/2011 19.00,"1,006819","42,052336","33,099991"
11/01/2011 20.00,"1,259715","66,706716","33,099991"
11/01/2011 21.00,"1,602772","62,724843","33,099991"
11/01/2011 22.00,"1,40077","62,728738","33,099991"
11/01/2011 23.00,"1,190751","56,744257","33,099991"
12/01/2011 0.00,"1,097676","43,071182","33,099991"
12/01/2011 1.00,,"34,789451","16,29999"
12/01/2011 2.00,"0,706263",,"16,29999"
12/01/2011 3.00,"0,932893","24,926916","16,29999"
12/01/2011 4.00,"0,773508","22,855512","16,29999"
12/01/2011 5.00,"0,932773","17,732823","16,29999"
12/01/2011 6.00,"0,847504","20,483006","16,29999"
12/01/2011 7.00,"1,003996","33,391646","16,29999"
12/01/2011 8.00,"1,480645","58,363991","16,29999"
12/01/2011 9.00,"1,491707","69,486761","16,29999"
12/01/2011 10.00,"1,138666","52,363922","16,29999"
12/01/2011 11.00,"1,284156","14,737338","16,29999"
12/01/2011 12.00,"1,432208","11,085118","16,29999"
12/01/2011 13.00,"0,945281","17,603041","16,29999"
12/01/2011 14.00,"0,917883","13,857373","16,29999"
12/01/2011 15.00,"1,076605","13,596505","16,29999"
12/01/2011 16.00,"1,047911","14,440116","16,29999"
12/01/2011 17.00,"0,879875","12,760676","16,29999"
12/01/2011 18.00,"0,987659","35,056805","16,29999"
12/01/2011 19.00,"1,115427","16,181861","16,29999"
12/01/2011 20.00,"1,277555","8,764531","16,29999"
12/01/2011 21.00,"1,185474","12,059825","16,29999"
12/01/2011 22.00,"0,941875","14,290865","16,29999"
12/01/2011 23.00,"0,851392","12,190908","16,29999"
13/01/2011 0.00,"0,987991","12,263587","16,29999"
13/01/2011 1.00,"1,016143","11,051379","26,1"
13/01/2011 2.00,"1,058008","12,176627","26,1"
13/01/2011 3.00,"1,084261","12,620508","26,1"
13/01/2011 4.00,"0,989227","14,258417","26,1"
13/01/2011 5.00,"1,144121","27,305921","26,1"
13/01/2011 6.00,"1,096318","15,996266","26,1"
13/01/2011 7.00,"1,082995","23,173497","26,1"
13/01/2011 8.00,"1,056682","23,378558","26,1"
13/01/2011 9.00,"1,097523","23,087838","26,1"
13/01/2011 10.00,"1,373132","26,228681","26,1"
13/01/2011 11.00,"1,315141","24,46618","26,1"
13/01/2011 12.00,"1,564467","21,309756","26,1"
13/01/2011 13.00,"1,368128","16,390822","26,1"
13/01/2011 14.00,"1,253442","13,153929","26,1"
13/01/2011 15.00,"1,397517","15,599117","26,1"
13/01/2011 16.00,"1,347422","16,184465","26,1"
13/01/2011 17.00,"1,036609","20,592029","26,1"
13/01/2011 18.00,"1,147527","23,671878","26,1"
13/01/2011 19.00,"1,42606","73,52963","26,1"
13/01/2011 20.00,"1,011471","59,393219","26,1"
13/01/2011 21.00,"1,469674","79,473887","26,1"
13/01/2011 22.00,"1,175377","52,970047","26,1"
13/01/2011 23.00,"1,143849","39,883591","26,1"
14/01/2011 0.00,"0,862514","48,165325","26,1"
14/01/2011 1.00,,"41,243771","45,599991"
14/01/2011 2.00,"1,130057",,"45,599991"
14/01/2011 3.00,"1,332678","41,258052","45,599991"
14/01/2011 4.00,"1,297865","25,626478","45,599991"
14/01/2011 5.00,"1,361536","20,968406","45,599991"
14/01/2011 6.00,"1,389423","27,1969","45,599991"
14/01/2011 7.00,"1,449025","34,755703","45,599991"
14/01/2011 8.00,"2,155675","58,720923","45,599991"
14/01/2011 9.00,"1,681537","50,763655","45,599991"
14/01/2011 10.00,"1,366397","23,58362","45,599991"
14/01/2011 11.00,"1,424358","28,586922","45,599991"
14/01/2011 12.00,"1,381586","15,76914","45,599991"
14/01/2011 13.00,"1,415062","16,712699","45,599991"
14/01/2011 14.00,"1,458563","17,025482","45,599991"
14/01/2011 15.00,"1,357709","16,533593","45,599991"
14/01/2011 16.00,"1,409472","17,684801","45,599991"
14/01/2011 17.00,"1,179452","54,861052","45,599991"
14/01/2011 18.00,"2,322025","80,718535","45,599991"
14/01/2011 19.00,"2,351065","83,782823","45,599991"
14/01/2011 20.00,"2,140304","76,460224","45,599991"
14/01/2011 21.00,"2,951514","88,159255","45,599991"
14/01/2011 22.00,"2,083922","72,892379","45,599991"
14/01/2011 23.00,"1,750373","56,389925","45,599991"
15/01/2011 0.00,"1,759183","54,628726","45,599991"
15/01/2011 1.00,"1,686154","49,958992","32,700001"
15/01/2011 2.00,"1,496415","31,991237","32,700001"
15/01/2011 3.00,"1,645205","26,814021","32,700001"
15/01/2011 4.00,"1,661609","25,307193","32,700001"
15/01/2011 5.00,"1,234922","19,248715","32,700001"
15/01/2011 6.00,"1,440215","24,95288","32,700001"
15/01/2011 7.00,"1,281886","27,059331","32,700001"
15/01/2011 8.00,"1,958765","43,568266","32,700001"
15/01/2011 9.00,"2,078758","49,992718","32,700001"
15/01/2011 10.00,"2,204158","38,624654","32,700001"
15/01/2011 11.00,"2,059195","21,913259","32,700001"
15/01/2011 12.00,"1,785612","25,340939","32,700001"
15/01/2011 13.00,"1,507168","22,75429","32,700001"
15/01/2011 14.00,"1,561849","12,774945","32,700001"
15/01/2011 15.00,"1,577645","10,497186","32,700001"
15/01/2011 16.00,"1,710639","12,833353","32,700001"
15/01/2011 17.00,"1,665133","11,277203","32,700001"
15/01/2011 18.00,"1,617379","10,202567","32,700001"
15/01/2011 19.00,"1,568288","10,915095","32,700001"
15/01/2011 20.00,"1,470046","10,721719","32,700001"
15/01/2011 21.00,"1,682326","12,698372","32,700001"
15/01/2011 22.00,"1,610453","14,419355","32,700001"
15/01/2011 23.00,"1,819939","12,959251","32,700001"
16/01/2011 0.00,"1,538701","13,204544","32,700001"
16/01/2011 1.00,,"21,782173","22,700001"
16/01/2011 2.00,"0,450195",,"22,700001"
16/01/2011 3.00,"0,492433","23,783501","22,700001"
16/01/2011 4.00,"0,461212","21,382431","22,700001"
16/01/2011 5.00,"0,451413","22,586856","22,700001"
16/01/2011 6.00,"0,536376","24,239054","22,700001"
16/01/2011 7.00,"0,514405","27,608323","22,700001"
16/01/2011 8.00,"0,406497","24,193625","22,700001"
16/01/2011 9.00,"0,392803","18,495974","22,700001"
16/01/2011 10.00,"0,414834","13,612078","22,700001"
16/01/2011 11.00,"0,415321","13,31097","22,700001"
16/01/2011 12.00,"0,432606","17,539436","22,700001"
16/01/2011 13.00,"0,489452","14,685421","22,700001"
16/01/2011 14.00,"0,44277","16,194841","22,700001"
16/01/2011 15.00,"0,470341","19,638095","22,700001"
16/01/2011 16.00,"0,588596","14,00404","22,700001"
16/01/2011 17.00,"0,503998","32,021087","22,700001"
16/01/2011 18.00,"0,477462","18,800967","22,700001"
16/01/2011 19.00,"0,455247","18,344119","22,700001"
16/01/2011 20.00,"0,386777","17,455081","22,700001"
16/01/2011 21.00,"0,529499","24,650459","22,700001"
16/01/2011 22.00,"0,50911","19,348655","22,700001"
16/01/2011 23.00,"0,53242","20,671185","22,700001"
17/01/2011 0.00,"0,494503","18,08844","22,700001"
17/01/2011 1.00,"0,45543","14,789245","43,299992"
17/01/2011 2.00,"0,487139","28,32605","43,299992"
17/01/2011 3.00,"0,530837","26,899678","43,299992"
17/01/2011 4.00,"0,428346","24,732236","43,299992"
17/01/2011 5.00,"0,492129","29,64338","43,299992"
17/01/2011 6.00,"0,522439","12,855416","43,299992"
17/01/2011 7.00,"0,529864","10,340143","43,299992"
17/01/2011 8.00,"0,319221","11,484862","43,299992"
17/01/2011 9.00,"0,520247","17,731519","43,299992"
17/01/2011 10.00,"0,381422","21,327919","43,299992"
17/01/2011 11.00,"0,268341","15,024165","43,299992"
17/01/2011 12.00,"0,531994","13,151334","43,299992"
17/01/2011 13.00,"0,390976","11,913166","43,299992"
17/01/2011 14.00,"0,364015","13,682162","43,299992"
17/01/2011 15.00,"0,372475","24,048256","43,299992"
17/01/2011 16.00,"0,445631","39,866728","43,299992"
17/01/2011 17.00,"0,476306","53,564469","43,299992"
17/01/2011 18.00,"0,433641","59,861756","43,299992"
17/01/2011 19.00,"0,631199","61,530799","43,299992"
17/01/2011 20.00,"0,590604","81,505059","43,299992"
17/01/2011 21.00,"0,897591","75,357045","43,299992"
17/01/2011 22.00,"1,183947","73,441369","43,299992"
17/01/2011 23.00,"0,777024","57,369826","43,299992"
18/01/2011 0.00,"0,603993","44,632505","43,299992"
18/01/2011 1.00,,"31,274813","44,5"
18/01/2011 2.00,"0,857597",,"44,5"
18/01/2011 3.00,"0,962922","26,776374","44,5"
18/01/2011 4.00,"1,127907","24,049557","44,5"
18/01/2011 5.00,"1,173386","21,181269","44,5"
18/01/2011 6.00,"1,058179","18,847696","44,5"
18/01/2011 7.00,"1,080141","25,264364","44,5"
18/01/2011 8.00,"1,13898","35,958828","44,5"
18/01/2011 9.00,"1,354019","35,16713","44,5"
18/01/2011 10.00,"1,61344","33,61487","44,5"
18/01/2011 11.00,"2,314517","32,559697","44,5"
18/01/2011 12.00,,,"44,5"
18/01/2011 13.00,"1,568175",,"44,5"
18/01/2011 14.00,"1,27444","13,20844","44,5"
18/01/2011 15.00,"0,986325","12,726935","44,5"
18/01/2011 16.00,"1,077126","15,95863","44,5"
18/01/2011 17.00,"1,271883","37,27618","44,5"
18/01/2011 18.00,"1,068174","36,995843","44,5"
18/01/2011 19.00,"0,924269","20,305191","44,5"
18/01/2011 20.00,"0,91081","26,886715","44,5"
18/01/2011 21.00,"1,125906","33,216429","44,5"
18/01/2011 22.00,"1,09235","26,527201","44,5"
18/01/2011 23.00,"1,225538","21,749725","44,5"
19/01/2011 0.00,"1,1918","23,070955","44,5"
19/01/2011 1.00,"1,040465","21,017737","45,400002"
19/01/2011 2.00,"1,008858","18,547883","45,400002"
19/01/2011 3.00,"1,204832","14,776264","45,400002"
19/01/2011 4.00,"1,072194","13,577035","45,400002"
19/01/2011 5.00,"1,138086","9,395296","45,400002"
19/01/2011 6.00,"1,077187","12,305119","45,400002"
19/01/2011 7.00,"1,194297","23,662797","45,400002"
19/01/2011 8.00,"1,114884","33,094424","45,400002"
19/01/2011 9.00,"1,227974","32,698584","45,400002"
19/01/2011 10.00,"1,444166","33,508447","45,400002"
19/01/2011 11.00,"1,24259","24,991808","45,400002"
19/01/2011 12.00,"1,201544","26,415578","45,400002"
19/01/2011 13.00,"1,120243","21,33182","45,400002"
19/01/2011 14.00,"1,257388","15,087758","45,400002"
19/01/2011 15.00,"1,108063","12,196097","45,400002"
19/01/2011 16.00,"1,105566","15,969015","45,400002"
19/01/2011 17.00,"1,060744","30,106733","45,400002"
19/01/2011 18.00,"0,986203","37,440992","45,400002"
19/01/2011 19.00,"1,312014","56,854581","45,400002"
19/01/2011 20.00,"1,069027","27,668035","45,400002"
19/01/2011 21.00,"1,402328","23,04241","45,400002"
19/01/2011 22.00,"1,326266","32,525968","45,400002"
19/01/2011 23.00,"0,982854","28,843896","45,400002"
20/01/2011 0.00,"1,112935","31,682334","45,400002"
20/01/2011 1.00,,"24,584285",27
20/01/2011 2.00,"0,820093",,27
20/01/2011 3.00,"0,876214","8,477701",27
20/01/2011 4.00,"0,802351","6,743744",27
20/01/2011 5.00,"0,742608","11,972867",27
20/01/2011 6.00,"0,914231","20,185786",27
20/01/2011 7.00,"0,867523","29,678427",27
20/01/2011 8.00,"1,151387","49,338587",27
20/01/2011 9.00,"1,215475","48,883051",27
20/01/2011 10.00,"1,028284","24,598568",27
20/01/2011 11.00,"0,769402","11,138337",27
20/01/2011 12.00,"0,766506","8,645127",27
20/01/2011 13.00,"0,893592","8,737276",27
20/01/2011 14.00,"0,702418","9,44202",27
20/01/2011 15.00,"0,666573","8,209042",27
20/01/2011 16.00,"0,782799","11,017629",27
20/01/2011 17.00,"0,803437","16,624438",27
20/01/2011 18.00,"0,626746","18,917783",27
20/01/2011 19.00,"0,631815","17,79901",27
20/01/2011 20.00,"0,640505","21,457705",27
20/01/2011 21.00,"0,64847","14,833382",27
20/01/2011 22.00,"0,606108","12,685393",27
20/01/2011 23.00,"0,745868","14,50371",27
21/01/2011 0.00,"0,714729","16,780189",27
21/01/2011 1.00,"0,697712","8,650318","13,3"
21/01/2011 2.00,"0,606832","5,505573","13,3"
21/01/2011 3.00,"0,669833","7,011105","13,3"
21/01/2011 4.00,"0,602849","4,944893","13,3"
21/01/2011 5.00,"0,647746","4,289467","13,3"
21/01/2011 6.00,"0,812488","3,984466","13,3"
21/01/2011 7.00,"0,653901","5,711935","13,3"
21/01/2011 8.00,"0,794747","34,849143","13,3"
21/01/2011 9.00,"1,091284","47,791527","13,3"
21/01/2011 10.00,"0,916041","31,093116","13,3"
21/01/2011 11.00,"0,671643","15,185102","13,3"
21/01/2011 12.00,"0,581849","17,061826","13,3"
21/01/2011 13.00,"0,591624","11,082523","13,3"
21/01/2011 14.00,"0,50328","8,407616","13,3"
21/01/2011 15.00,"0,600677","9,207106","13,3"
21/01/2011 16.00,"0,665125","9,221381","13,3"
21/01/2011 17.00,"0,67635","22,050827","13,3"
21/01/2011 18.00,"0,767954","36,635027","13,3"
21/01/2011 19.00,"0,598142","18,85807","13,3"
21/01/2011 20.00,"0,849058","21,953487","13,3"
21/01/2011 21.00,"0,902282","20,978788","13,3"
21/01/2011 22.00,"0,808506","16,808742","13,3"
21/01/2011 23.00,"0,974697","12,53484","13,3"
22/01/2011 0.00,"0,871144","16,51152","13,3"
22/01/2011 1.00,,"10,491998","8,7"
22/01/2011 2.00,"0,902776",,"8,7"
22/01/2011 3.00,"0,953611","10,050722","8,7"
22/01/2011 4.00,"0,807583","10,732094","8,7"
22/01/2011 5.00,"0,961325","8,138955","8,7"
22/01/2011 6.00,"0,698318","12,316805","8,7"
22/01/2011 7.00,"0,684818","20,614094","8,7"
22/01/2011 8.00,"0,951321","24,815311","8,7"
22/01/2011 9.00,"0,928269","18,690654","8,7"
22/01/2011 10.00,"0,996281","13,490077","8,7"
