,ARPA Puglia,,,
,Molfetta ASM,,,
Parm,SO2,NO2,,O3
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
,,,,,,,,
15/01/2008 6.00,"13,45405006","15,24916543",,"5,69716535"
15/01/2008 7.00,"14,93157959","16,51067689",,"2,72070344"
15/01/2008 8.00,"14,24608994","25,36419402",,"0,15800575"
15/01/2008 9.00,"15,18019962","28,69034751",,"0,53362868"
15/01/2008 10.00,"14,20170021","33,65082666",,"1,74222461"
15/01/2008 11.00,"15,09319019","38,59087815",,"2,07169542"
15/01/2008 12.00,"15,62950039","26,48397213",,"8,58933385"
15/01/2008 13.00,"16,79446983","24,1307847",,"9,21750935"
15/01/2008 14.00,"19,23454094","24,20739783",,"11,87506778"
15/01/2008 15.00,"19,10844994","23,4923733",,"18,36578954"
15/01/2008 16.00,"18,34482002","20,23261911",,"22,86813024"
15/01/2008 17.00,"20,41727066","25,33483161",,"12,49683343"
15/01/2008 18.00,"21,53075027","21,48135858",,"12,88688492"
15/01/2008 19.00,"17,59007072","29,96077491",,"0,82912747"
15/01/2008 20.00,"17,3645401","22,22830368",,"1,96016161"
15/01/2008 21.00,"14,73978996","16,10719862",,"17,18635874"
15/01/2008 22.00,"17,95413017","7,7912111",,"33,20737974"
15/01/2008 23.00,"17,52436066","6,66249448",,"35,65212984"
16/01/2008 0.00,"17,16386032","4,78683275",,"43,13382444"
16/01/2008 1.00,,"3,7768599",,"46,10676456"
16/01/2008 2.00,"14,69005966",,,"46,13625342"
16/01/2008 3.00,"14,57995987","10,67301032",,
16/01/2008 4.00,"12,57143974","8,66456316",,"35,2309473"
16/01/2008 5.00,"14,27451038","2,4336378",,"56,54489886"
16/01/2008 6.00,"15,90120983","3,87900761",,"52,0426386"
16/01/2008 7.00,"14,91382027","4,45357975",,"53,61816384"
16/01/2008 8.00,"16,95606995","6,51693705",,"49,97355264"
16/01/2008 9.00,"14,56219959","21,39199227",,"18,12536017"
16/01/2008 10.00,"16,45173073","20,61822411",,"21,69340236"
16/01/2008 11.00,"17,79252052","18,50891021",,"22,68419274"
16/01/2008 12.00,"28,26309967","18,266312",,"25,552107"
16/01/2008 13.00,"24,22120094","6,39308449",,"55,22064696"
16/01/2008 14.00,"20,87722015","6,21815901",,"61,61763024"
16/01/2008 15.00,"31,83794975","8,34535558",,"58,16916018"
16/01/2008 16.00,"35,8176918","8,43345786",,"55,60139268"
16/01/2008 17.00,"27,38759041","4,40761563",,"68,03645058"
16/01/2008 18.00,"22,87331009","11,01392652",,"49,1941089"
16/01/2008 19.00,"18,28622055","16,64985396",,"29,74670604"
16/01/2008 20.00,"15,85326004","13,11941258",,"32,42473794"
16/01/2008 21.00,"15,35068989","9,64644516",,"47,71472166"
16/01/2008 22.00,"19,50624084","10,57469233",,"39,78963468"
16/01/2008 23.00,"19,72822952","8,18702993",,"37,64746422"
17/01/2008 0.00,"17,77120972","5,44312306",,"48,9877065"
17/01/2008 1.00,"20,48298073","5,08816519",,"54,60528528"
17/01/2008 2.00,"19,84011078","2,24721941",,"63,07139376"
17/01/2008 3.00,"22,66197968","7,6022402",,"49,52229264"
17/01/2008 4.00,"23,90332031","7,20514793",,"50,05175796"
17/01/2008 5.00,"25,07538986","7,31750758",,"49,05437526"
17/01/2008 6.00,"21,25193024","6,35988484",,"45,93663954"
17/01/2008 7.00,"22,83601952","11,97154926",,"24,42142602"
17/01/2008 8.00,"24,99015999","15,86587197",,"18,24876605"
17/01/2008 9.00,"22,25175095","7,90101824",,"40,06780704"
17/01/2008 10.00,"21,54140091","10,63215123",,"35,96167458"
17/01/2008 11.00,"24,97240067","17,56660821",,"15,8332007"
17/01/2008 12.00,"28,69997025","18,79747818",,"15,42972913"
17/01/2008 13.00,"28,5862999","20,27986983",,"14,08494686"
17/01/2008 14.00,"32,99227142","20,14197372",,"18,14237071"
17/01/2008 15.00,"29,27890968","10,41125976",,"45,08158032"
17/01/2008 16.00,"24,63319969","11,13905252",,"41,10362532"
17/01/2008 17.00,"25,8425808","12,09157211",,"35,72578332"
17/01/2008 18.00,"20,82925987","9,64644516",,"40,27933026"
17/01/2008 19.00,"22,57139969","11,33440754",,"36,56675538"
17/01/2008 20.00,"20,10293961","11,5208278",,"33,813108"
17/01/2008 21.00,"17,13010979","17,23208553",,"18,7538594"
17/01/2008 22.00,"19,50090981","16,10464799",,"14,14579437"
17/01/2008 23.00,"22,97097969","7,6162875",,"31,92476148"
18/01/2008 0.00,"17,2597599","11,80683385",,"19,47560661"
18/01/2008 1.00,,"10,01928005",,"14,25288033"
18/01/2008 2.00,"17,79961967",,,"15,35281285"
18/01/2008 3.00,"20,73693085","8,17936862",,
18/01/2008 4.00,"17,51193047","8,89822286",,"4,98487106"
18/01/2008 5.00,"17,24020958","6,90254017",,"7,28605573"
18/01/2008 6.00,"17,05196953","6,18623844",,"14,04726469"
18/01/2008 7.00,"18,5774498","8,44622609",,"11,78966585"
18/01/2008 8.00,"17,57587051","15,71904111",,"5,7211096"
18/01/2008 9.00,"17,21891022","23,76816552",,"2,82523291"
18/01/2008 10.00,"18,41407967","29,32236351",,"0,88127743"
18/01/2008 11.00,"17,21891022","18,02754726",,"3,24412187"
18/01/2008 12.00,"19,47961044","14,52265363",,"10,40937923"
18/01/2008 13.00,"18,17432976","11,17864004",,"25,4921679"
18/01/2008 14.00,"19,36594963","10,83133973",,"27,15931854"
18/01/2008 15.00,"21,74028969","11,05223308",,"24,04756692"
18/01/2008 16.00,"16,84597969","9,56089728",,"45,75909816"
18/01/2008 17.00,"8,78527069","10,61555141",,"40,89657546"
18/01/2008 18.00,"3,23209906","20,88636066",,"19,31816003"
18/01/2008 19.00,"2,77214599","24,67343439",,"10,19968067"
18/01/2008 20.00,"1,00869906","27,19389915",,"5,08675183"
18/01/2008 21.00,"1,42425501","21,76608555",,"13,05803999"
18/01/2008 22.00,"2,07955408","21,66522633",,"8,80372552"
18/01/2008 23.00,"3,40613508","12,00474139",,"21,1184775"
19/01/2008 0.00,"2,69755912","6,85018818",,"33,76231182"
