Stat,COSTA Morena Diga,,  ,
Parm,PM10,,,
Unit,ug/m3,,,
Field,Aver,,,
25/06/2014 23.00,,,,
26/06/2014 0.00,"54,9",,,
26/06/2014 1.00,,,,
26/06/2014 2.00,"121,2",,,
26/06/2014 3.00,,,,
26/06/2014 4.00,"123,5",,,
26/06/2014 5.00,,,,
26/06/2014 6.00,"109,5",,,
26/06/2014 7.00,,,,
26/06/2014 8.00,"55,7",,,
26/06/2014 9.00,,,,
26/06/2014 10.00,"28,7",,,
26/06/2014 11.00,,,,
26/06/2014 12.00,"17,9",,,
26/06/2014 13.00,,,,
26/06/2014 14.00,"20,8",,,
26/06/2014 15.00,,,,
26/06/2014 16.00,"45,7",,,
26/06/2014 17.00,,,,
26/06/2014 18.00,"59,6",,,
26/06/2014 19.00,,,,
26/06/2014 20.00,"70,6",,,
26/06/2014 21.00,,,,
26/06/2014 22.00,"98,2",,,
26/06/2014 23.00,,,,
27/06/2014 0.00,"82,6",,,
27/06/2014 1.00,,,,
27/06/2014 2.00,"119,7",,,
27/06/2014 3.00,,,,
27/06/2014 4.00,"180,9",,,
27/06/2014 5.00,,,,
27/06/2014 6.00,"99,8",,,
27/06/2014 7.00,,,,
27/06/2014 8.00,"86,3",,,
27/06/2014 9.00,,,,
27/06/2014 10.00,"42,6",,,
27/06/2014 11.00,,,,
27/06/2014 12.00,"20,8",,,
27/06/2014 13.00,,,,
27/06/2014 14.00,"10,7",,,
27/06/2014 15.00,,,,
27/06/2014 16.00,"10,8",,,
27/06/2014 17.00,,,,
27/06/2014 18.00,"17,6",,,
27/06/2014 19.00,,,,
27/06/2014 20.00,"14,0",,,
27/06/2014 21.00,,,,
27/06/2014 22.00,"28,7",,,
27/06/2014 23.00,,,,
28/06/2014 0.00,"53,3",,,
28/06/2014 1.00,,,,
28/06/2014 2.00,"43,4",,,
28/06/2014 3.00,,,,
28/06/2014 4.00,"31,1",,,
28/06/2014 5.00,,,,
28/06/2014 6.00,"34,1",,,
28/06/2014 7.00,,,,
28/06/2014 8.00,"18,9",,,
28/06/2014 9.00,,,,
28/06/2014 10.00,"15,1",,,
28/06/2014 11.00,,,,
28/06/2014 12.00,"14,2",,,
28/06/2014 13.00,,,,
28/06/2014 14.00,"14,5",,,
28/06/2014 15.00,,,,
28/06/2014 16.00,"14,7",,,
28/06/2014 17.00,,,,
28/06/2014 18.00,"9,9",,,
28/06/2014 19.00,,,,
28/06/2014 20.00,"8,9",,,
28/06/2014 21.00,,,,
28/06/2014 22.00,"21,1",,,
28/06/2014 23.00,,,,
29/06/2014 0.00,"66,8",,,
29/06/2014 1.00,,,,
29/06/2014 2.00,"37,0",,,
29/06/2014 3.00,,,,
29/06/2014 4.00,"25,6",,,
29/06/2014 5.00,,,,
29/06/2014 6.00,"18,6",,,
29/06/2014 7.00,,,,
29/06/2014 8.00,"13,1",,,
29/06/2014 9.00,,,,
29/06/2014 10.00,"9,2",,,
29/06/2014 11.00,,,,
29/06/2014 12.00,"8,1",,,
29/06/2014 13.00,,,,
29/06/2014 14.00,"5,4",,,
29/06/2014 15.00,,,,
29/06/2014 16.00,"9,4",,,
29/06/2014 17.00,,,,
29/06/2014 18.00,"9,1",,,
29/06/2014 19.00,,,,
29/06/2014 20.00,"6,2",,,
29/06/2014 21.00,,,,
29/06/2014 22.00,"13,2",,,
29/06/2014 23.00,,,,
30/06/2014 0.00,"32,1",,,
30/06/2014 1.00,,,,
30/06/2014 2.00,"38,0",,,
30/06/2014 3.00,,,,
30/06/2014 4.00,"48,5",,,
30/06/2014 5.00,,,,
30/06/2014 6.00,"47,0",,,
30/06/2014 7.00,,,,
30/06/2014 8.00,"42,4",,,
30/06/2014 9.00,,,,
30/06/2014 10.00,"49,5",,,
30/06/2014 11.00,,,,
30/06/2014 12.00,"72,1",,,
30/06/2014 13.00,,,,
30/06/2014 14.00,"40,5",,,
30/06/2014 15.00,,,,
30/06/2014 16.00,"33,0",,,
30/06/2014 17.00,,,,
30/06/2014 18.00,"30,8",,,
30/06/2014 19.00,,,,
30/06/2014 20.00,"41,0",,,
30/06/2014 21.00,,,,
30/06/2014 22.00,"44,2",,,
30/06/2014 23.00,,,,
01/07/2014 0.00,"71,9",,,
01/07/2014 1.00,,,,
01/07/2014 2.00,,,,
01/07/2014 3.00,,,,
01/07/2014 4.00,,,,
01/07/2014 5.00,,,,
01/07/2014 6.00,,,,
01/07/2014 7.00,,,,
01/07/2014 8.00,,,,
01/07/2014 9.00,,,,
01/07/2014 10.00,,,,
01/07/2014 11.00,,,,
01/07/2014 12.00,,,,
01/07/2014 13.00,,,,
01/07/2014 14.00,,,,
01/07/2014 15.00,,,,
01/07/2014 16.00,,,,
01/07/2014 17.00,,,,
01/07/2014 18.00,,,,
01/07/2014 19.00,,,,
01/07/2014 20.00,,,,
01/07/2014 21.00,,,,
01/07/2014 22.00,,,,
01/07/2014 23.00,,,,
02/07/2014 0.00,,,,
02/07/2014 1.00,,,,
02/07/2014 2.00,,,,
02/07/2014 3.00,,,,
02/07/2014 4.00,,,,
02/07/2014 5.00,,,,
02/07/2014 6.00,,,,
02/07/2014 7.00,,,,
02/07/2014 8.00,,,,
02/07/2014 9.00,,,,
02/07/2014 10.00,"25,3",,,
02/07/2014 11.00,,,,
02/07/2014 12.00,"7,3",,,
02/07/2014 13.00,,,,
02/07/2014 14.00,"6,0",,,
02/07/2014 15.00,,,,
02/07/2014 16.00,"8,2",,,
02/07/2014 17.00,,,,
02/07/2014 18.00,"10,5",,,
02/07/2014 19.00,,,,
02/07/2014 20.00,"9,6",,,
02/07/2014 21.00,,,,
02/07/2014 22.00,"10,2",,,
02/07/2014 23.00,,,,
03/07/2014 0.00,"12,3",,,
03/07/2014 1.00,,,,
03/07/2014 2.00,"13,3",,,
03/07/2014 3.00,,,,
03/07/2014 4.00,"18,9",,,
03/07/2014 5.00,,,,
03/07/2014 6.00,"16,2",,,
03/07/2014 7.00,,,,
03/07/2014 8.00,"13,2",,,
03/07/2014 9.00,,,,
03/07/2014 10.00,"24,9",,,
03/07/2014 11.00,,,,
03/07/2014 12.00,"37,3",,,
03/07/2014 13.00,,,,
03/07/2014 14.00,"29,6",,,
03/07/2014 15.00,,,,
03/07/2014 16.00,"18,2",,,
03/07/2014 17.00,,,,
03/07/2014 18.00,"17,1",,,
03/07/2014 19.00,,,,
03/07/2014 20.00,"25,7",,,
03/07/2014 21.00,,,,
03/07/2014 22.00,"25,8",,,
03/07/2014 23.00,,,,
04/07/2014 0.00,"26,8",,,
04/07/2014 1.00,,,,
04/07/2014 2.00,"18,3",,,
04/07/2014 3.00,,,,
04/07/2014 4.00,"16,4",,,
04/07/2014 5.00,,,,
04/07/2014 6.00,"22,3",,,
04/07/2014 7.00,,,,
04/07/2014 8.00,"36,1",,,
04/07/2014 9.00,,,,
04/07/2014 10.00,"27,2",,,
04/07/2014 11.00,,,,
04/07/2014 12.00,"17,3",,,
04/07/2014 13.00,,,,
04/07/2014 14.00,"10,2",,,
04/07/2014 15.00,,,,
04/07/2014 16.00,"8,6",,,
04/07/2014 17.00,,,,
04/07/2014 18.00,"7,1",,,
04/07/2014 19.00,,,,
04/07/2014 20.00,"7,3",,,
04/07/2014 21.00,,,,
04/07/2014 22.00,"9,7",,,
04/07/2014 23.00,,,,
05/07/2014 0.00,"14,1",,,
05/07/2014 1.00,,,,
05/07/2014 2.00,"14,2",,,
05/07/2014 3.00,,,,
05/07/2014 4.00,"13,0",,,
05/07/2014 5.00,,,,
05/07/2014 6.00,"12,7",,,
05/07/2014 7.00,,,,
05/07/2014 8.00,"13,1",,,
05/07/2014 9.00,,,,
05/07/2014 10.00,"14,2",,,
05/07/2014 11.00,,,,
05/07/2014 12.00,"13,2",,,
05/07/2014 13.00,,,,
05/07/2014 14.00,"10,5",,,
05/07/2014 15.00,,,,
05/07/2014 16.00,"11,9",,,
05/07/2014 17.00,,,,
05/07/2014 18.00,"12,4",,,
05/07/2014 19.00,,,,
05/07/2014 20.00,"15,2",,,
05/07/2014 21.00,,,,
05/07/2014 22.00,"25,1",,,
05/07/2014 23.00,,,,
06/07/2014 0.00,"40,1",,,
06/07/2014 1.00,,,,
06/07/2014 2.00,"30,6",,,
06/07/2014 3.00,,,,
06/07/2014 4.00,"28,8",,,
06/07/2014 5.00,,,,
06/07/2014 6.00,"47,9",,,
06/07/2014 7.00,,,,
06/07/2014 8.00,"40,4",,,
06/07/2014 9.00,,,,
06/07/2014 10.00,"36,2",,,
06/07/2014 11.00,,,,
06/07/2014 12.00,"31,7",,,
06/07/2014 13.00,,,,
06/07/2014 14.00,"23,0",,,
06/07/2014 15.00,,,,
06/07/2014 16.00,"22,5",,,
06/07/2014 17.00,,,,
06/07/2014 18.00,"36,4",,,
06/07/2014 19.00,,,,
06/07/2014 20.00,"32,3",,,
06/07/2014 21.00,,,,
06/07/2014 22.00,"46,5",,,
06/07/2014 23.00,,,,
07/07/2014 0.00,"58,2",,,
07/07/2014 1.00,,,,
07/07/2014 2.00,"51,0",,,
07/07/2014 3.00,,,,
07/07/2014 4.00,"36,1",,,
07/07/2014 5.00,,,,
07/07/2014 6.00,"26,5",,,
07/07/2014 7.00,,,,
07/07/2014 8.00,"21,6",,,
07/07/2014 9.00,,,,
07/07/2014 10.00,"18,7",,,
07/07/2014 11.00,,,,
07/07/2014 12.00,"14,2",,,
07/07/2014 13.00,,,,
07/07/2014 14.00,"11,9",,,
07/07/2014 15.00,,,,
07/07/2014 16.00,"14,1",,,
07/07/2014 17.00,,,,
07/07/2014 18.00,"17,3",,,
07/07/2014 19.00,,,,
07/07/2014 20.00,"35,1",,,
07/07/2014 21.00,,,,
07/07/2014 22.00,"40,6",,,
07/07/2014 23.00,,,,
08/07/2014 0.00,"40,0",,,
08/07/2014 1.00,,,,
08/07/2014 2.00,"46,9",,,
08/07/2014 3.00,,,,
08/07/2014 4.00,"35,0",,,
08/07/2014 5.00,,,,
08/07/2014 6.00,"36,6",,,
08/07/2014 7.00,,,,
08/07/2014 8.00,"26,7",,,
08/07/2014 9.00,,,,
08/07/2014 10.00,"45,6",,,
08/07/2014 11.00,,,,
08/07/2014 12.00,"58,4",,,
08/07/2014 13.00,,,,
08/07/2014 14.00,"55,3",,,
08/07/2014 15.00,,,,
08/07/2014 16.00,"56,8",,,
08/07/2014 17.00,,,,
08/07/2014 18.00,"37,9",,,
08/07/2014 19.00,,,,
08/07/2014 20.00,"27,5",,,
08/07/2014 21.00,,,,
08/07/2014 22.00,"36,3",,,
08/07/2014 23.00,,,,
09/07/2014 0.00,"35,6",,,
09/07/2014 1.00,,,,
09/07/2014 2.00,"26,2",,,
09/07/2014 3.00,,,,
09/07/2014 4.00,"31,6",,,
09/07/2014 5.00,,,,
09/07/2014 6.00,"26,8",,,
09/07/2014 7.00,,,,
09/07/2014 8.00,"18,3",,,
09/07/2014 9.00,,,,
09/07/2014 10.00,"27,5",,,
09/07/2014 11.00,,,,
09/07/2014 12.00,"27,5",,,
09/07/2014 13.00,,,,
09/07/2014 14.00,"17,9",,,
09/07/2014 15.00,,,,
09/07/2014 16.00,"17,3",,,
09/07/2014 17.00,,,,
09/07/2014 18.00,"23,0",,,
09/07/2014 19.00,,,,
09/07/2014 20.00,"27,6",,,
09/07/2014 21.00,,,,
09/07/2014 22.00,"32,2",,,
09/07/2014 23.00,,,,
10/07/2014 0.00,"31,8",,,
10/07/2014 1.00,,,,
10/07/2014 2.00,"29,0",,,
10/07/2014 3.00,,,,
10/07/2014 4.00,"29,0",,,
10/07/2014 5.00,,,,
10/07/2014 6.00,"23,1",,,
10/07/2014 7.00,,,,
10/07/2014 8.00,"16,8",,,
10/07/2014 9.00,,,,
10/07/2014 10.00,"18,2",,,
10/07/2014 11.00,,,,
10/07/2014 12.00,"19,8",,,
10/07/2014 13.00,,,,
10/07/2014 14.00,"15,9",,,
10/07/2014 15.00,,,,
10/07/2014 16.00,"15,3",,,
10/07/2014 17.00,,,,
10/07/2014 18.00,"21,4",,,
10/07/2014 19.00,,,,
10/07/2014 20.00,"28,7",,,
10/07/2014 21.00,,,,
10/07/2014 22.00,"30,6",,,
10/07/2014 23.00,,,,
11/07/2014 0.00,"29,7",,,
11/07/2014 1.00,,,,
11/07/2014 2.00,"28,9",,,
11/07/2014 3.00,,,,
11/07/2014 4.00,"24,6",,,
11/07/2014 5.00,,,,
11/07/2014 6.00,"19,9",,,
11/07/2014 7.00,,,,
11/07/2014 8.00,"13,9",,,
11/07/2014 9.00,,,,
11/07/2014 10.00,"15,0",,,
11/07/2014 11.00,,,,
11/07/2014 12.00,"16,8",,,
11/07/2014 13.00,,,,
11/07/2014 14.00,"14,2",,,
11/07/2014 15.00,,,,
11/07/2014 16.00,"17,4",,,
11/07/2014 17.00,,,,
11/07/2014 18.00,"21,9",,,
11/07/2014 19.00,,,,
11/07/2014 20.00,"24,1",,,
11/07/2014 21.00,,,,
11/07/2014 22.00,"29,8",,,
11/07/2014 23.00,,,,
12/07/2014 0.00,"21,6",,,
12/07/2014 1.00,,,,
12/07/2014 2.00,"17,3",,,
12/07/2014 3.00,,,,
12/07/2014 4.00,"12,5",,,
12/07/2014 5.00,,,,
12/07/2014 6.00,"12,6",,,
12/07/2014 7.00,,,,
12/07/2014 8.00,"9,2",,,
12/07/2014 9.00,,,,
12/07/2014 10.00,"14,1",,,
12/07/2014 11.00,,,,
12/07/2014 12.00,"19,6",,,
12/07/2014 13.00,,,,
12/07/2014 14.00,"20,1",,,
12/07/2014 15.00,,,,
12/07/2014 16.00,"16,7",,,
12/07/2014 17.00,,,,
12/07/2014 18.00,"14,7",,,
12/07/2014 19.00,,,,
12/07/2014 20.00,"16,3",,,
12/07/2014 21.00,,,,
12/07/2014 22.00,"22,0",,,
12/07/2014 23.00,,,,
13/07/2014 0.00,"35,6",,,
13/07/2014 1.00,,,,
13/07/2014 2.00,"37,8",,,
13/07/2014 3.00,,,,
13/07/2014 4.00,"29,6",,,
13/07/2014 5.00,,,,
13/07/2014 6.00,"29,6",,,
13/07/2014 7.00,,,,
13/07/2014 8.00,"23,5",,,
13/07/2014 9.00,,,,
13/07/2014 10.00,"20,5",,,
13/07/2014 11.00,,,,
13/07/2014 12.00,"17,2",,,
13/07/2014 13.00,,,,
13/07/2014 14.00,"16,3",,,
13/07/2014 15.00,,,,
13/07/2014 16.00,"10,6",,,
13/07/2014 17.00,,,,
13/07/2014 18.00,"14,0",,,
13/07/2014 19.00,,,,
13/07/2014 20.00,"16,6",,,
13/07/2014 21.00,,,,
13/07/2014 22.00,"21,5",,,
13/07/2014 23.00,,,,
14/07/2014 0.00,"20,0",,,
14/07/2014 1.00,,,,
14/07/2014 2.00,"15,4",,,
14/07/2014 3.00,,,,
14/07/2014 4.00,"28,4",,,
14/07/2014 5.00,,,,
14/07/2014 6.00,"31,9",,,
14/07/2014 7.00,,,,
14/07/2014 8.00,"21,0",,,
14/07/2014 9.00,,,,
14/07/2014 10.00,"22,8",,,
14/07/2014 11.00,,,,
14/07/2014 12.00,"29,0",,,
14/07/2014 13.00,,,,
14/07/2014 14.00,"23,4",,,
14/07/2014 15.00,,,,
14/07/2014 16.00,"17,5",,,
14/07/2014 17.00,,,,
14/07/2014 18.00,"26,1",,,
14/07/2014 19.00,,,,
14/07/2014 20.00,"37,5",,,
14/07/2014 21.00,,,,
14/07/2014 22.00,"29,4",,,
14/07/2014 23.00,,,,
15/07/2014 0.00,"22,2",,,
15/07/2014 1.00,,,,
15/07/2014 2.00,"22,1",,,
15/07/2014 3.00,,,,
15/07/2014 4.00,"16,9",,,
15/07/2014 5.00,,,,
15/07/2014 6.00,"10,9",,,
15/07/2014 7.00,,,,
15/07/2014 8.00,"19,5",,,
15/07/2014 9.00,,,,
15/07/2014 10.00,"24,6",,,
15/07/2014 11.00,,,,
15/07/2014 12.00,"23,6",,,
15/07/2014 13.00,,,,
15/07/2014 14.00,"23,1",,,
15/07/2014 15.00,,,,
15/07/2014 16.00,"16,5",,,
15/07/2014 17.00,,,,
15/07/2014 18.00,"24,5",,,
15/07/2014 19.00,,,,
15/07/2014 20.00,"29,8",,,
15/07/2014 21.00,,,,
15/07/2014 22.00,"20,0",,,
15/07/2014 23.00,,,,
16/07/2014 0.00,"37,2",,,
16/07/2014 1.00,,,,
16/07/2014 2.00,"42,5",,,
16/07/2014 3.00,,,,
16/07/2014 4.00,"32,7",,,
16/07/2014 5.00,,,,
16/07/2014 6.00,"25,9",,,
16/07/2014 7.00,,,,
16/07/2014 8.00,"29,7",,,
16/07/2014 9.00,,,,
16/07/2014 10.00,"37,6",,,
16/07/2014 11.00,,,,
16/07/2014 12.00,"37,1",,,
16/07/2014 13.00,,,,
16/07/2014 14.00,"36,4",,,
16/07/2014 15.00,,,,
16/07/2014 16.00,"28,4",,,
16/07/2014 17.00,,,,
16/07/2014 18.00,"23,7",,,
16/07/2014 19.00,,,,
16/07/2014 20.00,"17,9",,,
16/07/2014 21.00,,,,
16/07/2014 22.00,"38,5",,,
16/07/2014 23.00,,,,
17/07/2014 0.00,"53,2",,,
17/07/2014 1.00,,,,
17/07/2014 2.00,"36,4",,,
17/07/2014 3.00,,,,
17/07/2014 4.00,"24,8",,,
17/07/2014 5.00,,,,
17/07/2014 6.00,"17,6",,,
17/07/2014 7.00,,,,
17/07/2014 8.00,"30,8",,,
17/07/2014 9.00,,,,
17/07/2014 10.00,"28,6",,,
17/07/2014 11.00,,,,
17/07/2014 12.00,"33,5",,,
17/07/2014 13.00,,,,
17/07/2014 14.00,"25,9",,,
17/07/2014 15.00,,,,
17/07/2014 16.00,"42,1",,,
17/07/2014 17.00,,,,
17/07/2014 18.00,"45,3",,,
17/07/2014 19.00,,,,
17/07/2014 20.00,"36,0",,,
17/07/2014 21.00,,,,
17/07/2014 22.00,"43,0",,,
17/07/2014 23.00,,,,
18/07/2014 0.00,"47,1",,,
18/07/2014 1.00,,,,
18/07/2014 2.00,"35,5",,,
18/07/2014 3.00,,,,
18/07/2014 4.00,"32,0",,,
18/07/2014 5.00,,,,
18/07/2014 6.00,"24,5",,,
18/07/2014 7.00,,,,
18/07/2014 8.00,"18,5",,,
18/07/2014 9.00,,,,
18/07/2014 10.00,"32,5",,,
18/07/2014 11.00,,,,
18/07/2014 12.00,"27,6",,,
18/07/2014 13.00,,,,
18/07/2014 14.00,"23,9",,,
18/07/2014 15.00,,,,
18/07/2014 16.00,"26,1",,,
18/07/2014 17.00,,,,
18/07/2014 18.00,"30,2",,,
18/07/2014 19.00,,,,
18/07/2014 20.00,"39,6",,,
18/07/2014 21.00,,,,
18/07/2014 22.00,"44,3",,,
18/07/2014 23.00,,,,
19/07/2014 0.00,"46,6",,,
19/07/2014 1.00,,,,
19/07/2014 2.00,"35,2",,,
19/07/2014 3.00,,,,
19/07/2014 4.00,"26,7",,,
19/07/2014 5.00,,,,
19/07/2014 6.00,"18,1",,,
19/07/2014 7.00,,,,
19/07/2014 8.00,"13,6",,,
19/07/2014 9.00,,,,
19/07/2014 10.00,"15,8",,,
19/07/2014 11.00,,,,
19/07/2014 12.00,"27,5",,,
19/07/2014 13.00,,,,
19/07/2014 14.00,"25,1",,,
19/07/2014 15.00,,,,
19/07/2014 16.00,"18,8",,,
19/07/2014 17.00,,,,
19/07/2014 18.00,"19,8",,,
19/07/2014 19.00,,,,
19/07/2014 20.00,"35,5",,,
19/07/2014 21.00,,,,
19/07/2014 22.00,"46,2",,,
19/07/2014 23.00,,,,
20/07/2014 0.00,"35,7",,,
20/07/2014 1.00,,,,
20/07/2014 2.00,"26,1",,,
20/07/2014 3.00,,,,
20/07/2014 4.00,"22,8",,,
20/07/2014 5.00,,,,
20/07/2014 6.00,"20,5",,,
20/07/2014 7.00,,,,
20/07/2014 8.00,"13,5",,,
20/07/2014 9.00,,,,
20/07/2014 10.00,"8,7",,,
20/07/2014 11.00,,,,
20/07/2014 12.00,"7,1",,,
20/07/2014 13.00,,,,
20/07/2014 14.00,"13,0",,,
20/07/2014 15.00,,,,
20/07/2014 16.00,"24,3",,,
20/07/2014 17.00,,,,
20/07/2014 18.00,"27,2",,,
20/07/2014 19.00,,,,
20/07/2014 20.00,"36,5",,,
20/07/2014 21.00,,,,
20/07/2014 22.00,"49,3",,,
20/07/2014 23.00,,,,
21/07/2014 0.00,"38,9",,,
21/07/2014 1.00,,,,
21/07/2014 2.00,"24,2",,,
21/07/2014 3.00,,,,
21/07/2014 4.00,"25,4",,,
21/07/2014 5.00,,,,
21/07/2014 6.00,"28,2",,,
21/07/2014 7.00,,,,
21/07/2014 8.00,"18,7",,,
21/07/2014 9.00,,,,
21/07/2014 10.00,"36,4",,,
21/07/2014 11.00,,,,
21/07/2014 12.00,"29,5",,,
21/07/2014 13.00,,,,
21/07/2014 14.00,"28,8",,,
21/07/2014 15.00,,,,
21/07/2014 16.00,"30,4",,,
21/07/2014 17.00,,,,
21/07/2014 18.00,"53,6",,,
21/07/2014 19.00,,,,
21/07/2014 20.00,"45,6",,,
21/07/2014 21.00,,,,
21/07/2014 22.00,"43,8",,,
21/07/2014 23.00,,,,
22/07/2014 0.00,"44,7",,,
22/07/2014 1.00,,,,
22/07/2014 2.00,"34,0",,,
22/07/2014 3.00,,,,
22/07/2014 4.00,"35,3",,,
22/07/2014 5.00,,,,
22/07/2014 6.00,"33,1",,,
22/07/2014 7.00,,,,
22/07/2014 8.00,"23,8",,,
22/07/2014 9.00,,,,
22/07/2014 10.00,"16,7",,,
22/07/2014 11.00,,,,
22/07/2014 12.00,"16,0",,,
22/07/2014 13.00,,,,
22/07/2014 14.00,"14,4",,,
22/07/2014 15.00,,,,
22/07/2014 16.00,"19,1",,,
22/07/2014 17.00,,,,
22/07/2014 18.00,"25,3",,,
22/07/2014 19.00,,,,
22/07/2014 20.00,"27,8",,,
22/07/2014 21.00,,,,
22/07/2014 22.00,"40,8",,,
22/07/2014 23.00,,,,
23/07/2014 0.00,"30,1",,,
23/07/2014 1.00,,,,
23/07/2014 2.00,"26,5",,,
23/07/2014 3.00,,,,
23/07/2014 4.00,"20,3",,,
23/07/2014 5.00,,,,
23/07/2014 6.00,"16,4",,,
23/07/2014 7.00,,,,
23/07/2014 8.00,"15,2",,,
23/07/2014 9.00,,,,
23/07/2014 10.00,"28,4",,,
23/07/2014 11.00,,,,
23/07/2014 12.00,"25,7",,,
23/07/2014 13.00,,,,
23/07/2014 14.00,"15,7",,,
23/07/2014 15.00,,,,
23/07/2014 16.00,"13,0",,,
23/07/2014 17.00,,,,
23/07/2014 18.00,"18,3",,,
23/07/2014 19.00,,,,
23/07/2014 20.00,"17,4",,,
23/07/2014 21.00,,,,
23/07/2014 22.00,"23,5",,,
23/07/2014 23.00,,,,
24/07/2014 0.00,"31,9",,,
24/07/2014 1.00,,,,
24/07/2014 2.00,"24,8",,,
24/07/2014 3.00,,,,
24/07/2014 4.00,"20,3",,,
24/07/2014 5.00,,,,
24/07/2014 6.00,"17,3",,,
24/07/2014 7.00,,,,
24/07/2014 8.00,"11,0",,,
24/07/2014 9.00,,,,
24/07/2014 10.00,"21,5",,,
24/07/2014 11.00,,,,
24/07/2014 12.00,"18,3",,,
24/07/2014 13.00,,,,
24/07/2014 14.00,,,,
24/07/2014 15.00,,,,
24/07/2014 16.00,,,,
24/07/2014 17.00,,,,
24/07/2014 18.00,,,,
24/07/2014 19.00,,,,
24/07/2014 20.00,,,,
24/07/2014 21.00,,,,
24/07/2014 22.00,,,,
24/07/2014 23.00,,,,
25/07/2014 0.00,,,,
25/07/2014 1.00,,,,
25/07/2014 2.00,,,,
25/07/2014 3.00,,,,
25/07/2014 4.00,,,,
25/07/2014 5.00,,,,
25/07/2014 6.00,,,,
25/07/2014 7.00,,,,
25/07/2014 8.00,,,,
25/07/2014 9.00,,,,
25/07/2014 10.00,,,,
25/07/2014 11.00,,,,
25/07/2014 12.00,,,,
25/07/2014 13.00,,,,
25/07/2014 14.00,,,,
25/07/2014 15.00,,,,
25/07/2014 16.00,,,,
25/07/2014 17.00,,,,
25/07/2014 18.00,,,,
25/07/2014 19.00,,,,
25/07/2014 20.00,,,,
25/07/2014 21.00,,,,
25/07/2014 22.00,,,,
25/07/2014 23.00,,,,
26/07/2014 0.00,,,,
26/07/2014 1.00,,,,
26/07/2014 2.00,,,,
26/07/2014 3.00,,,,
26/07/2014 4.00,,,,
26/07/2014 5.00,,,,
26/07/2014 6.00,,,,
26/07/2014 7.00,,,,
26/07/2014 8.00,,,,
26/07/2014 9.00,,,,
26/07/2014 10.00,,,,
26/07/2014 11.00,,,,
26/07/2014 12.00,,,,
26/07/2014 13.00,,,,
26/07/2014 14.00,,,,
26/07/2014 15.00,,,,
26/07/2014 16.00,,,,
26/07/2014 17.00,,,,
26/07/2014 18.00,,,,
26/07/2014 19.00,,,,
26/07/2014 20.00,,,,
26/07/2014 21.00,,,,
26/07/2014 22.00,,,,
26/07/2014 23.00,,,,
27/07/2014 0.00,,,,
27/07/2014 1.00,,,,
27/07/2014 2.00,,,,
27/07/2014 3.00,,,,
27/07/2014 4.00,,,,
27/07/2014 5.00,,,,
27/07/2014 6.00,,,,
27/07/2014 7.00,,,,
27/07/2014 8.00,,,,
27/07/2014 9.00,,,,
27/07/2014 10.00,,,,
27/07/2014 11.00,,,,
27/07/2014 12.00,,,,
27/07/2014 13.00,,,,
27/07/2014 14.00,,,,
27/07/2014 15.00,,,,
27/07/2014 16.00,,,,
27/07/2014 17.00,,,,
27/07/2014 18.00,,,,
27/07/2014 19.00,,,,
27/07/2014 20.00,,,,
27/07/2014 21.00,,,,
27/07/2014 22.00,,,,
27/07/2014 23.00,,,,
28/07/2014 0.00,,,,
28/07/2014 1.00,,,,
28/07/2014 2.00,,,,
28/07/2014 3.00,,,,
28/07/2014 4.00,,,,
28/07/2014 5.00,,,,
28/07/2014 6.00,,,,
28/07/2014 7.00,,,,
28/07/2014 8.00,,,,
28/07/2014 9.00,,,,
28/07/2014 10.00,,,,
28/07/2014 11.00,,,,
28/07/2014 12.00,,,,
28/07/2014 13.00,,,,
28/07/2014 14.00,,,,
28/07/2014 15.00,,,,
28/07/2014 16.00,,,,
28/07/2014 17.00,,,,
28/07/2014 18.00,,,,
28/07/2014 19.00,,,,
28/07/2014 20.00,,,,
28/07/2014 21.00,,,,
28/07/2014 22.00,,,,
28/07/2014 23.00,,,,
29/07/2014 0.00,,,,
29/07/2014 1.00,,,,
29/07/2014 2.00,,,,
29/07/2014 3.00,,,,
29/07/2014 4.00,,,,
29/07/2014 5.00,,,,
29/07/2014 6.00,,,,
29/07/2014 7.00,,,,
29/07/2014 8.00,,,,
29/07/2014 9.00,,,,
29/07/2014 10.00,,,,
29/07/2014 11.00,,,,
29/07/2014 12.00,,,,
29/07/2014 13.00,,,,
29/07/2014 14.00,,,,
29/07/2014 15.00,,,,
29/07/2014 16.00,,,,
29/07/2014 17.00,,,,
29/07/2014 18.00,"19,0",,,
29/07/2014 19.00,,,,
29/07/2014 20.00,"33,3",,,
29/07/2014 21.00,,,,
29/07/2014 22.00,"30,0",,,
29/07/2014 23.00,,,,
30/07/2014 0.00,"35,6",,,
30/07/2014 1.00,,,,
30/07/2014 2.00,"30,9",,,
30/07/2014 3.00,,,,
30/07/2014 4.00,"28,3",,,
30/07/2014 5.00,,,,
30/07/2014 6.00,"35,9",,,
30/07/2014 7.00,,,,
30/07/2014 8.00,"51,1",,,
30/07/2014 9.00,,,,
30/07/2014 10.00,"42,6",,,
30/07/2014 11.00,,,,
30/07/2014 12.00,"35,3",,,
30/07/2014 13.00,,,,
30/07/2014 14.00,"24,4",,,
30/07/2014 15.00,,,,
30/07/2014 16.00,"30,6",,,
30/07/2014 17.00,,,,
30/07/2014 18.00,"32,8",,,
30/07/2014 19.00,,,,
30/07/2014 20.00,"27,6",,,
