Stat,COSTA Morena Diga,,  ,
Parm,PM10,,,
Unit,ug/m3,,,
Field,Aver,,,
14/01/2014 12.00,"60,4",,,
14/01/2014 13.00,,,,
14/01/2014 14.00,"33,7",,,
14/01/2014 15.00,,,,
14/01/2014 16.00,"17,6",,,
14/01/2014 17.00,,,,
14/01/2014 18.00,"15,0",,,
14/01/2014 19.00,,,,
14/01/2014 20.00,"28,4",,,
14/01/2014 21.00,,,,
14/01/2014 22.00,"36,1",,,
14/01/2014 23.00,,,,
15/01/2014 0.00,"34,1",,,
15/01/2014 1.00,,,,
15/01/2014 2.00,"29,2",,,
15/01/2014 3.00,,,,
15/01/2014 4.00,"15,8",,,
15/01/2014 5.00,,,,
15/01/2014 6.00,"18,6",,,
15/01/2014 7.00,,,,
15/01/2014 8.00,"31,1",,,
15/01/2014 9.00,,,,
15/01/2014 10.00,"29,8",,,
15/01/2014 11.00,,,,
15/01/2014 12.00,"22,5",,,
15/01/2014 13.00,,,,
15/01/2014 14.00,"20,9",,,
15/01/2014 15.00,,,,
15/01/2014 16.00,"14,7",,,
15/01/2014 17.00,,,,
15/01/2014 18.00,"10,2",,,
15/01/2014 19.00,,,,
15/01/2014 20.00,"16,5",,,
15/01/2014 21.00,,,,
15/01/2014 22.00,"24,0",,,
15/01/2014 23.00,,,,
16/01/2014 0.00,"28,0",,,
16/01/2014 1.00,,,,
16/01/2014 2.00,"32,1",,,
16/01/2014 3.00,,,,
16/01/2014 4.00,"27,1",,,
16/01/2014 5.00,,,,
16/01/2014 6.00,"27,1",,,
16/01/2014 7.00,,,,
16/01/2014 8.00,"26,6",,,
16/01/2014 9.00,,,,
16/01/2014 10.00,"38,7",,,
16/01/2014 11.00,,,,
16/01/2014 12.00,"39,3",,,
16/01/2014 13.00,,,,
16/01/2014 14.00,"22,6",,,
16/01/2014 15.00,,,,
16/01/2014 16.00,"20,7",,,
16/01/2014 17.00,,,,
16/01/2014 18.00,"22,6",,,
16/01/2014 19.00,,,,
16/01/2014 20.00,"29,4",,,
16/01/2014 21.00,,,,
16/01/2014 22.00,"51,3",,,
16/01/2014 23.00,,,,
17/01/2014 0.00,"63,1",,,
17/01/2014 1.00,,,,
17/01/2014 2.00,"75,1",,,
17/01/2014 3.00,,,,
17/01/2014 4.00,"91,3",,,
17/01/2014 5.00,,,,
17/01/2014 6.00,"99,1",,,
17/01/2014 7.00,,,,
17/01/2014 8.00,"84,4",,,
17/01/2014 9.00,,,,
17/01/2014 10.00,"47,4",,,
17/01/2014 11.00,,,,
17/01/2014 12.00,"28,9",,,
17/01/2014 13.00,,,,
17/01/2014 14.00,"21,0",,,
17/01/2014 15.00,,,,
17/01/2014 16.00,"14,2",,,
17/01/2014 17.00,,,,
17/01/2014 18.00,"10,9",,,
17/01/2014 19.00,,,,
17/01/2014 20.00,"22,9",,,
17/01/2014 21.00,,,,
17/01/2014 22.00,"29,3",,,
17/01/2014 23.00,,,,
18/01/2014 0.00,"29,3",,,
18/01/2014 1.00,,,,
18/01/2014 2.00,"45,2",,,
18/01/2014 3.00,,,,
18/01/2014 4.00,"49,6",,,
18/01/2014 5.00,,,,
18/01/2014 6.00,"49,9",,,
18/01/2014 7.00,,,,
18/01/2014 8.00,"38,8",,,
18/01/2014 9.00,,,,
18/01/2014 10.00,"42,1",,,
18/01/2014 11.00,,,,
18/01/2014 12.00,"50,3",,,
18/01/2014 13.00,,,,
18/01/2014 14.00,"31,6",,,
18/01/2014 15.00,,,,
18/01/2014 16.00,"27,8",,,
18/01/2014 17.00,,,,
18/01/2014 18.00,"29,5",,,
18/01/2014 19.00,,,,
18/01/2014 20.00,"42,0",,,
18/01/2014 21.00,,,,
18/01/2014 22.00,"42,7",,,
18/01/2014 23.00,,,,
19/01/2014 0.00,"24,7",,,
19/01/2014 1.00,,,,
19/01/2014 2.00,"13,9",,,
19/01/2014 3.00,,,,
19/01/2014 4.00,"33,3",,,
19/01/2014 5.00,,,,
19/01/2014 6.00,"51,4",,,
19/01/2014 7.00,,,,
19/01/2014 8.00,"43,6",,,
19/01/2014 9.00,,,,
19/01/2014 10.00,"43,5",,,
19/01/2014 11.00,,,,
19/01/2014 12.00,"50,6",,,
19/01/2014 13.00,,,,
19/01/2014 14.00,"60,9",,,
19/01/2014 15.00,,,,
19/01/2014 16.00,"47,6",,,
19/01/2014 17.00,,,,
19/01/2014 18.00,"50,8",,,
19/01/2014 19.00,,,,
19/01/2014 20.00,"50,5",,,
19/01/2014 21.00,,,,
19/01/2014 22.00,"43,1",,,
19/01/2014 23.00,,,,
20/01/2014 0.00,"26,2",,,
20/01/2014 1.00,,,,
20/01/2014 2.00,"39,5",,,
20/01/2014 3.00,,,,
20/01/2014 4.00,"83,6",,,
20/01/2014 5.00,,,,
20/01/2014 6.00,"101,9",,,
20/01/2014 7.00,,,,
20/01/2014 8.00,"123,5",,,
20/01/2014 9.00,,,,
20/01/2014 10.00,"128,5",,,
20/01/2014 11.00,,,,
20/01/2014 12.00,"65,8",,,
20/01/2014 13.00,,,,
20/01/2014 14.00,"79,3",,,
20/01/2014 15.00,,,,
20/01/2014 16.00,"125,9",,,
