Stat,Mesagne2_Via_Antonucci,,,,,
Parm,NOX,NO,NO2,CO,O3,BENZENE
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver,Aver
27/06/2014 19.00,"11,803766","1,634245","9,305793","0,2","81,4","0,6"
27/06/2014 20.00,"12,164325","1,324229","10,257123","0,3","79,6","0,5"
27/06/2014 21.00,"13,02811","1,146594","11,27006","0,3","80,4","0,6"
27/06/2014 22.00,"10,179306","1,132214","8,443306","0,3","78,0","0,6"
27/06/2014 23.00,"10,075548","1,080615","8,418662","0,2","72,4","0,5"
28/06/2014 0.00,"10,188384","1,038743","8,5957","0,3","66,6","0,6"
28/06/2014 1.00,"10,246748","1,103031","8,555492","0,3","65,4","0,6"
28/06/2014 2.00,"9,469212","1,116565","7,757206","0,3","65,5","0,5"
28/06/2014 3.00,"8,871307","1,06412","7,239711","0,3","66,3","0,5"
28/06/2014 4.00,"8,680652","1,093304","7,004312","0,3","66,1","0,5"
28/06/2014 5.00,"9,827825","1,087382","8,160565","0,2","67,7","0,5"
28/06/2014 6.00,"12,456144","1,487484","10,175415","0,3","66,1","0,6"
28/06/2014 7.00,"12,262247","1,690073","9,670892","0,3","72,1","0,7"
28/06/2014 8.00,"12,720727","2,037731","9,596314","0,3","87,7","0,6"
28/06/2014 9.00,"12,282349","2,088062","9,080768","0,3","91,5","0,6"
28/06/2014 10.00,"11,144903","1,815264","8,361594","0,3","97,5","0,5"
28/06/2014 11.00,"10,239614","1,823723","7,515969","0,3","95,9","0,6"
28/06/2014 12.00,"9,685157","1,813572","7,012093","0,4","101,2","0,5"
28/06/2014 13.00,"8,445251","1,508632","6,132096","0,2","105,3","0,4"
28/06/2014 14.00,"7,174864","1,160973","5,394765","0,2","109,1","0,4"
28/06/2014 15.00,"5,951169","1,071733","4,3079","0,2","108,1","0,3"
28/06/2014 16.00,"5,68464","1,06412","4,055639","0,2","109,5","0,3"
28/06/2014 17.00,"6,391491","1,139404","4,746926","0,2","107,4","0,3"
28/06/2014 18.00,"7,855126","1,038743","6,262442","0,2","106,9","0,5"
28/06/2014 19.00,"9,706558","1,320422","7,831133","0,3","106,6","0,3"
28/06/2014 20.00,"23,851358","3,322626","18,860604","0,3","97,2","0,5"
28/06/2014 21.00,"48,111272","9,154986","34,175278","0,4","74,7","0,8"
28/06/2014 22.00,"32,744702","6,283638","23,128297","0,4","62,4","0,8"
28/06/2014 23.00,"23,930476","3,070977","19,25034","0,4","73,3","0,7"
29/06/2014 0.00,"20,356661","2,777033","16,178461","0,4","63,3","1,1"
29/06/2014 1.00,"22,293689","3,318819","17,207611","0,4","65,8","0,7"
29/06/2014 2.00,"22,961628","3,821697","17,19075","0,3","47,2","0,8"
29/06/2014 3.00,"20,51618","3,626299","15,115591",,"46,5","0,8"
29/06/2014 4.00,"24,892825","4,437922","18,094742","0,3",,"0,8"
29/06/2014 5.00,"37,640147","7,298274","26,456325","0,5","44,2","1,0"
29/06/2014 6.00,"32,401668","6,629181","22,328699","0,4","51,0","1,5"
29/06/2014 7.00,"27,967952","5,996039","18,815859","0,4","69,5","1,3"
29/06/2014 8.00,"22,898724","7,604906","12,452043","0,4","100,1","0,9"
29/06/2014 9.00,"17,62848","5,237281","10,87824","0,3","116,7","0,8"
29/06/2014 10.00,"17,046138","4,585529","10,579423","1,1","133,6","0,6"
29/06/2014 11.00,"14,209007","3,789553","9,16507","0,8","138,7","0,5"
29/06/2014 12.00,"16,29454","4,320345","10,712865","1,1","141,4","0,6"
29/06/2014 13.00,"12,306991","3,780249","7,643552","0,6","137,2","0,5"
29/06/2014 14.00,"8,762361","2,183645","5,98035","0,4","138,6","0,4"
29/06/2014 15.00,"7,215069","1,831335","4,911643","0,5","130,9","0,4"
29/06/2014 16.00,"7,143088","1,989939","4,660678","0,4","130,0","0,3"
29/06/2014 17.00,"8,028273","2,513117","5,286238","0,5","127,4","0,3"
29/06/2014 18.00,"11,737621","3,622491","7,415453","0,4","120,0","0,3"
29/06/2014 19.00,"16,443693","4,46203","10,528906","1,7","113,0","0,3"
29/06/2014 20.00,"17,055864","4,36137","11,696899","0,9","112,7","0,4"
29/06/2014 21.00,"11,823869","3,22535","7,698193","0,2","104,9","0,4"
29/06/2014 22.00,"9,497097","2,207331","6,510813","0,2","105,2","0,4"
29/06/2014 23.00,"7,23258","2,590938","3,989552","0,2","105,5","0,4"
30/06/2014 0.00,"8,874548","3,099314","5,826521","0,2","99,7","0,3"
30/06/2014 1.00,"3,861092","1,257405","2,345578","0,2","101,6","0,2"
30/06/2014 2.00,"4,220356","1,542889","2,428458","0,2","96,2","0,2"
30/06/2014 3.00,"3,508317","1,173661","2,047922","0,2","98,1","0,2"
30/06/2014 4.00,"3,733991","1,108107","2,265165","0,2","95,2","0,2"
30/06/2014 5.00,"4,897376","2,039422","2,732726","0,2","92,4","0,2"
30/06/2014 6.00,"8,5957","2,258929","6,123965","0,2","94,9","0,3"
30/06/2014 7.00,"9,50423","3,979454","5,587235","0,2","96,3","0,3"
30/06/2014 8.00,"14,384746","4,300889","9,06261","0,2","90,6","0,4"
30/06/2014 9.00,"17,843128","5,282536","11,666869","0,3","80,8","0,6"
30/06/2014 10.00,"22,700297","5,794295","14,409679","0,3","68,7","0,6"
30/06/2014 11.00,"24,822138","6,676974","15,342378","0,3","80,9","0,6"
30/06/2014 12.00,"17,470248","3,975225","11,987513","0,3","84,8","0,6"
30/06/2014 13.00,"16,856779","3,164446","12,218798","0,3","85,5","0,5"
30/06/2014 14.00,"12,527477","2,596859","8,801271","0,5","90,6","0,4"
30/06/2014 15.00,"9,410848","1,403319","7,308452","0,4","75,8","0,4"
30/06/2014 16.00,"7,932297","1,032823","6,348691","0,3","101,7","0,4"
30/06/2014 17.00,"9,057423","1,171548","7,27927","0,4","107,0","0,3"
30/06/2014 18.00,"10,665671","1,431233","8,471191","0,5","102,1","0,5"
30/06/2014 19.00,"10,93998","1,151247","9,174798","0,4","97,0","0,5"
30/06/2014 20.00,"11,217533","1,080615","9,56065","0,5","87,9","0,5"
30/06/2014 21.00,"12,117634","0,98503","10,607307","0,5","83,3","0,5"
30/06/2014 22.00,"9,31552","0,953309","7,853831","1,1","88,0","0,5"
30/06/2014 23.00,"10,079439","0,936815","8,643039","0,5","76,0","0,5"
01/07/2014 0.00,"8,482215","0,949926","7,025711","0,4","76,2","0,6"
01/07/2014 1.00,"7,842157","0,94908","6,386952","0,2","81,6","0,5"
01/07/2014 2.00,"7,183942","0,92751","5,76181","0,3","82,4","0,4"
01/07/2014 3.00,"7,456306","0,966421","5,974514",,"74,9","0,4"
01/07/2014 4.00,"7,739695","1,03959","6,145715","0,4",,"0,4"
01/07/2014 5.00,"10,261016","0,952041","8,801271","0,4","67,6","0,6"
01/07/2014 6.00,"13,74858","1,196924","11,91336","0,4","64,2","0,6"
01/07/2014 7.00,"15,251125","1,723486","12,608538","0,4","66,1","0,7"
01/07/2014 8.00,"11,67407","1,636782","9,164422","0,3","83,8","0,6"
01/07/2014 9.00,"12,05927","1,854174","9,239648","0,5","91,3","0,5"
01/07/2014 10.00,"11,463309","1,602525","9,006191","0,2","95,7","0,5"
01/07/2014 11.00,"11,016502","1,717564","8,382995","0,4","98,8","0,4"
01/07/2014 12.00,"9,903699","1,511592","7,586005","1,1","97,5","0,4"
01/07/2014 13.00,"10,09565","1,907042","7,18459","0,6","102,4","0,4"
01/07/2014 14.00,"8,742256","1,418968","6,566582","2,2","97,3","0,4"
01/07/2014 15.00,"7,931649","1,5099","5,61655","0,5","99,7","0,4"
01/07/2014 16.00,"9,625497","1,845716","6,824031","1,1","98,3","0,4"
01/07/2014 17.00,"8,703347","1,481986","6,432344","1,4","100,3","0,3"
01/07/2014 18.00,"10,532081","1,697263","7,929703","0,3","95,1","0,4"
01/07/2014 19.00,"11,051521","1,611829","8,580136","0,2","94,8","0,4"
01/07/2014 20.00,"11,784311","1,296315","9,796698","0,3","93,1","0,4"
01/07/2014 21.00,"15,443077","1,233719","13,551439","0,2","89,0","0,4"
01/07/2014 22.00,"27,207932","4,601178","20,199075","0,2","76,7","0,6"
01/07/2014 23.00,"20,182861","3,368727","15,024153","0,3","78,4","0,5"
02/07/2014 0.00,"11,862778","1,682883","9,295417","0,3","77,7","0,7"
02/07/2014 1.00,"9,676079","1,297161","7,687169","0,3","79,6","0,5"
02/07/2014 2.00,"14,585775","2,700479","10,472422","0,2","65,8","0,5"
02/07/2014 3.00,"14,265424","2,024619","11,161114","0,2","40,4","0,7"
02/07/2014 4.00,"10,26685","1,323807","8,237085","0,2","58,9","0,5"
02/07/2014 5.00,"13,543657","1,399936","11,397164","0,2","63,9","0,6"
02/07/2014 6.00,"43,308559","11,035382","26,388238","0,3","41,1","1,1"
02/07/2014 7.00,"18,96955","2,44164","15,225833","0,2","67,9","0,8"
02/07/2014 8.00,"18,853471","3,848766","13,300437","0,2","81,6","0,5"
02/07/2014 9.00,"15,818551","3,173328","11,022988","0,1","88,6","0,6"
02/07/2014 10.00,"21,413042","4,413392","14,856196","0,3","100,3","0,5"
02/07/2014 11.00,"21,182188","5,143389","14,350644","0,3","110,8","0,4"
02/07/2014 12.00,"24,717742","5,633577","16,513728","0,3","120,9","0,5"
02/07/2014 13.00,"19,068121","4,178237","13,307609","0,3","125,9","0,9"
02/07/2014 14.00,"20,93445","4,859172","14,605311","0,4","132,5","0,8"
02/07/2014 15.00,"15,279658","4,786426","8,953244","0,3","118,0","0,5"
02/07/2014 16.00,"14,295903","4,662504","9,30225",,"114,1","0,4"
02/07/2014 17.00,"20,544076","5,505004","13,058546",,"106,2","0,4"
02/07/2014 18.00,"21,073891","5,955859","12,640962",,"101,7","0,5"
02/07/2014 19.00,"25,55168","6,762408","16,373744",,"102,8","0,6"
02/07/2014 20.00,"25,512771","7,288124","15,388467",,"97,1","0,5"
02/07/2014 21.00,"21,188019","4,968714","13,891245",,"85,2","0,7"
02/07/2014 22.00,"18,158943","3,053636","13,613046",,"70,0","0,8"
02/07/2014 23.00,"18,679677","3,937583","12,84394",,"67,0","0,9"
03/07/2014 0.00,"15,133099","3,153872","11,349475",,"62,7","0,9"
03/07/2014 1.00,"12,767417","1,72264","10,126129",,"60,0","0,7"
03/07/2014 2.00,"9,607987","1,20369","7,762393",,"59,3","0,6"
03/07/2014 3.00,"10,47372","1,116988","8,761063",,"57,4","0,6"
03/07/2014 4.00,"12,670793","1,628747","10,211082",,,"0,7"
03/07/2014 5.00,"32,557305","7,155321","21,61472",,"36,6","1,0"
03/07/2014 6.00,"53,873715","14,55138","31,562379",,"24,3","1,4"
03/07/2014 7.00,"24,078332","2,911104","19,614786",,"54,5","1,7"
03/07/2014 8.00,"17,268568","2,257237","13,807591",,"65,4","1,0"
03/07/2014 9.00,"16,65056","2,372701","13,024219",,"74,4","0,9"
03/07/2014 10.00,"14,399011","2,434027","10,685126",,"86,7","0,7"
03/07/2014 11.00,"13,266106","2,002627","10,195518",,"88,8","0,6"
03/07/2014 12.00,"13,207092","2,253854","9,751303",,"89,3","0,6"
03/07/2014 13.00,"10,696799","1,944684","7,715053",,"95,8","0,5"
03/07/2014 14.00,"9,158587","1,52851","6,833111",,"89,8","0,4"
03/07/2014 15.00,"8,360946","1,468452","6,109398",,"93,0","0,4"
03/07/2014 16.00,"8,742905","1,491714","6,455692",,"95,6","0,5"
03/07/2014 17.00,"9,087254","1,699801","6,480982",,"87,5","0,4"
03/07/2014 18.00,"10,920527","1,771277","8,204661",,"77,8","0,7"
03/07/2014 19.00,"12,362114","1,632976","9,858304",,"74,5","0,5"
03/07/2014 20.00,"13,958041","1,7256","11,31351",,"75,4","0,6"
03/07/2014 21.00,"12,976232","1,383863","10,854382",,"74,9","0,6"
03/07/2014 22.00,"11,672123","1,359333","9,587886",,"73,8","0,5"
03/07/2014 23.00,"11,222721","1,400781","9,074931",,"76,0","0,5"
04/07/2014 0.00,"10,757107","1,446459","8,572354",,"76,7","0,4"
04/07/2014 1.00,"10,574233","1,235834","8,679356","0,4","76,2","0,4"
04/07/2014 2.00,"10,581367","1,092034","8,906974","0,3","73,8","0,4"
04/07/2014 3.00,"9,093737","1,058199","7,471222","0,5","74,9","0,4"
04/07/2014 4.00,"8,001037","1,125446","6,275411","0,5","78,1","0,4"
04/07/2014 5.00,"8,419961","1,071733","6,776692","0,4","82,9","0,5"
04/07/2014 6.00,"10,39979","1,153784","8,664438","0,5","77,3","0,5"
04/07/2014 7.00,"12,671441","1,444344","10,456858","0,5","73,0","0,5"
04/07/2014 8.00,"13,944422","2,09356","10,734411","0,3","73,0","0,6"
04/07/2014 9.00,"12,70192","1,840641","9,879705","0,6","74,3","0,6"
04/07/2014 10.00,"11,96459","1,817802","9,177391","0,5","83,6","0,5"
04/07/2014 11.00,"11,069678","1,86644","8,207904","0,3","90,3","0,5"
04/07/2014 12.00,"10,244802","1,819917","7,471222","0,8","94,3","0,4"
04/07/2014 13.00,"9,416036","1,915924","6,506922","0,4","99,0","0,4"
04/07/2014 14.00,"8,425795","1,355526","6,347394","0,3","96,0","0,4"
04/07/2014 15.00,"9,516551","1,481563","7,244901","0,4","88,9","0,4"
04/07/2014 16.00,"7,514022","1,385555","5,389578","0,3","89,8","0,4"
04/07/2014 17.00,"8,252648","1,568266","5,848058","0,4","94,6","0,4"
04/07/2014 18.00,"9,612526","1,586876","7,180699","1,2","94,5","0,6"
04/07/2014 19.00,"11,011315","1,651585","8,478972","0,4","90,4","0,6"
04/07/2014 20.00,"14,090333","1,489599","11,80636","1,1","93,6","0,6"
04/07/2014 21.00,"13,236923","1,640167","10,72209","0,3","95,5","0,6"
04/07/2014 22.00,"13,23433","1,510323","10,918581","0,4","84,9","0,7"
04/07/2014 23.00,"10,978241","1,483255","8,703995","0,3","85,7","0,6"
05/07/2014 0.00,"11,423104","1,666389","8,870658","0,3","86,1","0,6"
05/07/2014 1.00,"11,533994","1,709529","8,912809","0,3","85,6","0,5"
05/07/2014 2.00,"18,295773","2,901377","13,847149","0,4","49,3","0,8"
05/07/2014 3.00,"11,403001","1,621556","8,916702",,"49,7","0,7"
05/07/2014 4.00,"11,719462","1,772124","9,0023","0,3",,"0,8"
05/07/2014 5.00,"12,772605","1,899429","9,860249","0,2","51,3","0,8"
05/07/2014 6.00,"18,920914","2,628157","14,891214","0,3","48,6","0,8"
05/07/2014 7.00,"17,869719","2,718243","13,701888","0,5","55,1","0,9"
05/07/2014 8.00,"33,962568","10,2411","19,18885","0,3","74,6","1,4"
05/07/2014 9.00,"23,455135","6,287022","14,710953","2,0","104,2","0,7"
05/07/2014 10.00,"22,195757","5,471592","14,330273","3,7","101,6","0,8"
05/07/2014 11.00,"23,00637","5,446638","15,301767","0,2","103,9","1,1"
05/07/2014 12.00,"17,870364","4,852405","11,578215","0,2","106,3","0,6"
05/07/2014 13.00,"15,189519","4,32669","9,37583","0,3","119,8","0,5"
05/07/2014 14.00,"12,734994","3,279909","8,13203","1,0","117,8","0,5"
05/07/2014 15.00,"10,929605","2,884882","7,155182","0,1","114,2","0,4"
05/07/2014 16.00,"9,745468","2,642538","6,114587","0,5","106,4","0,4"
05/07/2014 17.00,"9,29023","3,008804","5,342239","0,2","110,4","0,4"
05/07/2014 18.00,"13,378292","4,104222","8,38674","0,3","107,0","0,4"
05/07/2014 19.00,"13,404232","4,207419","7,577573","0,2","105,3","0,5"
05/07/2014 20.00,"15,626599","4,076308","9,694238","0,3","98,3","0,4"
05/07/2014 21.00,"22,08293","6,628758","13,358109","0,5","91,3","0,6"
05/07/2014 22.00,"14,404849","3,490111","9,192309","0,4","82,1","0,5"
05/07/2014 23.00,"11,723353","2,207331","8,338899","1,0","78,9","0,4"
06/07/2014 0.00,"12,735642","2,321102","9,178041","0,5","77,3","0,4"
06/07/2014 1.00,"13,522904","2,236936","10,125481","0,7","56,3","0,5"
06/07/2014 2.00,"16,967021","3,644907","11,486655","0,4","50,3","0,5"
06/07/2014 3.00,"11,2532","1,832182","8,486754","0,5","56,4","0,5"
06/07/2014 4.00,"10,100839","1,344953","8,038649","0,3","86,2","0,8"
06/07/2014 5.00,"10,345965","1,411355","8,181964","0,6","87,7","1,0"
06/07/2014 6.00,"10,318081","1,42362","8,135273","2,1","80,6","0,8"
06/07/2014 7.00,"10,153366","1,468029","7,902466","1,0","77,7","1,1"
06/07/2014 8.00,"7,755259","1,400359","5,608118","1,2","84,8","1,0"
06/07/2014 9.00,"7,588598","1,59914","5,160662","0,4","103,0","0,9"
06/07/2014 10.00,"7,348659","1,418122","5,174279","2,9","103,9","1,8"
06/07/2014 11.00,"6,796147","1,506517","4,486235","10,8","108,6","0,7"
06/07/2014 12.00,"6,849323","1,503557","4,54395","1,6","103,1","0,7"
06/07/2014 13.00,"5,897992","1,336072","3,852663","7,1","106,4","0,5"
06/07/2014 14.00,"5,151584","1,238795","3,263837","0,1","104,1","0,5"
06/07/2014 15.00,"4,894133","1,244293","3,001848","0,1","102,4","0,4"
06/07/2014 16.00,"4,480399","1,215956","2,637397","0,1","103,0","0,4"
06/07/2014 17.00,"4,853927","1,20792","3,021302","0,1","102,4","0,4"
06/07/2014 18.00,"5,857786","1,265863","3,91816","0,1","100,1","0,4"
06/07/2014 19.00,"7,560065","1,290394","5,581529","0,1","106,0","0,4"
06/07/2014 20.00,"8,492589","1,309003","6,488116","0,2","92,8","0,4"
06/07/2014 21.00,"8,923185","1,256136","6,997178","0,2","83,2","0,5"
06/07/2014 22.00,"14,481369","2,692021","10,360233","0,2","75,1","0,6"
06/07/2014 23.00,"17,727048","4,201498","11,349825","0,2","56,2","0,8"
07/07/2014 0.00,"18,738041","5,025812","11,411929","0,2","49,9","0,5"
07/07/2014 1.00,"14,138968","2,373546","10,499658","0,2","57,4","0,6"
07/07/2014 2.00,"12,560551","2,039422","9,447812","0,2","51,5","0,8"
07/07/2014 3.00,"15,796502","2,812983","11,741702",,"26,2","1,0"
07/07/2014 4.00,"18,07399","4,228144","11,681851","0,2",,"0,9"
07/07/2014 5.00,"28,805139","8,312064","16,470929","0,3","33,0","1,0"
07/07/2014 6.00,"22,84102","2,860775","18,454652","0,3","49,2","1,5"
07/07/2014 7.00,"22,158798","3,061249","17,46506","0,2","58,5","1,6"
07/07/2014 8.00,"17,446254","2,998653","12,864043","0,2","72,2","1,0"
07/07/2014 9.00,"13,015789","2,966932","8,562626","0,1","97,3","0,8"
07/07/2014 10.00,"14,692777","4,022594","9,211761","0,2","103,4","0,8"
07/07/2014 11.00,"20,468838","4,656161","13,585809","0,2","118,2","0,7"
07/07/2014 12.00,"21,553114","4,414238","15,015075","0,2","134,9","1,0"
07/07/2014 13.00,"16,988423","5,004663","10,120325","0,1","127,0","0,6"
07/07/2014 14.00,"11,985991","3,08155","7,414805","0,1","125,1","0,5"
07/07/2014 15.00,"24,266376","5,47878","16,1188","0,1","105,8","0,4"
07/07/2014 16.00,"12,1105","2,456866","8,369376","0,1","108,8","0,4"
07/07/2014 17.00,"9,053532","1,677809","6,498492","0,1","102,3","0,3"
07/07/2014 18.00,"13,422391","2,851047","9,115787","0,1","104,8","0,4"
07/07/2014 19.00,"13,988521","3,317129","8,998411","0,2","96,1","0,5"
07/07/2014 20.00,"20,656253","6,370764","11,578093","0,2","89,2","0,7"
07/07/2014 21.00,"15,7336","4,607099","9,323912","0,2","85,3","0,8"
07/07/2014 22.00,"12,917217","2,881499","8,552252","0,2","77,5","0,4"
07/07/2014 23.00,"13,081286","3,238039","8,223468","0,2","68,5","0,5"
08/07/2014 0.00,"9,181933","2,45306","5,550402","0,1","66,3","0,5"
08/07/2014 1.00,"7,108718","1,783966","4,450568","0,1","71,7","0,5"
08/07/2014 2.00,"8,537336","2,085524","5,631544","0,1","67,6","0,5"
08/07/2014 3.00,"5,589961","1,195232","3,775492","0,1","77,2","0,6"
08/07/2014 4.00,"7,329853","1,519205","5,073765","0,1","76,9","0,6"
08/07/2014 5.00,"14,12535","3,345888","9,194253","0,2","56,8","0,8"
08/07/2014 6.00,"14,243374","4,656584","8,35614","0,2","72,6","1,0"
08/07/2014 7.00,"17,529909","5,948246","9,891446","0,2","77,7","0,9"
08/07/2014 8.00,"34,369173","11,509923","19,660656","0,2","76,4","0,8"
08/07/2014 9.00,"19,398845","5,548144","12,03665","0,2","91,9","0,9"
08/07/2014 10.00,"11,283679","3,904171","6,344151","0,1","105,6","0,9"
08/07/2014 11.00,"11,03401","3,669438","6,196945","0,1","97,7","0,7"
08/07/2014 12.00,"12,001555","3,30444","7,349955","0,1","84,1","0,7"
08/07/2014 13.00,"10,867351","3,529021","6,275335","0,1","84,4","0,5"
08/07/2014 14.00,"9,240296","2,426414","5,86427","0,1","94,0","0,4"
08/07/2014 15.00,"9,770758","3,075206","5,803314","0,1","97,9","0,4"
08/07/2014 16.00,"9,486721","2,520307","5,901883","0,1","90,6","0,5"
08/07/2014 17.00,"11,244122","3,07309","7,014688","0,1","85,5","0,5"
08/07/2014 18.00,"10,522355","2,257237","7,09899","0,1","77,3","0,5"
08/07/2014 19.00,"10,132615","2,135007","6,87202","0,1","74,9","0,4"
08/07/2014 20.00,"11,945137","2,306299","8,443954","0,1","73,5","0,6"
08/07/2014 21.00,"11,681203","1,826683","8,922537","0,1","72,2","0,6"
08/07/2014 22.00,"9,785673","1,493829","7,528937","0,1","63,7","0,6"
08/07/2014 23.00,"7,51467","1,07554","5,865568","0,1","61,2","0,5"
09/07/2014 0.00,"7,092506","1,169433","5,299439","0,1","62,3","0,5"
09/07/2014 1.00,"6,548424","1,101762","4,859115",,"64,8","0,4"
09/07/2014 2.00,"8,036056","2,026734","5,072467",,"66,5","0,4"
09/07/2014 3.00,"10,083329","2,58121","6,50219",,"62,2","0,3"
09/07/2014 4.00,"9,687103","1,514553","7,46344","0,1",,"0,4"
09/07/2014 5.00,"14,87565","2,104133","11,649425","0,1","54,5","0,6"
09/07/2014 6.00,"24,938216","6,809354","15,99961","0,1","40,0","0,7"
09/07/2014 7.00,"19,389764","4,656161","12,378326","0,1","51,0","1,1"
09/07/2014 8.00,"16,163545","3,463042","10,991212","0,1","57,0","0,6"
09/07/2014 9.00,"11,661746","2,359167","8,052268","0,1","65,3","0,5"
09/07/2014 10.00,"12,394538","2,755462","8,327875","0,1","69,2","0,5"
09/07/2014 11.00,"12,934079","3,047291","8,318794",,"80,2","0,5"
09/07/2014 12.00,"9,428357","2,122742","6,230019",,"86,9","0,4"
09/07/2014 13.00,"9,465321","2,605741","5,736518",,"95,3","0,4"
09/07/2014 14.00,"9,36675","2,258506","6,004343",,"99,0","0,5"
09/07/2014 15.00,"17,826916","3,555244","12,702836",,"104,5","0,6"
09/07/2014 16.00,"15,751108","3,830579","10,163092",,"97,1","0,4"
09/07/2014 17.00,"13,990465","4,026401","8,393357",,"107,4",
09/07/2014 18.00,"11,548262","3,795898","6,809985","0,1","106,8",
09/07/2014 19.00,"11,504165","3,427517","6,706479","0,1","97,8",
09/07/2014 20.00,"17,758176","4,429464","11,184462","0,1","64,1",
09/07/2014 21.00,"14,336108","3,223658","9,47829","0,1","58,3",
09/07/2014 22.00,"8,789598","1,234989","6,896014","0,1","63,2",
09/07/2014 23.00,"7,633344","1,448997","5,469991",,"68,4",
10/07/2014 0.00,"7,964721","1,33311","5,92069",,"62,3",
10/07/2014 1.00,"7,361628","1,379212","5,24691",,"60,1",
10/07/2014 2.00,"10,641677","2,256814","7,181347",,"55,1",
10/07/2014 3.00,"8,127491","1,68246","5,598391",,"53,3",
10/07/2014 4.00,"10,410166","2,624774","6,425861",,"48,3",
10/07/2014 5.00,"13,712914","3,398756","8,643039",,"49,9",
10/07/2014 6.00,"22,464891","6,954423","12,691368","0,1","45,1",
10/07/2014 7.00,"16,064327","6,807239","8,086949","0,1","57,9",
10/07/2014 8.00,"18,684865","5,936403","10,225997","0,1","64,4",
10/07/2014 9.00,"19,077847","5,919487","11,278897","0,1","67,8",
10/07/2014 10.00,"17,183617","4,491213","10,639731",,"65,0",
10/07/2014 11.00,"16,159656","4,226875","10,096298","0,1","64,0",
10/07/2014 12.00,"15,416488","3,709195","9,806424",,"66,2",
10/07/2014 13.00,"11,117198","3,559546","6,594306","0,3","71,6",
10/07/2014 14.00,"10,304463","2,716552","6,426509","0,2","75,2","0,5"
10/07/2014 15.00,"8,577542","2,152771","5,686584","0,3","75,5","0,3"
10/07/2014 16.00,"9,023053","2,231861","5,829252","0,3","76,2","0,3"
10/07/2014 17.00,"9,133943","2,00601","6,125612","0,3","75,9","0,3"
10/07/2014 18.00,"8,503614","1,731099","5,929767","0,3","70,5","0,3"
10/07/2014 19.00,"10,375797","1,964985","7,401185","0,3","68,5","0,3"
10/07/2014 20.00,"8,444602","1,274322","6,49071","0,3","70,0","0,4"
10/07/2014 21.00,"9,411496","1,142787","7,664472","0,3","65,8","0,4"
10/07/2014 22.00,"8,621638","1,366946","6,525728","0,2","77,0","0,4"
10/07/2014 23.00,"8,953016","1,638897","6,440128","0,2","86,3","0,4"
11/07/2014 0.00,"8,539928","1,286165","6,567878","0,3","73,2","0,4"
11/07/2014 1.00,"7,276028","1,081038","5,618494","0,3","63,0","0,4"
11/07/2014 2.00,"7,670307","1,070042","6,029635","0,3","56,8","0,4"
11/07/2014 3.00,"6,815601","1,043819","5,215135",,"52,7","0,4"
11/07/2014 4.00,"8,293504","1,111912","6,588631","0,3",,"0,4"
11/07/2014 5.00,"8,154728","1,208766","6,301351","0,2","53,2","0,5"
11/07/2014 6.00,"10,181251","1,558962","7,790925","0,3","47,7","0,6"
11/07/2014 7.00,"9,917316","1,654123","7,381083","0,3","52,6","0,5"
11/07/2014 8.00,"9,371939","2,097365","6,156089","0,2","62,8","0,5"
11/07/2014 9.00,"8,88622","2,047035","5,747543","0,2","83,7","0,4"
11/07/2014 10.00,"8,961446","2,095251","5,751433","0,3","89,3","0,4"
11/07/2014 11.00,"9,31552","1,999243","6,250121","0,3","89,0","0,4"
11/07/2014 12.00,"9,353133","1,832181","6,543885","0,4","88,4","0,4"
11/07/2014 13.00,"9,396581","1,464222","7,151518","0,6","87,4","0,4"
11/07/2014 14.00,"8,021788","1,273899","6,068544","0,6","84,3","0,4"
11/07/2014 15.00,"7,589896","1,131368","5,856488","0,6","81,3","0,4"
11/07/2014 16.00,"7,421288","1,24683","5,529003","0,6","80,4","0,4"
11/07/2014 17.00,"8,061346","1,360602","5,975163","0,5","83,0","0,4"
11/07/2014 18.00,"8,53539","1,789041","5,835089","0,5","83,1","1,0"
11/07/2014 19.00,"9,463375","1,452381","7,286402","0,6","81,7","0,5"
11/07/2014 20.00,"9,961415","1,15463","8,191044","0,6","87,8","0,5"
11/07/2014 21.00,"10,628708","1,1043","8,935506","0,6","87,0","0,4"
11/07/2014 22.00,"8,938749","1,184236","7,122984","0,6","82,6","0,5"
11/07/2014 23.00,"16,210885","2,562178","12,366653","0,6","65,7","0,6"
12/07/2014 0.00,"14,724553","2,950438","10,334941","0,6","39,4","0,7"
12/07/2014 1.00,"12,873769","1,95991","9,889432","0,6","48,5","0,6"
12/07/2014 2.00,"13,900973","2,076219","10,717549","0,6","45,0","0,7"
12/07/2014 3.00,"12,882849","1,923113","9,93677","0,6","43,6","0,8"
12/07/2014 4.00,"17,288671","3,178826","12,41464","0,6","27,9","0,9"
12/07/2014 5.00,"12,640314","1,914232","9,705262","0,4","38,4","0,9"
12/07/2014 6.00,"14,518333","2,425568","10,799259","0,4","36,0","1,1"
12/07/2014 7.00,"15,871079","2,953821","11,342043","0,5","47,2","1,0"
12/07/2014 8.00,"12,167568","2,40442","8,480917","0,5","71,1","1,1"
12/07/2014 9.00,"10,840763","2,254277","7,384326","0,5","87,2","0,7"
