Stat,Mesagne2_Via_Antonucci,,,,,
Parm,NOX,NO,NO2,CO,O3,BENZENE
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver,Aver
08/01/2014 9.00,"44,789688","14,821543","22,064116","0,9","16,4","0,6"
08/01/2014 10.00,"39,188063","13,219023","18,919618","0,9","23,3","0,8"
08/01/2014 11.00,"29,766857","10,090956","14,294604","0,7","36,4","0,8"
08/01/2014 12.00,"27,603505","9,00315","13,799162","0,7","41,4","0,6"
08/01/2014 13.00,"27,266285","8,102285","14,843227","0,6","43,5","0,5"
08/01/2014 14.00,"28,399854","7,909001","16,27314","0,7","42,3","0,5"
08/01/2014 15.00,"25,293579","6,794129","14,876298","0,6","47,4","0,6"
08/01/2014 16.00,"25,021234","6,389796","15,223889","0,7","45,8","0,6"
08/01/2014 17.00,"27,28185","6,99714","16,581821","0,8","42,6","0,6"
08/01/2014 18.00,"31,660424","7,268246","20,51618","0,8","36,4","0,7"
08/01/2014 19.00,"31,256419","7,738979","19,390413","0,8","36,1","0,8"
08/01/2014 20.00,"31,037896","7,767739","19,144627","0,8","34,3","0,8"
08/01/2014 21.00,"30,117039","7,606175","18,454652","0,8","34,1","0,8"
08/01/2014 22.00,"28,288307","7,438268","16,89958","0,7","35,6","0,8"
08/01/2014 23.00,"26,645689","7,088918","15,776399","0,7","35,6","0,7"
09/01/2014 0.00,"24,534859","6,673591","14,302389","0,6","36,9","0,6"
09/01/2014 1.00,"22,922718","6,309437","13,248596","0,6","36,6","0,5"
09/01/2014 2.00,"21,813166","6,215544","12,282997","0,5","37,4","0,4"
09/01/2014 3.00,"21,188019","6,107695","11,823221","0,5","35,9","0,4"
09/01/2014 4.00,"20,354712","6,24092","10,785641","0,5","36,4","0,3"
09/01/2014 5.00,"19,833978","6,14872","10,406276","0,5","38,8","0,3"
09/01/2014 6.00,"20,633557","6,179594","11,158522","0,5","39,0","0,3"
09/01/2014 7.00,"22,141935","6,312399","12,463278","0,5","36,4","0,3"
09/01/2014 8.00,"25,306562","7,022094","14,539735","0,6","33,4","0,3"
09/01/2014 9.00,"35,249822","10,283817","19,481845","0,8","27,3","0,5"
09/01/2014 10.00,"32,087146","10,32315","16,270546","0,7","31,2","0,7"
09/01/2014 11.00,"27,933573","8,933366","14,236243","0,6","39,6","0,5"
09/01/2014 12.00,"26,097059","8,197448","13,528094","0,6","43,5","0,5"
09/01/2014 13.00,"25,944022","7,929303","13,786191","0,6","47,6","0,5"
09/01/2014 14.00,"25,575676","7,829911","13,570245","0,7","49,0","0,5"
09/01/2014 15.00,"24,434347","7,392167","13,100092","0,7","49,9","0,6"
09/01/2014 16.00,"26,495884","7,550771","14,91845","0,7","47,5","0,6"
09/01/2014 17.00,"33,207079","8,569636","20,085598","0,9","37,2","0,7"
09/01/2014 18.00,"41,447418","9,895557","26,274741","1,0","25,2","1,0"
09/01/2014 19.00,"45,274762","10,489788","29,190999","1,2","23,8","1,2"
09/01/2014 20.00,"57,750372","15,98548","33,240138","1,9","20,0","1,6"
09/01/2014 21.00,"61,348165","22,05342","27,534119","1,8","13,5","2,4"
09/01/2014 22.00,"53,397072","19,185456","23,9804","1,6","12,9","2,1"
09/01/2014 23.00,"49,434185","18,401317","21,219796","1,6","11,8","1,9"
10/01/2014 0.00,"44,422012","17,409529","17,728347","1,5","10,6","1,7"
10/01/2014 1.00,"38,514275","14,608805","16,114909","1,5","11,5","1,5"
