,Regione Puglia,,
02/01/2006 8.00,"1,38636626","5,60550982","1,22963653"
02/01/2006 9.00,"1,27771202","12,70875808","1,31146846"
02/01/2006 10.00,"1,33637563","26,81922248","1,36845094"
02/01/2006 11.00,"1,46304196","23,7198896","1,34044551"
02/01/2006 12.00,"1,62848142","9,90276424","1,2541225"
02/01/2006 13.00,"1,46674283","6,3556792","1,26618258"
02/01/2006 14.00,"1,36560624","7,88717017","1,24861788"
02/01/2006 15.00,"1,38434243","8,50106366","1,28220832"
02/01/2006 16.00,"1,52052077","7,2538087","1,26270156"
02/01/2006 17.00,"1,49282277","10,92419097","1,35513616"
02/01/2006 18.00,"1,48712656","29,60835248","1,45525975"
02/01/2006 19.00,"1,35999749","43,81745696","1,51106908"
02/01/2006 20.00,"1,35167029","46,88690528","1,60067156"
02/01/2006 21.00,"1,36893183","41,89400408","1,61062765"
02/01/2006 22.00,"1,25880294","51,66308128","1,67914479"
02/01/2006 23.00,"1,22442529","43,81485664","1,67578493"
03/01/2006 0.00,"1,12820387","35,378692","1,67060418"
03/01/2006 1.00,"1,07708639","36,78948032","1,77032468"
03/01/2006 2.00,"1,18293575","24,418152","1,62074451"
03/01/2006 3.00,"1,08680078","18,62186282","1,53814484"
03/01/2006 4.00,"1,16755465","13,80286184","1,55170195"
03/01/2006 5.00,"1,16090448","11,65098806","1,55943172"
03/01/2006 6.00,"1,00448683","12,16495086","1,65781597"
03/01/2006 7.00,"0,97005121","12,209076","1,66526265"
03/01/2006 8.00,"1,15992104","29,22935584","1,900235"
03/01/2006 9.00,"1,41903739","55,35033504","2,46645878"
03/01/2006 10.00,"1,46127848","83,82305512","2,24973966"
03/01/2006 11.00,"1,24856785","47,17894416","1,59237559"
03/01/2006 12.00,"1,5895649","20,83862032","1,40847568"
03/01/2006 13.00,"1,62952181","15,05401728","1,31296665"
03/01/2006 14.00,"1,48591226","14,62182689","1,27743299"
03/01/2006 15.00,"1,68445608","14,06763369","1,29479498"
03/01/2006 16.00,"1,8302054","12,46736043","1,2764206"
03/01/2006 17.00,"1,69830559","20,05600048","1,37346976"
03/01/2006 18.00,"1,49646567","29,25922128","1,45477511"
03/01/2006 19.00,"1,61243418","36,20414064","1,60860404"
03/01/2006 20.00,"1,70232376","24,62191384","1,42765974"
03/01/2006 21.00,"1,58259641","29,55124104","1,44700456"
03/01/2006 22.00,"1,63307826","30,08725112","1,51394313"
03/01/2006 23.00,"1,36557777","16,20522674","1,39196414"
04/01/2006 0.00,"1,32258409","13,76393352","1,35987188"
04/01/2006 1.00,,"21,12025792","1,36561766"
04/01/2006 2.00,"0,70276429",,"1,40402422"
04/01/2006 3.00,"0,68084184","9,23435963",
04/01/2006 4.00,"0,65711319","7,0578287","1,31124245"
04/01/2006 5.00,"0,60980235","4,35695662","1,21351526"
04/01/2006 6.00,"0,61358661","3,87155335","1,26038438"
04/01/2006 7.00,"0,60779276","4,78785067","1,29247081"
04/01/2006 8.00,"0,71435199","8,00916915","1,34361431"
04/01/2006 9.00,"0,61402392","30,35850656","1,45205018"
04/01/2006 10.00,"1,03283469","136,94367312","2,11227432"
04/01/2006 11.00,"0,97801229","83,1416948","1,76750305"
04/01/2006 12.00,"0,97347037","12,97092578","1,22491828"
04/01/2006 13.00,"0,9161736","10,30510258","1,20683748"
04/01/2006 14.00,"0,79179654","10,97740002","1,21494122"
04/01/2006 15.00,"0,89101913","9,89627491","1,22455014"
04/01/2006 16.00,"0,84554194","8,21423306","1,22104932"
04/01/2006 17.00,"0,82108614","9,35636053","1,2687316"
04/01/2006 18.00,"0,85421796","16,44792455","1,32068944"
04/01/2006 19.00,"0,77840366","16,53747881","1,40314581"
04/01/2006 20.00,"0,77700631","18,2662442","1,62991189"
04/01/2006 21.00,"0,7226202","33,84071744","2,05412684"
04/01/2006 22.00,"0,86321435","44,90117856","2,15006226"
04/01/2006 23.00,"0,88079929","59,0103428","2,00632223"
05/01/2006 0.00,"0,80597555","38,810254","1,77137202"
05/01/2006 1.00,"0,78201401","24,9905092","1,75158216"
05/01/2006 2.00,"0,60502754","18,46612086","1,53723498"
05/01/2006 3.00,"0,60438683","12,20129416","1,45066616"
05/01/2006 4.00,"0,56068634","13,85348586","1,39919646"
05/01/2006 5.00,"0,6271839","10,73469838","1,35868009"
05/01/2006 6.00,"0,54921458","10,61918682","1,41646176"
05/01/2006 7.00,"0,50560155","15,15655019","1,44386489"
05/01/2006 8.00,"0,49855577","14,22727039","1,58426603"
05/01/2006 9.00,"0,49715842","24,06513944","1,63040119"
05/01/2006 10.00,"0,58345392","32,74661368","1,68492436"
05/01/2006 11.00,"0,66287755","23,49018192","1,59049645"
05/01/2006 12.00,"0,88135254","19,53685424","1,45974617"
05/01/2006 13.00,"1,04442239","11,92225114","1,30831015"
05/01/2006 14.00,"1,66456051","16,98005518","1,33962418"
05/01/2006 15.00,"1,98595489","17,02158765","1,37598616"
05/01/2006 16.00,"2,33157217","22,46095232","1,38979025"
05/01/2006 17.00,"2,25520462","23,73807272","1,46577271"
05/01/2006 18.00,"1,74115994","21,21759784","1,6288133"
05/01/2006 19.00,"1,18926658","24,54015672","1,69648931"
05/01/2006 20.00,"0,82984963","32,21316568","1,71004875"
05/01/2006 21.00,"1,0408995","36,404002","1,73427609"
05/01/2006 22.00,"0,88516629","28,60768816","1,80052614"
05/01/2006 23.00,"0,90959361","29,52917656","1,89377391"
06/01/2006 0.00,"0,85928364","28,76992136","1,86335692"
06/01/2006 1.00,,"19,12412992","1,77939304"
06/01/2006 2.00,"0,7587959",,"1,6672117"
06/01/2006 3.00,"0,78579522","9,30184941",
06/01/2006 4.00,"0,82436596","5,92738355","1,45981723"
06/01/2006 5.00,"0,73635478","5,39525483","1,44169216"
06/01/2006 6.00,"0,79140601","5,76774302","1,47326017"
06/01/2006 7.00,"0,64588856","5,59512766","1,50914683"
06/01/2006 8.00,"0,71180949","8,93325405","1,52352526"
06/01/2006 9.00,"0,75528929","11,81841616","1,60336271"
06/01/2006 10.00,"0,97514333","10,92937631","1,6359897"
06/01/2006 11.00,"1,65855004","9,36804094","1,47419683"
06/01/2006 12.00,"7,04269449","16,28050983","1,35790303"
06/01/2006 13.00,"8,27871459","14,76199561","1,33158918"
06/01/2006 14.00,"6,20290064","14,84375655","1,36291253"
06/01/2006 15.00,"6,38172992","12,20518126","1,37782104"
06/01/2006 16.00,"4,35325121","9,35765878","1,32209792"
06/01/2006 17.00,"4,14286544","11,09550426","1,36022488"
06/01/2006 18.00,"2,64386032","8,60748749","1,38747539"
06/01/2006 19.00,"2,04741423","9,9585717","1,48881991"
06/01/2006 20.00,"1,73253578","22,4895176","1,67994165"
06/01/2006 21.00,"1,38294304","35,20865784","1,89407797"
06/01/2006 22.00,"1,2500486","32,64277296","1,85472893"
06/01/2006 23.00,"1,2265559","24,1702612","1,74931041"
07/01/2006 0.00,"1,2002573","22,38697704","1,69965578"
07/01/2006 1.00,"1,14976427","15,4862115","1,63790379"
07/01/2006 2.00,"0,99092209","13,3057839","1,56185492"
07/01/2006 3.00,"0,88362554","12,41803657","1,582303"
07/01/2006 4.00,"0,79982168","12,83725022","1,56625396"
07/01/2006 5.00,"0,71251122","9,39010542","1,5028733"
07/01/2006 6.00,"0,81069138","8,01436023","1,5028733"
07/01/2006 7.00,"0,89765098","8,2181259","1,52022598"
07/01/2006 8.00,"0,74722448","13,06567686","1,53989933"
07/01/2006 9.00,"0,87556073","19,74451656","1,68136645"
07/01/2006 10.00,"1,0326496","16,28959183","1,6644623"
07/01/2006 11.00,"1,45552633","13,0241463","1,53012382"
07/01/2006 12.00,"1,93801351","12,92550049","1,49028664"
07/01/2006 13.00,"2,16312646","16,99043926","1,50865753"
07/01/2006 14.00,"3,14352869","15,16822678","1,48572334"
07/01/2006 15.00,"5,78212706","19,82239232","1,40352443"
07/01/2006 16.00,"3,49767962","8,5023619","1,38999995"
07/01/2006 17.00,"3,13651546","11,76649962","1,39855454"
07/01/2006 18.00,"2,31916375","11,3356113","1,41879875"
07/01/2006 19.00,"1,88120897","12,43491188","1,54605053"
07/01/2006 20.00,"1,69852323","14,76458828","1,67073582"
07/01/2006 21.00,"1,40608589","16,5193129","1,65664282"
07/01/2006 22.00,"1,29142525","25,36300504","1,88495253"
07/01/2006 23.00,"1,14450536","28,86726128","1,8503695"
08/01/2006 0.00,"1,24549041","20,90611392","1,839535"
08/01/2006 1.00,,"23,07615744","1,85273212"
08/01/2006 2.00,"0,8357706",,"1,72328198"
08/01/2006 3.00,"0,87230429","12,43230774",
08/01/2006 4.00,"0,89211952","12,49720484","1,41203709"
08/01/2006 5.00,"0,74164928","11,93912646","1,36910684"
08/01/2006 6.00,"0,80702103","10,98258727","1,36890296"
08/01/2006 7.00,"0,73899593","10,21554832","1,37922952"
08/01/2006 8.00,"0,72546068","12,20518126","1,42146893"
08/01/2006 9.00,"0,77473331","14,28827275","1,43130735"
08/01/2006 10.00,"1,17510384","10,99297134","1,4251678"
08/01/2006 11.00,"1,59033477","11,90148109","1,37093589"
08/01/2006 12.00,"2,5894915","12,52836088","1,23970563"
08/01/2006 13.00,"2,92802741","9,80153149","1,15091748"
08/01/2006 14.00,"3,02002625","10,89952426","1,08135883"
08/01/2006 15.00,"3,38094328","10,79829342","1,10014212"
08/01/2006 16.00,"2,85372132","9,92353047","1,12892345"
08/01/2006 17.00,"2,59541756","11,9546997","1,21754966"
08/01/2006 18.00,"1,99035138","16,49594634","1,38585604"
08/01/2006 19.00,"1,54221236","26,70890008","1,76548178"
08/01/2006 20.00,"1,1810299","36,46371376","1,8962239"
08/01/2006 21.00,"0,95926084","45,29701992","2,20023298"
08/01/2006 22.00,"0,96801823","62,92472304","2,6208772"
08/01/2006 23.00,"0,98040326","56,1355552","2,43907313"
09/01/2006 0.00,"0,98013782","42,04195464","2,22698255"
09/01/2006 1.00,"0,81905214","29,12553424","1,83255898"
09/01/2006 2.00,"0,66000046","47,86680528","1,81166354"
09/01/2006 3.00,"0,7005157","49,20231816","1,80487509"
09/01/2006 4.00,"0,57959033","23,08133896","1,5855883"
09/01/2006 5.00,"0,5581835","18,8204374","1,41947678"
09/01/2006 6.00,"0,61709729","26,3195404","1,46968362"
09/01/2006 7.00,"0,65743558","44,2963556","1,45891086"
09/01/2006 8.00,"0,64451968","20,6283768","1,47749028"
09/01/2006 9.00,"1,32353906","104,0516136","2,13002426"
09/01/2006 10.00,"1,32380449","92,9808468","2,14661036"
09/01/2006 11.00,"1,09363197","23,84059416","1,36581455"
09/01/2006 12.00,"2,67671247","11,73276047","1,13815258"
09/01/2006 13.00,"4,30269716","6,57112718","1,03355072"
09/01/2006 14.00,"5,25098864","5,95204262","0,99627072"
09/01/2006 15.00,"5,36598591","5,8352328","1,0160699"
09/01/2006 16.00,"5,27929582","5,50557341","0,99627072"
09/01/2006 17.00,"3,74893659","6,56593419","1,01728965"
09/01/2006 18.00,"2,07934193","16,60627066","1,11920851"
09/01/2006 19.00,"1,37113059","21,9262424","1,40126317"
09/01/2006 20.00,"1,07213564","17,41224749","1,34186914"
09/01/2006 21.00,"0,83382508","15,74448254","1,41715959"
09/01/2006 22.00,"0,84497038","26,17157072","1,88484069"
09/01/2006 23.00,"0,71325363","18,47131002","1,61258135"
10/01/2006 0.00,"0,7440372","7,29923208","1,28267665"
10/01/2006 1.00,,"5,30570058","1,20978377"
10/01/2006 2.00,"1,41781801",,"1,14969773"
10/01/2006 3.00,"1,20149295","3,61846765",
10/01/2006 4.00,"1,10893375","5,23561622","1,25622649"
10/01/2006 5.00,"0,85643604","4,67623194","1,29206888"
10/01/2006 6.00,"0,93693769","4,84495638","1,31742045"
10/01/2006 7.00,"0,84898855","5,63146714","1,34273124"
10/01/2006 8.00,"0,81352576","31,30207856","1,61187653"
10/01/2006 9.00,"1,09545748","79,18058528","2,23397954"
10/01/2006 10.00,"1,35753126","44,548166","1,81815492"
10/01/2006 11.00,"2,3675221","6,07923268","1,26684197"
10/01/2006 12.00,"2,36184826","4,40887315","1,17494794"
10/01/2006 13.00,"2,40014848","3,77550977","1,11469414"
10/01/2006 14.00,"2,66576752","3,68595742","1,07293122"
10/01/2006 15.00,"2,01962877","4,26221128","1,0397427"
10/01/2006 16.00,"2,13204694","3,68076634","1,04590671"
10/01/2006 17.00,"1,95969595","4,82159556","1,10322238"
10/01/2006 18.00,"1,58024003","9,0682336","1,27280095"
10/01/2006 19.00,"1,25681572","7,72104031","1,20830072"
10/01/2006 20.00,"0,92381636","11,2707142","1,2796593"
10/01/2006 21.00,"0,93587391","9,80153149","1,29696887"
10/01/2006 22.00,"0,95537794","11,7029065","1,29839716"
10/01/2006 23.00,"0,84366964","4,49063792","1,25753362"
11/01/2006 0.00,"0,82274588","2,78653159","1,26606492"
11/01/2006 1.00,"0,85820867","3,71061649","1,26353454"
11/01/2006 2.00,"0,95005903","2,42702014","1,22311952"
11/01/2006 3.00,"0,81600826","4,7800631","1,24136808"
11/01/2006 4.00,"0,6606788","2,3945735","1,25553332"
11/01/2006 5.00,"0,792602","3,63014806","1,27406614"
11/01/2006 6.00,"0,84189599","6,15321178","1,25826757"
11/01/2006 7.00,"0,71032772","8,48808309","1,28582332"
11/01/2006 8.00,"0,66493494","10,73080173","1,35354826"
11/01/2006 9.00,"0,77451567","10,55169704","1,38012541"
11/01/2006 10.00,"1,24440323","12,22725338","1,49479636"
11/01/2006 11.00,"1,63733542","6,12206339","1,27516939"
11/01/2006 12.00,"1,90543696","4,67623194","1,10693757"
11/01/2006 13.00,"2,01750121","4,495829","1,09415985"
11/01/2006 14.00,"2,23134377","3,8728516","1,04778469"
11/01/2006 15.00,"2,42851871","4,82419014","1,04864213"
11/01/2006 16.00,"2,42426358","4,71257332","1,06207225"
11/01/2006 17.00,"1,890543","6,64121154","1,14894514"
11/01/2006 18.00,"2,04693522","11,43165298","1,21172932"
11/01/2006 19.00,"1,82635403","15,03973655","1,51308569"
11/01/2006 20.00,"1,81855262","36,3793372","1,841752"
11/01/2006 21.00,"1,49938344","47,8174948","1,93972617"
11/01/2006 22.00,"1,51463234","35,816062","1,84179277"
11/01/2006 23.00,"1,42668421","11,58350975","1,36056972"
12/01/2006 0.00,"1,81926147","5,51206274","1,25067527"
12/01/2006 1.00,,"5,4315943","1,23238593"
12/01/2006 2.00,"1,32151014",,"1,31864603"
12/01/2006 3.00,"1,68088641","7,6522542",
12/01/2006 4.00,"1,89608972","6,82161639","1,24301772"
12/01/2006 5.00,"2,19922894","4,81899906","1,30178615"
12/01/2006 6.00,"1,87753964","3,83002089","1,29909267"
12/01/2006 7.00,"1,90031637","7,03965705","1,3017046"
12/01/2006 8.00,"1,62805428","12,05982528","1,43226032"
12/01/2006 9.00,"1,86521156","15,35641538","1,51261853"
12/01/2006 10.00,"2,94275459","6,99942474","1,43687256"
12/01/2006 11.00,"3,43937705","4,06753144","1,3399865"
12/01/2006 12.00,"3,89021213","3,84948887","1,30656148"
12/01/2006 13.00,"4,23186006","4,52178631","1,35137204"
12/01/2006 14.00,"4,34456908","4,12723364","1,35431017"
12/01/2006 15.00,"4,57703087","5,3005095","1,33676178"
12/01/2006 16.00,"4,49602072","4,85274395","1,35129049"
12/01/2006 17.00,"4,34809095","4,54255254","1,36553378"
12/01/2006 18.00,"3,5908297","4,58538134","1,32635483"
12/01/2006 19.00,"2,97445346","6,00136074","1,31423417"
12/01/2006 20.00,"2,8969662","10,49459134","1,30680613"
12/01/2006 21.00,"2,68739911","13,85477838","1,36226829"
12/01/2006 22.00,"2,03345285","11,25644303","1,30509242"
12/01/2006 23.00,"1,8804747","15,19159333","1,3630034"
13/01/2006 0.00,"1,58027054","24,37792352","1,68112879"
13/01/2006 1.00,"1,39418394","46,79736632","2,72541149"
13/01/2006 2.00,"1,17710224","37,803108","2,61256726"
13/01/2006 3.00,"1,06791509","23,55377504","1,81380598"
13/01/2006 4.00,"1,02036627","12,86710227","1,4604207"
13/01/2006 5.00,"1,14375888","8,590616","1,38973549"
13/01/2006 6.00,"1,25482342","10,38167626","1,37287911"
13/01/2006 7.00,"1,12579561","6,14931895","1,36769719"
13/01/2006 8.00,"0,95602882","12,60752724","1,45156437"
13/01/2006 9.00,"1,06967653","18,53231047","1,51155721"
13/01/2006 10.00,"1,81355406","19,8600396","1,48560101"
13/01/2006 11.00,"2,79658525","12,29603567","1,37226865"
13/01/2006 12.00,"3,63485665","4,83067947","1,27485018"
13/01/2006 13.00,"3,71938766","6,17527626","1,23571317"
13/01/2006 14.00,"3,42176667","4,67753018","1,19910538"
13/01/2006 15.00,"3,03256891","4,5386578","1,24081471"
13/01/2006 16.00,"2,81325693","4,20121274","1,20824597"
13/01/2006 17.00,"2,38555046","4,52048806","1,28725743"
13/01/2006 18.00,"1,98332086","8,56855343","1,34680175"
13/01/2006 19.00,"1,59623744","14,94499695","1,49274363"
13/01/2006 20.00,"1,5772175","10,25189162","1,46262488"
13/01/2006 21.00,"1,45793459","8,36997885","1,43862705"
13/01/2006 22.00,"1,39371409","6,16619044","1,39202006"
13/01/2006 23.00,"1,32726229","6,21161574","1,41699649"
14/01/2006 0.00,"1,0234193","7,98061726","1,47225594"
14/01/2006 1.00,,"6,70740307","1,47001098"
14/01/2006 2.00,"0,57050446",,"1,42764809"
14/01/2006 3.00,"0,59518501","5,24470204",
14/01/2006 4.00,"0,55730176","7,56919118","1,32049139"
14/01/2006 5.00,"0,48141729","4,68012668","1,27838479"
14/01/2006 6.00,"0,59500602","8,27004243","1,3499589"
14/01/2006 7.00,"0,58697782","10,72690698","1,35914492"
14/01/2006 8.00,"0,54219626","51,86686224","1,6673049"
14/01/2006 9.00,"0,64484309","107,82068184","2,43307454"
14/01/2006 10.00,"0,96223862","88,05672024","2,2293673"
14/01/2006 11.00,"1,6636981","21,47457064","1,52757247"
14/01/2006 12.00,"2,38496162","5,77423235","1,23542425"
14/01/2006 13.00,"3,02409628","4,72685022","1,19482167"
14/01/2006 14.00,"3,42374067","5,36670102","1,17608498"
14/01/2006 15.00,"3,03836886","4,72555198","1,15494955"
14/01/2006 16.00,"3,04372133","3,86895686","1,14271588"
14/01/2006 17.00,"2,55130214","5,61459374","1,17409283"
14/01/2006 18.00,"2,08261158","9,49134008","1,24135876"
14/01/2006 19.00,"1,3348247","51,6838456","1,85308745"
14/01/2006 20.00,"1,2380063","126,89156256","2,55346215"
14/01/2006 21.00,"1,10895409","68,22782712","2,37804227"
14/01/2006 22.00,"1,35171402","51,01284832","2,24769741"
14/01/2006 23.00,"1,13708329","45,45147128","2,13454562"
15/01/2006 0.00,"0,83390135","28,51162928","1,94567466"
15/01/2006 1.00,"0,77020766","34,24304048","2,00383612"
15/01/2006 2.00,"0,62581197","82,23705112","2,3233362"
15/01/2006 3.00,"0,67005859","73,79050432","2,43295338"
15/01/2006 4.00,"0,50984346","33,93155656","1,95733864"
15/01/2006 5.00,"0,47969246","30,41043648","1,80606222"
15/01/2006 6.00,"0,43068831","25,50835528","1,76464647"
15/01/2006 7.00,"0,40012034","22,52454544","1,65316063"
15/01/2006 8.00,"0,45721167","31,23976648","1,58305093"
15/01/2006 9.00,"0,46042336","46,9479172","1,68551268"
15/01/2006 10.00,"0,7758571","68,6781796","1,79671426"
15/01/2006 11.00,"1,56444195","37,42283032","1,58219699"
15/01/2006 12.00,"2,32114995","14,44141822","1,35109594"
15/01/2006 13.00,"2,83456206","8,91508431","1,25643736"
15/01/2006 14.00,"2,8421143","9,04357262","1,20949368"
15/01/2006 15.00,"2,37122398","7,53804088","1,20965562"
15/01/2006 16.00,"2,28368265","10,2259343","1,22709217"
15/01/2006 17.00,"2,14023887","15,93397513","1,40295708"
15/01/2006 18.00,"1,77889369","23,19816216","1,53033585"
15/01/2006 19.00,"1,53803656","28,80624936","1,67555659"
15/01/2006 20.00,"1,38388784","34,00943232","1,77415753"
15/01/2006 21.00,"1,43217805","39,57340968","1,78114753"
15/01/2006 22.00,"1,35599559","36,15481104","1,64905634"
15/01/2006 23.00,"1,19328373","74,85994328","1,83439153"
16/01/2006 0.00,"1,30163999","109,41318664","2,18274983"
16/01/2006 1.00,,"89,63232296","2,60341269"
16/01/2006 2.00,"0,84640435",,"2,81768648"
16/01/2006 3.00,"1,37384191","82,45769592",
16/01/2006 4.00,"0,77402955","100,35277312","2,67662012"
16/01/2006 5.00,"0,43666726","64,60416648","2,28538749"
16/01/2006 6.00,"0,30316872","47,69288976","1,87320001"
16/01/2006 7.00,"0,27960483","25,32017624","1,80895026"
16/01/2006 8.00,"0,35236304","84,07614656","2,14801885"
16/01/2006 9.00,"1,04770018","87,07423904","2,76927024"
16/01/2006 10.00,"1,10722926","149,0826552","2,39244167"
16/01/2006 11.00,"2,35657918","117,09139624","2,11701237"
16/01/2006 12.00,"3,35207268","39,98093336","1,46520303"
16/01/2006 13.00,"2,97815331","10,43748754","1,27615731"
16/01/2006 14.00,"2,99950319","7,34465929","1,24055375"
16/01/2006 15.00,"2,54585712","8,53610488","1,25333147"
16/01/2006 16.00,"2,54641748","7,84693404","1,25446967"
16/01/2006 17.00,"2,72488776","9,57570134","1,33125249"
16/01/2006 18.00,"1,78827449","18,12737755","1,3843928"
16/01/2006 19.00,"1,15615814","45,57865752","1,56505518"
16/01/2006 20.00,"0,6448136","63,91630536","1,82066899"
16/01/2006 21.00,"1,62238349","97,86994552","3,07607066"
16/01/2006 22.00,"1,49520357","142,62443544","3,15582307"
16/01/2006 23.00,"0,58516553","72,96375552","2,08934362"
17/01/2006 0.00,"0,47393217","118,11540608","2,48305887"
17/01/2006 1.00,"0,62496989","103,38321664","2,60899304"
17/01/2006 2.00,"0,49619633","134,61260096","2,49697479"
17/01/2006 3.00,"0,52330345","103,09901696","3,0812386"
17/01/2006 4.00,"0,45178598","83,87498504","2,93837698"
17/01/2006 5.00,"0,34117197","72,55105032","2,72023889"
17/01/2006 6.00,"0,27316823","78,153956","2,51011716"
17/01/2006 7.00,"0,43362541","77,28957904","2,57070415"
17/01/2006 8.00,"0,33187049","117,3989988","2,78631885"
17/01/2006 9.00,"1,35329037","89,96329016","3,24131193"
17/01/2006 10.00,"1,86947788","204,1811416","3,16204883"
17/01/2006 11.00,"0,69575004","142,80743296","1,97508625"
17/01/2006 12.00,"1,86118017","44,87781392","1,50959535"
17/01/2006 13.00,"2,45251686","21,55114624","1,29109028"
17/01/2006 14.00,"2,39806668","15,5900331","1,25117389"
17/01/2006 15.00,"1,70199221","11,71847783","1,19205247"
17/01/2006 16.00,"1,40275013","11,71588325","1,18847126"
17/01/2006 17.00,"1,18518434","16,92813865","1,22224461"
17/01/2006 18.00,"1,10817405","32,24691248","1,29202694"
17/01/2006 19.00,"0,785782","76,97419464","1,71670556"
17/01/2006 20.00,"0,73298546","85,6880964","2,00995819"
17/01/2006 21.00,"0,50440556","60,62749328","1,85960912"
17/01/2006 22.00,"0,60940877","48,69743544","1,76297004"
17/01/2006 23.00,"0,51940631","31,24756744","1,6821202"
18/01/2006 0.00,"0,4406539","31,81732432","1,75483251"
18/01/2006 1.00,,"26,99831952","1,75275765"
18/01/2006 2.00,"1,09306652",,"1,61095385"
18/01/2006 3.00,"0,93972122","13,08125201",
18/01/2006 4.00,"1,08183782","8,26095661","1,40205886"
18/01/2006 5.00,"0,89761335","7,62629689","1,38297267"
18/01/2006 6.00,"0,90463167","8,45563645","1,34935776"
18/01/2006 7.00,"1,09306652","12,63737165","1,37841402"
18/01/2006 8.00,"1,01376289","22,45058928","1,42440007"
18/01/2006 9.00,"1,02428986","48,05112208","1,59259228"
18/01/2006 10.00,"1,00323491","50,71564704","1,54379859"
18/01/2006 11.00,"0,87199716","45,37101432","1,48454669"
18/01/2006 12.00,"0,98183011","29,80561352","1,38484366"
18/01/2006 13.00,"1,56082244","11,0539737","1,16867441"
18/01/2006 14.00,"1,62293267","10,35312246","1,13127558"
18/01/2006 15.00,"1,42221551","11,20452458","1,15968061"
18/01/2006 16.00,"1,44642723","9,78725458","1,13095055"
18/01/2006 17.00,"1,28992415","9,33819079","1,1586624"
18/01/2006 18.00,"1,18956558","11,87682394","1,1262288"
18/01/2006 19.00,"1,23307792","16,38953016","1,1714809"
18/01/2006 20.00,"1,19728562","16,57512609","1,21111886"
18/01/2006 21.00,"1,22184923","11,32912006","1,1886961"
18/01/2006 22.00,"1,19658389","9,81580648","1,17603954"
18/01/2006 23.00,"1,23377965","8,64382887","1,19129988"
19/01/2006 0.00,"1,27448406","6,8527667","1,12871142"
19/01/2006 1.00,"1,04043168","4,77616835","1,155447"
19/01/2006 2.00,"1,10008483","5,40823349","1,15540623"
19/01/2006 3.00,"1,13061314","5,86638119","1,13990241"
19/01/2006 4.00,"1,02323726","4,66325519","1,12228178"
19/01/2006 5.00,"1,05692335","4,21548965","1,12785747"
19/01/2006 6.00,"1,07025826","6,52959472","1,20330404"
19/01/2006 7.00,"1,01270928","7,8170839","1,25588282"
19/01/2006 8.00,"1,03376423","12,31680573","1,25331865"
19/01/2006 9.00,"0,91726383","16,97226378","1,30500155"
19/01/2006 10.00,"0,9470904","11,18895326","1,33023195"
19/01/2006 11.00,"0,96007444","6,92285106","1,32046459"
19/01/2006 12.00,"1,22009388","5,90142433","1,31773849"
19/01/2006 13.00,"1,18710952","5,65093512","1,30150189"
19/01/2006 14.00,"1,19167077","5,28493434","1,2899847"
19/01/2006 15.00,"1,24465748","5,1214029","1,31835012"
19/01/2006 16.00,"1,32115419","4,8994675","1,32205249"
19/01/2006 17.00,"1,49204477","5,391362","1,37572986"
19/01/2006 18.00,"1,50678313","5,56657386","1,39851843"
19/01/2006 19.00,"1,5622259","6,14153138","1,45724025"
19/01/2006 20.00,"1,61872127","5,59382942","1,4012853"
19/01/2006 21.00,"1,18640779","5,84561687","1,44609004"
19/01/2006 22.00,"1,38747581","6,00914832","1,46900093"
