, Brindisi,,,,,,
,Filzi,,,,,,
Parm,SO2,NO2,NOX,CO,O3,,Benzene
,,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
04/01/2010 17.00,,"24,085464","30,00679416","0,55456447","44,32317435",,"1,62464631"
04/01/2010 18.00,,"25,60162264","29,63261576","0,98270663","45,33068925",,"2,14158335"
04/01/2010 19.00,,"29,04314616","34,28548688","0,91673967","29,42834475",,"2,60361458"
04/01/2010 20.00,,"28,12033848","34,81985264","0,79330209","31,092873",,"2,08667653"
04/01/2010 21.00,,"22,58615008","36,21410216","0,6928989","41,1003516",,"1,41602198"
04/01/2010 22.00,,"25,57374568","36,58699952","0,74179628","37,44174105",,"1,54652241"
04/01/2010 23.00,,"27,81619664","39,98378224","0,72682137","30,43450305",,"1,6428018"
05/01/2010 0.00,,"23,85330896","30,34271344","0,38637691","40,7403738",,"1,51439233"
05/01/2010 1.00,,"13,24664957","18,66346602","0,3350307","53,4983988",,"0,82866279"
05/01/2010 2.00,,"15,46253138","19,59792352","0,37128317","49,42706265",,"0,93011362"
05/01/2010 3.00,,"24,0640496","27,15734056","0,60782827","33,99090975",,"0,75405974"
05/01/2010 4.00,,"30,098226","34,68886152","0,84942946","28,38699465",,"1,61210162"
05/01/2010 5.00,,"8,61839736","9,58983102","0,12306361","49,50961575",,"0,66889412"
05/01/2010 6.00,,"19,20299992","24,63472424","0,31250776","27,0296565",,"0,50868509"
05/01/2010 7.00,,"21,81444776","25,62431808","0,28125314","25,67164005",,"0,95168012"
05/01/2010 8.00,,"27,1443772","33,26350376","0,35265366","18,98173074",,"1,13972749"
05/01/2010 9.00,,"35,34383624","45,81819288","0,23314679","18,39373242",,"0,93143471"
05/01/2010 10.00,,"55,57340808","111,0359202","1,47655945","3,44950064",,"1,31644141"
05/01/2010 11.00,,"30,34854504","45,85972152","0,60474568","30,76200225",,"2,10956412"
05/01/2010 12.00,"0,65018437","30,08461256","46,95696096","0,68290203","34,1850831",,"1,18561148"
05/01/2010 13.00,"0,65831224","29,7156348","48,7247388","0,78933061","36,33004725",,"1,8824548"
05/01/2010 14.00,"0,7179125","24,42201424","36,55260264","0,2327705","51,6328743",,"1,28530189"
05/01/2010 15.00,"0,88677925","21,47399704","31,64421184","0,24531638","61,90223655",,"0,98579132"
05/01/2010 16.00,"0,91928867","18,1621836","26,1593148","0,13130133","66,95333715",,"1,00537671"
05/01/2010 17.00,"0,99875604","11,33166685","15,05333661","0,06100756","75,4444761",,"0,72765231"
05/01/2010 18.00,"0,86510698","12,04500346","16,40802685","0,09540418","77,0961366",,"0,47567531"
05/01/2010 19.00,"1,18929607","11,84915921","18,03637782","0,20106153","78,2403489",,"0,47655501"
05/01/2010 20.00,"1,27689028","15,35099294","25,36686728","0,12529575","74,69679",,"0,80093428"
05/01/2010 21.00,"1,19652084","17,27245926","28,25458","0,16297069","71,5768095",,"1,07370792"
05/01/2010 22.00,"1,41505482","14,48201954","22,35594528","0,10162761","74,1967233",,"0,66207209"
05/01/2010 23.00,"1,39247843","14,84193059","24,63992488","0,04101499","72,10390845",,"0,58922946"
06/01/2010 0.00,"1,33919984","11,28497581","17,31331296","0,03125462","75,2157693",,"0,46500189"
06/01/2010 1.00,"1,52161303","7,38432564","11,1967829","0,02941742","75,2719086",,"0,27915531"
06/01/2010 2.00,"1,46110966","6,22158682","7,45241578","0,03054397","74,2556157",,"0,20180128"
06/01/2010 3.00,"1,25612111","8,28247999","12,95029148","0,02852852","71,1836748",,"0,14766535"
06/01/2010 4.00,"1,55863691","5,21124395","6,92130616","0,02961547","70,99488795",,"0,11971616"
06/01/2010 5.00,"1,83767425","4,98427426","5,97905344","0,03119521","67,4736531",,"0,09429827"
06/01/2010 6.00,"1,78620185","5,08154726","6,01536806","0,03141306","68,4588639",,"0,13061026"
06/01/2010 7.00,"1,78891114","9,46532158","12,96131607","0,02925898",,,"0,12191694"
06/01/2010 8.00,"1,69951073","14,56826794","16,09610508","0,03277611","45,6378594",,"0,17000172"
06/01/2010 9.00,"1,62726814","19,03829068","21,06611008","0,15745907","31,7546145",,"0,38016579"
06/01/2010 10.00,"1,40150939","13,93664066","15,71544309","0,05120874","39,6766797",,"0,36090991"
06/01/2010 11.00,"1,72027991","21,85012568","37,18166976","0,29231714","34,14113325",,"1,08614176"
06/01/2010 12.00,"1,25612111","16,96118757","25,34417184","0,22798934","44,94633255",,"1,39632575"
06/01/2010 13.00,"1,76904404","17,90992197","30,00419384","0,24535599","54,4504128",,"0,84230686"
06/01/2010 14.00,"1,37080616","17,01695678","29,81679872","0,16449218","64,2000975",,"1,64401203"
06/01/2010 15.00,"1,24889634","18,15959093","28,13915256","0,1471861","71,72972625",,"0,76099262"
06/01/2010 16.00,"1,6137217","18,48253729","27,2221956","0,15415979","74,6764809",,"0,96444449"
06/01/2010 17.00,"1,56921371","10,0964441","14,36053679","0,08551217","81,0528999",,"0,59882791"
06/01/2010 18.00,"1,40241249","8,97441558","16,72124495","0,09323029","79,42104975",,"0,61519754"
06/01/2010 19.00,"1,19561774","18,97538779","27,70466968","0,12217355","71,62618575",,"0,76176249"
06/01/2010 20.00,"1,21096936","23,56861216","36,37233928","0,27315289","64,6087932",,"1,27341824"
06/01/2010 21.00,"1,06196869","23,6665448","33,86786784","0,3429329","64,48632015",,"1,14732041"
06/01/2010 22.00,"0,95902185","31,25188856","43,42010512","0,64578047","59,1943233",,"1,54630172"
06/01/2010 23.00,"1,02042831","36,37297024","51,312822","0,61904955","48,3992187",,"1,68219326"
07/01/2010 0.00,"1,01320456","36,23614752","50,1851244","0,61308358","45,4098309",,"1,34284985"
07/01/2010 1.00,"0,94547642","20,88322728","27,56524664","0,21996831","64,11145965",,"0,77892742"
07/01/2010 2.00,"0,74500335","16,61619011","24,07573192","0,09933606","65,52360045",,"0,42968148"
07/01/2010 3.00,"0,81995523","10,67215686","14,81793499","0,04678291","70,9921947",,"0,24284435"
07/01/2010 4.00,"0,78202724","5,53224581","6,53934592","0,03407975","75,7340703",,"0,20917351"
07/01/2010 5.00,"0,8976164","2,53428908","3,46810988","0,04111285","84,1480626",,"0,13545118"
07/01/2010 6.00,"0,80370052","5,99461712","6,97123804","0,08339187","73,7880675",,"0,12103724"
07/01/2010 7.00,"0,74590645","14,87759513","17,94429208","0,07691214","61,52669775",,"0,2536276"
07/01/2010 8.00,"0,66102152","16,50919077","18,11808714","0,18541441","52,0307571",,"0,27596397"
07/01/2010 9.00,"0,93012481","30,98990632","37,19398304","0,28405846","39,8925387",,"0,48480797"
07/01/2010 10.00,"0,77751277","36,87232728","49,5534952","0,64904014","30,0988842",,"0,74162589"
07/01/2010 11.00,"0,71610631","50,134552","85,98485792","1,14103595","19,63130474",,"1,50140829"
07/01/2010 12.00,"0,67727522","40,39360032","67,72929224","0,99134044","27,6927546",,"2,13916289"
07/01/2010 13.00,"0,67817831","29,88811632","49,7480412","0,66638583","42,9272529",,"1,69286667"
07/01/2010 14.00,"0,85878531","16,29512325","34,95856824","1,25441725","53,7503274",,"0,59517179"
07/01/2010 15.00,"0,6998516","23,85914056","36,7912776","0,22563837","65,68124535",,"0,6372044"
07/01/2010 16.00,"0,65018437","22,72299192","39,15630688","0,30905004","69,01708485",,"1,31545187"
07/01/2010 17.00,"0,65018437","15,47225963","21,97268488","0,09558126","82,31910645",,"0,7015744"
07/01/2010 18.00,"0,65018437","21,5829428","30,43997688","0,21475261","75,0053367",,"0,56172164"
07/01/2010 19.00,"0,64928128","32,73041904","45,53674648","1,07459484","55,2542382",,"1,17097787"
