Stat,Via Cappuccini,,,,,,  ,
,,,,,,,,,
Parm,SO2,NO2,NOX,CO,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,
08/01/2014 11.00,"4,0","18,7","27,8","1,0",,,,
08/01/2014 12.00,"4,2","15,2","25,9","1,0",,,,
08/01/2014 13.00,"3,8","19,7","31,6","1,1",,,,
08/01/2014 14.00,"3,8","15,9","24,9","1,0",,,,
08/01/2014 15.00,"3,9","10,2","16,4","1,0",,,,
08/01/2014 16.00,"3,9","13,0","18,7","1,0",,,,
08/01/2014 17.00,"3,8","18,0","24,1","1,0",,,,
08/01/2014 18.00,"3,6","18,4","24,6","1,0",,,,
08/01/2014 19.00,"3,6","18,7","25,6","1,1",,,,
08/01/2014 20.00,"3,6","21,1","31,4","1,1",,,,
08/01/2014 21.00,"3,8","24,0","37,2","1,1",,,,
08/01/2014 22.00,"4,0","13,4","19,6","1,0",,,,
08/01/2014 23.00,"3,7","8,3","11,5","1,0",,,,
09/01/2014 0.00,"3,8","6,6","9,5","1,0",,,,
09/01/2014 1.00,"3,6","8,1","11,0","1,0",,,,
09/01/2014 2.00,"3,6","9,2","12,2","1,0","8,1",,,
09/01/2014 3.00,"3,6","8,9","11,6","1,0",,,,
09/01/2014 4.00,"3,5","9,0","12,4","1,0","7,6",,,
09/01/2014 5.00,"3,8","8,9","11,6","1,0",,,,
09/01/2014 6.00,"3,7","10,8","15,0","1,0","21,5",,,
09/01/2014 7.00,"3,5","18,3","25,2","1,1",,,,
09/01/2014 8.00,"3,5","27,7","42,2","1,1","20,0",,,
09/01/2014 9.00,"3,9","45,9","89,6","1,3",,,,
09/01/2014 10.00,"3,7","24,7","39,6","1,1","14,9",,,
09/01/2014 11.00,"3,6","14,3","24,4","1,1",,,,
09/01/2014 12.00,"3,6","13,1","22,0","1,1","20,0",,,
09/01/2014 13.00,"3,6","13,6","23,3","1,1",,,,
09/01/2014 14.00,"3,6","13,6","21,7","1,1","11,0",,,
09/01/2014 15.00,"3,4","13,2","20,1","1,0",,,,
09/01/2014 16.00,"3,7","18,9","26,3","1,1","11,5",,,
09/01/2014 17.00,"4,0","32,2","42,2","1,2",,,,
09/01/2014 18.00,"4,1","61,0","91,4","1,3","11,5",,,
09/01/2014 19.00,"4,7","70,0","142,4","1,6",,,,
09/01/2014 20.00,"4,1","54,4","109,7","1,5","14,9",,,
09/01/2014 21.00,"4,7","62,9","129,5","1,7",,,,
09/01/2014 22.00,"4,4","56,1","118,6","1,5","13,2",,,
09/01/2014 23.00,"4,4","46,3","92,1","1,7",,,,
10/01/2014 0.00,"4,7","42,0","79,1","1,8","24,7",,,
10/01/2014 1.00,,"38,5","61,6","1,7",,,,
10/01/2014 2.00,"4,5",,,"1,7","47,6",,,
10/01/2014 3.00,"4,3","21,7","31,7",,,,,
10/01/2014 4.00,"4,2","17,9","22,7","1,2","42,2",,,
10/01/2014 5.00,"4,1","19,1","23,9","1,1",,,,
10/01/2014 6.00,"4,0","24,3","31,6","1,1","40,0",,,
10/01/2014 7.00,"3,7","39,3","56,9","1,3",,,,
10/01/2014 8.00,"4,1","69,9","133,7","1,5","31,3",,,
10/01/2014 9.00,"5,7","86,0","246,0","2,4",,,,
10/01/2014 10.00,"4,5","53,7","95,9","1,7","36,4",,,
10/01/2014 11.00,"3,7","38,5","61,8","1,4",,,,
10/01/2014 12.00,"3,9","30,3","52,0","1,3","36,9",,,
10/01/2014 13.00,"3,7","30,2","49,0","1,3",,,,
10/01/2014 14.00,"3,9","32,2","54,5","1,3","23,9",,,
10/01/2014 15.00,"4,0","28,3","42,9","1,1",,,,
10/01/2014 16.00,"3,9","38,0","55,8","1,2","17,8",,,
10/01/2014 17.00,"4,5","64,2","106,3","1,5",,,,
10/01/2014 18.00,"5,7","87,6","198,2","1,8","13,4",,,
10/01/2014 19.00,"5,6","102,7","272,8","2,1",,,,
10/01/2014 20.00,"5,2","91,9","201,4","1,7","21,0",,,
10/01/2014 21.00,"5,3","83,5","210,6","1,7",,,,
10/01/2014 22.00,"5,3","69,8","180,2","1,9","33,2",,,
10/01/2014 23.00,"4,8","57,1","114,0","1,7",,,,
11/01/2014 0.00,"4,3","38,2","65,2","1,5","35,9",,,
11/01/2014 1.00,"4,1","31,9","52,6","1,4",,,,
11/01/2014 2.00,"4,2","23,4","36,5","1,3","44,4",,,
11/01/2014 3.00,"4,3","27,6","43,2","1,4",,,,
11/01/2014 4.00,"4,3","30,9","54,4","1,4","42,7",,,
11/01/2014 5.00,"4,1","27,9","46,0","1,4",,,,
11/01/2014 6.00,"4,0","24,5","47,1","1,3","43,2",,,
11/01/2014 7.00,"5,0","42,0","121,2","1,5",,,,
11/01/2014 8.00,"5,0","46,2","140,3","1,5","37,6",,,
11/01/2014 9.00,"5,5","54,1","182,0","1,9",,,,
11/01/2014 10.00,"5,1","54,8","147,3","1,7","36,4",,,
11/01/2014 11.00,"4,2","35,8","61,6","1,2",,,,
11/01/2014 12.00,"4,1","18,5","30,3","1,1","46,2",,,
11/01/2014 13.00,"4,0","28,4","46,6","1,2",,,,
11/01/2014 14.00,"3,9","26,3","40,2","1,3","36,1",,,
11/01/2014 15.00,"3,7","15,1","21,4","1,1",,,,
11/01/2014 16.00,"3,7","23,9","30,9","1,2","31,7",,,
11/01/2014 17.00,"3,9","43,5","63,6","1,4",,,,
11/01/2014 18.00,"6,5","91,4","343,3","2,4","20,8",,,
11/01/2014 19.00,"7,7","104,0","468,8","2,8",,,,
11/01/2014 20.00,"7,9","100,9","452,2","2,8","27,6",,,
11/01/2014 21.00,"6,2","85,2","305,0","2,1",,,,
11/01/2014 22.00,"5,2","71,0","204,2","1,9","41,8",,,
11/01/2014 23.00,"4,8","51,2","138,7","1,7",,,,
12/01/2014 0.00,"4,4","42,6","88,1","1,7","44,0",,,
12/01/2014 1.00,,"46,4","97,7","1,6",,,,
12/01/2014 2.00,"4,1",,,"1,5","43,5",,,
12/01/2014 3.00,"3,8","38,1","59,6",,,,,
12/01/2014 4.00,"4,2","32,5","53,6","1,4","50,5",,,
12/01/2014 5.00,"3,9","34,1","54,9","1,4",,,,
12/01/2014 6.00,"3,6","29,8","48,5","1,5","39,6",,,
12/01/2014 7.00,"3,8","34,9","60,6","1,6",,,,
12/01/2014 8.00,"3,9","29,1","64,9","1,6","42,0",,,
12/01/2014 9.00,"4,3","30,0","58,7","1,5",,,,
12/01/2014 10.00,"4,1","38,7","66,8","1,4","38,6",,,
12/01/2014 11.00,"3,6","24,9","37,4","1,2",,,,
12/01/2014 12.00,"3,9","23,5","36,8","1,2","50,5",,,
12/01/2014 13.00,"3,8","14,6","23,8","1,1",,,,
12/01/2014 14.00,"3,8","9,0","15,3","1,0","26,4",,,
12/01/2014 15.00,"3,6","8,7","12,9","1,0",,,,
12/01/2014 16.00,"3,9","12,1","16,8","1,1","14,2",,,
12/01/2014 17.00,"3,9","28,0","41,5","1,2",,,,
12/01/2014 18.00,"3,9","31,2","44,9","1,2","14,4",,,
12/01/2014 19.00,"3,9","38,1","55,0","1,3",,,,
12/01/2014 20.00,"3,6","30,9","44,0","1,2","25,4",,,
12/01/2014 21.00,"3,5","30,8","42,7","1,2",,,,
12/01/2014 22.00,"3,7","35,2","51,8","1,3","19,3",,,
12/01/2014 23.00,"3,9","26,1","35,5","1,3",,,,
13/01/2014 0.00,"3,7","17,2","21,9","1,2","31,5",,,
13/01/2014 1.00,"3,7","18,8","24,7","1,2",,,,
13/01/2014 2.00,"3,6","13,7","18,0","1,2","38,3",,,
13/01/2014 3.00,"3,5","10,1","13,9","1,1",,,,
13/01/2014 4.00,"3,7","11,3","14,8","1,1","33,0",,,
13/01/2014 5.00,"3,6","11,2","14,2","1,1",,,,
13/01/2014 6.00,"3,6","18,8","24,4","1,1","34,2",,,
13/01/2014 7.00,"3,6","30,2","41,2","1,2",,,,
13/01/2014 8.00,"4,2","52,4","105,8","1,3","35,9",,,
13/01/2014 9.00,"4,2","48,5","91,5","1,3",,,,
13/01/2014 10.00,"3,9","36,2","64,1","1,2","30,3",,,
13/01/2014 11.00,"3,6","21,5","35,2","1,1",,,,
13/01/2014 12.00,"3,5","14,3","25,7","1,1","44,4",,,
13/01/2014 13.00,"3,5","14,0","25,9","1,1",,,,
13/01/2014 14.00,"3,4","20,5","33,5","1,1","29,8",,,
13/01/2014 15.00,"3,5","14,4","23,3","1,2",,,,
13/01/2014 16.00,"3,6","21,4","32,9","1,1","23,2",,,
13/01/2014 17.00,"3,5","36,3","58,6","1,3",,,,
13/01/2014 18.00,"4,1","69,5","123,9","1,6","15,4",,,
13/01/2014 19.00,"4,8","81,3","180,5","1,8",,,,
13/01/2014 20.00,"5,2","81,4","208,5","1,9","16,4",,,
13/01/2014 21.00,"6,3","95,8","369,5","2,2",,,,
13/01/2014 22.00,"5,2","79,1","199,1","1,8","22,5",,,
13/01/2014 23.00,"3,9","61,4","92,7","1,4",,,,
14/01/2014 0.00,"3,8","43,7","82,3","1,4","35,2",,,
14/01/2014 1.00,,"35,5","65,0","1,4",,,,
14/01/2014 2.00,"3,6",,,"1,2","38,1",,,
14/01/2014 3.00,"3,6","22,4","39,3",,,,,
14/01/2014 4.00,"3,3","13,6","17,0","1,1","30,5",,,
14/01/2014 5.00,"3,4","17,8","26,3","1,2",,,,
14/01/2014 6.00,"3,5","26,1","36,3","1,2","21,7",,,
14/01/2014 7.00,"3,3","32,8","49,1","1,2",,,,
14/01/2014 8.00,"3,6","41,0","68,1","1,3","20,3",,,
14/01/2014 9.00,"3,9","48,7","94,9","1,5",,,,
14/01/2014 10.00,"4,0","39,4","66,9","1,4","25,9",,,
