Stat,TA -S.VITO Colonia Marina,,,,,
Parm,SO2,NOX,NO2,PM10,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ng/m3
16/06/2014 11.00,"0,2",,,"23,1","0,2","5,3"
16/06/2014 12.00,"0,2",,,"23,1","0,2","5,2"
16/06/2014 13.00,"0,2",,,"23,1","0,2","5,3"
16/06/2014 14.00,"0,3",,,"23,1","0,2","3,3"
16/06/2014 15.00,"0,2",,,"23,1","0,2","4,2"
16/06/2014 16.00,"0,2",,,"23,1",,"8,6"
16/06/2014 17.00,"0,3","15,5","6,8","23,1",,"7,0"
16/06/2014 18.00,"0,4","16,3","8,9","23,1","0,3","12,5"
16/06/2014 19.00,"0,5","14,6","8,4","23,1","0,3","10,0"
16/06/2014 20.00,"0,4","14,5","8,4","23,1","0,3","8,7"
16/06/2014 21.00,"0,4","13,4","7,4","23,1","0,3","6,4"
16/06/2014 22.00,"0,3","11,7","6,2","23,1","0,3","5,5"
16/06/2014 23.00,"0,4","11,8","6,6","23,1","0,3","4,6"
17/06/2014 0.00,"0,3","12,9","7,7","23,1","0,3","5,5"
17/06/2014 1.00,,"12,6","7,8","22,5","0,3","4,9"
17/06/2014 2.00,"0,4",,,"22,5","0,3","1,8"
17/06/2014 3.00,"0,5","10,6","4,5","22,5",,"2,7"
17/06/2014 4.00,"0,6","11,9","5,4","22,5","0,3","2,5"
17/06/2014 5.00,"0,5","12,4","6,8","22,5","0,3","3,5"
17/06/2014 6.00,"0,6","17,5","11,5","22,5","0,3","10,0"
17/06/2014 7.00,"0,5","14,6","8,5","22,5","0,3","7,0"
17/06/2014 8.00,"0,5","15,7","9,9","22,5","0,3","9,5"
17/06/2014 9.00,"0,5","11,2","6,1","22,5","0,3","4,5"
17/06/2014 10.00,"0,4","11,4","6,1","22,5","0,3","5,1"
17/06/2014 11.00,"0,4","11,0","6,0","22,5","0,3","4,2"
17/06/2014 12.00,"0,5","10,9","6,0","22,5","0,3","4,3"
17/06/2014 13.00,"0,6","10,7","5,9","22,5","0,3","5,0"
17/06/2014 14.00,"0,7","9,0","4,8","22,5","0,3","5,2"
17/06/2014 15.00,"0,8","9,5","5,1","22,5","0,3","6,2"
17/06/2014 16.00,"0,8","11,0","6,4","22,5","0,3","9,5"
17/06/2014 17.00,"0,5","10,3","6,1","22,5","0,3","6,7"
17/06/2014 18.00,"0,9","8,9","4,7","22,5","0,3","4,4"
17/06/2014 19.00,"0,6","8,3","4,5","22,5","0,3","4,9"
17/06/2014 20.00,"0,4","8,4","4,7","22,5","0,3","4,6"
17/06/2014 21.00,"0,7","9,0","5,1","22,5","0,3","5,9"
17/06/2014 22.00,"0,5","8,0","4,3","22,5","0,3","3,6"
17/06/2014 23.00,"0,5","10,0","6,3","22,5","0,3","6,3"
18/06/2014 0.00,"0,6","9,9","6,4","22,5","0,3","8,4"
18/06/2014 1.00,"0,6","10,6","6,9","14,5","0,3","6,3"
18/06/2014 2.00,"0,7","7,3","3,8","14,5","0,3","2,2"
18/06/2014 3.00,"0,6","7,7","4,4","14,5","0,2","1,6"
18/06/2014 4.00,"0,5","14,1","11,0","14,5","0,2","1,7"
18/06/2014 5.00,"0,5","15,9","11,8","14,5","0,2","6,0"
18/06/2014 6.00,"0,6","17,1","12,7","14,5","0,2","9,4"
18/06/2014 7.00,"0,4","13,1","8,8","14,5","0,2","4,2"
18/06/2014 8.00,"0,3","15,1","10,2","14,5","0,3","3,1"
18/06/2014 9.00,"1,6","17,6","12,3","14,5","0,2","2,8"
18/06/2014 10.00,"0,5","10,4","6,6","14,5","0,2","2,6"
18/06/2014 11.00,"0,3","10,7","6,9","14,5","0,2","3,4"
18/06/2014 12.00,"0,4","10,7","6,9","14,5","0,2","3,6"
18/06/2014 13.00,"0,5","11,4","7,3","14,5","0,2","5,1"
18/06/2014 14.00,"0,5","7,9","4,6","14,5","0,2","3,3"
18/06/2014 15.00,"0,4","2,1","1,4","14,5","0,2","3,6"
18/06/2014 16.00,"0,6","3,7","3,7","14,5","0,2","2,7"
18/06/2014 17.00,"0,9","13,1","13,1","14,5","0,2","3,8"
18/06/2014 18.00,"0,8","7,1","7,1","14,5","0,3","7,8"
18/06/2014 19.00,"1,0","8,3","8,4","14,5","0,3","4,9"
18/06/2014 20.00,"0,9","40,9","35,4","14,5","0,9","21,6"
18/06/2014 21.00,"0,7","27,3","25,6","14,5","0,6","13,3"
18/06/2014 22.00,"0,5","5,2","5,2","14,5","0,2","1,7"
18/06/2014 23.00,"0,5","5,1","5,1","14,5","0,2","1,8"
19/06/2014 0.00,"0,5","1,5","1,5","14,5","0,2","1,6"
19/06/2014 1.00,,,,"9,7","0,2","2,7"
19/06/2014 2.00,"1,1",,,"9,7","0,2","14,6"
19/06/2014 3.00,"1,2","4,8","4,3","9,7",,"3,0"
19/06/2014 4.00,"1,1","4,9","4,9","9,7","0,1","4,4"
19/06/2014 5.00,"1,2","7,4","6,8","9,7","0,2","8,7"
19/06/2014 6.00,"0,9","7,7","7,6","9,7","0,2","9,0"
19/06/2014 7.00,"1,0","17,5","17,4","9,7","0,2","6,6"
19/06/2014 8.00,"0,7","18,2","17,2","9,7","0,2","3,1"
19/06/2014 9.00,"0,7",,,"9,7","0,1","2,0"
19/06/2014 10.00,"0,8",,,"9,7","0,1","2,3"
19/06/2014 11.00,"0,8",,,"9,7","0,1","2,4"
19/06/2014 12.00,"1,0",,,"9,7","0,2","6,3"
19/06/2014 13.00,"1,2",,,"9,7","0,2","6,4"
19/06/2014 14.00,"1,2",,,"9,7","0,1","4,0"
19/06/2014 15.00,"1,1",,,"9,7","0,1","2,2"
19/06/2014 16.00,"1,0",,,"9,7","0,1","2,6"
19/06/2014 17.00,"1,3",,,"9,7","0,1","2,1"
19/06/2014 18.00,"1,3",,,"9,7","0,1","2,0"
19/06/2014 19.00,"1,2",,,"9,7","0,1","1,9"
19/06/2014 20.00,"1,2",,,"9,7","0,1","1,6"
19/06/2014 21.00,"1,2",,,"9,7","0,1","1,7"
19/06/2014 22.00,"0,8",,,"9,7","0,1","1,7"
19/06/2014 23.00,"1,2",,,"9,7","0,1","1,7"
20/06/2014 0.00,"0,8",,,"9,7","0,1","1,8"
20/06/2014 1.00,"0,9",,,"20,9","0,1","1,8"
20/06/2014 2.00,"0,9",,,"20,9","0,1","1,6"
20/06/2014 3.00,"0,8",,,"20,9","0,1","1,6"
20/06/2014 4.00,"0,7",,,"20,9","0,1","1,6"
20/06/2014 5.00,"0,8",,,"20,9","0,1","1,7"
20/06/2014 6.00,"0,6",,,"20,9","0,1","1,8"
20/06/2014 7.00,"0,6",,,"20,9","0,1","2,0"
20/06/2014 8.00,"0,7",,,"20,9","0,1","2,2"
20/06/2014 9.00,"0,6",,,"20,9","0,1","2,4"
20/06/2014 10.00,"0,8",,,"20,9","0,1","1,9"
20/06/2014 11.00,"0,7",,,"20,9","0,1","2,0"
20/06/2014 12.00,"0,6",,,"20,9","0,1","1,9"
20/06/2014 13.00,"0,9",,,"20,9","0,1","2,0"
20/06/2014 14.00,"0,9",,,"20,9","0,1","1,9"
20/06/2014 15.00,"1,0",,,"20,9","0,1","2,0"
20/06/2014 16.00,"1,4","18,6","7,0","20,9","0,1","1,9"
20/06/2014 17.00,"1,5","16,4","6,4","20,9","0,1","2,5"
20/06/2014 18.00,"1,5","15,3","5,8","20,9","0,1","3,6"
20/06/2014 19.00,"1,8","14,8","5,7","20,9","0,1","3,4"
20/06/2014 20.00,"1,9","27,3","18,0","20,9","0,2","19,0"
20/06/2014 21.00,"1,8","49,9","38,2","20,9","0,3","25,2"
20/06/2014 22.00,"1,9","39,5","28,6","20,9","0,3","26,1"
20/06/2014 23.00,"1,5","46,9","35,5","20,9","0,3","15,2"
21/06/2014 0.00,"1,5","38,9","28,3","20,9","0,3","16,7"
21/06/2014 1.00,,"27,9","18,6","25,0","0,2","7,6"
21/06/2014 2.00,"1,2",,,"25,0","0,2","4,4"
21/06/2014 3.00,"1,4","27,7","15,5","25,0",,"5,1"
21/06/2014 4.00,"1,1","25,0","14,4","25,0","0,2","3,5"
21/06/2014 5.00,"1,1","30,6","18,6","25,0","0,2","6,8"
21/06/2014 6.00,"1,1","31,3","18,4","25,0","0,3","12,0"
21/06/2014 7.00,"1,1","46,3","29,9","25,0","0,3","5,6"
21/06/2014 8.00,"0,8","39,7","25,5","25,0","0,3","5,4"
21/06/2014 9.00,"1,0","19,8","10,2","25,0","0,2","3,4"
21/06/2014 10.00,"0,9","17,6","8,2","25,0","0,2","3,4"
21/06/2014 11.00,"0,9","16,1","7,3","25,0","0,2","3,3"
21/06/2014 12.00,"1,3","15,2","6,4","25,0","0,2","3,5"
21/06/2014 13.00,"1,4","16,9","8,0","25,0","0,2","5,6"
21/06/2014 14.00,"1,7","16,1","7,4","25,0","0,2","6,0"
21/06/2014 15.00,"1,7","14,9","6,5","25,0","0,2","2,5"
21/06/2014 16.00,"1,5","14,4","6,4","25,0","0,2","2,7"
21/06/2014 17.00,"1,6","17,3","8,9","25,0","0,2","5,8"
21/06/2014 18.00,"1,7","19,6","11,4","25,0","0,2","7,4"
21/06/2014 19.00,"1,6","13,7","5,8","25,0","0,2","3,5"
21/06/2014 20.00,"1,6","29,8","21,6","25,0","0,3","17,0"
21/06/2014 21.00,"1,9","55,6","46,0","25,0","0,5","28,6"
21/06/2014 22.00,"1,9","41,1","31,6","25,0","0,4","38,1"
21/06/2014 23.00,"1,6","61,8","45,3","25,0","0,5","39,9"
22/06/2014 0.00,"1,5","34,1","25,4","25,0","0,3","12,3"
22/06/2014 1.00,"1,5","37,9","28,6","23,9","0,3","19,1"
22/06/2014 2.00,"1,4","24,3","16,1","23,9","0,3","8,8"
22/06/2014 3.00,"1,5","21,4","13,3","23,9","0,2","6,4"
22/06/2014 4.00,"1,2","31,2","21,1","23,9","0,3","23,7"
22/06/2014 5.00,"1,4","48,9","32,6","23,9","0,3","46,0"
22/06/2014 6.00,"1,4","39,3","23,3","23,9","0,3","21,6"
22/06/2014 7.00,"1,2","21,9","12,4","23,9","0,3","6,6"
22/06/2014 8.00,"1,0","17,4","8,6","23,9","0,3","3,6"
22/06/2014 9.00,"1,3","16,8","8,4","23,9","0,3","3,9"
22/06/2014 10.00,"0,8","15,6","7,3","23,9","0,3","4,3"
22/06/2014 11.00,"1,9","14,9","6,6","23,9","0,2","5,3"
22/06/2014 12.00,"1,4","15,6","7,2","23,9","0,2","5,6"
22/06/2014 13.00,"1,3","13,8","5,9","23,9","0,2","4,4"
22/06/2014 14.00,"1,3","12,2","4,6","23,9","0,2","3,3"
22/06/2014 15.00,"1,4","12,2","4,7","23,9","0,2","3,6"
22/06/2014 16.00,"1,5","12,0","4,6","23,9","0,3","3,9"
22/06/2014 17.00,"1,7","11,9","4,6","23,9","0,2","3,5"
22/06/2014 18.00,"2,2","13,9","6,4","23,9","0,3","6,6"
22/06/2014 19.00,"2,4","13,9","6,7","23,9","0,3","6,9"
22/06/2014 20.00,"2,8","17,0","9,7","23,9","0,3","7,8"
22/06/2014 21.00,"2,2","43,9","36,0","23,9","0,4","26,6"
22/06/2014 22.00,"1,9","34,1","26,2","23,9","0,3","16,6"
22/06/2014 23.00,"2,3","28,2","20,6","23,9","0,3","16,2"
23/06/2014 0.00,"1,9","28,7","20,8","23,9","0,3","11,1"
23/06/2014 1.00,,"20,8","13,3","20,3","0,3","6,2"
23/06/2014 2.00,"1,5",,,"20,3","0,2","4,0"
23/06/2014 3.00,"1,2","17,7","7,5","20,3",,"3,3"
23/06/2014 4.00,"1,3","15,4","7,1","20,3","0,2","3,6"
23/06/2014 5.00,"1,5","17,4","9,4","20,3","0,2","4,0"
23/06/2014 6.00,"1,3","36,9","23,8","20,3","0,3","21,5"
23/06/2014 7.00,"1,0","29,9","19,8","20,3","0,3","4,8"
23/06/2014 8.00,"0,9","18,4","10,0","20,3","0,3","2,1"
23/06/2014 9.00,"1,1","17,0","9,0","20,3","0,3","3,7"
23/06/2014 10.00,"1,0","16,2","8,4","20,3","0,2","3,7"
23/06/2014 11.00,"1,0","16,7","8,8","20,3","0,2","4,7"
23/06/2014 12.00,"0,8","13,5","6,2","20,3","0,2","3,6"
23/06/2014 13.00,"0,9","14,2","6,7","20,3","0,2","4,5"
23/06/2014 14.00,"1,1","13,3","6,2","20,3","0,2","4,2"
23/06/2014 15.00,"1,7","13,9","7,1","20,3","0,3","4,8"
23/06/2014 16.00,"1,6","14,2","7,0","20,3","0,3","7,1"
23/06/2014 17.00,"2,9","13,0","5,9","20,3","0,2","7,5"
23/06/2014 18.00,"3,8","13,8","7,1","20,3","0,2","8,2"
23/06/2014 19.00,"3,8","14,3","7,6","20,3","0,2","8,7"
23/06/2014 20.00,"2,6","19,8","13,1","20,3","0,3","10,3"
23/06/2014 21.00,"4,1","34,6","27,1","20,3","0,3","17,8"
23/06/2014 22.00,"4,4","27,4","20,8","20,3","0,3","13,0"
23/06/2014 23.00,"3,2","21,0","14,5","20,3","0,2","13,6"
24/06/2014 0.00,"3,6","18,8","12,7","20,3","0,3","14,0"
24/06/2014 1.00,"1,7","14,6","8,5","23,1","0,2","6,2"
24/06/2014 2.00,"1,8","12,5","6,6","23,1","0,2","3,5"
24/06/2014 3.00,"3,4","11,0","5,2","23,1","0,2","2,7"
24/06/2014 4.00,"3,2","10,7","4,9","23,1","0,2","2,8"
24/06/2014 5.00,"3,1","13,3","7,4","23,1","0,2","7,3"
24/06/2014 6.00,"3,0","18,7","11,7","23,1","0,3","10,0"
24/06/2014 7.00,"3,1","19,3","11,8","23,1","0,3","13,6"
24/06/2014 8.00,"2,8","20,4","12,6","23,1","0,3","10,6"
24/06/2014 9.00,"2,2","14,3","7,5","23,1","0,2","6,4"
24/06/2014 10.00,"2,3","13,2","6,8","23,1","0,2","6,9"
24/06/2014 11.00,"2,7","12,4","6,1","23,1","0,2","5,7"
24/06/2014 12.00,"2,6","14,2","7,5","23,1","0,2","6,5"
24/06/2014 13.00,"2,4","13,6","7,2","23,1","0,2","8,4"
24/06/2014 14.00,"3,3","11,1","5,3","23,1","0,2","7,3"
24/06/2014 15.00,"3,3","11,0","5,4","23,1","0,2","6,7"
24/06/2014 16.00,"3,6","11,0","5,3","23,1","0,2","6,8"
24/06/2014 17.00,"3,8","11,5","5,9","23,1","0,2","7,4"
24/06/2014 18.00,"4,0","10,4","5,1","23,1","0,2","4,7"
24/06/2014 19.00,"3,6","11,1","5,9","23,1","0,2","5,2"
24/06/2014 20.00,"4,1","16,1","10,8","23,1","0,2","9,5"
24/06/2014 21.00,"3,7","16,4","11,1","23,1","0,2","7,5"
24/06/2014 22.00,"3,0","14,6","9,6","23,1","0,2","7,4"
24/06/2014 23.00,"4,1","17,2","12,0","23,1","0,2","9,4"
25/06/2014 0.00,"3,1","20,3","14,8","23,1","0,3","10,1"
25/06/2014 1.00,,"17,9","12,5","31,8","0,2","16,5"
25/06/2014 2.00,"1,4",,,"31,8","0,2","3,6"
25/06/2014 3.00,"0,9","12,1","4,7","31,8",,"3,0"
25/06/2014 4.00,"1,1","10,1","4,2","31,8","0,2","2,7"
25/06/2014 5.00,"0,7","11,0","5,1","31,8","0,3","2,7"
25/06/2014 6.00,"0,9","13,7","7,8","31,8","0,3","5,8"
25/06/2014 7.00,"0,7","21,4","14,9","31,8","0,3","12,5"
25/06/2014 8.00,"0,2","27,3","19,1","31,8","0,3","17,6"
25/06/2014 9.00,"0,2","22,8","15,7","31,8","0,3","16,3"
25/06/2014 10.00,"0,3","15,9","9,9","31,8","0,3","7,0"
25/06/2014 11.00,"0,5","14,3","8,3","31,8","0,3","3,6"
25/06/2014 12.00,"0,4","13,2","7,5","31,8","0,3","6,1"
25/06/2014 13.00,"0,5","12,6","7,1","31,8","0,3","6,8"
25/06/2014 14.00,"0,8","9,4","4,2","31,8","0,2","5,1"
25/06/2014 15.00,"0,7","9,4","4,3","31,8","0,2","4,0"
25/06/2014 16.00,"1,1","9,5","4,5","31,8","0,3","4,9"
25/06/2014 17.00,"1,0","10,8","5,9","31,8","0,2","5,9"
25/06/2014 18.00,"1,2","10,1","5,2","31,8","0,3","5,6"
25/06/2014 19.00,"1,7","9,4","5,1","31,8","0,3","5,9"
25/06/2014 20.00,"1,7","9,7","5,2","31,8","0,2","4,8"
25/06/2014 21.00,"1,9","11,5","6,8","31,8","0,3","4,1"
25/06/2014 22.00,"1,6","16,3","11,6","31,8","0,3","8,3"
25/06/2014 23.00,"1,7","15,6","11,4","31,8","0,3","6,3"
26/06/2014 0.00,"1,4","12,9","8,6","31,8","0,3","6,0"
26/06/2014 1.00,"1,2","13,5","9,4","36,6","0,3","9,0"
26/06/2014 2.00,"1,1","22,1","17,7","36,6","0,3","5,7"
26/06/2014 3.00,"1,3","11,1","7,0","36,6","0,2","3,3"
26/06/2014 4.00,"0,6","9,2","5,4","36,6","0,2","1,5"
26/06/2014 5.00,"0,4","12,0","7,8","36,6","0,2","1,6"
26/06/2014 6.00,"0,4","17,3","12,9","36,6","0,2","2,2"
26/06/2014 7.00,"0,3","12,0","7,9","36,6","0,2","2,4"
26/06/2014 8.00,"0,2","14,6","9,5","36,6","0,2","3,7"
26/06/2014 9.00,"0,5","24,7","17,4","36,6","0,3","4,2"
26/06/2014 10.00,"0,5","26,0","18,4","36,6","0,2","4,4"
26/06/2014 11.00,"0,4","18,1","12,4","36,6","0,3","6,9"
26/06/2014 12.00,"0,6","11,2","7,1","36,6","0,2","4,6"
26/06/2014 13.00,"0,6","11,9","7,5","36,6","0,2","4,1"
26/06/2014 14.00,"0,6","13,1","8,9","36,6","0,2","4,0"
26/06/2014 15.00,"0,6","11,1","7,4","36,6","0,2","4,1"
26/06/2014 16.00,"0,8","11,9","7,7","36,6","0,2","7,2"
26/06/2014 17.00,"0,4","11,2","7,2","36,6","0,2","7,0"
26/06/2014 18.00,"0,8","11,0","7,2","36,6","0,3","10,2"
26/06/2014 19.00,"0,7","10,7","6,7","36,6","0,3","7,4"
26/06/2014 20.00,"1,5","14,9","11,2","36,6","0,3","9,3"
26/06/2014 21.00,"1,4","20,5","16,8","36,6","0,3","16,3"
26/06/2014 22.00,"1,8","33,8","28,6","36,6","0,4","18,2"
26/06/2014 23.00,"1,3","42,6","35,5","36,6","0,5","32,3"
27/06/2014 0.00,"1,5","26,7","21,6","36,6","0,4","13,5"
27/06/2014 1.00,,"14,2","10,8","16,7","0,3","1,9"
27/06/2014 2.00,"0,3",,,"16,7","0,3","1,5"
27/06/2014 3.00,"0,4","14,7","9,0","16,7",,"1,6"
27/06/2014 4.00,"0,5","8,4","4,1","16,7","0,2","1,5"
27/06/2014 5.00,"0,4","8,1","4,3","16,7","0,2","1,5"
27/06/2014 6.00,"0,3","7,5","3,9","16,7","0,2","1,6"
27/06/2014 7.00,"0,3","12,8","8,2","16,7","0,2","2,1"
27/06/2014 8.00,"0,5","17,0","11,5","16,7","0,2","2,7"
27/06/2014 9.00,"0,6","13,7","8,9","16,7","0,2","2,1"
27/06/2014 10.00,"0,6","10,8","7,0","16,7","0,2","2,1"
27/06/2014 11.00,"1,2","8,5","5,1","16,7","0,2","2,8"
27/06/2014 12.00,"0,9","8,9","5,5","16,7","0,2","2,7"
27/06/2014 13.00,"0,9","9,4","5,9","16,7","0,2","3,5"
27/06/2014 14.00,"1,1","9,2","6,0","16,7","0,2","3,5"
27/06/2014 15.00,"1,1","7,9","4,8","16,7","0,2","2,4"
27/06/2014 16.00,"1,0","6,7","3,9","16,7","0,2","2,1"
27/06/2014 17.00,"1,0","7,4","4,6","16,7","0,2","2,3"
27/06/2014 18.00,"1,1","6,9","4,5","16,7","0,2","2,5"
27/06/2014 19.00,"1,5","7,1","4,7","16,7","0,2","3,6"
27/06/2014 20.00,"1,3","11,7","8,8","16,7","0,2","1,8"
27/06/2014 21.00,"1,3","11,2","8,2","16,7","0,2","1,6"
27/06/2014 22.00,"1,3","13,0","9,2","16,7","0,1","1,6"
27/06/2014 23.00,"1,0","7,7","4,7","16,7","0,1","1,5"
28/06/2014 0.00,"1,0","8,3","5,2","16,7","0,2","1,5"
28/06/2014 1.00,"1,1","9,0","6,6","19,7","0,2","1,6"
28/06/2014 2.00,"1,1","8,2","5,8","19,7","0,1","1,6"
28/06/2014 3.00,"1,5","7,0","4,6","19,7","0,1","1,5"
28/06/2014 4.00,"1,2","15,9","13,3","19,7","0,2","1,5"
28/06/2014 5.00,"1,3","26,0","22,8","19,7","0,3","3,8"
28/06/2014 6.00,"1,3","34,8","27,3","19,7","0,3","11,4"
28/06/2014 7.00,"1,1","20,8","15,0","19,7","0,2","2,2"
28/06/2014 8.00,"1,0","12,6","8,7","19,7","0,2","2,1"
28/06/2014 9.00,"0,9","9,0","6,1","19,7","0,2","3,3"
28/06/2014 10.00,"0,9","12,1","8,6","19,7","0,2","3,4"
28/06/2014 11.00,"1,0","11,1","7,8","19,7","0,2","3,9"
28/06/2014 12.00,"0,7","9,3","6,3","19,7","0,2","4,0"
28/06/2014 13.00,"0,9","8,9","6,1","19,7","0,2","4,3"
28/06/2014 14.00,"1,3","7,0","4,7","19,7","0,2","3,7"
28/06/2014 15.00,"1,5","12,5","9,4","19,7","0,2","3,5"
28/06/2014 16.00,"1,5","12,5","9,5","19,7","0,2","5,1"
28/06/2014 17.00,"1,5","7,1","5,1","19,7","0,2","5,9"
28/06/2014 18.00,"1,4","9,6","7,3","19,7","0,3","6,2"
28/06/2014 19.00,"1,6","15,5","13,4","19,7","0,2","8,7"
28/06/2014 20.00,"1,6","16,1","14,2","19,7","0,3","9,4"
28/06/2014 21.00,"1,3","29,2","26,4","19,7","0,4","20,2"
28/06/2014 22.00,"1,4","49,1","44,9","19,7","0,6","30,3"
28/06/2014 23.00,"1,8","55,2","45,3","19,7","0,4","32,0"
29/06/2014 0.00,"1,5","56,1","48,5","19,7","0,4","30,3"
29/06/2014 1.00,,"34,1","31,2","23,0","0,3","19,4"
29/06/2014 2.00,"0,6",,,"23,0","0,3","11,2"
29/06/2014 3.00,"0,8","30,1","23,6","23,0",,"12,9"
29/06/2014 4.00,"0,4","29,3","23,1","23,0","0,3","22,7"
29/06/2014 5.00,"0,4","18,1","14,9","23,0","0,3","9,8"
29/06/2014 6.00,"0,6","19,8","15,9","23,0","0,3","9,3"
29/06/2014 7.00,"0,4","10,9","8,5","23,0","0,3","4,4"
29/06/2014 8.00,"0,4","7,9","5,7","23,0","0,3","3,5"
29/06/2014 9.00,"0,4","8,9","6,6","23,0","0,3","5,2"
29/06/2014 10.00,"0,2","7,9","5,5","23,0","0,3","5,8"
29/06/2014 11.00,"0,4","9,2","6,9","23,0","0,3","8,2"
29/06/2014 12.00,"0,3","8,9","6,5","23,0","0,2","6,9"
29/06/2014 13.00,"0,8","8,0","5,6","23,0","0,2","5,9"
29/06/2014 14.00,"0,5","5,9","4,2","23,0","0,2","4,4"
29/06/2014 15.00,"0,6","6,4","4,9","23,0","0,2","5,3"
29/06/2014 16.00,"0,7","7,3","5,8","23,0","0,2","3,8"
29/06/2014 17.00,"0,8","6,8","5,4","23,0","0,2","6,6"
29/06/2014 18.00,"0,8","7,5","6,2","23,0","0,3","6,8"
29/06/2014 19.00,"0,5","8,0","7,0","23,0","0,3","9,0"
29/06/2014 20.00,"1,1","8,3","7,1","23,0","0,3","7,2"
29/06/2014 21.00,"1,1","7,0","5,9","23,0","0,2","7,4"
29/06/2014 22.00,"1,0","6,2","5,2","23,0","0,2","5,3"
29/06/2014 23.00,"1,0","7,1","6,2","23,0","0,2","7,6"
30/06/2014 0.00,"0,8","6,0","5,3","23,0","0,2","4,9"
30/06/2014 1.00,"0,6","4,6","3,9","23,2","0,2","3,1"
30/06/2014 2.00,"0,4","3,2","2,7","23,2","0,2","2,1"
30/06/2014 3.00,"0,4","2,8","2,4","23,2","0,2","2,3"
30/06/2014 4.00,"0,3","2,8","2,5","23,2","0,2","1,8"
30/06/2014 5.00,"0,4","3,7","3,2","23,2","0,3","3,4"
30/06/2014 6.00,"0,2","5,4","4,9","23,2","0,2","4,0"
30/06/2014 7.00,"0,4","16,0","14,2","23,2","0,3","14,7"
30/06/2014 8.00,"0,1","21,8","18,9","23,2","0,3","12,4"
30/06/2014 9.00,,"19,8","16,3","23,2","0,2","8,8"
30/06/2014 10.00,"0,1","5,2","4,4","23,2","0,2","2,7"
30/06/2014 11.00,"0,1","6,3","5,4","23,2","0,2","4,1"
30/06/2014 12.00,"0,2","5,9","4,9","23,2","0,2","3,5"
30/06/2014 13.00,"0,3","6,9","5,8","23,2","0,2","4,3"
30/06/2014 14.00,"0,3","7,1","5,9","23,2","0,2","4,3"
30/06/2014 15.00,"0,5","5,1","4,4","23,2","0,1","3,5"
30/06/2014 16.00,"0,3","5,9","5,1","23,2","0,1","4,5"
30/06/2014 17.00,"0,5","5,0","4,5","23,2","0,1","3,5"
30/06/2014 18.00,"0,6","5,0","4,7","23,2","0,1","3,2"
30/06/2014 19.00,"0,6","5,0","4,8","23,2","0,2","3,1"
30/06/2014 20.00,"0,7","6,8","6,7","23,2","0,2","3,3"
30/06/2014 21.00,"0,8","6,3","6,0","23,2","0,2","2,7"
30/06/2014 22.00,"0,6","5,1","4,9","23,2","0,2","2,1"
30/06/2014 23.00,"0,5","12,9","12,5","23,2","0,2","1,6"
01/07/2014 0.00,"0,4","13,9","13,3","23,2","0,2","1,6"
01/07/2014 1.00,,"7,1","6,8","17,8","0,1","1,7"
01/07/2014 2.00,"0,8",,,"17,8","0,2","1,6"
01/07/2014 3.00,"0,9","13,4","10,7","17,8",,"1,6"
01/07/2014 4.00,"1,2","8,2","7,1","17,8","0,1","1,6"
01/07/2014 5.00,"1,0","8,3","7,5","17,8","0,1","1,6"
01/07/2014 6.00,"0,9","9,9","9,1","17,8","0,2","2,2"
01/07/2014 7.00,"1,0","14,9","12,8","17,8","0,2","3,0"
01/07/2014 8.00,"0,8","23,5","19,8","17,8","0,2","3,8"
01/07/2014 9.00,"0,8","12,2","10,5","17,8","0,2","2,4"
01/07/2014 10.00,"0,8","5,0","4,6","17,8","0,1","2,0"
01/07/2014 11.00,"0,6","6,9","6,3","17,8","0,1","3,2"
01/07/2014 12.00,"0,7","6,9","6,4","17,8","0,1","4,0"
01/07/2014 13.00,"0,8","6,3","5,7","17,8","0,1","4,2"
01/07/2014 14.00,"0,8","6,1","5,7","17,8","0,1","3,4"
01/07/2014 15.00,"1,0","7,1","6,4","17,8","0,1","3,7"
01/07/2014 16.00,"1,1","6,8","6,3","17,8","0,2","5,5"
01/07/2014 17.00,"1,5","8,4","7,9","17,8","0,2","5,4"
01/07/2014 18.00,"1,5","7,4","7,1","17,8","0,2","8,3"
01/07/2014 19.00,"1,8","7,5","7,4","17,8","0,2","6,5"
01/07/2014 20.00,"1,4","16,3","16,2","17,8","0,2","12,7"
01/07/2014 21.00,"1,7","36,2","35,6","17,8","0,3","20,5"
01/07/2014 22.00,"1,5","16,4","16,3","17,8","0,3","10,0"
01/07/2014 23.00,"1,4","21,2","20,7","17,8","0,2","17,5"
02/07/2014 0.00,"1,5","16,1","15,8","17,8","0,3","21,2"
02/07/2014 1.00,"2,3","11,1","11,0","21,3","0,3","8,3"
02/07/2014 2.00,"1,5","9,0","8,9","21,3","0,2","3,7"
02/07/2014 3.00,"1,2","7,8","7,6","21,3","0,2","3,4"
02/07/2014 4.00,"1,6","6,2","6,2","21,3","0,2","4,0"
02/07/2014 5.00,"1,4","11,1","10,6","21,3","0,2","6,4"
02/07/2014 6.00,"1,5","21,9","18,8","21,3","0,3","14,9"
02/07/2014 7.00,"0,8","18,0","15,3","21,3","0,2","10,4"
02/07/2014 8.00,"0,8","11,1","10,0","21,3","0,2","3,1"
02/07/2014 9.00,"0,9","8,8","8,3","21,3","0,2","3,4"
