Stat,TA -S.VITO Colonia Marina,,,,,
Parm,SO2,NOX,NO2,PM10,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ng/m3
05/01/2014 21.00,"0,4","40,0","23,0","15,6","0,4","19,2"
05/01/2014 22.00,"0,5","62,8","35,8","15,6","0,5","32,7"
05/01/2014 23.00,"0,7","58,8","34,7","15,6","0,5","20,8"
06/01/2014 0.00,"0,6","22,0","8,4","15,6","0,3","5,4"
06/01/2014 1.00,,"22,4","6,5","8,6","0,3","4,3"
06/01/2014 2.00,"1,3",,,"8,6","0,3","3,7"
06/01/2014 3.00,"1,1","22,6","2,7","8,6",,"2,4"
06/01/2014 4.00,"1,1","19,2","2,2","8,6","0,2","1,9"
06/01/2014 5.00,"1,2","20,9","3,3","8,6","0,2","3,8"
06/01/2014 6.00,"1,5","23,8","5,9","8,6","0,3","4,6"
06/01/2014 7.00,"1,3","19,4","4,5","8,6","0,2","4,9"
06/01/2014 8.00,"1,4","19,5","3,2","8,6","0,2","4,1"
06/01/2014 9.00,"1,6","23,7","8,3","8,6","0,2","4,7"
06/01/2014 10.00,"1,2","22,1","5,6","8,6","0,2","6,1"
06/01/2014 11.00,"1,2","20,6","5,7","8,6","0,2","4,4"
06/01/2014 12.00,"1,3","20,5","5,5","8,6","0,2","3,3"
06/01/2014 13.00,"0,9","21,1","5,4","8,6","0,2","2,8"
06/01/2014 14.00,"0,9","24,6","8,9","8,6","0,2","1,9"
06/01/2014 15.00,"0,8","22,2","7,8","8,6","0,2","2,0"
06/01/2014 16.00,"0,8","18,3","4,7","8,6","0,2","2,4"
06/01/2014 17.00,"0,9","32,6","14,6","8,6","0,3","8,6"
06/01/2014 18.00,"1,1","16,7","3,7","8,6","0,2","2,8"
06/01/2014 19.00,"1,2","22,2","8,0","8,6","0,2","5,4"
06/01/2014 20.00,"1,1","57,7","33,9","8,6","0,3","25,3"
06/01/2014 21.00,"1,4","26,0","9,5","8,6","0,2","3,4"
06/01/2014 22.00,"1,6","58,3","34,8","8,6","0,4","29,2"
06/01/2014 23.00,"1,3","56,7","28,9","8,6","0,4","27,3"
07/01/2014 0.00,"1,8","33,8","14,2","8,6","0,3","5,6"
07/01/2014 1.00,"1,7","27,2","10,0","26,2","0,2","2,1"
07/01/2014 2.00,"1,3","34,4","18,6","26,2","0,2","3,0"
