"NetC","SIMAGE Brindisi","","","","","","","","","","","","",""
"Stat","Francavilla F.na Via F.Filzi","","","","","","","","","","","","",""
,NOX,NO2,CO,O3,SO2,Benzene
08/01/2011 18.00,,,"0,1","46,7","3,2","1,3"
08/01/2011 19.00,,,"0,2","46,6","3,3","1,3"
08/01/2011 20.00,,,"0,4",38,"4,2","1,6"
08/01/2011 21.00,,,"0,5","31,2",5,"2,3"
08/01/2011 22.00,,,"0,3","33,6","5,5","1,5"
08/01/2011 23.00,,,"0,2","36,3","5,4","1,6"
09/01/2011 0.00,,,"0,1","46,4","5,2","0,9"
09/01/2011 1.00,,,0,"55,3","5,5","0,8"
09/01/2011 2.00,,,0,"61,1","4,9","0,5"
09/01/2011 3.00,,,0,"63,6","4,2","0,4"
09/01/2011 4.00,,,0,"68,8","3,8","0,3"
09/01/2011 5.00,,,0,"65,8","2,4","0,3"
09/01/2011 6.00,,,0,"64,1","1,3","0,3"
09/01/2011 7.00,,,0,"48,9",1,"0,4"
09/01/2011 8.00,,,"0,1","46,7","0,7","0,5"
09/01/2011 9.00,,,"0,1","42,1","0,7","0,7"
09/01/2011 10.00,,,"0,2","60,8","0,5","0,4"
09/01/2011 11.00,,,"0,2","59,4","0,6","1,2"
09/01/2011 12.00,,,"0,2","57,8","0,7","1,3"
09/01/2011 13.00,,,"0,2","57,6",1,"1,2"
09/01/2011 14.00,,,"0,3",59,"1,3","1,4"
09/01/2011 15.00,,,"0,2","65,7","1,4","2,7"
09/01/2011 16.00,,,"0,3","58,2","1,9","1,1"
09/01/2011 17.00,,,"0,4","41,8","2,7","1,1"
09/01/2011 18.00,,,"0,4","37,4","4,4","2,1"
09/01/2011 19.00,,,"0,8","27,2","5,3","3,3"
09/01/2011 20.00,,,"0,3",32,"6,4","3,1"
09/01/2011 21.00,,,"0,5","30,9","6,8","1,6"
09/01/2011 22.00,,,"0,4","25,8","7,2","1,5"
09/01/2011 23.00,,,"0,2","38,5",7,"1,2"
10/01/2011 0.00,,,0,49,"6,6","0,7"
10/01/2011 1.00,,,"0,1","54,3","5,6","0,5"
10/01/2011 2.00,,,"0,1","57,2","4,9","0,4"
10/01/2011 3.00,,,"0,1","53,9","4,4","0,4"
10/01/2011 4.00,,,"0,1","54,1",,"0,3"
10/01/2011 5.00,,,"0,2",,,"1,2"
10/01/2011 6.00,,,"0,2","56,3",,"0,4"
10/01/2011 7.00,,,"0,2","38,9",,"0,7"
10/01/2011 8.00,,,"0,7","27,7",,"10,9"
10/01/2011 9.00,,,"0,6","23,7",,"0,9"
10/01/2011 10.00,,,"0,5","35,8",,"1,5"
10/01/2011 11.00,,,"0,4","47,5",,1
10/01/2011 12.00,,,"0,3","51,2",,1
10/01/2011 13.00,,,"0,4","46,5",,"1,2"
10/01/2011 14.00,,,"0,5","53,8",,"1,3"
10/01/2011 15.00,,,"0,3","61,2",,"0,8"
10/01/2011 16.00,,,"0,4","51,2",,"1,1"
10/01/2011 17.00,,,"0,4","46,4",,"1,2"
10/01/2011 18.00,,,"0,5","40,3",,"1,4"
10/01/2011 19.00,,,"0,5","39,9",,"1,6"
10/01/2011 20.00,,,"0,5","34,5",,"1,6"
10/01/2011 21.00,,,"0,6","27,3",,"1,9"
10/01/2011 22.00,,,"0,6",26,,"2,1"
10/01/2011 23.00,,,"0,4","26,1",,"1,5"
11/01/2011 0.00,,,"0,3","36,9",,"0,9"
11/01/2011 1.00,,,"0,2",40,,"0,8"
11/01/2011 2.00,,,"0,1","48,7",,"0,6"
11/01/2011 3.00,,,"0,2","45,1",,"0,4"
11/01/2011 4.00,,,"0,1","52,6",,"0,4"
11/01/2011 5.00,,,"0,1","51,8",,"0,3"
11/01/2011 6.00,,,"0,2","40,7",,"0,4"
11/01/2011 7.00,,,"0,3","28,7",,"0,3"
11/01/2011 8.00,,,"0,6","17,6",,"0,7"
11/01/2011 9.00,,,"0,9",18,,"3,1"
11/01/2011 10.00,,,"0,4","31,5",,"1,4"
11/01/2011 11.00,,,"0,4","39,7",,"0,8"
11/01/2011 12.00,,,"0,3","43,1",,"0,9"
11/01/2011 13.00,,,"0,5","45,6",,"0,7"
11/01/2011 14.00,,,"0,4","45,1",,1
11/01/2011 15.00,,,"0,3","57,5",,1
11/01/2011 16.00,,,"0,4","51,4",,"0,8"
11/01/2011 17.00,,,"0,8",38,,"0,9"
11/01/2011 18.00,,,"0,7","30,6",,"1,7"
11/01/2011 19.00,,,1,"24,4",,"2,3"
11/01/2011 20.00,,,"1,4","17,4",,"3,2"
11/01/2011 21.00,,,"1,2","11,9",,3
11/01/2011 22.00,,,"0,9","11,6",,"2,4"
11/01/2011 23.00,,,"0,8",11,,"2,2"
12/01/2011 0.00,,,"0,7","7,9",,"1,6"
