"NetC","SIMAGE Brindisi","","","","","","","","","","","","",""
"Stat","Francavilla F.na Via F.Filzi","","","","","","","","","","","","",""
,NOX,NO2,CO,O3,SO2,Benzene
12/06/2011 3.00,"10,8","9,4","0,1","68,6","8,3","0,2"
12/06/2011 4.00,"12,5","11,1","0,2","55,8","8,8","0,2"
12/06/2011 5.00,"9,3","8,4","0,2","61,3","9,3","0,2"
12/06/2011 6.00,"12,4","10,6","0,2","66,7","5,3","0,2"
12/06/2011 7.00,"12,9",10,"0,3","66,4","1,3","0,3"
12/06/2011 8.00,13,"9,9","0,3","76,2","1,5","0,8"
12/06/2011 9.00,"12,7","9,9","0,3",89,"2,2","0,3"
12/06/2011 10.00,"13,7",10,"0,3","93,9","2,7","0,3"
12/06/2011 11.00,"8,7","7,1","0,3","104,6","2,7","0,3"
12/06/2011 12.00,"10,2","7,6","0,3","108,9","3,5","0,3"
12/06/2011 13.00,"7,4","6,1","0,2","112,9","3,6","0,3"
12/06/2011 14.00,"4,2","3,4","0,2","112,3","4,1","0,2"
12/06/2011 15.00,4,"3,2","0,1","112,8","4,1","0,2"
12/06/2011 16.00,4,"3,5","0,1","115,9","4,2","0,2"
12/06/2011 17.00,"4,5","4,1","0,1","121,4","4,6","0,2"
12/06/2011 18.00,"6,5",6,"0,1","120,8",3,"0,2"
12/06/2011 19.00,"7,8",7,"0,1","122,1","1,9","0,2"
12/06/2011 20.00,"9,6","8,8","0,1","116,6","2,2","0,3"
12/06/2011 21.00,10,"9,4","0,1","118,9","2,4","0,2"
12/06/2011 22.00,"16,4","14,2","0,1",110,"2,8","0,2"
12/06/2011 23.00,"15,3","12,9","0,1","107,5","2,7","0,3"
13/06/2011 0.00,"9,5","8,7","0,2","115,4","3,2","0,3"
13/06/2011 1.00,"7,6","6,7","0,1","111,3","3,3","0,2"
13/06/2011 2.00,,,"0,2","108,7","3,3","0,2"
13/06/2011 3.00,12,"11,3",,"104,7","3,4","0,2"
13/06/2011 4.00,"14,7","13,9","0,3","96,5",,"0,2"
13/06/2011 5.00,"23,5","20,4","0,3",,"3,7","0,7"
13/06/2011 6.00,"28,9","25,5","0,4","78,5","3,8","0,3"
13/06/2011 7.00,"40,7","32,9","0,6","68,4","3,7","0,4"
13/06/2011 8.00,"22,7","18,2","0,4","97,1","4,1","0,4"
13/06/2011 9.00,"11,2","9,4","0,3","113,6","3,9","0,3"
13/06/2011 10.00,"12,4",10,"0,3",116,"3,9","0,3"
13/06/2011 11.00,"10,3","8,4","0,3","116,9",4,"0,3"
13/06/2011 12.00,"9,1","7,4","0,3","112,4","4,1","0,3"
13/06/2011 13.00,"9,4","7,5","0,2","113,3","4,4","0,3"
13/06/2011 14.00,"5,8",5,"0,2","115,4","4,8","0,2"
13/06/2011 15.00,6,"5,1","0,3","110,6","4,5","0,2"
13/06/2011 16.00,"6,3","5,4","0,3","112,6","4,1","0,2"
13/06/2011 17.00,"7,9","6,9","0,3","110,2","4,4","0,2"
13/06/2011 18.00,"7,4","6,4","0,3","110,2","3,5","0,2"
13/06/2011 19.00,"9,9","9,1","0,3",108,"3,3","0,3"
13/06/2011 20.00,"17,5","16,5","0,3","97,8","3,3","0,3"
13/06/2011 21.00,"19,7","18,9","0,4","93,9","3,3","0,3"
13/06/2011 22.00,"27,5","25,9","0,5","83,3","3,5","0,3"
13/06/2011 23.00,"14,9","14,2","0,3","83,6","3,5","0,8"
14/06/2011 0.00,"13,3","12,2","0,4","73,1","3,8","0,4"
14/06/2011 1.00,"9,1","8,5","0,3","86,4",4,"0,3"
14/06/2011 2.00,"5,9","5,5","0,2","99,6","3,9","0,3"
14/06/2011 3.00,"5,6","4,9","0,2","105,6","3,8","0,2"
14/06/2011 4.00,"9,6","8,9","0,2",94,"3,8","0,2"
14/06/2011 5.00,9,"8,2","0,2","88,8","3,6","0,2"
14/06/2011 6.00,"20,3","17,8","0,3","78,1","3,7","0,3"
14/06/2011 7.00,"23,6","19,4","0,3","72,1","3,3","0,4"
14/06/2011 8.00,"16,6","13,6","0,2","94,2","3,2","0,3"
14/06/2011 9.00,"10,9",9,"0,2","113,1","3,3","0,2"
14/06/2011 10.00,"10,9","8,6","0,2","115,7","3,4","0,3"
14/06/2011 11.00,"10,2","8,7","0,2","119,2","3,1","0,3"
14/06/2011 12.00,"10,3","8,8","0,2","118,8","2,9","0,2"
14/06/2011 13.00,"8,4","7,2","0,3","120,6","2,7","0,2"
14/06/2011 14.00,7,"5,7","0,2","120,6","2,3","0,2"
14/06/2011 15.00,"7,7","6,4","0,1","120,2","2,5","0,2"
14/06/2011 16.00,"19,1","15,7","0,2","100,1","2,2","0,2"
14/06/2011 17.00,"26,2","21,4","0,2","91,8","2,5","0,4"
14/06/2011 18.00,25,"21,1","0,1","98,5","2,3","0,3"
14/06/2011 19.00,"10,8","9,4","0,1","106,2","2,1","0,3"
14/06/2011 20.00,24,"20,2","0,2","86,7","2,2","0,3"
14/06/2011 21.00,"15,4","13,9","0,1","89,2",2,"0,3"
14/06/2011 22.00,"8,5","7,6","0,1","93,1","1,6","0,3"
14/06/2011 23.00,"7,1","6,3","0,1","93,5","1,7","0,3"
15/06/2011 0.00,5,"4,3","0,1","99,7","1,7","0,2"
15/06/2011 1.00,"3,4","2,9","0,1","103,9","1,9","0,2"
15/06/2011 2.00,,,"0,1","102,5","1,4","0,2"
15/06/2011 3.00,"4,7","4,2",,"100,2","1,6","0,2"
15/06/2011 4.00,"8,1","7,2","0,3","92,7",,"0,2"
15/06/2011 5.00,"7,3","6,3","0,3",,"1,1","0,2"
15/06/2011 6.00,"9,6","8,7","0,3","90,2","2,2","0,3"
15/06/2011 7.00,"12,6","10,6","0,3","92,3","3,2","0,3"
15/06/2011 8.00,"10,9","8,9","0,2","98,6",3,"0,3"
15/06/2011 9.00,"9,7","7,8","0,2","101,8",3,"0,3"
15/06/2011 10.00,"7,7","6,5","0,3","106,1","2,8","0,3"
15/06/2011 11.00,"8,1","6,5","0,2","111,2","2,5","0,3"
15/06/2011 12.00,"7,7","6,3","0,1","112,7","2,5","0,2"
15/06/2011 13.00,"7,9","6,7","0,2","114,4","2,4","0,2"
15/06/2011 14.00,"6,3","5,1","0,1","115,1","1,9","0,2"
15/06/2011 15.00,"5,5","4,7","0,1","116,1","1,9","0,2"
15/06/2011 16.00,"6,5","5,6",0,"119,3",2,"0,2"
15/06/2011 17.00,"8,4","7,2","0,1","118,8","1,8","0,2"
15/06/2011 18.00,"7,2","6,6","0,1","120,6",2,"0,2"
15/06/2011 19.00,"9,5","8,5","0,1","115,7","2,6","0,2"
15/06/2011 20.00,"15,9","14,4","0,1","103,7","2,7","0,3"
15/06/2011 21.00,"18,6","17,2","0,1","90,9","2,5","0,3"
15/06/2011 22.00,"11,2","9,9","0,2",92,"2,8","0,4"
15/06/2011 23.00,6,"5,4","0,1","93,9","2,5","0,3"
16/06/2011 0.00,"5,5","4,9","0,1","86,7","2,4","0,2"
16/06/2011 1.00,"4,2","3,7","0,1","82,2","2,7","0,2"
16/06/2011 2.00,"3,7","3,1","0,1","82,7","2,6","0,2"
16/06/2011 3.00,"3,9","3,4","0,2","87,1","2,6","0,2"
16/06/2011 4.00,"8,2","7,4","0,2","81,7","2,5","0,2"
16/06/2011 5.00,"6,8",6,"0,2","77,5","2,6","0,2"
16/06/2011 6.00,"16,4","14,4","0,2","67,5","2,7","0,2"
16/06/2011 7.00,"20,7","16,9","0,2","71,8","2,7","0,3"
16/06/2011 8.00,"14,3","11,3","0,2","85,8","2,7","0,3"
16/06/2011 9.00,"11,1","8,7","0,2","100,6","2,5","0,3"
16/06/2011 10.00,"7,2","5,6","0,1","113,5","2,6","0,3"
16/06/2011 11.00,"8,2","6,8","0,1","115,2","1,9","0,2"
16/06/2011 12.00,"8,3","6,8","0,1","117,2",2,"0,3"
16/06/2011 13.00,"7,9","6,4","0,2","116,9",2,"0,2"
16/06/2011 14.00,"5,4","4,6","0,1","114,3","2,1","0,2"
16/06/2011 15.00,"4,5","3,7","0,2","118,8","1,7","0,2"
16/06/2011 16.00,"5,1","4,1","0,2","120,8","1,5","0,2"
16/06/2011 17.00,"5,3","4,5","0,2","122,8","1,7","0,2"
16/06/2011 18.00,"11,1","9,2","0,2","118,9","2,7","0,2"
16/06/2011 19.00,"14,3","12,8","0,2","115,8","4,2","0,3"
16/06/2011 20.00,27,24,"0,3","99,9","4,6","0,3"
16/06/2011 21.00,"33,4","28,6","0,3","86,9","4,1","0,4"
16/06/2011 22.00,19,"16,9","0,3","79,3","4,4","0,3"
16/06/2011 23.00,21,"18,2","0,3","79,4","4,4","0,3"
17/06/2011 0.00,13,"11,5","0,3","94,7","4,8","0,4"
17/06/2011 1.00,"14,5","12,9","0,3","81,7","5,3","0,4"
17/06/2011 2.00,,,"0,3","71,3","4,7","0,3"
17/06/2011 3.00,"13,7","12,3",,"69,5","5,4","0,3"
17/06/2011 4.00,"18,9","17,4","0,3","69,9",,"0,3"
17/06/2011 5.00,"24,1","22,2","0,3",,"5,3","0,4"
17/06/2011 6.00,"48,7","38,6","0,4","38,6","3,4","0,7"
17/06/2011 7.00,"60,7","46,1","0,5","52,5","2,3","0,8"
17/06/2011 8.00,"31,7","25,6","0,6","86,2","2,5","0,9"
17/06/2011 9.00,28,"21,5","0,4","103,7","2,7","0,6"
17/06/2011 10.00,18,"14,2","0,3",115,"2,4","0,4"
17/06/2011 11.00,"16,8","13,3","0,2","127,7","2,4","0,5"
17/06/2011 12.00,"15,9",13,"0,3","133,3","1,9","0,4"
17/06/2011 13.00,"11,6","9,9","0,2",141,"1,7","0,3"
17/06/2011 14.00,"18,6","15,6","0,3","126,6","1,1","0,3"
17/06/2011 15.00,"15,4","12,5","0,4","116,3","0,7","0,3"
17/06/2011 16.00,"22,1","18,4","0,4","97,7","0,7","0,3"
17/06/2011 17.00,"31,8","23,7","0,5","95,1","0,5","0,4"
17/06/2011 18.00,"39,6","30,1","0,5","94,1",2,"0,4"
17/06/2011 19.00,"39,4","30,9","0,4","92,1","3,3","0,6"
17/06/2011 20.00,"53,8","41,5","0,5","72,7","3,7","0,6"
17/06/2011 21.00,"54,7","43,5","0,6","62,5","3,7","0,6"
17/06/2011 22.00,"52,1","44,5","0,5","55,4",4,"0,7"
17/06/2011 23.00,"36,7","33,2","0,5","62,2","4,3","0,5"
18/06/2011 0.00,"30,6","27,5","0,5","72,6","4,6","0,6"
18/06/2011 1.00,"20,9","19,1","0,4","71,6",5,"0,5"
18/06/2011 2.00,"15,3","13,7","0,3","63,5",5,"0,4"
18/06/2011 3.00,"14,2","12,3","0,1","71,9","5,5","0,4"
18/06/2011 4.00,"17,6","15,7","0,2","69,2","5,3","0,7"
18/06/2011 5.00,"14,6","11,3","0,2","68,6","6,5","0,9"
18/06/2011 6.00,"27,5","22,2","0,2",51,"5,4","0,4"
18/06/2011 7.00,"48,6","31,8","0,3","46,5","3,8","0,5"
18/06/2011 8.00,25,16,"0,2","51,9","2,8","0,4"
18/06/2011 9.00,"29,8","20,3","0,3","67,4",3,"0,5"
18/06/2011 10.00,"26,5","16,8","0,2","82,9","2,7","0,6"
18/06/2011 11.00,25,17,"0,2","89,4","2,8","0,3"
18/06/2011 12.00,"26,8","17,9","0,1","95,1","1,9","0,4"
18/06/2011 13.00,"18,6","13,8","0,1",106,"1,7","0,3"
18/06/2011 14.00,"12,9","9,5","0,1","105,3","1,6","0,3"
18/06/2011 15.00,"9,9","7,4","0,1","105,3","1,2","0,3"
18/06/2011 16.00,11,"8,8","0,1","106,8","0,8","0,2"
18/06/2011 17.00,"15,9","11,5","0,2","105,3","0,7","0,3"
18/06/2011 18.00,"20,3","15,6","0,2","98,5","1,5","0,3"
18/06/2011 19.00,"26,5","20,4","0,3","91,2","7,3","0,4"
18/06/2011 20.00,"34,7","27,4","0,5","74,9","10,7","0,4"
18/06/2011 21.00,"40,9","30,9","0,5",65,"10,8","0,8"
18/06/2011 22.00,"23,1","18,7","0,4","62,6","10,9","0,4"
18/06/2011 23.00,"18,4","13,8","0,3","62,9","10,5","0,3"
19/06/2011 0.00,"12,3",10,"0,4","60,1","10,4","0,3"
19/06/2011 1.00,"12,4","9,6","0,3","59,8","10,3","0,3"
19/06/2011 2.00,,,"0,2","63,7",10,"0,3"
19/06/2011 3.00,"8,6","7,2",,"69,1","9,7","0,3"
19/06/2011 4.00,"7,3","6,2","0,3","73,2",,"0,3"
19/06/2011 5.00,"5,7","4,7","0,3",,"8,8","0,3"
19/06/2011 6.00,"6,1",5,"0,4","62,2","5,5","0,3"
19/06/2011 7.00,8,6,"0,4","62,7","1,4","0,3"
19/06/2011 8.00,"10,2","6,8","0,4","62,2","1,2","0,3"
19/06/2011 9.00,"14,4","9,4","0,4","68,8","1,1","0,3"
19/06/2011 10.00,"15,9","10,4","0,3","77,3","0,9","0,3"
19/06/2011 11.00,"15,3","10,8","0,2",87,"1,1","0,3"
19/06/2011 12.00,"13,3","9,1","0,2","90,8","1,1","0,3"
19/06/2011 13.00,"16,6",12,"0,1","92,1","0,8","0,2"
19/06/2011 14.00,"9,4","6,8","0,2","94,1",1,"0,3"
19/06/2011 15.00,"8,2","5,9","0,3","92,1","0,8","0,2"
19/06/2011 16.00,"7,8",6,"0,3","91,8","0,8","0,2"
19/06/2011 17.00,"7,9",6,"0,4",95,"0,8","0,2"
19/06/2011 18.00,"12,7","9,5","0,4","94,4","1,4","0,2"
19/06/2011 19.00,"17,4","14,3","0,4","86,3","1,8","0,3"
19/06/2011 20.00,"18,7",16,"0,5","83,5",2,"0,3"
19/06/2011 21.00,"21,1","16,6","0,6","68,5","1,9","0,3"
19/06/2011 22.00,"14,3",12,"0,5","64,8","1,9","0,4"
19/06/2011 23.00,"16,2","14,2","0,5","69,7","1,7","0,3"
20/06/2011 0.00,"15,4","13,9","0,5","62,8",2,"0,3"
20/06/2011 1.00,"13,9","10,7","0,5","64,1","2,2","0,3"
20/06/2011 2.00,9,8,"0,4","78,1","1,8","0,3"
20/06/2011 3.00,"7,2","6,3","0,1","75,8","2,3","2,3"
20/06/2011 4.00,"9,2","8,5","0,2","76,1","3,3","0,2"
20/06/2011 5.00,"9,2","8,3","0,2","74,3","3,3","0,2"
20/06/2011 6.00,"10,2","8,8","0,2","77,4",3,"0,2"
20/06/2011 7.00,"10,1","8,2","0,3","84,1","2,2","0,2"
20/06/2011 8.00,"8,6","6,9","0,3","85,9","2,1","0,2"
20/06/2011 9.00,"8,7","6,6","0,2","86,2",2,"0,2"
20/06/2011 10.00,"7,8","5,9","0,2","92,4","1,4","0,2"
20/06/2011 11.00,"7,9",6,"0,2","92,9","1,1","0,2"
20/06/2011 12.00,"6,2","4,8","0,2","95,8","0,8","0,2"
20/06/2011 13.00,"7,1","5,5","0,2","99,6","0,7","0,2"
20/06/2011 14.00,"5,1","4,1","0,2","100,5","0,7","0,2"
20/06/2011 15.00,"3,9","2,9","0,1","106,2","0,7","0,2"
20/06/2011 16.00,"3,9","3,4","0,1","109,8","0,5","0,2"
20/06/2011 17.00,"4,7","4,1","0,2","107,3","0,4","0,2"
20/06/2011 18.00,"6,9",6,"0,1","107,3",1,"0,2"
20/06/2011 19.00,"8,1","7,2","0,2",110,2,"0,2"
20/06/2011 20.00,"12,8","12,1","0,2","101,4","1,9","0,2"
20/06/2011 21.00,"14,8","13,8","0,2",101,2,"0,2"
20/06/2011 22.00,"14,1","13,5","0,2","97,8",2,"0,3"
20/06/2011 23.00,"9,3","8,9","0,2","104,3","1,9","0,2"
21/06/2011 0.00,"6,7","5,8","0,1","109,2",2,"0,2"
21/06/2011 1.00,"6,7","5,8","0,2","102,3",2,"0,2"
21/06/2011 2.00,,,"0,1","96,5",2,"0,2"
21/06/2011 3.00,"4,8",4,,"94,2",2,"0,2"
21/06/2011 4.00,"10,1","9,1","0,2","91,6",,"0,2"
21/06/2011 5.00,"12,2","10,6","0,3",,"1,8","0,2"
21/06/2011 6.00,"32,9","26,8","0,5","64,7","2,6","0,6"
21/06/2011 7.00,13,"10,8","0,3","86,8","2,7","0,3"
21/06/2011 8.00,"11,1","9,1","0,3","98,8","2,9","0,2"
21/06/2011 9.00,"10,5","8,4","0,3","99,6",3,"0,2"
21/06/2011 10.00,"8,7","6,8","0,4","99,9","2,6","0,2"
21/06/2011 11.00,"6,6","5,1","0,3","101,3","2,9","0,2"
21/06/2011 12.00,"7,2","5,6","0,3","102,5","2,9","0,2"
21/06/2011 13.00,"7,2","5,6","0,2","101,1","2,5","0,2"
21/06/2011 14.00,"5,6","4,3","0,2","97,4","2,9","0,2"
21/06/2011 15.00,"6,3",5,"0,3","100,2","2,8","0,2"
21/06/2011 16.00,"4,4","3,4","0,2",99,"2,8","0,2"
21/06/2011 17.00,"5,8","4,9","0,2","97,9","2,7","0,2"
21/06/2011 18.00,"7,4","6,2","0,1","92,3","3,3","0,2"
21/06/2011 19.00,"8,4","7,5","0,2","91,1","4,3","0,2"
21/06/2011 20.00,"14,7","13,6","0,2","83,7",4,"0,2"
21/06/2011 21.00,"18,6","17,8","0,3","74,3",4,"0,3"
21/06/2011 22.00,15,"14,3","0,3","72,3","3,5","0,3"
21/06/2011 23.00,"25,1","23,6","0,3","62,7","4,1","0,4"
22/06/2011 0.00,"15,3","14,1","0,2","69,3","4,2","0,5"
22/06/2011 1.00,"8,9","8,3","0,2",73,"4,5","0,3"
22/06/2011 2.00,5,"4,9","0,2","76,3","4,1","0,3"
22/06/2011 3.00,"6,7","6,3","0,5","74,1","4,2","0,2"
22/06/2011 4.00,"14,6","13,7","0,6","66,4","3,7","0,2"
22/06/2011 5.00,"14,6","13,4","0,6",64,"3,9","0,4"
22/06/2011 6.00,"35,4","30,6","0,6","47,1","3,5","0,3"
22/06/2011 7.00,"35,2","27,5","0,7","50,6","3,5","0,3"
22/06/2011 8.00,"17,6","13,6","0,5","66,2","3,1","0,3"
22/06/2011 9.00,"9,6","7,6","0,6","75,1","2,6","0,2"
22/06/2011 10.00,"8,9",7,"0,6","81,6","2,2","0,2"
22/06/2011 11.00,"6,6","5,5","0,6","88,8","2,2","0,2"
22/06/2011 12.00,"9,6","6,8","0,5","90,6","2,2","0,2"
22/06/2011 13.00,"8,7","6,7","0,6","94,4","2,1","0,2"
22/06/2011 14.00,"4,7",4,"0,6",105,"1,9","0,2"
22/06/2011 15.00,"5,9","4,8","0,6","108,7","1,8","0,2"
22/06/2011 16.00,"5,6","4,7","0,5","108,6","1,9","0,2"
22/06/2011 17.00,"5,3","4,6","0,6",111,"1,9","0,2"
22/06/2011 18.00,7,"6,1","0,5","106,8","2,7","0,2"
22/06/2011 19.00,"14,4","12,1","0,6","97,5",4,"0,2"
22/06/2011 20.00,"31,2","26,3","0,9","75,4",4,"0,3"
22/06/2011 21.00,"35,3","32,7","0,9","70,1","4,3","0,7"
22/06/2011 22.00,"45,2","40,8",1,"59,1","4,6","0,6"
22/06/2011 23.00,"27,3","24,4","0,7","82,2","5,2","0,5"
23/06/2011 0.00,23,"21,6","0,7","75,8","6,2","0,5"
23/06/2011 1.00,"14,8","13,7","0,6","82,1",6,"0,4"
23/06/2011 2.00,,,"0,7","57,6","6,1","0,4"
23/06/2011 3.00,"17,2","16,6","0,6","60,8","6,6","0,4"
23/06/2011 4.00,"26,5","25,3","0,6","59,2",,"0,4"
23/06/2011 5.00,25,"22,8","0,5",,"6,2","0,3"
23/06/2011 6.00,"54,4","45,4","0,9",44,"4,5","0,4"
23/06/2011 7.00,"46,7","38,8","1,1","60,9","3,3","1,2"
23/06/2011 8.00,"48,9","38,8","0,9","85,2","4,1","1,3"
23/06/2011 9.00,32,25,"0,7",109,"5,7","0,4"
23/06/2011 10.00,"25,2","19,7","0,8","120,7","6,4","0,5"
23/06/2011 11.00,"20,4","16,4","0,7","132,8","6,3","0,3"
23/06/2011 12.00,"20,3","16,7","0,7","142,8","6,5","0,3"
23/06/2011 13.00,11,"9,5","0,6",154,"6,4","0,3"
23/06/2011 14.00,"10,8","9,3","0,6",144,"4,2","0,3"
23/06/2011 15.00,"15,3",12,"0,8","127,4","3,7","0,3"
23/06/2011 16.00,"11,8","9,9","0,8",134,"3,7","0,2"
23/06/2011 17.00,"15,7","12,9","0,8",131,"3,6","0,3"
23/06/2011 18.00,"18,8","16,1","0,8","128,8","4,3","0,3"
23/06/2011 19.00,"29,6",25,"0,8","120,9","5,8","0,5"
23/06/2011 20.00,"48,3","40,9",1,"95,3","6,4","0,5"
23/06/2011 21.00,"56,1","44,2",1,72,"5,7","0,6"
23/06/2011 22.00,"40,4","31,8","0,9","71,9","5,2","0,6"
23/06/2011 23.00,"23,7","19,7","0,9","76,4","5,2","0,4"
24/06/2011 0.00,"20,5","17,9",1,"67,8","5,3","0,4"
24/06/2011 1.00,"19,8",18,"0,9",69,"5,5","0,3"
24/06/2011 2.00,"17,3","15,7","0,6","73,4","5,9","0,3"
24/06/2011 3.00,16,"14,9","0,4","76,1","5,8","0,3"
24/06/2011 4.00,"16,5","15,5","0,4","80,3","6,4","0,3"
24/06/2011 5.00,28,"25,6","0,7",59,"6,9","0,4"
24/06/2011 6.00,"30,4","27,6","0,5","65,5","4,7","0,7"
24/06/2011 7.00,"30,9","26,8","0,6",72,"2,4","0,8"
24/06/2011 8.00,"17,8","15,2","0,5","94,5","2,6","0,4"
24/06/2011 9.00,"15,2","13,3","0,4","112,4","2,4","0,3"
24/06/2011 10.00,"30,8","23,9","0,5","125,6","2,5","0,3"
24/06/2011 11.00,"18,2","15,3","0,5","142,7","2,1","0,3"
24/06/2011 12.00,"29,7","24,5","0,5","143,7","1,8","0,4"
24/06/2011 13.00,"22,4","18,6","0,6","151,9","1,5","0,5"
24/06/2011 14.00,"8,1","7,1","0,5","158,2","1,1","0,3"
24/06/2011 15.00,"10,1","8,6","0,8","159,1","0,7","0,2"
24/06/2011 16.00,10,"8,7","0,8","157,6","0,8","0,2"
24/06/2011 17.00,15,13,"0,7",154,"0,7","0,2"
24/06/2011 18.00,"18,6","15,3","0,8","155,9","2,1","0,3"
24/06/2011 19.00,"38,4","32,2",1,"122,2","3,4","0,5"
24/06/2011 20.00,"36,1","32,3","0,8","100,4","4,2","0,6"
24/06/2011 21.00,"41,7","37,8","0,8","80,8","4,5","0,6"
24/06/2011 22.00,"45,3",41,"0,8","61,1","4,8","0,7"
24/06/2011 23.00,"42,7","39,1",1,"61,4","5,4",1
25/06/2011 0.00,"35,6","33,9","0,9",55,"6,4","0,5"
25/06/2011 1.00,"14,1","13,5","0,6","94,1","7,4","0,4"
25/06/2011 2.00,,,"0,4","100,6","7,5","0,2"
25/06/2011 3.00,"7,9","6,9","0,2","88,8","7,6","0,2"
25/06/2011 4.00,"7,9","7,4","0,2","88,4",,"0,2"
25/06/2011 5.00,"8,2","7,6","0,2",,"7,2","0,2"
25/06/2011 6.00,"12,1","10,9","0,2","83,3","4,9","0,3"
25/06/2011 7.00,"8,5","7,4","0,2","84,3","2,7","0,2"
25/06/2011 8.00,"8,4","6,7","0,2","88,2","2,1","0,2"
25/06/2011 9.00,"8,6","6,7","0,2","90,9","2,1","0,2"
25/06/2011 10.00,7,6,"0,2","103,2","1,6","0,2"
25/06/2011 11.00,8,"6,7","0,2","104,5","1,5","0,2"
25/06/2011 12.00,"7,4","6,1","0,3","101,1",1,"0,2"
25/06/2011 13.00,"9,2","7,2","0,2","99,9",1,"0,2"
25/06/2011 14.00,"4,8","4,1","0,3","103,7","0,7","0,2"
25/06/2011 15.00,4,"3,2","0,5","101,2","0,7","0,2"
25/06/2011 16.00,4,"3,4","0,5","102,9","0,6","0,2"
25/06/2011 17.00,"5,2","4,4","0,5","105,6","0,8","0,2"
25/06/2011 18.00,"5,5","4,7","0,5","104,9","1,3","0,2"
25/06/2011 19.00,"7,2","6,2","0,5","110,6","2,3","0,2"
25/06/2011 20.00,"8,9","8,2","0,5",106,"2,5","0,2"
25/06/2011 21.00,"9,6","8,4","0,5","107,5","2,2","0,2"
25/06/2011 22.00,"8,8","8,2","0,5","104,8","2,1","0,2"
25/06/2011 23.00,"5,8","5,1","0,5","105,8","2,1","0,2"
26/06/2011 0.00,"4,8","4,3","0,6","98,4","2,3","0,2"
26/06/2011 1.00,"3,4","3,3","0,5","104,9","2,6","0,2"
26/06/2011 2.00,"3,2",3,"0,4","108,4","2,8","0,2"
26/06/2011 3.00,"2,6","2,4","0,3","108,9","2,5","0,2"
26/06/2011 4.00,"2,8","2,7","0,3","109,5","2,7","0,2"
26/06/2011 5.00,"3,1","2,8","0,3","108,2","2,9","0,2"
26/06/2011 6.00,"3,7","3,4","0,2","105,3","2,9","0,2"
26/06/2011 7.00,"3,5","3,2","0,3","104,2","4,1","0,2"
26/06/2011 8.00,"3,8","3,2","0,3","106,6","4,1","0,2"
26/06/2011 9.00,"4,3","3,6","0,3","111,4","4,3","0,2"
26/06/2011 10.00,"5,9","5,1","0,3","114,6","5,1","0,2"
26/06/2011 11.00,"4,6","3,9","0,2","114,8","4,8","0,2"
26/06/2011 12.00,"4,3","3,8","0,3","115,3","4,8","0,2"
26/06/2011 13.00,"4,6","3,8","0,2","114,3","4,7","0,2"
26/06/2011 14.00,"2,4",2,"0,3","116,6","4,6","0,2"
26/06/2011 15.00,"2,1","1,8","0,3","114,5","4,4","0,2"
26/06/2011 16.00,"2,4","2,2","0,4","111,1",4,"0,2"
26/06/2011 17.00,"2,9","2,5","0,3","109,4","3,8","0,2"
26/06/2011 18.00,"4,1","3,6","0,4","109,7","3,2","0,2"
26/06/2011 19.00,"4,7","4,1","0,4","106,9","2,9","0,2"
26/06/2011 20.00,"7,7","6,8","0,5","100,7","2,8","0,2"
26/06/2011 21.00,"8,7",8,"0,5",98,"2,7","0,2"
26/06/2011 22.00,"5,5","5,1","0,4","100,1",3,"0,2"
26/06/2011 23.00,"4,4","4,1","0,6","100,9","2,7","0,2"
27/06/2011 0.00,3,"2,8","0,5","100,7","2,5","0,2"
27/06/2011 1.00,"3,2","2,6","0,5","96,6","2,9","0,2"
27/06/2011 2.00,,,"0,5","85,3",3,"0,2"
27/06/2011 3.00,"3,9","3,4","0,6","77,1","3,6","0,2"
27/06/2011 4.00,"6,9","6,4","0,6","74,3",,"0,2"
27/06/2011 5.00,12,"10,9","0,6",,"3,3","0,2"
27/06/2011 6.00,"12,2",11,"0,8","73,8","2,3","0,2"
27/06/2011 7.00,"11,6",10,"0,7","78,7","1,6","0,2"
27/06/2011 8.00,10,"8,3","0,7","83,4","2,4","0,2"
27/06/2011 9.00,"10,5","8,6","0,6","86,4","2,7","0,2"
27/06/2011 10.00,"9,4","7,4","0,6","86,2","2,9","0,2"
27/06/2011 11.00,"10,3","7,6","0,5","86,5",3,"0,2"
27/06/2011 12.00,,,"0,5","89,6",,
27/06/2011 13.00,,,"0,4","89,1",,
27/06/2011 14.00,,,,"92,7",,
27/06/2011 15.00,,,,,,
27/06/2011 16.00,"23,6","22,7",,,"0,8","0,2"
27/06/2011 17.00,"11,9","11,2","0,1","92,9","0,9","0,2"
27/06/2011 18.00,"7,8","7,1","0,1","94,4","1,8","0,2"
27/06/2011 19.00,"7,9","7,5","0,1","90,4",3,"0,2"
27/06/2011 20.00,"12,8","11,8","0,2","85,4","2,6","0,2"
27/06/2011 21.00,"12,3","11,8","0,1",83,3,"0,2"
27/06/2011 22.00,"6,4",6,"0,2",84,"3,2","0,2"
27/06/2011 23.00,"3,5","3,5","0,1","85,8","3,2","0,2"
28/06/2011 0.00,"5,2","4,9","0,1","83,4","3,6","0,2"
28/06/2011 1.00,"3,3","3,1","0,2","81,4","3,7","0,2"
28/06/2011 2.00,2,2,"0,3","84,8","3,3","0,2"
28/06/2011 3.00,"2,2","2,1","0,7","77,8","3,4","0,2"
28/06/2011 4.00,"4,3","4,1","0,8","71,5","3,8","0,2"
